Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190401162338
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,663,621,663,0,587,576,665,0,682,632,713,651,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,47,47,6,6,31,31,6,6,6,6,49,49,48,48,6,6,48,48,6,6,7,7,7,7,7,7,7,7,6,6,12,12,7,7,7,7,7,7,15,15,6,6,7,7,7,7,7,7,6,6,6,6,14,14,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,49,49,31,31,6,6,6,6,7,7,72,72,15,15,6,6,6,6,7,7,7,7,6,6,7,7,60,60,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,28.50,39.52,100.00,100.00,100.00,100.00,22.12,36.47,20.51,34.57,100.00,100.00,15.11,1.00,1.53,2.32,1.65,37.44,3.51,4.25,1.55,30.05,2.38,46.67,2.23,3.59,2.35,5.46,2.85,100.00,2.71,4.78,1.83,59.94,1.31,57.79,2.78,4.56,2.21,5.15,1.95,3.92,3.25,6.60,1.62,3.09,100.00,100.00,1.56,100.00,51.17,1.00,100.00,100.00,1.00,1.00,100.00,100.00,51.20,69.03,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00,8.25,13.36,13.05,27.80,1.00,1.00,3.10,11.07,2.71,3.75,1.08,20.92,1.12,16.54,4.01,4.03,1.84,3.80,1.12,26.86,1.23,27.59,1.92,3.64,2.64,5.15,1.28,2.40,2.20,5.40,2.40,100.00,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/01 16:23:42
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-2.72361255,0.17656732,-0.56811911,-1.51846075,-0.55984974,-0.56638509,0.22594060,-0.10635276,-0.14609100,0.01075363,-0.46902740,-0.20032565,-0.15807174,-0.27284285,-0.38260990,1.48443186,-0.19046837,0.10243573,0.30340368,-0.19795310,-0.16840695,-0.16811490,-0.10697866,-0.01835316,0.36073595,0.72542751,-0.09950937,-0.70743823,0.00000000,1.87505329,1.11196423,0.00000000,0.91954863,0,16:23:51.1,0,0
2,0.00000000,0.08820681,-0.32156363,-0.45869547,-0.63498265,-0.98639446,-0.97806233,-0.50912595,-0.10635276,-0.15961532,-0.01178776,-0.50115305,-0.12754759,-0.43444920,-0.27361518,-0.42743137,-0.19124126,-0.18191203,-0.27735808,0.09854841,-0.22501601,-0.17660588,-0.17702202,-0.10180952,-0.02354561,0.36073595,1.31356418,-0.09950937,2.28958297,0.00000000,1.87505329,0.51212591,0.00000000,-6.30824184,0,16:23:51.2,0,0
3,0.00000000,6.13534451,-0.58556587,2.24370027,4.52901840,-0.02095950,-0.59907007,0.83924145,-0.48338616,-0.15410967,-0.01630744,-0.50832021,-0.13661999,0.21007331,-0.29140025,-0.34297416,2.64008117,-0.19046837,0.08401482,0.24866529,-0.21346670,-0.18044382,-0.16155984,-0.16196603,-0.04661689,3.30294585,1.30450332,-0.33771062,0.01366982,0.00000000,0.52668589,-0.92855591,0.00000000,-3.95487714,0,16:23:51.3,0,0
4,0.00000000,6.13534451,0.37081212,0.14760825,-0.63498265,-3.47259164,-3.58759189,0.22594060,-0.10635276,-0.16966780,-0.12642828,-0.51086998,-0.06318728,-0.29191563,-0.29379791,-0.40417898,-0.14970291,-0.21798451,-0.48509130,-0.11370178,-0.24931449,-0.22518551,-0.21256080,-0.17899030,-0.04594021,0.36073595,-0.04831385,-0.09950937,1.52457833,0.00000000,0.52668589,-0.98506451,0.00000000,5.30166626,0,16:23:51.4,0,0
5,0.00000000,-3.72725582,-0.71259707,-2.08432269,-2.36692572,-0.14272413,-0.03897160,-0.50912595,-0.55487382,-0.16415320,-0.13538586,-0.51946694,-0.22292234,-0.18041176,-0.28251475,-0.38260990,1.52121699,-0.16622232,0.06571186,0.09402925,-0.19977069,-0.16270407,-0.16374522,-0.13509291,-0.01005374,-0.48772928,0.72090834,-0.09950937,-0.70743823,0.00000000,0.29143599,-1.24021173,0.00000000,-2.55079937,0,16:23:51.5,0,0
6,0.00000000,-1.49541044,0.05789823,0.01179764,0.44185022,1.04091287,0.85072798,0.22594060,-0.69506514,-0.15160558,-0.00279355,-0.47244266,0.11226093,-0.04899011,-0.23381759,-0.37504604,2.56223965,-0.13902117,0.54941595,0.56692028,-0.17289872,-0.14124773,-0.17262331,-0.06541820,0.01091657,3.30294585,2.67551064,-0.56165165,0.01366982,0.00000000,-0.98374176,-1.01936924,-7.73648739,-3.83486629,0,16:23:51.6,0,0
7,0.00000000,-2.72361255,-0.34803972,-2.42894340,-1.03890443,0.37452045,0.22240096,-0.50912595,-1.22680151,-0.14255185,-0.08136387,-0.50832021,-0.03616009,-0.16700746,-0.27163881,-0.41161296,1.40716136,-0.17715189,0.24571389,0.13511986,-0.18696947,-0.14554723,-0.17702202,-0.07975081,0.00663724,-0.48772928,0.75739270,-0.33771062,0.01366982,0.00000000,0.29143599,-0.68212682,0.00000000,-1.94449580,0,16:23:51.7,0,0
8,0.00000000,6.13534451,0.42106402,1.12483621,3.18065095,0.00220397,-0.16464496,-2.81385112,1.10013425,-0.12908931,-0.05869224,-0.44409597,0.06846826,0.04998038,-0.24039921,-0.32648489,2.57590985,-0.14159073,-0.06847405,-0.21782947,-0.16056439,-0.16522995,-0.16365999,-0.01698850,0.02025128,1.36437929,1.39127648,0.39992714,6.10470438,0.00000000,0.45397717,2.25832009,0.00000000,0.00000000,0,16:23:51.8,0,0
9,0.00000000,-2.72361255,-0.71574134,-1.08067930,-2.86682796,-0.90593976,-0.84147120,0.22594060,-0.69506514,-0.13722208,0.04245641,-0.47893107,0.05485421,-0.00421902,-0.24561933,-0.35855678,1.99991798,-0.15725285,0.26404732,0.48468548,-0.16039965,-0.12320721,-0.15919366,-0.08377655,0.00265828,3.30294585,1.85339737,-0.56165165,0.13383490,0.00000000,-0.93676603,-0.37987152,-9.30758190,-3.32227683,0,16:23:51.9,0,0
10,0.00000000,0.08820681,0.22143194,-1.10706627,-1.86318469,0.14997575,0.15076695,-0.50912595,-0.18287349,-0.13463613,-0.16138370,-0.45524269,-0.10040924,-0.12665352,-0.25127518,-0.37967405,1.42068565,-0.16818242,0.09318902,0.00528618,-0.18465684,-0.11520676,-0.13887168,-0.08151435,0.01119039,1.36437929,0.02003857,0.14454649,6.10470438,0.00000000,0.52668589,1.80742347,0.00000000,-2.65514922,0,16:23:52.0,0,0
11,0.00000000,2.32022309,0.60607755,1.73114002,4.52901840,0.07962225,-0.12364370,-0.50912595,-0.76381606,-0.13722208,-0.07687071,-0.49859798,-0.18671161,0.10872522,-0.25947228,-0.38416699,2.52602553,-0.16622232,0.25487313,0.47550359,-0.17327347,-0.12320721,-0.17033374,-0.08995438,0.01248764,-0.48772928,1.35455263,-0.09950937,1.59728706,0.00000000,-2.28513336,-0.68620402,0.00000000,-2.55955124,0,16:23:52.1,0,0
12,0.00000000,2.32022309,-0.21013732,1.39523506,2.29700208,0.05746993,-0.01946339,-2.07878470,-0.18287349,-0.13265012,-0.18407357,-0.49418423,-0.36634138,0.00476812,-0.25052169,-0.33372745,2.07699728,-0.15481186,0.09318902,-0.20399901,-0.18696947,-0.12928498,-0.16761716,-0.09335335,-0.00171074,0.36073595,0.02003857,-0.09950937,2.28958297,0.00000000,-1.77803934,-1.09795129,0.00000000,0.00000000,0,16:23:52.2,0,0
13,0.00000000,-1.49541044,-0.06095883,-1.20065582,-2.93970799,0.49223754,0.51759040,0.22594060,-0.41101825,-0.12434376,-0.18856673,-0.48744830,-0.19577248,-0.40303099,-0.26464576,-0.38738418,-0.21419598,-0.18232802,-0.45288566,-0.03618274,-0.18518130,-0.13318050,-0.17487533,-0.07632906,0.00418821,1.36437929,0.02003857,0.39992714,2.28958297,0.00000000,2.75870252,-0.15515503,0.00000000,5.11327028,0,16:23:52.3,0,0
14,0.00000000,-1.49541044,-0.48736218,-1.08067930,-0.51481736,-0.72410530,-0.95430094,-0.50912595,-0.62538654,-0.14255185,-0.09039502,-0.48343551,0.04581571,0.21007331,-0.26155984,-0.36585310,2.57590985,-0.11207391,0.72034866,0.28505903,-0.13768862,-0.14554723,-0.17925498,-0.09567057,-0.00558627,6.34273767,1.85339737,-0.33771062,1.36203718,0.00000000,1.24810362,-1.11980391,5.38621521,-3.39528966,0,16:23:52.4,0,0
15,0.00000000,-1.49541044,-0.45679593,-1.08067930,-1.86318469,1.00716913,1.30361247,0.22594060,0.64042586,-0.14255185,-0.10394219,-0.41921127,0.05940738,0.12220573,-0.24561933,-0.36418903,2.11369038,-0.16854148,-0.07767903,0.12596816,-0.19795310,-0.13716738,-0.17925498,-0.07018489,-0.00488418,0.36073595,1.36830258,0.14454649,1.52457833,0.00000000,0.52668589,0.86604679,0.00000000,-1.69848180,0,16:23:52.5,0,0
16,0.00000000,0.08820681,-0.45416722,-1.10706627,-1.86318469,-0.13512702,0.06350005,-0.50912595,-0.18287349,-0.15961532,-0.01630744,-0.46902740,-0.19577248,-0.15807174,-0.24039921,-0.36596927,0.76542640,-0.20466803,-0.48509130,0.09402925,-0.23824836,-0.16840695,-0.20826706,-0.10180952,-0.01005374,-0.48772928,1.34995794,-0.09950937,-0.70743823,0.00000000,0.52668589,0.86604679,0.00000000,-6.30824184,0,16:23:52.6,0,0
17,0.00000000,-1.49541044,-0.21926981,-0.50076258,-1.86318469,-0.95863670,-1.07876503,-0.50912595,-0.41101825,-0.16966780,-0.02527963,-0.54015332,-0.23639135,-0.18041176,-0.31357804,-0.39631471,1.49820471,-0.18810679,0.06571186,0.40253770,-0.22119121,-0.17660588,-0.20365661,-0.09241257,-0.01600034,3.30294585,2.28834724,-0.33771062,0.01366982,0.00000000,-0.93676603,-0.68212682,-9.30758190,-2.37131715,0,16:23:52.7,0,0
18,0.00000000,-2.72361255,-0.82702041,-1.08067930,-2.86682796,-0.73326319,-0.76919878,-0.50912595,-0.76381606,-0.16765682,-0.03873851,-0.54262495,-0.15906852,0.07743464,-0.28373763,-0.33565903,2.65388894,-0.21502072,0.06111716,0.23960440,-0.22119121,-0.14943050,-0.19479251,-0.14219652,-0.03250318,-1.22279572,0.72090834,-0.33771062,-2.29105544,0.00000000,-0.98374176,0.20733787,-3.92136645,3.23199224,0,16:23:52.8,0,0
19,0.00000000,6.13534451,-0.31174830,0.38287589,4.00493145,1.04890740,0.55845094,-1.23031950,0.46103987,-0.15160558,-0.22465894,-0.46639237,-0.20032565,-0.57445657,-0.25947228,-0.36435273,-0.16360305,-0.16818242,-0.08692574,-0.29091635,-0.18696947,-0.18239129,-0.20826706,-0.12057033,-0.02430746,1.36437929,-0.93662906,0.66773450,6.10470438,0.00000000,-1.77803934,-0.63316882,0.00000000,0.00000000,0,16:23:52.9,0,0
