Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190408152457
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,748,671,648,0,587,576,735,0,632,603,908,766,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under
Analog Gain,15,15,6,6,15,15,6,6,6,6,49,49,48,48,6,6,49,49,98,98,6,6,6,6,6,6,12,12,7,7,12,12,6,6,6,6,6,6,7,7,6,6,7,7,12,12,15,15,6,6,6,6,72,72,6,6,6,6,6,6,6,6,24,24,6,6,31,31,6,6,6,6,62,62,62,62,72,72,6,6,6,6,7,7,7,7,62,62,7,7,6,6,6,6,7,7,30,30,7,7,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,82.33,1.00,100.00,1.00,49.87,66.82,100.00,100.00,100.00,100.00,23.81,44.20,17.98,33.22,92.91,1.00,100.00,1.00,100.00,100.00,17.77,100.00,1.60,2.91,1.22,22.23,1.90,43.74,2.59,4.63,2.74,7.08,1.63,44.00,2.28,4.70,1.40,31.73,1.49,44.58,2.21,3.63,1.95,4.33,1.82,5.54,2.86,5.66,1.49,4.23,100.00,1.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,3.81,13.23,100.00,100.00,14.57,45.76,100.00,1.00,99.19,100.00,8.50,14.37,10.80,23.02,100.00,100.00,100.00,100.00,1.94,4.16,1.71,37.01,1.55,21.41,3.04,3.05,2.66,5.86,1.00,16.89,1.00,8.95,2.26,4.47,1.73,4.17,1.80,5.30,27.72,100.00,1.00,1.00,100.00,1.00,1.00,100.00,1.51,4.50,100.00,100.00

Measurement Information
Date,2019/04/08 15:25:02
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,1.83297205,4.97457170,0.94624627,1.64067948,2.37081075,3.45769310,2.54236841,-0.05480519,0.00000000,0.00000000,-0.98206455,-0.20685805,0.28291354,-0.57663661,-0.09029353,-0.20335793,0.02495474,-0.44451699,-0.14024937,0.04821637,-0.26595590,0.57988638,0.31915304,0.01854559,0.12568828,0.00000000,0.00000000,0.00000000,4.93705797,0.00000000,1.39481819,-0.30010206,0.00000000,-0.91623497,0,15:25:11.1,0,0
2,0.38825154,-1.07256579,0.42014316,0.56970799,0.51870239,-0.24517494,-0.39822665,-0.90472788,1.28788197,-0.05412312,-1.14609778,-0.22943610,0.14954035,-0.16958943,-0.14690848,-0.18383703,0.30039498,-0.45876405,-0.06111744,0.01617131,-0.29504228,0.54521376,0.30328560,0.03359524,0.16277604,0.00000000,0.00000000,0.00000000,4.74323940,0.00000000,-1.34429228,-0.05965179,-1.91803360,0.00117664,0,15:25:11.2,0,0
3,0.83270991,-1.07256579,0.42014316,0.56970799,1.26066267,2.09238410,1.71721327,-0.90472788,0.00000000,4.69891739,0.20226967,-0.23469760,0.07890847,0.29731303,-0.17477044,-0.12595215,0.45384899,-0.47713202,-0.07470912,-0.13827917,-0.33696696,0.51935148,0.26450545,0.01969343,0.15639366,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.74357581,-0.25347778,0.00000000,-0.18169098,0,15:25:11.3,0,0
4,1.31011379,0.00000000,0.75552422,2.03801918,1.41414320,-1.28980374,-0.71281421,0.94485670,0.00000000,-7.28486681,-0.89817756,-0.23774247,-0.04150868,-0.41451457,-0.15168552,-0.14990747,-0.32565138,-0.44434869,0.12072630,-0.13827917,-0.27814111,0.51503110,0.27153060,0.01860818,0.13484755,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,7.55869675,-0.12817012,0.00000000,-0.23781851,0,15:25:11.4,0,0
5,0.83270991,1.15945065,0.77160877,-0.54915595,-0.43796524,-0.99729455,-1.15284836,5.33827972,7.33501959,7.00364304,1.15893734,-0.27892822,-0.07780901,0.15653716,-0.22440955,-0.22452258,0.47717488,-0.46999830,-0.00276452,-0.16546221,-0.32926136,0.51070410,0.24442555,-0.02251728,0.12732737,0.00000000,0.00000000,0.00000000,7.20999336,0.00000000,-3.64901757,0.06853130,-2.73933482,0.83266163,0,15:25:11.5,0,0
6,0.83270991,1.15945065,0.67691177,0.18591055,-0.93786734,1.22120380,0.51164585,6.56855917,7.33501959,-3.63177395,2.06493092,-0.23248382,0.12227853,0.14745381,-0.13348988,-0.14756466,0.84635210,-0.52380157,-0.30502921,0.08556635,-0.35810894,0.52970201,0.28264725,-0.01117049,0.14546409,0.00000000,0.00000000,0.00000000,4.93705797,0.00000000,3.69954348,-0.34501600,0.82130110,-0.35321191,0,15:25:11.6,0,0
7,1.31011379,4.97457170,0.28694972,0.29241544,0.06577592,-2.32258701,-0.65257955,0.41965544,0.00000000,0.00000000,-3.28678989,-0.27828401,-0.15205686,0.12927537,-0.22440955,-0.19745107,0.38930687,-0.47222051,-0.11071584,-0.17000756,-0.31898472,0.53830886,0.26938820,-0.07013190,0.08492105,0.00000000,0.00000000,0.00000000,4.93705797,0.00000000,3.69954348,-0.37398580,0.00000000,-0.72531903,0,15:25:11.7,0,0
8,0.83270991,1.15945065,0.22942105,1.64067948,0.41049999,1.34956646,1.07296062,0.94485670,0.00000000,-3.63177395,1.32297051,-0.25416696,-0.00932985,0.02088728,-0.19445361,-0.19745107,0.42242602,-0.50458896,-0.02072383,0.06300663,-0.34574994,0.50564003,0.24222755,-0.03661594,0.12732737,0.00000000,0.00000000,0.00000000,1.09014666,0.00000000,-0.11609012,-0.11879903,1.07578635,-0.35321191,0,15:25:11.8,0,0
9,-0.39671603,-1.07256579,-0.05546667,0.05714777,-0.43796524,0.38523600,-0.03649571,-0.90472788,-4.75948334,2.30487323,-1.06469226,-0.23998056,0.18267490,-0.22428197,-0.16045536,-0.25303769,0.12313390,-0.45395824,0.31646681,0.07200816,-0.31811166,0.52105463,0.27602059,-0.05980033,0.11564159,8.23884010,0.00000000,0.00000000,3.39487195,0.00000000,0.00407512,-0.07558531,0.38669163,0.26704359,0,15:25:11.9,0,0
10,-0.01824231,1.15945065,0.35513446,0.18591055,-1.78633261,1.17693627,1.06798625,-0.05480519,-1.52393746,2.41988373,0.28367513,-0.21591178,0.08341987,0.16563553,-0.11547174,-0.14513545,0.46317926,-0.43305701,0.19388424,0.09915802,-0.27257344,0.52795833,0.29171968,0.00800414,0.15365128,0.00000000,0.00000000,0.00000000,3.39487195,0.00000000,-0.11609012,-0.18170150,1.89708745,-0.12396193,0,15:25:12.0,0,0
11,1.83297205,1.15945065,0.39422044,-0.55604976,-4.09105778,-8.67872810,-1.20646834,0.41965544,0.00000000,0.00000000,0.45018986,-0.23251081,-0.07780901,-0.13743719,-0.11525831,-0.16109087,0.16997100,-0.46616033,-0.22820298,-0.23435691,-0.27447343,0.57571602,0.31238398,-0.01003780,0.11194985,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.83719826,-0.20431925,0.00000000,-0.31080124,0,15:25:12.1,0,0
12,-0.01824231,1.15945065,-0.44542873,-0.55604976,-1.78633261,-1.17765951,-1.20997751,-0.90472788,-1.52393746,0.72125584,-1.06469226,-0.21745740,0.16461268,-0.29167324,-0.12439003,-0.20511536,-0.02576556,-0.42595497,0.07430770,0.17212388,-0.23205756,0.59735984,0.37566832,-0.05618537,0.09150486,-6.35473824,0.00000000,0.00000000,-1.14186978,0.00000000,1.23227727,0.01417996,-1.91803360,0.26704359,0,15:25:12.2,0,0
13,-0.39671603,-1.07256579,-0.05546667,0.56970799,1.26066267,-1.47538817,-0.49150833,-0.49618268,-1.52393746,-7.28486681,0.36630288,-0.21082185,0.33310321,-0.01400988,-0.09931702,-0.15309051,0.47307208,-0.44026330,-0.12657902,0.04821637,-0.27535754,0.57988638,0.32149771,-0.04209572,0.11359776,0.00000000,0.00000000,0.00000000,1.09014666,0.00000000,1.23227727,-0.16923855,-1.91803360,-0.06921624,0,15:25:12.3,0,0
14,2.41813946,-1.07256579,0.83955055,-2.24778390,-4.09105778,-2.63816476,-1.46144557,-0.05480519,0.00000000,0.00000000,-0.98206455,-0.21591178,0.00877736,0.14473340,-0.09249779,-0.10320599,0.62654918,-0.40713525,0.07884152,-0.07426810,-0.25747320,0.56695914,0.31489694,0.00979842,0.14804155,0.00000000,0.00000000,0.00000000,4.93705797,0.00000000,3.69954348,-0.18565957,0.82130110,-0.42907441,0,15:25:12.4,0,0
15,1.31011379,1.15945065,0.94624627,1.30477452,0.51870239,1.12365019,0.69244355,-0.90472788,0.00000000,0.00000000,0.20226967,-0.22871132,0.05169150,-0.69320518,-0.12666841,-0.26367989,-0.29210058,-0.36741018,0.18447255,0.06202374,-0.23600180,0.56695914,0.33062628,0.00979842,0.13695949,0.00000000,0.00000000,0.00000000,4.93705797,0.00000000,-0.83719826,0.11799427,1.07578635,0.79489064,0,15:25:12.5,0,0
16,0.38825154,1.15945065,0.03018110,0.56970799,1.36716759,-1.38643789,-0.86324620,-0.90472788,3.51989841,0.00000000,-1.14609778,-0.22646667,0.17363639,-0.39610440,-0.12671757,-0.21697198,0.13757557,-0.42098492,0.14341617,-0.07426810,-0.25481528,0.55653578,0.31915304,0.03385558,0.14540480,0.00000000,0.00000000,0.00000000,3.39487195,0.00000000,-0.11609012,-0.24727030,1.07578635,-0.46280277,0,15:25:12.6,0,0
17,-0.01824231,-1.07256579,-0.05546667,-0.54915595,-0.43796524,0.17289089,0.21776506,-0.90472788,-0.29573530,0.00000000,0.20226967,-0.24298327,0.10421631,-0.59490889,-0.13808300,-0.28616595,-0.16273235,-0.42098492,0.06061472,-0.22058411,-0.27257344,0.53051049,0.30114701,-0.02138177,0.12587513,0.00000000,0.00000000,0.00000000,4.90526772,0.00000000,-0.83719826,-0.33713919,0.00000000,-0.92367941,0,15:25:12.7,0,0
18,1.83297205,4.97457170,0.34108916,1.03437579,1.41414320,1.47493351,0.88193011,0.41965544,0.00000000,-7.28486681,-3.20290303,-0.25649717,-0.01387519,0.09853448,-0.16045536,-0.15874949,0.29112771,-0.43033066,0.15250731,-0.07426810,-0.28654531,0.56529266,0.33522451,-0.00436574,0.13439396,0.00000000,0.00000000,0.00000000,4.93705797,0.00000000,1.51155937,-0.08184390,1.07578635,0.28228053,0,15:25:12.8,0,0
19,1.83297205,0.00000000,0.75552422,1.64067948,2.37081075,-1.93482471,-1.55993617,-0.49618268,0.00000000,0.00000000,-1.06469226,-0.26857650,-0.07326366,-0.26868024,-0.15204318,-0.20024818,0.19323610,-0.44434869,0.13434035,-0.09722281,-0.29585940,0.54784745,0.31455481,-0.02138177,0.12134130,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.20993948,-0.35875833,0.00000000,-1.14703786,0,15:25:12.9,0,0
20,-0.01824231,-1.07256579,-0.05546667,-0.59122312,-1.17303181,-0.92284948,-0.58463961,-0.90472788,1.28788197,2.30487323,1.08311319,-0.24895275,0.09968181,0.18387787,-0.18303367,-0.16663770,0.42589614,-0.47222051,0.01979521,0.14007883,-0.30421150,0.55556428,0.31016338,-0.03661594,0.13182794,-6.35473824,0.00000000,0.00000000,-1.14186978,0.00000000,2.18894506,0.18482056,1.73505890,1.06766605,0,15:25:13.0,0,0
