Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190402095213
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,1824,1600,1712,1456,1004,822,598,583,668,0,637,606,620,0,602,585,618,595,1399,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,15,15,24,24,7,7,7,7,62,62,7,7,7,7,7,7,30,30,48,48,14,14,6,6,7,7,14,14,6,6,7,7,12,12,6,6,12,12,7,7,7,7,15,15,6,6,6,6,6,6,6,6,7,7,6,6,6,6,31,31,6,6,31,31,15,15,31,31,7,7,6,6,15,15,24,24,7,7,88,88,7,7,6,6,15,15,44,44,7,7,7,7,7,7,94,94,31,31,6,6,7,7,7,7,6,6,6,6,6,6,6,6
Digital Gain,3.28,4.56,2.57,3.41,3.57,5.03,2.33,2.88,3.24,3.35,5.24,4.79,4.46,7.46,2.30,3.38,8.06,5.13,2.82,2.70,1.12,21.63,3.22,1.77,1.47,27.35,1.83,35.00,2.61,3.07,3.84,4.24,1.76,46.28,2.68,3.15,1.77,45.80,2.71,85.55,4.01,3.60,4.78,4.66,2.25,2.25,2.83,2.70,2.75,2.63,1.00,1.00,1.92,54.07,26.74,1.00,100.00,100.00,34.76,1.00,100.00,100.00,66.51,80.31,2.04,3.72,1.00,100.00,2.45,3.02,2.20,2.80,3.15,3.96,3.42,7.29,3.27,5.59,10.49,10.08,5.36,3.13,1.00,15.66,100.00,100.00,100.00,100.00,3.20,3.87,1.57,41.18,1.21,27.18,1.49,1.48,2.70,2.76,2.29,2.31,2.28,3.10,1.66,50.85,13.25,100.00,100.00,100.00,1.00,1.00,100.00,100.00

Measurement Information
Date,2019/04/02 09:52:24
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.03250286,-0.04535829,0.36454004,-0.09574005,0.11963613,-0.27845427,-0.18416528,-0.11349692,0.18898365,-0.91881621,0.02127161,-0.19322784,-0.04162607,-0.34746128,-0.05297189,-0.13144086,-0.17884415,0.13878021,0.03484196,0.76119983,0.26901841,0.49235180,0.13473260,-0.08918085,-0.49579149,0.00000000,-0.11003934,-0.04750645,0.78492486,5.40429735,-1.46759069,-3.37007523,0.26645902,0.00000000,0,09:52:33.1,0,0
2,-0.03968611,-0.05363737,0.28704682,-0.11189462,0.10721458,-0.29402107,-0.22185028,-0.10346524,0.06816544,-0.94589573,-0.04151994,-0.22517745,-0.22830196,-0.25859118,-0.06463010,-0.10576617,-0.21686555,0.06562398,-0.70018029,-0.85139591,0.20130740,0.61214924,0.19634888,-0.10438477,-0.49579149,0.00000000,0.24953842,0.05842613,0.78492486,3.17239451,-3.69960713,-1.78649378,0.26844704,-1.46769011,0,09:52:33.2,0,0
3,-0.03998874,-0.04392698,0.27984723,-0.10724998,0.05340790,-0.26711792,-0.18445325,-0.11840025,0.14235494,-0.93854743,-0.02113411,-0.27914315,-0.08989008,-0.19223227,-0.10879757,-0.19890644,-0.25462562,0.05588841,-0.36997166,-0.87925059,0.19265182,0.55391687,0.14881742,-0.17514136,-0.55543000,-11.65427017,0.01086795,-0.04750645,-3.03019619,4.54817104,-1.46759069,-1.89820206,0.20389073,-1.46769011,0,09:52:33.3,0,0
4,-0.07136235,-0.04054971,0.25583342,-0.12483995,0.11015180,-0.26311684,-0.20296849,-0.12693553,0.13096125,-0.93759012,-0.01156745,-0.28557265,-0.20447427,-0.45637044,-0.15074600,-0.23858239,-0.46589378,0.02143453,-0.21030763,1.15363503,0.19583231,0.56092256,0.19236876,-0.13659915,-0.52230084,0.00000000,0.01086795,0.05842613,0.78492486,3.17239451,-1.46759069,-2.17698789,0.21605133,0.00000000,0,09:52:33.4,0,0
5,-0.01389252,-0.09437361,0.34049037,-0.14367683,0.05738228,-0.30500448,-0.22641210,-0.13685425,0.14839306,-0.90043318,0.01418526,-0.35016391,-0.27091345,-0.08730900,-0.21350667,-0.29241091,0.20153196,-0.03574532,0.03731051,2.63031626,0.09159344,0.44965073,0.11978637,-0.20425127,-0.54984957,-15.43564892,0.45970696,-0.14755692,-1.60911977,0.73284876,-2.85833359,-3.22238231,0.22076480,-14.36817265,0,09:52:33.5,0,0
6,0.00089812,-0.01635987,0.32064992,-0.10724998,0.15196708,-0.25130227,-0.17894442,-0.10346524,0.20022129,-0.92595971,0.02209802,-0.24393572,-0.24272671,-0.52126187,-0.08538421,-0.20656404,-0.29212889,0.03776081,-0.40140054,-0.91251880,0.17122617,0.58582789,0.18402338,-0.13521372,-0.50071359,0.00000000,-0.31142733,0.05842613,0.00000000,4.54817104,-1.46759069,-0.58885938,0.25704816,0.00000000,0,09:52:33.6,0,0
7,0.01117818,-0.01984441,0.31324035,-0.09652888,0.13844208,-0.25030455,-0.18326546,-0.11207226,0.15700348,-0.88846314,-0.04647405,-0.25907004,-0.02034796,-0.28706414,-0.11093792,-0.17790498,-0.28144902,0.07857262,-0.35415697,2.74506187,0.21388711,0.62593162,0.19781011,-0.12659015,-0.53456289,0.00000000,0.05997525,0.05842613,-2.16769934,2.58711386,0.83713472,-1.96562290,0.25197917,0.00000000,0,09:52:33.7,0,0
8,0.00761821,0.00293451,0.32563689,-0.09962723,0.10637069,-0.27440003,-0.14060932,-0.11840025,0.14839306,-0.91314548,-0.02409408,-0.25907004,-0.35691985,0.10548629,-0.11093792,-0.11626475,0.40009385,0.04391396,-0.02850334,1.33855259,0.20491678,0.55330944,0.15770672,-0.15788126,-0.52719432,0.00000000,-0.14956275,-0.04750645,-0.72547078,3.17239451,0.83713472,-1.66957963,0.25000212,4.49033451,0,09:52:33.8,0,0
9,0.00089812,-0.00665944,0.32203054,-0.09652888,0.11948485,-0.18069018,-0.14153270,-0.11840025,0.32595202,-0.89465773,-0.04083780,-0.24393572,-0.20447427,-0.67990726,-0.10879757,-0.21797797,-0.97653800,0.06848250,-0.36997166,1.06529939,0.21698639,0.52156168,0.12960900,-0.16604260,-0.51462585,0.00000000,-0.13972387,0.27241722,0.00000000,4.54817104,2.34753060,1.69021785,0.25396731,0.00000000,0,09:52:33.9,0,0
10,0.02068803,-0.04054971,0.36602187,-0.11567206,0.08855369,-0.23570143,-0.12398774,-0.11693706,0.24635583,-0.86591989,-0.13415307,-0.28900510,-0.24256286,0.21593842,-0.15724424,-0.17474891,0.77088797,-0.01012017,-0.08590969,0.64168066,0.09199427,0.45857701,0.10499299,-0.17529495,-0.50804102,0.00000000,0.50831109,-0.04750645,0.78492486,1.57571149,-5.28322411,-1.66957963,0.19765934,5.00289440,0,09:52:34.0,0,0
11,-0.02435720,-0.05493359,0.33315745,-0.08037431,0.08736117,-0.26698688,-0.24507178,-0.12693553,0.13096125,-0.88051051,-0.00871621,-0.30050766,-0.43303880,-1.01049602,-0.18230942,-0.28933629,-1.31640697,-0.05364221,-0.11182473,-4.68269634,0.06368525,0.54935396,0.16218799,-0.23369795,-0.54316795,0.00000000,-0.07171212,0.16638660,0.00000000,2.58711386,3.43762708,3.87029195,0.18930452,0.00000000,0,09:52:34.1,0,0
12,-0.05539824,-0.05148832,0.27259251,-0.09206903,0.19739214,-0.20061551,-0.18271261,-0.10347839,0.22971338,-0.92065656,-0.05213190,-0.29476923,-0.09653312,-0.61808646,-0.16727147,-0.34525910,-0.36476344,-0.10176799,-0.67542309,2.49678016,-0.03612544,0.44965073,0.11477476,-0.23406687,-0.48103759,0.00000000,0.23990223,-0.04750645,-2.16769934,4.54817104,-2.60951042,-2.22387743,0.21087044,0.00000000,0,09:52:34.2,0,0
13,0.04311708,0.03550701,0.39045963,-0.01558325,0.41988239,-0.08107264,-0.20212361,-0.05373752,0.30568850,-0.97616088,-0.05622165,-0.16852769,-0.02711231,-0.40422741,-0.01672449,-0.19216573,-0.15029685,0.06190446,-0.01800720,-1.20282590,0.05190321,0.31695399,0.03280461,-0.21118508,-0.50255406,0.00000000,-0.06207157,0.27241722,0.00000000,0.00000000,-0.37749398,-2.73844266,0.33771446,0.00000000,0,09:52:34.3,0,0
14,-0.01241327,0.04389005,0.31374991,0.04612876,0.51795799,0.05546101,-0.15723625,-0.06396130,0.25394413,-1.04451621,-0.07823607,-0.17358314,0.00700372,-0.48440802,-0.02403680,-0.16520272,-0.30336079,0.13409525,0.17837471,2.38190985,0.07219825,0.33867025,0.01979495,-0.18144721,-0.49378791,0.00000000,0.51321930,0.27241722,0.78492486,0.00000000,-2.97849894,-0.89422464,0.40384638,6.18896246,0,09:52:34.4,0,0
15,0.04671219,0.03075784,0.35518351,0.02063638,0.46587899,0.11911886,-0.13890924,-0.06899072,0.24177001,-1.07961774,-0.02732427,-0.14730659,-0.16027966,-0.43201613,-0.06807024,-0.13870056,-0.46037203,0.19733550,-0.05089693,1.53527069,0.10062043,0.29126763,-0.01109586,-0.24299845,-0.53394145,0.00000000,-0.13972387,0.49932417,-5.98282003,0.00000000,-2.97849894,-3.34774137,0.44012767,0.00000000,0,09:52:34.5,0,0
16,0.06512239,0.08562683,0.33816710,0.04266793,0.61195612,0.11375044,-0.18095292,-0.06899072,0.16386580,-1.06860244,-0.00862139,-0.14730659,-0.22110964,-0.45504758,-0.06133905,-0.06995308,-0.31877059,0.23213647,-0.19366209,1.02546537,0.12452384,0.32533976,-0.00621714,-0.19587998,-0.51363635,0.00000000,0.40998423,0.61643857,0.78492486,0.00000000,2.18550205,1.69021785,0.47313482,0.00000000,0,09:52:34.6,0,0
17,0.03340080,0.05415606,0.32106316,0.05294912,0.54588538,0.07921585,-0.22469206,-0.07915703,0.10715751,-1.09683764,-0.02084666,-0.18720520,-0.26512048,-0.25879484,-0.13552444,-0.01641282,0.04706965,0.21672285,0.01961581,1.49412346,0.04302069,0.24936067,-0.03516907,-0.25885665,-0.54255664,-15.43564892,0.21990742,0.27241722,-8.21483612,0.00000000,-2.97849894,-0.35354123,0.42319128,4.49033451,0,09:52:34.7,0,0
18,-0.02637472,0.02574395,0.23599672,0.03239709,0.49797219,0.17938422,-0.13445938,-0.08200399,0.26885539,-1.04758191,-0.14201394,-0.19970363,-0.19921789,-0.49624041,-0.14011952,-0.06638778,-0.37603179,0.21580322,-0.13363729,1.91027844,-0.00859978,0.23957781,-0.05090706,-0.25019574,-0.54758680,0.00000000,-0.36077243,0.61643857,0.00000000,0.00000000,-0.04651445,-0.63439089,0.42766330,2.18540263,0,09:52:34.8,0,0
19,0.10680047,0.12739739,0.38881367,0.08789144,0.58913445,0.21283188,-0.11330305,-0.07039913,0.30568850,-1.02869928,-0.00871621,-0.09566699,-0.02003337,-0.32297346,-0.02609963,0.02659613,-0.18568131,0.34663713,0.01095443,-0.35373849,0.09199427,0.20159647,-0.07288568,-0.18342318,-0.52121204,0.00000000,0.11459724,0.49932417,-2.16769934,0.00000000,2.18550205,1.50213015,0.47533765,0.00000000,0,09:52:34.9,0,0
