Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190409094057
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1712,1456,1204,940,618,595,548,0,587,576,560,0,592,579,553,556,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal
Analog Gain,72,72,6,6,12,12,7,7,98,98,12,12,12,12,6,6,31,31,6,6,12,12,6,6,31,31,15,15,12,12,12,12,15,15,7,7,24,24,7,7,15,15,6,6,6,6,15,15,31,31,120,120,15,15,15,15,6,6,6,6,6,6,31,31,6,6,31,31,6,6,88,88,7,7,15,15,6,6,31,31,7,7,28,28,6,6,6,6,30,30,49,49,94,94,124,124,30,30,22,22,31,31,15,15,6,6,6,6,6,6,6,6
Digital Gain,5.49,1.00,39.44,1.00,2.57,3.65,2.88,3.90,2.23,2.24,3.15,4.27,2.45,4.98,4.46,4.73,18.69,100.00,1.00,9.20,6.64,44.92,2.90,1.93,2.61,61.63,6.32,100.00,2.73,3.18,4.96,5.14,10.27,1.00,4.58,5.13,4.84,1.00,7.98,100.00,7.68,5.67,7.33,7.01,5.60,3.63,4.10,3.90,7.49,4.83,1.00,1.00,1.75,84.30,1.30,45.95,74.92,100.00,100.00,1.00,100.00,100.00,70.67,99.90,65.66,100.00,1.00,1.00,20.25,1.00,3.73,3.73,3.84,4.98,2.34,4.52,1.68,2.38,4.84,4.84,4.44,3.23,1.44,47.08,9.89,100.00,11.70,14.83,2.02,2.58,2.23,100.00,71.59,1.00,3.44,3.43,2.38,2.11,3.26,1.83,3.67,3.53,1.39,49.39,9.62,100.00,60.27,95.53,100.00,1.00,26.29,36.46

Measurement Information
Date,2019/04/09 09:41:01
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.02723217,-0.76381993,-0.12886953,-0.16969690,-0.20338765,-0.40800577,-0.28836045,3.12184668,-1.33847821,-9.02718353,5.03107977,-0.16066858,2.11683035,1.59007454,0.15214790,0.09091544,0.36544114,-0.05410898,-0.03294080,0.48223069,0.09348024,-0.20950174,0.00622171,-0.16120309,0.04074045,0.00000000,0.86125690,-0.01232312,-0.43859905,-0.40379924,-1.28042912,-1.00527465,-0.38073659,0.00000000,0,09:41:10.1,0,0
2,-0.02723217,-0.02751375,-0.11117953,-0.14970058,-0.21598676,-0.29119343,-0.19089927,2.76840377,0.53787965,0.00000000,5.44336224,-0.12259491,0.73478854,-1.09204853,0.07343035,-0.09551226,0.27609754,-0.08222262,0.10694499,0.86002332,0.11528254,-0.20307148,0.12682386,-0.12512346,0.06661187,0.00000000,-0.33806211,-0.13461588,0.70651656,1.82804620,-0.77333510,0.08175258,-0.51316506,0.00000000,0,09:41:10.2,0,0
3,-0.17907760,-0.40796918,-0.17142639,-0.16384043,-0.24026577,-0.40782538,-0.28836045,3.23796248,-0.81044650,0.00000000,5.24354887,-0.12064324,1.22351050,-1.77376854,0.07059234,-0.06084368,0.32056049,-0.06865734,0.01007652,0.62089115,0.11249574,-0.12326108,0.03871600,-0.26214147,-0.11716352,0.00000000,-0.78560323,-0.28098747,-1.05052125,0.59984404,-2.35695243,-1.74143958,-0.82479233,0.00000000,0,09:41:10.3,0,0
4,-0.39707726,-0.02751375,-0.17976025,-0.14140928,-0.20970576,-0.34886584,-0.23257037,3.26187539,0.21884944,-8.25779343,5.52516985,-0.25109047,0.80194563,-0.48574483,-0.07015949,-0.05896592,0.23193653,-0.19476826,-0.05670782,0.52808768,-0.00655230,-0.36065629,-0.04796684,-0.26729131,-0.12523183,0.00000000,0.80449653,-0.16191137,-0.68900484,-0.40379924,-2.35695243,-0.32830450,-0.38073659,0.00000000,0,09:41:10.4,0,0
5,-0.17907760,-0.02751375,-0.12336816,-0.14673769,-0.16170901,-0.32374468,-0.17715837,3.41979337,0.96645343,-10.56272507,5.98083925,-0.33428544,1.37717628,2.08533263,-0.05041276,0.02315203,0.18379754,0.05728898,0.08256758,0.62089115,0.35860547,-0.12877125,0.08061768,-0.11355078,0.06868207,0.00000000,0.87555337,-0.13920298,-0.30856106,0.59984404,-2.35695243,-0.03825944,-0.06910930,0.00000000,0,09:41:10.5,0,0
6,-0.25120676,-0.40796918,-0.13442504,-0.14970058,-0.11809975,-0.34886584,-0.21862197,3.01576996,0.40705734,-11.37823391,2.46392179,-0.13207015,0.73478854,0.71116680,0.13850698,0.19273919,0.50685179,-0.00245479,0.05829767,0.52808768,0.15827636,-0.24194095,-0.03391888,-0.16814578,-0.09652535,0.00000000,0.33124006,-0.28098747,-1.43096507,-0.40379924,-1.28042912,-0.87630999,0.01094603,0.00000000,0,09:41:10.6,0,0
7,0.15776753,0.38113612,-0.11854260,-0.09430405,-0.07119486,-0.24847123,-0.12701181,3.25652456,0.67195278,-12.33486652,4.84021950,0.06520753,2.07600999,-0.79370475,0.36666852,0.22440648,0.75262117,0.16260965,0.22539695,0.86002332,0.43593124,-0.05966752,0.12788948,-0.14831774,-0.04146066,0.00000000,-0.30453953,-0.25812811,0.10021281,3.41166353,1.45868146,6.13400888,-0.17762855,0.00000000,0,09:41:10.7,0,0
8,0.12886178,-0.02751375,-0.14275891,-0.13246553,-0.13644578,-0.31289858,-0.19089927,3.03381753,0.21884944,0.00000000,1.33502936,0.00664476,-0.21894102,-0.91404378,0.20550160,0.05443452,0.46086508,0.08764423,0.17575732,0.86002332,0.27583250,0.01547780,0.18969114,-0.08221657,0.02670969,0.00000000,0.91860825,-0.40162230,-0.68900484,1.82804620,1.53139031,-1.04701662,0.32257333,0.00000000,0,09:41:10.8,0,0
9,-0.07835244,-0.21860732,-0.14651592,-0.12423084,-0.18259481,-0.38526112,-0.23749417,2.62391520,-0.58309281,0.00000000,2.97071743,-0.11800195,0.91285866,2.08533263,0.10720737,0.06573523,0.27609754,-0.10699891,0.03413429,0.25871074,0.03459491,-0.31307116,-0.11933139,-0.13490710,-0.12583007,0.00000000,1.54301393,-0.26267359,0.07396115,-0.40379924,1.02460575,-0.95549071,0.37891501,-9.47261238,0,09:41:10.9,0,0
10,-0.17907760,-0.21860732,-0.17082112,-0.17231910,-0.08568456,-0.35174516,-0.22348702,2.93401647,-0.11569937,0.00000000,-2.63548207,-0.16766249,1.32836306,0.44978139,0.04734987,0.05288487,0.65205026,-0.01690051,0.13137020,0.81132847,0.22718671,-0.01963509,0.21338049,-0.22337487,-0.08509164,0.00000000,-0.00846989,-0.11634362,0.29774269,0.59984404,1.53139031,-0.87630999,0.32257333,0.00000000,0,09:41:11.0,0,0
11,0.02430877,-0.02751375,-0.13549568,-0.12423084,-0.19469300,-0.39924353,-0.27983806,3.19602394,-1.16077578,0.00000000,5.21420956,-0.14228439,1.29006875,-0.88536334,0.05662452,0.11191355,0.65205026,0.08372618,0.17575732,0.66792297,0.29466212,-0.01152093,0.15555698,-0.19684805,-0.07474765,0.00000000,0.29792005,-0.25812811,-0.30856106,1.82804620,-0.77333510,-4.84216595,-0.51316506,0.00000000,0,09:41:11.1,0,0
12,0.10490870,0.17558782,-0.06806000,-0.12119317,-0.05390552,-0.36379883,-0.20591691,3.00930214,-0.72422361,0.00000000,2.34440899,-0.04801076,0.96669120,-0.94251680,0.18763021,0.07984684,0.50685179,0.06607178,0.13137020,0.57425779,0.25259906,-0.22326978,0.00936008,-0.08221657,0.05450681,0.00000000,0.65322328,-0.25352189,-0.30856106,0.59984404,-0.05222701,2.37866926,-0.06910930,0.00000000,0,09:41:11.2,0,0
13,0.07633723,-0.02751375,-0.15388055,-0.10995869,-0.08271660,-0.40800577,-0.28564751,2.96874475,-1.64205599,0.00000000,3.88305449,-0.18764478,1.62924099,2.39201689,0.10230424,0.18630247,0.32056049,-0.03288136,0.08256758,0.34704626,0.14314422,-0.24267825,-0.01909191,-0.10205413,-0.04267576,0.00000000,1.59544754,0.15489076,0.07396115,-0.40379924,0.06793828,0.08158749,0.36127537,4.64034414,0,09:41:11.3,0,0
14,0.10490870,-0.21860732,-0.11854260,-0.13246553,-0.05390552,-0.38658524,-0.26794583,2.74844551,-2.50907445,-10.56272507,1.70506763,-0.12989998,1.54005826,0.95080769,0.18266925,0.08400536,0.36544114,0.01267348,0.08256758,0.66792297,0.16634053,-0.13432086,0.10833209,-0.12188217,-0.12878689,0.00000000,1.37191653,0.03341491,0.07396115,-1.25226450,-0.93570501,-0.73687357,0.06196385,-10.36760235,0,09:41:11.4,0,0
15,0.18195260,-0.02751375,-0.09723131,-0.12956171,0.00541647,-0.37250584,-0.26274982,2.62340212,-2.08611155,0.00000000,2.59823728,-0.11741938,-0.07377800,-0.42550457,0.09122207,0.04810550,0.36544114,0.15445316,0.17575732,0.71528655,0.39686984,-0.02455464,0.13236797,-0.11520888,-0.04818337,0.00000000,0.36476263,-0.09338892,-0.68900484,0.59984404,-0.05222701,-0.36289361,0.01094603,0.00000000,0,09:41:11.5,0,0
16,0.15776753,-0.02751375,-0.11854260,-0.09740265,-0.09130153,-0.39801288,-0.29683799,2.95127153,-3.02915525,-9.96858501,3.20457840,-0.01388204,0.24609701,0.26711103,0.20722035,0.10941768,0.50685179,0.13676013,0.27555051,0.71528655,0.39690268,-0.03474986,0.10465355,-0.16065711,-0.11084610,0.00000000,-0.69507533,-0.23054792,-0.68900484,-0.40379924,0.01633375,-0.43967891,-0.82479233,0.00000000,0,09:41:11.6,0,0
17,-0.05051697,-0.40796918,-0.13442504,-0.14970058,-0.01258220,-0.30191496,-0.14532904,3.23193645,1.14622951,-8.64061069,5.75905037,0.10382537,2.12596488,0.62040293,0.39357629,0.07557788,0.41520247,0.20910919,0.17575732,0.57425779,0.51333117,-0.01564099,0.12245531,-0.12188217,-0.04267576,0.00000000,1.13368201,0.04259680,0.42985910,-0.40379924,1.29614043,-0.00490577,0.36127537,2.33541250,0,09:41:11.7,0,0
18,0.02430877,-0.40796918,-0.12336816,-0.13021575,-0.09439302,-0.43569714,-0.30316848,3.37325597,-1.81243360,-7.94747114,6.49459314,-0.19882984,2.10244656,1.04055846,0.05972705,0.11994438,0.46086508,0.00377620,0.03413429,0.43682292,0.16177391,-0.28768685,-0.02101253,-0.17269972,-0.08883808,0.00000000,0.00582657,0.17323926,0.18379258,0.59984404,1.29614043,0.69263673,0.01094603,2.33541250,0,09:41:11.8,0,0
19,0.15776753,-0.02751375,-0.10012265,-0.14673769,-0.06378067,-0.41882354,-0.31767577,3.36121655,-5.79886770,0.00000000,5.41452885,-0.07016875,0.38293445,-0.82280535,0.15080403,0.18295348,0.69972920,0.17041235,0.29571569,0.57425779,0.53346336,-0.03074910,0.09972400,-0.13572760,-0.04744063,0.00000000,-1.13772714,-0.22134297,0.10021281,3.41166353,1.45868146,4.26953650,-0.17762855,0.00000000,0,09:41:11.9,0,0
