Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190409090702
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1059,855,603,586,633,0,622,597,610,0,647,612,538,548,1759,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,47,47,6,6,44,44,6,6,6,6,15,15,12,12,6,6,31,31,6,6,6,6,6,6,7,7,7,7,6,6,6,6,7,7,7,7,7,7,6,6,7,7,6,6,6,6,14,14,31,31,124,124,22,22,49,49,6,6,6,6,6,6,31,31,6,6,44,44,6,6,15,15,12,12,12,12,7,7,60,60,7,7,6,6,15,15,12,12,15,15,7,7,7,7,15,15,12,12,12,12,31,31,44,44,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,1.00,1.89,5.45,98.69,100.00,1.00,1.00,3.34,5.96,2.80,5.89,1.73,2.74,20.04,45.09,2.91,1.89,1.16,21.36,4.23,2.41,3.03,57.25,2.79,55.82,2.43,3.26,3.60,4.49,5.45,100.00,4.31,5.35,3.37,100.00,2.19,54.16,5.55,5.36,3.46,3.93,5.26,2.54,2.99,3.19,6.69,3.50,1.00,1.00,1.86,100.00,2.28,100.00,100.00,100.00,1.00,1.00,100.00,100.00,41.37,52.65,1.00,1.00,100.00,51.25,100.00,100.00,100.00,100.00,2.48,4.44,2.66,5.25,2.38,4.00,4.88,4.99,4.73,2.95,1.15,21.19,1.57,32.00,1.98,3.28,2.55,3.48,1.63,54.46,1.44,29.45,2.52,2.73,2.35,2.52,4.21,1.92,5.39,3.50,1.32,45.13,51.63,100.00,100.00,100.00,1.00,1.00,100.00,100.00

Measurement Information
Date,2019/04/09 09:07:24
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.37993091,-0.55527711,-0.17747611,-0.62957317,0.00000000,-0.27520987,-0.19201551,-0.34479955,-0.33028334,-0.48922402,-0.10961744,-0.43676838,0.39214575,-0.07518595,-0.51883203,-0.53464800,-0.27428338,-0.31452397,-0.28361878,-0.03767417,-0.33473077,-0.41622773,-0.22207871,-0.57881892,-0.49945414,0.00000000,-0.33704513,0.61459762,0.04493107,0.00000000,0.85689026,0.32689136,0.00000000,3.04188156,0,09:07:33.1,0,0
2,4.54340410,-0.55527711,-0.06089208,0.36362976,0.00000000,-0.37471011,-0.26716349,-0.37212560,-0.87651545,-0.53543365,-0.01210254,-0.58043611,-0.56267607,0.19020627,-0.61043906,-0.56327444,5.32767391,-0.43153918,0.74391878,0.23254929,-0.48141581,-0.38274413,-0.20783165,-0.53897899,-0.44722989,0.00000000,8.04759026,0.59158528,-1.05964994,0.00000000,0.08842292,-0.13514327,0.00000000,-0.84965956,0,09:07:33.2,0,0
3,-1.20368636,-2.13889432,-0.14371617,-1.06728196,0.00000000,-0.32825682,-0.17755622,-0.40441266,-0.22948548,-0.61368942,-0.20781355,-0.57010466,0.01943333,-0.08855650,-0.63174403,-0.55782318,-0.24833988,-0.42594039,-1.07143152,-0.35714281,-0.44884276,-0.45007572,-0.23638707,-0.58373582,-0.51168537,0.00000000,-0.39832297,0.15874375,0.07131798,0.00000000,0.35010588,0.40656975,0.00000000,-0.00119431,0,09:07:33.3,0,0
4,0.00000000,0.00000000,-0.28694719,0.99836326,0.00000000,-0.25651819,-0.15930028,-0.37212560,0.13997892,-0.52634901,-0.20333047,-0.42609748,-0.18775193,-0.40659535,-0.58675486,-0.56919223,-0.20042978,-0.41202703,-1.05770469,0.25030568,-0.39087895,-0.33058137,-0.10743566,-0.57237947,-0.40507564,0.00000000,-0.35594571,-0.21192011,-0.04865846,0.00000000,3.08890676,0.71094239,0.00000000,-1.46294761,0,09:07:33.4,0,0
5,0.00000000,1.67673934,-0.21235552,0.80768549,0.00000000,-0.26948470,-0.12558344,-0.38600245,0.31490889,-0.56021255,-0.03886661,-0.50043738,0.17621775,-0.08855650,-0.59713858,-0.55782318,3.07063198,-0.40115362,0.24497259,0.71587056,-0.41383815,-0.33862895,-0.15297559,-0.57472986,-0.41786963,0.00000000,3.42366743,0.97414768,0.07131798,0.00000000,-0.60656172,0.59807956,0.00000000,9.36777878,0,09:07:33.5,0,0
6,0.00000000,5.49186039,-0.09287416,-0.22850381,0.00000000,-0.33450717,-0.25715905,-0.35695037,-1.20659685,-0.49539250,-0.33692816,-0.46181527,-0.65589708,-0.70894355,-0.49005014,-0.51658463,-0.22659953,-0.33960593,-1.03938639,-0.51010567,-0.36632410,-0.40640777,-0.21837409,-0.51992559,-0.46707132,0.00000000,-0.31807941,-0.20268419,0.69330192,0.00000000,-0.72672707,0.01079630,0.00000000,-0.55944979,0,09:07:33.6,0,0
7,0.00000000,5.49186039,-0.13714407,-0.22850381,0.00000000,-0.29547548,-0.18145373,-0.33547762,-0.68023294,-0.51515228,-0.15852275,-0.49399653,-0.49493998,-0.18091246,-0.52676481,-0.51658463,-0.22659953,-0.28347382,-0.29742613,-0.30822563,-0.30959687,-0.34721592,-0.10320645,-0.48300368,-0.37166885,0.00000000,-0.30857217,-0.22114079,-0.69702929,0.00000000,0.62164032,0.33261251,0.00000000,-0.89403588,0,09:07:33.7,0,0
8,6.84812927,5.49186039,-0.00532185,0.37779993,0.00000000,-0.26356119,-0.16305883,-0.34819245,-0.19246027,-0.52100182,-0.27127415,-0.35697049,-0.08738704,-0.50141317,-0.40324101,-0.47630247,-0.15648051,-0.26294973,-1.93606639,-0.15391642,-0.26934871,-0.32749808,-0.12168273,-0.44648102,-0.31790730,0.00000000,-0.29425061,-0.14688249,0.69330192,0.00000000,2.20525765,-0.08749171,0.00000000,-1.26229930,0,09:07:33.8,0,0
9,9.89512444,5.49186039,0.07853060,0.37779993,0.00000000,-0.32741252,-0.24743113,-0.33547762,-0.76923829,-0.50348377,-0.15852275,-0.48769471,0.11353636,-0.50141317,-0.50411063,-0.48496491,-0.17849900,-0.32856664,0.30887759,0.11241516,-0.33473077,-0.34185988,-0.16117299,-0.50403011,-0.42661199,0.00000000,-0.30857217,1.05789256,0.65123481,0.00000000,0.62164032,0.40947545,0.00000000,2.11451793,0,09:07:33.9,0,0
10,4.87606144,0.00000000,-0.09509620,2.11722732,0.00000000,-0.33838692,-0.21595082,-0.36347389,-0.62211388,-0.56021255,-0.01210254,-0.56549472,-0.37631965,0.19917575,-0.56593561,-0.50910467,3.02294827,-0.33748391,0.29055929,0.25920525,-0.38030410,-0.29390150,-0.09894477,-0.54264164,-0.45494840,0.00000000,-0.36543012,-0.71524441,0.04493107,0.00000000,-0.60656172,-0.17493589,0.00000000,-0.62992191,0,09:07:34.0,0,0
11,-7.25099468,5.49186039,-0.23876919,0.89036012,0.00000000,-0.32741252,-0.22886927,-0.37677437,-0.76923829,-0.55200553,-0.07513642,-0.48662734,-0.22827101,-0.35727984,-0.58159703,-0.52562630,-0.17849900,-0.35427117,-1.99605405,-0.04654505,-0.35043222,-0.39732710,-0.18976937,-0.55813879,-0.36744642,0.00000000,-0.33704513,-0.13753678,0.68640816,0.00000000,0.78418136,1.38158619,0.00000000,-0.72088504,0,09:07:34.1,0,0
12,-7.25099468,-0.55527711,-0.33974761,-1.23587692,0.00000000,-0.31807947,-0.21205381,-0.35952908,-0.20996277,-0.56554908,-0.02995949,-0.52605402,-0.53571522,-0.74488854,-0.57404166,-0.56038904,-0.20042978,-0.39820579,-0.36133114,0.07251633,-0.40340889,-0.41622773,-0.21351603,-0.62774670,-0.54822898,0.00000000,-0.40767696,0.24137154,-1.00532603,0.00000000,0.62164032,0.33261251,0.00000000,-1.46294761,0,09:07:34.2,0,0
13,-8.09950829,-0.55527711,-0.25928456,-0.11701293,0.00000000,-0.34220505,-0.22637537,-0.34479955,-0.87651545,-0.52347720,-0.07069440,-0.41240066,-0.30389374,-0.04823522,-0.48126689,-0.50568098,3.04889154,-0.33443362,-0.34316415,0.32283404,-0.38030410,-0.36384350,-0.23237881,-0.46771139,-0.45875672,0.00000000,-0.32757062,0.99729544,0.07131798,0.00000000,0.62164032,-0.26154125,0.00000000,-3.45381117,0,09:07:34.3,0,0
14,0.00000000,-2.13889432,-0.07289911,-0.11066598,0.00000000,-0.33838692,-0.23030974,-0.35410610,-0.79246312,-0.53516597,-0.10961744,-0.46176550,0.41936275,-0.19445962,-0.42703986,-0.49651152,-0.22659953,-0.30858290,-1.05770469,0.35374761,-0.35566032,-0.30826333,-0.16708972,-0.51861948,-0.58358544,0.00000000,7.09092188,1.29109883,-0.45334628,0.00000000,0.08842292,-0.78579807,0.00000000,-4.05554247,0,09:07:34.4,0,0
15,0.00000000,-0.55527711,-0.09775515,-0.62957317,0.00000000,-0.17459863,-0.08718885,-0.35347557,0.23799443,-0.52100182,-0.14952856,-0.40637070,0.03908804,-0.45140538,-0.42231679,-0.39916292,-0.10776027,-0.24871477,-0.26519307,0.10352965,-0.27115414,-0.35028604,-0.16973568,-0.51064700,-0.46766847,0.00000000,-0.30857217,0.25528342,0.04493107,0.00000000,-0.72672707,0.28137079,0.00000000,4.97272301,0,09:07:34.5,0,0
16,9.89512444,-0.55527711,0.09883111,-0.14893045,0.00000000,-0.33521965,-0.24743113,-0.33034191,-1.28566456,-0.48075679,-0.04374364,-0.51292485,-1.04592490,-0.16738816,-0.51959461,-0.46475589,-0.22659953,-0.24256024,-0.28361878,0.25920525,-0.31091484,-0.27129352,-0.10743566,-0.47702932,-0.45881763,0.00000000,-0.31807941,-0.67346072,0.04493107,0.00000000,-0.72672707,0.01459554,0.00000000,1.86681783,0,09:07:34.6,0,0
17,8.19649696,-0.55527711,0.00619160,-0.62957317,0.00000000,-0.34610420,-0.24870464,-0.35410610,-0.69691509,-0.50089252,-0.15405531,-0.41756654,0.02534961,-0.50141317,-0.47076553,-0.48732120,-0.22659953,-0.33960593,-0.31574443,-0.37924975,-0.38192511,-0.42830467,-0.30306098,-0.57306820,-0.48778564,0.00000000,-0.36543012,0.26455823,-0.45334628,0.00000000,0.35010588,-0.75473475,0.00000000,-3.57656384,0,09:07:34.7,0,0
18,0.00000000,5.49186039,-0.08832730,1.33441591,0.00000000,-0.37799615,-0.26302621,-0.35761315,-0.97206348,-0.50348377,-0.10961744,-0.51528490,-0.03369670,0.01509232,-0.52318031,-0.38821173,-0.15648051,-0.38238096,-1.08512449,-0.21611911,-0.41932571,-0.39732710,-0.22207871,-0.53936988,-0.46744606,0.00000000,-0.38889509,-0.18877232,-1.27694607,0.00000000,0.35010588,-0.17493589,0.00000000,-1.34328687,0,09:07:34.8,0,0
19,0.00000000,0.00000000,-0.04237340,1.60466695,0.00000000,-0.23904629,-0.16144358,-0.39467672,0.23799443,-0.56946754,-0.19884408,-0.57147074,-0.57613492,0.26203841,-0.58721697,-0.45353287,6.77182531,-0.31452397,-1.02557909,-0.41879791,-0.29532540,-0.44164956,-0.28878948,-0.54900050,-0.42661199,0.00000000,-0.37010789,-0.18877232,0.68640816,0.00000000,-1.44783521,1.01638126,0.00000000,-0.40545365,0,09:07:34.9,0,0
