Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190404133427
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1449,1085,603,586,573,0,517,535,595,0,547,553,568,565,1819,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,28,28,6,6,7,7,6,6,6,6,49,49,49,49,6,6,49,49,7,7,22,22,6,6,6,6,6,6,62,62,7,7,6,6,22,22,7,7,6,6,15,15,7,7,6,6,22,22,14,14,98,98,15,15,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,72,72,120,120,98,98,7,7,6,6,12,12,6,6,12,12,6,6,7,7,31,31,31,31,7,7,24,24,15,15,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,72.12,86.76,100.00,100.00,100.00,1.00,20.76,31.81,1.00,1.00,100.00,100.00,41.51,1.00,2.61,3.47,1.46,27.48,2.08,1.68,1.32,17.88,4.55,70.46,5.66,3.29,30.92,19.53,2.89,79.40,12.95,7.45,2.80,1.00,3.47,100.00,8.81,5.80,7.37,5.94,5.41,5.48,5.36,4.30,3.48,3.69,1.00,1.00,2.13,100.00,1.50,38.79,100.00,1.00,1.00,1.00,100.00,100.00,42.68,52.99,1.00,1.00,1.00,100.00,100.00,1.00,100.00,100.00,8.00,12.17,79.34,1.00,83.30,35.15,39.08,26.55,2.98,2.59,1.43,27.52,1.27,26.78,72.07,52.04,23.64,14.73,1.39,35.83,1.50,37.91,3.49,3.15,4.91,3.94,3.75,3.62,2.14,4.26,1.71,71.02,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/04 13:34:33
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.95550478,1.65840769,0.03575848,1.15591717,0.00000000,-0.81373155,0.00000000,1.82384241,-1.17843413,-0.06773147,0.18997443,0.02308278,0.34712157,-0.13229424,19.04453468,-0.74049062,0.30597481,-0.21630101,0.02074963,3.35904932,0.38304365,-0.18324216,-0.28706035,-0.16418947,-0.15386932,0.00000000,8.20057869,0.19512644,-1.45459259,0.00000000,-1.38750780,-0.79277033,0.00000000,-0.74089712,0,13:34:43.1,0,0
2,-0.22043826,-0.57360870,0.03575848,-0.09170955,0.00000000,0.13012062,3.92581058,4.76701450,-1.93920827,-0.05071156,0.26116636,0.03698459,0.33764702,-0.11282502,13.89980888,-0.74049062,-0.11203120,-0.55231160,-0.00480409,4.03704548,0.20043324,-0.01381714,-0.21799144,-0.16328822,-0.13433214,0.00000000,5.92411947,0.30854651,-3.03820992,0.00000000,0.31112021,-0.45467657,0.00000000,-10.42992020,0,13:34:43.2,0,0
3,-0.95550478,-2.15722585,0.26590210,-0.22752014,0.00000000,-0.21112905,0.00000000,-1.99127865,-1.93920827,-0.08389774,0.09287304,0.05082852,0.39037707,0.39562714,16.98085213,-0.61749512,0.74057513,-0.39649245,0.00539040,1.71155334,0.18302232,-0.10459012,-0.24994363,-0.17667182,-0.15689814,0.00000000,8.68007565,0.33741802,13.64045620,0.00000000,-0.43084019,-1.21593392,0.00000000,2.91240191,0,13:34:43.3,0,0
4,-2.18379235,5.47352886,-0.47546980,1.49182212,0.00000000,1.02602148,0.00000000,1.82384241,-0.53256166,-0.11189794,-0.04458997,0.05510782,0.47918278,0.24349447,9.89390564,0.32002696,0.39080003,-0.13055098,0.03615184,2.66822100,0.33414894,-0.14130738,-0.24994363,-0.08972315,-0.12520188,0.00000000,-0.30741218,0.01708754,4.59254503,0.00000000,0.07594427,0.07963107,0.00000000,0.00000000,0,13:34:43.4,0,0
5,-0.22043826,1.65840769,-0.47546980,0.03705326,0.00000000,-0.28935257,0.00000000,4.76701450,0.20564426,-0.09150483,0.01516964,0.05534110,0.60169905,0.15527463,4.88383627,-0.23645683,0.72566712,-0.18254200,0.03615184,1.66042137,0.28748432,-0.20115365,-0.30455315,-0.10694240,-0.11999267,0.00000000,2.22834325,0.11927222,-1.45459259,0.00000000,3.65632796,0.36446542,0.00000000,3.42496228,0,13:34:43.5,0,0
6,-0.95550478,-0.57360870,0.39070964,0.86490637,12.82281113,0.48293063,0.00000000,-1.99127865,-0.97316086,-0.13567436,-0.09805410,0.00895129,0.42746580,0.13100469,3.34437490,-0.49280545,0.30597481,-0.52945030,-0.05047905,1.71155334,0.10964627,-0.08654442,-0.20743115,-0.17471586,-0.14880380,0.00000000,-0.39741373,0.10961442,-1.45459259,0.00000000,0.79736191,-0.42046493,0.00000000,1.56413794,0,13:34:43.6,0,0
7,0.62802696,5.47352886,-0.47546980,0.64335698,0.00000000,0.51234746,0.00000000,1.82384241,0.75689322,-0.14795190,-0.05549536,0.03097112,0.27171928,-0.47606313,-0.55598646,-0.55330604,-0.12696061,-0.18254200,0.00539040,1.67572379,0.32207066,-0.08654442,-0.26457936,-0.00904653,-0.11354781,0.00000000,-0.36916018,-0.12856647,4.59254503,0.00000000,0.07594427,0.77099669,0.00000000,0.00000000,0,13:34:43.7,0,0
8,-0.95550478,-0.57360870,0.62085325,-0.09170955,0.00000000,-0.74015194,0.00000000,-1.99127865,-0.05360346,-0.14795190,-0.04378082,-0.00163997,0.45168027,-0.15656416,2.42561364,-0.55330604,-0.12696061,-0.26036638,-0.02002911,0.38374656,0.29525733,-0.02511425,-0.18415044,-0.13311122,-0.10839138,0.00000000,-0.36916018,-0.03126079,0.77742398,0.00000000,1.42431164,-0.49816900,0.00000000,-3.04562259,0,13:34:43.8,0,0
9,0.62802696,5.47352886,0.25884086,0.14355813,0.00000000,-1.10391951,0.00000000,0.95189345,2.05904341,-0.13567436,-0.13341069,0.01841193,0.20118703,-0.40786001,19.04453468,-0.15852167,-0.59768391,-0.15491453,0.10851786,-1.97736895,0.37915963,-0.17761999,-0.29441676,0.09708460,0.01397146,0.00000000,-0.24490392,-0.28385809,0.00000000,0.00000000,0.07594427,-0.47674894,0.00000000,0.00000000,0,13:34:43.9,0,0
10,-0.22043826,1.65840769,0.03575848,-0.69801325,0.00000000,-1.13037467,0.00000000,4.76701450,1.05099833,-0.10692866,-0.02670161,0.01724150,0.40922150,0.17474385,-0.06007382,-0.61749512,0.33579323,-0.37610859,9.50697803,1.71155334,0.30030650,-0.06762666,-0.27978101,-0.05341851,-0.02848930,0.00000000,5.96237373,0.19029963,-1.45459259,0.00000000,0.79736191,0.63151419,0.00000000,4.61103010,0,13:34:44.0,0,0
11,0.62802696,0.00000000,-0.72873044,6.93299770,0.00000000,0.58255488,0.00000000,-1.99127865,6.25936699,-0.11759315,-0.16242321,0.07817843,0.39985162,-1.54831457,7.59585285,-0.62348968,-2.88757753,0.25085747,0.16603319,-1.94153941,0.56772745,-0.10393927,-0.29441676,0.14416702,0.01788875,0.00000000,-0.20613731,-0.15748854,0.00000000,0.00000000,2.30796075,1.46609235,0.00000000,0.00000000,0,13:34:44.1,0,0
12,1.63167024,5.47352886,1.21545422,-0.70490706,0.00000000,0.27673838,0.00000000,0.95189345,6.25936699,-0.10592959,-0.06120377,0.04960695,0.39508298,-0.75613934,1.74206674,-0.42432535,-1.20118678,0.00271769,0.15026376,1.73211396,0.46523249,-0.04958097,-0.24994363,0.09708460,-0.00235057,0.00000000,-0.20613731,-0.15264903,4.59254503,0.00000000,0.07594427,0.24891759,0.00000000,0.00000000,0,13:34:44.2,0,0
13,-0.22043826,-0.57360870,0.03575848,-0.69801325,0.00000000,0.84150004,6.21015263,-1.99127865,-0.97316086,-0.10316841,0.02146072,0.04011575,0.28406715,0.13100469,16.98085213,-0.79859465,0.71073776,-0.42106783,0.02074963,2.66822100,0.17217730,-0.04958097,-0.24994363,-0.06947534,-0.07481303,0.00000000,7.61324024,0.08074291,-1.45459259,0.00000000,-0.15930566,-0.91983539,0.00000000,0.00000000,0,13:34:44.3,0,0
14,-0.22043826,0.00000000,0.39070964,3.00802565,0.00000000,-0.07180956,0.00000000,0.95189345,-0.29539043,-0.12632269,0.12905751,0.03064124,0.26985636,-0.80007255,15.22907162,-0.98646319,-1.24100590,-0.33074093,0.02074963,3.39477921,0.24932794,-0.06863295,-0.24782884,-0.20059034,-0.16507536,0.00000000,-0.37859401,-0.06003169,-1.45459259,0.00000000,-2.73587513,-0.81256354,0.00000000,0.60747027,0,13:34:44.4,0,0
15,-0.22043826,1.65840769,-0.03140051,1.49182212,0.00000000,1.08444035,0.00000000,-1.99127865,-0.05360346,-0.11189794,0.03963982,0.00740734,0.37147650,-0.38823450,1.74206674,-0.35945231,0.36068293,-0.22809686,0.05159726,0.34778377,0.28456110,-0.12269686,-0.29441676,-0.05102105,-0.11665934,0.00000000,-0.38801208,0.06157925,0.77742398,0.00000000,1.42431164,-0.76893741,0.00000000,0.00000000,0,13:34:44.5,0,0
16,0.62802696,1.65840769,0.39070964,0.64335698,0.00000000,1.16296494,0.00000000,4.76701450,2.05904341,-0.11189794,0.03354852,0.04461058,0.53151357,-0.45179319,5.57834721,-0.92159015,-0.14184964,-0.19300972,0.03615184,1.69615114,0.38735759,-0.10535020,-0.28706035,-0.05341851,-0.10545330,0.00000000,-0.35494936,-0.06964794,0.77742398,0.00000000,-0.43084019,-0.12784816,0.00000000,0.60747027,0,13:34:44.6,0,0
17,-0.22043826,1.65840769,0.26590210,0.64335698,0.00000000,-0.97505605,0.00000000,1.82384241,-0.05360346,-0.09150483,0.02146072,0.00189506,0.24627255,0.50811690,2.08078170,0.02279661,0.75055689,-0.18908085,0.00539040,2.63239145,0.26371866,-0.10535020,-0.28706035,-0.12059939,-0.16800122,0.00000000,-0.43955302,-0.04569485,0.00000000,0.00000000,2.38097930,0.32874638,0.00000000,-0.74089712,0,13:34:44.7,0,0
18,0.62802696,0.00000000,0.48114353,1.49182212,0.00000000,0.32896930,3.92581058,-1.99127865,-1.76086628,-0.11189794,0.01538904,0.00189506,0.35731438,-0.06873553,0.91675287,-0.35945231,0.35070124,-0.39634216,-0.03527514,2.63239145,0.13080214,-0.22428718,-0.32667398,-0.22903161,-0.16296184,0.00000000,-0.41622719,0.27502394,-3.03820992,0.00000000,0.79736191,-0.67942786,0.00000000,2.30609822,0,13:34:44.8,0,0
19,4.44348955,5.47352886,0.66636544,0.88551843,0.00000000,-1.23538387,0.00000000,1.82384241,4.28649902,-0.08484066,-0.03694826,0.04011575,0.37616631,-0.73651385,13.89980888,-0.42432535,-0.58264595,-0.11679048,0.09291212,-1.88477910,0.36873528,-0.04322099,-0.25718617,-0.04478702,-0.08733116,0.00000000,-0.27386060,-0.06003169,4.59254503,0.00000000,-1.50767303,-0.52216238,0.00000000,0.00000000,0,13:34:44.9,0,0
20,-0.95550478,0.00000000,0.77006918,1.88916183,0.00000000,0.81322116,0.00000000,-1.99127865,2.43437099,-0.08484066,0.18997443,0.07413874,0.36611998,-1.10678291,0.00000000,-0.28624171,-1.15601182,0.23855546,0.15026376,0.45638517,0.55951989,0.09358494,-0.14412597,0.02469778,-0.02100491,0.00000000,-0.25455332,0.06157925,0.77742398,0.00000000,1.42431164,-1.14530277,0.00000000,0.00000000,0,13:34:45.0,0,0
