Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190411130552
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,608,589,553,0,527,541,575,0,562,562,568,565,1774,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,62,62,6,6,144,144,6,6,6,6,49,49,31,31,6,6,49,49,62,62,6,6,6,6,6,6,6,6,94,94,7,7,6,6,24,24,6,6,6,6,12,12,6,6,6,6,22,22,12,12,6,6,12,12,12,12,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,72,72,112,112,112,112,6,6,7,7,30,30,6,6,62,62,7,7,7,7,22,22,24,24,7,7,24,24,12,12,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,22.82,38.93,10.77,42.42,100.00,1.00,81.17,1.00,3.03,3.06,19.02,100.00,2.14,2.17,1.11,15.87,3.02,56.23,100.00,100.00,15.04,13.90,2.18,57.99,7.23,6.17,1.93,55.22,1.79,52.82,4.34,4.18,3.32,3.88,2.88,3.44,3.74,4.17,2.67,4.00,100.00,100.00,1.68,83.73,1.41,87.38,100.00,100.00,1.00,1.00,100.00,100.00,49.69,78.01,1.00,1.00,100.00,100.00,100.00,1.00,100.00,100.00,8.49,14.72,15.81,49.39,1.00,1.00,1.00,1.00,2.60,2.81,2.12,49.44,1.19,19.92,75.61,84.16,4.26,4.29,1.66,58.75,1.30,23.92,2.33,2.60,2.60,2.81,3.00,3.52,1.84,4.68,1.27,49.90,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/11 13:05:56
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,2.45134234,1.97288299,0.05815362,-0.48083138,0.77690321,1.26901531,-2.45473218,-0.86583126,-5.26102734,-1.50272644,-0.22284423,0.43257910,-0.25650471,-0.00556401,0.02671447,0.04696649,0.00398714,-0.21020369,-0.11993708,0.08119313,0.44651619,0.13628793,-0.02099487,0.41443491,2.57570505,1.18521988,-1.00212371,0.32699746,0.00000000,-0.96269542,-0.17556262,0.00000000,-1.95567191,0,13:06:06.1,0,0
2,0.00000000,0.00000000,1.97288299,2.15424562,4.68316984,0.55965477,0.97102261,0.00000000,-0.86583126,-5.23316908,-3.62103701,-0.24738982,0.35894966,-0.34067622,-0.00556401,-0.26659042,-0.38775676,-0.14460482,-0.84687477,-0.24288836,-0.09103664,0.49535772,0.15804219,-0.09026404,0.39074984,4.15932226,0.93551213,-1.00212371,1.06206405,0.00000000,1.06396258,-1.05744743,0.00000000,0.00000000,0,13:06:06.2,0,0
3,0.00000000,2.45134234,1.97288299,-0.54815006,1.10278583,-3.14770842,-3.90484118,1.36038899,9.85515785,-5.27717304,-3.62103701,-0.26137415,0.27512589,-0.84993672,-0.00556401,-0.09086655,-0.55996686,0.01971864,-0.42286339,0.03485494,0.01727793,0.47155038,0.16402973,-0.07550076,0.40547925,1.08242011,0.93996209,-1.25282574,-0.62967014,0.00000000,0.62092191,-0.97751933,0.00000000,1.54253709,0,13:06:06.3,0,0
4,0.00000000,-3.59579515,4.20489979,-0.59021717,-1.70903349,-1.12744665,-0.55049312,0.00000000,-5.06037092,-5.34642076,-0.06197110,-0.26619303,0.29879668,0.36886016,-0.00556401,0.13404064,0.37857535,0.02290513,0.10052518,0.04870854,0.01627430,0.52624381,0.20584886,-0.17536503,0.33875543,1.34750295,1.51919603,-0.80370766,0.42058694,0.00000000,-0.96269542,-1.54767656,0.00000000,-7.79363441,0,13:06:06.4,0,0
5,0.00000000,0.00000000,4.20489979,-0.55504388,1.03007686,-0.79590428,-0.96745378,0.00000000,-0.86583126,-5.34971046,-1.41033852,-0.25499949,0.36754155,0.26838630,-0.00556401,0.24186620,0.24597780,-0.14455172,-1.09385455,0.18616104,-0.03637426,0.45521683,0.14477067,-0.03899341,0.41443491,1.08242011,1.56314528,-1.25282574,-1.97803748,0.00000000,-0.96269542,-0.65283793,0.00000000,-1.95567191,0,13:06:06.5,0,0
6,0.00000000,-1.36377859,1.73752975,-1.19652092,-2.78555679,-2.18101597,-2.72984648,-4.68674850,-1.59965861,-5.34971046,0.62194294,-0.27211416,0.44774196,0.00838717,-0.00556401,-0.11944838,-0.17650121,-0.13885105,0.06374005,-0.12911898,-0.08681959,0.38020498,0.12246907,-0.16449802,0.38718876,1.34750295,1.53676617,-0.79482216,-0.15932986,0.00000000,-3.19454098,-1.46766150,-11.78195000,-7.79363441,0,13:06:06.6,0,0
7,0.00000000,0.00000000,-0.56740189,0.79322016,2.45115328,-0.48324978,0.34785506,-2.45473218,-3.83436751,-5.26485634,-3.71506381,-0.28598115,0.39412695,-0.29875150,-0.00556401,-0.10887327,-0.17650121,-0.05961363,0.39793882,-0.21041118,-0.01958971,0.49535772,0.21982077,-0.12680934,0.39285371,1.08242011,1.16304207,-1.23953080,0.32699746,0.00000000,0.62092191,-0.41697884,0.00000000,4.71841526,0,13:06:06.7,0,0
8,0.00000000,0.00000000,-3.14397120,0.18691647,1.03007686,0.13758127,0.49765483,0.00000000,-0.01890493,-5.25304222,-1.41033852,-0.23790541,0.34039983,0.09255867,-0.00556401,0.26344642,-0.31651312,0.05613805,-0.81445223,0.09042157,0.03573877,0.53922623,0.22917472,-0.01322326,0.50829303,2.31062222,1.40510941,-1.49673629,0.32699746,0.00000000,0.62092191,0.35262892,0.00000000,-4.29233551,0,13:06:06.8,0,0
9,0.00000000,0.00000000,1.89986467,1.64168537,3.33480215,-0.62852037,-1.36157477,1.36038899,0.00000000,-5.22920132,0.89469647,-0.23448427,0.57379657,-0.10557590,-0.00556401,-0.04152478,0.03746739,0.12395783,0.13750045,0.32707188,0.06330682,0.45521683,0.14477067,-0.04708370,0.39005297,1.34750295,1.36080599,-1.02431834,0.42058694,0.00000000,0.38567194,0.72777730,0.00000000,0.31742460,0,13:06:06.9,0,0
10,0.00000000,2.45134234,1.89986467,0.79322016,2.45115328,0.29727748,0.92442375,0.00000000,-4.68123388,-5.13311195,0.98872322,-0.21338600,0.47289419,-0.11964159,-0.00556401,-0.05120913,-0.34510949,-0.06053446,-0.41361201,0.31321830,0.02324658,0.43436468,0.14220528,-0.02520868,0.47599810,1.08242011,1.77598250,-1.23953080,-0.32137337,0.00000000,-1.84617352,0.20176260,-11.78195000,-0.53432167,0,13:06:07.0,0,0
11,0.88313335,-3.59579515,1.89986467,-0.07765701,0.59600163,0.42641178,0.97584778,-2.45473218,-4.68123388,-5.14508677,1.54426885,-0.23228659,0.59239352,0.06437757,-0.00556401,-0.13717493,0.21743087,-0.15188769,0.94489676,0.34555912,-0.03119392,0.51234365,0.18637873,-0.06167208,0.42965195,3.14848733,2.40811777,-0.60736901,0.44697380,0.00000000,0.11413752,-0.08884723,-4.68745470,-3.34614158,0,13:06:07.1,0,0
12,0.00000000,2.45134234,4.20489979,0.18691647,-1.20193958,0.07644810,-0.18681282,-2.45473218,-0.86583126,-5.17418432,-1.41033852,-0.23864123,0.38695011,-0.43509549,-0.00556401,0.03819900,-0.76107496,0.05278156,-0.79585522,-0.05517289,0.06850781,0.51782656,0.21131638,-0.03914927,0.40976003,2.31062222,-0.49114507,-1.23953080,-0.62967014,0.00000000,0.54821312,-0.61342323,0.00000000,0.00000000,0,13:06:07.2,0,0
13,0.00000000,-1.36377859,-1.79560399,0.05815362,-0.48083138,-1.58803725,-2.15586829,-2.45473218,6.03969526,-5.17252684,-1.50272644,-0.25936255,0.25552794,-0.36373124,-0.00556401,0.30310383,-0.48816550,0.00331730,-0.60060179,-0.09688593,0.04604020,0.42565966,0.12778352,-0.01002015,0.46554315,2.57570505,1.39176989,-1.23953080,0.32699746,0.00000000,-0.96269542,-0.83809757,0.00000000,0.00000000,0,13:06:07.3,0,0
14,-2.89824533,-3.59579515,0.38926572,-0.07765701,0.59600163,0.86942923,1.43587327,-4.68674850,-3.83436751,-5.23341751,0.71138698,-0.24738982,0.47289419,0.39702758,-0.00556401,0.13404064,0.41666394,-0.09541484,-0.06940179,0.04870854,-0.00136859,0.42565966,0.14417592,-0.13297711,0.42226112,2.64858508,2.08131528,-0.77695298,0.44697380,0.00000000,-0.88950580,-0.11516403,-11.78195000,-1.98909056,0,13:06:07.4,0,0
15,-2.89824533,2.45134234,-0.56740189,0.57071382,1.82420373,-0.38664410,0.30076578,-2.45473218,-5.74828672,-5.27271366,0.80230850,-0.22671188,0.48471722,-0.43509549,-0.00556401,-0.05120913,-0.32606164,0.00331730,-0.40434474,0.11838777,-0.02288999,0.51510376,0.23475994,-0.05805841,0.45974645,2.31062222,1.16749203,-1.45210993,-0.62967014,0.00000000,1.96928918,-0.17556262,0.00000000,-1.98761046,0,13:06:07.5,0,0
16,0.00000000,2.45134234,3.24823189,-0.54815006,-1.20193958,-1.06343889,-1.53117931,-2.45473218,2.22423267,-5.30004454,-0.24528056,-0.24943413,0.39068928,-0.67840654,-0.00556401,-0.21275808,-1.02685809,0.08898781,-0.04169381,-0.05517289,0.04466527,0.47877571,0.20932092,-0.14764166,0.37824979,2.31062222,1.33442700,-1.48337519,1.06206405,0.00000000,-0.96269542,0.41869521,0.00000000,2.17824888,0,13:06:07.6,0,0
17,-6.71370792,-1.36377859,-0.83893639,1.30578041,0.86753601,-0.73802495,-0.29598564,1.36038899,-2.82619405,-5.44301271,0.03205563,-0.28518739,0.39412695,-0.50548840,-0.00556401,-0.31912494,-0.37831441,-0.14296737,-0.09702765,0.35482642,-0.05166652,0.52069163,0.21433160,-0.08999869,0.40665814,0.34385970,2.35561132,-1.26168978,-0.90129018,0.00000000,0.85609782,-0.07655287,-2.40311337,-2.73110247,0,13:06:07.7,0,0
18,-6.71370792,0.00000000,-3.14397120,1.03538156,3.33480215,0.60033083,0.87530392,1.36038899,-0.01890493,-5.41378403,-0.06197110,-0.24793074,0.49344340,-0.27058408,-0.00556401,0.08780329,-0.31651312,-0.10666574,0.69809496,0.08574566,0.01486307,0.50120360,0.20033729,-0.03952923,0.43791610,1.34750295,1.36962748,-1.05092227,-0.32137337,0.00000000,-0.96269542,0.47004706,0.00000000,1.93282533,0,13:06:07.8,0,0
19,-2.89824533,0.00000000,-0.56740189,2.03902507,-2.06765389,-0.56420243,-1.60227418,0.00000000,0.00000000,-5.31921530,-0.92333627,-0.17849925,0.45894599,-0.03476220,-0.00556401,0.19780903,0.10914416,-0.00892800,0.29916430,-0.21041118,0.05620514,0.48406598,0.16344535,-0.05054007,0.40263173,2.57570505,1.40064073,-1.34812081,0.32699746,0.00000000,0.62092191,-0.83809757,0.00000000,0.00000000,0,13:06:07.9,0,0
