Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190404125104
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,643,609,588,0,547,553,575,0,582,574,643,609,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,62,62,6,6,24,24,6,6,6,6,49,49,24,24,14,14,49,49,6,6,15,15,6,6,6,6,7,7,24,24,7,7,6,6,14,14,12,12,6,6,7,7,6,6,6,6,15,15,12,12,144,144,7,7,7,7,62,62,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,60,60,6,6,24,24,6,6,6,6,7,7,98,98,15,15,7,7,7,7,7,7,15,15,7,7,31,31,72,72,6,6,31,31,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,31.03,40.45,100.00,100.00,100.00,100.00,17.65,30.08,3.71,11.00,1.33,5.48,46.61,1.00,1.70,2.45,1.17,22.70,1.97,2.01,1.09,16.53,2.10,39.35,2.55,3.09,6.19,7.99,2.25,73.74,3.44,4.02,1.70,64.84,1.94,56.07,5.02,5.28,2.82,3.47,2.51,5.64,3.73,4.47,2.17,5.10,100.00,100.00,2.62,100.00,1.93,23.59,2.41,4.80,79.66,1.00,23.09,77.04,18.46,52.15,100.00,100.00,93.35,100.00,100.00,1.00,97.91,100.00,8.59,14.81,6.68,24.56,1.62,4.66,2.42,4.78,1.71,1.82,1.10,20.88,1.39,19.18,100.00,100.00,2.74,3.48,1.64,60.90,1.61,40.70,2.58,3.04,2.57,3.06,2.17,4.45,1.91,9.86,5.15,1.00,12.09,100.00,1.84,5.39,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/04 12:51:11
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-2.83659053,-1.67407656,-0.93107229,-1.57851756,-2.56020808,0.15177301,0.42673612,-2.61949825,0.20137401,0.42672813,-0.03127850,-0.89446396,-0.28497648,-0.43927643,-0.03560324,-1.44685519,-0.17290676,-0.21357131,-0.12811524,0.01874277,0.08537763,0.19769493,-0.21209687,0.05896756,0.00000000,0.81301445,0.01217258,-0.35211506,0.24527332,-0.14538497,-1.12414289,3.63702345,-2.59163308,0,12:51:20.1,0,0
2,0.00000000,0.97904313,-0.01155891,1.30083036,1.23330188,0.32035157,0.98600036,0.43443403,-0.29825217,0.20989463,0.44554794,-0.02417640,-0.97206300,0.04491366,-0.40735281,-0.05064987,-0.36876062,-0.15769789,-0.62641364,-0.52877778,0.04736126,0.07139521,0.16557448,-0.20442787,0.05495942,0.00000000,0.23323828,-0.10415749,-0.37965015,0.62204051,-0.03885913,-1.13501942,3.63702345,-4.16340780,0,12:51:20.2,0,0
3,0.00000000,-1.25297332,1.17683303,-2.58763313,-0.29575139,-2.59777164,-0.02455496,0.40240178,0.86289185,0.19346219,0.39856070,0.00512732,-0.98099869,-0.43847460,-0.36955819,-0.03560324,-1.43760383,-0.08315045,-0.81572342,-0.48638603,0.11501878,0.10495892,0.18941627,-0.24812384,0.01286640,0.00000000,-0.50877368,-0.08496774,-0.55838853,1.47470820,0.06976930,-1.22839451,0.00000000,4.80196428,0,12:51:20.3,0,0
4,0.00000000,-2.83659053,1.19140565,-1.53737605,-3.88324285,1.12841618,1.07921481,0.41780329,0.25179824,0.18443203,0.42512605,-0.03127850,-0.88240856,0.17294289,-0.38775516,0.05503689,-0.11550152,-0.10718929,0.01330844,-0.29918233,0.07127277,0.09939568,0.18963224,-0.26324630,0.01746563,0.00000000,0.51484758,-0.09454122,-0.51804394,1.03191400,0.40516502,-0.06856897,3.91975355,1.75672948,0,12:51:20.4,0,0
5,0.00000000,0.97904313,0.76375711,-0.89589900,-1.07142341,0.38145483,1.08321941,0.38891849,-2.07670546,0.15111120,0.45815837,-0.04530223,-1.03875792,-0.07500955,-0.44570786,0.03258999,-0.85128057,-0.14791466,-0.84753048,-0.31800202,0.01874277,0.08537763,0.19755739,-0.26801148,0.01726115,0.00000000,0.18467459,-0.01656413,-0.50738513,0.24527332,0.08401506,-0.07530528,3.63702345,5.10745096,0,12:51:20.5,0,0
6,0.00000000,0.97904313,0.25501645,0.69452655,1.23330188,-1.81626594,0.25059769,0.38410807,-0.55665088,0.14287120,0.43973261,-0.04543583,-0.92664045,0.34137291,-0.45026335,0.03820859,0.62942308,-0.13672113,-0.86112219,0.05147303,0.03310050,0.11058287,0.21212900,-0.30756369,0.01684432,0.00000000,0.14086506,-0.02613761,-0.46820956,0.62204051,0.60674125,-0.67187959,3.91975355,0.44635248,0,12:51:20.6,0,0
7,0.00000000,-2.83659053,-0.82385874,-0.28270140,-0.35031545,-1.90338266,0.16528997,0.39168623,-1.26136899,0.13011788,0.41215247,-0.06985136,-0.97428560,0.25189263,-0.47248822,0.04942724,-0.12933199,-0.14661352,-0.05001906,-0.16562042,0.05486318,0.04359395,0.16420129,-0.33676240,-0.01585629,0.00000000,-0.24421987,-0.03575387,-0.53402686,0.24527332,-0.02048867,-0.64783370,-0.17809790,-1.17508841,0,12:51:20.7,0,0
8,0.00000000,0.97904313,0.81164140,-0.15393864,1.23330188,-0.66819632,0.49665555,0.36785743,1.55049574,0.13433051,0.41215247,-0.08024573,-0.94421285,0.35068700,-0.47966218,0.07733327,0.26731434,-0.17395420,-0.44276774,0.04208742,-0.00660950,0.09096543,0.18811283,-0.34398770,-0.02044249,0.00000000,-0.23555136,-0.11369802,-0.61179060,0.24527332,-0.02048867,-1.21437132,-0.17809790,0.98641014,0,12:51:20.8,0,0
9,0.00000000,-2.83659053,-0.32751957,-0.28270140,-0.23015021,-0.00569501,0.85663468,0.37456071,-2.07670546,0.14779395,0.55039757,-0.08033256,-0.97428560,0.14013378,-0.50388861,0.02171927,-0.35957873,-0.15769789,-0.22259499,-0.33681551,0.04070083,0.06296284,0.14962968,-0.28177541,-0.00219944,0.00000000,0.14086506,-0.13272896,-0.49670529,-0.11174846,-0.02048867,-0.44950053,-0.17809790,-0.77581739,0,12:51:20.9,0,0
10,0.00000000,4.79416418,1.23105586,-0.04743380,1.16059303,-1.33046806,0.21137287,0.40047732,3.26421356,0.15443255,0.58263063,-0.00206947,-0.82381898,0.03083594,-0.34319726,-0.02302401,-0.15683216,-0.09434712,-0.57191271,-0.13750085,0.09079155,0.09370542,0.16420129,-0.29146281,-0.04209770,0.00000000,-2.82696056,-0.12322170,-0.51022649,1.47470820,0.40998471,-1.42706299,0.00000000,12.44737911,0,12:51:21.0,0,0
11,0.00000000,-2.83659053,-2.29933000,-0.93107229,-0.23015021,-0.01444979,0.74357992,0.38601801,-1.68414676,0.16728497,0.39729065,-0.02672075,-0.96330947,-0.33206573,-0.39320281,-0.03560324,-1.16096926,-0.07571866,-0.35669422,-0.31800202,0.12937652,0.13133861,0.17354120,-0.18855372,0.02695683,0.00000000,-0.10822020,-0.13272896,-0.41456047,0.62204051,0.29863918,-1.21437132,7.55677700,-4.89635801,0,12:51:21.1,0,0
12,0.00000000,4.79416418,-0.90534604,0.69452655,1.16059303,-1.22638142,0.70293045,0.39566740,-2.26496696,0.17585213,0.35202920,-0.01617304,-0.81043631,0.35068700,-0.39320281,-0.00057711,0.43524483,-0.16171010,-0.19091873,0.35583761,-0.00009362,0.10494785,0.20664319,-0.21531479,0.00781109,0.00000000,0.19789642,-0.12322170,-0.37965015,0.24527332,-0.14538497,-0.07530528,-0.17809790,1.18831277,0,12:51:21.2,0,0
13,0.00000000,4.79416418,0.29867429,1.69816995,1.16059303,-1.40665865,0.28421968,0.41295531,-1.68414676,0.17658283,0.36130401,-0.00374355,-0.84680974,0.03083594,-0.33629599,-0.05064987,-0.37792721,-0.14933115,-0.58103365,0.65808636,0.02823429,0.12440336,0.23783229,-0.21531479,0.03149640,0.00000000,0.23323828,-0.04529441,-0.43019757,1.03191400,0.19054089,-0.67187959,0.00000000,-3.24486828,0,12:51:21.3,0,0
14,0.00000000,-1.25297332,0.32739213,-0.88900512,-1.57851756,-0.39423892,0.80122542,0.39372435,-2.44317079,0.16303295,0.47204652,-0.01787870,-0.94102347,0.25189263,-0.39220938,-0.02820298,0.24443586,-0.14070113,-0.38852358,-0.33681551,0.07127277,0.09939568,0.16420129,-0.30668074,-0.03447326,0.00000000,-0.18760312,-0.02613761,-0.39072034,0.24527332,-0.14538497,-1.20571566,-0.17809790,-2.99750042,0,12:51:21.4,0,0
15,0.00000000,0.00000000,-0.90376937,0.95620954,1.16059303,-2.45725918,0.13421811,0.40325531,1.55049574,0.16303295,0.38348278,-0.03998563,-1.00771952,0.04491366,-0.40557295,0.08302693,-0.33652756,-0.17034581,-1.08119166,-0.14692871,0.01086893,0.08537763,0.16733190,-0.32445109,-0.06093307,0.00000000,-2.12025714,-0.08496774,-0.53704989,0.62204051,-0.28530622,-0.94757628,3.63702345,12.44737911,0,12:51:21.5,0,0
16,0.00000000,0.00000000,0.40493533,1.69816995,4.97571373,-1.44383395,0.17884234,0.39367321,0.86289185,0.17249696,0.42592531,-0.02417640,-0.93008941,0.03083594,-0.42613423,0.03258999,-0.35957873,-0.16881955,-0.20902593,0.05147303,0.01699501,0.10494785,0.19112244,-0.28642169,0.00781109,0.00000000,0.18467459,-0.03575387,-0.56054020,0.24527332,0.08401506,-0.48474956,3.63702345,1.22392130,0,12:51:21.6,0,0
17,0.00000000,-1.25297332,0.48263574,-0.88900512,-2.65504074,-0.52535719,0.70726889,0.36976168,-0.80339783,0.15964456,0.47179821,-0.04005769,-0.86371785,0.25189263,-0.44476551,0.07154085,-0.12933199,-0.17141356,-0.23160428,-0.19353934,0.00755286,0.00990038,0.11372299,-0.31944975,0.00293097,0.00000000,0.14086506,-0.11369802,-0.62357831,0.62204051,0.08401506,-0.69108659,3.63702345,-1.51777768,0,12:51:21.7,0,0
18,0.00000000,4.79416418,0.18552798,0.95620954,7.33500338,-1.99800169,0.06177577,0.35551170,5.02248144,0.13506454,0.44437844,-0.08033256,-0.93106622,-0.37413356,-0.50089890,-0.08186685,-1.49749076,-0.12950446,-0.42476425,-0.56621933,0.06444988,0.04007472,0.12588063,-0.31853411,-0.04389415,0.00000000,-1.53590167,-0.04529441,-0.64198852,1.47470820,0.29916933,-3.58167315,0.00000000,12.44737911,0,12:51:21.8,0,0
19,0.00000000,-4.06479263,-0.53063446,-0.93107229,-2.58216095,0.07170365,0.86319017,0.37639838,-1.88601971,0.16800293,0.41215247,-0.02849293,-0.92121851,0.32273421,-0.37799862,-0.00590659,0.05573487,-0.14791466,-0.22259499,0.00464591,0.04070083,0.06504995,0.14220618,-0.24177954,-0.01585629,0.00000000,0.17589539,-0.13744707,-0.62357831,0.62204051,0.29863918,-0.79525554,3.63702345,-0.93983316,0,12:51:21.9,0,0
