Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190411123236
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1629,1191,613,592,573,0,552,556,610,0,592,579,628,601,1249,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under
Analog Gain,88,88,6,6,31,31,6,6,6,6,49,49,31,31,72,72,49,49,12,12,31,31,6,6,6,6,7,7,31,31,12,12,6,6,15,15,7,7,6,6,7,7,6,6,6,6,15,15,6,6,56,56,31,31,6,6,24,24,6,6,124,124,31,31,60,60,31,31,6,6,6,6,62,62,72,72,60,60,30,30,31,31,22,22,6,6,6,6,6,6,12,12,24,24,31,31,56,56,12,12,31,31,124,124,6,6,120,120,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,31.10,41.81,100.00,100.00,100.00,100.00,18.69,33.49,5.23,49.12,5.72,8.81,72.97,1.00,1.59,3.75,1.79,28.73,2.38,2.87,1.51,32.11,2.86,42.85,7.00,9.96,9.16,12.16,2.31,71.02,9.41,12.87,2.53,98.69,2.48,77.71,5.26,7.53,3.51,5.89,2.05,4.69,3.47,5.82,2.43,6.67,100.00,1.00,4.21,1.00,1.18,18.40,1.90,9.13,100.00,1.00,100.00,100.00,38.83,57.15,100.00,100.00,85.18,100.00,100.00,1.00,100.00,100.00,8.38,14.69,20.56,1.00,2.05,12.44,1.00,1.00,3.23,4.56,1.38,27.84,7.65,100.00,100.00,100.00,44.50,65.97,1.37,71.65,1.31,30.58,2.89,3.77,3.54,3.68,1.78,3.99,2.22,9.87,1.00,1.00,100.00,100.00,54.28,55.32,1.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/11 12:32:39
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-6.53531933,-0.00792062,-1.10775244,-5.67376566,-0.12867442,0.61584097,-10.15892696,-2.91818047,-0.37870282,-2.38455915,-0.31209004,-0.00449221,0.30303627,0.26256084,0.20875856,1.33797669,0.27275899,1.03668666,0.95277965,-0.19131516,-0.34044188,-0.55035931,-0.15393054,-0.45073009,0.00000000,-1.99950528,-1.36835968,-0.65447861,-1.25844264,-5.12489033,-1.62026882,0.00000000,-4.19472837,0,12:32:49.1,0,0
2,0.00000000,0.00000000,-0.83102441,0.65948236,7.45938063,-1.90749240,-3.01046753,-6.50790453,0.25256404,-0.23946545,-2.11104941,-0.30926397,-0.23976621,0.12551561,0.09445861,0.25370884,1.72966242,0.25550452,1.29439092,0.90886527,-0.19696505,-0.40571296,-0.56493407,-0.16772598,-0.45958444,0.00000000,-1.92331147,-1.21282887,-0.64327389,-1.25844264,-5.36006641,-1.12908459,-22.46827888,-3.20467591,0,12:32:49.2,0,0
3,0.00000000,0.00000000,-0.17538594,0.88198870,0.00000000,-0.96548390,-0.90141219,-2.18047428,-3.25215030,-0.19017440,-1.94218636,-0.21637028,-0.06424294,0.08681618,0.26899460,0.26422989,0.98221254,0.03253565,-1.29160869,0.29509526,-0.28337964,-0.40425101,-0.57400554,-0.31235847,-0.52821338,0.00000000,-1.92331147,-1.15629935,-0.68038964,-1.25844264,-3.12804961,-1.03581572,0.00000000,-7.43699551,0,12:32:49.3,0,0
4,0.00000000,0.00000000,-0.54493344,0.27568498,0.00000000,-0.09380806,0.17183095,-2.18047428,4.72687244,-0.20936687,-2.18017483,-0.19224724,-0.54932183,-0.43297783,0.18510990,0.02006983,0.47906175,0.02885927,-1.30559111,-0.00446910,-0.33692673,-0.45332667,-0.58905613,-0.18341994,-0.41929424,0.00000000,-1.90524924,-1.10876179,-0.61791831,-1.25844264,-4.63864756,-0.73825192,0.00000000,-1.97801673,0,12:32:49.4,0,0
5,0.00000000,0.00000000,0.88900775,-1.20134187,0.00000000,-0.13688892,-3.45510817,-6.51685095,12.41467381,-0.19787192,-1.94491816,-0.18513373,-0.12469798,0.43431783,0.44658622,0.16423325,1.79459047,0.19723672,0.30961072,1.27504504,-0.21584459,-0.35653192,-0.50639439,-0.25167581,-0.50273770,0.00000000,-1.88707078,-1.12316871,-0.66402715,0.97357386,-5.12489033,-0.31089285,0.00000000,5.66114187,0,12:32:49.5,0,0
6,0.00000000,-10.35044003,-0.48516566,-2.42962956,-9.48888683,-2.12094617,-2.14767027,-4.01183987,-3.25215030,-0.17911519,-1.65294015,-0.21689744,0.09281375,-0.02046253,0.29650068,-0.00833558,0.73578995,0.12386939,0.99934053,0.58478314,-0.28414717,-0.40590316,-0.55207890,-0.28121307,-0.48406783,0.00000000,-1.96376431,-0.94950038,-0.67035192,-1.25844264,-4.63864756,-0.51958609,0.00000000,-2.58706689,0,12:32:49.6,0,0
7,0.00000000,0.00000000,-0.09342812,-0.46627530,0.00000000,-0.69232416,-0.49043524,-4.01183987,4.72687244,-0.24734087,-1.69894516,-0.26076666,-0.50036538,-0.61679643,0.05556450,-0.08995440,0.16625874,0.10613693,-0.15964812,0.65263039,-0.31398758,-0.32292330,-0.48271731,-0.32773700,-0.50663269,0.00000000,-1.88707078,-0.90897441,-0.72572213,-1.25844264,-5.12489033,-1.54908001,15.34181499,0.00000000,0,12:32:49.7,0,0
8,0.00000000,0.00000000,0.26403877,0.88198870,0.00000000,-0.71728897,-1.32956254,-4.01183987,-0.32819995,-0.26064250,-1.79733300,-0.14922842,0.01607998,0.18203387,0.56960851,0.15480341,1.24452019,0.21876931,1.06015003,0.72126704,-0.18331276,-0.18073589,-0.41514769,-0.21605198,-0.44063824,0.00000000,-1.85064673,-0.89689314,-0.63703209,0.97357386,-5.12489033,-0.55877435,0.00000000,-6.91295433,0,12:32:49.8,0,0
9,0.00000000,0.00000000,-0.45434353,-0.45938155,0.00000000,0.38620725,2.01210451,-4.01183987,-2.18245649,-0.29063037,-1.90272450,-0.21751784,-0.17770009,-0.08513990,0.18510990,0.16924867,0.76868278,-0.02549821,-0.63625962,1.52256060,-0.28980252,-0.30886936,-0.47675905,-0.21605198,-0.48401722,0.00000000,-1.90524924,-0.89111036,-0.64327389,-1.25844264,-3.05503106,-1.10933375,-22.46827888,-3.75087285,0,12:32:49.9,0,0
10,0.00000000,-6.53531933,-0.33709320,0.01111153,-5.67376566,-0.11713323,1.52554333,-4.01183987,-2.56263256,-0.23934111,-1.92528903,-0.16764092,0.00185460,0.08967797,0.35959119,0.25155243,1.02458990,0.21285729,1.42551959,0.04942082,-0.17407425,-0.43859151,-0.56687015,-0.20445734,-0.42727718,0.00000000,-1.92331147,-0.85528219,-0.57943046,-1.25844264,-4.63864756,-0.22378339,0.00000000,-3.38156962,0,12:32:50.0,0,0
11,0.00000000,-6.53531933,-0.03279277,-1.10775244,-5.67376566,-0.37123770,-2.74238229,-4.01183987,-2.18245649,-0.24466071,-1.79374325,-0.23619351,-0.45319504,-0.22721218,0.05674012,0.10954542,0.22263157,0.19723672,0.38993371,0.33104023,-0.23522295,-0.43546844,-0.57382452,-0.28371447,-0.47531685,0.00000000,-1.92331147,-0.84752244,-0.61605781,-1.25844264,-4.63864756,0.01904219,0.00000000,-2.30319381,0,12:32:50.1,0,0
12,0.00000000,-6.53531933,-0.38425016,-2.80638027,-5.67376566,-1.13976347,-0.42350850,-4.01183987,2.48863435,-0.27138007,-1.52368128,-0.26076666,-0.26608124,-0.04661060,0.09770160,0.36939985,1.09102762,0.21876931,0.78299975,0.14038855,-0.23625545,-0.34308928,-0.51751471,-0.23167962,-0.42307588,0.00000000,-1.92331147,-0.85546988,-0.60163301,-1.25844264,-4.63864756,-0.78553563,0.00000000,-0.39706463,0,12:32:50.2,0,0
13,0.00000000,0.00000000,-0.03279277,0.14692219,0.00000000,-0.24104781,-0.24629153,-4.01183987,0.25256404,-0.28769827,-1.99734378,-0.23503861,0.13516906,0.16762492,0.31501690,-0.00679386,1.63728225,0.18165922,1.12158012,0.96559715,-0.19265479,-0.27781603,-0.45560980,-0.26707190,-0.43052000,0.00000000,-1.92331147,-0.77098829,-0.52843100,-1.25844264,-5.12489033,-0.18207650,-22.46827888,-1.00623214,0,12:32:50.3,0,0
14,0.00000000,-6.53531933,0.23090249,-1.84971273,-5.67376566,0.55752844,2.49611330,-4.01183987,-2.18245649,-0.28289703,-2.03122544,-0.28433579,-0.06895908,-0.57407594,0.35149607,-0.00047880,-0.10377861,0.26410925,1.69227076,1.11831236,-0.20749784,-0.33927098,-0.46925846,-0.20038731,-0.42307588,0.00000000,-1.86888909,-0.72828645,-0.60642552,-1.25844264,-3.89668775,-0.16043539,15.34181499,-1.97801673,0,12:32:50.4,0,0
15,0.00000000,0.00000000,0.14246599,-0.45938155,0.00000000,-0.08036495,-0.26194185,-6.51685095,3.49485898,-0.25224665,-1.81407678,-0.31018808,-0.32735330,0.29069769,0.36414570,0.21897192,1.24452019,0.24099730,-0.56532222,0.40811947,-0.23522295,-0.35566533,-0.52011734,-0.24788514,-0.42156237,0.00000000,-1.92331147,-0.64191306,-0.60066903,-1.25844264,-5.85813475,0.40092793,0.00000000,0.27172938,0,12:32:50.5,0,0
16,0.00000000,0.00000000,0.45622104,0.27568498,0.00000000,0.63797200,1.92480302,-6.51685095,3.49485898,-0.28882384,-2.02583599,-0.28752595,0.21901302,0.02236877,0.34535706,-0.06791467,0.73578995,0.12909493,0.71206236,0.40811947,-0.29357672,-0.35566533,-0.55143309,-0.27953556,-0.45910910,0.00000000,-1.88707078,-0.65401691,-0.61021763,-1.25844264,-5.85813475,0.04831152,-7.12646484,-3.09106493,0,12:32:50.6,0,0
17,0.00000000,0.00000000,1.33525848,0.27568498,0.00000000,1.76927853,2.17586064,-4.01183987,0.00000000,-0.28289703,-1.67096114,-0.28533313,-0.08302479,0.15325396,0.31501690,0.16423325,1.26344693,0.10613693,-1.92874539,1.11831236,-0.25975239,-0.33844417,-0.47211909,-0.26388523,-0.43665960,0.00000000,-1.79091001,-0.56794369,-0.66108233,-1.25844264,-4.63864756,-0.38351354,-22.46827888,-0.39706463,0,12:32:50.7,0,0
18,0.00000000,-12.58245659,-0.05813561,-1.60602975,-11.72090244,-0.12317751,1.70399153,-2.18047428,-2.91818047,-0.29607254,-1.96897268,-0.24637127,-0.19186427,-0.68052441,0.32043031,-0.03383078,0.23207395,0.38010955,1.13108742,0.13122927,-0.16812536,-0.35679403,-0.54013348,-0.25167581,-0.45283073,0.00000000,-1.85064673,-0.64094484,-0.59976500,-1.25844264,-4.63864756,-0.37610525,0.00000000,-5.68629503,0,12:32:50.8,0,0
19,0.00000000,0.00000000,0.22953527,-1.84971273,-5.67376566,-0.39430669,0.18439950,-4.01183987,0.00000000,-0.27714175,-1.61573088,-0.28415245,-0.54932183,-0.00284997,0.14507650,0.34490377,0.58806521,-0.08981005,-4.20974350,0.96559715,-0.37372974,-0.32372642,-0.49315649,-0.23167962,-0.47584388,0.00000000,-1.77234948,-0.62376213,-0.51873934,-1.25844264,-3.05503106,0.14368708,0.00000000,3.42923880,0,12:32:50.9,0,0
