Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190412111314
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,623,598,638,0,567,565,680,0,607,588,693,639,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,144,144,6,6,15,15,6,6,6,6,31,31,31,31,6,6,31,31,15,15,31,31,6,6,6,6,7,7,6,6,12,12,6,6,6,6,6,6,7,7,6,6,14,14,7,7,24,24,6,6,6,6,31,31,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,98,98,72,72,12,12,7,7,7,7,15,15,31,31,6,6,6,6,12,12,31,31,6,6,7,7,7,7,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,63.01,100.00,100.00,100.00,100.00,100.00,22.17,35.48,19.01,54.07,35.23,80.05,40.45,1.00,2.60,3.14,2.02,29.76,3.89,3.38,1.87,31.52,3.39,54.52,3.67,4.99,7.68,10.69,1.55,37.72,9.01,11.56,2.57,65.10,1.70,47.05,5.06,5.89,2.88,4.09,2.62,4.80,4.28,5.36,1.85,3.36,1.00,1.00,2.84,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,47.03,65.23,100.00,100.00,100.00,100.00,100.00,1.00,72.07,100.00,8.00,13.37,12.42,29.39,36.44,37.78,12.15,13.99,2.98,2.92,1.68,31.94,3.02,32.23,23.81,37.83,3.17,5.48,1.00,10.38,1.00,16.72,2.09,2.91,2.56,3.87,1.70,1.99,2.85,6.27,11.21,1.00,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/12 11:13:17
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.01165971,-0.09849954,-1.22085524,-2.97221398,-0.09630436,-0.96730137,-0.39605471,1.42014706,-0.16119289,-0.12883328,-0.44259086,-0.41345185,-0.46075466,-0.53230220,-0.16575129,-0.29442391,-0.23260587,-0.61251998,-0.09787658,-0.24778168,-0.26749074,-0.26143607,-0.13383824,-0.10986044,0.00000000,-0.15662678,0.00000000,0.88522547,0.00000000,0.75038826,-0.23656896,0.00000000,3.03225470,0,11:13:26.1,0,0
2,0.00000000,2.24367619,-0.03645394,0.86247540,2.26449609,-0.26289961,-0.58619159,-0.23296678,-0.35922405,-0.16445228,-0.21619755,-0.46085316,-0.31122747,-0.52519423,-0.54175586,-0.30828261,-0.10281299,-0.32380679,-0.49208352,0.16829009,-0.32168347,-0.28550723,-0.24222296,-0.26626498,-0.16235703,0.00000000,-0.28174311,0.00000000,1.37484694,0.00000000,0.51513833,0.61452103,0.00000000,5.26427126,0,11:13:26.2,0,0
3,0.00000000,-2.80015969,0.90251195,-1.10087872,-1.55096674,-0.39625046,-1.04101825,-0.23296678,-0.16339272,-0.17563947,-0.17756698,-0.42047566,-0.50988078,-0.33932230,-0.54161406,-0.18178609,-0.10281299,-0.31253308,0.01482344,-0.44650030,-0.23707741,-0.34776646,-0.32434770,-0.21866605,-0.15682803,0.00000000,-0.24626119,0.00000000,-0.85716939,0.00000000,-0.83322901,-1.21555078,-5.51522589,-2.55677199,0,11:13:26.3,0,0
4,0.00000000,6.05879736,1.19186449,2.22350097,5.45317984,0.56074095,0.84817535,-0.23296678,-0.35922405,-0.13816145,-0.19637461,-0.43155643,-0.37201816,0.00982985,-0.55570585,-0.12203778,0.25042579,-0.27442503,-0.27985230,0.09124853,-0.20856583,-0.21167216,-0.19559419,-0.12161331,-0.06965927,0.00000000,-0.14303511,0.00000000,1.44755590,0.00000000,3.05542326,0.04422929,3.55821609,-0.06875356,0,11:13:26.4,0,0
5,0.00000000,2.24367619,-0.09849954,0.25617167,0.91612864,0.36359146,0.16515221,-0.23296678,0.45883983,-0.12348725,-0.23346747,-0.41309986,-0.43145236,-0.09995766,-0.53699851,-0.04300859,0.08038817,-0.33932409,-0.68453163,-0.33592206,-0.21851924,-0.16836974,-0.19824748,-0.13783436,-0.08264848,0.00000000,-0.07923583,0.00000000,-3.66898870,0.00000000,-2.06143117,1.13921368,0.00000000,1.27956212,0,11:13:26.5,0,0
6,0.00000000,0.01165971,0.85813355,-0.47889486,-0.66748857,0.44020176,0.32560098,-0.23296678,-0.16339272,-0.13192770,-0.27057499,-0.41895130,-0.28429273,-0.27472118,-0.52759606,-0.14349779,-0.03869551,-0.38088474,-0.53656584,-0.72230089,-0.28084931,-0.26749074,-0.26489013,-0.24363098,-0.12668151,0.00000000,-0.20610338,0.00000000,5.18996811,0.00000000,0.51513833,-0.22159010,0.00000000,-0.52152514,0,11:13:26.6,0,0
7,0.00000000,6.05879736,1.25779021,0.86247540,0.91612864,0.50875425,0.14883050,-0.23296678,1.68582678,-0.11799236,-0.11223555,-0.41051891,-0.31655225,-0.46075466,-0.54622746,-0.13731796,-0.04326762,-0.26077977,0.30916476,-0.18779048,-0.25316745,-0.21208037,-0.20062655,-0.16955288,-0.12379728,0.00000000,-0.10670141,0.00000000,-0.13606149,0.00000000,1.47180593,2.23638606,3.55821609,5.31648874,0,11:13:26.7,0,0
8,0.00000000,-1.57195747,-0.06275906,-1.12726569,-1.89569068,-0.69066727,-0.93517447,-0.23296678,-0.54382318,-0.11585225,-0.23346747,-0.37361065,-0.30730551,-0.11391617,-0.52759606,-0.14349779,-0.04326762,-0.46296439,-0.56305081,0.34982291,-0.30956262,-0.20598479,-0.19546172,-0.19666502,-0.13989900,0.00000000,-0.09298575,0.00000000,-0.85716939,0.00000000,0.51513833,-0.30500582,0.00000000,-1.02536952,0,11:13:26.8,0,0
9,0.00000000,-1.57195747,0.25182983,-0.00840175,-0.54732335,-0.77163106,-1.67655289,-0.23296678,0.24529502,-0.12972908,-0.08958247,-0.45941439,-0.38501784,-0.12778249,-0.56472480,-0.07564851,0.05279611,-0.05160349,0.19016872,0.11441597,-0.12349268,-0.19210127,-0.14866212,-0.48540315,-0.27991071,0.00000000,-0.28174311,0.00000000,1.44755590,0.00000000,0.51513833,-0.21499030,0.00000000,-1.02536952,0,11:13:26.9,0,0
10,0.00000000,-1.57195747,-0.59433764,-1.12726569,-1.89569068,-0.06611365,0.02062085,-0.23296678,-0.72243190,-0.16445228,-0.30240282,-0.41238540,-0.13994612,-0.33932230,-0.45861459,-0.11280593,0.02528487,-0.62354046,-0.81707162,0.18663475,-0.40488201,-0.26804799,-0.20963599,-0.27888507,-0.16443822,0.00000000,-0.28174311,0.00000000,-0.13606149,0.00000000,-1.71670711,0.20596069,-5.51522589,3.13167071,0,11:13:27.0,0,0
11,0.00000000,0.01165971,0.24590980,-0.47889486,-0.66748857,0.53012079,0.75612360,-0.23296678,0.03459334,-0.13232660,-0.01451489,-0.45244092,-0.42261109,-0.32090142,-0.57874542,-0.21247795,-0.18451104,-0.17802632,0.16797233,-0.05179413,-0.20804805,-0.21167216,-0.18673070,-0.20960145,-0.11744596,0.00000000,-0.21954043,0.00000000,-0.85716939,0.00000000,-0.83322901,0.17748566,0.00000000,0.25514299,0,11:13:27.1,0,0
12,0.00000000,-1.57195747,0.24590980,-1.70718253,-1.89569068,-0.37747192,-0.49949068,-0.23296678,-0.16339272,-0.09180744,-0.09227161,-0.37477785,-0.26573205,-0.62504864,-0.50407708,-0.13311137,-0.25766522,-0.13620718,0.36693260,0.23727025,-0.16249925,-0.19811398,-0.18654715,-0.14755921,-0.12235526,0.00000000,-0.10670141,0.00000000,-0.13606149,0.00000000,0.24360386,0.04422929,0.00000000,2.52536702,0,11:13:27.2,0,0
13,0.00000000,-1.57195747,-0.30498508,-0.14426279,0.40934426,0.02380537,0.12223221,-0.23296678,-1.06724870,-0.10870191,-0.06218946,-0.31878749,-0.22853835,-0.17851728,-0.45195946,-0.15410969,-0.05707496,-0.18986803,0.51455176,0.74946725,-0.18532075,-0.16770270,-0.18417951,-0.14915673,-0.09603830,-16.26700592,-0.11580726,0.00000000,-0.06287171,0.00000000,0.24360386,-0.40204942,-1.95701003,-2.75225663,0,11:13:27.3,0,0
14,0.00000000,-1.57195747,0.80969054,-0.52096200,-1.89569068,0.31712925,0.91636914,-0.23296678,-1.23386979,-0.11799236,0.03500601,-0.31885332,0.19138098,0.09669594,-0.39296779,-0.13045442,0.25042579,-0.23106086,0.62027031,0.97871494,-0.23062611,-0.15751724,-0.11422563,-0.19666502,-0.12299724,-16.26700592,-0.10670141,0.00000000,-1.01953948,0.00000000,-1.71670711,-0.60564637,-9.33034706,-1.81476009,0,11:13:27.4,0,0
15,0.00000000,0.01165971,0.25182983,0.12740886,0.68087876,0.14117041,0.04855045,-0.23296678,-0.54382318,-0.10109790,0.03500601,-0.47687480,-0.49154738,-0.27472118,-0.60248327,-0.10634037,0.06660344,-0.32380679,0.00596651,0.38216370,-0.21503966,-0.20310083,-0.17213085,-0.19564681,-0.14617343,0.00000000,-0.05168977,0.00000000,-0.85716939,0.00000000,-2.06143117,-0.81651461,0.00000000,-0.52152514,0,11:13:27.5,0,0
16,0.00000000,2.24367619,0.25182983,0.86247540,2.26449609,-0.06059000,-0.32910925,-0.23296678,0.03459334,-0.10109790,-0.00514004,-0.36523396,-0.22445425,0.00982985,-0.48097983,-0.11280593,-0.05251433,-0.18986803,0.17682925,-0.04254274,-0.18532075,-0.22308236,-0.18673070,-0.13383824,-0.11053240,0.00000000,-0.03783618,0.00000000,1.44755590,0.00000000,0.51513833,1.28207588,0.00000000,4.98685694,0,11:13:27.6,0,0
17,0.00000000,2.24367619,-1.24882674,-0.47889486,-1.38859677,-0.75174695,-1.28472435,-0.06960457,-0.16339272,-0.11503323,-0.12219026,-0.38447574,-0.65319693,-1.01672459,-0.53246212,-0.22572374,-0.52906573,-0.17802632,0.47006947,-0.34988055,-0.15318505,-0.22033598,-0.21816282,-0.27357316,-0.19339392,0.00000000,-0.05168977,0.00000000,-1.92659390,0.00000000,-0.81066066,-1.50412774,0.00000000,-3.01511049,0,11:13:27.7,0,0
18,0.00000000,0.01165971,0.75849956,0.63996905,0.68087876,0.31712925,0.62834162,-0.23296678,-1.23386979,-0.13273863,-0.20617844,-0.47752163,-0.30216658,0.09669594,-0.57389492,-0.22802325,0.12255458,-0.31598565,-0.21549411,0.46632934,-0.25316745,-0.20848726,-0.18417951,-0.22682919,-0.12541977,0.00000000,-0.17018497,0.00000000,2.16897345,0.00000000,-2.56517220,-0.51443511,-9.33034706,-1.18765080,0,11:13:27.8,0,0
19,0.00000000,6.05879736,0.24590980,0.25617167,3.14814496,0.74448782,0.68085271,-0.00351935,0.45883983,-0.13816145,-0.16685756,-0.44259086,-0.42261109,-0.46075466,-0.52763045,-0.14349779,-0.28525728,-0.17802632,0.28711104,0.10514867,-0.17591235,-0.15414453,-0.13442691,-0.18246774,-0.14294903,0.00000000,-0.06550858,0.00000000,5.18996811,0.00000000,2.00115871,-0.98125565,0.00000000,-0.41213748,0,11:13:27.9,0,0
