Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190405111706
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1624,1188,558,559,558,0,532,544,655,0,572,568,588,577,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,49,49,6,6,24,24,6,6,6,6,44,44,44,44,7,7,48,48,6,6,14,14,22,22,6,6,7,7,49,49,7,7,6,6,15,15,7,7,7,7,15,15,6,6,7,7,22,22,6,6,6,6,31,31,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,60,60,15,15,98,98,15,15,12,12,49,49,6,6,88,88,6,6,6,6,15,15,28,28,7,7,31,31,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,33.22,43.55,100.00,100.00,100.00,100.00,17.49,37.27,7.28,29.04,4.55,9.24,93.53,1.00,3.89,1.98,1.83,33.45,5.86,2.35,1.47,18.53,6.87,100.00,5.73,4.07,32.84,26.04,2.08,58.61,20.69,13.92,2.02,69.42,2.18,80.90,6.98,6.30,2.65,3.19,4.63,6.18,4.30,4.14,2.07,3.36,1.00,1.00,4.42,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,58.20,84.30,1.00,1.00,1.00,1.00,100.00,1.00,93.35,100.00,6.02,13.06,6.29,21.28,100.00,100.00,100.00,100.00,5.76,2.43,1.63,32.55,1.76,22.35,29.10,23.82,6.55,6.71,1.14,26.82,1.16,21.66,2.57,2.74,2.59,2.55,2.03,2.84,1.82,6.24,42.01,1.00,100.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/05 11:17:09
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,6.26580572,0.98918110,1.26629663,0.00000000,0.91508478,0.18725988,-0.05135670,0.00000000,0.00783734,0.48951504,-0.08708587,0.56299341,0.20739900,0.03979126,0.23150864,-0.27676517,0.32207680,0.27228209,-0.05974002,0.08428540,0.30509672,0.13716809,0.06023753,0.11860705,0.00000000,-0.11237615,0.00000000,2.84492254,0.00000000,1.92820168,1.04389560,0.00000000,0.00000000,0,11:17:19.1,0,0
2,0.00000000,0.21866773,-0.29975215,0.03800908,2.39954257,-2.48199058,-1.95747113,0.02614701,0.46320450,-0.03895482,-0.19032493,-0.24333945,0.34518537,0.46446058,-0.10374545,0.08771621,0.28110984,0.28425559,0.44242495,-0.48943764,0.05245227,0.27382234,0.05935016,0.02090851,0.11118703,0.00000000,-0.15026081,0.00000000,-0.70716220,0.00000000,-1.88743186,-0.80736035,0.00000000,0.00000000,0,11:17:19.2,0,0
3,0.00000000,-1.36494946,-0.50462651,-0.48665521,-3.64759493,-0.41831800,-0.21581170,-0.20436476,-0.92017949,-0.13014205,0.42756245,-0.15624590,0.52507395,0.46446058,-0.05944824,0.01751311,0.01804125,-0.23996858,0.03128764,0.11776305,-0.08962950,0.29139197,0.13250171,0.00353108,0.09375458,0.00000000,-0.15026081,0.00000000,1.96127343,0.00000000,1.04455256,-0.80736035,0.00000000,0.00000000,0,11:17:19.3,0,0
4,0.00000000,2.45068407,0.84976691,0.01162214,2.39954257,0.68195087,0.12220386,-0.11544994,4.28289700,-0.13908780,-0.22633162,-0.16998680,0.47124803,-1.77846861,-0.02893130,-0.06401931,-0.31562409,0.21009193,-0.34212855,-0.49799824,0.04816778,0.24849552,0.05935016,0.12852508,0.16387361,0.00000000,-0.00141356,0.00000000,4.35531855,0.00000000,-0.37652364,1.33579302,0.00000000,0.00255403,0,11:17:19.4,0,0
5,0.00000000,2.45068407,0.48647758,0.01162214,2.39954257,-1.05801237,-0.92732751,-0.16589110,1.79336500,-0.10036798,0.43641677,-0.21845475,0.50720489,-0.24663784,-0.14116952,0.08771621,-0.17214549,0.24876119,0.06593305,-0.07257856,0.04816778,0.27458295,0.11509658,0.04929892,0.10020717,0.00000000,-0.11237615,0.00000000,1.52485418,0.00000000,1.92820168,0.79529935,0.00000000,0.00000000,0,11:17:19.5,0,0
6,0.00000000,2.45068407,-0.92902815,0.03800908,0.00000000,-0.33852479,-0.06263204,-0.21562348,-1.77010703,-0.28404260,-0.01493008,-0.29018363,0.56915253,-0.78291953,-0.22325274,-0.27155378,-0.05899597,-0.16475150,0.36472324,-0.30869544,-0.14875220,0.23807210,0.04190380,-0.07557625,0.09313010,0.00000000,-0.20869119,0.00000000,-4.50363874,0.00000000,-0.53906459,-1.20318294,0.00000000,2.30748582,0,11:17:19.6,0,0
7,0.00000000,2.45068407,0.69581765,0.61792588,2.39954257,0.20517741,0.02918330,-0.15770537,2.89857244,-0.02112605,0.08904118,-0.20256747,0.42241001,-3.68680882,-0.10279848,-0.82626367,-1.14922810,-0.05502303,0.84560198,-0.08973954,-0.05010212,0.30509672,0.13398409,0.04043432,0.12996787,0.00000000,-0.15026081,0.00000000,1.52485418,0.00000000,1.04455256,0.58201355,0.00000000,1.35773015,0,11:17:19.7,0,0
8,0.00000000,2.45068407,0.37523678,0.65999293,0.00000000,-0.76612771,-1.12807405,-0.30515870,8.95235920,-0.21395072,-0.97091681,-0.27736339,0.43125206,0.40314817,-0.12836038,-0.18901724,0.48718992,0.50699472,0.23758194,-0.49799824,0.13286838,0.29362914,0.10453327,0.17548865,0.15450585,0.00000000,-0.04006694,0.00000000,-0.70716220,0.00000000,-0.37652364,-0.54687017,0.00000000,0.00000000,0,11:17:19.8,0,0
9,0.00000000,0.21866773,0.31712964,-0.56829464,2.39954257,0.74327749,0.71338767,-0.05394198,-2.94435120,0.03307338,0.33198133,-0.23698793,0.49390990,1.52204156,-0.02893130,-0.04847948,0.52981257,-0.19011410,0.03128764,0.29779652,-0.08962950,0.30509672,0.15007411,0.06453732,0.15583026,0.00000000,-0.22525735,0.00000000,0.61290610,0.00000000,-0.53906459,0.02458250,0.00000000,5.00637674,0,11:17:19.9,0,0
10,0.00000000,2.45068407,-0.15143563,0.61792588,0.00000000,0.41439471,0.39756942,-0.10549247,-0.27183232,-0.15106252,0.08300096,-0.20256747,0.51168036,-0.27755138,-0.08152534,0.08700908,-0.01636014,0.06985399,0.05726453,-0.07257856,-0.01531578,0.31051552,0.09752417,0.15313040,0.16460393,0.00000000,-0.01866782,0.00000000,0.54019713,0.00000000,3.27656913,0.87880820,0.00000000,1.35773015,0,11:17:20.0,0,0
11,0.00000000,0.21866773,-0.48887712,0.03800908,2.39954257,-0.49337098,-0.44861907,-0.10824338,-1.50014579,-0.05692767,0.39097440,-0.24521884,0.56299341,0.78141177,-0.02605134,-0.05056841,0.13248341,0.14862424,1.05282164,-0.07257856,0.01015938,0.29672006,0.11641168,0.07117393,0.13870518,0.00000000,-0.15026081,0.00000000,0.61290610,0.00000000,0.41760302,-0.83393526,0.00000000,0.00000000,0,11:17:20.1,0,0
12,0.00000000,-1.36494946,0.70854163,0.46996075,2.74337935,-0.25847185,0.19570200,-0.08429807,-4.73728657,-0.21138890,0.47622007,-0.31107542,0.62959963,0.28682077,-0.15203653,-0.70029551,0.33693895,-0.25409138,0.87132311,-0.08113915,-0.11319925,0.29672006,0.09449825,0.01902450,0.13629992,0.00000000,-0.24182506,0.00000000,0.10612147,0.00000000,-1.81424260,-1.43571651,0.00000000,-15.91865349,0,11:17:20.2,0,0
13,0.00000000,0.21866773,1.33640945,0.03800908,-1.41557860,0.87530375,0.40443352,-0.04442309,5.12714481,0.00235461,0.40426937,-0.21845475,0.55851793,1.10167789,-0.10372798,0.43963137,0.28968975,0.24876119,-0.57361948,-0.07257856,0.04647643,0.28828770,0.11509658,0.07117393,0.13680141,0.00000000,-0.09546626,0.00000000,0.54019713,0.00000000,2.19650936,1.47290945,0.00000000,0.00000000,0,11:17:20.3,0,0
14,0.00000000,0.21866773,-0.78520757,0.02590501,2.67067075,0.39227667,0.35049349,-0.00481170,-1.21937394,-0.06896877,0.07848860,-0.22951822,0.53635883,0.75067019,-0.13033810,0.36995748,0.50423104,-0.24879721,0.37329650,-0.09827287,-0.17917833,0.25488111,0.05816438,-0.00218531,0.11983913,0.00000000,-0.20869119,0.00000000,-0.97071111,0.00000000,-3.11563396,-1.09750855,0.00000000,-2.28178740,0,11:17:20.4,0,0
15,0.00000000,-2.59315157,0.20797861,0.02590501,0.43865430,-0.05074333,0.50081831,-0.22136614,-4.88727236,-0.13014205,0.38810822,-0.25813520,0.51861906,1.21929300,-0.09802026,-0.04847948,0.34539425,-0.27372667,1.24460220,0.04534202,-0.15266399,0.22078808,-0.00515262,-0.08048216,0.07428007,0.00000000,-0.33184066,-29.36757851,-0.89752173,0.00000000,-0.06863874,-1.40047121,12.60531902,-15.54864788,0,11:17:20.5,0,0
16,0.00000000,0.21866773,-0.18425471,0.55056930,6.48579168,0.07105624,0.13440345,0.00660791,-1.50014579,-0.11749663,0.03379015,-0.19701399,0.40033856,-1.29547977,-0.16729787,-0.13142215,-0.08021700,-0.27546299,-0.02878145,-0.13653846,-0.16531654,0.22911547,0.05529428,0.01254452,0.13167243,0.00000000,-0.24182506,0.00000000,-0.70716220,0.00000000,-0.53906459,0.25242269,0.00000000,5.35856771,0,11:17:20.6,0,0
17,0.00000000,2.45068407,0.13459215,0.01162214,2.39954257,0.43961248,0.17604801,-0.20842434,0.87338847,-0.15429015,0.53728795,-0.22951822,0.31861553,0.78141177,-0.12836038,0.51305050,0.39215726,0.07666275,0.51962209,0.08354802,-0.08739138,0.25171220,0.09449825,0.01884316,0.13799368,0.00000000,-0.13346706,0.00000000,-1.69181919,0.00000000,-2.60854006,-0.52554333,0.00000000,3.05363607,0,11:17:20.7,0,0
18,0.00000000,-1.36494946,-0.06770632,-0.48665521,-3.64759493,-0.25587651,0.08325981,-0.19038236,-4.42274952,-0.20501184,-0.17259020,-0.27918407,0.60749274,0.72009939,-0.12572899,0.01751311,0.36661530,-0.26374301,1.27025664,0.10920247,-0.08069736,0.27366728,0.11058827,-0.06362334,0.08346429,0.00000000,-0.33184066,-29.36757851,-2.19891334,0.00000000,-1.76726663,-0.68775839,0.00000000,-6.55494738,0,11:17:20.8,0,0
19,0.00000000,0.21866773,-0.69151253,0.03800908,-1.41557860,0.13530266,0.23386283,0.01938360,-2.02478886,-0.00076823,0.83711880,-0.18327309,0.53190458,1.49599564,-0.21781990,-0.11418542,0.51274520,-0.44665363,0.19445777,-0.32996553,-0.14875220,0.21866691,-0.02404013,-0.00921929,0.10014233,0.00000000,-0.20869119,0.00000000,-0.97071111,0.00000000,-0.53906459,-1.33718836,0.00000000,2.30748582,0,11:17:20.9,0,0
20,0.00000000,-2.59315157,0.17507797,-1.57193792,-5.23121214,-0.27066922,0.02367296,-0.04442309,-3.35228443,-0.12829135,-0.04035743,-0.22951822,0.49831936,0.05281886,0.00944807,-0.12388028,0.22990681,-0.12777132,0.87132311,0.10060208,-0.10170854,0.26855144,0.09449825,0.07114343,0.13049580,0.00000000,-0.20869119,0.00000000,0.61290610,0.00000000,0.41760302,-0.25337869,12.60531902,0.00000000,0,11:17:21.0,0,0
