Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190412103614
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1534,1135,658,618,623,0,622,597,675,0,647,612,658,618,1854,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,88,88,6,6,144,144,6,6,6,6,31,31,31,31,6,6,44,44,6,6,15,15,6,6,7,7,6,6,7,7,6,6,6,6,7,7,6,6,7,7,6,6,6,6,6,6,12,12,6,6,6,6,31,31,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,72,72,72,72,56,56,7,7,6,6,6,6,15,15,7,7,6,6,6,6,7,7,7,7,6,6,6,6,124,124,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,1.00,19.08,37.42,15.25,41.01,24.07,51.54,10.03,100.00,1.48,2.40,1.46,32.06,2.99,3.64,1.73,32.46,1.97,34.46,2.92,5.29,2.72,5.01,1.89,45.36,4.42,6.90,2.09,54.73,2.03,72.28,2.81,3.71,2.46,3.57,2.01,3.33,2.91,4.25,1.74,3.20,1.00,1.00,3.69,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,39.71,55.04,1.00,1.00,1.00,100.00,100.00,1.00,98.40,100.00,6.94,12.47,26.13,1.00,5.04,9.71,3.41,8.16,3.88,5.22,1.50,28.62,1.26,21.26,2.03,5.69,2.35,4.16,1.00,14.02,1.00,15.78,2.68,3.80,3.06,4.21,1.24,1.74,1.59,3.35,100.00,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/04/12 10:36:18
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-9.46862221,2.27789664,0.17340751,-0.42629251,0.00000000,0.19798039,0.41932365,0.05914037,0.21263473,-0.17210475,-0.16241419,-0.04217314,0.20139779,0.01632691,-0.18028350,-0.21619247,0.15459268,-0.18716110,-0.70824510,0.19367467,-0.00018931,-0.06501555,-0.10996238,-0.07948423,-0.14938372,0.00000000,-0.15136328,0.00000000,2.97165179,0.00000000,7.67141008,-1.83637798,0.00000000,0.00000000,0,10:36:27.1,0,0
2,-3.42148519,2.27789664,3.36209154,-0.41939867,0.00000000,0.46770987,0.41932365,0.05914037,0.26468471,-0.18592356,-0.08735576,-0.08186772,-0.03986268,0.19613136,-0.21700101,-0.18943459,0.64925420,-0.16676800,-0.55292308,-0.16309519,-0.00973472,-0.13123716,-0.17647490,0.02845410,-0.06390763,0.00000000,-0.04306927,0.00000000,2.97165179,0.00000000,4.31043577,1.10892606,0.00000000,0.00000000,0,10:36:27.2,0,0
3,-3.42148519,-2.76593900,3.36209154,-2.17235065,-9.33908367,-0.93155271,-0.78769529,0.05914037,0.05943612,-0.18958545,-0.12751354,-0.17749031,0.06647708,0.49735323,-0.30337447,-0.25029331,0.67380625,-0.16219859,0.70009357,0.28143927,-0.04334417,-0.14574684,-0.18690874,-0.06845047,-0.10729033,0.00000000,-0.18538921,0.00000000,-3.65080309,0.00000000,-0.73339975,-0.22371037,0.00000000,0.00000000,0,10:36:27.3,0,0
4,-12.28044128,6.09301805,-2.75857711,1.77043688,0.00000000,-0.43547300,-0.63961214,-0.05175247,0.26468471,-0.19424896,-0.14085300,-0.19427028,-0.23489146,-0.17922938,-0.34864226,-0.26710856,-0.16189295,-0.21414079,-0.25570136,-0.25773969,-0.06043304,-0.14183491,-0.18484390,-0.10732701,-0.12364429,0.00000000,-0.16598895,0.00000000,2.97165179,0.00000000,-1.57467306,1.38602996,0.00000000,0.00000000,0,10:36:27.4,0,0
5,-7.23660612,-2.76593900,6.22054529,-1.56604683,-9.33908367,-0.65485835,-0.64943779,0.05914037,-0.23473363,-0.18411608,-0.10522761,-0.18038091,-0.08164638,0.44681957,-0.30556706,-0.21350819,0.80592716,-0.20513719,0.85019106,0.48505381,-0.02926481,-0.15529381,-0.18517122,-0.08244231,-0.12740700,0.00000000,-0.21920644,0.00000000,1.23049176,0.00000000,0.22326785,-0.67097402,0.00000000,0.00000000,0,10:36:27.5,0,0
6,-11.05224037,-2.76593900,-2.81382132,-1.56604683,-9.33908367,-1.09973431,-1.05693352,0.05914037,-0.32937813,-0.17568921,-0.16241419,-0.14114732,0.09464785,-0.37163004,-0.26201215,-0.30850315,-0.38629958,-0.17481835,0.29755890,-0.10070110,0.00467422,-0.12500021,-0.18690874,0.05701035,-0.08082357,0.00000000,-0.13184217,0.00000000,-1.34607780,0.00000000,-0.73339975,-1.04196119,0.00000000,0.00000000,0,10:36:27.6,0,0
7,0.00000000,6.09301805,0.00000000,2.28299713,0.00000000,1.01940560,0.97483420,0.05914037,0.37021902,-0.16188137,-0.14896719,0.00080713,0.43087453,-0.04680248,-0.13548508,-0.16771364,0.04979159,-0.15107241,0.19736609,0.22285257,0.03844127,-0.05819178,-0.13826442,0.12116320,-0.02438623,0.00000000,-0.00311577,0.00000000,0.72610646,0.00000000,2.96206856,3.37540674,0.00000000,0.00000000,0,10:36:27.7,0,0
8,-3.42148519,-1.53773701,1.05705655,-1.64768636,-5.52396250,-0.06689854,0.30717131,0.19926514,2.94681406,-0.14798123,-0.03333379,-0.09861005,0.01636607,0.09215375,-0.26201215,-0.24360666,0.25136286,-0.14274310,0.90433830,0.14532636,0.03125167,-0.09026369,-0.17583345,0.06335994,-0.05573754,0.00000000,-0.11225194,0.00000000,-1.00135362,0.00000000,-2.58550811,-0.74982262,0.00000000,-14.73040867,0,10:36:27.8,0,0
9,0.00000000,-1.53773701,4.87217760,-1.80972981,-5.52396250,-0.69684762,-1.02903533,0.05914037,0.11005124,-0.15348209,-0.13089328,-0.06763247,0.19199616,-0.46268329,-0.22315106,-0.30397591,-0.76310915,-0.15527166,-0.21880646,-0.09104328,0.03219270,-0.05241749,-0.14826958,-0.10867810,-0.15840244,0.00000000,-0.07776911,0.00000000,-2.42260098,0.00000000,-0.85356498,-0.44454950,0.00000000,0.00000000,0,10:36:27.9,0,0
10,-7.23660612,2.27789664,-1.17495990,0.69946527,0.00000000,0.02378655,0.14155369,0.19926514,0.00928255,-0.16646847,-0.16241419,-0.11569344,0.06186650,0.05448823,-0.30536827,-0.24388276,0.32000700,-0.20145467,-0.07979305,0.57969832,-0.00973472,-0.06580716,-0.14766602,-0.00800645,-0.08411736,0.00000000,-0.09748259,0.00000000,1.23049176,0.00000000,0.49480236,-0.64940292,0.00000000,0.00000000,0,10:36:28.0,0,0
11,-7.23660612,-4.61804771,-2.75857711,-2.17235065,-11.57110023,-1.32733655,-1.45369124,0.05914037,-0.04035708,-0.17210475,-0.16241419,-0.12719765,-0.07239500,0.52067775,-0.33390358,-0.17922699,0.78232265,-0.12340052,0.72431886,0.52269298,0.02775465,-0.05241749,-0.14766602,-0.14350024,-0.15655895,0.00000000,-0.29100457,0.00000000,-2.42260098,0.00000000,-0.73339975,-0.63873982,0.00000000,0.00000000,0,10:36:28.1,0,0
12,-7.23660612,-1.53773701,1.13007510,-0.46146578,-5.52396250,-0.08695121,0.08801887,0.17237212,-0.23473363,-0.17494190,-0.07388585,-0.14682828,0.19082285,0.32633916,-0.30337447,-0.17790352,0.63142902,-0.22504927,0.44173706,0.44761229,-0.05720461,-0.11434647,-0.17583345,-0.04065863,-0.08337579,0.00000000,-0.20478170,0.00000000,1.46574163,0.00000000,2.07841969,-0.47625366,0.00000000,0.00000000,0,10:36:28.2,0,0
13,-7.23660612,-1.53773701,-0.45354205,-1.64768636,-5.52396250,0.90971935,0.88679606,0.05914037,0.31716636,-0.17494190,-0.11419708,-0.18038091,0.00611211,-0.00610896,-0.34838560,-0.27586612,0.05271054,-0.16668099,0.47012207,-0.03919600,-0.01030803,-0.09431323,-0.15874130,-0.18285915,-0.17393675,0.00000000,-0.29100457,0.00000000,-2.42260098,0.00000000,-2.08176708,-0.86815542,0.00000000,0.00000000,0,10:36:28.3,0,0
14,-3.42148519,0.04588026,-1.17495990,-0.46146578,0.00000000,0.24577455,0.61741149,0.19926514,-0.70627868,-0.14815176,-0.15343465,-0.02476395,0.34564471,0.18664695,-0.16565335,-0.16810644,0.45770687,-0.16219859,-0.05984316,0.32883063,0.00316016,-0.02237605,-0.13992159,0.00615771,-0.07417824,0.00000000,-0.16598895,0.00000000,1.46574163,0.00000000,-0.73339975,-1.03882504,0.00000000,0.00000000,0,10:36:28.4,0,0
15,-9.46862221,-1.53773701,-2.75857711,-1.80972981,0.00000000,-0.64151472,-0.74669844,0.17237212,-0.08961362,-0.13954677,-0.01978689,-0.03790013,-0.15015803,0.34147578,-0.21177785,-0.12911436,0.55845261,-0.19088653,-0.81908071,-0.36961445,0.01930831,-0.03613448,-0.15734120,-0.02154653,-0.09502219,0.00000000,-0.16598895,0.00000000,-0.84398204,0.00000000,-0.85356498,-0.70848519,0.00000000,0.00000000,0,10:36:28.5,0,0
16,-7.23660612,-1.53773701,2.40542388,0.05109445,-5.52396250,0.20976491,0.37541616,0.05914037,0.00928255,-0.12943134,-0.01978689,0.01113962,0.24223207,0.23399767,-0.18091893,-0.12911436,0.55845261,-0.19423595,-0.12890524,-0.09104328,0.02926650,-0.00140713,-0.13775465,0.01035974,-0.09495553,0.00000000,-0.11225194,0.00000000,2.81410909,0.00000000,1.45147002,-0.18348776,0.00000000,3.30215240,0,10:36:28.6,0,0
17,-9.46862221,-1.53773701,-2.75857711,0.05109445,0.00000000,0.39027002,0.49475801,0.05914037,0.11005124,-0.13386172,-0.10375492,0.02450607,0.31554928,0.54138231,-0.14897273,-0.10132211,0.66856152,-0.08656192,-0.29956645,0.17424841,0.08329104,-0.01251022,-0.12991451,0.11920287,-0.00528883,0.00000000,0.03199712,0.00000000,-0.83898371,0.00000000,-0.85356498,0.48095807,0.00000000,0.00000000,0,10:36:28.7,0,0
18,3.60960102,-2.76593900,1.13007510,-2.17235065,-9.33908367,-0.14720358,-0.24295774,0.05914037,0.21263473,-0.13386172,-0.10831522,-0.04384090,-0.00103735,0.12052885,-0.25412881,-0.14754221,0.24168777,-0.17481835,0.03384697,0.13571909,0.02926650,-0.00140713,-0.11874632,-0.04179795,-0.11545745,0.00000000,-0.11225194,0.00000000,-0.83898371,0.00000000,-2.08176708,0.23432496,0.00000000,0.00000000,0,10:36:28.8,0,0
19,-11.05224037,-1.53773701,0.17340751,0.05109445,-5.52396250,-0.52735549,-0.49176282,0.05914037,-0.13843329,-0.13871394,-0.07388585,-0.04754271,0.14183606,0.07325970,-0.24746414,-0.18583642,0.17956474,-0.18146287,0.60439473,0.92803639,-0.00633663,-0.04264489,-0.14933969,-0.11651743,-0.14501664,0.00000000,-0.21920644,0.00000000,-1.34607780,0.00000000,-0.03841519,-0.37155473,0.00000000,1.95378494,0,10:36:28.9,0,0
