Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190405145536
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,588,577,563,0,507,529,595,0,557,559,1138,901,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,31,31,6,6,6,6,44,44,44,44,6,6,49,49,124,124,6,6,6,6,12,12,15,15,60,60,24,24,7,7,24,24,12,12,15,15,7,7,6,6,6,6,15,15,6,6,6,6,7,7,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,15,15,144,144,6,6,7,7,28,28,6,6,7,7,7,7,15,15,15,15,15,15,6,6,150,150,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,31.28,45.61,100.00,100.00,100.00,100.00,19.07,28.50,21.55,36.30,71.44,100.00,1.00,1.00,29.57,29.11,11.21,100.00,2.81,1.65,1.28,18.42,2.11,34.77,6.30,3.34,9.36,4.64,2.04,71.49,12.41,6.41,2.16,100.00,1.66,100.00,6.15,4.65,2.41,2.09,1.30,2.87,4.67,3.58,1.52,3.54,100.00,100.00,1.69,46.70,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,57.55,79.40,100.00,100.00,56.69,62.17,100.00,1.00,100.00,100.00,9.35,15.18,10.58,21.28,51.84,100.00,1.00,1.00,3.14,2.05,2.23,54.07,1.33,21.96,66.64,50.33,41.63,21.11,1.49,49.84,1.33,32.61,2.68,1.97,3.25,2.55,1.17,2.59,1.00,1.00,30.68,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/05 14:55:39
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,2.29142427,-0.02853720,-0.05096972,0.28243303,0.69683230,0.77073270,0.34502593,0.00000000,2.21585035,0.16829465,-0.20590374,0.38917631,0.16219902,0.02430500,-0.30274230,0.70370156,-0.09549353,-0.89098585,-1.95813632,-0.15464744,-0.21118528,-0.06182448,-0.10966378,-0.18647772,1.29410088,0.60563463,0.00000000,1.50017583,0.00000000,0.43685398,0.74885607,1.73950398,0.69455868,0,14:55:49.1,0,0
2,0.00000000,-3.75571322,-0.42792597,-0.69934052,-1.30109870,-0.25995758,-0.37165403,-1.25627017,0.00000000,1.69196820,0.11450435,-0.29916018,0.25356105,-0.39216965,-0.52105451,-0.31081039,-0.12367965,-0.16639283,-1.30434906,0.33787808,-0.13771570,-0.19422220,-0.05208734,-0.15595168,-0.22219883,-0.40890244,0.08861195,0.00000000,-2.38816667,0.00000000,-1.14676332,-1.48307598,-2.79723787,-1.24068236,0,14:55:49.2,0,0
3,0.00000000,-5.33933067,0.44496030,-1.88556111,-2.90613723,0.04092963,-0.02846206,-0.61164171,0.00000000,2.25731564,-0.52380711,-0.24021390,0.43438861,-0.25220510,-0.34097633,-0.32441831,0.11660159,-0.00901394,-1.75058913,-0.61878949,-0.02990861,-0.20851846,-0.06104492,-0.19413362,-0.22482832,3.40621853,0.21394438,0.00000000,-0.80454940,0.00000000,0.36414510,-0.16004868,-0.56522143,0.18324505,0,14:55:49.3,0,0
4,0.00000000,-1.52369678,0.11322645,-0.05096972,-1.52269983,-0.12193995,-0.03695931,0.12408010,0.00000000,2.89681911,0.26841038,-0.19181617,0.28957227,-0.54508752,-0.31381118,-0.23083016,-0.60044247,0.00693718,-0.40229052,-0.58278584,-0.03866947,-0.19602282,-0.04677935,-0.12113334,-0.22908187,3.40621853,-0.17818469,0.00000000,-0.80454940,0.00000000,-1.86787128,0.42471725,-0.56522143,0.64160216,0,14:55:49.4,0,0
5,0.00000000,0.00000000,1.00327015,0.92625833,1.55761087,0.73319948,0.60059321,0.12408010,0.00000000,2.51742315,0.37032267,-0.16798255,0.00697931,-0.09183829,-0.24269317,-0.14208023,0.37551031,-0.06722494,-1.75947464,-1.93568778,-0.04934474,-0.15645051,-0.02059199,0.03297636,-0.15705201,1.70300341,0.15493688,0.00000000,7.54731321,0.00000000,2.93091345,0.81460619,5.06096411,0.94090241,0,14:55:49.5,0,0
6,0.00000000,-3.75571322,-0.27717066,-2.04760456,-3.60613370,0.00767738,-0.02755795,-1.96000910,0.00000000,2.05418205,-0.52380711,-0.24302965,0.43438861,-0.47085008,-0.39024425,-0.39099649,-0.36856928,-0.02995475,-1.26018810,-0.60976887,0.00961427,-0.19602282,-0.06027122,-0.12494097,-0.22594409,-0.40890244,0.10277411,0.00000000,-0.80454940,0.00000000,-1.86787128,0.20124801,-0.56522143,0.36768335,0,14:55:49.6,0,0
7,0.00000000,0.00000000,0.25841790,0.18429802,0.20924351,0.81212646,0.50794613,-1.60191143,0.00000000,2.54133630,-0.47354993,-0.17755082,0.23635757,-0.51716858,-0.34789726,-0.08142418,-0.58209789,0.19447517,-0.81613225,-1.95813632,0.06651741,-0.17717670,-0.05208734,-0.06664784,-0.22908187,0.00000000,-0.69076991,0.00000000,6.07475471,0.00000000,2.93091345,-0.96444029,0.00000000,-0.43349248,0,14:55:49.7,0,0
8,0.00000000,2.29142427,0.28626767,0.68409681,0.28243303,-0.97302437,-1.28163934,-1.22428739,0.00000000,2.72681260,-0.47354993,-0.21978237,0.30749521,-0.08561533,-0.35296175,-0.37906909,0.31171104,-0.04709623,-1.80811608,-1.96715701,-0.08114957,-0.20851846,-0.06998827,-0.17086861,-0.22482832,5.10922194,0.21866819,0.00000000,1.42746711,0.00000000,-1.14676332,0.14960508,-0.49251243,0.32509553,0,14:55:49.8,0,0
9,0.00000000,-6.56753254,-0.48155040,-1.80392158,-1.94946957,-0.92127311,-1.04846430,1.08698618,0.00000000,1.99548876,0.82445687,-0.27152970,0.37121695,0.01795566,-0.36971346,-0.21244739,0.72183824,-0.24616988,-1.32629740,0.27993155,-0.16575326,-0.22806667,-0.07600292,-0.21336752,-0.23737884,1.36680984,0.32721055,0.00000000,1.26492584,0.00000000,0.20160405,-1.12662745,-2.07612967,-1.26129544,0,14:55:49.9,0,0
10,0.00000000,0.00000000,0.20037904,1.53256202,1.28607631,-0.36950773,-0.21068603,-0.25354403,0.00000000,2.08261514,0.21815319,-0.20137325,0.38917631,-0.17994320,-0.28355125,-0.29979986,0.52391589,-0.14925134,-1.81690931,-0.64111066,-0.05267662,-0.19779176,-0.06182448,-0.14848451,-0.23047790,-0.93791544,-0.06016490,0.00000000,-0.08344144,0.00000000,1.15827179,-0.12423496,-0.72776240,-0.32435712,0,14:55:50.0,0,0
11,0.00000000,2.29142427,0.13712315,0.68409681,1.28607631,0.10468479,0.12981196,0.70312363,0.00000000,1.70434999,0.31913069,-0.18347509,0.42982823,0.03641224,-0.33058846,-0.29979986,0.72183824,-0.04709623,-0.42444968,1.07983840,-0.08114957,-0.20496622,-0.06182448,-0.11366861,-0.20290445,7.41394711,0.37894177,0.00000000,2.84854317,0.00000000,0.43685398,-0.91827554,1.73950398,-0.58627564,0,14:55:50.1,0,0
12,0.00000000,-1.52369678,-0.29321492,1.19665706,1.02439344,-0.05449632,0.06541101,0.34502593,0.00000000,1.65984595,0.82445687,-0.14564569,0.21699043,0.09685561,-0.30565149,-0.19521156,0.75834906,0.05471485,-1.73272026,-0.61878949,0.02813959,-0.20144130,-0.06844130,-0.04306651,-0.18463218,1.29410088,0.25167435,0.00000000,1.50017583,0.00000000,0.43685398,-0.98252183,1.73950398,-0.64262408,0,14:55:50.2,0,0
13,0.00000000,-3.75571322,-0.94737017,-0.76669723,-0.55913836,0.02687583,0.17192821,0.44235778,0.00000000,1.95741224,0.77459836,-0.21134879,0.24544093,-0.21972792,-0.32849631,-0.33818227,0.13479857,-0.20562419,-0.42444968,0.36034572,-0.04934474,-0.17357339,-0.04392355,-0.15698163,-0.22482832,-2.52153277,0.22806983,0.00000000,-3.61636901,0.00000000,-1.14676332,-0.91827554,-0.49251243,-1.04797781,0,14:55:50.3,0,0
14,0.00000000,-5.33933067,-0.55096960,-2.62752151,-3.60613370,-0.36763683,-0.52871817,-1.96000910,0.00000000,1.69196820,-0.52380711,-0.19165257,0.09554674,-0.32278422,-0.32821003,-0.35200322,0.33893889,-0.02995475,-1.75058913,-1.96715701,-0.06351902,-0.21577843,-0.07294960,-0.14108922,-0.24160601,-0.40890244,-0.21595335,0.00000000,0.02761758,0.00000000,-3.45148849,-0.71647584,-0.98617357,-0.64262408,0,14:55:50.4,0,0
15,0.00000000,0.00000000,-0.39521006,1.92990148,1.55761087,-0.18321538,-0.14172414,-0.61164171,0.00000000,2.00894618,-0.52380711,-0.19737691,0.28044748,-0.51716858,-0.33058846,-0.17234565,-0.60044247,-0.10491738,-3.12991619,0.34689870,-0.13219778,-0.18255295,-0.04392355,-0.09829469,-0.22594409,-0.40890244,-0.20653528,0.00000000,-0.80454940,0.00000000,0.43685398,1.01528633,-0.56522143,1.25748861,0,14:55:50.5,0,0
16,0.00000000,-5.33933067,-1.05920529,-1.27925742,-1.94946957,-0.44640419,-0.43913290,-0.94341499,0.00000000,1.82736659,0.11450435,-0.21144129,0.21368593,0.00875070,-0.33473483,-0.46600598,0.86678243,-0.22276568,-0.86029327,1.67274952,-0.13771570,-0.19244127,-0.05368089,-0.18292759,-0.23368829,-1.44500959,0.57285327,0.00000000,-0.96691954,0.00000000,-1.07357347,-0.41623190,-0.99929661,-1.10693181,0,14:55:50.6,0,0
17,0.00000000,2.29142427,-0.07113940,-1.62083495,-4.32732725,-1.46082187,-1.97644937,-4.59650755,0.00000000,1.40354753,-1.53033340,-0.25690830,0.16411322,-0.33207470,-0.41849789,-0.19170594,-0.34129649,-0.00901394,-1.78165245,-1.98947811,-0.02399613,-0.20851846,-0.07891678,-0.15257218,-0.29510772,0.00000000,-0.73794025,0.00000000,2.25963402,0.00000000,4.17926645,0.80470747,-1.81106424,1.20959902,0,14:55:50.7,0,0
18,0.00000000,2.29142427,-0.56625235,-1.62083495,-3.32368374,-1.11963224,-2.09706235,-2.67956018,0.00000000,2.89681911,-1.32830536,-0.18331122,0.32101953,-0.75752223,-0.29087275,-0.24492060,-1.20749903,-0.00901394,-1.79048800,-1.95367646,0.01321325,-0.16819714,-0.05208734,-0.03104378,-0.22069196,0.00000000,-0.33805072,0.00000000,6.07475471,0.00000000,0.36414510,-1.74700069,0.00000000,-0.16058044,0,14:55:50.8,0,0
19,0.00000000,2.29142427,-0.02853720,0.68409681,0.28243303,-0.31054312,-0.28269148,0.70312363,0.00000000,2.39839983,0.31913069,-0.16347146,0.26818690,-0.11980447,-0.23345226,-0.32441831,0.32984772,-0.22276568,-1.26909220,-0.60976887,-0.10649817,-0.18797141,-0.04843185,-0.12113334,-0.21659741,3.59882617,0.23748791,0.00000000,2.84854317,0.00000000,0.20160405,0.15563174,-0.72776240,0.00500404,0,14:55:50.9,0,0
