Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190411143937
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1224,952,628,601,553,0,507,529,595,0,567,565,608,589,1674,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,88,88,6,6,124,124,6,6,6,6,24,24,48,48,6,6,44,44,6,6,24,24,6,6,6,6,6,6,24,24,7,7,6,6,15,15,6,6,7,7,7,7,6,6,6,6,15,15,6,6,6,6,15,15,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,24,24,72,72,112,112,98,98,6,6,7,7,24,24,6,6,15,15,6,6,7,7,12,12,15,15,6,6,7,7,98,98,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,1.00,1.00,4.78,8.45,15.28,62.13,34.15,100.00,9.78,100.00,1.90,2.71,1.67,31.86,2.67,2.43,1.68,22.01,4.92,100.00,12.22,4.83,35.20,16.27,2.39,57.15,21.24,9.53,2.35,68.26,2.84,100.00,6.79,5.25,3.15,3.07,1.94,3.15,5.65,5.72,2.27,5.00,1.00,1.00,3.11,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,46.52,61.36,1.00,1.00,1.00,1.00,100.00,1.00,100.00,100.00,3.48,7.19,29.74,1.00,26.79,37.78,74.30,1.00,2.65,2.81,2.11,45.63,1.42,25.92,100.00,100.00,34.94,12.96,1.27,30.83,1.30,31.01,2.70,2.37,2.98,2.77,1.16,2.23,2.35,5.98,7.14,1.00,100.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00

Measurement Information
Date,2019/04/11 14:39:41
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,4.92919922,0.47626889,0.68971407,0.00000000,-0.09269806,1.09623373,-0.07755313,5.24948072,-0.20514071,0.22037785,-0.20120548,-0.13453698,0.02265455,0.84567463,-0.62167972,0.01515305,0.22018039,0.09475087,0.57446390,-0.07044435,-0.08428489,-0.04985797,-0.12396567,-0.11581443,0.00000000,-0.25582850,0.00000000,-0.56724322,0.00000000,1.14496994,-0.42351606,0.00000000,0.00000000,0,14:39:50.1,0,0
2,-1.26521826,4.92919922,0.47626889,0.68971407,0.00000000,-0.12187048,0.41590875,-0.52131933,3.34230232,-0.18639670,0.12482402,-0.22311164,-0.07569548,-1.14070451,0.89844805,-0.59839475,-0.49034601,0.11547830,0.24544604,0.27079830,-0.07044435,-0.06652850,-0.03986337,-0.21544458,-0.14775959,0.00000000,-0.31468099,0.00000000,0.66095883,0.00000000,-0.08323210,-0.73053879,0.00000000,0.00000000,0,14:39:50.2,0,0
3,0.00000000,4.92919922,1.21822929,0.08341035,0.00000000,0.03454680,1.44126594,-0.52131933,2.61651111,-0.22124363,0.08987647,-0.25117260,-0.16501120,0.65166694,0.65055603,-0.15521027,0.32589048,-0.15501554,-0.31739977,0.57446390,-0.18464020,-0.07337178,-0.03986337,-0.16672434,-0.13865374,0.00000000,-0.26943102,0.00000000,-1.40851653,0.00000000,0.18830234,0.04492833,0.00000000,0.00000000,0,14:39:50.3,0,0
4,0.00000000,0.00000000,0.47626889,1.93551886,0.00000000,-0.29270327,-3.69861507,-0.07755313,0.19172271,-0.19979022,0.05955301,-0.23617412,-0.05698762,-2.21392465,0.82761061,0.06725249,-0.85885751,0.14224206,0.04260471,0.57446390,-0.12941080,-0.06006489,-0.02168165,-0.19620357,-0.14327370,0.00000000,-0.26943102,0.00000000,6.91593838,0.00000000,0.42355227,1.11852753,0.00000000,0.00000000,0,14:39:50.4,0,0
5,0.00000000,4.92919922,-0.75193322,1.53817928,0.00000000,-0.45575657,0.59767264,-0.23196675,0.09027407,-0.19268300,0.15930848,-0.23233101,-0.22494663,-1.18602860,0.84235495,-0.33485791,-0.53037411,-0.05217425,0.02963127,-0.14558727,-0.15890528,-0.16793530,-0.09525580,-0.29321632,-0.21615256,0.00000000,-0.35506800,0.00000000,0.82349998,0.00000000,0.42355227,0.48653457,0.00000000,0.00000000,0,14:39:50.5,0,0
6,0.00000000,1.11407828,-0.00997289,-0.65165615,0.00000000,-0.24604844,-1.53553426,-0.68385684,-0.10236277,-0.23096961,-0.05117360,-0.26842323,-0.17803577,-1.24883974,0.80422348,-0.87583071,-0.55249894,-0.00681898,-0.16678609,-0.19349736,-0.20131350,-0.18595967,-0.10502818,-0.28408670,-0.17015213,0.00000000,-0.36848289,0.00000000,3.12822533,0.00000000,1.77191973,-0.47610503,0.00000000,0.00000000,0,14:39:50.6,0,0
7,0.00000000,0.00000000,1.21822929,0.93187553,0.00000000,-0.07133227,1.42287683,-0.23196675,5.90668249,-0.20156109,0.24392837,-0.26836160,-0.23797120,-1.18602860,0.54720837,-0.54910946,-0.53037411,-0.38694969,-0.17968802,0.49990368,-0.21413468,-0.13726722,-0.08511332,-0.16145875,-0.12037542,0.00000000,-0.30113384,0.00000000,0.89620870,0.00000000,0.18830234,0.38835636,0.00000000,0.00000000,0,14:39:50.7,0,0
8,0.00000000,0.00000000,-0.75193322,1.53817928,0.00000000,-0.08367632,1.06909072,0.08131744,0.04021161,-0.19174719,0.08118814,-0.19207694,-0.15201047,0.06810918,0.75165880,-0.07138331,0.17842846,-0.00681898,0.07295820,-0.11923783,-0.08361934,-0.10568231,-0.06813986,-0.07016656,-0.09277486,0.00000000,-0.17327033,0.00000000,-0.68740857,0.00000000,0.18830234,1.27030432,0.00000000,0.00000000,0,14:39:50.8,0,0
9,0.00000000,1.11407828,-0.75193322,0.68971407,0.00000000,-0.15524696,0.16640602,0.08131744,-0.00443424,-0.18281867,0.10296283,-0.20950909,-0.03531839,-1.16341317,0.84235495,-0.71255213,-0.71118772,-0.17365831,0.23240159,0.82420510,-0.12591939,-0.10786691,-0.05889648,-0.22911878,-0.13855390,0.00000000,-0.32819489,0.00000000,-0.68740857,0.00000000,-0.08323210,1.57021141,0.00000000,0.00000000,0,14:39:50.9,0,0
10,0.00000000,4.92919922,0.47626889,-0.65855002,0.00000000,-0.27670446,-0.30712381,-0.52131933,-0.42295232,-0.19174719,-0.00793384,-0.23661834,-0.15201047,-2.19093180,0.73837852,-0.12364987,-0.64868194,0.42779168,-0.90307587,-0.95497620,-0.03526542,-0.12977685,-0.09444942,-0.21544458,-0.13865374,0.00000000,-0.26943102,0.00000000,2.24457598,0.00000000,1.77191973,0.04492833,0.00000000,0.00000000,0,14:39:51.0,0,0
11,0.00000000,4.92919922,1.21822929,0.68971407,0.00000000,-0.34269378,-3.17527533,-0.23196675,-0.24139616,-0.19536617,0.00075449,-0.24590006,0.00851039,0.04536323,0.65325737,-0.19853549,-0.14669906,-0.24973585,-0.32604718,0.19600481,-0.21413468,-0.13726722,-0.09603398,-0.20994471,-0.12037921,0.00000000,-0.30113384,0.00000000,-1.91561067,0.00000000,-1.08687532,-0.83994877,0.00000000,0.00000000,0,14:39:51.1,0,0
12,0.00000000,0.00000000,8.10702419,1.53817928,0.00000000,-0.17124847,-0.12479515,-0.20803511,-0.24139616,-0.19536617,0.13336496,-0.28726482,-0.24661858,-1.11795855,0.57361108,-0.42988980,-0.68899316,-0.10319745,-0.12795103,0.52169323,-0.15557277,-0.09983536,-0.05975639,-0.19413549,-0.11127336,0.00000000,-0.30113384,0.00000000,0.66095883,0.00000000,1.14496994,-0.59593296,0.00000000,0.29438370,0,14:39:51.2,0,0
13,0.00000000,4.92919922,3.33523488,1.64633000,0.00000000,-0.08213303,0.90707433,-0.36690569,-1.03658164,-0.20514071,0.05085802,-0.21342522,-0.05698762,0.87248874,0.77806151,-0.44439006,0.29472649,0.01744046,0.22373994,-0.53726989,-0.09975743,-0.14535774,-0.08702471,-0.15462306,-0.12037542,0.00000000,-0.30113384,0.00000000,3.12822533,0.00000000,-1.16006505,0.55852562,0.00000000,0.00000000,0,14:39:51.3,0,0
14,0.00000000,-1.11793816,0.47626889,-0.18116307,0.00000000,-0.07133227,1.43210042,-0.52131933,5.60581732,-0.22291121,-0.05978043,-0.27745667,-0.10017873,0.82753450,0.64018583,-0.60766858,0.42709199,-0.37562165,0.16343574,0.18295252,-0.28430453,-0.16793530,-0.10308708,-0.31827983,-0.13877852,0.00000000,-0.39516053,0.00000000,-1.57088661,0.00000000,0.26138860,-0.45496142,0.00000000,7.93473911,0,14:39:51.4,0,0
15,0.00000000,4.92919922,0.47626889,1.20227420,0.00000000,-0.15270635,-0.21070990,-0.23196675,-0.19863878,-0.21839900,0.09465121,-0.27216691,0.11727303,-1.20855176,0.70245290,-0.62167972,-0.16889361,-0.00192252,0.64808023,1.06845438,-0.13391490,-0.11812670,-0.06062207,-0.14969824,-0.07992131,0.00000000,-0.31468099,0.00000000,3.12822533,0.00000000,4.00393629,2.44391775,0.00000000,0.00000000,0,14:39:51.5,0,0
16,0.00000000,-1.11793816,1.21822929,-0.69372326,0.00000000,-0.18534590,0.65951723,-0.52131933,2.47873688,-0.20953488,-0.09412886,-0.24955043,-0.08296451,0.31699038,0.66366470,-0.32371518,0.15614252,-0.14689456,-0.15818538,-0.14558727,-0.18506725,-0.15039234,-0.08511332,-0.36706567,-0.19806033,0.00000000,-0.32819489,0.00000000,0.82349998,0.00000000,0.42355227,-0.72882187,0.00000000,0.00000000,0,14:39:51.6,0,0
17,-8.89597321,1.11407828,-4.29577589,-0.69372326,0.00000000,-0.43934661,-4.11765051,-0.07755313,-0.24139616,-0.19979022,0.20936392,-0.22842707,-0.11919425,-1.65326476,0.73837852,-0.76183742,-0.89014810,-0.07893800,0.39407828,0.23109153,-0.11282896,-0.09462392,-0.05889648,-0.21604894,-0.11581443,0.00000000,-0.26943102,0.00000000,-0.68740857,0.00000000,0.18830234,-0.77478862,0.00000000,0.00000000,0,14:39:51.7,0,0
18,-1.26521826,-1.11793816,-4.06061172,0.46720776,0.00000000,-0.07133227,1.17587721,-0.68385684,5.60581732,-0.22209153,0.15930848,-0.24590006,0.08906056,-0.71935743,0.45423973,-0.78495824,-0.33315438,-0.33592650,0.21509254,0.54804265,-0.15557277,-0.11595138,-0.06062207,-0.15462306,-0.08854610,0.00000000,-0.24213554,0.00000000,0.66095883,0.00000000,-0.08323210,-0.00009382,0.00000000,0.29438370,0,14:39:51.8,0,0
19,0.00000000,-1.11793816,-1.70860076,0.46720776,0.00000000,-0.01193625,0.92768002,-0.23196675,4.36348724,-0.19174719,0.08118814,-0.20120548,0.02151111,0.04536323,0.74036849,-0.57715786,-0.13772961,-0.19791774,-0.12795103,0.54804265,-0.16827771,-0.08948780,-0.05975639,-0.20671396,-0.15710625,0.00000000,-0.25582850,0.00000000,-0.68740857,0.00000000,1.77191973,0.42457390,0.00000000,0.00000000,0,14:39:51.9,0,0
