Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190405141920
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,573,568,553,0,512,532,625,0,602,585,1383,1046,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,24,24,6,6,15,15,6,6,6,6,31,31,31,31,6,6,44,44,124,124,6,6,6,6,7,7,22,22,31,31,22,22,6,6,15,15,6,6,15,15,6,6,6,6,7,7,7,7,6,6,6,6,62,62,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,60,60,7,7,96,96,7,7,12,12,56,56,6,6,124,124,6,6,6,6,6,6,15,15,7,7,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,82.81,1.00,100.00,1.00,42.50,53.31,100.00,100.00,100.00,100.00,33.06,47.95,27.18,42.75,100.00,100.00,24.07,1.00,100.00,100.00,16.26,100.00,3.64,1.78,1.91,23.33,3.11,39.92,7.21,3.87,11.75,6.90,2.00,63.42,17.73,10.45,2.12,73.08,1.40,96.00,2.95,3.13,2.04,2.40,2.48,5.30,3.08,3.40,1.66,3.31,100.00,100.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,38.32,53.98,100.00,100.00,29.84,38.88,100.00,1.00,99.49,100.00,7.85,12.74,9.99,18.57,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.93,18.74,56.20,43.34,100.00,100.00,1.01,23.13,1.13,25.34,2.33,2.62,2.19,3.05,2.59,6.05,46.65,100.00,1.00,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/05 14:19:24
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,1.35266232,0.00000000,0.53284311,0.14450455,-0.19094773,0.86118370,0.78069037,2.29810286,-0.42554793,-4.59058714,0.02551211,-0.38842568,0.13603982,0.00320453,-0.66626829,-0.26759306,-0.11426909,-0.30545929,-0.27543914,0.30277103,-0.24539395,-0.18034562,-0.20692237,-0.15527196,-0.22965470,-0.07067114,0.00000000,0.00000000,-0.00240258,0.00000000,-3.28808498,0.93373221,-0.57203537,0.63144565,0,14:19:33.1,0,0
2,-0.87920576,-1.42809093,0.12871656,0.01574173,-0.07585153,-0.29415935,-0.09009670,2.20946932,-0.81874919,-4.59058714,0.62042069,-0.42949980,0.16249406,0.84545267,-0.74811423,-0.50716746,1.95738912,-0.48364007,0.33785743,0.75863856,-0.27921733,-0.21502569,-0.22695866,-0.19499147,-0.23343544,1.00616169,0.00000000,0.00000000,1.34596479,0.00000000,2.06363583,0.34664455,1.85306168,-0.03956163,0,14:19:33.2,0,0
3,-0.87920576,0.00000000,-0.27445218,0.14450455,-1.03941298,0.09947920,-0.08486851,2.71656322,-0.42554793,-2.54111004,0.09823716,-0.40639690,0.04254548,0.41383821,-0.76721871,-0.44023579,0.75876123,-0.29585508,0.12344906,0.49919355,-0.28760722,-0.22851051,-0.23229028,-0.22376814,-0.26549420,-2.37539649,0.00000000,0.00000000,0.36424884,0.00000000,1.94862509,0.25057906,0.50479758,0.30093390,0,14:19:33.3,0,0
4,1.35266232,0.00000000,0.53284311,1.99661303,1.76936316,1.45688105,1.01241636,0.71448553,0.13828477,-4.94091702,-0.93115556,-0.38045934,0.03183515,-0.82577223,-0.69928104,0.03554320,-1.39137304,-0.18924560,-0.03832445,0.31154254,-0.21735641,-0.17148156,-0.17094351,-0.10267828,-0.19131076,3.74496245,0.00000000,0.00000000,5.32362700,0.00000000,-1.70446765,1.85439265,-0.57203537,1.63539684,0,14:19:33.4,0,0
5,-0.87920576,-1.42809093,-0.50660765,-1.98089314,-2.42285037,-1.13237000,-0.80157334,0.71448553,-0.94206774,-3.05367017,0.02551211,-0.36784118,0.09678964,-0.16606773,-0.60124320,-0.47924644,-0.41547468,-0.13339201,-0.24813265,0.03539162,-0.20325468,-0.19390686,-0.19934678,-0.14728536,-0.22965470,-0.07067114,0.00000000,0.00000000,-2.30712795,0.00000000,0.60025781,-0.72602856,0.77633202,-0.59815139,0,14:19:33.5,0,0
6,0.70247358,0.00000000,0.24613672,0.14450455,0.76571995,-1.44371200,-0.67370087,-0.09525608,0.13828477,-3.65997386,-0.04632002,-0.36784118,0.09678964,0.54144102,-0.54132730,-0.01380283,1.08026600,-0.24840498,-0.51780641,0.04419827,-0.23992652,-0.16260347,-0.17408617,-0.14200915,-0.22171274,3.74496245,0.00000000,0.00000000,1.50850570,0.00000000,0.60025781,-0.25012341,1.01158190,0.56188875,0,14:19:33.6,0,0
7,1.35266232,-1.42809093,0.19861114,-0.59056199,-0.81781185,-0.50759125,-0.26183230,-1.51735997,-0.15084763,-5.91251707,-1.07820737,-0.38591507,0.03183515,-0.72016650,-0.62307256,-0.17074779,-0.68487895,-0.51844412,0.40531591,0.31154254,-0.22565773,-0.16260347,-0.16584626,-0.16062483,-0.23036014,-0.79177916,0.00000000,0.00000000,1.50850570,0.00000000,0.60025781,0.78103626,-0.57203537,0.79749620,0,14:19:33.7,0,0
8,1.35266232,-1.42809093,-0.16931602,-1.98089314,-1.77447951,0.85764605,0.70158237,1.13294601,0.28871372,-4.29254675,-1.00298774,-0.39390635,-0.05259191,-0.21291402,-0.68821758,-0.10997576,0.42257676,-0.24679667,0.17738323,-0.32974464,-0.22653946,-0.21164663,-0.20760641,-0.19513890,-0.24264787,1.51294613,0.00000000,0.00000000,1.50850570,0.00000000,1.94862509,1.10024214,1.73299968,0.83285493,0,14:19:33.8,0,0
9,1.35266232,0.00000000,0.06781624,0.25100949,-0.19094773,-0.40317610,-0.42957401,4.53011942,0.28871372,1.38386214,-0.85843050,-0.39936209,-0.06163043,0.03083040,-0.65571243,-0.00795670,0.59958959,0.04364399,0.56614780,-0.01282400,-0.20977288,-0.17148156,-0.19179566,-0.16326798,-0.23537804,3.74309516,0.00000000,0.00000000,2.59626532,0.00000000,0.60025781,1.00052369,-0.57203537,0.96873349,0,14:19:33.9,0,0
10,-0.39873365,-1.42809093,0.39590597,-1.33252227,-1.77447951,0.60932392,0.37366965,-1.51735997,-0.55795634,-6.17414713,-1.14810395,-0.43493325,-0.08865760,0.06629483,-0.77817512,-0.28992891,0.75876123,-0.29585508,0.29776490,0.21575816,-0.28760722,-0.21905725,-0.26804209,-0.21587071,-0.25919673,-0.07067114,0.00000000,0.00000000,-0.72351068,0.00000000,-1.70446765,0.04056921,-0.57203537,0.04968157,0,14:19:34.0,0,0
11,0.70247358,0.00000000,0.01973346,-0.59745574,-2.38778019,1.18103480,0.72129464,0.71448553,-0.00821679,-5.83953333,-1.00298774,-0.36941507,0.12701611,-0.94194621,-0.75629807,-0.36861488,-1.12968433,-0.18915083,0.31995946,-0.04329819,-0.22653946,-0.20829174,-0.26881126,-0.16853663,-0.27281177,3.74309516,0.00000000,0.00000000,6.41138649,0.00000000,0.52754873,2.82972407,1.01158190,1.20019591,0,14:19:34.1,0,0
12,2.09006691,0.00000000,0.60862529,-1.33252227,-1.03941298,1.60531330,1.65815461,-0.51371658,0.76653171,-5.12828493,-1.00298774,-0.30517924,-0.06393601,-0.12854068,-0.49612203,0.24820474,-0.05009788,-0.04532885,-0.55416662,0.31154254,-0.20325468,-0.15836516,-0.15343815,-0.14195548,-0.22730385,7.56008387,0.00000000,0.00000000,1.21696579,0.00000000,0.52754873,1.62894785,1.01158190,1.63539684,0,14:19:34.2,0,0
13,-0.87920576,-1.42809093,0.19054921,0.01574173,0.65921503,0.94144487,0.72466147,0.71448553,-0.55795634,-4.85355377,0.02551211,-0.37497869,0.23932029,0.54144102,-0.67722470,-0.32912827,1.37493265,-0.32161987,0.95372546,0.56892455,-0.20884867,-0.18092303,-0.18703555,-0.13661164,-0.21375722,-0.07067114,0.00000000,0.00000000,-0.72351068,0.00000000,2.06363583,0.70868367,1.85306168,0.32494769,0,14:19:34.3,0,0
14,1.35266232,0.00000000,0.19861114,0.99296981,0.76571995,0.99074852,0.40827671,0.71448553,0.44345021,-5.56784391,0.02551211,-0.35522863,-0.05478431,0.28329524,-0.56337303,0.24243891,0.67261553,0.01333378,0.21816936,1.05355763,-0.16371886,-0.17275296,-0.18703555,-0.10522313,-0.19925272,1.44023716,0.00000000,0.00000000,6.41138649,0.00000000,1.94862509,1.44955921,1.73299968,1.21487868,0,14:19:34.4,0,0
15,-1.32108569,0.00000000,0.39590597,1.26336849,2.11398387,-0.30760083,-0.10323887,2.71656322,-0.55795634,-2.09705424,0.09823716,-0.41976747,0.04543768,0.51381516,-0.66677594,-0.25067282,1.19620466,-0.16146487,0.17738323,0.00024902,-0.22013989,-0.19528481,-0.20484707,-0.16331069,-0.22965470,-0.79177916,0.00000000,0.00000000,2.59626532,0.00000000,0.36500785,-0.22601965,0.50479758,0.01062826,0,14:19:34.5,0,0
16,0.70247358,0.00000000,0.61436582,3.11547685,2.51132345,0.86118370,0.57868254,4.94857979,-0.55795634,-2.70901489,0.17654306,-0.44311711,-0.12313674,-0.56304294,-0.74626249,-0.21181476,-0.73052263,-0.41310540,-0.59475195,0.78911275,-0.27718320,-0.19869353,-0.19934678,-0.17665015,-0.24897580,1.51107872,0.00000000,0.00000000,2.59626532,0.00000000,0.52754873,1.18586969,1.01158190,1.04364145,0,14:19:34.6,0,0
17,0.70247358,0.00000000,0.31071454,2.60291672,1.50768030,-0.10014917,-0.28414786,4.94857979,0.44345021,1.99016571,0.09823716,-0.38028902,0.14507835,-0.28679773,-0.69858217,-0.20718923,-0.15062925,-0.51844412,-0.13699740,0.51653045,-0.28523207,-0.20350999,-0.20760641,-0.22920743,-0.28139168,-1.29887319,0.00000000,0.00000000,-2.30712795,0.00000000,0.60025781,0.35408285,-0.45187005,0.10252787,0,14:19:34.7,0,0
18,-0.87920576,-1.42809093,0.32974336,-0.12006893,0.53045219,-0.01844434,0.15784264,3.55783653,-0.94206774,-3.98428392,1.30194402,-0.46734607,0.14008081,0.73964763,-0.84275615,-0.34351692,1.61862040,-0.21648644,0.27999663,0.72399318,-0.27377680,-0.24540670,-0.23229028,-0.20267938,-0.23291899,2.97632408,0.00000000,0.00000000,2.30263257,0.00000000,2.06363583,0.23144378,1.85306168,-0.08529738,0,14:19:34.8,0,0
19,2.94176388,0.00000000,0.06781624,1.59927356,2.51132345,0.94703627,0.73932278,4.53011942,0.60266250,-0.84815443,-0.85843050,-0.38591507,-0.03441344,-0.23146389,-0.67784208,-0.19154617,-0.12336745,-0.10251012,0.16831085,0.26344201,-0.19197246,-0.21233135,-0.21987176,-0.17647859,-0.22965470,3.74309516,0.00000000,0.00000000,6.41138649,0.00000000,-1.70446765,-0.94768018,-0.57203537,0.01351683,0,14:19:34.9,0,0
20,-0.39873365,0.00000000,-0.47701764,1.26336849,1.26551878,-0.46020734,-0.52803528,-2.36582494,-0.55795634,-5.91251707,-1.14810395,-0.37877980,-0.09587492,0.50011039,-0.73259038,-0.42066556,1.01641417,-0.35141152,0.56614780,0.54702801,-0.21168590,-0.20690678,-0.22006500,-0.18177964,-0.22675039,-1.29887319,0.00000000,0.00000000,-0.00240258,0.00000000,0.36500785,-0.92823231,-0.49884573,-1.03229773,0,14:19:35.0,0,0
21,0.70247358,-5.24321175,0.46459657,-0.63262916,-0.81781185,-0.50759125,-0.28414786,-1.09889948,-0.28994656,-5.52083445,-0.12153966,-0.39936209,0.02271040,-0.12484077,-0.71034718,-0.22721414,0.14113443,-0.18924560,0.15930931,0.78472561,-0.21175908,-0.20690678,-0.21510047,-0.18715231,-0.23036014,-0.07067114,0.00000000,0.00000000,-2.30712795,0.00000000,-0.98335952,-1.09978652,-0.45187005,-0.30746669,0,14:19:35.1,0,0
22,0.70247358,0.00000000,0.14936446,0.14450455,-1.03941298,0.78885508,0.89501190,2.29810286,0.44345021,-1.59011495,-2.27952290,-0.34707701,-0.09587492,-1.27472353,-0.73259038,-0.38887799,-1.88607967,-0.10251012,0.40531591,-0.31667161,-0.18350549,-0.19467442,-0.21510047,-0.13396887,-0.22171274,3.74496245,0.00000000,0.00000000,2.59626532,0.00000000,0.52754873,-0.43356621,-0.57203537,0.22883520,0,14:19:35.2,0,0
23,-0.39873365,0.00000000,-0.44733405,3.83111882,3.73952556,0.55485648,0.40613177,-0.09525608,0.44345021,-5.37821865,-0.04632002,-0.39137998,-0.12313674,-0.73406667,-0.81129760,-0.26759306,-0.38813397,-0.24679667,-0.07890983,0.77601600,-0.23142211,-0.21571343,-0.22737111,-0.13661164,-0.21375722,-1.29887319,0.00000000,0.00000000,-2.30712795,0.00000000,-0.98335952,0.66726273,0.50479758,0.02559640,0,14:19:35.3,0,0
24,2.94176388,-1.42809093,0.49867979,0.01574173,-0.07585153,0.94703627,0.91870141,4.53011942,0.60266250,1.38386214,0.09823716,-0.37497869,-0.05259191,-0.57685077,-0.64520222,-0.10865846,-0.42455804,-0.07472938,0.13239242,0.51653045,-0.22565773,-0.19336689,-0.19964658,-0.14211319,-0.20393668,7.56008387,0.00000000,0.00000000,5.32362700,0.00000000,7.06878281,-0.05659657,0.93887305,0.25966203,0,14:19:35.4,0,0
25,0.70247358,-5.24321175,-0.02351743,-1.98089314,-2.42285037,0.29946965,0.22490288,2.71656322,0.13828477,-3.55748010,0.02551211,-0.38028902,-0.01341480,-1.16008091,-0.73159498,-0.38926122,-1.13869369,-0.30545929,-0.12368090,0.49489537,-0.26287791,-0.21974595,-0.22737111,-0.18434426,-0.23771074,1.27769625,0.00000000,0.00000000,1.58121467,0.00000000,1.94862509,0.62376279,0.50479758,0.40633619,0,14:19:35.5,0,0
26,2.94176388,0.00000000,0.53284311,1.26336849,2.11398387,0.72258133,0.72129464,4.94857979,0.93551767,-2.09705424,0.17654306,-0.38572246,-0.07966340,-1.42151272,-0.72053146,-0.66045666,-3.10769629,-0.37874717,0.09223460,0.23304003,-0.24051024,-0.21974595,-0.19964658,-0.22126547,-0.26993585,1.51294613,0.00000000,0.00000000,1.50850570,0.00000000,0.52754873,1.41247094,1.01158190,0.69664186,0,14:19:35.6,0,0
27,0.12103536,0.00000000,0.39590597,1.59927356,2.51132345,1.01676607,1.14583635,-1.09889948,-0.00821679,-5.69516945,-0.19143628,-0.41187754,0.01365668,0.01699995,-0.67784208,-0.32682082,0.37700897,-0.24840498,-0.06992269,0.52521878,-0.22024995,-0.22993121,-0.22804984,-0.12866968,-0.21663013,-2.37539649,0.00000000,0.00000000,-0.72351068,0.00000000,-0.98335952,0.32069069,-1.80023742,0.61539519,0,14:19:35.7,0,0
28,2.94176388,0.00000000,0.25686571,1.99661303,2.04089761,0.11474151,-0.10323887,0.71448553,0.28871372,-4.39321852,-1.00298774,-0.36070234,-0.02533009,-1.03049636,-0.68894511,-0.07040747,-2.36863089,0.01333378,0.19996127,0.30277103,-0.16371886,-0.18577020,-0.18703555,-0.17393173,-0.22730385,1.44023716,0.00000000,0.00000000,2.59626532,0.00000000,2.83227420,-0.16587712,2.35994935,0.55742365,0,14:19:35.8,0,0
29,-1.32108569,-5.24321175,-0.20295633,-0.63262916,-0.72422236,0.31986186,0.72466147,3.43767118,-0.69253814,-4.59058714,0.69564033,-0.34876812,0.23480111,0.23923798,-0.60112327,-0.36580124,0.81286019,-0.26851946,0.55717564,1.01416671,-0.22565773,-0.21026406,-0.19465703,-0.18972160,-0.23470591,-1.29887319,0.00000000,0.00000000,-1.23060465,0.00000000,-0.91017002,-0.15040845,-1.34731090,-0.02837110,0,14:19:35.9,0,0
30,-0.39873365,-1.42809093,-0.31566754,-0.12006893,-0.07585153,1.64647639,1.58466411,4.94857979,-0.00821679,-2.70901489,0.09823716,-0.34976372,0.03183515,0.18063404,-0.60112327,-0.08995085,0.64513844,0.12816271,0.60673314,-0.01282400,-0.16943909,-0.21233135,-0.22060642,-0.17393173,-0.21305111,3.74309516,0.00000000,0.00000000,2.59626532,0.00000000,0.36500785,0.37963325,1.73299968,0.86310518,0,14:19:36.0,0,0
31,1.35266232,0.00000000,0.76997536,0.75080830,0.76571995,1.07330608,0.37366965,4.53011942,-0.15084763,-4.27363634,-0.85843050,-0.35522863,-0.04353819,-0.18491356,-0.73159498,0.03500122,0.18677808,-0.32616529,-0.10578293,-0.03029748,-0.24539395,-0.22993121,-0.24592318,-0.17647859,-0.23830210,-0.79177916,0.00000000,0.00000000,2.59626532,0.00000000,4.34266996,2.85963345,1.01158190,1.19954097,0,14:19:36.1,0,0
