Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190411140609
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,618,595,578,0,512,532,635,0,572,568,698,642,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,98,98,6,6,44,44,6,6,6,6,48,48,44,44,6,6,49,49,14,14,6,6,6,6,6,6,7,7,60,60,22,22,6,6,24,24,6,6,6,6,7,7,6,6,6,6,15,15,6,6,6,6,88,88,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,72,72,31,31,98,98,7,7,7,7,12,12,6,6,24,24,6,6,6,6,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,100.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,17.89,29.99,11.05,41.25,100.00,100.00,1.00,1.00,1.92,3.51,6.55,100.00,2.44,2.29,1.31,17.62,1.99,28.23,14.26,14.29,11.93,7.40,1.61,44.08,14.20,7.85,1.25,27.06,1.58,47.12,5.14,4.53,2.15,2.44,1.47,3.18,4.70,5.49,2.02,4.66,1.00,1.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,47.88,69.22,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00,8.99,14.11,16.88,34.85,24.18,100.00,1.00,1.00,3.13,3.29,2.18,49.87,1.32,27.92,100.00,100.00,44.48,46.00,1.00,13.83,1.00,8.78,3.01,3.01,2.36,2.44,1.09,2.55,40.53,100.00,1.00,1.00,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/11 14:06:13
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-1.47340953,-1.56198299,-2.34849858,-3.85641217,-0.47047937,-1.69136500,-1.18546951,0.00000000,-0.34434614,-0.95521545,-0.21282399,-0.28402954,0.01877444,0.01852070,-0.36833844,-0.19545658,0.00849018,-0.24443176,-0.01181361,0.04552201,-0.27170172,-0.27224803,-0.17644379,-0.31311998,0.00000000,0.00000000,0.00000000,2.26158285,0.00000000,0.72090650,-1.12586224,0.00000000,0.00000000,0,14:06:22.1,0,0
2,-7.54136896,-0.24520743,-1.21165359,-1.50003338,-3.85641217,-0.28562102,-1.98181844,-1.18546951,0.00000000,-0.34605294,-0.95521545,-0.19370472,-0.28402954,-0.05352847,0.10425641,-0.13162592,-0.18221357,0.04978208,-0.09684508,-0.15921405,0.08325116,-0.28423914,-0.28729182,-0.19277099,-0.32242644,0.00000000,0.00000000,0.00000000,0.02956657,0.00000000,0.72090650,0.19138889,0.00000000,3.92532730,0,14:06:22.2,0,0
3,-5.29808140,-1.47340953,-1.21165359,-0.64987063,-2.77988911,0.89149332,0.91875637,-3.03757834,0.00000000,-0.34366858,-0.05646032,-0.22448832,-0.07058176,0.32864958,-0.13815333,-0.21878445,0.15434846,-0.03566677,-0.10989736,0.10474791,0.05859529,-0.25728020,-0.26426071,-0.21301627,-0.31086388,0.00000000,0.00000000,0.00000000,3.68729734,0.00000000,-0.86271077,0.66947448,0.00000000,6.78378105,0,14:06:22.3,0,0
4,-7.54136896,-0.24520743,-1.12141907,-2.34849858,-2.77988911,-0.16683237,-1.41011381,-1.18546951,0.00000000,-0.34605294,-0.95521545,-0.20713678,-0.10830989,0.02794103,-0.03037796,-0.18728647,-0.06147679,-0.01370148,-0.26624092,-0.17268303,0.07174677,-0.28522602,-0.28123525,-0.14666709,-0.32278037,0.00000000,0.00000000,0.00000000,6.07670450,0.00000000,2.95292306,1.28391063,0.00000000,9.08871269,0,14:06:22.4,0,0
5,-1.07168126,-2.47705269,-0.29211074,-2.77526832,-5.08461428,0.49877554,0.30542028,-2.18911290,0.00000000,-0.33435160,-0.50051606,-0.26574162,-0.23706198,-0.00869115,-0.12364967,-0.29239756,-0.09229219,-0.03566677,-0.21331488,-0.05680443,-0.02277497,-0.29429844,-0.29020739,-0.21983215,-0.33520201,0.00000000,0.00000000,0.00000000,2.80364823,0.00000000,4.30129051,-0.92546886,0.00000000,0.00000000,0,14:06:22.5,0,0
6,0.00000000,-1.47340953,0.02484045,-0.54336578,-1.43152177,-1.12155807,-2.42474532,-2.18911290,0.00000000,-0.32689977,-0.46945280,-0.21119218,-0.14955890,0.03712292,-0.08947442,-0.16827586,-0.19102795,0.18361919,0.03138498,-0.02536077,0.13855024,-0.26160771,-0.28468937,-0.18785991,-0.29495549,0.00000000,0.00000000,0.00000000,2.26158285,0.00000000,0.72090650,2.76386333,0.00000000,0.82389683,0,14:06:22.6,0,0
7,-9.11354351,-1.47340953,0.02484045,-1.38493729,-0.20331970,-0.37497172,-0.40465027,2.84454584,0.00000000,-0.30928364,-0.02539705,-0.21119218,-0.07167771,0.20350549,-0.05402394,-0.28709665,0.15877709,-0.15635337,0.02262810,0.09575369,0.06982082,-0.27073243,-0.26872823,-0.20407483,-0.29333451,0.00000000,0.00000000,0.00000000,-0.12833634,0.00000000,-1.58381891,0.07405653,0.00000000,0.22975542,0,14:06:22.7,0,0
8,2.70969772,-0.24520743,-0.88050103,-0.54336578,-0.20331970,0.16243336,0.31877816,-3.03757834,0.00000000,-0.32761937,-0.02539705,-0.18992628,-0.21758229,0.13969526,0.06760950,-0.13162592,-0.30311480,0.14043471,-0.08810779,-0.27789998,0.11442790,-0.24781892,-0.28176516,-0.20645545,-0.32870334,0.00000000,0.00000000,0.00000000,3.68729734,0.00000000,0.72090650,1.28391063,0.00000000,-1.99359500,0,14:06:22.8,0,0
9,-7.54136896,1.33840978,-1.48217201,0.46027753,-2.27279496,0.33103260,-1.01667368,-1.18546951,0.00000000,-0.29231903,0.05982046,-0.18833280,-0.16859634,0.30514589,0.26570150,-0.12791969,0.18081206,-0.13845904,-0.16109918,0.00626386,0.02104434,-0.22494045,-0.24968834,-0.15121037,-0.29003406,0.00000000,0.00000000,0.00000000,1.38257205,0.00000000,4.30129051,1.87070787,5.14779329,-0.29496714,0,14:06:22.9,0,0
10,-7.11904716,-0.24520743,-2.13054299,-1.50003338,-1.55168712,0.88097185,0.15991729,1.62634993,0.00000000,-0.29286999,-0.35250691,-0.20606679,0.02405247,-0.00280819,0.04158544,-0.09727217,-0.16008879,0.14043471,0.12602758,-0.01181361,0.13855024,-0.25252435,-0.27122033,-0.18576096,-0.32722783,0.00000000,0.00000000,0.00000000,0.02956657,0.00000000,0.72090650,-1.43691719,0.00000000,0.00000000,0,14:06:23.0,0,0
11,-10.34868240,-1.47340953,-2.08204389,-0.64987063,-1.43152177,0.32470176,0.86829197,-2.18911290,0.00000000,-0.32567632,0.00140048,-0.20713678,-0.05688879,0.33781618,0.12587419,-0.34058180,0.37307787,-0.13484800,0.08676086,0.22992408,0.01468082,-0.28357175,-0.26264969,-0.19716051,-0.30756372,0.00000000,0.00000000,0.00000000,1.22003102,0.00000000,-2.09091282,-0.72915673,-7.74273729,-3.13293266,0,14:06:23.1,0,0
12,-6.12228203,-0.24520743,-2.13054299,-0.54336578,-0.20331970,-0.16389197,-0.66888195,0.04273254,0.00000000,-0.30979311,0.71661490,-0.22049165,-0.15409273,0.09829561,0.25478783,-0.29239756,-0.19545658,0.09324858,-0.05158179,-0.18166257,0.03659426,-0.26097503,-0.28468937,-0.12132140,-0.30866247,0.00000000,0.00000000,0.00000000,-0.84944439,0.00000000,0.72090650,1.05517793,0.00000000,-1.99359500,0,14:06:23.2,0,0
13,-4.88714361,-0.24520743,-1.56945419,-0.64987063,1.38029754,-1.01504898,-1.00277102,-2.18911290,0.00000000,-0.34301329,-0.02539705,-0.22980843,-0.07967291,0.07995097,0.05451734,-0.25967008,-0.09229219,-0.03566677,-0.21331488,-0.07024145,0.04526183,-0.30156043,-0.29567900,-0.21301627,-0.30166635,0.00000000,0.00000000,0.00000000,-0.84944439,0.00000000,-2.09091282,0.36467960,0.00000000,1.19516826,0,14:06:23.3,0,0
14,-1.07168126,-1.47340953,-0.89470237,-1.38493729,-1.47849751,-0.04284385,0.75642949,2.84454584,-16.72440529,-0.33659035,-0.05646032,-0.21821332,-0.13121426,0.19430791,0.14377528,-0.25448424,-0.07471979,-0.01148937,0.09108005,0.10474791,0.05859529,-0.24279654,-0.24571919,-0.24431276,-0.28900313,-20.53311920,0.00000000,0.00000000,-1.01181459,0.00000000,-1.63798654,-1.25521088,-6.41006470,-3.42228532,0,14:06:23.4,0,0
15,-1.51670253,-0.24520743,-2.03767037,-0.54336578,-3.85641217,-0.95797259,-3.00453472,-1.18546951,0.00000000,-0.34512186,-0.92382270,-0.17537127,-0.16859634,0.36082852,0.21806622,-0.12791969,0.16759147,-0.07646123,-0.02978911,-0.01181361,0.11442790,-0.22997373,-0.26426071,-0.21564992,-0.32415831,0.00000000,0.00000000,0.00000000,1.45528090,0.00000000,-0.86271077,-0.13995044,0.00000000,-2.07517624,0,14:06:23.5,0,0
16,-5.29808140,-0.24520743,-1.56198299,-0.64987063,0.26710626,-0.14728886,-0.02829192,-1.18546951,0.00000000,-0.34594190,-0.92382270,-0.16155246,-0.04408563,0.20813836,0.23134294,-0.19988173,0.05502941,-0.05208668,0.11288922,0.10474791,0.10727662,-0.25252435,-0.26872823,-0.22678322,-0.32278037,0.00000000,0.00000000,0.00000000,-2.43306160,0.00000000,-0.74254543,-1.32361114,-7.74273729,-3.70568371,0,14:06:23.6,0,0
17,-3.31496859,-2.47705269,-1.01330018,-1.39183104,-2.77988911,-0.30844477,-0.36118963,-2.18911290,0.00000000,-0.29951456,-0.41126248,-0.18075210,-0.14556490,0.07866132,0.15333372,-0.13162592,-0.29427925,-0.07646123,-0.16109918,0.10922268,0.03685427,-0.26160771,-0.27324793,-0.19932273,-0.31352082,0.00000000,0.00000000,0.00000000,1.22003102,0.00000000,2.06927395,-0.85086459,5.14779329,-2.23740864,0,14:06:23.7,0,0
18,-5.29808140,1.33840978,-0.89470237,-0.54336578,-0.20331970,0.03894529,-0.08289015,-1.18546951,0.00000000,-0.31884786,-0.44265527,-0.16576461,-0.01566184,0.27285889,0.18998063,-0.25448424,0.04621503,-0.09499254,-0.10556788,0.00171071,0.01256881,-0.23534150,-0.25525919,-0.19932273,-0.32722783,0.00000000,0.00000000,0.00000000,1.38257205,0.00000000,0.48565662,-0.36868316,5.14779329,-0.37654832,0,14:06:23.8,0,0
19,-1.51670253,-1.47340953,-1.61960387,-0.64987063,-1.55168712,0.37715203,0.06837677,1.62634993,0.00000000,-0.32787380,0.05982046,-0.21259223,-0.27486297,-0.03514901,0.10474120,-0.20916148,-0.18221357,-0.13484800,-0.12297343,-0.03435498,0.04720981,-0.26264796,-0.26264969,-0.21056829,-0.31679186,0.00000000,0.00000000,0.00000000,-0.84944439,0.00000000,-1.58381891,-0.13995044,0.00000000,0.85165375,0,14:06:23.9,0,0
