Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190414121421
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,778,689,1008,0,687,635,790,0,727,659,693,639,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,150,150,6,6,62,62,6,6,6,6,30,30,31,31,6,6,15,15,22,22,24,24,6,6,6,6,6,6,7,7,12,12,7,7,6,6,7,7,6,6,6,6,6,6,7,7,7,7,6,6,98,98,6,6,15,15,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,31,31,62,62,31,31,24,24,6,6,6,6,6,6,24,24,7,7,6,6,6,6,7,7,7,7,6,6,7,7,12,12,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,3.35,7.59,99.90,100.00,100.00,100.00,4.97,8.43,31.22,83.52,100.00,100.00,4.64,7.86,2.01,4.32,1.44,25.19,2.58,2.74,1.56,26.77,1.42,23.35,4.38,5.24,5.16,6.06,2.95,100.00,2.47,3.57,2.41,90.93,1.46,35.46,2.56,2.90,3.27,3.49,3.87,4.34,2.86,3.66,2.01,3.03,1.00,1.00,1.41,36.18,1.94,100.00,100.00,100.00,59.94,1.00,100.00,100.00,41.44,54.61,100.00,100.00,22.54,54.13,100.00,1.00,68.36,100.00,3.35,6.69,6.70,17.93,24.59,100.00,2.42,4.43,2.62,2.88,1.38,3.11,1.39,3.09,1.00,33.51,3.22,4.65,1.01,22.71,1.00,5.08,5.94,7.14,2.93,3.44,1.52,1.89,2.12,4.75,1.47,90.51,100.00,1.00,1.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/14 12:14:25
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-1.76034653,0.23379877,0.20565467,-0.52325433,0.17648366,0.12369385,-0.48328763,0.48208597,0.26504618,-1.09988093,-0.21738876,0.10228956,0.03738575,0.09026280,0.03464397,0.04857446,1.28726661,0.02664736,1.24515152,-0.10742823,0.05817589,-0.27577475,-0.21458459,-0.04407850,0.05092521,0.00000000,0.20787416,0.32258391,-1.08430135,0.04187861,-1.09025240,-0.07948265,0.58043098,-0.09340813,0,12:14:35.1,0,0
2,-1.76034653,0.23379877,0.12270384,0.08304937,0.17648366,0.33116874,2.61501098,1.83045328,0.40464202,-1.12618017,-0.39468077,0.08190340,-0.21881682,-0.10743889,0.00419102,-0.03187701,1.23581314,-0.00435662,0.08818219,-0.26791161,0.04418038,-0.30889523,-0.24157427,-0.07335187,0.02022643,0.00000000,0.34955052,-0.70484775,-0.93541771,0.04187861,1.48631704,-0.77136743,0.58043098,-1.09300411,0,12:14:35.2,0,0
3,4.28679085,4.04943228,0.11679640,1.69633389,3.10846829,0.19625995,0.22882909,1.33055115,0.26329055,-1.20088112,-0.23855311,0.03353135,-0.21267803,-0.14516887,-0.07538427,-0.08604211,-0.14035682,-0.00831359,0.57867247,0.04026391,0.03761558,-0.31679371,-0.22431886,-0.13618837,-0.03295647,0.00000000,-0.12872481,-0.22972906,1.87640166,0.04187861,-2.16677570,0.79946345,0.27154702,0.36590508,0,12:14:35.3,0,0
4,-1.76034653,-0.99440330,0.03647889,0.11858119,0.24967326,0.12833881,1.40188456,0.48208597,0.21065040,-1.21796513,-0.28258973,0.08819522,-0.02667882,-0.15925853,0.03106353,-0.14215176,-0.19569066,-0.06483071,0.49386883,0.32343838,-0.02535694,-0.31974095,-0.25849718,-0.16726452,-0.04242313,0.00000000,-0.08173766,-0.16408224,-3.31614661,-0.76642543,0.21113917,-0.79506731,-0.52415007,-0.14372015,0,12:14:35.4,0,0
5,0.47166997,-1.99804664,0.29834077,-0.83803475,-2.05536175,0.09800048,-0.30302888,1.33055115,0.22140071,-1.06350541,-0.11791936,0.10359763,0.01743915,-0.15424986,0.00186102,0.01525891,-0.04691802,0.02754617,0.38626748,-0.31726962,0.09621602,-0.23914279,-0.21311586,-0.06265921,0.03588005,0.00000000,0.08588834,0.01816944,0.49931601,0.65526277,1.72156692,0.01280477,-1.07592356,-0.59328657,0,12:14:35.5,0,0
6,0.78462982,-0.99440330,0.33100802,0.55985147,1.25331652,0.07472480,-1.11380196,1.33055115,0.13489226,-0.97905511,-0.09558454,0.14261015,-0.23870160,-0.12496851,0.05286478,0.06208602,-0.01853300,0.02570134,-0.15614824,0.17581420,0.11150115,-0.14360583,-0.10700551,-0.00778133,0.06378347,0.00000000,-0.00687072,0.02792116,-1.08430135,0.04187861,-1.09025240,0.79946345,-2.30421114,0.59357512,0,12:14:35.6,0,0
7,-1.76034653,1.81741595,0.22811724,0.59560955,1.52485108,-0.14611349,-0.05672964,0.48208597,0.00554583,-1.07709479,-0.22533426,0.11247382,-0.04749415,-0.17368476,0.03247529,-0.00090934,-0.04691802,0.06573376,0.87367827,0.18057495,0.12748200,-0.13241865,-0.11828425,-0.04948960,0.03382788,0.00000000,0.17014574,-0.50901645,-2.31250334,0.04187861,-0.74552840,-0.28149527,0.58043098,0.36229038,0,12:14:35.7,0,0
8,-3.67911816,-0.99440330,0.27645025,0.55985147,0.24967326,-0.03377571,-0.84238148,1.33055115,0.03362400,-1.06340230,-0.31242189,0.08190340,0.07429868,0.01686575,-0.00111341,0.01689780,1.28726661,0.02570134,-0.47339413,0.13338673,0.07914796,-0.22838341,-0.22235370,-0.02966956,0.05196828,0.00000000,0.15562291,1.12194717,1.34058928,0.04187861,-1.09025240,-0.27436358,0.00051419,0.26456249,0,12:14:35.8,0,0
9,4.65258837,0.23379877,0.10981503,0.11579576,0.29664898,-0.04945297,0.88778120,-1.82263935,0.11325089,-1.07688379,-0.42223328,0.10359763,-0.10310817,-0.01205631,0.03999335,0.05595769,1.82808042,0.00162242,-0.47339413,0.11929707,0.04031929,-0.27042004,-0.22741009,-0.04097071,0.05196828,0.00000000,0.10758777,0.37034512,1.22042406,0.04187861,-2.09389567,-0.12426990,-0.30836979,-0.44070211,0,12:14:35.9,0,0
10,-1.76034653,1.81741595,0.22350046,0.60317332,1.76010096,0.10248277,0.15149504,0.48208597,0.17944178,-1.19232249,-0.39468077,0.10434707,-0.12612048,0.01100478,0.06418841,0.06428370,0.68096292,-0.01087463,-0.19242243,0.11464721,0.03380003,-0.24793622,-0.20509492,-0.09832208,-0.01391572,0.00000000,-0.06755123,0.66223800,1.34058928,0.34003109,1.72156692,0.09223883,-1.07592356,-0.19458471,0,12:14:36.0,0,0
11,-0.44357225,-0.99440330,0.12858045,0.11579576,1.25331652,-0.20432724,-0.19872944,-2.55770588,-0.05923030,-1.23525035,-0.52453667,0.03934449,0.13737264,-0.13577530,-0.04349545,-0.10412136,0.58770335,0.00592166,0.57867247,0.14452107,0.04420402,-0.32503134,-0.26949918,-0.12488722,-0.03567651,0.00000000,-0.02483913,0.20502019,-0.00777807,-0.50995648,0.21113917,0.46763602,1.34888160,0.76046592,0,12:14:36.1,0,0
12,-1.76034653,4.04943228,0.07717679,1.69633389,5.34048462,0.10424694,0.64148194,-1.82263935,0.22056171,-1.28193164,-0.36727247,0.03129998,-0.01180148,-0.24377298,-0.00440788,-0.09283619,-0.15425697,-0.02070335,0.52495766,-0.09352435,0.02276273,-0.33602419,-0.29440454,-0.14191176,-0.02532580,0.00000000,-0.16598149,0.15866616,0.49931601,0.34003109,1.64885795,-1.41242564,-0.34085709,-3.02074599,0,12:14:36.2,0,0
13,4.60026360,7.86455393,0.10981503,0.57747000,1.68739223,0.03036580,2.24993491,-1.82263935,0.13089454,-1.19232249,-0.31509262,0.09420450,0.15571336,0.05685604,0.08176817,0.00649950,2.19242907,-0.01182359,-0.22399494,-0.02407994,0.04792550,-0.24208364,-0.20330584,-0.08667541,-0.00254075,0.00000000,-0.22927570,-0.55744976,1.87640166,0.34003109,-0.58315843,0.90581131,-1.07592356,-0.26106799,0,12:14:36.3,0,0
14,3.06897116,0.23379877,0.31586978,0.11579576,1.25331652,0.00527008,-2.28975892,1.33055115,0.09106582,-1.07338810,-0.08161008,0.13575430,-0.11246948,-0.06428657,0.10066663,0.01525891,-0.04691802,0.04577790,0.37714273,0.02264964,0.13437749,-0.20025936,-0.17629035,-0.04407850,0.01367405,0.00000000,0.15562291,0.43789086,1.34058928,-0.24095125,0.21113917,0.02327466,0.82421726,0.59951478,0,12:14:36.4,0,0
15,-3.34396386,-0.99440330,0.26308924,-0.32547456,-0.70699430,-0.04444149,-2.60796046,1.33055115,0.06985466,-1.13041818,-0.17343254,0.15635116,-0.03354594,-0.00014080,0.11968858,0.07817603,1.34397852,0.06573376,1.07500458,0.01798784,0.14546300,-0.23375298,-0.22586678,-0.03988234,0.02522833,0.00000000,0.26071972,-0.51872510,-2.31250334,0.04187861,0.25811493,0.24192494,0.58043098,0.44594380,0,12:14:36.5,0,0
16,4.60026360,0.23379877,0.32118553,0.08304937,-1.05171835,0.18815114,-2.26805425,-2.55770588,0.28769022,-1.16985095,-0.51496023,0.09811489,-0.28084090,-0.22937821,0.01738823,0.03862268,0.72342736,0.04577790,0.39987004,-0.19308589,0.12000653,-0.21999556,-0.20174682,-0.10964593,-0.01114920,0.00000000,-0.19566531,-0.03524898,-1.08430135,0.34003109,0.13794968,-0.19939943,-1.72429442,-0.59328657,0,12:14:36.6,0,0
17,-3.34396386,-0.99440330,0.32118553,-0.39676443,-2.05536175,0.10007747,0.38689649,-0.25298056,0.22140071,-1.16613173,-0.48406312,0.11180173,0.27430856,-0.12265103,0.12740135,0.02412958,0.70921654,0.03717835,0.13348752,0.00855998,0.11046597,-0.24800296,-0.23363245,-0.10104638,-0.01299977,0.00000000,-0.11797825,0.36077163,1.22042406,-0.24095125,-2.09389567,-0.82917601,-2.82887554,-0.74186218,0,12:14:36.7,0,0
18,0.47166997,1.81741595,0.33810556,0.60317332,1.52485108,0.16813712,-0.56682438,0.48208597,0.24496980,-1.20497835,-0.15304820,0.08605403,-0.12155983,-0.17077051,0.03898540,-0.01508353,-1.01766503,0.01309943,-0.16975078,-0.12147007,0.10473492,-0.25384274,-0.22235370,-0.09254450,-0.00440022,0.00000000,-0.27695465,-0.13096306,2.73133254,0.34003109,-0.58315843,0.29233316,-0.34085709,0.03943394,0,12:14:36.8,0,0
19,-1.76034653,1.81741595,0.27140683,1.11573350,4.06513596,-0.09102346,0.24374139,0.48208597,-0.05768114,-1.29470742,-0.28258973,0.04924526,0.03341080,-0.16849956,-0.01061402,-0.08604211,1.20790720,-0.04514360,-0.26431626,0.24846739,0.00268610,-0.26508468,-0.23818585,-0.12488722,-0.02716491,0.00000000,0.09425327,0.59670275,-1.08430135,-0.24095125,1.48631704,1.08874655,0.00051419,0.02336593,0,12:14:36.9,0,0
