Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190406095820
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,693,639,683,0,637,606,655,0,687,635,703,645,1784,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,6,6,6,6,6,6,24,24,30,30,6,6,24,24,6,6,15,15,6,6,7,7,7,7,14,14,7,7,7,7,6,6,12,12,15,15,6,6,7,7,6,6,7,7,6,6,6,6,7,7,60,60,6,6,88,88,6,6,31,31,6,6,31,31,49,49,120,120,62,62,62,62,62,62,44,44,6,6,6,6,15,15,6,6,12,12,12,12,7,7,15,15,7,7,6,6,7,7,12,12,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,76.98,95.44,33.01,91.10,100.00,100.00,5.84,10.93,5.24,13.99,22.54,53.60,7.70,16.86,1.92,2.70,1.58,34.00,2.52,2.59,2.49,37.34,5.87,100.00,2.97,3.81,11.44,18.90,3.65,100.00,2.76,4.48,4.06,100.00,1.79,1.00,3.77,4.61,2.91,3.70,1.99,2.75,3.07,4.00,2.10,3.27,100.00,100.00,1.80,52.28,1.00,1.00,100.00,100.00,5.17,1.00,100.00,100.00,53.83,86.38,38.93,100.00,25.36,66.42,1.55,34.24,100.00,100.00,6.67,13.16,12.30,35.17,2.98,7.78,2.45,6.01,2.16,2.41,1.49,30.05,1.46,29.87,16.83,32.51,2.13,3.57,1.29,84.67,1.37,27.35,2.37,3.03,2.46,3.02,1.80,2.56,2.86,6.20,1.35,62.73,11.58,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/06 09:58:30
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-0.47435877,-0.00648831,-0.20470425,0.04039904,-0.21770853,-0.28850546,-0.39100605,-0.39455611,-0.84000266,-0.73185301,-0.42722359,-0.44259384,-1.53924358,0.05945936,-0.61402565,-1.01476800,0.02072838,-3.88531804,-0.36163601,0.11723942,-0.34416950,-0.42074808,-0.14117764,-0.26319328,1.18324852,-0.08106744,0.00000000,-1.11729693,-1.07811511,1.74704731,0.20125218,-0.64458764,-0.62138867,0,09:58:39.1,0,0
2,0.00000000,-0.47435877,0.08400832,0.04150892,-0.80806619,-0.24722558,-0.21412627,-0.39100605,-0.41131446,-0.81505615,-0.63031065,-0.38701683,-0.48998150,-0.54563141,0.10328410,-0.43646073,0.16096565,0.11074670,-3.85240626,-0.34926438,0.18176927,-0.32069743,-0.42395169,-0.11275522,-0.21294150,-0.66886008,-0.17434666,0.00000000,-1.74416101,0.14665161,-0.48479807,-1.34412837,-0.47520280,-0.64107025,0,09:58:39.2,0,0
3,0.00000000,1.10917306,0.46414688,-0.13690424,-1.38084841,-0.08850857,-0.15111779,-0.29909429,-0.22316225,-0.78222007,-0.65104216,-0.32523039,-0.37805957,0.14914927,0.18576412,-0.30178404,1.02343643,0.13508795,-6.05730343,-0.29123053,0.26729038,-0.25311890,-0.37494498,-0.05096549,-0.21380785,3.99506783,-0.13366114,0.00000000,2.07121611,0.33228180,0.79037964,-1.17539978,-0.26883048,-3.38348174,0,09:58:39.3,0,0
4,0.00000000,-0.47435877,-0.20720357,-0.75969487,-4.46115875,-0.14101538,-0.16745974,-0.25421283,-0.33411023,-0.78973323,-0.40059134,-0.32523039,-0.37805957,-0.99196166,0.20242335,-0.61861694,-0.94265181,0.13229589,-2.43767142,-0.29123053,0.20586547,-0.26720855,-0.38380191,-0.07695271,-0.20445170,0.17960517,-0.29055849,0.00000000,-0.16062932,0.52439117,-0.48479807,0.20125218,-0.29425830,-0.03777223,0,09:58:39.4,0,0
5,0.00000000,-1.12272954,-0.27150995,0.04150892,-0.80806619,-0.26861468,-0.31151778,-0.29909429,-0.50648171,-0.77245522,-0.55084556,-0.31173471,-0.16116323,0.09422934,0.20242335,-0.34464034,1.02343643,0.12291511,-1.46429932,-0.26619250,0.20103723,-0.24484694,-0.36607412,-0.05623810,-0.18514022,0.17960517,0.14517638,0.00000000,-1.00909448,0.17617880,-1.33326328,-0.41098908,-0.82553214,-1.00081694,0,09:58:39.5,0,0
6,0.00000000,1.10917306,-0.52288091,-0.42594573,-2.60905051,-0.28367603,-0.27067769,-0.25421283,-0.56494093,-0.78071994,-0.48071551,-0.36126715,-0.67080200,0.41100165,0.13302626,-0.30092397,1.03875661,0.14812326,-1.43068457,-0.28289697,0.22033560,-0.27293217,-0.38380191,-0.09118796,-0.25027582,0.17960517,-0.45202595,0.00000000,-2.46566439,0.39353767,-1.44146574,-1.79376948,-0.64458764,-1.23693681,0,09:58:39.6,0,0
7,0.00000000,0.26070780,-0.27150995,0.20585442,0.99706668,-0.05019674,0.00327035,-0.29909429,0.02926630,-0.79726291,-0.59471309,-0.35746583,-0.06005382,0.33373868,0.10762143,-0.34464034,1.37376583,0.12002929,-3.75257850,-0.30373251,0.20768075,-0.30682060,-0.38878149,-0.06143076,-0.22282802,-0.66886008,0.13158470,0.00000000,-0.26713416,-0.06128120,-0.59130299,-0.45035517,-0.33343694,-0.68835366,0,09:58:39.7,0,0
8,0.00000000,-1.12272954,0.24149618,-0.11801285,0.14860144,-0.05762668,0.03886509,-0.48545268,-0.02116255,-0.80617547,-0.55605191,-0.37363422,-0.51210624,0.01740312,0.09089210,-0.43530643,0.16096565,0.13285190,-0.14939365,-0.32032362,0.21401918,-0.30162439,-0.37539434,-0.10364148,-0.23665844,-1.34614706,0.10455752,0.00000000,-1.00220072,-0.34841400,0.52756089,-0.64173883,0.22206146,-0.10603715,0,09:58:39.8,0,0
9,0.00000000,-1.70264626,0.13593321,-0.04383553,-0.58646506,-0.24445459,-0.18759878,-0.39100605,-0.32498062,-0.82256931,-0.58743608,-0.38307473,-0.06098028,0.94204038,0.09820948,-0.43350568,1.62220395,0.06841234,-0.85467941,7.07094812,0.10985016,-0.30297667,-0.40180632,-0.12974392,-0.24496649,3.99867988,0.21081895,0.00000000,0.56071901,-0.97823989,-1.94835341,-1.47402668,-0.66791952,-0.40794313,0,09:58:39.9,0,0
10,0.00000000,1.10917306,0.08400832,0.12904489,2.27224445,-0.38779050,-0.25811082,-0.39100605,-0.46772036,-0.82256931,-0.51905894,-0.41043109,-0.20834936,0.51927382,0.05046516,-0.34634170,1.33178246,0.09307154,-0.18260314,-0.34926438,0.16820958,-0.34125903,-0.41930881,-0.17789979,-0.27335155,1.69364476,-0.22366218,0.00000000,0.33916956,-0.95418215,0.01500075,-0.88779795,-0.33343694,-0.30761275,0,09:58:40.0,0,0
11,0.00000000,-0.47435877,-0.56272185,-0.04035876,0.04039904,-0.25037420,-0.32985339,-0.39100605,-0.53278339,-0.79726291,-0.44431448,-0.35212433,-0.03789345,-0.24994966,0.17252228,-0.38890961,0.60502136,0.14498997,0.32995707,-0.36163601,0.25258642,-0.33448213,-0.43130952,-0.08454011,-0.23361468,-0.66886008,-0.16533740,0.00000000,-1.00909448,-0.23430176,1.86710930,0.25143740,0.31204545,-0.15459552,0,09:58:40.1,0,0
12,0.00000000,-1.12272954,-0.27150995,-0.63017511,-2.89150000,-0.27472967,-0.36177498,-0.25421283,-0.51880127,-0.77601087,-0.46071243,-0.34231839,-0.05308265,-0.11232816,0.17904879,-0.34379187,0.21838184,0.14635125,-3.75257850,-0.29123053,0.22529171,-0.24484694,-0.36955565,-0.06523764,-0.20519939,1.18324852,0.00435911,0.00000000,0.58133101,0.85566700,0.01500075,-0.88779795,-0.15825158,-0.25596935,0,09:58:40.2,0,0
13,0.00000000,-1.12272954,-0.60550505,-0.63017511,-2.89150000,-0.32667169,-0.32093489,-0.25421283,-0.52623701,-0.75952715,-0.51877517,-0.31981379,-0.12492252,0.33373868,0.15939878,-0.39103717,1.02343643,0.17160648,-0.09927929,-0.27455077,0.23470752,-0.24796188,-0.35179925,-0.05360006,-0.22309044,0.23738469,-0.13366114,0.00000000,0.33916956,0.85566700,-0.72006583,-0.56821638,-0.04408439,0.01280223,0,09:58:40.3,0,0
14,0.00000000,0.26070780,-0.00648831,-0.13690424,-0.30432504,0.30081022,0.26518127,-0.39100605,0.29346117,-0.75880247,-0.60295707,-0.29353112,-0.32355860,0.17678751,0.22224674,-0.25532910,1.09661543,0.16050123,-1.41382647,-0.26619250,0.23983108,-0.25003174,-0.36530593,-0.05096549,-0.18580738,0.17960517,0.04069281,0.00000000,0.58133101,0.72336715,-1.33326328,1.14844501,-0.65038812,0.70757478,0,09:58:40.4,0,0
15,0.00000000,-0.47435877,-0.00648831,-0.30630788,-1.30796838,-0.47981572,-0.54467565,-0.16230106,-0.99457288,-0.75446594,-0.51072878,-0.30265585,-0.21697605,0.14914927,0.22224674,-0.34605330,1.06569457,0.17298020,-5.97264671,-0.25782087,0.27236754,-0.21655932,-0.33850840,-0.04843058,-0.20604098,1.18324852,-0.26328567,0.00000000,-0.16062932,0.52439117,0.51884520,0.23843692,-0.10716303,-0.77045178,0,09:58:40.5,0,0
16,0.00000000,2.11281633,0.72916853,0.30382797,3.85586166,-0.27052140,-0.22455642,-0.29909429,-0.46312210,-0.75952715,-0.54284537,-0.32523039,-0.30742046,-0.49049300,0.15291242,-0.25349256,-0.20885727,0.17160648,-2.35358405,-0.25782087,0.26563632,-0.27293217,-0.37419143,-0.08867246,-0.23340495,1.18324852,-0.60361069,0.00000000,-0.16062932,0.65193921,-1.44146574,1.25320029,-0.64458764,0.72057354,0,09:58:40.6,0,0
17,0.00000000,0.26070780,0.34902996,-0.30630788,-0.30432504,-0.49102366,-0.70473593,-0.39100605,-0.94424766,-0.77530140,-0.56686032,-0.32617629,-0.22845745,-0.54563141,0.15289642,-0.43646073,-0.26716557,0.12291511,-2.38735223,-0.29541785,0.22691171,-0.29290873,-0.37494498,-0.08707299,-0.21512744,0.17960517,-0.00019404,0.00000000,-1.00909448,-0.20675391,0.51884520,0.05071117,-0.45749241,-0.27248976,0,09:58:40.7,0,0
18,0.00000000,2.11281633,-0.27150995,0.55004114,2.27224445,-0.35901961,-0.25173342,-0.25421283,-0.46772036,-0.78429991,-0.59471309,-0.34408322,0.02650109,0.38358191,0.10138554,-0.30178404,1.41602397,0.06913856,-0.80541086,-0.32032362,0.14758013,-0.30976105,-0.40489751,-0.07555623,-0.21360728,-0.61108053,-0.01825627,0.00000000,0.33916956,-0.62137204,-0.59130299,-1.08397019,-0.47520280,-0.67001897,0,09:58:40.8,0,0
19,0.00000000,0.26070780,-0.00648831,0.20585442,0.99706668,-0.16309334,-0.12817994,-0.39100605,-0.21348198,-0.79257697,-0.55605191,-0.37962493,-0.05230499,-0.43262267,0.04121460,-0.52037084,0.57841879,0.07106911,-1.54737115,-0.33276039,0.14758013,-0.31670395,-0.38073587,-0.12727749,-0.26480353,1.65857458,0.08210808,0.00000000,-0.53170758,-1.00219297,-1.97474039,-0.32096159,-0.82016963,0.25075933,0,09:58:40.9,0,0
