Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190414113526
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,918,772,718,0,712,650,595,0,592,579,618,595,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,72,72,6,6,6,6,31,31,31,31,6,6,31,31,7,7,15,15,6,6,7,7,6,6,15,15,6,6,6,6,7,7,24,24,7,7,22,22,7,7,6,6,30,30,12,12,6,6,12,12,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,62,62,31,31,31,31,6,6,6,6,7,7,31,31,7,7,28,28,72,72,6,6,96,96,6,6,7,7,14,14,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,7.86,12.32,100.00,100.00,100.00,100.00,24.86,52.99,44.22,94.97,100.00,100.00,18.00,1.00,2.30,2.90,1.22,24.41,2.26,1.94,2.09,35.13,6.24,100.00,2.91,2.89,8.12,9.68,4.00,100.00,3.27,4.19,6.08,1.00,4.44,100.00,11.70,8.73,10.91,10.37,3.07,4.13,4.63,4.25,2.68,3.94,100.00,1.00,1.70,100.00,67.51,1.00,100.00,100.00,1.00,1.00,100.00,100.00,58.65,99.19,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00,8.00,18.57,7.71,17.71,21.29,100.00,3.13,8.55,1.73,1.83,1.00,5.41,1.45,31.39,2.63,3.06,2.72,3.65,1.37,100.00,2.06,63.50,18.29,16.16,6.48,6.52,1.88,2.50,2.02,4.35,1.21,47.37,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/14 11:35:31
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-1.18369401,0.11197200,-0.25553209,-0.08406719,-0.66099036,-1.51387155,-0.09815925,-0.38094166,-0.33876660,-0.34689203,-0.20823215,-0.20108448,-1.44359386,-0.15724398,-0.35399264,-2.60073876,0.37047446,0.43966138,4.61717319,0.74578768,-0.22912264,-0.24720480,-0.27068791,-0.32793379,-3.32824993,-0.35286114,-0.74020106,0.15172501,0.00000000,-4.72685194,-0.27876362,-4.35367775,-0.97058499,0,11:35:40.1,0,0
2,4.53985119,-2.03215933,0.14520469,-1.36011314,-1.88919997,-0.54684067,-0.90244448,-0.09815925,-0.21158068,-0.32869208,-0.23499425,-0.21055679,-0.32111382,-0.02635192,-0.13122626,-0.40902153,0.14480102,0.33147925,0.21550195,3.29151440,0.49825105,-0.25819007,-0.25533125,-0.21407343,-0.25880519,-1.74463284,0.68720144,-0.42320085,-0.56938297,0.00000000,2.62170935,0.52868789,3.27707696,2.09937382,0,11:35:40.2,0,0
3,0.00000000,-1.18369401,0.26001087,-1.60379612,-5.54229307,0.25238568,0.37209764,-0.57713825,-0.38094166,-0.36167178,-0.36958188,-0.25548297,-0.05118391,0.11424289,-0.14803238,-0.25519881,-0.25944686,0.35083473,0.21550195,0.94590217,0.59155810,-0.37967572,-0.29610646,0.04569568,-0.14902516,0.48738366,-3.51886058,-0.09188670,0.98179471,0.00000000,0.31698409,0.13345346,3.27707696,-0.71811801,0,11:35:40.3,0,0
4,0.00000000,1.04815149,0.06860002,-0.22035879,-0.87836492,-0.18267870,-1.50712788,-0.09815925,0.14368653,-0.39236435,-0.21848500,-0.29420769,-0.36614114,-1.92881334,-0.19446155,-0.33397585,-1.62589264,0.32676870,0.32876855,4.65819550,0.63391030,-0.10635804,-0.21997696,-0.22153200,-0.28898343,4.30250502,-2.72366881,-0.09188670,4.79691553,0.00000000,5.98534441,2.01965857,0.00000000,11.61164474,0,11:35:40.4,0,0
5,0.00000000,-0.18005067,-0.21458201,-0.21346498,-0.03709151,0.36653531,0.53853363,-0.09815925,-0.46370706,-0.44930744,-0.27643156,-0.35625115,-0.22321102,-0.07984919,-0.25466800,-0.45203659,0.55325782,0.21673757,0.18869442,0.88738698,0.30301547,-0.43722302,-0.30835998,-0.26208410,-0.32819664,-1.74463284,-5.09385157,-0.42320085,-1.25022173,0.00000000,2.17022371,-0.32541299,0.00000000,-0.55574828,0,11:35:40.5,0,0
6,4.53985119,-2.03215933,0.07027888,-1.96641695,-1.88919997,0.05823352,0.42311037,0.41440096,-0.54524672,-0.40214592,-0.26756069,-0.33436096,-0.24091002,-0.34330305,-0.26252177,-0.34732905,-0.33187276,0.28412396,0.00444972,6.23910713,0.36058807,-0.28587791,-0.27615097,-0.17425628,-0.23069477,-1.74463284,1.83951402,-0.74020106,1.73534238,0.00000000,-3.49864960,0.05352431,-0.53804410,0.51584214,0,11:35:40.6,0,0
7,4.53985119,2.63176870,0.15647873,1.37006676,3.65837693,-0.49025998,-1.32424355,-0.09815925,-0.21158068,-0.25591439,-0.12353227,-0.11761698,-0.26206753,-0.52077812,-0.05202116,-0.17780787,0.28965867,0.33791202,0.13541296,-0.56207359,0.34667522,-0.11676697,-0.22253336,-0.19773933,-0.27779287,0.48738366,-0.08486109,-0.09188670,1.66263354,0.00000000,-0.06179275,0.05352431,3.27707696,0.98050988,0,11:35:40.7,0,0
8,5.91456985,-0.18005067,0.43828556,-1.91209280,-3.69018435,-0.36937407,-1.63689089,-0.57713825,0.05271249,-0.28759563,-0.25526762,-0.11478352,-0.33975509,-1.38877594,-0.05718206,-0.33397585,-1.60771084,0.32458198,0.30134881,-0.56207359,0.47926113,-0.16612244,-0.22247885,-0.01311472,-0.15663961,0.48738366,-7.13810682,-0.09188670,4.79691553,0.00000000,-0.06179275,-0.32541299,-0.53804410,-2.13936543,0,11:35:40.8,0,0
9,-7.55465221,-2.03215933,-0.06919432,0.51284981,0.41573161,0.25540772,0.45206973,-0.09815925,-0.93580633,-0.31546223,-0.27347973,-0.17767783,-0.11119860,0.63844275,-0.11517534,-0.48322645,1.27750146,0.34997028,0.16201681,6.27502584,0.36209738,-0.33679247,-0.26349822,-0.29109731,-0.21892107,6.86149025,3.34682941,-0.74020106,1.50009239,-11.48298550,-0.11709148,-0.86651570,0.85060734,-1.64303017,0,11:35:40.9,0,0
10,-3.09090376,1.04815149,0.10286582,0.39283875,-0.03709151,0.25238568,0.33474958,-0.09815925,-0.21158068,-0.32246220,-0.21232261,-0.20501465,-0.11119860,0.14650238,-0.09916831,-0.16376515,1.12539697,0.42925268,0.26956782,-0.56207359,0.70522535,-0.18818970,-0.22523855,-0.07450237,-0.18381943,0.48738366,1.00970221,-0.09188670,0.98179471,0.00000000,0.31698409,0.39662632,3.27707696,0.47362217,0,11:35:41.0,0,0
11,0.00000000,1.04815149,-0.00348153,1.12790525,1.19111061,-0.55875945,-0.64745605,-0.09815925,-0.78291261,-0.36367199,-0.26656678,-0.28283319,-0.16526447,0.52914649,-0.18707605,-0.35616466,1.01642585,0.30743349,0.05647254,4.57639790,0.38806179,-0.34467939,-0.28782368,-0.41175285,-0.35552233,-1.74463284,-0.47468495,-0.42320085,1.73534238,0.00000000,-2.42212653,-1.05076265,-2.77006078,-1.22500575,0,11:35:41.1,0,0
12,0.00000000,-0.18005067,-0.14810115,-0.95542532,-2.46198225,-0.72451001,-2.94301510,-0.57713825,0.05271249,-0.41777948,-0.33364263,-0.29196635,-0.36614114,-1.02679992,-0.18707605,-0.34534356,-1.62589264,0.37194663,0.26956782,-0.60340422,0.79176259,-0.28479233,-0.24443747,-0.16686924,-0.25288850,4.30250502,-2.74703264,0.26611897,4.79691553,0.00000000,5.98534441,2.03302884,0.00000000,-1.51049519,0,11:35:41.2,0,0
13,-4.31910610,2.63176870,0.14999492,1.37006676,2.77472806,-0.32786894,-0.37052608,-0.09815925,-0.38094166,-0.35249755,-0.21397671,-0.22646639,-0.16526447,-0.60785550,-0.16392986,-0.26714128,0.23493163,0.15055901,0.00444972,3.29151440,-0.00765941,-0.25060681,-0.24720480,-0.12038199,-0.19479415,-3.32824993,0.35608810,-0.74020106,1.73534238,0.00000000,-1.19392419,-0.76193321,0.12949906,-1.71608889,0,11:35:41.3,0,0
14,4.53985119,1.04815149,0.22677818,-0.21346498,-0.15725680,0.27107209,0.58683157,-0.06457804,-0.38094166,-0.21414861,-0.21866186,-0.06086547,-0.01530012,-1.95615411,-0.01209031,-0.44135243,-1.64407110,0.40308306,0.26956782,1.06954241,0.59861898,-0.11676697,-0.18390791,-0.12758277,-0.19779342,-1.74463284,-0.25731310,-0.74020106,-1.25022173,0.00000000,0.38969302,-0.25013658,2.36151552,-0.71244550,0,11:35:41.4,0,0
15,-1.50728667,1.04815149,0.26876912,0.52160156,1.42636049,0.26819697,-0.15953061,-0.09815925,0.05271249,-0.22157308,-0.06852062,-0.05237750,0.09922095,-1.44359386,-0.01209031,-0.40581074,-1.62589264,0.39469233,0.43966138,-0.50183332,0.77090234,-0.07834490,-0.20592262,0.02194817,-0.11965052,0.48738366,-1.16549575,-0.42320085,0.98179471,0.00000000,0.15444306,0.82819831,0.12949906,0.70320970,0,11:35:41.5,0,0
16,0.00000000,1.04815149,0.29877749,0.39283875,-0.03709151,0.30483702,0.24523357,-0.09815925,-0.54524672,-0.22816084,-0.22322252,-0.09502476,-0.12343729,0.46369043,-0.06825528,-0.19031501,1.16224360,0.22410224,0.16201681,3.35115886,0.13501462,-0.16158743,-0.22253336,-0.21191458,-0.32424617,-1.74463284,-0.11850098,-0.42320085,-0.56938297,0.00000000,0.31698409,-1.01966190,3.27707696,-1.74967003,0,11:35:41.6,0,0
17,0.00000000,1.04815149,0.30464727,-1.91209280,-3.69018435,-0.01867063,-0.37446949,0.41440096,0.05271249,-0.26297802,-0.15298206,-0.12785313,-0.13261919,-1.27264249,-0.07041439,-0.21033613,-3.78364658,0.35731515,0.32876855,-0.52043027,0.49825105,-0.16612244,-0.22253336,-0.15059508,-0.19103204,-3.32824993,0.06256814,-0.74020106,-1.25022173,0.00000000,-1.91503227,0.08730002,-0.53804410,-0.26838976,0,11:35:41.7,0,0
18,0.72472978,-2.76722550,0.28962207,-1.96641695,-3.97263408,-0.00574460,-0.60182887,-0.09815925,-1.01068962,-0.32783142,-0.20323925,-0.23687458,-0.20108448,0.91618520,-0.16703497,-0.19076830,1.75613225,0.21809466,0.00444972,3.29151440,0.13480425,-0.27676877,-0.26895657,-0.15036139,-0.20038100,-3.32824993,1.45619428,-1.03567386,-2.15300035,-11.48298550,-2.42212653,-0.78509098,-4.35367775,-2.35597372,0,11:35:41.8,0,0
19,-4.31910610,-2.76722550,0.13781454,-1.96641695,-2.62426662,-0.60209078,-2.35070348,-0.09815925,-0.70484382,-0.36894068,-0.19149061,-0.25404993,-0.03318046,-0.99953812,-0.15291464,-0.44135243,-1.62589264,0.29290760,0.05647254,0.98678899,0.34431019,-0.30583620,-0.25806281,-0.26208410,-0.33698753,-1.74463284,-3.74548388,-0.74020106,-1.25022173,0.00000000,-1.91503227,-0.95113873,-0.53804410,-5.21967602,0,11:35:41.9,0,0
