Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190406092049
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1969,1391,713,651,703,0,697,641,645,0,707,647,713,651,1474,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,144,144,6,6,124,124,6,6,6,6,28,28,6,6,7,7,24,24,12,12,15,15,7,7,7,7,15,15,15,15,15,15,12,12,6,6,14,14,15,15,7,7,7,7,6,6,7,7,6,6,6,6,7,7,56,56,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,48,48,6,6,31,31,7,7,6,6,7,7,6,6,7,7,7,7,7,7,15,15,7,7,6,6,6,6,12,12,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,1.00,100.00,100.00,63.38,100.00,26.82,67.93,7.15,18.96,2.47,4.61,2.99,4.42,6.25,12.73,2.22,3.78,6.89,73.52,3.84,3.76,2.36,41.83,3.43,73.25,3.23,4.70,5.62,8.98,2.38,1.00,2.53,4.30,2.86,1.00,1.46,100.00,5.25,6.65,2.95,3.81,1.65,2.70,2.97,4.15,1.92,3.59,59.54,100.00,2.26,100.00,3.06,100.00,100.00,100.00,20.28,1.00,100.00,100.00,37.49,56.36,100.00,100.00,100.00,100.00,100.00,1.00,36.99,86.45,5.90,11.89,3.92,11.79,2.44,4.28,2.93,6.97,2.87,3.55,1.00,16.29,1.39,30.32,10.63,21.37,2.24,4.17,1.56,61.17,1.30,25.66,2.59,4.16,2.20,2.98,1.16,2.21,1.74,4.49,1.15,50.48,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/06 09:20:53
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-2.63570976,0.01761755,-0.13729942,-0.03577004,0.63072079,0.18863870,-0.15901335,0.32043931,-0.31831804,-0.78528517,-0.25040153,-0.38148108,-0.32536519,-0.24067186,-0.16578265,-1.57682538,-0.40987650,-0.18545265,5.30091238,-0.55272782,-0.55304825,-0.39879867,-0.28496522,-0.19003204,-0.11721753,0.82620150,-0.04861050,-0.26492792,-0.00343281,-0.92966020,-0.03299236,-2.00432587,-2.58894324,0,09:21:03.1,0,0
2,0.00000000,1.17941141,0.62392128,-0.24821922,0.08421545,0.40745449,0.14980164,-0.13529497,0.26256332,-0.30044782,-0.78528517,-0.20466635,-0.21328372,-0.41948265,-0.19829458,-0.01649689,-1.48903239,-0.39659095,-0.12253902,4.46013880,-0.49965769,-0.55770469,-0.41097876,-0.27076167,-0.19763504,0.16266969,-1.94372964,0.11969199,0.83965313,0.38940442,1.39586020,1.10966134,3.03951001,-1.81583726,0,09:21:03.2,0,0
3,0.00000000,-4.86772633,-0.37972197,0.26289755,0.19326937,-0.35164133,-0.04158351,-0.14571834,-0.40090406,-0.28736320,-0.55857652,-0.17297618,0.41842011,0.23080423,-0.13736068,-0.14472115,8.74536514,-0.39659095,-0.12253902,5.33258867,-0.51224267,-0.56417638,-0.40735406,-0.28496522,-0.18008600,0.96027577,1.28078353,-0.74163783,0.21270902,-0.00343281,0.49060014,-1.28958058,3.62989306,-7.10814190,0,09:21:03.3,0,0
4,0.00000000,1.17941141,-0.98602569,0.49379277,0.26430798,0.73914570,0.23565716,-0.13233572,0.44226453,-0.29713261,-0.78528517,-0.15362541,0.10990208,-0.02918243,-0.17126986,0.00672726,-1.48903239,-0.40640074,-0.08171950,4.11888552,-0.52621692,-0.58647555,-0.40691119,-0.25166303,-0.16638406,-1.07388508,0.33996215,0.02995356,-0.87123168,0.28973034,-1.65113509,-0.15271476,3.03951001,0.00000000,0,09:21:03.4,0,0
5,0.00000000,-2.63570976,-0.37972197,-0.13729942,-0.03577004,-0.18691096,0.07398761,-0.13529497,-0.08809521,-0.32271329,-0.84645081,-0.19151767,-0.13351248,-0.69405651,-0.18882228,-0.13783844,-1.51227784,-0.40794036,-0.10894734,4.50112724,-0.56000257,-0.53206480,-0.38644934,-0.29622829,-0.19995974,1.51093376,-1.04519463,0.71091658,1.35221338,0.19188935,-0.30276769,1.09813285,0.80749363,-4.12056255,0,09:21:03.5,0,0
6,0.00000000,-2.63570976,0.01761755,0.26289755,0.19326937,0.72970599,0.21537954,-0.13566272,0.32577193,-0.36622211,-0.82566750,-0.24080989,0.00319649,0.15065046,-0.26397088,-0.21474278,-1.61339676,-0.43267423,-0.17201564,4.79073811,-0.58172494,-0.59595412,-0.40287945,-0.32552996,-0.23828118,0.35397199,0.72190183,0.63625729,-0.23134671,-0.18756820,0.08264989,-0.31083071,2.62624955,-3.64790654,0,09:21:03.6,0,0
7,0.00000000,0.00000000,-0.37972197,0.05242999,0.02124198,0.26745611,0.14935660,-0.14898102,0.19742663,-0.37553826,-1.10942304,-0.27791432,-0.15207946,-2.58517742,-0.25904343,-0.18377063,-1.47971821,-0.40668914,-0.12253902,4.13708258,-0.51224267,-0.56417638,-0.40119237,-0.34722927,-0.26052433,-1.84231567,-2.09558988,-1.69830537,-0.50861096,0.19188935,1.39586020,0.08363940,6.85463095,0.00000000,0,09:21:03.7,0,0
8,0.00000000,0.00000000,-1.65500867,0.79444200,0.39170620,-0.38006666,0.02484526,-0.16550003,-0.26783097,-0.39874998,-1.22419751,-0.35407171,-0.24695480,-0.80240184,-0.33206937,-0.11768211,-1.54464638,-0.48179954,-0.21217345,4.10524893,-0.64500606,-0.61020172,-0.42723519,-0.39458859,-0.30277169,-2.14236522,-1.22092450,-0.84878188,-1.08852768,-0.00343281,0.07398308,0.09662008,0.80749363,0.00000000,0,09:21:03.8,0,0
9,0.00000000,0.00000000,-3.23856854,1.11139309,0.56251407,0.31588230,0.13064076,-0.20468670,0.15798016,-0.40314695,-1.30873466,-0.41834298,-0.22185946,-0.38797241,-0.38073477,-0.16876587,-1.57682538,-0.49430686,-0.21217345,4.73187780,-0.66409469,-0.65848875,-0.44296467,-0.44403055,-0.33334944,0.90463001,0.03653251,0.80837250,0.25973636,-0.18756820,0.07398308,1.17902386,-0.77612370,0.48919782,0,09:21:03.9,0,0
10,0.00000000,-2.63570976,-0.37972197,-0.52898204,-0.34800270,0.18565001,0.09820190,-0.19184944,0.06821148,-0.40314695,-1.18778217,-0.40038818,-0.14658724,-0.63589495,-0.34086457,-0.16746846,-1.59057522,-0.50377351,-0.21217345,4.71391869,-0.64500606,-0.67378408,-0.46735597,-0.42518198,-0.32377550,-0.11721753,0.53910190,-0.33829272,-0.26492792,-0.09624182,-0.88268453,-0.34509471,0.80749363,-4.12056255,0,09:21:04.0,0,0
11,0.00000000,1.17941141,-0.98602569,-0.24821922,-0.03577004,0.48065847,0.15350938,-0.14898102,0.28660309,-0.34213951,-0.73669052,-0.22217116,0.10925869,-0.12444887,-0.22612174,-0.11978462,-1.55847681,-0.44492188,-0.15854573,4.46921444,-0.55272782,-0.57530737,-0.41589597,-0.30325735,-0.19171201,0.46271920,0.27692401,0.60662627,0.83965313,0.19188935,0.07398308,-0.78647250,0.80749363,-1.04298973,0,09:21:04.1,0,0
12,0.00000000,0.00000000,-0.98602569,0.44411263,0.21161366,0.38544449,0.16967228,-0.15901335,0.18918617,-0.32150999,-0.61569947,-0.24236998,-0.50751662,-0.51067674,-0.24112754,-0.11768211,-1.54464638,-0.43218875,-0.10894734,3.72720265,-0.51627064,-0.61204052,-0.42161483,-0.29622829,-0.19995974,0.16266969,-1.05568063,0.02995356,-0.34656736,0.28973034,0.07398308,-1.25697422,0.80749363,0.00000000,0,09:21:04.2,0,0
13,0.00000000,-2.63570976,0.62392128,-0.13729942,-0.15763101,0.41822585,0.17621805,-0.14571834,0.25175473,-0.34438103,-1.06257355,-0.21033737,0.06790601,0.07851696,-0.20291194,-0.11978462,8.78676510,-0.42113960,-0.10894734,4.51487732,-0.55272782,-0.54653651,-0.39216816,-0.29976094,-0.19021672,0.90463001,0.27692401,0.05968351,1.35221338,0.09575710,0.29127911,-0.17867708,1.20500231,-2.13740921,0,09:21:04.3,0,0
14,0.00000000,1.17941141,-0.98602569,0.49379277,0.26430798,0.28739113,0.14391516,-0.13529497,0.11847087,-0.33121866,-0.70669103,-0.31731492,-0.01053075,-0.13794075,-0.32035273,-0.11978462,-1.53542554,-0.44492188,-0.13609721,4.50572538,-0.55272782,-0.56417638,-0.39388144,-0.30391765,-0.20036408,0.62474281,0.76856643,1.62260318,0.24763229,0.09575710,0.29127911,0.56394565,1.20500231,1.75108814,0,09:21:04.4,0,0
15,0.00000000,-2.63570976,0.01761755,0.21302994,-0.03577004,0.56156659,0.19234391,-0.14858998,0.28929913,-0.34522465,-1.15306711,-0.25134858,0.02164816,-0.16925655,-0.20883127,-0.21346650,-1.56765866,-0.43077168,-0.12253902,4.51943016,-0.53625888,-0.54983956,-0.38644934,-0.31859523,-0.22134303,0.16266969,0.24560900,0.04476799,0.25973636,0.09575710,0.29127911,0.71422201,2.78861952,1.23115814,0,09:21:04.5,0,0
16,0.00000000,-4.86772633,0.01761755,-0.40438294,-0.15763101,0.83423954,0.25954604,-0.13566272,0.41387865,-0.35158521,-0.88009757,-0.30998620,-0.06526915,-0.13794075,-0.27277064,-0.11655018,-1.53542554,-0.45480862,-0.15854573,4.49653244,-0.62445587,-0.63246083,-0.43539935,-0.35119429,-0.25433838,-1.07388508,0.16306928,-1.79099894,-0.87123168,-0.00343281,0.29127911,0.28273994,1.20500231,0.00000000,0,09:21:04.6,0,0
17,0.00000000,-4.86772633,-0.98602569,-0.40438294,-0.15763101,-0.07286158,0.05845631,-0.15191604,-0.07195684,-0.38449022,-0.99547350,-0.36747900,-0.04027948,-0.02859767,-0.31929740,-0.14800395,8.73161507,-0.51682967,-0.19885696,4.80436325,-0.66409469,-0.57344967,-0.39879867,-0.36135590,-0.27248669,1.74360669,1.05856669,0.94011939,1.08337069,-0.28182423,-0.92966020,-0.86870706,-2.00432587,-5.21082640,0,09:21:04.7,0,0
18,-13.77594280,0.00000000,-2.56955743,0.79444200,0.39170620,0.32017252,0.14391516,-0.16550003,0.12371078,-0.38592026,-1.10848081,-0.40804842,-0.10697583,0.00244073,-0.35432348,-0.11978462,-1.55847681,-0.44422424,-0.19885696,4.48288488,-0.56294411,-0.60192263,-0.41262248,-0.38246158,-0.29048586,0.90463001,1.02829134,-0.96338868,-0.26492792,-0.00343281,0.65389991,0.86377841,3.03951001,1.23115814,0,09:21:04.8,0,0
19,2.47009945,0.00000000,1.13648140,0.49379277,0.26430798,-0.58965653,-0.04092522,-0.19184944,-0.34590882,-0.42665032,-1.36040294,-0.43581343,-0.16848379,-0.41901082,-0.41189879,-0.16746846,-1.56765866,-0.49115908,-0.21217345,4.77709007,-0.63322175,-0.64438695,-0.44174895,-0.41151997,-0.32381934,0.90463001,0.94830042,0.29581231,0.83965313,-0.18756820,0.81594342,-0.15271476,2.78861952,0.00000000,0,09:21:04.9,0,0
