Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190422160532
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,868,742,1003,0,597,582,695,0,832,721,758,677,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Over,Over,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,28,28,6,6,6,6,6,6,6,6,44,44,49,49,6,6,49,49,6,6,6,6,6,6,6,6,7,7,44,44,6,6,7,7,7,7,7,7,22,22,7,7,6,6,6,6,6,6,6,6,6,6,31,31,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,124,124,112,112,7,7,6,6,6,6,6,6,15,15,6,6,7,7,6,6,6,6,6,6,6,6,31,31,6,6,6,6,6,6,6,6
Digital Gain,82.53,1.00,100.00,1.00,68.45,96.66,100.00,100.00,100.00,100.00,12.69,23.13,76.80,100.00,100.00,1.00,100.00,1.00,15.37,35.78,29.42,100.00,1.48,1.91,1.00,12.40,1.69,36.97,1.31,2.17,1.21,2.99,1.10,24.79,2.09,3.49,1.00,17.71,1.36,67.98,3.24,3.34,1.77,2.64,1.43,2.58,2.61,4.22,1.88,3.83,1.00,1.00,3.22,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,38.61,58.93,1.00,1.00,100.00,100.00,100.00,1.00,81.98,100.00,6.92,12.59,14.50,32.48,100.00,34.55,43.67,30.32,2.90,4.18,1.00,16.42,1.00,17.04,11.89,37.79,1.14,2.64,1.00,3.43,1.31,31.44,1.45,1.88,2.19,3.20,1.15,2.23,1.36,2.70,1.88,100.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/22 16:05:37
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-1.32586610,-0.06286931,-0.85695338,-0.49254757,-1.71837771,-0.42987326,-2.99941969,-7.24897575,-3.35430384,-0.09561864,-0.23082864,-0.74963039,-0.62761080,-0.45397669,0.00198341,0.26636145,0.20694022,-0.10956716,-1.65453649,-0.45424432,-0.15979463,-0.27279469,-0.23899895,-0.38176984,-0.33213305,0.00000000,-0.36247158,0.00000000,-0.32196105,0.00000000,0.29088303,-0.78595412,0.00000000,-4.74202728,0,16:05:46.1,0,0
2,-1.80785537,-0.06286931,-0.85695338,0.10165206,0.35109770,-0.73789364,1.81617010,0.00000000,0.00000000,-0.02540564,-0.09216719,-0.76111335,-0.68336213,-0.01073439,0.01291821,0.30219010,0.53432214,-0.09519841,-1.65780807,-0.44999227,-0.12242801,-0.26767170,-0.24355960,-0.33373019,-0.29265782,0.00000000,-0.34967944,0.00000000,-0.32196105,0.00000000,1.24755073,-0.35613397,0.00000000,0.00000000,0,16:05:46.2,0,0
3,-0.22054461,-0.06286931,-0.18242598,0.62631637,1.93471503,0.54678750,0.00000000,0.00000000,0.00000000,0.15353301,0.04525081,-0.74049824,-0.59390086,0.10799309,0.04769982,0.32687703,0.55419528,-0.09612740,-1.76985729,-0.78773719,-0.10011244,-0.24549395,-0.22975224,-0.34764206,-0.28645071,0.00000000,-0.37523472,0.00000000,2.25460839,0.00000000,1.51908517,0.86187029,0.00000000,0.41929394,0,16:05:46.3,0,0
4,-0.80421609,-1.29107141,0.28805962,-0.41090816,-0.99726969,0.13613389,-3.62952828,-9.48099136,-5.20641232,-0.13501360,-0.36165905,-0.78048992,-0.54414022,-0.00194117,0.03569405,0.27798209,0.53432214,-0.10421903,-1.65453649,-0.28764841,-0.13022859,-0.25876752,-0.22965778,-0.37992910,-0.31514394,0.00000000,-0.41747752,0.00000000,-0.32196105,0.00000000,0.98586768,-0.00514257,0.00000000,-0.20497604,0,16:05:46.4,0,0
5,-0.22054461,-1.29107141,-0.22659445,-1.49619091,-4.53019714,-0.05206929,-5.52542496,0.00000000,-3.35430384,0.07761082,-0.09216719,-0.78702456,-0.57989889,0.08153823,-0.03578634,0.28539634,0.58795685,-0.11761427,-1.61306167,-0.46708614,-0.14279324,-0.27650726,-0.24343060,-0.41583812,-0.36079961,0.00000000,-0.43011388,0.00000000,-1.32560432,0.00000000,0.29088303,-0.35613397,0.00000000,-3.90054798,0,16:05:46.5,0,0
6,1.16384113,-2.29471469,0.61972988,-1.93675470,-5.53384018,0.25277695,-1.66545272,-7.24897575,-4.35794687,-0.06198763,-0.23082864,-0.81812310,-0.64026493,-0.14383896,-0.06568121,0.26169449,0.40626335,-0.14422758,-1.58423615,-0.13708708,-0.18286456,-0.25500190,-0.23511040,-0.37073153,-0.31336764,0.00000000,-0.38791507,0.00000000,1.98307407,0.00000000,-1.56122541,0.49001530,-19.09540939,0.41929394,0,16:05:46.6,0,0
7,-2.24585795,-1.29107141,-1.12422693,-0.41090816,-3.30199504,0.19524951,-3.01375127,-3.43385434,-7.16976643,0.03796688,0.86450046,-0.85072291,-0.65282261,0.23251465,-0.09720076,0.29323813,0.74791270,-0.15124002,-1.45428860,-0.20514721,-0.18570365,-0.31650987,-0.26235735,-0.37178823,-0.31891021,0.00000000,-0.45524731,0.00000000,-0.82570213,0.00000000,1.24755073,1.04632103,9.71812630,-2.93513489,0,16:05:46.7,0,0
8,-2.24585795,3.75276446,-0.27657545,0.73574013,4.32876015,-0.33505374,0.00000000,0.00000000,0.00000000,0.12269077,-1.01239300,-0.85809743,-0.62851006,-0.11314633,-0.08090514,0.29114333,0.47160715,-0.09884906,-1.45428860,-0.35996059,-0.10021545,-0.33059594,-0.26155186,-0.32123691,-0.29718459,0.00000000,-0.34967944,0.00000000,-1.39848435,0.00000000,3.10270262,0.82514274,0.00000000,0.00000000,0,16:05:46.8,0,0
9,0.42404696,-0.06286931,0.10507580,1.07037210,2.89138269,0.08269950,-1.32464838,-7.24897575,-4.35794687,0.10735232,0.72583902,-0.85903192,-0.62605315,0.00686546,0.02494996,0.38357428,0.62224591,-0.05191168,-1.73676467,-0.00632190,-0.06196028,-0.27413088,-0.25412643,-0.37992910,-0.30521613,0.00000000,-0.36247158,0.00000000,2.72503424,0.00000000,0.13740249,-0.35849777,9.71812630,-5.43746614,0,16:05:46.9,0,0
10,-1.80785537,-0.06286931,-0.02919494,0.11375615,0.58634764,0.14640899,0.00000000,0.00000000,0.00000000,-0.12873678,-1.30311656,-0.85534954,-0.62099004,0.05116878,0.00672574,0.45611060,0.61218345,-0.03269572,-1.85548949,-0.11568796,-0.06722647,-0.29556561,-0.25854480,-0.35696757,-0.31420332,0.00000000,-0.36247158,0.00000000,1.02640629,0.00000000,1.24755073,-0.36885390,0.00000000,0.00000000,0,16:05:47.0,0,0
11,-1.32586610,3.75276446,-1.12705696,1.34204388,0.51363879,0.49234781,0.93304533,0.00000000,5.50465345,0.05051655,0.19113946,-0.85072291,-0.67171282,-0.03792669,0.01413720,0.48198581,0.60083777,-0.07906407,-2.01723051,-0.57339144,-0.12772579,-0.26820132,-0.25847444,-0.34311396,-0.30068937,0.00000000,-0.33691058,0.00000000,-0.32196105,0.00000000,1.24755073,-0.94413573,0.00000000,0.00000000,0,16:05:47.1,0,0
12,0.42404696,-0.06286931,-0.11679967,0.11375615,1.93471503,0.61804664,0.93304533,0.00000000,0.00000000,-0.35196340,-0.00176266,-0.80607158,-0.60991782,-0.03792669,0.00672574,0.48886818,0.62160587,-0.07807860,-1.91186714,-0.22298817,-0.10668152,-0.25134128,-0.26667154,-0.36900413,-0.32410151,0.00000000,-0.36247158,0.00000000,0.02276304,0.00000000,1.24755073,-0.18027957,0.00000000,-4.19046640,0,16:05:47.2,0,0
13,1.16384113,3.75276446,0.55328149,1.34204388,6.63348532,0.09235096,0.00000000,0.00000000,0.00000000,0.12269077,0.33597437,-0.81734985,-0.62167311,-0.15690987,-0.00959124,0.48969430,0.57608134,-0.05170632,-1.89835322,-0.54306126,-0.10126033,-0.28241888,-0.27213645,-0.35868037,-0.29718459,0.00000000,-0.31974959,0.00000000,1.02640629,0.00000000,1.51908517,0.79272187,0.00000000,1.76755810,0,16:05:47.3,0,0
14,-0.80421609,-1.29107141,1.06316876,0.10165206,-0.87710440,-0.21716991,-5.59387970,-3.43385434,-7.69443035,0.03796688,0.86450046,-0.86179608,-0.66059738,-0.20121318,-0.05970118,0.46369001,0.53441441,-0.07722466,-1.83020091,-0.39398623,-0.14847943,-0.28289545,-0.27106488,-0.33359221,-0.29041404,0.00000000,-0.36247158,0.00000000,-2.17406940,0.00000000,-0.71276021,-0.35849777,0.00000000,-4.50685167,0,16:05:47.4,0,0
15,1.16384113,-0.06286931,1.76689720,-0.49254757,-1.71837771,0.30656111,-1.50322032,0.00000000,-2.12610149,0.07761082,0.19113946,-0.84153312,-0.57446277,-0.08228160,-0.05623379,0.46527833,0.61746663,-0.05919169,-1.75099170,-0.40696993,-0.12619233,-0.31650987,-0.29016942,-0.35696757,-0.32410151,0.00000000,-0.34967944,0.00000000,0.02276304,0.00000000,-1.56122541,-0.00514257,0.00000000,-4.39163065,0,16:05:47.5,0,0
16,-0.80421609,-0.06286931,-0.02919494,0.10165206,-0.99726969,0.60038650,1.26847506,0.00000000,0.00000000,-0.09036162,-3.46195316,-0.80694085,-0.62167311,0.06448525,0.02602703,0.47938272,0.71897054,-0.07817436,-1.78368378,-0.69248039,-0.08027875,-0.25530154,-0.24868704,-0.41514152,-0.33763871,0.00000000,-0.28103587,0.00000000,0.90624100,0.00000000,-2.13400769,1.09248555,0.00000000,0.00000000,0,16:05:47.6,0,0
17,2.00767636,-0.06286931,0.17584178,-1.01721191,-0.99726969,0.10309000,0.00000000,0.00000000,0.00000000,0.01935963,-1.15722787,-0.83865863,-0.63335544,-0.04682624,-0.02042392,0.46043262,0.68176889,-0.07902762,-1.79693663,-0.33311635,-0.08305594,-0.25089204,-0.23134233,-0.34476849,-0.27535889,0.00000000,-0.25072941,0.00000000,0.90624100,0.00000000,1.51908517,-0.67099738,0.00000000,0.00000000,0,16:05:47.7,0,0
18,-0.80421609,-2.29471469,-0.22659445,0.45841143,-1.88074780,-0.14870952,-3.96249628,-7.24897575,-6.58984947,0.00739781,0.86450046,-0.82020313,-0.50919658,-0.07343956,0.00701850,0.43471149,0.75680608,-0.10871471,-1.58423615,-0.34185365,-0.11070485,-0.24200653,-0.24491948,-0.40204272,-0.30521613,0.00000000,-0.31974959,0.00000000,-1.32560432,0.00000000,1.24755073,-0.67595315,0.00000000,-9.85857201,0,16:05:47.8,0,0
19,-0.22054461,-0.06286931,0.10507580,1.07037210,1.93471503,0.31316128,0.00000000,0.00000000,0.00000000,-0.16253585,-3.60784197,-0.82937592,-0.60038763,-0.26162788,-0.02424913,0.44753069,0.56302565,-0.14632186,-1.76985729,-0.70553267,-0.10562576,-0.28519985,-0.27115735,-0.37825796,-0.30604050,0.00000000,-0.25072941,0.00000000,1.41262078,0.00000000,1.51908517,0.95550913,0.00000000,-1.88574100,0,16:05:47.9,0,0
