Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190415161121
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1074,864,598,583,678,0,552,556,610,0,707,647,638,607,1614,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,120,120,6,6,49,49,6,6,6,6,31,31,30,30,7,7,44,44,6,6,6,6,22,22,6,6,7,7,31,31,6,6,7,7,12,12,6,6,15,15,7,7,6,6,6,6,7,7,6,6,31,31,15,15,22,22,120,120,6,6,6,6,31,31,6,6,31,31,6,6,6,6,44,44,47,47,12,12,48,48,15,15,6,6,6,6,6,6,31,31,7,7,12,12,12,12,7,7,7,7,7,7,24,24,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,3.12,7.35,28.46,56.39,100.00,1.00,8.77,16.01,4.05,9.35,1.77,3.81,10.83,44.50,1.87,1.98,1.25,25.54,2.85,2.69,1.09,14.17,2.74,58.23,3.27,3.89,2.31,4.35,2.27,83.37,4.52,6.28,1.40,30.30,2.72,1.00,5.47,6.68,2.49,4.09,2.17,3.50,3.71,4.82,2.54,3.44,2.11,6.12,2.04,100.00,1.37,24.10,100.00,100.00,1.00,1.00,100.00,100.00,41.28,55.88,1.00,1.00,1.00,1.00,100.00,1.00,47.58,84.96,3.65,6.69,6.56,23.20,1.93,4.20,2.84,3.98,3.79,3.50,1.07,17.86,1.15,23.18,13.29,29.30,2.03,4.60,1.61,52.59,1.32,32.57,2.19,3.30,3.19,4.81,2.34,3.26,2.49,4.60,1.65,78.08,11.87,100.00,14.45,32.15,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/15 16:11:25
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,4.53220844,0.19569199,0.02071808,0.00000000,0.27386364,-0.20614530,-0.17621869,-0.39881891,-0.80462748,-0.19824965,-0.79409486,-0.35748720,0.30331820,-0.72276157,-0.22361304,0.61635095,-0.74258214,-0.29488045,-0.87176514,-0.05844732,-0.66672045,-0.32453406,-0.23899922,-0.01297404,-0.62397599,-2.95415759,-0.04461138,-1.09471834,0.00000000,0.21894775,0.75465947,0.00000000,0.00000000,0,16:11:35.1,0,0
2,0.00000000,-1.51492870,0.14976573,-0.09464534,-1.92386603,0.16370128,-0.17898516,-0.15148500,-0.34877759,-0.77487290,-0.00617056,-0.72571468,-0.24676664,0.21875088,-0.72635251,-0.19837251,0.33525380,-0.62144554,0.24342392,-0.87176514,-0.00007063,-0.70216262,-0.34490681,-0.30552313,-0.09546441,-0.59042448,-3.01606083,-0.06251232,0.28871906,0.00000000,0.96090806,0.55406898,0.00000000,0.00000000,0,16:11:35.2,0,0
3,0.00000000,-3.09854603,0.19085635,-0.37578970,-5.73898745,0.08354747,-0.26048216,-0.20785813,-0.31807697,-0.81166065,-0.15184858,-0.68912619,-0.25133735,-0.14913829,-0.75227863,-0.19837251,0.34885633,-0.72301191,-0.05672140,-0.85712659,-0.09772931,-0.68977392,-0.33583313,-0.31629956,-0.06858380,-0.60588676,-0.74611259,-0.04911970,-0.00229173,0.00000000,-1.16448963,-1.24947524,0.00000000,0.00000000,0,16:11:35.3,0,0
4,0.00000000,-3.09854603,0.14470032,-0.22214209,-5.73898745,0.13720007,-0.21746778,-0.18881626,0.05490805,-0.80828130,-0.15184858,-0.68346786,-0.21448715,-0.57042718,-0.72586125,-0.29513755,-0.18743704,-0.69345033,0.13346861,-0.76360387,-0.02619115,-0.62765372,-0.26630831,-0.25646150,-0.03885452,-0.54688936,0.56734157,0.01971324,0.28871906,0.00000000,-1.74440634,-0.35830915,0.00000000,0.00000000,0,16:11:35.4,0,0
5,-13.56783485,-3.09854603,0.14492957,-0.09464534,-5.73898745,0.08521026,-0.26910308,-0.20332374,-0.26966849,-0.80240071,-0.03136075,-0.68059450,-0.32162443,-0.12199993,-0.66158563,-0.23914772,0.15998010,-0.65405381,0.08454782,-0.65836328,-0.03217344,-0.59398556,-0.22851437,-0.30207506,-0.05337734,-0.46370959,-0.09514381,-0.07867505,-0.69628048,0.00000000,0.18377438,-0.53334975,0.00000000,0.00000000,0,16:11:35.5,0,0
6,-18.61843681,4.53220844,0.07162938,-0.14337596,0.00000000,-0.08318771,-0.39115459,-0.24977337,-0.36611745,-0.78672814,-0.13559186,-0.60518324,-0.17903063,-0.14924416,-0.64585823,-0.17057742,-0.68069738,-0.58253092,-0.18191059,-0.44693545,-0.00988364,-0.55246788,-0.21398832,-0.33814076,-0.09292719,-0.51013362,0.42590037,-0.06061283,-0.65066254,0.00000000,0.22584152,-0.08288809,0.00000000,0.00000000,0,16:11:35.6,0,0
7,0.00000000,0.00000000,0.07710762,-0.00124908,0.00000000,0.15633526,-0.24314524,-0.25597033,-0.37736276,-0.74002111,-0.03466866,-0.62538093,-0.14897723,0.05507096,-0.61618084,-0.06079121,0.01434971,-0.53930426,0.18098260,-0.18308054,0.04378434,-0.45002326,-0.12898000,-0.36258811,-0.11121857,-0.46027085,0.33362028,0.00045301,-0.48856735,0.00000000,-0.39614236,-0.35336623,0.00000000,0.00000000,0,16:11:35.7,0,0
8,0.00000000,0.71708763,0.15470350,0.05224728,0.00000000,0.05017992,-0.29320922,-0.26913789,-0.34877759,-0.78103566,-0.00311156,-0.70975667,-0.07805366,0.27789971,-0.64005536,-0.05592034,0.40254906,-0.55726391,0.15362710,-0.16655646,0.03321239,-0.43588993,-0.11767491,-0.38767824,-0.11453381,-0.47917652,1.23637867,-0.07413714,-0.00229173,0.00000000,0.11641789,-0.71275240,0.00000000,0.00000000,0,16:11:35.8,0,0
9,-13.56783485,0.00000000,0.15841597,0.16284497,0.00000000,0.48713595,-0.09842461,-0.24024273,0.38976070,-0.75306380,-0.07447162,-0.69601560,-0.08274345,0.13801710,-0.63380450,0.00395838,-0.24999210,-0.53090692,-0.05892572,-0.16655646,0.02011712,-0.47291067,-0.15394898,-0.33909860,-0.06726467,-0.49279937,0.80886585,-0.21219173,-0.25897992,0.00000000,-1.16448963,-0.10846580,0.00000000,0.00000000,0,16:11:35.9,0,0
10,0.00000000,0.00000000,0.20944193,0.31649259,0.00000000,0.11342940,-0.36943340,-0.25873873,-0.35118824,-0.84534526,0.03291896,-0.79942864,-0.13591549,0.09080450,-0.71421802,-0.09731292,0.59556389,-0.57855028,0.18202512,-0.38881278,-0.01846556,-0.51489997,-0.16656981,-0.38767824,-0.11671676,-0.53729677,0.79232299,-0.05605967,-0.48856735,0.00000000,-0.42252934,0.36669880,0.00000000,0.00000000,0,16:11:36.0,0,0
11,0.00000000,0.00000000,0.33723441,-0.17070161,0.00000000,0.12446301,-0.39191559,-0.24024273,-1.51703823,-0.80024838,-0.17550847,-0.80697024,-0.25787574,-0.07409871,-0.68483871,-0.17726637,-0.68069738,-0.56550670,-0.08052117,-0.30314168,0.01725686,-0.43588993,-0.11767491,-0.33096051,-0.06024744,-0.48638195,-0.26436308,0.00949933,-0.83889669,0.00000000,-0.51611876,1.06125450,0.00000000,0.00000000,0,16:11:36.1,0,0
12,-9.78645611,0.71708763,0.21956997,0.32125834,0.00000000,0.24589030,-0.24776921,-0.25608557,0.09813511,-0.79605412,-0.08094482,-0.71814519,-0.15920278,0.31289306,-0.65561807,-0.10911324,0.00752440,-0.55494380,0.23946236,-0.30314168,-0.00007063,-0.42215961,-0.11750539,-0.37991714,-0.10176851,-0.44812301,0.86283439,-0.01060503,-0.25897992,0.00000000,0.22584152,-0.09948198,0.00000000,4.66779804,0,16:11:36.2,0,0
13,0.00000000,0.00000000,0.26524079,0.30361736,0.00000000,-0.24604701,-0.51132512,-0.31935111,-2.76366782,-0.88762474,-0.23479992,-0.80230564,-0.33296904,-0.05993455,-0.66397679,-0.14220417,-0.30202305,-0.50534242,0.10180035,-0.18308054,0.00332400,-0.38346535,-0.06292276,-0.35614094,-0.07248050,-0.39518097,-1.03541648,-0.01601830,-0.65066254,0.00000000,0.11074539,-0.65378720,0.00000000,0.00000000,0,16:11:36.3,0,0
14,0.00000000,0.71708763,0.23848796,0.17436570,0.00000000,0.28611326,-0.22282498,-0.35525903,0.09496461,-0.93160826,-0.08499105,-0.88253802,-0.27528796,0.59348065,-0.70293349,-0.14952821,0.34038308,-0.56550670,-0.03990357,-0.22706124,-0.05368989,-0.38346535,-0.05370095,-0.36627766,-0.10591024,-0.32425982,0.70244092,0.05372636,-0.48856735,0.00000000,-0.42252934,-0.35336623,0.00000000,0.00000000,0,16:11:36.4,0,0
15,-9.78645611,0.71708763,0.23351818,0.32125834,0.00000000,0.32593632,-0.26264215,-0.39595947,0.14542189,-0.96632260,-0.18588184,-0.89115000,-0.30591100,0.51285106,-0.69411385,-0.10911324,0.12256956,-0.60058248,-0.30582404,-0.16655646,-0.07948445,-0.34262678,-0.01178648,-0.40164542,-0.12255657,-0.30187920,1.09805894,0.04449829,-1.01323164,0.00000000,-0.42252934,0.44994831,0.00000000,0.00000000,0,16:11:36.5,0,0
16,0.00000000,-3.09854603,0.17314883,-0.24829298,-5.73898745,0.04753999,-0.40975940,-0.34594515,-0.86379296,-0.95420486,-0.22572410,-0.94385350,-0.32964507,-0.20019415,-0.73519564,-0.12327742,-0.16138019,-0.56550670,-0.04067456,-0.13881430,-0.05368989,-0.36416498,-0.03632938,-0.35300413,-0.08501385,-0.34496129,0.66203845,0.02146685,-0.22384118,0.00000000,-2.08608723,-0.24769820,0.00000000,0.00000000,0,16:11:36.6,0,0
17,0.00000000,0.71708763,0.20054355,-0.14337596,0.00000000,-0.00361295,-0.41843849,-0.34077218,-0.57257533,-0.97056758,-0.12659034,-0.97995460,-0.43255892,-0.02184594,-0.82295531,-0.14431702,-0.96614695,-0.58929718,-0.00380612,-0.19409150,-0.06455378,-0.40498966,-0.07712790,-0.42849678,-0.14338906,-0.33541590,0.11338729,0.03071356,-0.25897992,0.00000000,-0.42252934,-0.04849731,0.00000000,0.00000000,0,16:11:36.7,0,0
18,0.00000000,0.71708763,0.12250391,-0.24829298,-1.92386603,-0.16243631,-0.49913362,-0.31509906,-0.86379296,-0.93653399,-0.22115213,-0.94860983,-0.42542744,0.15724370,-0.74618059,-0.11168485,-0.20697077,-0.58929718,0.13391939,-0.13881430,-0.06127650,-0.36579597,-0.04210948,-0.41485733,-0.12255657,-0.37399790,0.65400320,0.00254235,0.38939089,0.00000000,-1.47278643,0.70793748,0.00000000,0.00000000,0,16:11:36.8,0,0
19,0.00000000,-1.51492870,0.10949124,-0.41238701,-1.92386603,0.34328759,-0.32051888,-0.36447129,-0.47868884,-1.07541084,-0.20293999,-1.15544343,-0.55151242,-0.05039290,-0.75592768,-0.08055701,-0.23215097,-0.56876785,-0.61218685,-0.13881430,-0.05844732,-0.38020575,-0.04800656,-0.37359893,-0.11050341,-0.32427049,-2.11505103,0.11417685,-0.44634750,0.00000000,-1.47278643,-0.76303107,0.00000000,0.00000000,0,16:11:36.9,0,0
