Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190422153104
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,918,772,883,0,572,568,620,0,707,647,668,624,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,62,62,6,6,6,6,6,6,6,6,44,44,49,49,6,6,44,44,72,72,6,6,6,6,6,6,6,6,49,49,6,6,12,12,7,7,6,6,28,28,12,12,7,7,6,6,7,7,6,6,6,6,49,49,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,60,60,62,62,12,12,6,6,6,6,6,6,6,6,6,6,24,24,7,7,15,15,12,12,12,12,7,7,7,7,72,72,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,70.16,88.96,90.26,100.00,100.00,100.00,14.88,23.93,69.17,100.00,100.00,1.00,34.03,1.00,9.44,9.38,19.73,100.00,1.85,2.68,1.23,16.78,1.60,33.80,3.97,5.34,1.95,4.44,1.58,67.14,3.75,6.22,1.35,26.65,1.48,77.52,3.75,4.03,2.69,4.07,1.78,3.13,4.06,5.70,2.50,3.97,1.00,1.00,3.68,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,44.14,56.98,100.00,100.00,100.00,90.35,100.00,1.00,85.85,100.00,7.14,12.40,11.67,23.90,100.00,100.00,100.00,1.00,2.06,2.71,1.00,4.46,1.12,23.27,33.66,65.66,1.75,4.46,1.32,36.88,1.53,39.91,2.21,3.10,2.14,3.21,2.30,3.28,2.14,4.24,1.00,1.00,100.00,1.00,1.00,100.00,1.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/22 15:31:08
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-0.00353516,-0.07510176,0.71061802,-0.74407005,-0.36480114,1.74475372,0.00000000,0.06509776,-1.38339460,0.81920606,-0.66905057,-0.30886662,0.07256558,0.02756397,-0.05552200,0.69368297,-0.46157399,-0.24150763,4.55408335,-0.14115694,-1.03564286,-0.78180957,-0.45949730,-0.31745368,0.00000000,-0.06837229,0.00000000,-2.21662688,0.00000000,0.69421917,0.25093588,0.00000000,2.12068939,0,15:31:17.1,0,0
2,0.00000000,1.22466695,0.15271161,0.71061802,2.18791461,0.93707764,0.00000000,0.00000000,6.46761799,-0.72019523,0.81920606,-0.55995363,-0.19544028,-0.16275790,0.31146875,-0.01941757,-0.78919858,-0.25435731,-0.04520930,3.62820506,0.07858182,-1.02209044,-0.77082193,-0.42131871,-0.26980183,0.00000000,0.18240538,0.00000000,2.75361705,0.00000000,0.62151021,-2.73498917,0.00000000,0.00000000,0,15:31:17.2,0,0
3,0.00000000,-0.00353516,-0.13689567,0.22753476,0.60429734,-0.04235180,2.39198375,0.00000000,0.60698307,-0.66840690,0.90834588,-0.56462091,-0.29505941,0.03407897,0.11504223,-0.02361774,0.25382453,-0.32274577,-0.26046559,3.92847943,0.00910503,-1.00356603,-0.77752298,-0.42325786,-0.33112869,0.00000000,0.16102102,0.00000000,-2.21662688,0.00000000,0.45896924,0.63816082,0.00000000,-2.64227700,0,15:31:17.3,0,0
4,0.00000000,-0.00353516,0.41914052,0.61921734,-0.62390476,-0.21675786,-1.46686792,0.00000000,-1.56509519,-0.92126852,0.90834588,-0.53226781,-0.21526168,-0.08181000,0.07330967,0.00095774,0.02135540,-0.25638288,0.19787252,4.41130781,0.06479524,-1.04143906,-0.79865474,-0.42519939,-0.35342395,0.00000000,0.24149276,0.00000000,1.67171574,0.00000000,-0.76923281,-1.00038540,0.00000000,-2.30600333,0,15:31:17.4,0,0
5,0.00000000,-0.00353516,-0.49151790,0.22753476,0.60429734,0.25455120,-0.53279442,0.00000000,-0.10433211,-1.14327979,-0.22972590,-0.54713023,-0.18589176,0.13027696,0.15038645,0.04077685,0.07433989,-0.25594068,0.02237335,4.44524384,0.06617862,-1.07639980,-0.79783112,-0.40469599,-0.36611560,0.00000000,0.32309026,0.00000000,-2.21662688,0.00000000,-0.29767200,-0.03034124,0.00000000,-2.64227700,0,15:31:17.5,0,0
6,0.00000000,-0.00353516,-0.45415279,-0.24599792,-3.04879522,-0.58086854,13.84838772,-1.68874681,2.38371158,-1.53650987,-1.57809329,-0.65464479,-0.39084768,-0.65708649,0.07319901,-0.01451935,-1.31493235,-0.25602570,-0.26640400,4.10826254,0.09721185,-1.16975105,-0.85726213,-0.52962250,-0.52815932,0.00000000,0.21994497,0.00000000,6.56873846,0.00000000,0.62151021,1.23914325,0.00000000,-0.33726919,0,15:31:17.6,0,0
7,0.00000000,-0.00353516,-0.80877501,-1.33538496,-3.04879522,-0.19794431,-5.66646576,0.00000000,0.80012769,-0.99279100,-0.22972590,-0.54405534,-0.17190555,0.04212305,0.25114384,0.07262052,-0.26059234,-0.21814604,0.02331317,3.75234437,0.14460899,-1.14675045,-0.82638246,-0.64679229,-0.61975098,0.00000000,0.26312524,0.00000000,1.67171574,0.00000000,-2.11760020,0.86164808,-9.88526821,3.07425594,0,15:31:17.7,0,0
8,0.00000000,-1.85564375,-0.02195326,0.12318919,-0.67088044,-0.15841582,-1.41557944,-5.50386810,-2.17019486,-0.63814127,1.37810314,-0.59532821,-0.26156577,-0.10749336,0.41239291,0.08630314,-0.40259168,-0.23314828,0.14421098,4.50109291,0.13723171,-1.12332642,-0.84246427,-0.71902502,-0.80931807,0.00000000,-0.02734016,0.00000000,1.16493130,0.00000000,1.41563678,-0.44432655,5.19098425,-2.46110153,0,15:31:17.8,0,0
9,0.00000000,-0.00353516,-0.20191061,-1.33538496,0.04295327,-1.24728835,1.16568100,0.00000000,0.60698307,-0.05670361,-0.04832171,-0.55000383,-0.25196731,-0.17724326,0.61513484,0.22164425,-0.70267463,-0.10641343,-0.10237234,3.48196721,0.20626393,-1.14435291,-0.90150535,-0.84775937,-0.94868547,0.00000000,-0.01186585,0.00000000,2.75361705,0.00000000,3.51796174,-1.99320889,0.00000000,0.00000000,0,15:31:17.9,0,0
10,0.00000000,-0.00353516,-0.49151790,-0.21652101,-0.74407005,0.76642740,5.86725187,0.00000000,1.00029647,-0.13505414,0.90834588,-0.53068411,-0.25836957,-0.09674042,0.87024784,0.33279881,-1.78071952,-0.04897415,-0.46450314,3.24115252,0.24706686,-1.07832217,-0.84833747,-0.85488462,-0.95813650,0.00000000,-0.15951359,0.00000000,1.59900677,0.00000000,2.04258657,0.17781411,0.00000000,-2.64227700,0,15:31:18.0,0,0
11,0.00000000,-1.00717843,-0.58271438,-0.65595037,-1.97227216,-0.45130092,-2.64020896,-7.73588419,-2.50371671,-0.75698769,0.55132586,-0.58921129,-0.24229220,0.13853087,0.74481642,0.26393300,-0.17439176,0.00521653,0.45979589,2.63028550,0.21585263,-1.13605130,-0.84198898,-0.85721236,-0.92017895,-17.15865326,-0.25413576,0.00000000,0.20826377,0.00000000,0.18743476,-0.64668393,-2.38955808,-3.38064480,0,15:31:18.1,0,0
12,0.00000000,-1.00717843,-0.88399076,-0.65595037,-1.97227216,-0.33435366,-2.84000850,-7.73588419,-2.50371671,-0.56976795,0.63614273,-0.63526845,-0.24875534,-0.12539358,0.43956196,0.20503874,-0.35837927,-0.25511390,-0.43105766,3.85486150,0.07458540,-1.15500188,-0.85241300,-0.84990615,-0.87901098,0.00000000,-0.23430774,0.00000000,1.43646586,0.00000000,-0.88939816,0.62311393,-9.88526821,0.50370026,0,15:31:18.2,0,0
13,0.00000000,-1.00717843,-0.33609095,-0.21189463,0.33276293,0.14429349,0.53926617,0.00000000,-1.16727507,0.00501827,-0.04832171,-0.48446706,0.05151291,0.11360136,0.80463785,0.22865964,-1.13741922,-0.12738219,0.28466138,2.56375051,0.19794065,-1.13362229,-0.82200539,-0.76432306,-0.78753215,0.00000000,-0.06837229,0.00000000,1.67171574,0.00000000,2.04258657,-0.29728335,0.00000000,1.50945950,0,15:31:18.3,0,0
14,0.00000000,-0.00353516,0.33191937,-0.21652101,-0.74407005,-0.03023153,-1.23934197,0.00000000,-0.58776462,-0.60073823,-0.13746153,-0.54853153,-0.25673896,0.04935789,0.53866255,0.17680743,-0.44540530,-0.14615013,0.14577687,1.94772422,0.21690635,-1.15486884,-0.78440386,-0.76432306,-0.73639774,0.00000000,-0.32276419,0.00000000,-0.63300955,0.00000000,0.45896924,0.17252226,0.00000000,-0.34650046,0,15:31:18.4,0,0
15,0.00000000,-1.00717843,-0.13689567,-0.65595037,-1.97227216,0.03677437,-2.83782959,0.00000000,-0.10433211,-0.78262323,0.72694170,-0.58781946,-0.29505941,-0.09769838,0.49645621,0.13381360,-0.48305461,-0.09357557,0.42649034,3.66558337,0.28086466,-1.08389962,-0.69623709,-0.65608060,-0.64368182,0.00000000,-0.39544687,0.00000000,-0.63300955,0.00000000,-2.11760020,-0.82642788,0.00000000,-1.30235994,0,15:31:18.5,0,0
16,0.00000000,2.80828428,0.06451830,0.27753291,0.76683849,0.82246405,3.19996810,-1.68874681,-0.58776462,-0.98860741,1.37810314,-0.60535854,-0.24299552,-0.45789418,0.47818393,0.09121858,-1.23985660,-0.12988056,-0.06709820,3.24115252,0.28021494,-1.07093990,-0.67176360,-0.63402367,-0.57890058,0.00000000,-0.30816031,0.00000000,1.67171574,0.00000000,-0.88939816,0.13141337,0.00000000,-2.64227700,0,15:31:18.6,0,0
17,0.00000000,2.80828428,0.15271161,1.23414886,8.23505211,1.21368647,-2.65514302,-5.50386810,2.65225554,-1.49395490,-0.40534174,-0.61044985,-0.32454661,-0.17521663,0.46637082,0.06777886,-1.00691140,-0.20065530,-0.02126860,2.55275059,0.22834006,-1.12909675,-0.70733827,-0.58321989,-0.54537362,0.00000000,-0.36165977,0.00000000,2.75361705,0.00000000,2.92623544,-0.03034124,0.00000000,-2.64227700,0,15:31:18.7,0,0
18,0.00000000,-0.00353516,0.64917648,-0.24599792,-1.46517801,0.37060565,0.97548962,0.00000000,-0.88511610,-0.93651241,-0.13746153,-0.56712306,-0.20931588,-0.18481512,0.55748904,0.06022296,-0.38203108,-0.27295434,-0.09941141,3.54803658,0.17502631,-1.08141291,-0.68286586,-0.55572051,-0.48638341,0.00000000,-0.28858724,0.00000000,0.52160072,0.00000000,-3.19412351,-1.36014354,0.00000000,4.68997478,0,15:31:18.8,0,0
19,0.00000000,-0.00353516,-0.10647137,-0.21652101,-0.74407005,-0.11497058,-4.56348181,0.00000000,-0.10433211,-0.85298359,-0.13746153,-0.55086917,-0.22398724,-0.59469235,0.53088677,-0.01252152,-0.67788178,-0.23778588,0.04996713,4.86325788,0.21976553,-1.07324159,-0.65888673,-0.52962250,-0.48290935,0.00000000,-0.26888350,0.00000000,1.67171574,0.00000000,2.04258657,-0.34613770,0.00000000,-0.74120682,0,15:31:18.9,0,0
