Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190415153229
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1749,1261,563,562,543,0,522,538,550,0,567,565,533,545,1894,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,88,88,6,6,120,120,6,6,6,6,31,31,47,47,6,6,48,48,6,6,124,124,7,7,6,6,6,6,88,88,6,6,6,6,12,12,6,6,7,7,7,7,6,6,6,6,31,31,15,15,72,72,12,12,7,7,62,62,6,6,98,98,31,31,6,6,31,31,6,6,6,6,62,62,72,72,49,49,98,98,15,15,15,15,144,144,6,6,15,15,6,6,24,24,98,98,49,49,15,15,15,15,12,12,72,72,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,1.00,100.00,100.00,94.70,100.00,100.00,100.00,12.69,15.47,20.48,54.43,23.39,85.70,18.78,1.00,2.55,1.83,2.35,11.34,6.50,4.09,1.00,13.84,5.87,73.36,7.05,7.65,3.39,5.01,3.42,93.17,10.45,9.51,1.72,38.62,7.48,100.00,11.56,11.18,5.97,7.98,6.63,4.39,6.95,5.96,7.14,3.65,5.56,6.01,1.65,55.75,1.68,20.48,2.42,5.19,16.64,100.00,100.00,100.00,43.30,60.64,100.00,100.00,1.00,100.00,100.00,1.00,100.00,100.00,7.11,11.63,31.94,100.00,3.94,19.46,100.00,100.00,4.39,2.80,1.46,30.67,1.00,8.39,33.58,43.69,2.27,6.21,1.26,31.36,1.11,21.56,16.01,16.02,4.49,4.86,3.48,2.15,4.16,3.48,1.41,100.00,2.91,71.23,15.04,36.57,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/15 15:32:32
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-1.01865554,1.32955039,-0.85762095,0.78474295,1.00401497,1.35484326,-0.32716906,-0.41196337,-0.47701123,16.40980530,-0.84917712,-0.37740374,0.10468498,0.00000000,1.14449978,-1.11796248,-0.71815908,-0.11719409,0.00217935,-0.12535220,-0.79999554,-0.76880127,-1.39336693,-1.08990788,-2.20050144,-0.85730594,0.13697496,-3.07098889,2.10301948,0.00000000,-0.91578817,0.07171924,0.00000000,0,15:32:42.1,0,0
2,0.00000000,-2.02229905,0.84330863,-1.20795035,-1.51998234,0.77545202,0.29664502,-0.22402753,-0.59463251,-0.49923396,16.40980530,-0.79837155,-0.25124690,0.04891839,0.00000000,1.06472659,-0.70367503,-0.61377370,-0.21642351,-0.03403483,-0.08958756,-0.76494581,-0.75743699,-1.15598714,-0.85895187,-1.99212897,-2.01822448,0.03593718,-2.98478556,1.90441680,0.00000000,-0.84875029,0.07171924,0.00000000,0,15:32:42.2,0,0
3,0.00000000,1.79316378,0.84330863,-0.01047432,2.29513884,0.58105165,-0.50931323,-0.32716906,0.06786679,-0.45236686,19.49511909,-0.70556390,-0.33830217,-0.18262278,0.00000000,1.15566123,-1.69741857,-0.53144538,-0.21903963,0.14026113,0.13254258,-0.71117389,-0.76245457,-1.03212440,-0.73822784,-1.99415159,-2.02309394,-0.12107585,-3.00496793,1.99983478,0.00000000,0.09374689,0.07171924,0.00000000,0,15:32:42.3,0,0
4,0.00000000,0.20954649,0.10134833,-0.45257705,2.29513884,0.70572090,-0.30653745,-0.32716906,0.26884642,-0.41637528,19.49511909,-0.71807563,-0.33627635,1.31867647,0.00000000,1.21752942,0.28324592,-0.58799368,-0.00552414,0.17298649,0.06407676,-0.54192132,-0.63483179,-0.87118232,-0.53839940,-1.79336941,-4.67547178,-0.28740439,-3.09075713,2.10301948,0.00000000,-0.46980256,0.07171924,0.00000000,0,15:32:42.4,0,0
5,0.00000000,0.20954649,0.84330863,-0.54066986,0.78474295,0.57713842,0.78927404,-0.32716906,-0.22804482,-0.40519726,19.49511909,-0.77281678,-0.20585416,0.80496514,0.00000000,1.22026372,-0.09141505,-0.63893616,-0.11942185,0.03409200,0.02792333,-0.72793168,-0.89215279,-0.88167983,-0.60136229,-1.67101693,-0.16821674,-0.31640136,-3.02700782,2.10301948,0.00000000,-1.21275663,0.07171924,-5.86587381,0,15:32:42.5,0,0
6,0.00000000,-2.02229905,2.07151079,-0.92183995,-0.09890625,0.57797152,0.64523786,-0.08266131,-0.68377227,-0.44515151,19.49511909,-0.82416385,-0.33243445,1.20073819,0.00000000,1.09575951,1.11100161,-0.73885965,0.12746045,3.26727843,-0.01915265,-0.68510807,-0.88200760,-0.88167983,-0.56774712,-1.58965456,-0.00307649,-0.24334075,-2.99665713,1.90441680,0.00000000,-0.65188146,0.07171924,-0.61667168,0,15:32:42.6,0,0
7,-1.97347355,-2.87076402,2.07151079,-1.27831602,-1.44727361,0.67054427,0.87970012,-0.08266131,-0.76688498,-0.49163482,19.49511909,-0.81160903,-0.34344554,0.33448666,0.00000000,1.03344035,-0.27634987,-0.66818446,-0.25654483,0.14026113,-0.10094042,-0.60970265,-0.71555614,-1.03447056,-0.83639991,-1.78845680,1.13761759,-0.09088818,-3.02132583,1.70692158,0.00000000,-1.06522119,0.07171924,-5.01988840,0,15:32:42.7,0,0
8,0.00000000,-1.01865554,1.32955039,-1.20795035,-0.69397372,0.93309283,0.92119896,-0.43274260,-0.22804482,-0.50238198,19.49511909,-0.90667105,-0.36546966,-1.59246910,0.00000000,0.99380457,-3.48860908,-0.58401024,0.10405702,5.73861885,0.07323371,-0.66676939,-0.68454278,-1.08123302,-0.85791093,-2.07411051,-1.37123907,0.12965824,-3.01451802,1.70692158,0.00000000,-0.60208005,0.07171924,0.00000000,0,15:32:42.8,0,0
9,0.00000000,-1.01865554,0.84330863,-0.85762095,-1.51998234,0.74249965,-1.16697228,-0.53208095,0.48322266,-0.51657528,19.49511909,-0.78518695,-0.38184547,0.32303751,0.00000000,1.16712058,-1.06305826,-0.47955796,-0.27517328,0.24380021,0.13254258,-0.60129023,-0.55904359,-1.10804796,-0.98268276,-2.05788517,-2.06330538,0.09137636,-3.05489540,1.61640775,0.00000000,-2.16633439,0.07171924,0.00000000,0,15:32:42.9,0,0
10,0.00000000,-2.02229905,1.32955039,-0.54066986,2.13311028,1.12059665,2.19038939,-0.28757322,-1.18167472,-0.52713054,19.49511909,-0.80588341,-0.07180968,1.49258840,0.00000000,1.02359605,1.02023327,-0.47680739,0.29553315,0.14026113,0.01864324,-0.64946413,-0.60520458,-1.12373626,-1.20919406,-2.22765183,0.89881909,0.10490069,-3.12901020,1.61640775,0.00000000,0.42682031,0.07171924,2.43032360,0,15:32:43.0,0,0
11,0.00000000,4.02518034,0.10134833,-0.75248635,0.00000000,0.90471518,1.33606243,-0.15479383,-0.03250519,-0.54061902,19.49511909,-0.82829517,-0.36298656,-0.51586187,0.00000000,1.12865078,-3.39604449,-0.47651947,-0.01084672,0.14026113,0.13522545,-0.74491799,-0.69125503,-1.14953947,-1.13562810,-2.26987672,-0.39346102,0.00522882,-3.17098236,1.52187812,0.00000000,1.28136969,0.07171924,0.73169565,0,15:32:43.1,0,0
12,0.00000000,-2.87076402,0.84330863,-1.59526718,-3.03089070,0.60207045,0.49171963,-0.38515061,-0.85329962,-0.57481319,19.49511909,-0.93449014,-0.23585635,1.45450354,0.00000000,1.12386918,0.51854140,-0.81511790,0.13458267,3.61045337,-0.13555045,-0.61049724,-0.57806623,-1.27590084,-1.35131288,-2.20946240,0.36738431,0.06258354,-3.02635241,1.42887795,0.00000000,-1.03182757,0.07171924,-4.51750660,0,15:32:43.2,0,0
13,-1.97347355,-1.01865554,0.84330863,-1.58912039,-3.75199890,0.96555787,1.23261988,-0.38515061,-0.32327005,-0.57847583,19.49511909,-0.89230293,-0.26088381,-0.15163675,0.00000000,1.05735362,-0.64435583,-0.61012501,0.27236572,0.21065204,-0.01915265,-0.65809804,-0.62839240,-1.13460910,-1.11716688,-2.09477115,0.33222312,0.04638555,-2.96914601,1.52187812,0.00000000,-1.21275663,0.07171924,-5.92731190,0,15:32:43.3,0,0
14,-5.78859472,-1.01865554,0.84330863,-1.23879111,0.78474295,1.28437281,2.15975928,-0.28757322,-0.22804482,-0.56809419,19.49511909,-0.78055334,-0.33243445,1.34990251,0.00000000,1.19815350,0.89489591,-0.68944263,-0.02016868,0.07081588,0.03784966,-0.66724491,-0.73093694,-0.90894157,-0.88939327,-1.99212897,0.87380564,0.03593718,-2.82315826,1.52187812,0.00000000,0.64091116,0.07171924,4.38492584,0,15:32:43.4,0,0
15,0.00000000,-2.02229905,1.32955039,-2.42485881,-2.92599034,0.55816048,-1.26144004,-0.28757322,0.06786679,-0.58567196,19.49511909,-0.88459343,-0.37740374,-0.36260873,0.00000000,1.18548894,-2.40078187,-0.72453046,-0.48800343,0.35413370,-0.01792904,-0.54192400,-0.61626089,-0.96757352,-0.90772510,-1.74663520,-1.39894700,-0.03874203,-2.70423579,1.52187812,0.00000000,-1.65742540,0.07171924,0.00000000,0,15:32:43.5,0,0
16,-1.97347355,0.20954649,2.07151079,-0.54066986,0.78474295,0.92904758,0.72874939,-0.28757322,-0.50408554,-0.62887108,19.49511909,-0.92415839,-0.33540568,1.17040730,0.00000000,0.99580491,0.37460768,-0.58543718,0.12996143,0.00217935,0.01864324,-0.58729839,-0.67180401,-0.69147211,-0.71320039,-1.55859232,0.45062098,-0.03804045,-2.43376732,1.34278750,0.00000000,0.21562943,0.07171924,-0.61667168,0,15:32:43.6,0,0
17,-5.78859472,0.20954649,1.32955039,-0.80290645,2.29513884,0.77848119,0.45897108,-0.38515061,-0.50408554,-0.69814581,16.47564125,-0.96150208,-0.51674616,1.55216360,0.00000000,0.95249361,1.13956630,-0.71357542,0.06606022,5.80765676,-0.10164303,-0.43709695,-0.51995862,-0.72572672,-0.73283684,-1.29121947,-0.28015724,-0.08113006,-2.17475510,1.25273991,0.00000000,0.43139836,0.07171924,0.00000000,0,15:32:43.7,0,0
18,0.00000000,0.20954649,1.32955039,-0.45257705,0.78474295,0.93309283,0.27722177,-0.28757322,-0.41196337,-0.65216565,16.47564125,-1.05446362,-0.67492807,-1.19796824,0.00000000,0.79625678,-2.05881596,-0.56015289,0.11162797,-0.03403483,0.14737263,-0.60521317,-0.61626089,-0.90880132,-0.97987449,-1.46818841,-0.51107997,-0.07788473,-2.23096752,1.42887795,0.00000000,-0.64199728,0.07171924,0.00000000,0,15:32:43.8,0,0
19,0.00000000,0.20954649,1.32955039,-0.45257705,4.59986401,0.95398122,1.15384161,-0.32716906,-0.32327005,-0.59957689,14.96571636,-0.83033192,-0.64588970,-1.31642020,0.00000000,0.58180648,-2.30035925,-0.58435416,0.27434576,-0.19863038,-0.02430630,-0.84139663,-0.71702325,-0.73701870,-0.76371163,-0.94162297,0.18859959,-0.00373828,-1.81570995,1.42887795,0.00000000,-1.15391529,0.07171924,0.00000000,0,15:32:43.9,0,0
