Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190414131106
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,819,713,778,689,713,0,672,627,610,0,657,618,543,551,1909,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,49,49,6,6,112,112,6,6,6,6,24,24,15,15,6,6,30,30,6,6,6,6,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,6,6,7,7,7,7,6,6,31,31,62,62,144,144,15,15,22,22,144,144,6,6,6,6,31,31,6,6,44,44,6,6,6,6,31,31,31,31,6,6,15,15,7,7,6,6,6,6,24,24,15,15,7,7,6,6,22,22,24,24,7,7,150,150,56,56,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,28.42,34.76,100.00,100.00,1.00,1.00,3.72,11.35,4.22,13.20,1.17,3.22,4.61,16.35,1.53,2.63,1.00,17.09,3.81,5.31,1.89,33.63,1.62,29.50,1.68,2.77,2.33,5.09,2.00,44.16,2.77,4.63,2.28,64.25,1.24,25.27,4.90,6.44,2.66,4.69,3.02,2.36,3.40,7.51,8.00,13.80,100.00,100.00,2.11,100.00,1.18,19.97,100.00,100.00,25.36,1.00,100.00,100.00,39.41,47.58,45.80,100.00,1.00,56.14,100.00,1.00,100.00,100.00,3.26,9.96,3.23,12.44,1.95,5.13,2.68,5.79,2.60,3.64,1.00,4.11,1.01,16.28,1.46,3.73,1.48,3.09,1.07,24.56,1.00,4.84,2.15,8.88,1.89,3.72,3.49,2.94,6.70,6.66,1.74,69.81,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/14 13:11:12
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-2.03888154,0.26884255,-0.15281168,0.26414564,0.00000000,-0.13665737,-0.35016134,-0.41483125,-0.70464349,-0.32003817,-0.38092998,-0.54552686,0.47579560,-2.92748451,0.55446875,-1.26470459,5.95635462,0.16307348,0.04207022,0.00823601,0.12823918,0.09478545,0.22950053,-0.21439336,-0.94120872,0.00000000,-0.68944758,1.53737116,0.01795561,-1.37865639,-2.66906357,-0.11757497,-0.36621717,0.40313184,0,13:11:21.1,0,0
2,2.62504625,4.08447647,0.86987996,0.30621275,0.00000000,0.37817237,0.09563122,-0.29919440,-0.18977904,-0.27060080,-0.45853394,-0.57072777,0.29530105,-2.67170095,0.56171972,-1.20152557,6.41431761,0.21957591,-0.17718537,-0.12312958,0.19786182,0.08047175,0.22147471,-0.12867150,-0.49595422,0.00000000,-1.10423875,1.61672664,0.01795561,-0.91702116,1.14657021,1.54022455,-0.87877733,-2.08125472,0,13:11:21.2,0,0
3,2.62504625,0.26884255,0.50735122,0.19678907,0.00000000,0.42713088,0.14816184,-0.11689813,-0.01456428,-0.25193703,-0.45434842,-0.56192815,0.45360819,-2.43165231,0.55256128,-1.19718730,6.52932596,0.18718711,-0.08786666,-0.00484007,0.11675031,0.09896182,0.20122232,-0.07894850,-0.56029069,0.00000000,1.68695390,1.48136485,0.01795561,-1.03384459,-0.36433810,0.44570252,-0.13443340,0.73533034,0,13:11:21.3,0,0
4,4.35156107,-0.95935959,0.18643035,-0.31577113,0.00000000,-0.00127734,-0.19689105,-0.16643310,-0.56323367,-0.29407692,-0.48725826,-0.61983192,0.43449384,-2.28701043,0.55814523,-1.15461278,6.81891489,0.21128362,0.06883971,0.05270573,0.19371949,0.07261238,0.15770842,-0.05331817,-0.32435742,0.00000000,4.85492659,1.54193783,0.01795561,-1.03384459,1.21927917,-1.08614409,-0.13443340,-0.16714580,0,13:11:21.4,0,0
5,-0.18677296,1.85245979,-0.00598999,-0.43574759,0.00000000,-0.11957023,-0.34974113,-0.21741232,-0.78167582,-0.28983715,-0.39295045,-0.63137347,0.25342262,-2.47499967,0.53211260,-1.19718730,6.60913467,0.18568444,-0.30493197,-0.21724026,0.14892705,0.02477717,0.15019467,-0.12244321,-0.39935878,0.00000000,-0.56323820,1.11844802,0.01795561,-0.54600805,2.56764650,0.96712750,-0.14895923,-0.16714580,0,13:11:21.5,0,0
6,1.04142916,-1.96300280,-0.01610000,-1.44673908,0.00000000,-0.07642949,-0.33031923,-0.10804120,-0.69136715,-0.34193429,-0.47495171,-0.64978129,0.54055178,-2.59477997,0.52569646,-1.16641212,6.54419661,0.14130288,-0.29721794,0.14092284,0.04067245,0.05082282,0.15636334,-0.13027428,-0.25607559,0.00000000,2.31555295,1.56927145,0.01795561,-0.54600805,1.94069695,-0.45177060,-0.17779443,-0.16714580,0,13:11:21.6,0,0
7,-0.18677296,1.85245979,-0.18907245,2.16014338,0.00000000,0.11192587,-0.21391235,-0.02972325,-0.63466078,-0.35477588,-0.48314255,-0.63170379,0.55571365,-2.35731316,0.54027301,-1.10276878,7.07764244,0.17584443,-0.33530053,-0.03487687,0.08938131,0.07420151,0.18184608,-0.19226435,-0.27579814,0.00000000,-0.49368641,1.60876930,0.01795561,-0.28222698,3.45129561,1.09861434,-0.49928862,0.57339615,0,13:11:21.7,0,0
8,-0.18677296,0.26884255,0.45075426,-0.92207485,0.00000000,0.14368412,-0.13393636,-0.05345612,-0.49518770,-0.35419118,-0.45027393,-0.65650749,0.34365061,-2.12856841,0.52801216,-1.05699301,7.18303251,0.13923675,-0.84333533,0.01256547,0.04924655,0.03774673,0.14364012,-0.17785954,-0.67182302,0.00000000,-0.49368641,1.82883775,0.01795561,-0.14816928,3.45129561,0.00932248,-0.49928862,-1.41518784,0,13:11:21.8,0,0
9,-0.18677296,0.26884255,-0.00598999,0.77670586,0.00000000,0.10690380,-0.15788497,-0.03111611,-0.46145660,-0.31724662,-0.45847085,-0.55829620,0.67865527,-2.43955493,0.56895518,-1.15563452,6.66103268,0.23434727,0.03557029,-0.05235092,0.18249133,0.05082282,0.14364012,-0.08834194,-0.13888916,0.00000000,-0.44505128,1.71964467,0.01795561,-0.28222698,-0.36433810,-0.04152955,-0.32456714,-0.16714580,0,13:11:21.9,0,0
10,2.62504625,1.85245979,0.27852023,0.26414564,0.00000000,0.16677232,-0.14237975,0.09369502,-0.38927361,-0.26139629,-0.46253929,-0.60336995,0.26100904,-2.26718044,0.54626572,-1.11970413,6.86349583,0.20031409,-0.15402824,0.00385581,0.16704984,0.08193658,0.17584917,-0.07984710,-0.53817117,0.00000000,-2.50489044,1.54469824,0.01795561,-0.41829634,0.98402929,0.58130527,-0.00761600,0.40313184,0,13:11:22.0,0,0
11,-0.18677296,-1.96300280,0.11151224,-1.92571819,0.00000000,0.37894514,0.15347266,0.14105985,-0.06436943,-0.25208569,-0.46665496,-0.56192815,0.33605376,-2.31464386,0.56781805,-1.16120422,6.99573660,0.20031409,-0.30493197,0.07882626,0.12692599,0.09896182,0.18907695,-0.11271210,-0.10818936,0.00000000,1.98725963,1.66107810,0.01795561,-0.54600805,1.94069695,0.10769992,-0.00761600,0.40313184,0,13:11:22.1,0,0
12,3.34791803,-1.96300280,0.45075426,-0.84043539,0.00000000,0.29847339,0.05882045,0.07948139,-0.13194950,-0.28061008,-0.45847085,-0.61497217,0.36247677,-2.23556042,0.55256128,-1.17187011,6.80414963,0.16364686,-0.33186987,0.19306390,0.10501258,0.10928825,0.19960795,-0.02084099,0.07588010,0.00000000,4.34292459,1.62154233,0.01795561,-0.67088515,1.94069695,0.20275979,-0.17779443,1.18113744,0,13:11:22.2,0,0
13,-0.18677296,-0.95935959,0.11151224,-0.31577113,0.00000000,-0.19722217,-0.41036877,0.13206562,-0.82450712,-0.30362627,-0.52476633,-0.64031911,0.23069404,-2.48531699,0.55060327,-1.17568278,6.69334555,0.20844537,-0.14241327,0.00385581,0.14892705,0.06095237,0.14847071,-0.04319891,-0.06232206,0.00000000,3.36593843,1.59241593,0.01795561,-0.91702116,-1.59254014,-0.49087998,-0.49474558,-0.38127559,0,13:11:22.3,0,0
14,-1.19041622,-0.95935959,-0.32056275,-0.92207485,0.00000000,-0.11899649,-0.36692494,0.19472648,-0.73824447,-0.33664408,-0.61902845,-0.68130219,0.29139036,-2.46145558,0.51971817,-1.16531289,6.60176659,0.22212198,0.17854290,0.07882626,0.12823918,0.06387508,0.16160411,-0.16349839,-0.51786351,0.00000000,-0.28736091,1.61753130,0.01795561,-0.67088515,-0.36433810,0.24755424,-0.67489654,0.73533034,0,13:11:22.4,0,0
15,4.35156107,-2.81146812,-0.18907245,-0.80685425,0.00000000,0.27292842,0.03919358,0.22310397,-0.21972589,-0.35491663,-0.63129908,-0.72999740,0.51078606,-2.12856841,0.50073099,-1.13723922,7.19730377,0.17514694,0.24765787,0.07882626,0.06784052,0.05341173,0.13665573,-0.12040762,-0.28378955,0.00000000,6.03789473,1.68059027,0.01795561,-1.03384459,0.71249485,-0.97300500,-0.34286898,-16.13671112,0,13:11:22.5,0,0
16,-1.19041622,1.85245979,-0.64806074,0.91251647,0.00000000,-0.16178246,-0.35185143,0.28457680,-0.73200536,-0.38228920,-0.69639266,-0.74121827,0.28563887,-2.44946170,0.47645524,-1.15461278,6.66396666,0.15342198,-0.00732851,0.03002557,0.08934316,0.02636707,0.16160411,-0.10818137,-0.01624572,0.00000000,-0.72549725,0.89661634,0.01795561,-0.91702116,-0.36433810,0.95875996,-0.49474558,0.73533034,0,13:11:22.6,0,0
17,1.04142916,-2.81146812,-0.52573562,-1.31941438,0.00000000,0.06450187,-0.08456195,0.34419233,-0.27415240,-0.29071522,-0.79127669,-0.71027905,0.49884823,-2.48531699,0.52688187,-1.14486504,6.69334555,0.24264662,0.21304932,0.10942150,0.19371949,0.03172936,0.05521431,-0.01295498,-0.01772104,0.00000000,5.48736620,1.68733037,0.01795561,-0.91702116,1.45445502,-0.02363104,0.11155813,-12.55256748,0,13:11:22.7,0,0
18,-1.19041622,-2.81146812,-0.47785625,-1.31941438,0.00000000,0.01529781,-0.13492540,0.28173384,-0.34290892,-0.24182561,-0.91039115,-0.61999679,0.35892275,-2.46541500,0.54525810,-1.12048376,6.75253248,0.24399877,0.22078903,0.07397484,0.21989675,0.05227085,0.09040970,-0.08392027,-0.02093375,0.00000000,0.12045076,1.23913360,0.01795561,-0.54600805,-1.59254014,-0.08356273,-0.67489654,0.22367693,0,13:11:22.8,0,0
19,-1.19041622,4.08447647,-0.64806074,1.04127932,0.00000000,0.23063187,0.03553623,0.25652659,-0.16732532,-0.24685015,-0.89819360,-0.66351283,0.12371987,-2.55908132,0.52705944,-1.13822436,6.54419661,0.21091907,-0.76800245,0.02677824,0.18749991,0.11012591,0.13523081,0.13705838,1.31316841,0.00000000,-1.55381370,1.46071827,0.01795561,-0.14816928,1.14657021,1.32450080,-0.32187283,-0.38127559,0,13:11:22.9,0,0
