Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190406131938
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,823,716,663,0,612,591,625,0,612,591,2000,1409,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Under,Under,Over,Over,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,56,56,6,6,112,112,6,6,6,6,15,15,7,7,12,12,31,31,15,15,15,15,6,6,7,7,7,7,6,6,6,6,6,6,7,7,7,7,6,6,7,7,24,24,6,6,47,47,12,12,6,6,7,7,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,31,31,7,7,24,24,6,6,6,6,6,6,7,7,7,7,6,6,6,6,60,60,62,62,6,6,6,6,12,12,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,4.95,11.10,3.53,6.67,1.92,4.17,7.32,22.08,2.05,4.48,1.20,22.98,2.12,2.43,1.33,20.23,1.58,32.11,2.02,2.86,2.18,5.09,1.12,28.31,4.13,5.76,2.50,100.00,1.32,29.28,3.85,3.89,2.59,3.96,1.66,5.22,4.89,7.79,2.21,7.47,100.00,100.00,2.60,100.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,55.16,87.22,100.00,100.00,18.71,27.66,100.00,1.00,100.00,100.00,6.43,17.40,3.45,10.82,2.17,3.96,2.59,5.35,2.02,2.54,1.00,17.45,1.00,16.59,9.14,18.25,2.98,6.01,1.00,6.23,1.00,6.76,3.50,3.52,100.00,100.00,1.00,3.32,1.00,3.43,1.54,1.00,100.00,1.00,100.00,100.00,1.00,100.00,1.00,1.00

Measurement Information
Date,2019/04/06 13:19:42
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-11.43216705,0.83800870,-0.19226722,-0.00386874,-0.13369520,-0.09395901,-0.18438515,-0.25718138,0.45741722,0.44781256,0.03429423,0.75167149,3.88864374,0.03548718,0.78269875,-1.45924699,0.30099601,0.18792982,0.92188907,0.11285313,0.13131535,0.13025424,-0.20199735,0.03183017,0.85206121,4.67509604,0.00000000,0.48917660,0.00000000,-1.97942638,-0.05370963,-0.95086253,0.09610279,0,13:19:51.1,0,0
2,0.00000000,0.00000000,2.60519409,1.33913517,0.99628270,-0.29461983,-0.17211732,-0.17270827,-0.64759660,0.49762121,0.49071440,0.05715532,0.67219299,3.77896428,0.07071818,0.84664863,-1.63270664,0.40303358,-0.83106792,0.11651213,0.19544896,0.08531200,0.02394344,-0.03921599,-0.09901317,0.20868438,-0.10007065,0.00000000,1.87991977,0.00000000,-1.09594822,1.06335890,-0.45977941,0.37109235,0,13:19:51.2,0,0
3,0.00000000,0.00000000,0.65064114,1.11662889,0.47161838,-0.16781317,-0.06060048,-0.16074568,-0.32255501,0.49530619,0.52310067,0.06203815,0.70362204,3.94828272,0.10469066,0.82633567,-1.70468724,0.35551342,-1.57307982,-0.32415858,0.18380979,-0.07228859,-0.10216633,-0.03933645,-0.00616320,0.84856927,1.45358038,0.00000000,1.95262873,0.00000000,-3.40067363,0.37154049,-0.45977941,0.15516299,0,13:19:51.3,0,0
4,0.00000000,0.00000000,2.11895227,0.46825805,0.43669513,-0.12199911,-0.06368344,-0.17270827,-0.34822524,0.49530619,0.51589215,0.09234673,0.66578996,3.86288428,0.11028937,0.81963050,-1.81059206,0.37191474,-1.18139732,0.08978958,0.15124089,0.14861906,0.06596032,-0.38167763,-0.28109390,-0.71085846,-0.21243623,0.00000000,-1.93571401,0.00000000,0.25241917,-1.22738671,0.05278076,-0.40806916,0,13:19:51.4,0,0
5,0.00000000,0.00000000,0.65064114,-0.04430214,0.47161838,-0.23059417,-0.11587413,-0.19422954,-0.57758814,0.48661032,0.49432337,0.07154680,0.69970798,3.79661989,0.10469066,0.84820074,-1.79897714,0.35441226,-1.57307982,0.69434816,0.16750158,0.24643284,0.16615620,-0.14889677,-0.11425187,-0.27029461,-0.15189028,0.00000000,-0.35209668,0.00000000,-1.81705630,-0.55256128,-0.45977941,-0.16743958,0,13:19:51.5,0,0
6,0.00000000,0.00000000,1.37699187,1.11662889,0.47161838,-0.23577151,-0.14537524,-0.18471403,-0.48336813,0.48964477,0.47994667,0.06203815,0.79449731,3.85584688,0.08583837,0.83045816,-1.59251201,0.33308187,-1.20153201,0.00097757,0.14069358,0.00247004,-0.01285474,-0.24702367,-0.12791818,-0.10455474,-1.71384764,0.00000000,0.36901146,0.00000000,-1.09594822,0.20685685,-0.47188351,0.27860796,0,13:19:51.6,0,0
7,0.00000000,-11.43216705,0.25809190,-0.63632303,-0.00386874,-0.19253671,-0.11560866,-0.17976028,-0.39564630,0.47236285,0.46210599,0.05533077,0.74525952,3.75787783,0.06457421,0.80629820,-1.64816678,0.37188485,0.25966734,0.54145026,0.15880632,0.09107091,0.07796105,0.00243583,0.03233058,0.40800545,2.94670272,0.00000000,-0.85919064,0.00000000,-1.09594822,0.34525782,-0.45977941,0.08822348,0,13:19:51.7,0,0
8,0.00000000,0.00000000,4.93077135,0.46825805,0.43669513,-0.30295604,-0.17631440,-0.20126453,-0.54532069,0.47104558,0.43360078,0.03277308,0.79090559,3.65777206,0.02898821,0.79841322,-1.43999243,0.33871505,-0.27295461,0.58937865,0.11672588,0.07376483,0.08052012,-0.22047415,0.01493082,0.40800545,4.41510487,0.00000000,0.36901146,0.00000000,-0.01911539,0.08344761,0.36385491,0.12935528,0,13:19:51.8,0,0
9,0.00000000,0.00000000,0.44632602,1.33913517,0.48372248,-0.21091834,-0.11997460,-0.19626217,-0.29971024,0.44534454,0.46025777,0.04302400,0.76773125,3.27212954,0.04324298,0.75841647,-1.48558247,0.32540366,-1.24954724,-0.11843263,0.11079112,0.08442876,0.00340547,-0.14378732,-0.11425187,-0.00861162,-0.17521611,0.00000000,1.74158633,0.00000000,2.71968532,2.10709882,1.50357473,0.61827147,0,13:19:51.9,0,0
10,0.00000000,0.00000000,3.34715438,-0.62421894,-0.96048468,-0.30179226,-0.18934593,-0.22707060,-0.54964501,0.42211190,0.40528646,0.00813241,0.74460638,3.43728590,-0.03615773,0.75115263,-1.34922147,0.21893749,-1.28920126,0.41084972,0.03561790,0.12436860,0.06944391,-0.10058453,-0.01421775,0.33600909,1.97621012,0.00000000,-0.35209668,0.00000000,1.83603644,0.01773818,0.63269758,0.04006629,0,13:19:52.0,0,0
11,0.00000000,-7.61704540,0.65064114,-1.14888322,-0.44792446,-0.21091834,-0.11689196,-0.19626217,-0.33477038,0.44534454,0.38499430,0.01140944,0.73618895,3.63677621,0.01985589,0.78269875,-1.30188227,0.27033806,-0.60215402,0.77542776,0.09489531,0.05195222,0.10531563,-0.16322976,-0.07178652,0.84856927,1.34687483,0.00000000,1.71737874,0.00000000,-1.09594822,-0.07371379,-0.98444372,-0.06893124,0,13:19:52.1,0,0
12,0.00000000,0.00000000,4.18881130,1.33913517,0.99628270,-0.07577545,-0.05812138,-0.20372863,-0.29971024,0.47467151,0.57152337,0.03617902,0.74525952,3.20466137,0.04414950,0.75024980,-1.64044249,0.33308187,-0.85922617,-0.01189198,0.14069358,0.12777168,0.00799744,0.02236077,-0.04938135,-0.53327590,-0.09061242,0.00000000,1.74158633,0.00000000,2.71968532,0.36199108,0.12013736,-0.06197324,0,13:19:52.2,0,0
13,0.00000000,0.00000000,1.82976341,-0.00223501,-0.04094182,-0.15957002,-0.07714780,-0.20126453,-0.38448545,0.48329240,0.58584619,0.06750306,0.71882248,3.20117450,0.07794094,0.74255878,-1.76008403,0.31037867,-0.54227501,0.26845452,0.15082327,0.07002172,0.05278999,-0.31334573,-0.14706810,0.84856927,-1.73672616,0.00000000,1.95262873,0.00000000,1.83603644,-1.47314668,0.05278076,-0.24405310,0,13:19:52.3,0,0
14,0.00000000,-7.61704540,5.46416044,-0.11165874,-0.44792446,-0.08941134,-0.06622012,-0.19172287,-0.19231819,0.48099735,0.47994667,0.04441011,0.78281492,3.65777206,0.06069976,0.79415607,-1.44771194,0.33696589,-1.20153201,-0.01103392,0.15279606,-0.02868729,-0.04683471,-0.16253927,-0.01421775,0.20868438,1.99933827,0.00000000,-0.35209668,0.00000000,0.48766902,-1.55362916,-0.45977941,-0.40904784,0,13:19:52.4,0,0
15,0.00000000,0.00000000,1.09469688,0.60406870,0.47161838,-0.30295604,-0.15697184,-0.19172287,-0.51443142,0.46606463,0.44781256,0.06413740,0.78281492,3.28263044,0.06790828,0.77805966,-1.53969443,0.35994053,-0.55431277,0.40281448,0.14477390,0.08187819,0.04011689,-0.14290786,-0.10014822,-0.71085846,-3.93546033,0.00000000,-1.93571401,0.00000000,0.48766902,-0.28493974,-0.45977941,0.08822348,0,13:19:52.5,0,0
16,0.00000000,0.00000000,1.37699187,-0.04430214,0.47161838,-0.31189454,-0.19395487,-0.21073119,-0.60964793,0.44883734,0.46733195,0.01913347,0.74392480,3.55888319,0.02115915,0.79841322,-1.34150195,0.32155448,-0.28494868,-0.17870486,0.11079112,-0.05994131,-0.07532643,-0.06158864,-0.00974254,0.81498808,-1.57932520,0.00000000,1.87991977,0.00000000,1.83603644,0.83449042,0.63269758,0.27706563,0,13:19:52.6,0,0
17,0.00000000,-7.61704540,0.13808091,-0.62421894,-0.00736061,-0.07584462,-0.05700872,-0.21765254,-0.13658248,0.44534454,0.45319271,0.01529903,0.63709408,2.94146323,0.00293292,0.74670798,-1.44771194,0.27498496,-1.24158180,0.18062724,0.09074523,0.05976658,0.03288338,-0.23661156,-0.21104904,0.20868438,-0.16124424,0.00000000,1.74158633,0.00000000,-1.09594822,1.81834698,-0.45977941,0.50667804,0,13:19:52.7,0,0
18,0.00000000,0.00000000,4.18881130,1.11662889,0.91567415,-0.22235247,-0.13443492,-0.22451575,-0.30660725,0.43564051,0.46867263,-0.01410466,0.68614745,3.14529300,-0.02840193,0.76292485,-1.24968183,0.20783842,-1.28129303,0.31436464,0.04711675,0.10232494,0.06111036,-0.25066572,-0.19815418,0.20868438,-0.22168761,0.00000000,1.74158633,0.00000000,2.71968532,0.34525782,0.63269758,0.02326336,0,13:19:52.8,0,0
19,0.00000000,0.00000000,1.38570762,-0.04430214,-0.51992083,-0.37320822,-0.24340634,-0.23390137,-0.73554939,0.41016397,0.41094950,-0.03943888,0.56417346,3.22692585,-0.06229852,0.74592674,-0.99280995,0.19780910,-0.97043997,0.65019059,0.00430086,0.10120120,0.11372267,-0.08013958,-0.03502185,0.81498808,1.36990631,0.00000000,1.87991977,0.00000000,-1.09594822,-1.33795834,-0.45977941,-0.15240611,0,13:19:52.9,0,0
20,0.00000000,-11.43216705,4.18881130,-1.14888322,-0.96048468,-0.31628838,-0.21833266,-0.19626217,-0.55069423,0.42709982,0.34253368,-0.01408036,0.76574928,2.57632613,-0.02898995,0.69575059,-1.20367587,0.18527201,-0.99789542,0.18054487,0.00258750,-0.03793059,-0.02568462,-0.40501219,-0.19214226,-0.27029461,-0.46989846,0.00000000,-0.49043021,0.00000000,-4.62887573,-0.56720716,-0.98444372,-0.03756676,0,13:19:53.0,0,0
