Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190414123735
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1709,1238,763,680,738,0,612,591,645,0,702,644,553,556,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,15,15,6,6,124,124,6,6,6,6,24,24,6,6,6,6,28,28,7,7,15,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,24,24,49,49,6,6,15,15,98,98,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,31,31,7,7,6,6,31,31,6,6,6,6,6,6,49,49,7,7,6,6,6,6,12,12,14,14,7,7,49,49,12,12,6,6,6,6,6,6,6,6
Digital Gain,37.94,1.00,100.00,1.00,100.00,100.00,58.72,100.00,43.32,100.00,4.45,13.24,1.68,3.76,1.41,2.69,5.55,17.23,1.82,3.04,1.11,23.19,2.05,2.88,1.60,24.85,1.33,24.66,1.94,3.01,1.53,4.02,1.94,56.14,2.88,5.42,1.24,25.29,1.72,43.84,3.19,3.83,2.46,4.25,2.82,2.43,2.73,5.40,6.16,7.88,100.00,100.00,2.48,100.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,99.29,100.00,1.00,100.00,100.00,70.92,100.00,1.00,91.02,100.00,5.16,16.15,3.53,10.21,1.06,2.56,4.24,88.32,1.85,2.67,1.15,21.90,1.04,2.47,1.00,1.00,2.21,5.17,1.00,19.85,100.00,100.00,100.00,100.00,1.86,3.06,3.62,3.19,2.73,4.09,1.21,41.23,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/14 12:37:39
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.88740164,1.31118786,5.46077347,-0.62371522,-0.67641431,0.63489681,0.22523144,0.41352731,-0.07201076,-0.04713149,1.37622750,-0.22141369,-0.25121972,-0.18793353,0.44912705,0.52450156,6.57894516,-0.28045711,0.16627035,-0.06801451,0.38381973,0.23539932,0.26626703,0.23036642,1.35301936,11.39695930,0.51968127,0.00000000,0.67251068,0.00000000,2.30739927,4.87899160,0.00000000,8.32365227,0,12:37:48.1,0,0
2,0.53154582,1.31118786,4.83382511,-1.06777096,-1.12047005,0.44980827,0.14725950,0.40906748,-0.19423257,-0.07487436,1.29501402,-0.24836300,-0.39723662,-0.14795013,0.40892458,0.51313382,6.66741276,-0.30442032,0.19306852,0.24563783,0.34680629,0.24633138,0.27091819,0.20135772,1.26288164,11.39695930,0.44317594,0.00000000,-1.17959785,0.00000000,-0.43140143,-6.29644299,0.00000000,-3.60824704,0,12:37:48.2,0,0
3,0.70662749,1.31118786,3.60562277,-0.51583415,-0.67641431,0.47531089,0.15911782,0.39932719,-0.22541580,-0.08018813,1.32254231,-0.22200930,-0.05346337,-0.27941960,0.43132526,0.48040700,6.53975058,-0.27545464,0.25527108,0.23731123,0.35913092,0.21699981,0.26555929,0.23304141,1.35901117,11.39695930,0.47454274,0.00000000,-0.43763751,0.00000000,-0.43140143,-4.36935234,0.00000000,1.72395551,0,12:37:48.3,0,0
4,0.70662749,0.08298574,3.87715721,-0.43538877,-0.70537359,0.76182622,0.23555481,0.40827775,0.02907418,-0.04796744,1.23512948,-0.18736422,-0.37560150,-0.39432567,0.46021709,0.45930964,6.10175085,-0.34701684,0.14498731,-0.21435580,0.34654891,0.18815744,0.23354854,0.37546924,1.49159944,11.39695930,-2.43752337,0.00000000,0.41082770,0.00000000,-0.43140143,-1.17768288,0.00000000,0.14033829,0,12:37:48.4,0,0
5,0.70662749,0.08298574,4.83382511,-0.78571814,-0.70537359,0.41923299,0.14978006,0.42251447,-0.30559105,-0.02372275,1.33646166,-0.15063123,-0.08178898,-0.20528358,0.51676935,0.47149664,6.39074421,-0.32048938,0.02931462,0.01597533,0.38631558,0.23539932,0.25239012,0.22125550,1.20675862,5.34982204,0.49706590,0.00000000,0.16866621,0.00000000,0.31055889,-2.21522260,0.00000000,-2.03834963,0,12:37:48.5,0,0
6,0.70662749,0.08298574,3.60562277,-1.17740083,-1.09705627,0.27546164,0.12202549,0.42153126,-0.60464424,-0.03190663,1.26826239,-0.18519633,-0.28885698,-0.42905104,0.47041029,0.48406798,5.80093956,-0.28309500,0.17912276,-0.15583737,0.41334280,0.28764117,0.31369963,0.32952482,1.41072166,0.00000000,0.56513590,0.00000000,1.90071273,0.00000000,-2.22934222,0.00000000,0.00000000,-1.01956356,0,12:37:48.6,0,0
7,0.70662749,1.31118786,3.87715721,-0.23203258,-0.28473163,0.46245974,0.17318349,0.43074539,-0.27090731,-0.03275390,1.32402027,-0.18288368,-0.16506761,-0.18793353,0.48284400,0.48233438,6.40634680,-0.26705280,0.23569117,0.23731123,0.42868149,0.25762132,0.25239012,0.28489140,1.34956384,7.58183813,1.13848996,0.00000000,-0.43763751,0.00000000,-0.15986688,0.28100044,0.00000000,-1.30328310,0,12:37:48.7,0,0
8,0.88740164,2.89480495,6.41744137,-0.23203258,-0.05641735,0.49263948,0.19195500,0.42251447,-0.08091626,-0.04713149,1.30327880,-0.16631223,-0.06943396,-0.11754812,0.46411613,0.49747536,6.41421318,-0.27789283,0.27224690,-0.07636072,0.37498167,0.23539932,0.28191814,0.28494135,1.45292234,5.28390265,-0.17825282,0.00000000,0.68122637,0.00000000,-0.43140143,-2.98951983,0.00000000,7.10281849,0,12:37:48.8,0,0
9,0.70662749,0.08298574,4.83382511,-0.51583415,-0.89078283,0.30763119,0.10954762,0.42554304,-0.53156626,-0.05698806,1.39853597,-0.19781941,-0.24690735,-0.20963964,0.43900186,0.41980460,6.07058907,-0.30442032,0.25527108,0.11711961,0.35721341,0.23504303,0.26555929,0.21074334,1.09621179,7.58183813,0.46557057,0.00000000,0.16866621,0.00000000,2.38041806,-0.17202812,0.00000000,-1.06214917,0,12:37:48.9,0,0
10,0.36191601,0.00000000,0.29694396,0.32195216,-0.41661569,0.27212387,0.11252643,0.40827775,-0.48458162,-0.07930921,1.31841123,-0.18508375,-0.13840573,-0.62186146,0.44557744,0.37913918,4.96175718,-0.32048938,-0.09093532,0.03681087,0.33639896,0.25786167,0.31940416,0.26497841,1.43911040,0.00000000,0.58803362,0.00000000,0.67251068,0.00000000,6.12252092,0.00000000,0.00000000,0.00000000,0,12:37:49.0,0,0
11,0.70662749,0.08298574,5.46077347,-1.62145650,-2.05367231,0.39821741,0.14149982,0.39420128,-0.37644416,-0.09797321,1.29790175,-0.24666850,-0.31598127,-0.36086020,0.37272432,0.33788905,5.16035032,-0.32384029,0.14241569,0.00350101,0.31245384,0.20604338,0.27091819,0.10409222,1.08695996,11.39695930,0.42087209,0.00000000,-0.43763751,0.00000000,-0.43140143,-3.72255921,0.00000000,0.14033829,0,12:37:49.1,0,0
12,0.70662749,1.31118786,6.41744137,-0.62371522,-0.67641431,0.19094296,0.11016652,0.42554304,-0.57018387,-0.03987691,1.37798476,-0.14950469,-0.31063169,-0.23126046,0.48284400,0.35726428,5.72287560,-0.32041997,0.04884252,-0.09719625,0.35702223,0.25559238,0.29520366,0.28489140,1.26846421,11.39695930,-2.51460266,0.00000000,-0.43763751,0.00000000,-1.50823426,-1.41762745,0.00000000,2.27651453,0,12:37:49.2,0,0
13,0.70662749,2.89480495,4.34758282,-0.76847333,-0.89215577,0.60630232,0.21911316,0.42251447,-0.04194502,-0.02372275,1.30739021,-0.13657762,-0.32756102,-0.18793353,0.49505600,0.38561955,5.92421389,-0.32343203,0.00803158,-0.08055502,0.39978459,0.27848190,0.31369963,0.27975717,1.33585835,11.39695930,0.57887435,0.00000000,-0.43763751,0.00000000,1.42375040,8.69445419,0.00000000,0.04101589,0,12:37:49.3,0,0
14,0.70662749,2.89480495,4.83382511,-0.76847333,-0.89215577,0.70359933,0.25439745,0.44058838,0.07216701,-0.01555897,1.37205529,-0.11981102,-0.19010232,-0.44210330,0.51018155,0.37913918,5.40826893,-0.26064557,0.09984700,-0.05965625,0.46204725,0.31082252,0.32181698,0.28580949,1.35958552,0.00000000,0.61102659,0.00000000,2.02077460,0.00000000,2.30739927,0.00000000,0.00000000,-1.01956356,0,12:37:49.4,0,0
15,0.53154582,1.31118786,3.60562277,-0.62371522,-1.12047005,0.43663767,0.17558828,0.44058838,-0.26605037,-0.01467643,1.37205529,-0.15455052,-0.40700728,-0.44210330,0.48560175,0.38130742,4.97733736,-0.23116633,0.17056887,-0.18517406,0.45898339,0.27848190,0.30040464,0.29738361,1.28987241,11.39695930,0.58803362,0.00000000,0.41082770,0.00000000,-0.15986688,0.26923111,0.00000000,-1.01956356,0,12:37:49.5,0,0
16,0.70662749,5.12682152,3.60562277,-0.76847333,-0.89215577,0.27681202,0.13152294,0.43956423,-0.62392092,-0.03275390,1.34724307,-0.17252822,-0.47461966,-0.45517939,0.44419438,0.35661346,4.97733736,-0.21118917,0.40483713,0.02428996,0.44646698,0.25600466,0.26871872,0.26531041,1.30096221,11.39695930,0.61102659,0.00000000,0.41082770,0.00000000,1.42375040,-2.13435054,0.00000000,7.77109337,0,12:37:49.6,0,0
17,0.70662749,0.08298574,6.41744137,-0.90751684,-0.89078283,0.27212387,0.15694234,0.43151599,-0.42938673,-0.03452043,1.34724307,-0.17464028,-0.41140136,-0.27076539,0.45661429,0.34605107,5.36924076,-0.32325283,0.04038722,-0.09719625,0.35702223,0.24692130,0.28730747,0.25633690,1.30649889,11.39695930,0.61102659,0.00000000,-1.28780019,0.00000000,0.07538304,4.75774574,0.00000000,-2.58592510,0,12:37:49.7,0,0
18,0.70662749,-0.92065752,4.34758282,-0.43538877,-0.70537359,0.32844090,0.12831914,0.43507841,-0.47908685,-0.04796744,1.27847123,-0.18288368,-0.26854247,-0.21393777,0.42389083,0.32292753,5.34209442,-0.26455337,0.15924802,-0.00478170,0.36495751,0.24885243,0.27433845,0.28489140,1.31964207,11.39695930,0.51063490,0.00000000,-0.43763751,0.00000000,0.07538304,3.35445118,0.00000000,1.07037389,0,12:37:49.8,0,0
19,0.70662749,1.31118786,3.87715721,-0.51583415,-0.28473163,0.63489681,0.21477118,0.43074539,0.01025863,-0.06678384,1.30608582,-0.25101158,-0.61748487,-0.18678513,0.37586868,0.33550838,5.86606932,-0.24286634,0.44644663,0.08813538,0.37110370,0.21290748,0.27433845,0.25342968,1.39521992,11.39695930,0.49706590,0.00000000,-0.43763751,0.00000000,1.42375040,-1.29089189,0.00000000,4.75546885,0,12:37:49.9,0,0
20,0.53154582,0.08298574,3.60562277,-0.51583415,-0.89078283,0.46576315,0.16245045,0.43974692,-0.10095832,-0.03987691,1.42838693,-0.16398965,-0.20847744,-0.16523197,0.44557744,0.34230280,5.33437014,-0.31325015,0.20460457,0.09639391,0.36495751,0.25786167,0.27091819,0.19336276,1.10088265,5.34982204,0.47454274,0.00000000,-0.43763751,0.00000000,-1.38806903,-7.37565184,0.00000000,-2.09150720,0,12:37:50.0,0,0
