Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190406124732
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1334,1017,663,621,553,0,532,544,550,0,572,568,598,583,1584,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,88,88,6,6,15,15,6,6,6,6,15,15,47,47,6,6,31,31,7,7,62,62,12,12,7,7,6,6,31,31,6,6,6,6,15,15,7,7,12,12,7,7,7,7,6,6,47,47,28,28,6,6,15,15,6,6,6,6,144,144,6,6,31,31,7,7,31,31,6,6,6,6,24,24,72,72,12,12,49,49,7,7,15,15,24,24,6,6,24,24,6,6,6,6,56,56,72,72,6,6,15,15,14,14,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,2.66,5.50,100.00,100.00,1.00,1.00,2.85,5.93,26.80,100.00,100.00,100.00,6.21,12.79,1.96,2.89,1.00,10.96,2.42,2.86,1.95,21.04,4.00,62.41,4.21,3.29,4.61,6.91,3.08,88.56,10.42,10.23,3.09,100.00,1.88,74.13,8.30,7.51,4.59,6.17,1.61,2.78,4.78,7.05,1.80,5.78,1.00,1.00,2.05,100.00,1.00,1.00,100.00,100.00,100.00,1.00,100.00,100.00,37.08,53.74,2.97,4.57,31.19,59.75,100.00,1.00,66.02,100.00,2.90,7.77,27.36,1.00,100.00,1.00,3.33,9.16,3.15,3.91,1.15,25.03,1.00,16.38,44.60,55.41,1.89,5.40,1.04,3.09,1.14,2.34,1.00,7.41,29.36,30.20,1.09,2.24,1.42,4.54,1.22,39.62,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/04/06 12:47:35
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,-0.36126933,0.42412356,0.00000000,-0.29931605,0.28261954,-0.05296256,-0.43135512,0.48146179,0.68163484,0.06035620,0.12923737,0.07052449,0.55504191,-0.60393161,-2.59342694,-0.23194933,-0.44387954,-0.27079758,0.30152917,0.73128885,-0.18580514,0.62590587,1.23138011,0.00000000,-0.59249592,0.00000000,6.39919329,0.00000000,2.66465163,-0.67070693,-0.32583433,-4.32684708,0,12:47:44.1,0,0
2,0.00000000,-0.62490690,-0.39561304,-0.35301009,0.00000000,-0.31990939,0.70040125,-0.05296256,-0.42414090,0.47913539,0.70575142,-0.00114583,0.15236259,-0.18695357,0.42964101,-0.68413723,-2.83229971,-0.19095787,-0.92720366,-0.27910057,0.27165830,0.71561581,-0.21513942,0.42128864,1.26440597,0.00000000,-0.83863014,0.00000000,1.41744530,-14.75855446,-1.15761936,0.18801227,-0.36919370,0.28398302,0,12:47:44.2,0,0
3,0.00000000,0.00000000,-0.38189468,1.03042734,0.00000000,-0.33714369,-0.65020025,-0.05296256,-0.41473323,0.45359036,0.58887309,0.00511448,-0.07526952,0.21738879,0.44406968,-0.58633232,-2.58370924,-0.24936104,-0.98606867,-0.22516261,0.26781222,0.67327332,-0.26833576,0.16634721,1.14421582,0.00000000,-0.84793127,0.00000000,-0.81457114,-16.61071205,0.69448912,0.28444380,-0.36919370,-0.23868528,0,12:47:44.3,0,0
4,0.00000000,-2.85692334,-0.38982216,-1.70127416,0.00000000,-0.30321303,-0.65020025,-0.05296256,-0.36048156,0.46929169,0.58022791,0.03636190,0.07752059,0.20281868,0.48789710,-0.55452830,-2.55122042,-0.19994733,-0.56267220,-0.18753631,0.33607760,0.67327332,-0.28001809,0.30050135,1.17366540,0.00000000,-0.86637199,0.00000000,0.35205600,-15.76219654,0.43280619,0.02823527,-0.36679959,-0.32349220,0,12:47:44.4,0,0
5,0.00000000,0.00000000,-0.29816717,1.27258873,0.00000000,-0.22809045,-0.00185074,0.68210393,-0.23196338,0.49652731,0.58887309,0.05934982,0.11452194,0.32889426,0.57327551,-0.57218599,-2.42244673,-0.14632264,-0.39697209,-0.20427960,0.38900480,0.78809661,-0.19826533,0.52280879,1.21894693,0.00000000,-0.67421067,0.00000000,1.41744530,0.00000000,-0.26217848,-0.48730880,-0.34260148,-1.36389685,0,12:47:44.5,0,0
6,0.00000000,-2.85692334,-0.29816717,-2.28119087,0.00000000,-0.26496801,-0.13378072,0.68210393,-0.30341107,0.50902927,0.58308440,0.08450590,-0.04730603,0.11611322,0.60575998,-0.70138419,-2.70223069,-0.06038956,-0.25380167,-0.26669246,0.42696449,0.74001300,-0.19883534,0.59387267,1.21868503,0.00000000,-0.69324166,0.00000000,2.58407259,0.00000000,0.96602368,-0.31979528,-0.28410465,-0.44374689,0,12:47:44.6,0,0
7,0.00000000,-2.85692334,-0.26619217,-0.42036664,0.00000000,-0.29287404,-0.52558064,0.68210393,-0.42628172,0.50902927,0.58597821,0.11447456,0.43638435,0.42261678,0.60792404,-0.57105172,-2.19716454,-0.19994733,1.56482697,-0.25842157,0.33967707,0.74946272,-0.22296266,0.44460705,1.31737161,0.00000000,7.83076429,0.00000000,-1.32166517,-15.76219654,-0.03186163,0.06939530,-0.28877082,0.12919569,0,12:47:44.7,0,0
8,0.00000000,-2.85692334,-0.31067637,-1.53923059,0.00000000,-0.34112221,-0.39807388,-0.05296256,-0.51406902,0.50400364,0.53467137,0.13443513,0.23132171,-0.21556984,0.65184772,-0.70278889,-2.88318729,-0.11628453,-0.27450845,-0.26669246,0.40816027,0.73487175,-0.22188571,0.62869525,1.28114474,0.00000000,-0.74059230,0.00000000,0.35205600,0.00000000,-0.41565901,-0.03843739,-0.30038708,0.37014058,0,12:47:44.8,0,0
9,0.00000000,-0.62490690,-0.29569390,0.29536074,0.00000000,-0.25573823,-0.52558064,-0.05296256,-0.28053030,0.50237644,0.64704376,0.14061907,0.44570634,0.94307011,0.62648463,-0.63471562,-1.79834104,-0.25362104,2.89279413,-0.31198582,0.27115417,0.68711740,-0.23700540,0.60495663,1.34711337,0.00000000,7.85826445,0.00000000,-1.32166517,-13.53026676,-0.41565901,-1.30312502,-0.34003279,-1.51759005,0,12:47:44.9,0,0
10,0.00000000,-2.85692334,-0.38956991,-1.53923059,0.00000000,-0.33441243,-0.65020025,-0.05296256,-0.52521688,0.48249412,0.52605331,0.09202009,0.21263003,0.48060316,0.50368613,-0.65218586,-2.50149345,-0.17056930,-0.31568971,-0.30378276,0.25150684,0.70195198,-0.26878482,0.54387838,1.30090797,0.00000000,-0.82476389,0.00000000,1.49015427,-11.94673443,-1.15761936,-0.41751006,-0.35381752,-0.68754822,0,12:47:45.0,0,0
11,0.00000000,-0.62490690,-0.38207698,-0.35301009,0.00000000,-0.30027047,-0.41122341,-0.05296256,-0.36899135,0.48170012,0.44819063,0.12286448,0.38895077,0.39594191,0.57505918,-0.71475488,-2.41012812,-0.02287823,3.89025307,-0.28734049,0.36196730,0.71049923,-0.28045002,0.49742231,1.26793230,0.00000000,3.71081567,0.00000000,-0.81457114,-14.75855446,0.43280619,0.03778370,-0.35342646,0.33521411,0,12:47:45.1,0,0
12,0.00000000,-2.85692334,-0.43116984,-0.42036664,0.00000000,-0.32296032,-2.95269132,-0.05296256,-0.36048156,0.46367478,0.40715757,0.05005935,0.12379678,0.68496364,0.43602410,-0.68159336,-2.12218261,-0.13728417,1.56482697,-0.26669246,0.24172026,0.76307064,-0.27177781,0.47496873,1.28299618,0.00000000,5.03159046,0.00000000,-0.81457114,-12.79520035,-0.41565901,-1.43438029,-0.38286400,-1.82663119,0,12:47:45.2,0,0
13,0.00000000,-4.44054079,-0.35348848,-0.42036664,0.00000000,-0.33441243,-0.13378072,-2.35768795,-0.46451038,0.47265598,0.44531038,0.05843605,0.19400157,0.36797938,0.50437951,-0.76156574,-2.44687366,-0.19994733,1.56482697,-0.27910057,0.25515476,0.68192977,-0.30687159,0.42419514,1.21421921,0.00000000,-0.83863014,0.00000000,-2.39818835,-15.76219654,-0.30915412,1.14591086,-0.35381752,0.92869574,0,12:47:45.3,0,0
14,0.00000000,-0.62490690,-0.31051239,-0.95931381,0.00000000,-0.27281231,-0.41122341,-0.05296256,-0.36031795,0.51066548,0.47731024,0.15544319,0.31462327,0.26634416,0.65184772,-0.71321458,-2.56627560,-0.11628453,-0.18435636,-0.27079758,0.31899917,0.72407925,-0.29558772,0.50439006,1.28124237,0.00000000,5.11953115,0.00000000,-1.32166517,-11.94673443,-0.54442185,-0.26625776,-0.31435779,0.09300283,0,12:47:45.4,0,0
15,0.00000000,-0.62490690,-0.27353713,-0.35301009,0.00000000,-0.21969505,3.00533295,-0.05296256,-0.20858942,0.51066548,0.52320719,0.18141571,0.31156531,0.45225233,0.70478004,-0.63391310,-2.36387706,-0.06038956,-0.12105329,-0.24179140,0.37383839,0.70093262,-0.31524768,0.29513571,1.18438601,0.00000000,-0.85715932,0.00000000,-1.32166517,-8.13127136,-1.15072560,-1.05530763,-0.29818240,-0.58647811,0,12:47:45.5,0,0
16,0.00000000,-0.62490690,-0.33230051,0.29536074,0.00000000,-0.31002149,-0.26748294,-0.05296256,-0.36972579,0.50319177,0.47731024,0.21997085,0.21720870,-0.63393247,0.68826348,-0.77953380,-3.38731480,-0.06951945,-0.12105329,-0.19591433,0.40929550,0.73487175,-0.29967809,0.38477275,1.19662297,0.00000000,-0.76877344,0.00000000,-0.81457114,-12.79520035,0.43280619,-1.08815932,-0.28446931,-1.02971268,0,12:47:45.6,0,0
17,0.00000000,-4.44054079,-0.31678513,0.02368909,0.00000000,-0.18941620,0.81971788,-0.05296256,-0.17590098,0.50237644,0.56013167,0.22963691,0.40957141,0.64281762,0.74301124,-0.66695791,-2.10370541,-0.20111758,1.71655142,-0.20848283,0.31899917,0.69553769,-0.35054010,0.40530530,1.27912593,0.00000000,9.85277081,0.00000000,0.98336977,-14.75855446,-0.54442185,-0.45787328,-0.28670540,0.03898759,0,12:47:45.7,0,0
18,0.00000000,-0.62490690,-0.34134230,-0.31094298,0.00000000,-0.27893868,-0.39807388,-0.05296256,-0.36972579,0.49409932,0.52605331,0.18265732,0.04298235,-0.39102340,0.69654912,-0.65066344,-3.12788463,-0.15050943,-0.18435636,-0.16232613,0.37039948,0.68711740,-0.35697591,0.33794174,1.04281378,0.00000000,-0.65505391,0.00000000,2.58407259,-10.94309139,-1.61054587,-1.73859394,-0.32664421,-3.33473063,0,12:47:45.8,0,0
19,0.00000000,-0.62490690,-0.33977279,0.15955013,0.00000000,-0.33441243,-0.26748294,-0.05296256,-0.39807642,0.49079719,0.43959045,0.16226849,0.19814447,0.48060316,0.65423834,-0.58874863,-2.30469561,-0.08545278,-0.23310292,-0.14540263,0.37698349,0.75630105,-0.35019135,0.46527320,1.17675269,0.00000000,-0.75000197,0.00000000,-0.81457114,0.00000000,-0.26217848,-0.45020518,-0.31222421,-1.02046239,0,12:47:45.9,0,0
