Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190406145407
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,1824,1600,1442,1080,764,681,763,680,638,0,657,618,1010,0,842,727,683,633,1154,0,1759,1267,1552,1104
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal
Analog Gain,7,7,15,15,12,12,6,6,72,72,12,12,15,15,62,62,24,24,7,7,6,6,6,6,6,6,15,15,31,31,7,7,6,6,24,24,6,6,7,7,12,12,6,6,6,6,7,7,6,6,15,15,14,14,12,12,15,15,98,98,6,6,22,22,12,12,7,7,7,7,15,15,7,7,15,15,31,31,31,31,6,6,7,7,12,12,56,56,15,15,6,6,6,6,7,7,6,6,6,6,7,7,15,15,31,31,6,6,6,6,24,24
Digital Gain,3.39,5.70,2.62,3.93,1.95,4.73,1.60,3.05,1.00,1.00,2.63,4.83,3.76,7.39,1.89,5.32,4.34,6.54,2.11,3.59,1.12,16.73,2.01,2.46,1.29,19.53,3.29,100.00,2.73,5.29,2.41,6.59,1.77,34.81,5.17,9.19,1.42,26.64,1.63,39.83,3.28,4.20,1.91,2.90,1.82,2.94,2.47,3.55,2.13,3.48,7.83,33.09,1.17,27.76,1.22,29.09,1.86,4.93,4.36,1.00,1.44,3.17,3.61,9.14,1.62,3.66,3.41,9.04,100.00,100.00,100.00,100.00,3.01,6.14,2.81,6.07,2.40,5.06,2.42,3.85,2.04,2.74,1.48,34.36,6.92,100.00,3.81,3.83,2.56,5.50,1.00,12.45,1.00,6.20,2.68,4.09,2.16,3.17,1.16,2.06,2.16,5.21,1.39,47.10,1.34,32.14,1.04,2.82,1.56,3.55,1.90,4.05

Measurement Information
Date,2019/04/06 14:54:11
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.00732414,-0.29134455,-0.29288217,-0.55161017,0.00000000,-0.72352332,-0.78084356,-1.12955415,-0.80664527,-0.65753412,-0.12762477,-0.83230448,-0.00882082,0.60674596,-1.01934993,-0.81552762,-0.14632002,-1.01685405,0.03807918,-0.19251549,-0.53844982,-0.37782073,-0.17211686,-0.54421574,-0.36427498,-0.11893335,0.13311847,0.08356373,-0.41288149,0.74768645,-0.28926611,-0.15681984,-0.33669320,-0.10647675,0,14:54:20.1,0,0
2,-0.01253505,-0.32928848,-0.31911442,-0.57992762,0.00000000,-0.67393380,-0.66015291,-1.14311862,-0.74933106,-0.67756659,0.02066827,-0.81883836,0.07994474,1.95511341,-0.95819449,-0.77009016,0.07507972,-0.97060698,-0.03001968,0.17710565,-0.53063959,-0.35544360,-0.16085336,-0.58932233,-0.38452142,0.27101442,-0.08581644,-0.09102807,-0.41288149,3.65932560,-0.31126714,-0.08018869,-0.31126451,-0.03028104,0,14:54:20.2,0,0
3,-0.02667315,-0.28779259,-0.32783103,-0.57992762,0.00000000,-0.72770041,-0.75321537,-1.14518857,-0.78761435,-0.68776107,-0.01730944,-0.81883836,0.11008522,1.98686838,-1.00540519,-0.77592134,-0.11848454,-1.02207363,-0.14982261,0.06954958,-0.47198036,-0.36341181,-0.15286835,-0.54421574,-0.36609066,-0.31327283,0.11806679,-0.39167696,-0.43504786,1.59153771,-0.30361867,-0.09737579,-0.32757625,-0.03424626,0,14:54:20.3,0,0
4,-0.07311646,-0.28972897,-0.37864897,-0.57850832,0.00000000,-0.82264483,-0.90001100,-1.22052658,-0.91021466,-0.66742152,-0.01730944,-0.81883836,-0.04964061,-1.72508442,-0.96960360,-0.82855660,-0.12775934,-0.99554479,-0.14982261,0.19157735,-0.52664822,-0.35380453,-0.15063040,-0.57680541,-0.38535270,-0.18241268,0.16276976,-0.28479451,-0.43057463,2.09775090,-0.31643045,-0.18175094,-0.34826586,-0.10402790,0,14:54:20.4,0,0
5,-0.07504329,-0.36858928,-0.35609892,-0.62480801,0.00000000,-0.74650443,-0.76281410,-1.17848182,-0.80330378,-0.71114898,0.04403952,-0.88946360,-0.14114171,4.21498060,-1.12210774,-0.77009016,0.15347971,-1.21117437,-0.36094615,0.20122676,-0.62202215,-0.32998934,-0.14266397,-0.59119850,-0.41134864,-0.43054575,0.13311999,0.05470806,-0.43064979,1.38440609,-0.36753711,-0.11203633,-0.39869040,-0.10922787,0,14:54:20.5,0,0
6,-0.10620569,-0.34814325,-0.42765161,-0.62245125,0.00000000,-0.77190226,-0.75852835,-1.21587801,-0.77984041,-0.70130050,-0.07175718,-0.87498903,0.08868808,3.62663627,-1.07167351,-0.76953799,0.13967188,-1.18782139,-0.20638870,-0.07600703,-0.62997276,-0.37941763,-0.18124284,-0.59724623,-0.41295156,0.48387745,0.19062400,0.14798492,-0.39538506,0.90979260,-0.35981175,-0.07457013,-0.36495072,-0.00278998,0,14:54:20.6,0,0
7,0.02367985,-0.35505742,-0.30403489,-0.60575211,0.00000000,-0.80593973,-0.87568581,-1.25858235,-0.88576967,-0.70130050,-0.07638347,-0.86614865,-0.03886737,-1.71154845,-1.03262353,-0.80618185,-0.24947645,-1.11902928,-0.51640320,-0.17320819,-0.57110012,-0.35232085,-0.16085336,-0.57680541,-0.38452142,-0.01119723,0.06330884,0.07388865,-0.41726249,1.81371081,-0.31643045,-0.25031075,-0.35978186,-0.15004055,0,14:54:20.7,0,0
8,0.00574540,-0.32928848,-0.26309302,-0.56896257,0.00000000,-0.77785945,-0.85295147,-1.23387110,-0.87620294,-0.67609751,-0.01261333,-0.83784664,0.13577846,1.88321960,-0.99259537,-0.86207789,-0.05716206,-0.97237235,0.41431391,0.20122676,-0.49893343,-0.33621264,-0.14038843,-0.56146032,-0.37623575,0.20520321,0.28456694,0.14316614,-0.44830674,-6.58311558,-0.29047197,-0.25263259,-0.33905324,-0.19294772,0,14:54:20.8,0,0
9,-0.05819485,-0.35165831,-0.34577072,-0.62478787,0.00000000,-0.71132571,-0.74320436,-1.17390931,-0.76845753,-0.68638927,-0.11567611,-0.82265878,-0.19506477,-1.63888371,-0.99042928,-0.74277318,-0.28469050,-0.92097193,-0.10702810,-0.24603418,-0.46997473,-0.32313514,-0.13410860,-0.51924932,-0.34401733,-0.14018618,0.01077047,-0.18715587,-0.43958601,1.88861072,-0.29696447,-0.19177642,-0.33669320,-0.16213416,0,14:54:20.9,0,0
10,0.05508222,-0.31545863,-0.27086225,-0.59233034,0.00000000,-0.76993668,-0.82414490,-1.24179149,-0.81539339,-0.70130050,-0.02663136,-0.82212013,-0.08523292,0.65212595,-0.99794072,-0.74971241,0.02173789,-0.94808108,-0.09266914,-0.27036855,-0.49861506,-0.34618121,-0.14841641,-0.53387153,-0.37437633,-0.12350924,0.17768520,-0.18715587,-0.42611220,2.16451120,-0.30248794,-0.15340051,-0.35057002,-0.13516013,0,14:54:21.0,0,0
11,-0.02667315,-0.35505742,-0.34527627,-0.62145740,0.00000000,-0.71441895,-0.68990898,-1.21755564,-0.69941515,-0.68638927,-0.07638347,-0.86014301,-0.07547480,0.53485215,-1.03215969,-0.84162444,-0.12775934,-1.09111142,-0.07160355,-0.12479219,-0.57160246,-0.31691426,-0.14150442,-0.54016125,-0.35509780,0.15618852,0.16276976,0.21973062,-0.42614058,1.71256971,-0.33864900,-0.22498930,-0.33977446,-0.13727425,0,14:54:21.1,0,0
12,0.02011637,-0.36003095,-0.30640018,-0.62480801,0.00000000,-0.80820328,-0.81359726,-1.28550601,-0.83833373,-0.68624258,-0.06841507,-0.85067636,-0.07116015,3.59521818,-1.05433750,-0.75038624,0.16278079,-1.04166603,-0.13085690,0.34558895,-0.55047882,-0.28342080,-0.09769208,-0.58699054,-0.41134864,0.31068209,0.11832422,0.05470806,-0.40853924,1.01875222,-0.36473608,-0.22498930,-0.39632717,-0.10978319,0,14:54:21.2,0,0
13,-0.05819485,-0.39742035,-0.37989506,-0.65683395,0.00000000,-0.81587619,-0.83226746,-1.23331487,-0.82480854,-0.70130050,-0.02111544,-0.83672792,0.01236038,0.60674596,-1.04251885,-0.76324642,-0.10451385,-0.94792831,0.21813169,0.00131474,-0.51818979,-0.31862253,-0.11312301,-0.59119850,-0.40035579,-0.07140075,-0.00076573,-0.04569345,-0.43504786,-2.80337381,-0.37721109,-0.25031075,-0.38999009,-0.17847160,0,14:54:21.3,0,0
14,-0.02462583,-0.35661596,-0.31911442,-0.59242958,0.00000000,-0.71459687,-0.70086408,-1.24380171,-0.78523982,-0.63571858,0.06682995,-0.82677132,0.15045784,4.71408224,-1.01986289,-0.73837453,0.33671427,-0.90185666,0.37318677,0.06954958,-0.48677161,-0.36985254,-0.16193174,-0.50416470,-0.36609066,0.46265724,0.16775748,0.29891521,-0.40428925,2.25119495,-0.29812044,-0.14041236,-0.33738688,-0.06231595,0,14:54:21.4,0,0
15,-0.04149587,-0.32928848,-0.32147640,-0.56896257,0.00000000,-0.69415718,-0.68990898,-1.21604896,-0.69941515,-0.65740204,-0.05450317,-0.83111280,-0.05397215,0.62029284,-1.00399828,-0.76863915,-0.06244608,-1.09724915,-0.34569317,-0.24603418,-0.54291314,-0.32845992,-0.13927808,-0.52848792,-0.36340806,0.05600732,-0.10079987,-0.03130955,-0.43064266,1.21842873,-0.33047712,-0.21284457,-0.32757625,-0.11414473,0,14:54:21.5,0,0
16,0.05170967,-0.33959803,-0.26469010,-0.58570629,0.00000000,-0.68735397,-0.69798201,-1.25864494,-0.73336101,-0.68624258,0.00668583,-0.81704640,-0.03238520,3.64017224,-0.96127117,-0.72739863,0.21857184,-0.99669898,-0.00487662,0.24978834,-0.50897366,-0.31344357,-0.13410860,-0.51924932,-0.34586981,-0.00583394,0.17768520,-0.03130955,-0.43504786,3.50629735,-0.33438349,-0.16050406,-0.34826586,-0.08150764,0,14:54:21.6,0,0
17,-0.04149587,-0.35006866,-0.35245833,-0.60067022,0.00000000,-0.75355232,-0.81455767,-1.35732830,-0.78761435,-0.67812562,-0.11104199,-0.80678326,-0.17340995,-0.64523637,-1.03608418,-0.82239574,-0.60425925,-0.94535494,-0.21808575,-0.49182752,-0.50042981,-0.31535885,-0.15244856,-0.50170034,-0.37354621,-0.49402633,-0.31058684,-0.19678806,-0.43083832,2.77198386,-0.31353465,-0.26410663,-0.33441228,-0.20712817,0,14:54:21.7,0,0
18,0.06659940,-0.35661596,-0.24176088,-0.61402297,0.00000000,-0.85017055,-0.90279460,-1.29615092,-0.91788107,-0.72300053,-0.06376271,-0.80420476,0.09285744,3.62663627,-0.95679379,-0.77009016,0.10763930,-0.94403672,0.21058318,0.24978834,-0.48559436,-0.31691426,-0.11193761,-0.53933072,-0.36618552,0.59908563,0.31132722,0.28464019,-0.41312480,1.19930708,-0.33864900,-0.06659736,-0.38267955,0.00322255,0,14:54:21.8,0,0
19,-0.10414701,-0.42144743,-0.39131728,-0.64698225,0.00000000,-0.78396863,-0.82850218,-1.23469698,-0.86688572,-0.70986533,-0.14823572,-0.84672350,0.01236038,2.89821172,-1.02082312,-0.76324642,0.10763930,-1.21589184,-0.31377584,-0.23628248,-0.62624758,-0.34252763,-0.14841641,-0.56980139,-0.39634556,-0.12350924,-0.07840252,-0.06003985,-0.44843423,0.87018210,-0.37340456,-0.30182999,-0.40780416,-0.23611403,0,14:54:21.9,0,0
