Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190414144441
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1712,1456,1144,905,698,642,603,0,592,579,620,0,667,624,653,615,1304,0,2000,1409,1837,1313
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Analog Gain,6,6,6,6,31,31,15,15,6,6,15,15,24,24,96,96,31,31,6,6,6,6,15,15,7,7,7,7,31,31,6,6,7,7,15,15,6,6,7,7,15,15,6,6,6,6,22,22,7,7,24,24,14,14,7,7,15,15,6,6,7,7,31,31,12,12,28,28,6,6,22,22,15,15,44,44,30,30,62,62,6,6,6,6,31,31,6,6,15,15,7,7,7,7,7,7,7,7,6,6,7,7,7,7,31,31,6,6,12,12,31,31
Digital Gain,66.51,1.00,42.61,1.00,2.96,6.43,2.21,3.75,53.80,100.00,2.76,3.84,2.97,10.01,5.60,6.67,9.26,30.04,1.57,2.74,1.21,24.34,2.73,3.40,1.65,21.83,4.59,92.91,3.33,5.42,2.63,6.71,4.25,100.00,7.88,16.70,1.68,40.20,3.88,100.00,7.58,9.35,2.40,3.90,2.25,3.57,3.06,3.79,3.49,5.20,1.76,5.89,1.31,42.50,1.82,41.18,2.06,5.02,10.47,1.00,2.19,5.04,13.98,30.78,1.70,3.88,5.27,15.65,15.52,1.00,1.77,3.13,2.88,4.33,2.45,10.35,1.52,6.30,3.70,6.59,2.43,3.41,1.72,34.28,2.21,30.69,13.33,32.98,2.53,5.82,2.13,98.79,1.80,46.50,3.07,4.37,3.37,4.65,1.56,2.24,1.83,3.95,1.92,85.25,1.46,38.44,1.61,4.03,1.57,4.76,2.32,3.55

Measurement Information
Date,2019/04/14 14:44:45
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.27904522,-0.08314671,0.03051949,-0.14175886,-0.51560557,-0.15716513,-0.25768733,0.70359653,-0.16060278,-0.36879697,-0.08643606,-0.46176672,-0.47258013,0.01378380,-0.65247697,-0.70179147,1.56332982,-1.28080630,-0.31566939,-3.64030027,-0.35185748,-0.52803659,-0.29216903,-0.21239583,-0.23169230,-0.26486072,-0.04215442,-0.35736123,-0.35071811,0.00734768,-0.00928481,-0.16275519,-0.10466454,-0.24699341,0,14:44:54.1,0,0
2,1.50460947,-0.08314671,0.06465130,-0.14175886,-0.51560557,-0.13920647,-0.25768733,0.43870443,-0.10152931,-0.37659758,-0.14697009,-0.46985120,-0.45153761,-0.78627986,-0.65812105,-0.72049683,-0.22300068,-1.20422387,-0.17706360,1.03547931,-0.24924514,-0.45558551,-0.22553264,-0.16613401,-0.18578182,-0.28043929,-0.68531823,-0.73474711,-0.32100803,0.05246710,-0.02279148,0.03775067,-0.10640159,-0.15961300,0,14:44:54.2,0,0
3,0.27904522,-0.08314671,0.04437304,-0.17932793,-0.26988441,-0.22766888,-0.38981926,0.76488578,-0.63608181,-0.36331204,-0.07764990,-0.44890407,-0.30185950,-0.23301949,-0.64052057,-0.73930800,-0.75853837,-0.97195917,0.24435718,1.76087344,-0.24283986,-0.44565979,-0.22188152,-0.25807077,-0.29882613,-0.28796864,0.18962698,0.01196255,-0.31528628,-0.08629799,-0.02249520,-0.31094503,-0.10220899,-0.20942099,0,14:44:54.3,0,0
4,1.98733616,-0.08314671,0.07212760,-0.19091724,-0.26988441,-0.24522690,-0.41717699,0.47037688,-0.67723942,-0.36435348,-0.02272763,-0.49271810,-0.44718492,-0.00666491,-0.70933831,-0.74380249,0.60666209,-1.35635710,-0.68180853,-1.28612185,-0.37821054,-0.48819640,-0.25289488,-0.25148159,-0.27128482,-0.23802607,-1.14434540,-0.32584029,-0.29351094,-0.08629799,-0.05774749,-0.48978898,-0.14467996,-0.46816301,0,14:44:54.4,0,0
5,1.06722558,-0.08314671,0.03068981,-0.19325176,-0.51560557,-0.20529684,-0.24703516,0.70290655,-0.06313210,-0.36101502,-0.03149913,-0.46728975,-0.35619634,0.18651249,-0.66054642,-0.73414761,1.52976680,-1.04907835,0.10677605,0.02921034,-0.23740253,-0.51017976,-0.26537409,-0.26852313,-0.26871261,-0.20851506,0.25275606,0.09685677,-0.31223127,-0.17837778,-0.10135250,0.01543518,-0.16635650,-0.08511633,0,14:44:54.5,0,0
6,-1.57386553,-0.08314671,-0.01019703,-0.15200797,-0.26988441,-0.22441603,-0.35088974,0.49397808,-0.51694614,-0.36904702,-0.03149913,-0.51192945,-0.31417969,0.15015650,-0.72794962,-0.78613746,1.45914912,-1.24535203,0.09788364,0.02921034,-0.36189353,-0.51099813,-0.26701966,-0.34547970,-0.33456200,-0.27006847,-0.11873676,-0.12932323,-0.34603012,-0.17837778,-0.05323581,-0.44213048,-0.14568174,-0.27224067,0,14:44:54.6,0,0
7,-0.41022348,-0.08314671,0.07188266,-0.13347977,-0.51560557,-0.14818472,-0.22156273,0.70839095,-0.06313210,-0.34999371,-0.00070913,-0.42921469,-0.33624098,0.24355829,-0.57016891,-0.68831092,2.27172709,-1.13246858,0.15151137,1.74430561,-0.31006089,-0.46612492,-0.23515509,-0.19507137,-0.22157134,-0.19091968,0.52783644,0.04343168,-0.24662045,-0.08629799,-0.02249520,0.06920447,-0.09025754,-0.00092460,0,14:44:54.7,0,0
8,-1.02270925,-0.08314671,0.05247669,-0.16169490,-0.51560557,-0.23396720,-0.41720527,0.60904247,-0.72238415,-0.32553309,0.06436191,-0.44329247,-0.39258897,0.01378380,-0.57092518,-0.71074212,0.58982897,-1.14297140,-0.05307599,0.04567780,-0.34384796,-0.46612492,-0.25289488,-0.25807077,-0.26536140,-0.20241378,-0.04693862,0.23149216,-0.29905629,-0.04194308,-0.03132623,-0.20211908,-0.09935593,-0.17949945,0,14:44:54.8,0,0
9,1.50460947,-0.08314671,0.09955503,-0.14120358,-0.26988441,-0.18612181,-0.33580297,0.74477786,-0.42727175,-0.34969687,-0.18512124,-0.41034278,-0.35449976,-0.71206987,-0.59689528,-0.72138900,-2.99150920,-1.16549933,-0.01701029,1.77743959,-0.25780842,-0.42505193,-0.22541125,-0.24499625,-0.24569945,-0.20370172,-0.03730646,0.25844291,-0.25979543,-0.04194308,-0.02685677,0.10056638,-0.09935593,0.08352192,0,14:44:54.9,0,0
10,1.06722558,-0.08314671,0.05536870,-0.15200797,-0.51560557,-0.16869682,-0.25637260,0.43870443,-0.22603814,-0.35777986,-0.05998120,-0.44168392,-0.28080088,-0.40464276,-0.60560167,-0.69350255,-0.66978228,-1.29054964,-0.27080756,-3.54514337,-0.36173490,-0.46426010,-0.23344356,-0.23625657,-0.27385709,-0.22490969,-0.56056029,-0.09343675,-0.30229014,-0.17837778,-0.06640495,-0.81619757,-0.14645271,-0.59893006,0,14:44:55.0,0,0
11,1.50460947,-0.08314671,0.03612396,-0.17012355,-0.26988441,-0.18972766,-0.24403974,0.51308775,-0.26901841,-0.33331504,-0.05998120,-0.46176672,-0.36152208,0.06726804,-0.65920138,-0.71074212,1.58435225,-1.31763244,-0.52509284,1.08132148,-0.33909917,-0.43304563,-0.20385043,-0.28829071,-0.27974528,-0.22652166,-0.13299654,-0.13375807,-0.30805352,-0.17837778,-0.08546004,0.01543518,-0.16538060,-0.06641895,0,14:44:55.1,0,0
12,-1.57386553,-0.28525215,0.01433788,-0.20374295,-0.26988441,-0.23681463,-0.32461202,0.36664370,-0.24959064,-0.35584760,-0.08201742,-0.49972424,-0.37827802,-0.44617262,-0.72481948,-0.76510388,-3.02540827,-0.94981396,0.43707874,2.38374329,-0.22653136,-0.45558551,-0.23253819,-0.34234229,-0.34245142,-0.24559648,0.57492650,0.16035374,-0.33357477,-0.26894197,-0.10238276,-0.07595351,-0.17800225,-0.13270226,0,14:44:55.2,0,0
13,1.50460947,-0.08314671,0.13960509,-0.15200797,-0.26988441,-0.15775821,-0.27011105,0.45796421,-0.14964879,-0.34219310,-0.07764990,-0.42442054,-0.37144879,0.47487035,-0.60479075,-0.70701635,2.30529022,-1.24261844,-0.14105688,1.08132148,-0.29691976,-0.41165927,-0.21110354,-0.13677268,-0.16167037,-0.19091968,0.28102475,0.11919679,-0.29482576,-0.08629799,-0.03734335,-0.24719882,-0.12486154,-0.23197877,0,14:44:55.3,0,0
14,-1.02270925,-0.08314671,0.05502341,-0.15200797,-0.51560557,-0.15991190,-0.14404351,0.37125471,-0.06313210,-0.34665453,-0.00508714,-0.42442054,-0.26391628,-0.19603921,-0.60479075,-0.74474549,0.62768453,-1.00169945,0.28938451,-1.20695758,-0.23131503,-0.45178863,-0.25404894,-0.21239583,-0.26303485,-0.25893560,0.22794741,-0.12038751,-0.29933074,-0.17837778,-0.04608181,0.00471137,-0.12031620,-0.09045587,0,14:44:55.4,0,0
15,0.65610421,-0.08314671,0.09601189,-0.13290343,-0.26988441,-0.19737731,-0.26887751,0.56067634,-0.38429147,-0.37084106,-0.19394974,-0.44168392,-0.26391628,0.08799380,-0.60698909,-0.72222233,-0.72068280,-0.98763710,0.01477071,0.12465383,-0.12291778,-0.43203285,-0.23172778,-0.17276925,-0.22945355,-0.21680446,0.22312060,0.00301195,-0.28610295,-0.13470647,-0.05481158,-0.20680037,-0.10958952,-0.15546252,0,14:44:55.5,0,0
16,-1.02270925,-0.08314671,-0.01019703,-0.14221753,-0.26988441,-0.24467030,-0.40355769,0.45815995,-0.76941133,-0.34864655,-0.17182496,-0.40095720,-0.32044432,-0.13800539,-0.58790511,-0.70330435,-0.70373273,-1.11530244,0.10968239,-1.17324066,-0.23205395,-0.40958431,-0.21189496,-0.22552130,-0.26823708,-0.23470464,0.32381546,0.23149216,-0.26419064,-0.17837778,-0.03736622,0.12043501,-0.10958952,0.02696172,0,14:44:55.6,0,0
17,-0.07897202,-0.08314671,0.01694001,-0.15926558,-0.26988441,-0.22792758,-0.24703516,0.52670938,-0.07677593,-0.33669874,-0.05559616,-0.41969693,-0.25966069,-0.44617262,-0.62450993,-0.76717663,0.60666209,-1.23060942,-0.16361664,1.82328165,-0.33581534,-0.43304563,-0.22447410,-0.23224431,-0.24385342,-0.23593868,0.54655355,-0.15162708,-0.31223127,-0.22598670,-0.06779234,-0.29563838,-0.13160470,-0.29976061,0,14:44:55.7,0,0
18,0.65610421,-0.08314671,0.02521487,-0.20374295,-0.26988441,-0.27148050,-0.43098906,0.69590783,-0.76826698,-0.33331504,0.07318331,-0.41498488,-0.28503945,-0.38796297,-0.62450993,-0.74281812,-2.99150920,-1.46073878,-0.81585437,-3.47796607,-0.47345212,-0.43203285,-0.21189496,-0.24068335,-0.23533528,-0.24442184,0.26217416,0.07907171,-0.29036042,-0.26894197,-0.10228511,-0.11744803,-0.16461964,-0.13323584,0,14:44:55.8,0,0
19,-1.30723798,-0.08314671,0.00566886,-0.17153732,-0.51560557,-0.20319811,-0.17122656,0.59649444,-0.07677593,-0.35777986,-0.05115269,-0.40103662,-0.19669262,-0.15880948,-0.61016297,-0.74825865,0.60666209,-0.98768026,0.43707874,1.80657721,-0.22653136,-0.43676737,-0.20307124,-0.26852313,-0.26333225,-0.23754808,0.42249694,0.18249620,-0.32076240,-0.22598670,-0.08951809,-0.05519651,-0.15569840,-0.05955433,0,14:44:55.9,0,0
