Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190406141519
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,1824,1600,1337,1019,1249,967,793,698,588,0,697,641,860,0,737,665,693,639,1234,0,2000,1409,1552,1104
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Analog Gain,15,15,24,24,12,12,6,6,12,12,15,15,6,6,15,15,15,15,6,6,72,72,7,7,7,7,22,22,15,15,7,7,7,7,12,12,7,7,15,15,15,15,6,6,7,7,12,12,6,6,72,72,12,12,12,12,56,56,72,72,24,24,31,31,7,7,22,22,12,12,15,15,7,7,6,6,7,7,30,30,6,6,24,24,6,6,31,31,12,12,6,6,7,7,12,12,7,7,6,6,7,7,12,12,31,31,31,31,72,72,72,72
Digital Gain,2.17,4.00,2.04,3.90,2.14,5.93,1.86,4.08,1.94,3.33,3.09,6.16,2.29,3.72,2.12,3.39,6.58,10.20,1.98,3.26,2.73,36.62,2.49,3.05,2.35,48.16,5.08,1.00,2.21,3.69,3.58,9.63,2.47,77.71,3.24,5.98,1.95,41.21,1.64,59.36,4.78,6.61,2.60,4.33,2.49,4.33,3.02,4.61,2.55,4.01,4.39,7.15,1.55,47.46,1.29,21.21,2.50,5.93,2.29,67.60,1.43,4.32,12.62,37.20,2.47,5.84,3.69,13.29,1.78,2.85,1.80,5.00,3.46,7.51,1.70,2.94,2.29,3.62,2.07,3.11,1.94,2.55,1.68,58.16,14.08,100.00,2.38,3.88,1.88,3.40,1.22,25.91,1.40,28.97,2.02,3.07,2.95,4.59,1.56,2.29,2.51,5.87,1.31,50.05,1.73,39.29,1.68,3.98,4.28,4.31,3.50,3.52

Measurement Information
Date,2019/04/06 14:15:23
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.23096630,-0.72381765,-0.20854120,-0.38394392,-0.66667318,-0.28768888,-0.51048827,-0.67033809,-0.24151309,-0.42844346,-6.47737980,-0.22131155,-0.04985068,-1.18725145,-0.64314216,-0.84556973,-0.60287136,-0.77490383,0.47150853,1.18281686,-0.59825814,-0.70882469,-0.54900539,-0.51665103,-0.51414013,-3.52699184,1.13642037,-0.24271396,-1.39366436,-0.82552409,-0.48344570,-0.76816219,-0.27420941,-0.60016721,0,14:15:32.1,0,0
2,-0.30771160,-0.76915711,-0.27324948,-0.39235398,-0.66667318,-0.27114353,-0.48955545,-0.68855327,-0.15046337,-0.45619324,-6.51556730,-0.21335979,-0.48063046,-1.01266694,-0.64522868,-0.80074120,-1.28727877,-0.85847247,-0.46069312,0.42933148,-0.61367422,-0.76714784,-0.62120116,-0.61682737,-0.59058255,-3.61200714,-1.12526476,-0.28944111,-1.45071566,-0.72817206,-0.48801780,-0.88792109,-0.25771350,-0.64052290,0,14:15:32.2,0,0
3,-0.28276062,-0.78032643,-0.26417208,-0.46152088,-0.71207190,-0.22434446,-0.45021108,-0.66042012,-0.13149892,-0.44720608,-6.53533316,-0.22814560,0.09129127,-1.18725145,-0.63214016,-0.66904563,0.73471999,-0.85095644,0.19808270,0.94485295,-0.63770157,-0.77746123,-0.64232707,-0.55314600,-0.53699982,-3.44016361,-0.04089218,-0.17532699,-1.45400965,-0.69397873,-0.50388288,-0.41280881,-0.27713156,-0.47200310,0,14:15:32.3,0,0
4,-0.27222964,-0.80279374,-0.25692683,-0.47649267,-0.72866589,-0.31480479,-0.52099913,-0.69109482,-0.23932049,-0.46429083,-6.74432755,-0.28709465,-0.10088497,-1.06168723,-0.72978026,-0.71006674,0.24601936,-0.81874955,0.38763458,0.75217181,-0.58575433,-0.76395452,-0.61958110,-0.59745532,-0.57233953,-3.60695577,0.35536981,-0.24271396,-1.41060197,-0.61294234,-0.53781307,-1.12987208,-0.30819023,-0.66074282,0,14:15:32.4,0,0
5,-0.28276062,-0.78099144,-0.24956898,-0.44492978,-0.69581360,-0.19802229,-0.45886359,-0.64152604,-0.07142912,-0.43015999,-6.51491833,-0.27246588,-0.12391638,-1.06168723,-0.70884526,-0.82424390,-1.37130797,-0.77490383,0.28580371,0.36863121,-0.57926297,-0.78829265,-0.65508050,-0.53060955,-0.51696122,-3.52249599,0.81868559,-0.17965852,-1.41675389,-1.45921516,-0.51559794,-0.64271456,-0.31129748,-0.57545549,0,14:15:32.5,0,0
6,-0.28382316,-0.73189580,-0.26312330,-0.41454345,-0.64443702,-0.20949757,-0.46012965,-0.61969107,-0.15399016,-0.42904010,-6.47590446,-0.19950619,0.11457720,-1.18725145,-0.63573748,-0.75137889,0.00198820,-0.83953106,0.18876074,0.20648494,-0.62073189,-0.72890288,-0.60740566,-0.47154492,-0.46722841,-3.52249599,0.83515173,-0.21252626,-1.46197426,-0.24188559,-0.49603832,-0.76852548,-0.27117237,-0.54370046,0,14:15:32.6,0,0
7,-0.25126716,-0.79090703,-0.21020287,-0.44678408,-0.72466624,-0.25942850,-0.43806499,-0.65916073,-0.12064526,-0.42904010,-6.76805162,-0.23773773,-0.46654075,-0.96314490,-0.67597187,-0.88255322,-3.58812237,-0.76107943,-0.02930757,0.18308148,-0.52163655,-0.75178176,-0.62120116,-0.59300697,-0.59556431,-3.39623070,-0.24535416,-0.20387886,-1.41983783,-0.84069192,-0.49011010,-0.03504964,-0.29188973,-0.42417303,0,14:15:32.7,0,0
8,-0.32339439,-0.77164674,-0.30731949,-0.44678408,-0.70645410,-0.22953540,-0.44798756,-0.64966166,-0.12412639,-0.40913290,-6.34825659,-0.23635280,-0.02656476,10.34658146,-0.67530149,-0.57125777,1.50759721,-0.87012011,0.03105822,0.57249290,-0.64364839,-0.80015105,-0.65321976,-0.57894129,-0.58183706,-3.45769262,-0.21736415,-0.15807156,-1.45991325,-0.42533895,-0.48763910,-0.70877230,-0.26973063,-0.61597568,0,14:15:32.8,0,0
9,-0.28103530,-0.79176164,-0.24956898,-0.47210959,-0.71353346,-0.24986601,-0.44724691,-0.64966166,-0.15076356,-0.41820869,-6.27863693,-0.22255737,-0.16460991,-1.03726196,-0.67666292,-0.65588456,0.51357526,-0.78932863,0.16088901,0.56321800,-0.60235238,-0.77746123,-0.63036036,-0.56115180,-0.56490278,-3.39868593,1.11165571,-0.19952281,-1.42158687,-0.92917389,-0.50138903,-0.58924210,-0.30657431,-0.50151885,0,14:15:32.9,0,0
10,-0.34085450,-0.82913184,-0.33803642,-0.49286160,-0.72154218,-0.21870069,-0.40892830,-0.66870242,-0.09291068,-0.45444867,-6.16280079,-0.28462598,-0.66933584,-0.93821537,-0.72919768,-0.76206148,-2.28894925,-0.85388994,-0.14100780,0.54007030,-0.65608102,-0.79109740,-0.61670959,-0.55302668,-0.50398707,-3.69184899,0.23052768,-0.19521719,-1.36718297,-0.62037194,-0.54693782,-1.42101657,-0.33434668,-0.73553127,0,14:15:33.0,0,0
11,-0.22897831,-0.72797620,-0.19772603,-0.38320524,-0.63882250,-0.15875226,-0.40937200,-0.66387355,-0.05849383,-0.44548401,-6.41141987,-0.20073637,-0.43356344,-0.83741748,-0.68544644,-0.64016658,-1.67683172,-0.74634999,-0.17361985,0.16913326,-0.50243753,-0.77920151,-0.63218278,-0.54847217,-0.52371472,-3.56876802,-0.47911358,-0.22880478,-1.40443945,-0.49078962,-0.50525904,-1.24671376,-0.29043221,-0.73719913,0,14:15:33.1,0,0
12,-0.22897831,-0.73677349,-0.19037461,-0.40252241,-0.64569867,-0.08101790,-0.36522222,-0.65390253,0.04516065,-0.41895282,-6.08372402,-0.19963869,-0.10809280,-1.06168723,-0.65636873,-0.74267131,0.03930838,-0.83650970,-0.04812108,0.59577763,-0.61062437,-0.75467712,-0.60584265,-0.54808849,-0.55880570,-3.65077305,-0.09909333,-0.16476724,-1.33734322,-0.25734061,-0.50420946,-0.76740313,-0.30079389,-0.59355897,0,14:15:33.2,0,0
13,-0.29448977,-0.79577428,-0.24672200,-0.46526718,-0.67588603,-0.16672537,-0.41944093,-0.61062211,-0.09661119,-0.41991469,-6.39895868,-0.22961435,0.02985622,-1.06168723,-0.66250068,-0.71540236,-0.58887702,-0.83424604,0.29507849,1.10344815,-0.62073189,-0.76395452,-0.59668338,-0.49672496,-0.47711289,-3.28895736,0.37641275,-0.17347689,-1.38433039,-0.44138744,-0.51190251,-0.19789787,-0.32282886,-0.37642288,0,14:15:33.3,0,0
14,-0.27581462,-0.77301705,-0.24075460,-0.45323187,-0.68467456,-0.23329656,-0.41869399,-0.64166826,-0.09012460,-0.42814577,-6.35515213,-0.23373684,-0.23860347,-1.06168723,-0.66476583,-0.56614614,0.53689981,-0.82671088,-0.49358600,0.16913326,-0.65037543,-0.77637553,-0.62017339,-0.59300697,-0.53635877,-3.34853768,0.21038207,-0.16476724,-1.47370875,-0.92474318,-0.50138903,-1.19642007,-0.31979614,-0.76042837,0,14:15:33.4,0,0
15,-0.24418813,-0.82101744,-0.22334957,-0.49286160,-0.70600158,-0.11227295,-0.35467231,-0.64125490,0.02316331,-0.40980116,-6.03860950,-0.23773773,-0.26232994,-1.13928211,-0.71423197,-0.62650716,0.71153331,-0.89880061,-0.25757834,0.53542924,-0.68919718,-0.81367546,-0.65321976,-0.49680799,-0.46604940,-3.38853979,0.81484717,-0.22009513,-1.41983783,-0.49219304,-0.53584814,0.34353858,-0.33434668,-0.23375396,0,14:15:33.5,0,0
16,-0.25377843,-0.82364392,-0.24075460,-0.48035508,-0.68725932,-0.09527768,-0.34405518,-0.65089542,0.01392108,-0.43544212,-6.08966064,-0.26176661,-0.26232994,-1.16331899,-0.74606544,-0.68256664,0.21367854,-0.81874955,0.37840647,0.51701909,-0.57402492,-0.80015105,-0.63036036,-0.60893703,-0.55987829,-3.41342473,0.48486194,-0.22880478,-1.34510982,-0.30216557,-0.51559794,-0.76305819,-0.32857534,-0.56190854,0,14:15:33.6,0,0
17,-0.18719068,-0.75987476,-0.12406718,-0.40373087,-0.60828680,-0.07013079,-0.34146008,-0.60896403,0.02316331,-0.38576204,-5.96402311,-0.15692525,-0.00778404,-0.96314490,-0.64097816,-0.56170720,-0.47101116,-0.84127206,-0.18300547,0.36863121,-0.62718874,-0.77637553,-0.63397145,-0.46531990,-0.45444390,-3.27667618,0.36982363,-0.15604442,-1.37981641,-0.14251572,-0.44281444,-0.21220866,-0.26236159,-0.50864404,0,14:15:33.7,0,0
18,-0.24609908,-0.73823678,-0.23951147,-0.40143821,-0.63238376,0.00892167,-0.29291120,-0.56978261,0.14142583,-0.35889196,-5.12846518,-0.19004084,-0.49381828,-1.06168723,-0.68619990,-0.64279962,-0.21842733,-0.80592066,0.07758963,0.57249290,-0.62073189,-0.79002631,-0.62017339,-0.50556636,-0.44775778,-3.11405993,-0.12201758,-0.09719565,-1.32142448,-1.42320478,-0.46235523,-1.25691569,-0.30819023,-0.67043912,0,14:15:33.8,0,0
