Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190414141657
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,1824,1600,1537,1136,724,657,743,668,623,0,722,656,695,0,737,665,613,592,1244,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Analog Gain,15,15,72,72,12,12,6,6,6,6,15,15,24,24,31,31,31,31,6,6,6,6,7,7,7,7,12,12,15,15,6,6,7,7,12,12,6,6,7,7,12,12,6,6,6,6,15,15,15,15,60,60,15,15,15,15,31,31,24,24,15,15,31,31,15,15,31,31,15,15,7,7,7,7,24,24,24,24,31,31,6,6,7,7,6,6,44,44,7,7,7,7,12,12,12,12,7,7,6,6,12,12,24,24,6,6,15,15,31,31,88,88
Digital Gain,2.25,3.47,2.33,2.37,1.93,4.49,1.71,2.89,21.08,44.99,3.44,6.49,3.37,8.32,2.05,7.61,7.96,11.63,1.61,2.88,1.15,17.08,2.78,3.78,1.85,32.13,4.52,91.10,2.74,4.03,2.45,5.99,3.37,100.00,2.55,5.13,1.53,30.23,3.43,100.00,3.81,5.57,2.49,3.95,2.87,4.13,3.02,4.18,3.02,4.35,2.17,6.16,1.65,49.25,1.61,31.29,1.89,5.33,9.62,100.00,1.47,2.94,26.74,42.89,1.35,2.81,9.75,24.55,2.10,3.04,2.36,5.07,4.05,7.50,2.74,6.62,2.08,4.87,3.14,4.81,2.13,3.14,1.70,37.95,6.70,100.00,2.17,2.22,1.94,3.87,1.42,34.27,1.17,24.86,1.97,3.11,2.55,3.80,2.32,3.05,1.81,4.13,1.28,39.73,8.02,100.00,1.38,4.54,1.88,3.24,1.22,1.26

Measurement Information
Date,2019/04/14 14:17:01
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.18870682,0.16782251,-0.31593338,-0.31177744,-0.59052885,-0.54304045,-0.69426358,-0.89067018,-0.65329719,-0.89248013,-0.36767486,-0.84933770,-0.21305256,-0.63427305,-1.00013244,-0.98064983,1.27550435,-1.02090621,0.13348986,0.45819178,-0.59731168,-0.77429676,-0.51585591,-0.44932419,-0.42131138,-0.89146972,0.25664759,-0.02241568,-0.14486392,-1.29273295,0.21772097,-0.60802805,-0.05369817,-0.23354481,0,14:17:10.1,0,0
2,-0.17966050,0.13074678,-0.29514730,-0.32654828,-0.59052885,-0.50406665,-0.63931650,-0.87046736,-0.59063166,-0.89536667,-0.48861659,-0.88485354,-0.49251351,-4.24309731,-1.02895355,-1.03202224,-4.66350508,-1.06712985,-0.05875761,0.44464484,-0.62394470,-0.79447800,-0.50211746,-0.47462997,-0.44349638,-0.85859978,-0.27087945,0.06318720,-0.15856320,-0.81371391,0.17283414,-0.07923342,-0.06699726,-0.10418820,0,14:17:10.2,0,0
3,-0.17222543,0.09804887,-0.27876753,-0.35580865,-0.85373044,-0.56776518,-0.71348083,-0.91115475,-0.68647444,-0.89611989,-0.35448471,-0.88010788,-0.14436477,-1.96289325,-1.03414166,-0.99767417,-1.02942729,-1.04125881,0.20989163,0.45819178,-0.69403589,-0.76160127,-0.51843339,-0.47272646,-0.45608842,-0.92691368,0.55822146,0.08115841,-0.15847024,-0.81371391,0.16640627,0.62281322,-0.06570499,0.06347697,0,14:17:10.3,0,0
4,-0.20115924,0.06689788,-0.31593338,-0.36134344,-0.69306135,-0.65493608,-0.80575103,-0.99237257,-0.75569564,-0.91917658,-0.50618893,-0.87206495,-0.42454237,-1.98257148,-1.05958807,-1.04321587,-1.06257546,-1.07424915,-0.13640481,0.69863087,-0.63607830,-0.80920577,-0.52950352,-0.49727103,-0.47494972,-0.87249494,-0.92253840,-0.20786729,-0.19758993,-0.58845925,0.14610183,0.32751301,-0.10857545,-0.15666986,0,14:17:10.4,0,0
5,-0.24359530,0.01399129,-0.33278951,-0.38040602,-0.55717331,-0.69979781,-0.91534328,-0.90766436,-0.89017010,-0.91701448,-0.31693307,-0.88276988,-0.16196461,-0.72688514,-1.07866740,-1.03912199,0.58902532,-1.03495193,0.41387731,0.39958045,-0.64645761,-0.80741525,-0.51843339,-0.50709164,-0.45608842,-0.88201964,0.35835937,-0.04917976,-0.18686333,-0.78260583,0.10435797,0.42175218,-0.12129369,0.15838093,0,14:17:10.5,0,0
6,-0.14977689,0.06319071,-0.28221765,-0.34744772,-1.03415024,-0.54563844,-0.70232379,-0.84415364,-0.62044746,-0.88044304,-0.24625070,-0.86386788,-0.05545443,-1.35239756,-1.01037467,-1.01175356,-0.15293498,-1.08153093,-0.06581500,1.08270371,-0.64350045,-0.75240368,-0.47737700,-0.44904530,-0.44885743,-0.79617018,0.29377353,0.02253855,-0.18114153,-0.51513201,0.21656841,0.46763179,-0.04316921,0.20904191,0,14:17:10.6,0,0
7,-0.11148292,0.18164158,-0.22570696,-0.28094274,-0.62768900,-0.51597041,-0.67680502,-0.90684843,-0.52018237,-0.88699770,-0.38719082,-0.82644373,-0.38499430,-6.57252979,-0.97288483,-0.99249029,-4.69676733,-1.02200925,-0.19598781,0.49002489,-0.52691829,-0.72931421,-0.47208175,-0.33072007,-0.36813715,-0.86295444,-0.76285332,-0.12679477,-0.20658414,-0.38066512,0.23311216,-1.31286240,-0.04555104,-0.69968015,0,14:17:10.7,0,0
8,-0.14248557,0.11617518,-0.25487694,-0.29230925,-0.59052885,-0.62996626,-0.77346557,-0.94963741,-0.81678259,-0.87403351,-0.42006895,-0.86386788,-0.13047937,0.66510063,-1.03414166,-1.07356036,2.07756186,-1.18090892,-0.32680431,1.07379222,-0.71628392,-0.80837369,-0.52465695,-0.44932419,-0.46260735,-0.74986959,0.34052154,-0.03650302,-0.16747952,-0.46912616,0.20669575,0.35452247,-0.02942819,0.36481991,0,14:17:10.8,0,0
9,-0.21209563,0.07209807,-0.32049781,-0.31738901,-0.93529898,-0.59453005,-0.75055128,-1.05112040,-0.74342495,-0.91917658,-0.44085807,-0.87125105,-0.37679547,0.80322367,-1.04144859,-0.96919864,1.22819400,-1.15495837,-0.52015638,-0.84894210,-0.65797061,-0.79728973,-0.50750375,-0.39955765,-0.41304439,-0.81998336,-0.13480808,-0.20147757,-0.21137647,-0.51513201,0.19029422,-1.84343219,-0.04821545,-0.61483639,0,14:17:10.9,0,0
10,-0.22107516,0.08574982,-0.33163172,-0.31024089,-0.48605019,-0.52449894,-0.68343168,-1.00416315,-0.54250991,-0.88693798,-0.43149412,-0.85474306,-0.25275931,-2.00710082,-1.03702712,-1.05583894,-1.12364435,-1.09441400,-0.06334925,-0.43585014,-0.62861609,-0.83117104,-0.55680990,-0.53444833,-0.50270426,-0.72950792,-1.33933246,-0.10862780,-0.15847024,-0.26198086,0.16437721,-0.41709390,-0.07617994,-0.33806279,0,14:17:11.0,0,0
11,-0.24257244,-0.05802208,-0.31933725,-0.38040602,-0.91243482,-0.62063563,-0.78509420,-1.01214302,-0.82305259,-0.92153370,-0.30815387,-0.89098382,-0.25275931,0.27341011,-1.10096657,-1.02255535,1.16733897,-1.18090892,-0.39211717,-0.91069579,-0.77563339,-0.88825744,-0.60644907,-0.52607632,-0.49452004,-0.78380555,0.28909764,0.00900254,-0.17343298,-1.05972815,0.11708735,-0.47067988,-0.11561520,-0.37046704,0,14:17:11.1,0,0
12,-0.17677228,-0.02748109,-0.27144775,-0.34181377,-0.42665592,-0.59674388,-0.72027522,-0.98245841,-0.75389838,-0.89878774,-0.26399285,-0.89443237,0.03277873,0.12440852,-1.08443511,-1.01603270,1.13483393,-1.05521762,0.28488818,1.01937628,-0.60813719,-0.79728973,-0.49670377,-0.46194166,-0.44240394,-0.67332053,0.60915518,0.08115841,-0.15740764,-0.98033190,0.12488081,0.60634518,-0.10535778,0.12781799,0,14:17:11.2,0,0
13,-0.17147678,0.18653738,-0.29063508,-0.24587680,-0.37954965,-0.48552287,-0.65745598,-1.02945030,-0.53594238,-0.89611989,-0.38719082,-0.86294019,-0.15519968,-4.42343378,-1.00429702,-1.08080816,-0.98459071,-1.04545724,0.05693496,-0.66402417,-0.55251479,-0.75823879,-0.45979083,-0.41276383,-0.46617496,-0.85612309,-0.73896205,-0.09040102,-0.18114153,-1.59115481,0.23872872,2.93035698,-0.03256182,-1.57054543,0,14:17:11.3,0,0
14,-0.21504799,0.14706580,-0.31574196,-0.29588479,-0.83470017,-0.56536508,-0.75358826,-1.03447306,-0.73884505,-0.87865889,-0.33244851,-0.84933770,-0.30639610,1.56182516,-1.04720294,-0.96919864,2.87991500,-1.02094483,0.23976864,0.30616179,-0.54411799,-0.82845289,-0.56789196,-0.46265146,-0.48494455,-0.78929305,-0.53438121,0.16709051,-0.16463345,-0.84919447,0.20450918,0.13364249,-0.03999117,-0.09845351,0,14:17:11.4,0,0
15,-0.20356721,0.16482252,-0.26225224,-0.28728619,-0.45464084,-0.63357872,-0.86053371,-1.02405620,-0.84504187,-0.90528643,-0.41138062,-0.85566479,-0.24052975,-1.35239756,-1.03414166,-1.14718437,-2.51846504,-1.16660357,-0.15414578,0.30616179,-0.68455362,-0.81743264,-0.51051116,-0.41400805,-0.41575459,-0.75957829,-0.29251832,0.05421480,-0.14857100,0.08514707,0.17958359,0.07593891,-0.06341463,-0.11074262,0,14:17:11.5,0,0
16,-0.22246994,0.12379490,-0.29063508,-0.32557288,-0.88015068,-0.55900156,-0.72755319,-0.90717781,-0.68647444,-0.90790868,-0.39107504,-0.89098382,-0.26650664,-0.80425400,-1.07377458,-1.17275357,-0.95172572,-1.07598114,0.16920617,0.74349248,-0.57776499,-0.73495281,-0.43653303,-0.50578129,-0.45739847,-0.72950792,-0.78186792,-0.24229708,-0.18849644,-0.64633685,0.15130241,-1.02598906,-0.07967569,-0.60307616,0,14:17:11.6,0,0
17,-0.23555078,0.11904763,-0.27036563,-0.32397932,-0.55717331,-0.60169816,-0.73850644,-0.83915621,-0.69729722,-0.91416866,-0.41181958,-0.93273783,-0.25508058,1.47576725,-1.11865950,-1.08795035,2.49699879,-1.14724493,-0.34694985,0.39958045,-0.66304713,-0.78053802,-0.46873546,-0.55167663,-0.45356384,-0.75625569,0.87680316,0.06318720,-0.11101057,-1.58663559,0.09423672,0.61447191,-0.10997903,0.33711818,0,14:17:11.7,0,0
18,-0.24359530,0.10567938,-0.31574196,-0.35580865,-0.69306135,-0.58101922,-0.74193853,-0.78301919,-0.70547807,-0.95285434,-0.35992226,-0.97279376,-0.18122335,0.57812005,-1.16443849,-1.16644120,1.63350606,-1.19039130,-0.19952437,0.95676905,-0.73744559,-0.74789804,-0.42813057,-0.63028091,-0.52317131,-0.78307271,0.78034484,0.10651673,-0.12410264,-2.05048633,0.04866656,0.07163365,-0.13151743,-0.06697149,0,14:17:11.8,0,0
19,-0.23555078,0.20847154,-0.27492458,-0.30922520,-0.48605019,-0.54563844,-0.70853859,-0.87921327,-0.59981155,-0.97896218,-0.50813609,-0.96474868,-0.14148258,0.43142357,-1.12807834,-1.28150809,0.39136559,-1.20465088,-0.17381938,1.20957518,-0.70111102,-0.71150923,-0.39103419,-0.55458397,-0.47257632,-0.88973349,0.89535308,0.06318720,-0.12870954,-1.42001760,0.09127177,-0.07662775,-0.11315521,0.00609293,0,14:17:11.9,0,0
