Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190401153349
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,653,615,623,0,592,579,605,0,637,606,663,621,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,88,88,6,6,31,31,6,6,6,6,48,48,31,31,6,6,44,44,6,6,24,24,7,7,6,6,7,7,7,7,7,7,7,7,6,6,6,6,22,22,6,6,6,6,6,6,12,12,6,6,6,6,72,72,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,72,72,31,31,7,7,7,7,12,12,62,62,7,7,6,6,6,6,7,7,7,7,6,6,24,24,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,26.52,35.81,100.00,100.00,100.00,100.00,14.63,22.81,32.11,1.00,14.68,50.56,15.89,1.00,1.47,2.65,1.42,26.06,3.20,4.45,1.29,23.29,2.93,66.06,2.59,4.75,2.71,6.50,2.24,91.78,2.36,4.56,1.51,38.79,1.43,74.13,2.71,4.48,1.72,4.54,1.38,3.62,2.33,5.37,1.77,4.55,1.00,1.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,38.01,100.00,31.32,55.79,29.47,100.00,15.17,57.92,100.00,1.00,100.00,100.00,8.06,13.38,11.80,28.13,3.04,10.65,3.27,11.63,2.55,4.07,1.88,39.49,1.15,22.37,2.94,2.95,2.73,5.84,1.13,27.33,1.01,20.79,2.01,3.90,2.09,4.20,1.28,2.73,1.62,8.79,100.00,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/04/01 15:33:56
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-2.19845772,-0.62105680,-0.66972685,-0.77551252,0.43070015,0.67972821,-0.32807529,-0.26702675,-0.07049193,0.04566190,-0.26215944,0.03476990,0.05230031,-0.26100567,-0.22963552,0.30518773,-0.25551382,-0.01485175,-0.11783443,-0.13203199,0.30963349,0.09336069,0.09591585,0.08601993,0.00000000,0.00000000,0.00000000,-3.95707965,0.00000000,0.53749907,-1.30657291,0.51893735,-0.54493952,0,15:34:05.1,0,0
2,0.00000000,-0.61484051,0.11415229,0.49120420,0.45268962,-1.22135091,0.66659600,-0.26363575,-0.01042231,-0.05576147,-0.03128893,-0.25480163,-0.14738852,-0.52783936,-0.24004497,-0.21566340,-0.73439211,-0.23725088,-0.22294016,-0.53285134,-0.11762252,0.31256363,0.10063148,0.10003626,0.07040154,0.00000000,0.00000000,0.00000000,5.99752283,0.00000000,-0.21426085,0.88748026,-0.55375016,0.19203015,0,15:34:05.2,0,0
3,0.00000000,-2.19845772,-0.35629368,-1.27603054,-2.12387991,-2.39380217,-0.55821687,-0.26363575,-0.01042231,-0.05207103,-0.01232321,-0.22663417,0.07266214,-0.09752171,-0.22623761,-0.20648658,0.30518773,-0.24401133,0.10783563,-0.06835783,-0.13203199,0.31703836,0.10506632,0.08204884,0.03868942,0.00000000,0.00000000,0.00000000,-2.72887754,0.00000000,0.02493887,-1.15307403,-0.17837152,-0.56685227,0,15:34:05.3,0,0
4,0.00000000,1.61717594,-0.03698074,0.49120420,0.45268962,-0.32036984,8.31457424,-0.12079619,2.00504231,-0.02808907,0.09566401,-0.25487399,-0.13312873,-0.28457093,-0.22637816,-0.20631768,-0.32783750,-0.20544383,-0.19965419,-0.28560519,-0.09771951,0.31703836,0.08999934,0.09241337,0.06564017,0.00000000,0.00000000,0.00000000,1.08675623,0.00000000,-0.21426085,0.18673818,-0.40811828,-0.59830618,0,15:34:05.4,0,0
5,0.00000000,-0.61484051,-0.20942220,0.93525994,1.40935719,-0.24500082,0.14354342,-0.05093944,0.07972120,-0.03273004,0.15429036,-0.22663417,0.07266214,-0.06997565,-0.20136851,-0.17848614,-0.00347433,-0.20347606,-0.20899194,-0.08191601,-0.09493266,0.31256363,0.10336990,0.10917996,0.07938108,0.00000000,0.00000000,0.00000000,-1.14526021,0.00000000,-1.32332516,-0.52837092,-0.69093174,-0.70566994,0,15:34:05.5,0,0
6,0.00000000,-2.19845772,-0.19187291,-0.15716664,-0.77551252,-0.78627181,-3.41660380,-0.18523574,-1.74556780,-0.05207103,-0.06961491,-0.23232101,0.00671057,0.47659490,-0.22430627,-0.15294604,1.09739947,-0.25300556,-0.00091643,0.28668222,-0.15633079,0.33195552,0.11631884,0.10815694,0.07491978,-27.08414650,0.00000000,0.00000000,-1.30763018,0.00000000,0.19335407,-1.00816488,-0.00336150,0.24160658,0,15:34:05.6,0,0
7,0.00000000,1.61717594,-0.16220202,1.22627079,2.03630686,0.66681814,-0.10045361,-0.12079619,0.26456195,-0.04201434,0.06706764,-0.21538067,0.14374354,-0.28457093,-0.18754756,-0.21566340,-0.32783750,-0.23523107,0.02700249,-1.01325572,-0.12029756,0.31539544,0.10430712,0.09213170,0.05455811,0.00000000,0.00000000,0.00000000,3.39148140,0.00000000,0.20540093,-1.07178450,-0.04118991,-1.65925765,0,15:34:05.7,0,0
8,0.00000000,-2.19845772,0.53499836,-0.66972685,-0.77551252,0.26543513,0.14354342,-0.04828002,-0.18095392,-0.04651476,0.07658315,-0.23232101,0.00199244,-0.06997565,-0.22429223,-0.16914040,0.35630801,-0.21032245,0.13578844,-0.53285134,-0.12031607,0.31256363,0.10226024,0.16912450,0.13747998,0.00000000,0.00000000,0.00000000,4.73984861,0.00000000,0.53749907,0.30859494,0.12725471,0.76975530,0,15:34:05.8,0,0
9,0.00000000,-0.61484051,-0.60071778,-0.02135599,0.45268962,-1.58490813,-1.18670273,-0.18523574,0.07972120,-0.04749894,0.11629372,-0.24077226,-0.01225514,0.12076595,-0.24921158,-0.18909627,0.36563823,-0.22143303,-0.08738102,-0.51481837,-0.10676891,0.29627863,0.08723796,0.08976997,0.04108987,0.00000000,0.00000000,0.00000000,-0.42415228,0.00000000,-0.40090278,-1.51254249,-0.17837152,-1.31292033,0,15:34:05.9,0,0
10,0.00000000,1.61717594,-0.73270023,0.71371055,0.68793947,0.06090302,0.66659600,-0.04828002,0.07972120,-0.04749894,0.11629372,-0.28744373,-0.15209444,-0.09752171,-0.27209002,-0.19844201,0.34699389,-0.22401845,0.12179412,-0.29916340,-0.11854012,0.31256363,0.11122970,0.10003626,0.09038064,0.00000000,0.00000000,0.00000000,-1.14526021,0.00000000,-0.40090278,-0.85824972,-0.04118991,-0.91928488,0,15:34:06.0,0,0
11,0.00000000,-2.19845772,-0.48827615,-0.15716664,-0.77551252,-1.62593889,-0.77357203,-0.12079619,-0.09911337,-0.06032212,0.14520128,-0.27604884,0.10587724,-0.11127163,-0.26296151,-0.20631768,-0.29983702,-0.23500209,-0.21362606,-0.51930422,-0.15832238,0.31703836,0.10506632,0.08204884,0.03905975,0.00000000,0.00000000,0.00000000,-0.04961458,0.00000000,-0.58136481,-0.95449811,-0.17837152,-0.99545264,0,15:34:06.1,0,0
12,0.00000000,-2.19845772,-0.31050834,-0.15716664,0.18115507,-0.25603887,-1.18670273,-0.18523574,-0.51726341,-0.06587839,-0.14540619,-0.27619022,-0.01225514,0.09328879,-0.27209002,-0.18909627,0.36563823,-0.24202193,0.12179412,0.08343418,-0.11854012,0.30518425,0.09241846,0.02737151,0.00744984,0.00000000,0.00000000,0.00000000,-2.72887754,0.00000000,0.20540093,-0.93750381,0.26568422,-0.26095328,0,15:34:06.2,0,0
13,0.00000000,-0.61484051,-0.32661471,-1.36961997,-3.20040298,-0.00517296,3.04189062,-0.25347495,1.17611098,-0.05660179,0.05972761,-0.22948241,-0.00754921,-0.32586691,-0.24004497,-0.20631768,-0.27641356,-0.22832593,0.12647435,-0.32161194,-0.13475567,0.29182941,0.09783618,0.07297304,0.05005932,0.00000000,0.00000000,0.00000000,5.99752283,0.00000000,-1.14286304,-1.27006567,-1.29723549,-1.89785099,0,15:34:06.3,0,0
14,0.00000000,-2.19845772,-0.23434252,0.28688911,0.18115507,-1.29055953,-0.98089659,-0.11651926,-0.51726341,-0.07049193,0.08439174,-0.26488063,0.05365383,0.26946521,-0.21971376,-0.17848614,0.66514224,-0.27341473,0.09396929,-0.12677778,-0.19448683,0.26947108,0.07914486,0.12271396,0.07051030,0.00000000,0.00000000,0.00000000,0.65268046,0.00000000,0.63740981,0.39188600,0.38832113,1.39756954,0,15:34:06.4,0,0
15,0.00000000,1.61717594,0.03401542,1.67032647,2.99297452,-0.66522497,-3.28431129,-0.18523574,-1.05579174,-0.05576147,-0.01324514,-0.22948241,-0.01225514,0.44912931,-0.25187713,-0.15577269,0.92265552,-0.21044940,-0.10600947,-0.11783443,-0.13203199,0.31865409,0.10577946,0.17179799,0.12399545,0.00000000,0.00000000,0.00000000,-1.65235436,0.00000000,0.36270937,-0.84704942,0.38832113,0.13105430,0,15:34:06.5,0,0
16,0.00000000,-2.19845772,-0.07276924,-0.66972685,-2.12387991,-1.55184305,2.25597692,-0.12079619,0.95863003,-0.03828631,0.10683548,-0.18237454,0.03053938,-0.08379447,-0.17378362,-0.17501853,0.04767508,-0.23500209,-0.10132924,-0.51481837,-0.13114685,0.32774779,0.11917298,0.10500700,0.06369877,0.00000000,0.00000000,0.00000000,-0.42415228,0.00000000,-1.32332516,-0.06272447,-0.82936126,0.02627144,0,15:34:06.6,0,0
17,0.00000000,1.61717594,-0.41343552,0.71371055,0.68793947,0.45368394,3.38768744,-0.26363575,-0.59821028,-0.03364534,0.01150559,-0.21255480,0.02100704,0.13458477,-0.20133230,-0.16914040,0.33763775,-0.22143303,0.02236837,-0.29916340,-0.11762252,0.31703836,0.10063148,0.13529199,0.08380529,0.00000000,0.00000000,0.00000000,-2.72887754,0.00000000,0.02493887,1.08310390,0.12725471,1.30831158,0,15:34:06.7,0,0
18,0.00000000,-0.61484051,0.03401542,-0.15716664,-0.77551252,0.47386503,5.34042788,-0.05093944,-0.67798358,-0.03273004,0.12440972,-0.25480163,-0.04817758,0.13458477,-0.22896060,-0.15214512,0.62779605,-0.18770707,0.15446439,-0.05476613,-0.08419087,0.34110263,0.13414720,0.18812518,0.13478391,0.00000000,0.00000000,0.00000000,-1.63323188,0.00000000,0.36270937,-1.18795073,0.51893735,-0.32988906,0,15:34:06.8,0,0
19,0.00000000,1.61717594,0.00449358,0.10740680,0.68793947,-1.04425800,1.25420189,-0.26363575,0.45582548,-0.04201434,-0.02652280,-0.22669289,0.02100704,-0.05612206,-0.20136851,-0.16096318,0.03834486,-0.15773913,0.18259750,-0.28560519,-0.04323680,0.32611075,0.10430712,0.10618617,0.07938108,0.00000000,0.00000000,0.00000000,-1.14526021,0.00000000,0.20540093,-0.26521027,0.40286583,-0.04158944,0,15:34:06.9,0,0
