Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190402091419
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1712,1456,1204,940,688,636,668,0,632,603,690,0,652,615,618,595,1704,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under
Analog Gain,24,24,6,6,31,31,98,98,6,6,15,15,12,12,6,6,31,31,12,12,15,15,6,6,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,6,7,7,6,6,7,7,12,12,15,15,14,14,15,15,88,88,6,6,72,72,31,31,72,72,31,31,6,6,62,62,15,15,12,12,6,6,56,56,6,6,6,6,7,7,6,6,15,15,6,6,6,6,15,15,15,15,7,7,12,12,15,15,6,6,6,6,6,6,6,6
Digital Gain,49.17,1.00,100.00,1.00,2.64,4.11,5.21,5.22,26.28,46.23,4.39,5.62,2.92,5.27,1.69,2.03,8.84,16.75,2.54,2.16,1.44,28.67,2.28,1.89,1.34,25.33,1.79,37.59,2.59,3.36,4.63,5.54,1.81,56.46,2.35,3.10,2.47,100.00,1.52,42.02,3.27,3.27,3.75,3.86,2.78,2.80,3.09,3.48,3.06,3.25,11.31,20.08,1.57,75.85,1.37,21.59,11.73,11.82,21.66,100.00,1.00,1.00,52.65,64.75,5.38,5.49,1.00,100.00,75.96,1.00,2.62,2.68,2.74,4.06,2.66,4.52,2.25,3.39,2.97,4.87,2.51,2.25,1.07,19.87,1.32,28.51,10.94,15.73,2.06,2.85,1.00,18.71,100.00,100.00,100.00,100.00,2.72,2.92,3.20,2.99,2.06,2.90,1.25,39.10,24.12,100.00,19.59,62.45,51.46,61.78,63.50,64.75

Measurement Information
Date,2019/04/02 09:14:23
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,1.99885130,0.14527908,-0.03861186,-2.76014256,-0.37450463,-0.13466306,-0.07298680,-0.13854192,-0.07471525,-0.21496876,-0.00839982,-0.41066253,-0.24742952,-0.34024939,-0.39162168,-0.56795710,-0.10345395,-0.37786552,0.50211293,-0.02025379,-0.19575848,-0.45284373,0.00593645,-0.44851175,-0.05835890,0.09910581,0.11968214,-0.03397584,-0.70690900,0.11641619,0.00000000,1.69863224,1.12230837,-0.09952188,0,09:14:32.1,0,0
2,0.24463494,0.14527908,-0.07297388,-2.47243381,-0.12705520,-0.08618107,-0.02973217,-0.10962037,0.16890122,-0.11677773,-0.01777601,-0.32519016,-0.31406686,-0.20925249,-0.31188020,-0.54345953,0.05753673,-0.30339012,-0.37304789,-0.09705187,-0.11476850,-0.35663086,0.03344230,-0.34909475,-0.00888154,0.09789054,0.04253351,-0.02504733,-0.63648593,2.64315248,0.00000000,0.55886322,1.21396387,0.00000000,0,09:14:32.2,0,0
3,1.66594267,0.14527908,-0.04579085,-2.52070260,-0.24684034,-0.04498824,-0.00244309,-0.10430085,0.15692587,-0.14020121,-0.02229570,-0.31734377,-0.27652413,-0.37811431,-0.26181540,-0.48162714,-0.22607677,-0.26484978,-0.32723382,-0.20909393,-0.06737716,-0.38875651,0.00664480,-0.37438366,-0.01176057,0.09910581,0.02890847,0.05012100,-0.66761732,0.31162876,0.00000000,0.45146710,1.25890088,0.00000000,0,09:14:32.3,0,0
4,0.24463494,0.14527908,-0.04940658,-2.49675560,-0.24684034,-0.12706789,-0.05673118,-0.11860754,-0.04414674,-0.15828528,-0.10335588,-0.37575987,-0.18708122,-0.20470713,-0.32238954,-0.54345953,0.07552541,-0.32013699,0.56996018,0.00635005,-0.12529905,-0.43227598,-0.01251000,-0.37738982,-0.02841904,0.09789054,-0.04339860,-0.08169145,-0.42687377,0.11641619,0.00000000,-0.56249470,1.17510128,0.00000000,0,09:14:32.4,0,0
5,1.04919326,0.14527908,-0.06775614,-2.55311918,-0.12705520,-0.05343905,-0.00275422,-0.12676847,0.12103535,-0.15282507,-0.04022545,-0.35307655,-0.25767931,-0.39178461,-0.30740604,-0.49270600,-0.23513049,-0.29499951,0.00014084,-0.08366925,-0.09246186,-0.35663086,0.03344230,-0.32959008,-0.01733522,0.09910581,-0.02095006,0.02329156,-0.44365424,2.64315248,0.00000000,0.05497995,1.23045838,0.00000000,0,09:14:32.5,0,0
6,0.76771355,0.14527908,-0.11803827,-2.72911263,-0.24684034,-0.05321354,0.02620521,-0.13044083,0.35119537,-0.17725356,0.03622658,-0.38986161,-0.42982224,-0.43253669,-0.36508742,-0.54345953,-0.24865480,-0.32754382,0.56996018,-0.23128848,-0.14144349,-0.44586763,-0.00733716,-0.38029146,-0.02841904,0.04573866,0.15082113,0.02329156,-0.71017671,2.64315248,0.00000000,0.62376279,1.15801656,0.00000000,0,09:14:32.6,0,0
7,0.24463494,0.14527908,-0.06576818,-2.74064994,-0.24684034,-0.16313362,-0.07021321,-0.14224985,-0.00215067,-0.19875386,0.08231435,-0.40892649,-0.17829914,-0.14177808,-0.38155124,-0.56041825,0.20477934,-0.38264716,-0.40938160,-0.01141825,-0.20123070,-0.44182351,0.00374452,-0.45950460,-0.09526861,0.04944360,0.07548595,-0.00346297,-0.60219681,0.11641619,0.00000000,-0.56249470,1.03326631,-0.09952188,0,09:14:32.7,0,0
8,1.04919326,0.14527908,-0.05942698,-2.59956622,-0.25471947,-0.18791626,-0.11385845,-0.12390222,-0.16922802,-0.15255104,-0.01777601,-0.37266311,-0.24370739,-0.22728543,-0.31188020,-0.52044719,0.05753673,-0.29499951,0.56996018,-0.11480825,-0.12330447,-0.42526743,-0.01551432,-0.38844937,-0.03639277,0.04343611,-0.25119480,-0.03846223,-0.72258353,2.64315248,0.00000000,-1.11213326,1.22823906,0.00000000,0,09:14:32.8,0,0
9,-0.88402373,0.14527908,-0.06747985,-2.50211906,-0.25471947,-0.12490395,-0.05440551,-0.12306737,-0.03210336,-0.15421925,-0.00430702,-0.34055945,-0.02420736,-0.10577136,-0.29511359,-0.54345953,0.23174019,-0.26388428,0.31709197,0.13238531,-0.07319531,-0.38488540,0.02219701,-0.36339548,-0.02841904,0.09789054,0.62633342,0.08222762,-0.57298505,2.64315248,0.00000000,0.64442742,1.17751145,7.20680141,0,09:14:32.9,0,0
10,0.76771355,0.14527908,-0.00364602,-2.60107327,-0.24684034,-0.14513014,-0.05671519,-0.12676847,0.04022659,-0.16755256,-0.00878180,-0.38309669,-0.40653747,-0.31322226,-0.35862821,-0.52044719,0.07552541,-0.32764164,-0.03634356,0.10577199,-0.13368207,-0.43227598,-0.01251000,-0.36339548,-0.00393649,0.04573866,0.59937257,0.01880517,-0.62484866,2.54410052,0.00000000,1.12528920,1.15173328,0.00000000,0,09:14:33.0,0,0
11,0.49993032,0.14527908,-0.07189266,-2.65021801,-0.37450463,-0.14513014,-0.08364809,-0.12676847,-0.09713595,-0.17599252,0.04969648,-0.38986161,-0.20107552,-0.30867690,-0.33073059,-0.52805585,-0.42707872,-0.34094417,-1.71222556,-0.11034685,-0.15330164,-0.43227598,-0.00733716,-0.36887914,-0.03914661,0.04573866,-0.04791092,0.01432210,-0.65875280,0.11641619,0.00000000,0.50845778,1.16374528,0.00000000,0,09:14:33.1,0,0
12,-0.88402373,0.14527908,-0.12168302,-2.67375278,-0.24684034,-0.11153831,-0.06774498,-0.13044083,0.02569976,-0.17725356,-0.19995785,-0.41066253,-0.16907109,-0.45951977,-0.37787175,-0.60736454,-0.11242612,-0.35974947,0.52463609,0.09248647,-0.18752594,-0.45979726,-0.03087008,-0.42653570,-0.07375133,0.04573866,0.69207442,-0.06073037,-0.57928371,0.11641619,0.00000000,-1.53996563,1.07219434,0.00000000,0,09:14:33.2,0,0
13,1.66594267,0.14527908,0.01627325,-2.68892097,-0.37450463,-0.09366647,-0.02790356,-0.13854192,0.18271475,-0.17836305,-0.06706677,-0.41896197,-0.24278851,-0.22728543,-0.39989364,-0.50378597,-0.08546527,-0.38177437,-0.43199697,-0.37007579,-0.21495746,-0.46390063,-0.00733716,-0.40262103,-0.03124296,0.09910581,0.09753967,-0.02119077,-0.80549562,2.54410052,0.00000000,0.17980826,1.07463133,0.00000000,0,09:14:33.3,0,0
14,2.35319686,0.14527908,0.02313886,-2.60808825,-0.12705520,-0.05872926,-0.03228697,-0.11491506,0.15692587,-0.12536350,-0.07629482,-0.30215657,-0.27652413,-0.29963052,-0.27024156,-0.51124036,-0.07639287,-0.29876927,-0.32723382,0.01522812,-0.07581760,-0.41413930,-0.00733716,-0.33570814,0.00492582,0.15125768,-0.21489446,0.00542255,-0.65702456,2.73931313,0.00000000,1.11732721,1.21396387,0.00000000,0,09:14:33.4,0,0
15,1.34584570,0.14527908,-0.05118649,-2.53921819,-0.24684034,-0.15887116,-0.07018510,-0.12676847,-0.02393251,-0.13470924,-0.07180902,-0.32237017,-0.22026381,-0.29963052,-0.28550071,-0.52358788,-0.41355440,-0.27331814,0.00930011,-0.21799348,-0.08091271,-0.42936960,-0.01551432,-0.34071171,-0.02549900,0.04573866,-0.25568062,-0.04294530,-0.68965936,2.64315248,0.00000000,-2.64202809,1.16609466,0.00000000,0,09:14:33.5,0,0
16,-0.23771444,0.14527908,0.00278138,-2.67017603,-0.12705520,-0.16313362,-0.08364809,-0.12676847,-0.04414674,-0.17054127,-0.08536721,-0.38309669,-0.31877095,-0.19566077,-0.34094498,-0.52044719,0.07552541,-0.28659531,0.59270608,-0.00696828,-0.09246186,-0.46390063,-0.04713065,-0.39134833,-0.04205516,0.04573866,0.37489995,-0.06960124,-0.70690900,0.21546805,0.00000000,-0.33600509,1.17575073,0.00000000,0,09:14:33.6,0,0
17,-1.46601892,0.14527908,-0.08282445,-2.67375278,-0.24684034,-0.17537846,-0.03487566,-0.13937657,0.14816497,-0.17976934,-0.01777601,-0.39742222,-0.12263861,-0.13279849,-0.34561533,-0.53130716,0.35144073,-0.37692910,-0.41842791,0.29387939,-0.20800227,-0.48015538,-0.05781286,-0.41361389,-0.07636238,-0.00993103,0.72741628,-0.01233384,-0.80549562,0.11641619,0.00000000,-1.90327287,1.09465730,-24.60243797,0,09:14:33.7,0,0
18,-0.23771444,0.14527908,-0.13449229,-2.75410962,-0.24684034,-0.14099397,-0.08098295,-0.13854192,0.05767570,-0.20124200,0.04969648,-0.42549083,-0.21036600,-0.23627962,-0.36870515,-0.59070325,0.04856456,-0.35889545,0.25789893,-0.13695070,-0.17737700,-0.48187438,-0.04207547,-0.39976031,-0.05560205,0.04573866,0.51477528,0.02890326,-0.72258353,0.21546805,0.00000000,1.83657873,1.08626711,0.00000000,0,09:14:33.8,0,0
19,1.99885130,0.14527908,0.00538513,-2.65861082,-0.37450463,-0.11238813,-0.04092270,-0.13854192,0.09293568,-0.18650027,-0.04022545,-0.40856895,-0.34673715,-0.43253669,-0.36508742,-0.57417709,-0.26672870,-0.35918114,-0.80106425,-0.11480825,-0.17183052,-0.41413930,-0.00224071,-0.39415777,-0.05014571,0.04573866,-0.09702630,-0.04329769,-0.70690900,2.64315248,0.00000000,-3.08598256,1.14655852,0.00000000,0,09:14:33.9,0,0
