Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190405103845
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1859,1326,633,604,578,0,547,553,650,0,607,588,723,657,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,124,124,6,6,6,6,31,31,22,22,6,6,44,44,6,6,15,15,7,7,12,12,7,7,28,28,7,7,7,7,7,7,6,6,15,15,6,6,7,7,7,7,15,15,6,6,6,6,31,31,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,56,56,12,12,6,6,31,31,7,7,15,15,31,31,6,6,56,56,7,7,7,7,15,15,24,24,6,6,31,31,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,35.60,60.98,3.91,8.43,1.67,2.28,20.42,1.00,1.71,1.76,11.18,100.00,4.21,3.45,1.81,27.62,6.63,100.00,4.70,4.71,26.34,30.22,3.25,100.00,18.03,18.55,2.88,90.02,1.51,100.00,7.77,8.55,4.16,5.40,2.29,3.60,5.49,6.59,1.97,3.17,1.00,1.00,18.11,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,50.38,72.01,1.00,1.00,100.00,100.00,100.00,1.00,100.00,100.00,6.33,14.06,2.87,5.63,1.23,1.94,8.88,11.07,4.22,3.71,1.56,38.02,1.34,22.69,27.34,38.11,3.89,4.34,1.46,43.00,1.20,28.19,2.61,3.54,2.48,3.33,1.12,2.19,2.36,7.90,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/05 10:38:48
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,2.26647282,1.63699448,0.62104285,0.19863276,0.22771259,0.13122770,-0.01989966,-0.34191975,-0.22350007,-0.19457065,-0.11059767,-0.33624962,0.73707151,-0.22583489,-0.55016619,0.86108994,-0.58360857,-0.80611229,1.63607204,-0.38552493,-0.18379302,-0.22142714,-0.33843639,-0.23599678,0.00000000,-0.32412222,0.00000000,-0.66930950,0.00000000,-0.20655468,-1.07913971,0.00000000,2.59167314,0,10:38:57.1,0,0
2,0.00000000,0.03445645,0.05337716,0.04112607,-0.38128403,-1.01183403,-0.05767716,-0.03226668,-0.70457578,-0.22693044,-0.29308313,-0.16264766,0.46499228,-1.05305362,-0.33583099,-0.92079389,-0.85093063,-0.39594361,0.12255473,2.26692843,-0.29562247,-0.19024199,-0.22021343,-0.42102918,-0.27552930,0.00000000,-0.32412222,0.00000000,-1.39041758,0.00000000,-2.78312421,-1.06639421,0.00000000,-1.59464025,0,10:38:57.2,0,0
3,0.00000000,-1.54916084,0.05337716,-0.48353824,-0.90594834,0.75105608,0.13523299,-0.04403349,0.14537138,-0.21812384,-0.39424723,-0.10945437,-0.06251343,-0.48120192,-0.29170093,-0.55750906,-0.81054360,-0.03556371,0.60732937,1.19884062,-0.16668051,-0.22603983,-0.25367424,-0.45123672,-0.29173926,0.00000000,-0.32412222,0.00000000,-1.39041758,0.00000000,-0.20655468,0.82223481,0.00000000,-0.90395719,0,10:38:57.3,0,0
4,0.00000000,0.03445645,-0.90329045,0.04112607,0.57538360,0.12243753,0.10411407,-0.03333429,-0.95969826,-0.21126157,-0.14464527,-0.23936756,-0.26297757,-0.96155643,-0.36512735,-0.68436331,-0.79251063,-0.64858758,0.10859618,1.26269245,-0.39915738,-0.16016847,-0.22142714,-0.46710068,-0.28676203,0.00000000,-0.39473444,0.00000000,-0.66930950,0.00000000,-2.43840027,-1.29350185,-4.78363609,-6.45593739,0,10:38:57.4,0,0
5,0.00000000,6.08159351,-0.90329045,1.26941371,0.19863276,0.14174379,0.07531434,-0.01663790,0.14537138,-0.21126157,-0.04335748,-0.12377436,-0.33237320,0.05540786,-0.26707396,-0.47172624,-0.77891898,-0.41439119,-0.36137700,-0.25879365,-0.26973447,-0.18543084,-0.23969755,-0.27759859,-0.20660822,0.00000000,0.04750158,0.00000000,3.14632416,0.00000000,1.37706256,-1.67942929,0.00000000,0.00000000,0,10:38:57.5,0,0
6,0.00000000,0.03445645,0.05337716,0.04112607,0.05071929,-0.25243878,0.06896537,-0.01953729,-0.43710768,-0.20681161,-0.04335748,-0.02819312,-0.20312870,0.02745500,-0.20295593,-0.71806526,-0.31149733,-0.41615263,0.74322671,0.85548311,-0.22466074,-0.19168013,-0.22088820,-0.35142487,-0.23642823,0.00000000,-0.32412222,0.00000000,-1.39041758,0.00000000,2.26071167,0.01574204,0.00000000,-2.34794259,0,10:38:57.6,0,0
7,0.00000000,-1.54916084,0.05337716,0.02902196,0.31370059,-0.34333995,0.03486050,-0.01101655,-0.87737215,-0.19176289,0.01268101,-0.10737406,0.48169276,0.76946700,-0.25101516,-0.43068144,0.84769732,-0.42790481,0.77174884,1.29031825,-0.30258480,-0.11717679,-0.20272122,-0.40155709,-0.26295570,0.00000000,-0.53329933,0.00000000,-0.66930950,0.00000000,-0.47808933,-1.02454340,0.00000000,-5.80756664,0,10:38:57.7,0,0
8,0.00000000,6.08159351,0.05337716,1.26941371,0.84700364,0.20409741,0.08544464,-0.03226668,-0.34191975,-0.20681161,0.01268101,-0.03276076,0.14693293,0.51279354,-0.13739692,0.02866653,0.86108994,-0.13610025,0.03700115,2.02769732,-0.18556160,-0.13636655,-0.20073707,-0.35675642,-0.25268880,0.00000000,-0.25254211,0.00000000,-0.80075383,0.00000000,0.02869518,-0.56056166,0.00000000,-3.96240401,0,10:38:57.8,0,0
9,0.00000000,-2.77736282,-0.90329045,-0.96251720,-0.86882347,0.79995078,0.16557717,-0.04928214,-0.87737215,-0.21126157,-0.43399784,-0.10571215,-0.28610262,0.05540786,-0.30061087,-0.34671065,0.47946998,-0.43333352,0.97264928,1.61325061,-0.28257519,-0.22149298,-0.25049841,-0.45706657,-0.29245383,0.00000000,-0.67218918,0.00000000,-0.66930950,0.00000000,-1.43475688,-0.96065909,0.00000000,-4.22403574,0,10:38:57.9,0,0
10,0.00000000,-1.54916084,0.05337716,0.02902196,0.05071929,0.08002739,0.04695784,-0.05211931,-0.87737215,-0.22693044,-0.24404727,-0.11645230,0.21187672,0.38674214,-0.19971034,-0.26308504,0.78983653,-0.23270413,0.98692143,1.22156787,-0.24677630,-0.21228874,-0.25188875,-0.32030398,-0.24333076,0.00000000,-0.10662952,0.00000000,0.91430765,0.00000000,-1.55492210,0.35184643,0.00000000,1.79260552,0,10:38:58.0,0,0
11,0.00000000,2.26647282,0.05337716,1.13360310,1.15530038,0.79995078,0.11721030,-0.07314172,-0.61831343,-0.22350007,0.02209857,-0.12852742,-0.02192806,-0.00494049,-0.33643618,-0.38810062,0.04782452,-0.60977340,0.75749886,1.59964800,-0.37306592,-0.22149298,-0.27508762,-0.45706657,-0.29245383,0.00000000,-0.39473444,0.00000000,2.26267505,0.00000000,0.75011283,-0.76188385,4.92708302,-3.22039199,0,10:38:58.1,0,0
12,0.00000000,-2.77736282,0.05337716,-0.96251720,-0.86882347,-0.28701910,-0.00807128,-0.04299829,-1.04485834,-0.19716099,0.01268101,-0.11759102,0.19703624,-0.00494049,-0.26010984,-0.80384809,0.03016755,-0.23270413,1.12662530,1.28568542,-0.20310454,-0.16624108,-0.22220927,-0.48747543,-0.29245931,0.00000000,-0.67218918,0.00000000,-1.89751172,0.00000000,-0.20655468,-1.88191068,0.00000000,-7.87375784,0,10:38:58.2,0,0
13,0.00000000,2.26647282,0.05337716,0.62104285,0.19863276,0.29624945,0.03235315,-0.02701803,0.24616924,-0.18920708,0.01268101,-0.08874270,-0.30000472,-3.11206150,-0.28114104,-0.44314986,-2.21709275,-0.46606523,-1.30927515,-0.97758651,-0.23282149,-0.18453515,-0.24091256,-0.33440420,-0.24993493,0.00000000,0.28050998,0.00000000,0.00000000,0.00000000,-0.04401376,-0.63872832,0.00000000,0.00000000,0,10:38:58.3,0,0
14,0.00000000,-2.77736282,-0.90329045,-0.00590122,0.92000425,-0.71714258,-0.01460417,-0.03879273,-1.20351827,-0.19465645,-0.27667156,-0.20416713,0.19703624,0.41913763,-0.34735683,-0.38810062,0.42185017,-0.31998417,0.92166674,2.01849961,-0.20310454,-0.16805024,-0.22016035,-0.43779576,-0.27552930,0.00000000,-0.60129535,0.00000000,-1.89751172,0.00000000,-3.28686547,-1.38070023,-9.71071911,-7.32509232,0,10:38:58.4,0,0
15,0.00000000,-2.77736282,0.05337716,-0.96251720,-0.42825973,1.03771174,0.17755762,-0.04299829,-0.95969826,-0.19269240,-0.27667156,-0.07050037,-0.30926427,-0.41660076,-0.22551332,-0.64556354,0.01693520,-0.52997738,-0.51810151,1.29953897,-0.31778890,-0.11814518,-0.20984723,-0.39364836,-0.27724677,0.00000000,-0.25254211,0.00000000,0.84159887,0.00000000,-2.27603030,-3.11127496,0.00000000,0.00000000,0,10:38:58.5,0,0
16,0.00000000,-2.77736282,0.68032682,-0.00590122,0.31370059,-0.08795973,0.00832442,-0.05105671,-0.15121987,-0.18920708,-0.09420574,-0.07924802,-0.25397694,-0.44899625,-0.25523081,-0.64556354,-0.00938066,-0.63528264,-1.35380042,1.67736804,-0.36816663,-0.09872755,-0.19938777,-0.37976924,-0.27921629,0.00000000,-0.18006927,0.00000000,6.96144485,0.00000000,-0.04401376,-1.14871562,0.00000000,0.00000000,0,10:38:58.6,0,0
17,0.00000000,0.03445645,1.63699448,0.99774206,0.79267961,-0.52586806,-0.06726381,-0.06788905,-1.28496850,-0.19269240,-0.19457065,-0.12513044,0.49051264,0.93538713,-0.29816481,-0.78595144,1.26496899,-0.54805100,0.38460329,1.62694347,-0.32819566,-0.20611291,-0.28405979,-0.44288784,-0.30258778,0.00000000,-0.67218918,0.00000000,-0.59611982,0.00000000,-2.43840027,-1.10888994,0.00000000,-6.69117117,0,10:38:58.7,0,0
18,0.00000000,-2.77736282,0.68032682,-0.00590122,-0.12686314,-1.13262391,-0.16115656,-0.07066144,-1.20351827,-0.22009714,-0.53339982,-0.18345159,-0.24479909,-0.48120192,-0.40366870,-0.55750906,0.35173115,-0.49755809,0.63613182,1.22614706,-0.32819566,-0.20449506,-0.26992169,-0.43242612,-0.31055596,0.00000000,-0.67218918,0.00000000,0.67905796,0.00000000,-1.43475688,-0.93245614,0.00000000,-6.16340494,0,10:38:58.8,0,0
19,0.00000000,2.26647282,1.63699448,0.01473913,-1.14973462,0.20409741,0.00313845,-0.05630938,0.04145539,-0.20603186,-0.09420574,-0.17680994,-0.36455211,-0.90120810,-0.28995290,-0.52054799,-0.95282739,-0.61725742,-0.50327927,0.36141026,-0.38552493,-0.13098976,-0.22811948,-0.34590805,-0.26739210,0.00000000,-0.18006927,0.00000000,-1.39041758,0.00000000,0.02869518,0.48963237,0.00000000,0.00000000,0,10:38:58.9,0,0
