Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190406162314
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,628,601,568,0,532,544,655,0,697,641,2000,1409,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,7,7,6,6,31,31,6,6,6,6,48,48,31,31,6,6,48,48,15,15,6,6,6,6,6,6,15,15,98,98,24,24,6,6,30,30,7,7,22,22,6,6,6,6,72,72,14,14,31,31,6,6,62,62,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,49,49,72,72,62,62,6,6,15,15,31,31,6,6,72,72,6,6,6,6,6,6,28,28,6,6,98,98,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,1.00,1.00,48.07,82.33,100.00,100.00,97.42,100.00,12.95,20.49,7.44,23.21,13.26,42.62,50.61,1.00,1.80,5.14,16.89,100.00,1.94,2.43,1.25,17.51,3.00,53.83,100.00,100.00,6.06,7.33,1.60,44.10,6.05,6.80,2.52,100.00,1.47,60.60,2.48,4.16,1.79,3.87,1.00,1.00,2.17,4.36,3.43,10.50,100.00,100.00,24.44,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,53.71,76.68,100.00,100.00,20.31,26.88,100.00,1.00,95.16,100.00,8.45,13.95,8.93,23.74,8.34,25.36,1.00,1.00,2.42,3.23,1.42,36.20,1.67,26.24,31.98,46.58,7.92,8.00,1.00,22.89,1.20,28.15,1.14,2.41,1.92,5.08,18.77,43.69,13.23,13.22,1.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/06 16:23:18
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.39363673,-0.64770412,-0.50073773,0.96973342,0.66141617,0.01315189,4.91012478,-0.02113222,2.32186151,-0.07927927,0.75348008,0.15358222,0.00000000,-0.28420866,0.22553162,-0.33162618,-1.81198692,-0.01088698,-0.22864065,0.11847539,0.00000000,-0.41055149,-0.23594360,0.50494951,-13.62330818,0.00000000,0.00000000,0.00000000,-0.24874961,0.11924850,0.06453565,0.36806822,0,16:23:27.1,0,0
2,0.00000000,0.00000000,0.76631206,-0.04140037,-0.42696911,0.56912494,0.59437615,-0.10548352,1.08565021,-0.04875674,1.21783948,-0.08875030,0.87115991,0.13978678,0.00000000,-0.31208047,0.21201770,-0.46572229,-0.18210928,0.15869574,-0.26246673,0.10315068,0.00000000,-0.41506767,-0.24740507,0.50494951,-13.62330818,0.00000000,0.00000000,0.00000000,0.70791805,-0.34096792,-0.01607288,-0.05076524,0,16:23:27.2,0,0
3,0.00000000,0.00000000,0.23438969,-0.04140037,0.01182246,0.10680581,0.35807973,-0.04648526,-4.31448412,-0.05782446,2.17450714,-0.12947737,0.71753514,0.45083433,0.00000000,-0.39497250,0.28230548,-0.36037412,1.74976575,-0.04197579,-0.26549193,0.08386946,0.00000000,-0.44912839,-0.31472567,0.43759295,-14.58555412,0.00000000,1.81620908,0.00000000,0.22167626,-0.46012735,0.37560973,0.06110387,0,16:23:27.3,0,0
4,0.00000000,0.00000000,0.78740311,-0.64770412,-0.42696911,-0.40384367,-0.29333246,-0.22054552,-2.25163198,-0.07174973,-0.13052785,-0.12024166,0.83536094,-0.04962208,0.00000000,-0.42680186,0.06414472,-0.48179924,-0.21838346,0.10985776,-0.29577050,0.09289316,0.00000000,-0.48335931,-0.30297166,-0.08707135,-15.76502228,0.00000000,-0.48851603,0.00000000,-1.47695172,-0.89873040,-0.49505186,-0.43898702,0,16:23:27.4,0,0
5,0.00000000,0.00000000,0.37604660,-0.17721099,0.01708665,-0.00367679,-0.25093308,-0.10191009,-1.99349618,-0.05795431,1.36519372,-0.15804645,0.55940717,-0.51148677,0.00000000,-0.34493995,-0.29418427,-0.43378338,-0.20483656,-0.02865746,-0.29870740,0.10648481,0.00000000,-0.47405821,-0.30297166,0.43759295,-15.39664078,0.00000000,3.32660484,0.00000000,0.70791805,-0.68984652,0.90027404,-0.26641071,0,16:23:27.5,0,0
6,0.00000000,0.00000000,0.63139820,0.91521561,0.40876931,0.25092712,0.56117839,-0.28322795,-1.72799289,-0.09060186,1.95420313,-0.11102903,0.85770088,-0.06322461,0.00000000,-0.42680186,0.08653934,-0.35174584,-0.15928777,0.15869574,-0.25338337,0.10648481,0.00000000,-0.45261925,-0.32860246,0.35698438,-13.87491131,0.00000000,1.81620908,0.00000000,-0.52028406,-0.13834772,-0.49505186,-0.12903185,0,16:23:27.6,0,0
7,0.00000000,0.00000000,-0.09720636,0.47115985,0.45587823,0.17811312,0.54349881,-0.05454824,-3.37915587,-0.07174973,1.06995952,-0.11102903,0.85770088,0.12608203,0.00000000,-0.41417152,0.10003120,-0.37864494,0.45615965,0.01143506,-0.26374531,0.11682101,0.00000000,-0.38681412,-0.20782404,-0.08707135,-13.87491131,0.00000000,-0.48851603,0.00000000,0.70791805,-0.89873040,0.37560973,-0.10037926,0,16:23:27.7,0,0
8,0.00000000,0.00000000,0.37604660,-1.29607499,-0.42696911,-0.39990479,-0.32256237,-0.04648526,-0.14445537,-0.07612743,1.21783948,-0.11653902,0.65868384,0.15358222,0.00000000,-0.33127949,0.12257258,-0.33162618,0.47911435,0.00250654,-0.21837182,0.09407485,0.00000000,-0.41055149,-0.22968805,0.50494951,-13.34818459,0.00000000,0.00000000,0.00000000,0.70791805,-1.03033137,-0.01607288,-0.36515912,0,16:23:27.8,0,0
9,0.00000000,0.00000000,0.89389485,0.08736240,-0.01881347,0.19697750,-0.22932816,-0.22400257,3.32662129,-0.05311674,1.21783948,-0.10652346,0.83093691,0.04683625,0.00000000,-0.20330542,-0.08723629,-0.31406537,-0.11335893,-0.14687507,-0.21793124,0.11847539,0.00000000,-0.41506767,-0.34541753,0.50494951,-13.87491131,0.00000000,0.00000000,0.00000000,0.70791805,-0.30132353,0.90027404,0.00693769,0,16:23:27.9,0,0
10,0.00000000,0.00000000,0.85454714,0.47115985,0.45587823,-0.20747358,-0.25180998,-0.34769309,2.08740258,-0.08525598,-2.35985088,-0.12582955,0.82204449,0.18122049,0.00000000,-0.26648924,-0.10087244,-0.33162618,0.46993247,-0.14236677,-0.23975834,0.12626232,0.00000000,-0.47767076,-0.33313170,-0.68127096,-13.07067013,0.00000000,-1.28672028,0.00000000,-0.24874961,1.15870023,0.06453565,0.38880655,0,16:23:28.0,0,0
11,0.00000000,0.00000000,-0.39301595,-1.38966441,-0.50073773,-0.73422796,-1.52860951,-0.22400257,0.23843870,-0.08202482,-0.05512582,-0.14781944,0.71061963,-0.31279236,0.00000000,-0.32793447,-0.10992614,-0.37830257,-1.85791576,-0.18258974,-0.28807977,0.10648481,0.00000000,-0.47303361,-0.40102980,-0.10135417,-14.35560799,0.00000000,0.00000000,0.00000000,1.33486772,-0.58709604,0.06453565,-0.03193797,0,16:23:28.1,0,0
12,0.00000000,0.00000000,0.41317719,-0.04140037,0.01182246,0.15572785,-0.03693086,-0.46632850,5.90300035,-0.11686297,0.82742822,-0.13406047,0.66853923,-0.47015616,0.00000000,-0.35614955,-0.38010934,-0.48919538,-3.25183201,-0.18706523,-0.31983477,0.09289316,0.00000000,-0.43397495,-0.31294033,-0.84331447,-12.76582623,0.00000000,0.00000000,0.00000000,2.21851683,-0.53614539,0.64445245,0.08413962,0,16:23:28.2,0,0
13,0.00000000,0.00000000,0.81093925,-0.64770412,-0.93952930,0.20326874,0.04537626,-0.16834620,-2.25163198,-0.06375457,2.02662730,-0.15694799,0.69732332,0.47079110,0.00000000,-0.19658644,0.39944294,-0.39793932,-1.84877205,0.01587710,-0.27607781,0.11554569,0.00000000,-0.36963466,-0.20004131,0.43759295,-11.76462364,0.00000000,4.61332512,0.00000000,0.70791805,0.62088156,-0.01607288,0.38880655,0,16:23:28.3,0,0
14,0.00000000,0.00000000,-0.39301595,0.69366616,-0.01881347,0.35071319,0.27130005,-0.46632850,0.64997119,-0.13976847,0.82742822,-0.12024166,0.68629563,-0.09447163,0.00000000,-0.25145566,0.06083407,-0.30370727,0.46993247,-0.33691722,-0.23172668,0.09407485,0.00000000,-0.45054916,-0.42892045,-1.15161133,-13.07067013,0.00000000,0.00000000,0.00000000,-0.01349968,0.72793680,-0.44802454,0.22624257,0,16:23:28.4,0,0
15,0.00000000,0.00000000,0.39363673,2.05469155,0.93780249,0.12026024,0.27959180,-0.10191009,-3.58093095,-0.05927945,-0.05512582,-0.14874464,0.67300069,-0.40059397,0.00000000,-0.35053727,-0.19464445,-0.25863478,1.82741296,-0.14687507,-0.18334603,0.12757376,0.00000000,-0.37736404,-0.22190177,-0.68127096,-13.87491131,0.00000000,-1.28672028,0.00000000,-1.59711695,0.23079652,-0.46012864,0.24957369,0,16:23:28.5,0,0
16,0.00000000,0.00000000,-0.39301595,0.26684481,0.40876931,-0.28736037,0.11854039,-0.22400257,-1.72799289,-0.09850039,-2.43525290,-0.13406047,0.72836179,-0.44244820,0.00000000,-0.37875235,-0.20833741,-0.36159214,-0.84151149,-0.32345834,-0.21944308,0.12757376,0.00000000,-0.44205740,-0.43350700,-0.10135417,-13.07067013,0.00000000,0.00000000,0.00000000,-0.01349968,-1.67543399,-0.44802454,-0.19196935,0,16:23:28.6,0,0
17,0.00000000,0.00000000,0.66525787,0.47115985,0.01708665,-0.03063851,-0.10477003,-0.10191009,-1.72799289,-0.09850039,1.29324162,-0.14786988,0.69077116,0.01912827,0.00000000,-0.33127949,-0.09174768,-0.50442386,-0.91496378,0.16318212,-0.27445471,0.12919348,0.00000000,-0.37128001,-0.25688919,-0.08707135,-14.79767799,0.00000000,3.32660484,0.00000000,0.70791805,0.16354115,-0.01607288,0.17817686,0,16:23:28.7,0,0
18,0.00000000,0.00000000,0.81093925,0.47115985,0.45587823,0.49336916,0.49604663,-0.34263799,0.23843870,-0.12590149,-2.58313298,-0.12951647,0.82646137,-0.31279236,0.00000000,-0.42015436,-0.23106471,-0.35174584,-0.15928777,0.19001158,-0.25039044,0.15055926,0.00000000,-0.43853104,-0.38746291,-1.42323124,-12.76582623,0.00000000,-1.28672028,0.00000000,-0.24874961,-0.48028725,-0.46012864,-0.04766929,0,16:23:28.8,0,0
19,0.00000000,0.00000000,0.40944776,0.69366616,0.49374673,0.22767772,0.09560111,-0.46632850,-1.72799289,-0.12617680,0.75398517,-0.13862318,0.59741938,-0.13611494,0.00000000,-0.29470432,0.03353858,-0.31255311,0.44701594,0.15869574,-0.24278514,0.11880426,0.00000000,-0.43048966,-0.30778912,-0.10135417,-14.79767799,0.00000000,0.00000000,0.00000000,2.29153538,0.71849871,0.50859141,0.48318502,0,16:23:28.9,0,0
