Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190414160407
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,708,648,688,0,612,591,630,0,642,609,2000,1409,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,62,62,6,6,144,144,6,6,6,6,31,31,31,31,6,6,44,44,6,6,6,6,6,6,6,6,7,7,7,7,6,6,7,7,7,7,7,7,44,44,6,6,12,12,30,30,30,30,15,15,6,6,72,72,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,49,49,120,120,124,124,6,6,12,12,6,6,24,24,6,6,6,6,7,7,6,6,47,47,15,15,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,18.51,36.66,20.34,34.68,100.00,100.00,8.33,1.00,15.05,100.00,49.22,100.00,1.55,2.80,1.12,20.16,2.21,47.60,2.70,5.35,2.70,5.96,2.88,100.00,3.16,5.81,1.94,82.67,1.70,58.13,2.53,3.87,1.77,3.63,1.43,6.40,2.38,4.86,3.09,9.52,100.00,100.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,44.52,63.25,100.00,100.00,20.12,27.08,100.00,1.00,96.18,100.00,8.22,15.07,14.32,31.63,1.00,1.00,1.00,1.00,1.99,3.86,1.48,36.61,1.14,19.08,2.04,4.52,1.88,3.76,1.36,46.04,1.59,41.56,1.69,2.96,2.97,4.33,1.97,8.17,38.93,100.00,1.00,1.00,1.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/14 16:04:11
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,-4.18496895,-0.07874061,-0.14040881,0.21147648,0.19295938,-0.24670120,-0.24034238,-0.16024515,-0.13951364,0.22901379,0.26760131,-0.14326243,0.37100920,-0.16192967,-0.31319299,0.20566642,-0.66609615,-0.84129423,0.40082279,0.14872308,0.07669891,0.01466676,-0.00531882,0.63513285,0.00000000,0.00000000,0.05556913,0.00000000,-0.47645512,0.89743680,-0.12569645,0.40332031,0,16:04:20.1,0,0
2,0.00000000,0.00000000,1.70014024,-0.70072454,0.33722815,-0.11270443,0.09658489,-0.82661802,-0.43465614,-0.67511660,-0.36330172,0.22524101,0.41530180,0.10768898,0.34286490,-0.15448450,6.47747183,0.17275046,-0.31784502,0.54525191,0.36036912,0.17330796,0.09138801,-0.00626177,0.05412430,0.48716781,0.00000000,0.00000000,0.89684242,0.00000000,-0.40326539,-0.30485487,-0.20950086,-0.20484963,0,16:04:20.2,0,0
3,0.00000000,0.00000000,-1.88024354,0.83580822,0.33722815,0.14114170,0.18324074,-3.25142288,-0.43465614,-1.11686110,0.54013807,0.20701940,0.36070392,-0.17168638,0.34286490,-0.18397580,-0.36683482,0.25837076,0.90290183,0.49370533,0.40560973,0.15051566,0.09841068,0.13996659,0.20947503,0.05521610,0.00000000,0.00000000,-1.52804816,0.00000000,-0.35628983,-0.91107690,0.31835932,-0.37583092,0,16:04:20.3,0,0
4,0.00000000,-7.48087549,0.42479140,-0.70072454,-0.10682762,-0.99231833,-0.84992671,0.13004963,-0.66275370,0.01701115,1.72643316,0.16571684,0.51336378,0.33103672,0.28303811,-0.14276345,8.69546127,0.13241909,0.24936131,0.72592294,0.32961988,0.11698345,0.04651657,-0.01324605,0.10705925,0.39987138,0.00000000,0.00000000,1.85350990,0.00000000,-1.98679721,-0.81513554,-1.00913382,-0.47068572,0,16:04:20.4,0,0
5,0.00000000,0.00000000,1.70014024,-0.07874061,-0.14040881,-0.58343387,-0.57168382,1.13673615,-0.39730451,-0.16024515,0.78878516,0.21256912,0.30274835,-0.37012553,0.32301918,-0.22318280,-0.46311086,0.16193616,0.22005381,0.62172598,0.32961988,0.11698345,0.07043938,-0.01191794,-0.09032469,0.56777632,0.00000000,0.00000000,0.77667725,0.00000000,3.91183019,1.29288960,-0.13997929,0.26285562,0,16:04:20.5,0,0
6,0.00000000,0.00000000,6.47192860,-0.82070094,-0.74671251,-0.47922894,-0.42373994,1.13673615,-0.19675705,-0.08844701,0.34240624,0.17851758,0.53547883,-0.25614592,0.28211811,-0.22238702,-0.52000809,0.05210751,-0.51873136,0.03667880,0.25269496,0.09467748,0.05633765,0.03327001,0.01656148,0.05521610,0.00000000,0.00000000,-1.52804816,0.00000000,-1.70465720,0.69987512,-1.11723566,0.18094300,0,16:04:20.6,0,0
7,0.00000000,0.00000000,2.65680790,0.65632588,0.38425550,0.56834334,0.51612300,-0.24670120,-0.39730451,0.16062178,-0.13951364,0.18161756,0.23256081,-0.06804343,0.27585307,-0.20585684,-0.43919933,0.13241909,0.51061225,-0.09236526,0.32858989,0.09618872,-0.01554330,0.00716974,0.06999905,-1.07575190,0.00000000,0.00000000,-2.75625038,0.00000000,-0.35628983,-0.84482378,-0.12569645,-0.39286655,0,16:04:20.7,0,0
8,0.00000000,0.00000000,4.16689396,1.77518976,0.89681572,0.06868195,0.10726009,2.09340382,-0.15774949,0.30323562,3.74685192,0.20903532,0.32682729,0.11713134,0.34878811,-0.15448450,6.47747183,0.20966536,0.02985897,0.51945031,0.38721085,0.13943130,0.03467604,0.06538729,0.04802829,0.05521610,0.00000000,0.00000000,0.05556913,0.00000000,-0.35628983,0.95892870,0.31835932,0.44145465,0,16:04:20.8,0,0
9,0.00000000,0.00000000,0.42479140,1.26262963,0.89681572,0.36918509,0.49937260,0.67279375,-0.03388385,-1.72316492,0.54013807,0.22653157,0.11147387,-0.17168638,0.34389904,-0.16925444,-0.36683482,0.15782106,0.00002159,-0.17509557,0.35725555,0.13107629,0.01263779,0.12063802,0.08974133,-0.55108762,0.00000000,0.00000000,-1.52804816,0.00000000,0.87191224,-0.25674433,0.39896783,-0.17177318,0,16:04:20.9,0,0
10,0.00000000,0.00000000,1.70014024,-0.12080773,-0.10682762,-0.58343387,-0.66413134,-0.82661802,-0.27883023,-0.67511660,0.08307716,0.22481573,0.39595279,-0.03509403,0.36432052,-0.16912302,-0.39591891,0.19265375,1.08100843,0.61193931,0.36534962,0.13120840,0.05162590,0.10417090,0.18124922,0.56777632,0.00000000,0.00000000,0.77667725,0.00000000,-0.35628983,-1.25573528,-0.60467547,-0.37150306,0,16:04:21.0,0,0
11,0.00000000,0.00000000,-0.53187621,-0.12080773,-0.10682762,0.14114170,0.19069420,1.13673615,-0.35963896,0.23143749,0.34240624,0.19212016,0.13206536,-0.04925618,0.30858642,-0.18139288,-0.41034365,0.17480816,-0.03957280,0.14555670,0.35826707,0.11835515,0.01121268,0.11524183,0.11826752,0.05521610,0.00000000,0.00000000,-1.52804816,0.00000000,-1.70465720,-1.69379377,-0.63825667,-0.55416036,0,16:04:21.1,0,0
12,0.00000000,0.00000000,1.70014024,-0.12080773,0.37215140,0.23066232,0.26376444,-0.24670120,-0.43465614,-0.30103466,0.30686525,0.17293815,0.20862846,-0.23285997,0.25152642,-0.22491391,-0.47736084,0.14718844,-0.11297039,0.25260255,0.32858989,0.10744290,0.06571556,0.00375677,0.01518557,-0.55108762,0.00000000,0.00000000,0.93864256,0.00000000,-0.47645512,0.17059976,-0.12569645,0.15402465,0,16:04:21.2,0,0
13,0.00000000,-7.48087549,5.51526117,-2.57365274,-2.07420564,0.21147648,0.19295938,1.45192683,-0.27883023,0.16062178,2.39848447,0.14537716,0.17530844,0.16021939,0.20176168,-0.20544943,6.29601097,0.09969099,0.13776387,0.69452792,0.27895892,0.09611748,0.07268226,-0.03268472,0.06757130,0.48716781,0.00000000,0.00000000,2.12504458,0.00000000,0.87191224,-1.00734591,0.31835932,-0.32342282,0,16:04:21.3,0,0
14,0.00000000,0.00000000,1.70014024,-0.12080773,-0.10682762,-0.02070734,-0.24087064,-0.24670120,-0.62686718,-0.30103466,0.30686525,0.17283858,0.24215099,0.21164331,0.27585307,-0.14276345,8.69546127,0.20931500,1.04175770,0.05142182,0.41055971,0.13120840,0.02057432,0.11859089,0.23228021,0.04311201,0.00000000,0.00000000,0.77667725,0.00000000,-0.47645512,1.36158192,-0.12569645,0.31287590,0,16:04:21.4,0,0
15,0.00000000,-7.48087549,1.70014024,-0.12080773,-0.10682762,-0.15643597,-0.32364288,0.13004963,-0.66275370,0.01701115,-0.13951364,0.20292856,0.26622993,0.10768898,0.32301918,-0.18139288,6.44838762,0.15782106,-0.34768242,0.18572854,0.36140928,0.10699738,0.03763030,0.11436539,0.14917733,-0.46944818,0.00000000,0.00000000,-1.52804816,0.00000000,-1.70465720,-1.07350957,-0.60467547,-0.39286655,0,16:04:21.5,0,0
16,0.00000000,0.00000000,-3.46386099,1.04012322,0.81620717,0.08943149,-0.00043590,-2.69964957,-0.51328248,-0.74509043,-0.13191329,0.18609113,0.36699611,0.35925183,0.26678604,-0.12066054,8.75311279,0.15991914,-0.01978065,0.24139269,0.38401207,0.16772865,0.05627361,0.04701727,0.12197620,0.04311201,0.00000000,0.00000000,2.12504458,0.00000000,-1.35993314,-0.62058342,-0.60118353,-0.25962025,0,16:04:21.6,0,0
17,0.00000000,-7.48087549,1.70014024,-0.70072454,-0.54739141,-0.00822394,-0.07893389,0.87200999,-0.59080148,0.44097733,1.94142365,0.19614038,0.06796505,-0.04925618,0.25235325,-0.20585684,-0.43919933,0.17875165,0.56938416,1.06314504,0.35414359,0.14856499,0.09138763,0.17553157,0.33698738,0.04311201,0.00000000,0.00000000,0.77667725,0.00000000,-4.00938272,0.11445338,-0.63825667,-0.10465626,0,16:04:21.7,0,0
18,0.00000000,-11.29599667,-0.53187621,-1.22538877,-0.95534170,-0.34481296,-0.49731857,2.05823064,-0.59080148,0.51095110,4.47024679,0.17887080,0.38051164,0.06531172,0.24263358,-0.19095203,6.36694574,0.14923459,0.22005381,0.32184771,0.34819302,0.05998803,-0.03541610,0.11503586,0.19599970,0.05521610,0.00000000,0.00000000,-1.52804816,0.00000000,-1.35993314,-0.63854629,-0.16061969,-0.43564874,0,16:04:21.8,0,0
19,0.00000000,0.00000000,-0.53187621,-0.07874061,0.38425550,-0.47269678,-0.56059724,1.35833728,-0.43465614,0.58176684,2.39848447,0.17163181,0.20383054,-0.11011121,0.21112192,-0.21783413,-0.53417027,0.18161245,0.96881813,0.56304979,0.35700098,0.09611748,0.02136922,0.03699874,0.13552973,0.48716781,0.00000000,0.00000000,0.89684242,0.00000000,-1.70465720,-0.43263271,-0.60467547,-0.16402452,0,16:04:21.9,0,0
20,0.00000000,0.00000000,1.70014024,-0.07874061,-0.14040881,0.01392565,0.01650422,1.13673615,-0.43465614,-0.08844701,1.04390395,0.15614335,0.22643125,-0.26550207,0.20035820,-0.24644479,-0.56238538,0.10032827,0.11860023,-0.54121798,0.28735602,0.04230112,-0.04928242,-0.00742742,0.00368096,-0.55108762,0.00000000,0.00000000,0.93864256,0.00000000,-2.78118062,-1.45679855,-0.63825667,-0.46324724,0,16:04:22.0,0,0
