Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190406154822
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,613,592,573,0,542,550,560,0,592,579,995,817,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,15,15,6,6,24,24,6,6,6,6,44,44,44,44,6,6,44,44,6,6,6,6,6,6,6,6,15,15,124,124,28,28,24,24,28,28,24,24,96,96,15,15,7,7,6,6,31,31,7,7,6,6,49,49,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,56,56,15,15,7,7,15,15,31,31,6,6,94,94,31,31,6,6,15,15,24,24,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,95.16,1.00,100.00,1.00,30.10,44.88,100.00,100.00,100.00,100.00,17.67,30.53,20.24,51.06,100.00,1.00,21.50,1.00,40.55,100.00,56.88,100.00,1.97,2.23,1.00,14.55,3.16,51.46,1.00,1.00,5.13,6.90,3.18,1.00,7.27,8.96,3.76,1.00,100.00,1.00,3.84,4.97,2.80,4.91,1.45,2.75,4.43,7.32,2.49,5.76,100.00,100.00,5.12,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,48.61,73.25,100.00,100.00,58.86,74.07,100.00,1.00,95.53,100.00,8.62,15.51,9.20,23.94,1.00,1.00,100.00,1.00,2.82,3.55,1.42,34.90,1.79,27.62,29.90,48.64,8.01,8.15,2.18,100.00,9.24,100.00,2.18,3.87,2.19,4.34,1.02,2.71,100.00,100.00,1.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.00

Measurement Information
Date,2019/04/06 15:48:28
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,11.86473083,0.00000000,1.07438719,1.99904013,3.22102666,-0.23179966,-0.97631633,0.00000000,0.86564308,1.09771478,2.29123664,-0.32714525,-1.41307485,-0.05080662,0.00000000,-0.21857518,-0.07615627,-0.15314174,0.26513693,-2.00275612,-0.11599731,0.10023703,-0.14842364,-0.19905615,0.08583648,0.00000000,-4.14147472,0.00000000,1.51745915,0.00000000,2.60008788,-0.55938578,-0.09690117,1.45354879,0,15:48:37.1,0,0
2,3.00564528,0.77042919,1.01579165,1.60170054,2.59407711,0.17767212,-0.32648215,1.57982874,-0.57854772,4.31063509,1.99272501,-0.33018351,-1.24361050,0.07864220,0.00000000,-0.26032948,-0.13392411,-0.41287518,0.08916377,2.46099210,-0.20407842,0.14069976,-0.13244741,-0.31589869,0.03282341,-2.42517400,-4.40271473,0.00000000,1.51002383,0.00000000,-1.09538066,-0.71895188,-1.40988708,-0.95956486,0,15:48:37.2,0,0
3,-0.81563962,4.58555031,-0.10167672,0.99539679,0.28904215,0.40807000,1.00611925,-3.46400714,-1.27157116,2.17524481,0.70362085,-0.35213003,-1.23443854,-0.30959904,0.00000000,-0.30660564,-0.16034536,-0.50768489,0.10324150,-3.10733724,-0.31510368,0.09085654,-0.16987407,-0.37516150,0.02652919,-2.42517400,-4.35699558,0.00000000,1.51002383,0.00000000,2.67310619,0.33606088,0.82212925,0.12505671,0,15:48:37.3,0,0
4,-0.23630807,-1.46158731,-0.07657921,0.14693157,-1.94280326,0.55102849,1.13238883,0.00000000,-1.80488408,3.18065262,3.34109235,-0.32558724,-1.28811932,0.61870825,0.00000000,-0.20718625,-0.13392411,-0.33424798,0.10324150,-2.00275612,-0.16385259,0.06399634,-0.17738998,-0.22640416,0.06535354,0.00000000,-4.25964355,0.00000000,1.43731499,0.00000000,0.36807129,0.49695656,-1.48259604,0.42156884,0,15:48:37.4,0,0
5,-1.33969772,4.58555031,-0.22298643,0.99539679,1.63740957,0.50738156,1.11428237,-0.65218771,-1.45517826,2.55470252,-1.12107658,-0.33198133,-1.34763122,-0.26529571,0.00000000,-0.38240170,-0.16034536,-0.33443767,0.15979743,-2.00275612,-0.12723546,0.11371085,-0.12828898,-0.31039464,0.03421753,-2.42517400,-4.32932281,0.00000000,1.51002383,0.00000000,0.13282140,0.86510569,0.82212925,0.77535927,0,15:48:37.5,0,0
6,1.14526308,-1.46158731,-0.02535558,-0.59502882,-3.24388504,-0.37129322,-0.33867082,-0.65218771,-1.36628568,2.55470252,0.93840384,-0.33964172,-1.31896818,0.22518505,0.00000000,-0.23241055,-0.12063859,-0.41280031,0.17405720,-3.58631611,-0.19568260,0.12753251,-0.11488631,-0.26509556,0.08212546,-2.42517400,-4.16526508,0.00000000,-0.79470146,0.00000000,1.71643865,0.11333439,0.82212925,-0.27681157,0,15:48:37.6,0,0
7,-1.81823182,-3.04520440,-0.18387578,-0.63020205,-1.44290113,0.18791397,0.94322944,-2.23580503,-2.13373995,2.55470252,-1.36632156,-0.33763209,-1.33927298,0.47606075,0.00000000,-0.16087238,-0.13392411,-0.31129161,0.10324150,-6.11581087,-0.19060460,0.07747017,-0.14499345,-0.42338809,0.01311965,-6.24029493,-4.37987423,0.00000000,-1.30179560,0.00000000,-0.13871308,-0.58444476,-0.06151969,-1.08573067,0,15:48:37.7,0,0
8,4.23398590,4.58555031,-0.28388494,-0.70323110,-2.01568294,-0.42761615,-1.47286296,0.00000000,0.09632011,0.25593019,1.33008802,-0.29846478,-1.36264634,-0.21166801,0.00000000,-0.22316909,-0.07615627,-0.26841384,0.23140858,1.23278999,-0.12162194,0.10041998,-0.15601631,-0.25846246,0.02369603,0.00000000,-3.86210227,0.00000000,5.25243616,0.00000000,0.29536250,-0.29026303,2.42942619,-0.31627053,0,15:48:37.8,0,0
9,11.86473083,4.58555031,0.26855054,-0.70323110,-0.43206590,-0.06076720,-0.76926351,-0.65218771,0.09632011,-0.82876921,-0.09306237,-0.35181835,-1.47923768,-0.75457495,0.00000000,-0.24826896,-0.07615627,-0.38217637,0.19308814,-1.35438514,-0.25150117,0.08672702,-0.16016187,-0.18984374,0.03912695,0.00000000,-3.86210227,0.00000000,1.43731499,0.00000000,6.41520882,3.26546073,-0.09690117,4.75639915,0,15:48:37.9,0,0
10,-1.81823182,-1.46158731,-0.90284759,-0.58813494,-1.94280326,0.42562166,1.24132013,0.00000000,-1.54676056,3.40244031,1.99272501,-0.34614369,-1.40444040,0.19846427,0.00000000,-0.31700546,-0.12063859,-0.37169433,0.12202875,0.22914663,-0.21230704,0.10031093,-0.15601631,-0.48692161,-0.04196381,0.00000000,-4.01580095,0.00000000,1.51002383,0.00000000,-1.93665397,0.05131269,2.42942619,0.83057743,0,15:48:38.0,0,0
11,4.23398590,0.77042919,1.07438719,-0.59502882,-3.24388504,-0.62385201,-1.17417300,-2.23580503,-0.68098998,0.05930475,-0.33830735,-0.30910999,-1.18438613,-0.35260749,0.00000000,-0.20947090,-0.04932683,-0.37477738,0.24585535,6.27662563,-0.23230374,0.11400388,-0.13854338,-0.37645394,0.01581289,0.00000000,-3.99129367,0.00000000,1.43731499,0.00000000,1.71643865,-0.83256006,2.33252501,-0.57543284,0,15:48:38.1,0,0
12,0.41124624,0.77042919,0.26162696,-0.59502882,-0.93915999,-1.21764195,-2.04296184,0.00000000,-0.88495314,3.18065262,1.99272501,-0.29638973,-1.40052915,0.39515656,0.00000000,-0.09839868,-0.09402528,-0.39705771,0.15979743,6.27662563,-0.22873932,0.12338609,-0.11327522,-0.10319646,0.12525654,0.00000000,-3.83689928,0.00000000,1.43731499,0.00000000,0.29536250,-0.67329854,0.00000000,0.28991300,0,15:48:38.2,0,0
13,-0.23630807,4.58555031,-0.60843998,0.14693157,1.63740957,0.45244610,1.00659692,1.57982874,-0.46917781,0.65754217,-0.59509337,-0.32516965,-1.37940228,-0.56241250,0.00000000,-0.29572383,-0.04932683,-0.27503234,0.33808038,0.00000000,-0.14009997,0.10965882,-0.13360636,-0.23372492,0.10122228,0.00000000,-3.59955549,0.00000000,1.43731499,0.00000000,2.60008788,0.28751111,0.00000000,0.94093621,0,15:48:38.3,0,0
14,-1.81823182,0.77042919,-0.77062571,0.14693157,1.63740957,-0.31331509,-0.08928780,-2.23580503,-0.24882254,3.71239734,0.93840384,-0.31298289,-1.23106110,0.39515656,0.00000000,-0.11835311,-0.04932683,-0.45419371,0.15979743,0.22914663,-0.24816194,0.12753251,-0.12583156,-0.33022484,-0.00943667,0.00000000,-3.91216493,0.00000000,-0.71455729,0.00000000,0.29536250,-0.19439794,0.00000000,-0.30576193,0,15:48:38.4,0,0
15,3.00564528,0.77042919,0.29758736,0.75323534,0.40920740,-1.04631376,-1.60603738,1.57982874,-1.17963839,2.75721169,1.18364882,-0.33119488,-1.29643965,-0.07771355,0.00000000,-0.27626833,-0.07615627,-0.25484791,0.15979743,-2.00275612,-0.16618617,0.08672702,-0.15103629,-0.24485627,0.02575955,0.00000000,-3.81164289,0.00000000,1.51002383,0.00000000,0.13282140,0.12535687,2.33252501,0.29356611,0,15:48:38.5,0,0
16,8.04926872,0.00000000,0.89448190,1.25707972,-0.43206590,0.00695746,-1.30093992,0.00000000,1.76023173,1.09771478,-0.01348866,-0.36419991,-1.42941666,-0.06427652,0.00000000,-0.19024041,-0.04932683,-0.25886708,0.23140858,0.00000000,-0.19568260,0.13688235,-0.13516182,-0.25912192,0.06740920,0.00000000,-3.65205240,0.00000000,1.51745915,0.00000000,0.29536250,-1.02428806,0.00000000,0.21181318,0,15:48:38.6,0,0
17,3.00564528,0.00000000,0.50887561,1.60170054,3.22102666,-0.87625819,-1.04541647,0.00000000,-0.13799435,4.31063509,1.99272501,-0.33018351,-1.30062127,-0.06427652,0.00000000,-0.29572383,-0.06278570,-0.44110069,0.28448591,-0.61931860,-0.20771413,0.08672702,-0.13093549,-0.24485627,0.11742979,-2.42517400,-3.96667624,0.00000000,1.51002383,0.00000000,0.13282140,0.69787294,0.82212925,1.28760910,0,15:48:38.7,0,0
18,3.00564528,0.77042919,-0.14429487,-0.59502882,-0.93915999,-0.01634276,0.09480506,0.00000000,-0.13799435,2.96226764,-0.31200039,-0.33502963,-1.27692032,-0.22513792,0.00000000,-0.29572383,-0.06278570,-0.33230275,0.26513693,1.23278999,-0.23098274,0.09596282,-0.12860662,-0.30668598,0.02368850,0.00000000,-3.62586641,0.00000000,1.43731499,0.00000000,-1.93665397,-2.70260644,-1.38569486,6.21087313,0,15:48:38.8,0,0
19,2.00202346,4.58555031,-0.28388494,1.99904013,1.87265921,-1.48640692,-2.39332795,5.39494991,-0.36267728,0.45248616,1.70963204,-0.37925047,-1.53316534,-0.50375319,0.00000000,-0.17141919,0.00928446,-0.47456542,0.26513693,0.00000000,-0.22187647,0.10969008,-0.14128110,-0.37784773,-0.03753532,0.00000000,-3.99129367,0.00000000,1.51745915,0.00000000,1.71643865,-0.80174720,4.63725042,-0.04187895,0,15:48:38.9,0,0
