Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190414153651
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,768,683,678,0,627,600,685,0,647,612,1628,1190,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Over,Over,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,88,88,6,6,12,12,6,6,6,6,31,31,31,31,6,6,31,31,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,24,24,7,7,7,7,72,72,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,56,56,15,15,150,150,6,6,7,7,6,6,7,7,6,6,6,6,6,6,6,6,15,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,55.07,73.08,100.00,100.00,100.00,100.00,9.07,22.85,20.30,48.90,100.00,100.00,6.13,28.15,10.23,46.02,40.14,100.00,1.98,3.05,1.12,20.69,2.13,43.71,2.49,4.12,2.40,4.57,1.88,68.88,2.95,5.00,1.44,36.24,1.99,100.00,2.88,3.77,1.77,3.41,2.32,4.29,3.00,5.55,3.50,7.02,53.89,100.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,48.37,75.61,100.00,100.00,30.35,41.18,100.00,1.00,93.17,100.00,8.42,17.42,12.88,34.98,38.61,97.62,100.00,1.00,1.77,3.13,1.67,36.65,1.24,24.99,2.68,5.15,1.80,3.13,1.00,20.90,1.00,4.50,1.84,3.39,2.18,3.98,1.13,2.32,50.75,100.00,1.00,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/14 15:36:55
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.27426732,-0.20370147,-0.82617611,-0.01022892,1.03217399,4.29110718,0.63114727,0.32904664,3.61951447,-0.02173769,0.30714881,-0.00495686,0.07212748,-0.01881485,0.22304904,0.11185077,0.02541899,0.43637800,-0.01188429,-0.19594337,-0.36561522,-0.27929848,-0.27789631,-0.09805305,0.00000000,0.00000000,1.04784477,0.00000000,-0.37061018,0.30681124,-0.36874598,0.10567699,0,15:37:04.1,0,0
2,0.00000000,0.71325397,1.63913393,0.40260226,0.52208787,-0.57611454,-0.29718623,0.63801461,-0.09318229,0.20808187,-0.03357813,-0.00845957,0.19571355,-0.18254241,0.11523259,0.00030348,-0.11323940,0.12193508,-0.22475471,-0.17740525,0.04927079,-0.20054290,-0.36893511,-0.29816276,-0.34616277,-0.09805305,0.00000000,0.00000000,0.32673678,0.00000000,0.97775716,1.14510179,0.37321433,0.77081573,0,15:37:04.2,0,0
3,0.00000000,0.71325397,-0.73858625,-0.24576862,-0.66413260,0.07976986,0.98357713,-1.21409392,0.84758013,-0.00785978,-0.57367587,0.03527782,0.29288891,0.22731462,0.19555320,0.04799556,0.34257644,0.16378078,0.04059206,0.81514621,0.05469017,-0.17383811,-0.33504006,-0.29949704,-0.32157332,0.25227630,0.00000000,0.00000000,1.04784477,0.00000000,0.70622277,0.13531947,0.97951812,0.10567699,0,15:37:04.3,0,0
4,0.00000000,0.71325397,1.82899499,0.40260226,0.52208787,-0.40457696,0.08186033,0.35556480,0.05729200,0.11763742,1.73104930,0.00813946,0.10001939,-0.18254241,0.12848057,-0.00148187,-0.33389083,0.13581125,0.02196361,-0.17740525,0.04347483,-0.21999840,-0.37815583,-0.24491791,-0.27466649,-0.48973569,0.00000000,0.00000000,0.48277137,0.00000000,-1.59881222,-0.45371091,-1.10381246,-0.05882943,0,15:37:04.4,0,0
5,0.00000000,0.71325397,0.25155818,0.91516244,1.03464806,-0.40554443,0.06822288,-1.94916058,0.22260579,-0.05255820,-0.74255860,0.01406393,0.30827203,0.05468766,0.12958646,0.03036985,0.26413965,0.17727487,0.09439914,0.76135594,0.04853538,-0.19044706,-0.36732706,-0.33505288,-0.35031059,-0.09805305,0.00000000,0.00000000,0.32673678,0.00000000,-0.37061018,-0.27386558,-0.36874598,-0.18516384,0,15:37:04.5,0,0
6,0.00000000,0.71325397,-0.49437937,0.91516244,0.52208787,-0.34627789,0.32883739,-1.21409392,0.31174555,-0.00785978,1.90522289,0.00509175,0.28150797,-0.11796664,0.10395680,-0.01878878,0.04213370,0.09824800,-0.17863156,0.72573054,-0.00503216,-0.19594337,-0.36561522,-0.26474014,-0.24530937,-0.09805305,0.00000000,0.00000000,0.32673678,0.00000000,-0.37061018,-0.22253709,-0.47694838,0.03088930,0,15:37:04.6,0,0
7,0.00000000,-3.10186720,-0.34722671,0.26679161,-0.05782891,-0.23713864,0.56088775,-0.29280591,0.78229690,-0.01973051,1.39831150,-0.01239475,0.29385251,0.08052539,0.07140512,-0.05000008,0.53946698,0.05637703,-0.02458881,0.67274821,-0.05091240,-0.25524208,-0.39766026,-0.36974293,-0.37617382,0.25227630,0.00000000,0.00000000,2.39621234,0.00000000,-1.59881222,-0.09382018,0.37321433,0.22632451,0,15:37:04.7,0,0
8,0.00000000,-6.91750097,1.56771314,-0.83778942,-0.58249319,-0.84625590,-0.58878273,-1.94916058,-0.02406698,0.07293900,1.56216669,0.01642513,0.15421866,-0.19179378,0.12649567,-0.03298724,-0.12245203,0.14885393,0.30218881,0.77922779,0.02858136,-0.20509505,-0.36732706,-0.30489817,-0.26789862,-0.80340368,0.00000000,0.00000000,-1.18400061,0.00000000,-0.40392533,-1.16964018,-0.47127599,-0.74268615,0,15:37:04.8,0,0
9,0.00000000,0.00000000,0.22035624,1.37983036,2.14768672,-0.23079187,0.59514517,4.17094183,0.59141153,0.20808187,2.27114701,0.05114118,0.42353082,0.31855643,0.18392980,0.04943408,0.66243696,0.16317314,0.21465611,0.77922779,0.06277063,-0.20417430,-0.36732706,-0.35867605,-0.34020174,-0.48973569,0.00000000,0.00000000,-1.25688052,0.00000000,2.56137443,0.87204719,1.22167957,0.64594060,0,15:37:04.9,0,0
10,0.00000000,0.71325397,1.23014712,0.40260226,0.52208787,-0.57611454,-0.20144677,4.17094183,-0.12904462,0.25852141,2.46851993,0.03315251,0.41908160,0.15804443,0.17469394,-0.00924712,0.45467973,0.12170953,-0.24324194,0.77922779,0.01496743,-0.19594337,-0.34427589,-0.21945111,-0.22189368,0.00696012,0.00000000,0.00000000,1.16801012,0.00000000,-1.25408828,-1.05900693,-1.10381246,-0.56974667,0,15:37:05.0,0,0
11,0.00000000,0.00000000,-0.07855379,2.49869418,2.41808534,-0.24123935,0.50672442,1.93909657,0.39143541,0.11763742,2.08514476,0.00704561,0.17337354,-0.25158101,0.10663176,-0.05659375,-0.19108869,0.09824800,-0.17408606,0.74348694,-0.01912181,-0.21428800,-0.34260288,-0.37004322,-0.36140019,-0.93379146,0.00000000,0.00000000,0.48277137,0.00000000,-1.09171832,1.38535738,0.47971919,0.88485515,0,15:37:05.1,0,0
12,0.00000000,0.71325397,0.70598143,0.91516244,0.52208787,-0.22351123,0.69519424,2.94273996,0.49771827,0.11763742,2.08514476,-0.01239475,0.24157712,0.10321527,0.06044869,-0.01245735,0.54847622,0.11139568,0.08170263,0.08408498,0.01015605,-0.24526492,-0.38567555,-0.43388060,-0.40634918,0.00696012,0.00000000,0.00000000,1.04784477,0.00000000,0.97775716,-0.91407734,-0.36874598,-0.42958486,0,15:37:05.2,0,0
13,0.00000000,0.71325397,0.62362462,0.40260226,-0.08421582,-0.23079187,0.47195485,-0.11559465,0.44095796,-0.05255820,1.14019954,0.01522275,0.32042235,0.11230640,0.13964452,-0.05000008,0.00571346,0.05645184,-0.43266931,0.45413443,-0.04154969,-0.24526492,-0.37825665,-0.40074384,-0.37267894,-0.09805305,0.00000000,0.00000000,0.32673678,0.00000000,-1.09171832,-0.66619533,0.47971919,-0.10141877,0,15:37:05.3,0,0
14,0.00000000,0.71325397,-0.95436585,0.91516244,1.17045867,-0.50620776,0.03112967,-1.94916058,0.14092250,0.02421874,1.73104930,-0.00189774,0.34269053,-0.07663602,0.14064993,-0.01878878,-0.13164960,0.12139466,-0.02439038,0.50780505,-0.00503216,-0.19962126,-0.33504006,-0.30489817,-0.28161424,0.00696012,0.00000000,0.00000000,-0.18035728,0.00000000,0.97775716,0.26153672,0.97951812,0.14879712,0,15:37:05.4,0,0
15,0.00000000,0.71325397,0.96182770,-0.20370147,0.56415504,-0.14925222,0.84370416,1.09063137,0.56327838,0.19390377,1.90522289,0.01406393,0.12290281,0.13972613,0.12958646,-0.02648812,0.22304904,0.07034197,-0.18782450,0.46303397,-0.05644197,-0.23163988,-0.35349664,-0.34451342,-0.37899980,-0.73505187,0.00000000,0.00000000,-1.10084593,0.00000000,-0.37061018,-0.01981081,0.47971919,0.20696996,0,15:37:05.5,0,0
16,0.00000000,0.00000000,-2.19608641,1.98613405,1.29922152,-0.81008768,-0.48134843,2.96471572,-0.50536937,0.08258466,1.68029737,-0.00386583,0.11841970,0.16722631,0.09281053,-0.00465069,0.24579501,0.14885393,0.03461193,0.16398075,0.01144154,-0.22251892,-0.34427589,-0.40238556,-0.40702352,-0.67709094,0.00000000,0.00000000,0.48277137,0.00000000,-1.09171832,-2.02028751,1.75489712,-0.10272213,0,15:37:05.6,0,0
17,0.00000000,-3.10186720,-0.03549000,-0.24576862,-0.08421582,-0.50565654,0.12900390,1.70393217,0.14327553,0.14518350,1.73104930,-0.03827451,0.12901863,-0.02315384,0.04882681,-0.03592233,0.17772500,0.02887685,-0.25135663,0.41867903,-0.07866694,-0.23787269,-0.36561522,-0.32115272,-0.30504441,-0.34336922,0.00000000,0.00000000,1.04784477,0.00000000,-1.59881222,0.16880609,-0.36874598,0.30294877,0,15:37:05.7,0,0
18,0.00000000,0.00000000,-2.07983136,0.53136504,-0.17780529,-0.40554443,0.22474334,0.63801461,0.25527602,-0.05255820,-0.21958041,-0.02051812,0.18133070,-0.31982026,0.06949501,-0.09876816,-0.27686566,0.05637703,-0.28287753,0.40985054,-0.07866694,-0.23787269,-0.37650898,-0.47350153,-0.47712964,-0.93379146,0.00000000,0.00000000,-1.10084593,0.00000000,4.79339075,0.99276346,1.48336244,1.03245401,0,15:37:05.8,0,0
19,0.00000000,0.00000000,1.34181964,1.13766873,1.29922152,-0.15721019,0.69519424,1.93909657,0.39752087,0.19390377,1.90522289,0.03205260,0.26141965,-0.19179378,0.17578538,-0.01878878,-0.35233152,0.14910744,-0.02439038,-0.13241442,0.03439553,-0.22351684,-0.37071010,-0.28760657,-0.36037138,-0.23303518,0.00000000,0.00000000,2.55875325,0.00000000,1.21300709,0.04041771,-0.36874598,-0.00526647,0,15:37:05.9,0,0
20,0.00000000,-3.10186720,0.27426732,0.40260226,0.52208787,-0.52734357,-0.04888309,-0.11559465,0.20172589,-0.18297811,1.31437314,0.03368720,0.15421866,-0.35274276,0.15081744,-0.05853991,-0.39822221,0.10764383,-0.14650591,0.20884252,-0.01624470,-0.19044706,-0.32278293,-0.53574353,-0.56683445,-0.93379146,0.00000000,0.00000000,0.48277137,0.00000000,-2.67533565,-0.01244634,-0.36874598,0.20426020,0,15:37:06.0,0,0
