Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190416130357
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1094,875,668,624,903,0,682,632,595,0,672,627,558,559,1584,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under
Analog Gain,31,31,6,6,150,150,12,12,31,31,7,7,7,7,15,15,24,24,7,7,15,15,24,24,7,7,6,6,15,15,12,12,15,15,6,6,12,12,6,6,15,15,6,6,6,6,28,28,44,44,6,6,15,15,6,6,6,6,6,6,112,112,31,31,6,6,31,31,6,6,6,6,15,15,15,15,7,7,22,22,14,14,6,6,6,6,6,6,7,7,15,15,72,72,15,15,31,31,72,72,7,7,6,6,6,6,31,31,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,1.59,3.02,2.98,6.56,4.15,7.29,3.81,7.19,1.76,3.98,5.34,8.95,2.39,3.11,1.03,18.89,3.26,3.23,1.47,21.56,1.70,30.04,3.46,4.25,2.91,5.22,2.93,1.00,3.40,4.32,1.99,100.00,3.40,100.00,6.04,6.96,6.84,8.64,8.40,6.43,3.94,5.18,4.92,4.16,6.26,6.10,1.88,100.00,2.84,66.33,9.59,23.15,19.12,100.00,100.00,100.00,41.65,57.38,100.00,100.00,1.00,1.00,100.00,1.00,58.30,100.00,2.99,5.25,3.31,6.74,3.00,4.88,2.70,3.81,2.65,2.91,1.00,6.77,1.00,14.64,15.13,29.17,3.54,5.87,1.38,100.00,1.43,36.62,11.21,11.65,2.69,4.11,3.04,3.04,3.44,3.29,1.46,35.28,100.00,100.00,7.85,8.31,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/16 13:04:01
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.46606794,1.73932636,3.26338744,-0.10113434,-0.29653099,0.01653716,0.14288877,-0.34611797,0.09785588,-0.52098155,-0.50056744,-0.22654319,-0.04613551,-0.36429209,-0.11070617,-0.79143840,-0.68411136,-0.16264366,2.57013059,-0.72855276,-0.43658680,-0.39987555,-0.33486867,-0.39038539,-0.30168971,-0.04508176,4.94018459,-0.08927373,-0.22824867,3.01047921,3.18182158,-0.18164644,0.11900254,0.00000000,0,13:04:10.1,0,0
2,-0.63851309,0.15579455,-1.27366388,-0.13363941,-0.37772590,0.07631464,0.21991375,-0.33589503,0.19565518,-0.50576580,-0.38901135,-0.21264181,-0.01511736,-0.22677128,-0.08635826,-0.81890404,-0.69385439,-0.18654194,1.25040352,-0.23046868,-0.44061628,-0.20859975,-0.15056127,-0.22731651,-0.11150794,-0.15944514,-0.21387662,-0.60846412,-0.54502100,-0.05212018,3.18182158,-0.34079486,0.11900254,0.00000000,0,13:04:10.2,0,0
3,0.46606794,0.89086109,2.30672002,-0.12303001,-0.35077515,0.03660613,0.17757089,-0.33947226,0.14703314,-0.53905654,-0.57729316,-0.24454902,-0.08080817,-0.30738956,-0.12801138,-0.81890404,-0.70846707,-0.23862980,0.63455915,0.41997540,-0.53440541,-0.36118695,-0.38484755,-0.49605185,-0.49144822,-0.17434639,-0.46614552,-1.15060198,-0.61008173,3.01047921,-0.63329995,0.39967155,0.11900254,0.00000000,0,13:04:10.3,0,0
4,0.46606794,0.15579455,1.03137112,-0.15070239,-0.39109647,-0.05873629,0.10264847,-0.35125431,0.04794023,-0.52951479,-0.53946304,-0.24637161,-0.01691239,-0.30316064,-0.16771840,-0.84622973,-0.70846707,-0.24571259,-1.09259093,1.04767978,-0.53440541,-0.33813348,-0.19783492,-0.34830865,-0.31972158,-0.03961287,-0.33685017,-0.56308210,-0.36025950,3.01047921,-0.63329995,-0.15183324,0.11900254,0.00000000,0,13:04:10.4,0,0
5,1.11443877,0.89086109,6.12184095,-0.18828465,-0.48495597,-0.03815575,0.13757262,-0.34810209,0.12212580,-0.52951479,-0.51216477,-0.28533000,-0.10116332,-0.33711103,-0.20500658,-0.87330115,-0.70846707,-0.29129821,-1.10206544,-2.51358795,-0.54097456,-0.31012589,-0.14084308,-0.51323485,-0.43024707,-0.11571186,-0.46212006,-2.21072125,-0.67820984,-0.15442356,3.18182158,-0.68570441,-0.88464081,0.00000000,0,13:04:10.5,0,0
6,-0.11384881,0.15579455,-2.85728097,-0.17871296,-0.40991816,-0.09807205,0.10327379,-0.36336172,0.04487138,-0.54852319,-0.57808572,-0.35898590,-0.25244221,-0.42375183,-0.30647627,-0.89288837,-0.76647317,-0.29763582,2.09355426,-2.68012357,-0.56723410,-0.54947978,-0.39954332,-0.49605185,-0.54663783,-0.05274610,-0.51535779,0.43218783,-0.11027093,2.90817595,1.67142558,-1.14523041,0.11900254,0.00000000,0,13:04:10.6,0,0
7,0.46606794,0.15579455,-1.50891364,-0.11726517,-0.33481398,0.01653716,0.15725087,-0.34810209,0.15135534,-0.52201170,-0.47834754,-0.21483782,-0.11525658,-0.39407548,-0.13534972,-0.87353462,-0.70846707,-0.24400283,0.59656250,-1.93816328,-0.47276199,-0.55935603,-0.49343354,-0.34642631,-0.11688682,-0.00868492,1.98885012,-0.33285117,-0.38564548,3.01047921,1.67142558,-0.72934103,0.11900254,0.00000000,0,13:04:10.7,0,0
8,0.46606794,0.15579455,7.07850885,-0.11755567,-0.43439889,0.07983925,0.19724916,-0.33589503,0.20053260,-0.51528943,-0.48596361,-0.23809552,-0.24319667,-0.21825053,-0.12196685,-0.77787721,-0.70846707,-0.18149607,0.64409971,-1.79338837,-0.41519850,-0.25897536,-0.18701321,-0.26595777,-0.31288326,-0.22362512,-0.27058342,-1.46614552,-0.65954202,-0.05212018,3.18182158,-0.94637454,0.11900254,0.00000000,0,13:04:10.8,0,0
9,-0.63851309,0.15579455,-1.27366388,-0.12544231,-0.35604140,0.11330985,0.23959200,-0.34938034,0.24376488,-0.52384484,-0.54802930,-0.24511068,-0.14362420,-0.28610659,-0.10273213,-0.83254617,-0.70846707,-0.15744276,2.21663547,-2.53534865,-0.40424284,-0.37308115,-0.25276202,-0.39514652,-0.31972158,-0.06360917,-0.38147363,-0.10440083,-0.28376180,3.01047921,5.48654699,-0.88319027,0.11900254,0.00000000,0,13:04:10.9,0,0
10,1.11443877,0.89086109,0.95835263,-0.13933052,-0.34248319,0.03719199,0.17731005,-0.33589503,0.17586282,-0.52384484,-0.49572390,-0.21958524,-0.11094420,-0.14357702,-0.14475538,-0.76414996,-0.68411136,-0.21168442,0.67287964,1.32996452,-0.41519850,-0.27394760,-0.20549259,-0.38506731,-0.36906666,-0.04508176,-0.31655514,0.09736286,-0.15225855,-0.05212018,3.18182158,-0.17173414,0.11900254,0.00000000,0,13:04:11.0,0,0
11,0.46606794,0.15579455,-3.57838917,-0.13794392,-0.40188983,-0.06132319,0.10378627,-0.33947226,-0.00504427,-0.53807020,-0.52490181,-0.24687430,-0.09806360,-0.01182885,-0.19555095,-0.81650138,-0.73751652,-0.27586257,1.67763174,0.77446610,-0.59566230,-0.24818425,-0.19783492,-0.48689499,-0.46475065,-0.01443426,6.41895151,0.11251111,-0.10184193,-0.05212018,3.18182158,-0.62046397,-0.88464081,0.00000000,0,13:04:11.1,0,0
12,0.46606794,0.15579455,1.03137112,-0.16651973,-0.39109647,-0.09807205,0.10327379,-0.34966671,0.07369251,-0.52951479,-0.54432797,-0.26471403,-0.01691239,-0.17336780,-0.18236732,-0.85975403,-0.72298086,-0.29583535,0.57766193,-0.32203659,-0.59683716,-0.41368580,-0.35556167,-0.42094371,-0.32218790,-0.14799801,-0.39231047,-0.38817129,-0.38762417,-0.15442356,3.18182158,-1.47142637,0.11900254,0.00000000,0,13:04:11.2,0,0
13,1.11443877,0.89086109,7.07850885,-0.18474653,-0.42322522,-0.00495823,0.18561493,-0.35125431,0.14722189,-0.52951479,-0.61119938,-0.29833218,-0.11391304,-0.15632670,-0.25507373,-0.81650138,-0.68411136,-0.20047577,3.22791982,-1.93816328,-0.37290376,-0.65102220,-0.53691208,-0.19883315,0.03118211,0.17301348,-0.33685017,0.51757002,0.19644724,-0.15442356,-0.63329995,1.40187967,0.11900254,0.00000000,0,13:04:11.3,0,0
14,1.11443877,0.15579455,7.07850885,-0.09288725,-0.36176476,0.06142969,0.17731005,-0.35984272,0.17130306,-0.52098155,-0.38901135,-0.16390507,-0.01993225,-0.20111683,-0.09119823,-0.81890404,-0.68411136,-0.24571259,1.18396568,-0.32203659,-0.54097456,-0.37920293,-0.26105890,-0.28013569,-0.20182388,-0.11985809,-0.23967817,-1.46614552,-0.55456859,2.90817595,1.67142558,0.03844247,0.11900254,0.00000000,0,13:04:11.4,0,0
15,-1.11749208,0.89086109,-2.85728097,-0.06849951,-0.28924531,0.00312439,0.13590494,-0.33911887,0.07619805,-0.51432115,-0.51373047,-0.15647319,-0.03656677,-0.25610703,-0.03711430,-0.76816064,-0.66943377,-0.19014548,-1.04491198,-0.78396082,-0.43802363,-0.54909271,-0.44049951,-0.36671883,-0.14072163,-0.17711450,-0.24997777,-1.79013062,-0.81919563,-0.05212018,3.18182158,0.51943982,0.11900254,0.00000000,0,13:04:11.5,0,0
16,-0.11384881,0.89086109,0.07470352,-0.11977306,-0.32374796,-0.03988794,0.11739150,-0.33747727,0.02269859,-0.51432115,-0.46145609,-0.17531691,-0.11300483,-0.35143965,-0.08762313,-0.78466350,-0.66943377,-0.13517602,2.61789179,-1.20331514,-0.36078686,-0.35684696,-0.26005051,-0.33560941,-0.29858443,-0.08058070,-0.29104835,-0.34799942,-0.46539131,3.01047921,-0.63329995,-0.35254398,0.11900254,0.00000000,0,13:04:11.6,0,0
17,-0.63851309,0.15579455,-1.27366388,-0.13009463,-0.35077515,-0.04002895,0.11676561,-0.33589503,0.02269859,-0.51432115,-0.41993976,-0.23582436,-0.14362420,-0.50498402,-0.14132944,-0.85399610,-0.68411136,-0.18757540,1.24086297,-3.58358431,-0.46586502,-0.47841656,-0.51417804,-0.36734897,-0.26343775,-0.18557698,-0.36644322,-1.16570866,-0.61008173,-0.05212018,1.67142558,-0.56785774,0.11900254,0.00000000,0,13:04:11.7,0,0
18,1.11443877,0.89086109,0.95835263,-0.14500694,-0.41809839,0.01783465,0.21699762,-0.32773164,0.17603497,-0.51432115,-0.43947810,-0.18925409,-0.04175880,-0.02768838,-0.11658847,-0.74136329,-0.65477800,-0.20680952,-0.76379800,-1.83129740,-0.43105289,-0.41613787,-0.28396297,-0.26930630,-0.15846010,-0.15790623,-0.23967817,-1.16570866,-0.61008173,3.01047921,-0.63329995,1.12574005,0.11900254,0.00000000,0,13:04:11.8,0,0
19,-0.11384881,-0.49257627,2.30672002,-0.18730813,-0.39109647,-0.11464982,0.05317710,-0.33947226,-0.02689951,-0.50675619,-0.41334572,-0.23724671,0.10827010,-0.12219127,-0.16740581,-0.77561450,-0.70846707,-0.20909795,0.61552823,-1.86355555,-0.42237985,-0.41613787,-0.28396297,-0.46467111,-0.40682805,0.10204756,-0.46212006,0.14287011,-0.06982328,-0.15442356,-0.63329995,-0.56785774,0.11900254,0.00000000,0,13:04:11.9,0,0
