Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190409131906
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1294,993,648,612,848,0,712,650,665,0,782,691,608,589,1384,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,31,31,6,6,112,112,6,6,6,6,31,31,7,7,6,6,31,31,6,6,6,6,48,48,6,6,7,7,22,22,7,7,7,7,6,6,12,12,6,6,7,7,7,7,6,6,24,24,12,12,6,6,22,22,15,15,15,15,6,6,72,72,31,31,6,6,44,44,6,6,6,6,28,28,7,7,6,6,31,31,15,15,6,6,6,6,98,98,7,7,6,6,7,7,44,44,15,15,7,7,6,6,7,7,6,6,24,24,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,97.04,95.71,98.59,100.00,1.00,1.00,5.76,14.70,3.91,7.97,1.60,2.88,13.73,63.17,2.10,2.71,1.13,20.69,3.26,3.28,1.29,17.02,1.67,32.29,2.14,2.87,4.87,7.97,2.02,69.47,2.29,2.97,1.98,96.00,1.59,38.87,5.61,6.60,3.95,5.36,2.61,3.19,3.38,4.61,2.97,4.24,2.04,3.05,1.88,1.00,1.51,62.53,1.98,4.95,22.81,100.00,7.54,7.57,26.34,34.99,100.00,100.00,100.00,42.72,100.00,1.00,66.24,100.00,3.00,7.45,2.40,4.85,2.16,3.38,3.75,5.79,3.81,4.11,1.00,5.92,1.13,16.49,4.85,4.91,3.09,4.56,1.18,28.61,1.32,20.99,2.53,2.53,2.08,2.99,3.22,3.67,1.15,2.17,2.55,1.00,20.16,100.00,1.83,4.90,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/04/09 13:19:09
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-1.60288429,0.00000000,3.79960918,1.16571236,0.00000000,0.90641534,0.43113586,-0.20924239,-0.60308033,-0.45599270,-0.10433249,-0.36575672,-0.28252012,-0.16536932,0.06692062,-0.47701147,0.53149956,0.01171357,-1.70810270,-0.76145411,-0.15645999,-0.72846925,-0.49450904,-0.42213428,-0.30457610,-0.14496328,-0.37336797,0.44726446,-0.20543522,0.01314990,0.01546332,0.40875244,0.46990213,-1.67906868,0,13:19:18.1,0,0
2,2.21223664,2.36681366,1.33133805,0.50569850,0.00000000,0.94377238,0.39317843,-0.22330810,-0.60308033,-0.48129213,-0.12873131,-0.37844104,-0.19626445,-0.21292455,0.03249002,-0.59979546,-0.01022721,0.00736630,0.12478673,-0.78092337,-0.14462499,-0.75696927,-0.50785869,-0.43063673,-0.25707772,-0.13016595,-0.43197924,1.29884565,-0.16552505,2.79010582,-0.06740589,0.30710757,0.33692041,-0.98894197,0,13:19:18.2,0,0
3,0.00000000,0.00000000,2.65184021,0.65315211,0.00000000,0.49130177,0.25317866,-0.21759038,-5.28294754,-0.47920281,-0.18817313,-0.44404295,-0.47896048,-0.33024773,-0.04606814,-0.62454557,-0.01022721,0.00776057,0.58750445,-1.31387401,-0.09508281,-0.76511186,-0.49450904,-0.48417732,-0.30745280,-0.16418184,-0.42300707,0.71478724,-0.24140489,-0.18879169,-0.10829867,0.76262677,0.33692041,-1.67906868,0,13:19:18.3,0,0
4,0.00000000,-1.44830739,1.21163940,0.06164276,0.00000000,1.02715206,0.47626168,-0.22695200,-0.22639880,-0.46068910,-0.17352189,-0.25663379,-0.32375851,0.00700678,0.09418666,-0.47974563,0.76271957,0.09707706,1.33891547,-0.03002485,-0.04057157,-0.62289369,-0.43675983,-0.49559125,-0.35290501,-0.14023517,-0.40949318,1.29884565,-0.21193759,2.79010582,-0.06740589,-0.12954044,-0.05476220,9.10023212,0,13:19:18.4,0,0
5,-3.83490086,-3.68032384,1.69523108,-1.37010646,0.00000000,0.61388481,0.23981883,-0.21185765,-1.45484746,-0.44979089,-0.12450170,-0.37397066,-0.23004077,0.13074611,0.13560569,-0.45679063,1.35840690,0.12988891,0.62516993,0.11066248,-0.10587908,-0.62289369,-0.45235369,-0.47055566,-0.38175568,-0.15830234,-0.44093680,2.34550714,-0.20652515,-0.08874691,0.07189713,-0.70292842,0.86158472,-2.36679578,0,13:19:18.5,0,0
6,2.21223664,2.36681366,0.85638094,-0.45091745,0.00000000,0.64757997,0.28669345,-0.20780699,-5.20893860,-0.41989374,-0.30224296,-0.33247334,-0.25195718,-0.21105500,0.14677250,-0.42289713,0.08557063,0.15693028,-0.87129074,-0.54467613,-0.03289222,-0.59736949,-0.44458124,-0.42771423,-0.32562387,-0.19149980,-0.32322094,-0.30892411,-0.28234842,2.98076653,0.00439747,0.24971552,0.86158472,-2.90389395,0,13:19:18.6,0,0
7,2.21223664,-3.68032384,2.88610649,0.02462899,0.00000000,0.76003027,0.31868458,-0.17885150,-1.01432991,-0.43009549,-0.04534218,-0.34452838,-0.13568531,0.04998703,0.16945869,-0.47944763,0.78183317,0.12012858,-0.30310571,0.09119322,-0.13588656,-0.69431400,-0.50838733,-0.53601038,-0.42819405,-0.19304445,-0.41401991,1.02534664,-0.28055677,-0.08874691,-0.04441575,-0.57607424,0.33692041,-1.28738678,0,13:19:18.7,0,0
8,2.21223664,-3.68032384,1.59141791,0.02462899,0.00000000,0.77870297,0.32278553,-0.18131943,-0.78543925,-0.42773578,0.11297447,-0.36087462,-0.22304606,-0.26380855,0.09572005,-0.52519423,0.30571890,0.08007247,-0.30310571,-0.11738750,-0.11836855,-0.61533636,-0.43277553,-0.47588748,-0.35601184,-0.24194896,-0.40048388,0.70544946,-0.34029362,0.48538053,-0.01255106,-0.18710914,-0.14205857,1.14761376,0,13:19:18.8,0,0
9,-1.60288429,-5.26394081,2.04672861,-0.85754627,-18.07411385,0.88294894,0.37432650,-0.19986448,-0.58365428,-0.44620630,-0.02164356,-0.41665399,-0.25155348,0.00222579,0.06692062,-0.55227691,0.76271957,0.05147324,1.38610375,-0.11738750,-0.12463466,-0.65395904,-0.45715296,-0.55865461,-0.41737169,-0.16647947,-0.44093680,1.76559639,-0.24998596,-0.18879169,-0.04441575,-0.27554688,0.33692041,-3.81150317,0,13:19:18.9,0,0
10,-1.60288429,-3.68032384,1.44189346,-0.41942677,0.00000000,0.69591063,0.30411527,-0.23727997,-0.85269016,-0.48999658,-0.10918463,-0.39060968,-0.22597846,-0.20816383,0.03485905,-0.57713842,0.28660530,-0.03104380,-1.68929958,-0.12726116,-0.21994966,-0.63465178,-0.46008167,-0.58452910,-0.41040665,-0.21037644,-0.44988015,0.06572216,-0.34029362,0.48538053,-0.00402587,-0.70772946,-0.53374118,-2.66784883,0,13:19:19.0,0,0
11,-3.83490086,-3.68032384,1.30208564,-0.41942677,0.00000000,0.78974050,0.32677227,-0.20821247,-0.57125354,-0.46177104,-0.16375248,-0.43368873,-0.31272048,-0.24595848,-0.00741142,-0.64912343,0.25805834,0.00280920,-0.35976842,-0.01537361,-0.20651726,-0.69927657,-0.47261202,-0.60708791,-0.44529060,-0.18458301,-0.49883679,1.51917195,-0.28146315,-0.28704995,-0.14337839,-0.44420364,-0.05476220,-1.43956125,0,13:19:19.1,0,0
12,-1.60288429,2.36681366,1.59141791,-0.45091745,0.00000000,0.80115151,0.36791137,-0.20821247,-0.50317085,-0.45961255,-0.09455447,-0.45361742,-0.38529986,-0.03095069,0.02686307,-0.55466962,0.74367166,0.06833135,1.36720312,-0.03002485,-0.08542342,-0.69431400,-0.49097639,-0.54233193,-0.38591096,-0.15921012,-0.50774097,1.78906131,-0.23128542,2.69516325,-0.14337839,-0.37796849,0.33692041,-3.27718019,0,13:19:19.2,0,0
13,2.21223664,0.00000000,1.69523108,0.58881670,0.00000000,0.60538191,0.23915918,-0.22659567,-3.34593582,-0.45818430,-0.23897804,-0.26428220,-0.16570400,-0.15101036,0.14995794,-0.49978191,0.32489949,0.13847703,0.24759738,-0.54467613,-0.07109319,-0.68031991,-0.47475344,-0.51900333,-0.41922292,-0.19805199,-0.44093680,1.08190250,-0.33868191,-0.18879169,-0.07121389,-0.05282709,0.33692041,0.14397047,0,13:19:19.3,0,0
14,2.21223664,2.36681366,2.43995643,0.07625652,0.00000000,0.96843147,0.50041789,-0.18387526,-1.30388594,-0.41349795,-0.25755659,-0.27102241,-0.38474509,-0.52861929,0.16665798,-0.46442044,-0.84069204,0.16689956,-0.18799913,0.09311468,0.02879683,-0.47732037,-0.39359424,-0.42447338,-0.33726144,-0.15843217,-0.42300707,-0.64258665,-0.32982501,0.29710549,-0.39689815,-0.29310080,-0.53374118,-2.55087256,0,13:19:19.4,0,0
15,2.21223664,2.36681366,3.79960918,0.58881670,0.00000000,0.98275203,0.43448952,-0.19252098,-0.06530254,-0.42757553,-0.13241407,-0.29356915,-0.15124473,-0.03810478,0.15245686,-0.45128199,0.83963639,0.13233531,1.13126624,0.17941310,-0.03791173,-0.61533636,-0.45134676,-0.47055566,-0.42837232,-0.18435012,-0.59989369,1.89376342,-0.32843080,-0.37945256,-0.51498681,0.22372910,0.33692041,-1.37942886,0,13:19:19.5,0,0
16,0.00000000,0.00000000,2.65184021,1.30459607,0.00000000,0.70523131,0.33545950,-0.14705504,-3.51032686,-0.39881033,-0.17934869,-0.28360716,-0.26641643,0.07880816,0.16101897,-0.34802479,0.88828373,0.14953586,-0.17830755,-0.34983641,0.02879683,-0.61695975,-0.46502724,-0.40230814,-0.29005328,-0.12299595,-0.48997268,1.71919811,-0.26737016,0.20532905,-0.48157594,0.76262677,-0.53374118,-0.59890878,0,13:19:19.6,0,0
17,-3.83490086,-1.44830739,1.82673168,0.06164276,0.00000000,0.61381394,0.25317866,-0.19252098,-3.27154446,-0.45343235,-0.08490732,-0.34122941,-0.33708277,-0.34131885,0.07881118,-0.49505109,0.10491963,0.07003183,-0.83290356,0.29057345,-0.12645249,-0.58960211,-0.44366437,-0.60282409,-0.51765311,-0.18561518,-0.57369041,0.88581502,-0.30366334,-0.47439501,-0.56750906,-0.43585941,-0.49881795,-2.23887849,0,13:19:19.7,0,0
18,-1.60288429,0.00000000,1.32433844,0.65315211,0.00000000,0.70938176,0.29654455,-0.17822450,-2.07397842,-0.42757553,-0.20927496,-0.34972730,-0.17862776,0.02605460,0.06416658,-0.45403531,0.83963639,0.04412949,0.25721362,-0.38943079,-0.12289048,-0.66100454,-0.47173989,-0.49559125,-0.41116405,-0.17539954,-0.64753979,1.41762710,-0.31119415,2.51005435,-0.78810817,-0.43381706,0.68724978,-1.60289896,0,13:19:19.8,0,0
19,0.00000000,2.36681366,2.88610649,-1.05722117,0.00000000,0.54467803,0.22520672,-0.16133006,-3.41933513,-0.43470821,-0.04037233,-0.32832661,-0.22123812,-0.10959508,0.03672932,-0.52244532,0.60841644,0.02870068,-0.85210103,-0.13705616,-0.16074808,-0.71130115,-0.49097639,-0.57649565,-0.48515522,-0.26061407,-0.72885901,-2.48521495,-0.45886496,-0.65950406,-1.12915349,0.02948855,-0.14205857,-1.20515263,0,13:19:19.9,0,0
