Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190416123106
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1869,1332,968,801,703,0,617,594,605,0,622,597,598,583,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,98,98,6,6,56,56,12,12,31,31,24,24,28,28,31,31,28,28,7,7,6,6,7,7,12,12,12,12,98,98,24,24,15,15,22,22,24,24,15,15,24,24,12,12,7,7,31,31,24,24,7,7,12,12,12,12,15,15,6,6,6,6,31,31,6,6,31,31,6,6,62,62,24,24,31,31,7,7,7,7,7,7,7,7,7,7,6,6,31,31,31,31,72,72,6,6,72,72,15,15,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,64.33,100.00,3.44,8.19,1.67,2.80,2.77,6.81,4.35,7.84,4.39,11.97,2.49,5.24,5.54,14.51,2.53,2.85,7.66,100.00,2.75,2.59,1.35,19.14,2.05,37.82,4.59,4.65,4.99,7.10,3.29,1.00,4.02,5.40,4.74,1.00,4.01,1.00,9.14,9.48,6.42,6.75,5.94,7.02,10.38,11.66,4.02,5.16,4.51,8.06,2.19,100.00,3.39,1.00,19.87,54.76,1.00,1.00,100.00,100.00,66.37,92.73,1.00,1.00,1.00,100.00,43.96,1.00,39.81,39.91,3.18,6.06,3.60,10.35,3.74,7.86,2.64,3.48,3.04,3.91,2.07,45.46,1.70,37.37,53.05,78.89,2.52,4.56,1.91,80.64,1.91,43.34,17.56,20.40,7.59,7.64,2.68,2.98,1.52,2.10,1.53,45.15,21.56,100.00,8.89,27.32,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/16 12:31:11
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-0.14625138,-0.25322455,-0.17511909,-0.83699298,-0.17184722,-0.07348957,-0.83274502,-0.08678776,-0.07877768,0.40323916,-0.18029723,-0.07485645,-0.13491476,-0.00038287,-0.18767697,0.39533293,-0.23282428,0.45488432,0.17339438,-0.68015850,-0.27770582,-0.04849790,-0.61116928,-0.20010677,-0.01721904,-0.90993226,0.30613804,-0.53648502,0.00000000,-2.23283553,-2.50614142,0.00000000,-8.20811653,0,12:31:20.1,0,0
2,0.00000000,0.16696621,-0.18088238,-0.06878603,-0.72553903,-0.10597184,-0.06012892,-0.81952316,-0.11960310,-0.05515272,-0.07417742,-0.08377902,0.33026913,0.14440578,0.27188802,-0.25269142,0.32674313,-0.08535431,0.39228180,1.78979421,-0.37907696,-0.17490008,-0.07950623,-0.59564459,-0.25752118,0.19448881,-1.45889318,8.10761833,0.64200526,0.00000000,0.34373412,-1.59342194,10.01005268,-8.38501072,0,12:31:20.2,0,0
3,-6.22176409,-0.14625138,-0.29018000,-0.06744365,-0.68828237,0.08043507,0.25988099,-0.73518538,0.31286156,-0.02774806,0.50497198,-0.06071825,0.18908703,0.29948163,0.40968972,-0.04632270,3.19561934,-0.14153075,0.51394099,-0.64454740,-0.55029285,-0.51932991,-0.27567169,-0.29162180,-0.10150602,0.09552598,1.73624456,0.30613804,0.17471048,0.00000000,0.34373412,-2.08642554,0.00000000,-9.26580429,0,12:31:20.3,0,0
4,0.00000000,-0.14625138,-0.31634411,-0.09519801,-0.72553903,0.06027372,0.19372244,-0.79835713,0.15954271,-0.04903498,-1.32005060,0.01698690,0.11529015,-0.56217241,0.47883952,-0.19313046,0.42561543,-0.00730167,0.73897678,0.19015035,-0.18752863,-0.35415366,-0.23178980,-0.31776613,-0.15249439,0.05089261,0.43956435,0.38123733,-0.79534972,0.00000000,0.50627506,-2.25387859,0.00000000,0.00000000,0,12:31:20.4,0,0
5,0.00000000,-0.14625138,-0.27207649,-0.11270048,-0.68231505,0.04244048,0.17518808,-0.77150142,0.19755776,-0.07718893,-0.71562475,-0.09654641,0.04886373,-0.46175575,0.32686627,-0.19313046,0.38244414,-0.07650899,0.49276894,0.15668991,-0.38733852,-0.40537009,-0.16840073,-0.33381575,-0.10730182,-0.21639849,-4.43892145,0.23199606,-1.75599515,0.00000000,0.57898402,-1.01636684,0.00000000,0.00000000,0,12:31:20.5,0,0
6,0.00000000,-0.14625138,-0.37959570,-0.13084461,-0.77025557,-0.02166338,0.21173137,-0.83808917,0.20589510,-0.09189457,-0.71562475,-0.09625176,0.21853140,0.10886700,0.22497006,-0.25269142,0.30974177,-0.01087066,0.51394099,0.19015035,-0.32705495,-0.32490534,-0.18719301,-0.46938905,-0.16688454,0.08607034,-0.37099302,0.26239806,-0.19529016,0.00000000,0.57898402,-1.41922665,0.00000000,-9.17076778,0,12:31:20.6,0,0
7,0.00000000,-0.44713268,-0.30364898,-0.18262300,-0.89031035,0.07834179,0.16472548,-0.86343759,0.12358189,-0.10498093,-0.71562475,-0.15812486,-0.07485645,-0.89534676,0.16378808,-0.32451081,0.35239759,0.01400193,0.61235249,3.07779312,-0.14330360,-0.27026165,-0.03665519,-0.29944399,-0.12177670,0.09188108,-4.51474571,0.30613804,0.38724700,0.00000000,0.50627506,-1.80698013,0.00000000,-2.16075182,0,12:31:20.7,0,0
8,-3.98974729,0.16696621,-0.32581821,-0.09013123,-0.69162923,-0.23862250,-0.27845907,-0.82437080,-0.38267839,-0.06924697,-0.10932103,-0.03381481,0.09292880,-0.62924713,0.31366146,-0.28397295,0.32674313,0.05712799,0.53091675,0.07386725,-0.06076847,-0.41569686,-0.31083006,-0.22307357,-0.09068210,0.02474567,-3.08157420,0.26239806,-0.79469937,0.00000000,0.34373412,-1.22630763,0.00000000,-7.59859276,0,12:31:20.8,0,0
9,0.00000000,-0.44713268,-0.25852957,-0.08133802,-0.71156836,0.02913297,0.18476915,-0.77971989,0.16952018,-0.05515272,0.40323916,-0.08222709,0.09292880,-0.25347149,0.37707400,-0.21838874,0.36521676,-0.03854144,0.67746884,0.22386728,-0.29685873,-0.26911822,-0.06066915,-0.52849638,-0.20141926,0.09552598,-3.11746073,0.32371044,0.25803432,0.00000000,-3.30935860,-1.19230592,0.00000000,-5.29386711,0,12:31:20.9,0,0
10,-0.17462614,-0.44713268,-0.28484333,-0.08706079,-0.75337452,-0.14270160,-0.19570564,-0.78557974,-0.22725272,-0.06478820,-0.03875218,-0.10963891,0.11857661,0.05615795,0.32021812,-0.11216845,0.39533293,0.01806394,0.49276894,0.10682649,-0.23424937,-0.47973099,-0.32959267,-0.47151631,-0.20941301,0.07122313,-4.48813200,0.24933299,-0.03981296,0.00000000,1.94417620,-1.93960762,0.00000000,-10.40590572,0,12:31:21.0,0,0
11,0.00000000,-0.44713268,-0.32581821,-0.11827249,-0.75043553,0.10058495,0.25442272,-0.81070876,0.19316308,-0.07795735,-0.13991627,-0.09114832,-0.09458455,-0.01536749,0.39422446,-0.07754736,0.43865988,-0.02140760,0.67746884,0.10682649,-0.16579376,-0.44076848,-0.21595512,-0.24870658,-0.13463745,0.10250565,0.41698599,0.44389510,-0.34821323,0.00000000,5.75929689,3.28287148,0.00000000,0.00000000,0,12:31:21.1,0,0
12,0.00000000,-0.44713268,-0.34845671,-0.16056700,-0.78402835,-0.27300519,-0.31793758,-0.81554228,-0.40780884,-0.09790999,-0.10932103,-0.18003830,-0.03418900,0.00287648,0.13829209,-0.23108678,0.32674313,-0.20814928,0.41307071,-0.64454740,-0.68361992,-0.41569811,-0.22273177,-0.76248997,-0.29945418,-0.01856394,-1.55559587,0.24933299,-1.00865042,0.00000000,-2.23283553,-0.75744003,0.00000000,-5.34144258,0,12:31:21.2,0,0
13,-0.17462614,-0.44713268,-0.32164919,-0.17779478,-0.81434047,0.05206974,0.30853093,-0.79819894,0.30847794,-0.09004182,0.81669968,-0.17199266,-0.11384440,-0.34209540,0.13622519,-0.33548194,0.28433740,-0.19218029,0.37572816,5.24390268,-0.60092872,-0.36973891,-0.06747068,-0.39501804,-0.16642623,-0.08150979,0.76678222,0.26239806,-0.69995213,0.00000000,-3.30935860,-0.94510800,0.00000000,-5.79614544,0,12:31:21.3,0,0
14,0.00000000,-0.44713268,-0.27207649,-0.09053779,-0.72553903,-0.23538457,-0.31553355,-0.88264549,-0.46097046,-0.07718893,-1.45758510,-0.01232216,0.20321189,-0.15277170,0.36183929,-0.18429846,0.36521676,-0.14538074,0.49276894,-0.57837868,-0.43445608,-0.28020042,-0.13143432,-0.27791452,-0.09536713,-0.04059891,0.43956435,0.26239806,-1.00865042,0.00000000,1.94417620,-0.19009867,0.00000000,-0.88982791,0,12:31:21.4,0,0
15,0.00000000,-0.44713268,-0.29686752,-0.09496640,-0.73162752,0.01292702,0.12102292,-0.73658448,0.27515203,-0.06395227,0.78191751,-0.06964297,0.13173589,-0.29793441,0.40766394,-0.28397295,0.30974177,0.08067434,0.51394099,-0.59503454,-0.09963416,-0.30735922,-0.10278598,-0.37648726,-0.14918503,0.02839819,0.85490942,0.30613804,-0.14915249,0.00000000,-0.88446814,-0.75744003,0.00000000,-3.93532157,0,12:31:21.5,0,0
16,0.00000000,-0.14625138,-0.25852957,-0.11709458,-0.75337452,-0.11264085,-0.04665117,-0.80710024,-0.17731123,-0.05073044,-1.38701618,-0.09632058,0.11423341,0.25912771,0.35490233,-0.04632270,0.39533293,-0.14364313,0.57363874,0.22386728,-0.54496449,-0.21086937,-0.13526492,-0.43714452,-0.19200747,0.01445345,-3.14865017,0.30613804,-0.64359158,0.00000000,-1.72574127,-1.41385436,0.00000000,-2.16075182,0,12:31:21.6,0,0
17,0.00000000,-0.44713268,-0.34817085,-0.13452704,-0.74266344,-0.21638842,-0.29665607,-0.83839279,-0.41051385,-0.08398908,0.37264392,-0.09625176,0.10983931,-0.20605317,0.36884171,-0.28975967,0.32674313,-0.02144362,0.41307071,0.10682649,-0.29412967,-0.36107022,-0.14227515,-0.43289286,-0.18839833,0.07326684,-0.36217162,0.30613804,0.46879113,0.00000000,-1.00463319,-0.94510800,0.00000000,-5.79614544,0,12:31:21.7,0,0
18,-0.17462614,-0.44713268,-0.26539832,-0.16056700,-0.82402658,-0.15791827,-0.06918726,-0.88202870,-0.09233028,-0.13328157,-0.23925462,-0.10314532,0.36061108,-0.13516523,0.29184282,-0.31988883,0.25482023,-0.22120522,0.31406587,4.67441988,-0.66504890,-0.34338677,-0.18215159,-0.67568749,-0.31141657,0.07296270,1.81182623,5.70630836,-0.06449556,0.00000000,-1.00463319,-2.10771775,0.00000000,-9.98527813,0,12:31:21.8,0,0
19,0.00000000,11.26918221,-0.33470184,-0.14758331,-0.80688775,-0.02759298,0.10296071,-0.84690356,0.11032572,-0.09707543,-0.17469844,-0.15052436,0.09002042,-0.79965359,0.12840284,-0.36512604,0.30974177,-0.12635837,0.43393782,-0.62809217,-0.49778584,-0.31402704,-0.07568091,-0.38310650,-0.13940471,-0.04021281,-6.80174303,0.26239806,-0.45316118,0.00000000,-0.28784025,-2.13939190,0.00000000,0.00000000,0,12:31:21.9,0,0
