Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190409124231
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1919,1362,678,630,578,0,592,579,585,0,617,594,653,615,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,88,88,6,6,6,6,31,31,7,7,7,7,31,31,7,7,44,44,22,22,62,62,15,15,60,60,15,15,15,15,12,12,15,15,22,22,28,28,15,15,7,7,31,31,7,7,88,88,48,48,98,98,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,22,22,6,6,15,15,12,12,24,24,6,6,6,6,62,62,24,24,6,6,6,6,124,124,7,7,6,6,62,62,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,90.10,1.00,9.39,11.32,55.94,100.00,28.96,80.64,5.53,12.66,3.22,7.09,2.67,5.04,7.19,14.65,3.37,4.03,2.13,31.30,2.57,2.60,2.89,18.91,9.40,100.00,4.48,5.05,9.36,15.40,5.13,1.00,5.17,6.36,5.05,1.00,4.88,1.00,9.29,8.99,5.47,6.54,3.44,4.52,7.07,9.03,3.10,4.57,10.54,11.13,3.38,1.00,1.00,1.00,100.00,100.00,100.00,1.00,54.70,100.00,49.54,72.49,100.00,100.00,100.00,100.00,47.32,1.00,82.53,100.00,6.21,13.13,2.65,6.30,1.35,2.50,3.47,4.69,3.12,3.35,1.58,38.47,13.26,100.00,84.59,100.00,4.39,4.69,1.68,77.04,10.30,100.00,24.61,32.61,33.27,33.28,2.37,2.81,1.30,2.67,2.32,1.00,100.00,100.00,31.27,77.04,100.00,100.00,100.00,1.00

Measurement Information
Date,2019/04/09 12:42:37
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-3.36612439,0.82695508,0.27704248,0.31751364,-0.11821272,-0.46812123,-0.29013193,-0.38097978,-0.20210010,-0.44484279,-2.15646148,-0.79530448,-2.45816493,-0.31929377,-1.30996275,-0.85659736,-0.67412454,-0.66864574,-0.83351177,-0.67370540,-1.05064106,-0.49787474,-0.31315824,-0.72426522,-0.29150400,2.67296576,-1.11067617,0.00000000,-0.33346710,0.16082348,-0.48512834,1.08407617,0.00000000,0.00000000,0,12:42:46.1,0,0
2,0.00000000,0.38674504,0.41714361,0.04845984,-0.23935863,-0.37019807,-0.27363166,-0.50439519,-0.20291600,-0.46532646,-12.82172775,-0.72957772,-2.29535389,1.06764114,-1.03277719,-0.53188431,-0.48782277,-0.16916934,-0.16280976,-0.48644611,-0.06341445,-0.45756033,-0.26986915,-0.68323153,-0.30207041,3.09539676,-0.94368482,0.00000000,1.27157140,0.80919433,-0.04107259,2.62004328,0.00000000,-1.97976041,0,12:42:46.2,0,0
3,-1.13410807,0.82695508,0.53593898,0.31751364,-0.11821272,-0.41117319,-0.27563611,-0.66652602,-0.23341966,-0.84399325,-3.54822969,-0.66556537,-1.74606359,1.63622820,-0.92205697,-0.45176598,-0.62299258,-0.21979414,-0.55115819,-0.46202087,-0.19192022,-0.34777883,-0.24308373,-0.75007272,-0.34665495,2.58996010,-0.84773493,0.00000000,0.78524399,-0.94375759,-0.19855662,0.41722599,0.00000000,-1.97976041,0,12:42:46.3,0,0
4,2.68101311,0.38674504,0.38888395,0.04845984,-0.11821272,-0.66137713,-0.40429351,-0.00840000,-0.47983789,0.06999578,-3.35639858,-0.69339895,-1.89786148,-1.13400352,-0.88070250,-1.36703360,-0.85426521,-0.49500787,-0.63568062,-0.55440885,-0.68320978,-0.48970863,-0.33672938,-0.59805733,-0.26449481,2.74771786,-0.78849626,0.00000000,0.31490374,0.80919433,-0.48512834,-1.22085559,0.00000000,0.00000000,0,12:42:46.4,0,0
5,0.00000000,0.38674504,0.38320446,0.04845984,-0.23935863,-0.48214045,-0.29869410,-0.12938236,-0.28122377,-0.19009896,-0.91404927,-0.67991853,-1.96010101,-1.45657420,-0.99593621,-0.85653013,-0.67412454,-0.24067625,-0.43638018,-0.48644611,-0.22051218,-0.45275351,-0.28211978,-0.68323153,-0.31549096,2.50825334,-0.75863665,0.00000000,0.62320054,0.80919433,-0.32506269,2.20425463,0.00000000,-5.63285303,0,12:42:46.5,0,0
6,0.00000000,-0.02085221,0.34624797,-0.20805362,-0.35794589,-0.73024803,-0.43427971,-0.50680304,-0.54098558,-0.67558753,-3.11769366,-0.70210278,-1.87260461,0.19326644,-0.92497385,-1.03107691,-0.82958180,-0.21781135,-0.60769677,-0.60246181,-0.15109591,-0.57885373,-0.36769384,-0.75916332,-0.34132209,2.89957905,-0.97256047,0.00000000,1.36516082,-0.94375759,-0.45614594,1.06480408,0.00000000,2.02379942,0,12:42:46.6,0,0
7,-1.13410807,0.38674504,0.21229117,0.36541101,0.08185652,-0.53189510,-0.29560837,-0.56437027,-0.27952433,-0.88417888,-1.00123525,-0.74630880,-2.02494359,-0.23496938,-0.99593621,-0.90458304,-0.69951332,-0.46914068,-0.86043996,-0.55440885,-0.63609701,-0.47846755,-0.29007825,-0.83250916,-0.34699032,2.71985269,-1.05421484,0.00000000,-0.96035957,-0.94375759,-0.19855662,0.41605029,0.00000000,1.67347002,0,12:42:46.7,0,0
8,2.68101311,0.38674504,0.39703622,0.04845984,-0.23935863,-0.53044897,-0.32346573,-0.59256512,-0.30006099,-0.87077534,-1.63359809,-0.71572012,-1.78369427,0.72164655,-0.94042951,-0.89877242,-0.72478551,-0.09884159,-0.63568062,-0.57848775,-0.07449319,-0.49132016,-0.31315824,-0.81176704,-0.36767152,2.77216554,-0.94368482,0.00000000,0.04328372,-0.41909331,0.41694930,1.08407617,0.00000000,-0.28113240,0,12:42:46.8,0,0
9,-1.13410807,-0.40033793,0.51698947,-0.13613948,-0.15787666,-0.37585172,-0.30055445,-0.56023431,-0.21898942,-0.87978458,-1.46073103,-0.63878727,-1.44545901,0.45016041,-0.50469011,-0.72133851,-0.67412454,-0.31857136,-0.69136196,-0.46202087,-0.59224129,-0.49512205,-0.30876699,-0.77209425,-0.34927183,2.98558998,-0.74577421,0.00000000,0.78524399,-0.41909331,-0.19855662,0.14909297,0.00000000,-0.28113240,0,12:42:46.9,0,0
10,-4.94974184,-0.40033793,0.46121189,-0.13613948,-0.08289612,-0.32664803,-0.19707224,-0.46654955,-0.06397635,-0.82220209,0.62927085,-0.62504888,-1.11671162,1.42356610,-0.46701291,-0.81350291,-0.82958180,-0.36697170,-0.99307495,-0.60246181,-0.62726277,-0.55677342,-0.33837071,-0.77420425,-0.33110222,2.58214664,-0.77570409,0.00000000,0.86688346,-0.94375759,0.15177274,0.36973456,6.75512791,-4.50926065,0,12:42:47.0,0,0
11,-1.13410807,-0.40033793,0.49581495,-1.03806341,-0.68962783,-0.41512802,-0.29353595,-0.28290558,-0.26934406,-0.55035919,0.04785879,-0.64237970,-1.29550433,1.63622820,-0.40690368,-0.63189584,-0.72478551,-0.22479656,-0.86043996,-0.46202087,-0.39440852,-0.45944279,-0.28211978,-0.60640180,-0.27813342,2.71278214,-0.68542260,0.00000000,0.78524399,-0.94375759,-0.19855662,-0.07214931,0.00000000,0.00000000,0,12:42:47.1,0,0
12,2.68101311,0.38674504,0.39703622,0.31751364,-0.11821272,-0.60045868,-0.34790000,-0.49074373,-0.41712886,-0.86744273,0.65972000,-0.68401265,-1.19371128,-5.79915524,-0.47942451,-0.81908512,-0.64861768,-0.39233017,-0.77925646,-0.38790384,-0.57792026,-0.42206827,-0.25338748,-0.60462111,-0.28303152,2.59606624,-0.75863665,0.00000000,-1.03346372,-0.41909331,0.06661996,2.80215573,0.00000000,0.00000000,0,12:42:47.2,0,0
13,-1.13410807,-0.02085221,0.36353278,0.10889756,-0.15787666,-0.37344691,-0.19707224,-0.40301830,-0.12824030,-0.74320918,0.63296211,-0.68476439,-1.41992784,1.15371621,-0.59578335,-0.89877242,-0.87883842,-0.50467676,-1.30388379,-0.67370540,-0.84020036,-0.61573166,-0.35427156,-0.85643846,-0.33392525,2.21237278,-0.97256047,0.00000000,-0.05265939,-1.42273664,-0.10581658,-0.89413124,0.00000000,-4.69613743,0,12:42:47.3,0,0
14,-3.36612439,-0.75534052,0.26091573,-0.68773401,-0.47398236,-0.29689750,-0.17601985,-0.45324260,-0.02380734,-0.81099612,0.20610605,-0.70156902,-1.29914749,2.81198454,-0.55841315,-0.60174739,-0.92765802,-0.10620659,-1.19883478,-0.67370540,-0.21862839,-0.59289104,-0.36457396,-0.84930193,-0.34699032,2.46565723,-1.04202628,0.00000000,0.86688346,-1.42273664,-0.45614594,0.71865189,0.00000000,0.76973259,0,12:42:47.4,0,0
15,-1.13410807,0.82695508,0.61176687,0.25000349,0.00565951,-0.40293700,-0.26060709,-0.17181413,-0.21055777,-0.34216812,-0.68849772,-0.60677522,-1.10051215,-0.79343539,-0.34971392,-1.05729520,-0.74987984,-0.09840909,-0.94037771,-0.55440885,-0.05118551,-0.47633728,-0.30016008,-0.48153943,-0.24058443,2.38579035,-0.77570409,0.00000000,-0.33346710,0.16082348,-0.48512834,2.24501753,0.00000000,-1.02309275,0,12:42:47.5,0,0
16,2.68101311,-0.02085221,0.56279045,-0.20805362,-0.15787666,-0.53127611,-0.35955709,-0.30817416,-0.39983809,-0.58133960,-0.93996429,-0.58660209,-1.05330050,-0.53796232,-0.33643055,-0.81435543,-0.80484867,-0.11402681,-1.09691620,-0.55440885,-0.20313843,-0.54142553,-0.32363895,-0.69097555,-0.29150400,2.24823880,-0.70277178,0.00000000,1.39154780,-0.41909331,-0.19855662,-0.94706374,0.00000000,3.39304495,0,12:42:47.6,0,0
17,2.68101311,-0.02085221,0.54336464,0.10889756,-0.15787666,-0.37585172,-0.23494619,-0.51006037,-0.17153187,-0.81966323,-1.73941565,-0.58648431,-0.86655152,0.93589425,-0.41601130,-0.76645970,-0.82958180,-0.43011340,-1.24912584,-0.51082349,-0.77617222,-0.38778105,-0.24577491,-0.81891572,-0.32823166,2.30590129,-0.86036098,0.00000000,1.39154780,-0.94375759,-0.45614594,-0.46619949,0.00000000,-2.67479014,0,12:42:47.7,0,0
18,-1.13410807,-0.02085221,0.65897417,-0.20805362,-0.35794589,-0.61309475,-0.35955709,-0.33537388,-0.39983809,-0.56252939,-1.68507218,-0.60118926,-0.99051440,1.36957300,-0.37600389,-0.72353405,-0.87883842,-0.36125535,-1.19883478,-0.57848775,-0.53268296,-0.43585905,-0.30767810,-0.53867847,-0.25431824,1.96768689,-0.88967586,0.00000000,0.04328372,-0.41909331,0.06661996,2.03177404,0.00000000,1.67347002,0,12:42:47.8,0,0
19,2.68101311,0.38674504,0.54082829,0.10889756,-0.03928939,-0.30033126,-0.21048492,-0.30782479,-0.11099695,-0.60101861,-0.54386556,-0.63892746,-1.35467398,0.97789031,-0.50469011,-0.71840686,-0.90330237,-0.06447062,-1.22403777,-0.55440885,-0.03534876,-0.52430743,-0.35148761,-0.82519889,-0.36446324,1.49380612,-1.02986050,0.00000000,0.78524399,-0.41909331,-0.59023929,0.75313979,0.00000000,0.83773154,0,12:42:47.9,0,0
