Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190409160859
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1712,1456,1239,961,633,604,663,0,592,579,585,0,622,597,548,553,909,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under
Analog Gain,88,88,6,6,49,49,6,6,6,6,31,31,14,14,6,6,31,31,6,6,7,7,15,15,14,14,6,6,31,31,6,6,6,6,15,15,7,7,6,6,15,15,7,7,6,6,24,24,15,15,28,28,15,15,12,12,7,7,112,112,12,12,31,31,15,15,31,31,6,6,6,6,15,15,15,15,6,6,28,28,12,12,7,7,6,6,6,6,15,15,7,7,7,7,31,31,31,31,12,12,12,12,22,22,6,6,7,7,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,3.81,5.79,20.19,41.21,57.38,100.00,5.88,8.29,2.53,7.07,1.39,3.30,14.75,34.95,2.10,2.21,1.51,32.17,4.03,2.73,1.26,20.20,1.75,30.27,3.61,5.19,3.00,5.55,1.94,54.49,6.35,10.83,2.96,100.00,1.93,59.11,4.73,5.36,4.30,6.00,4.23,2.82,3.63,4.28,4.58,3.46,2.89,3.03,2.21,1.00,1.60,74.52,2.43,6.88,1.00,1.00,1.97,3.81,17.44,33.58,1.94,3.30,24.96,67.56,100.00,1.00,80.11,100.00,3.71,5.02,2.43,5.95,1.78,3.78,3.10,3.54,3.55,2.92,1.68,30.14,1.05,20.68,15.76,34.20,2.12,3.81,1.83,78.20,1.80,31.57,2.95,3.58,3.17,4.39,3.03,2.05,2.63,2.64,1.49,60.23,8.22,100.00,2.00,5.09,23.19,47.81,32.07,43.32

Measurement Information
Date,2019/04/09 16:09:03
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.10008327,-0.12595725,-1.14411223,0.16478120,0.09283312,-0.17366113,0.01393688,-0.35399726,-0.28797603,-0.52391064,0.03031015,-0.41225025,-0.94866180,-0.40950271,-0.59477592,-0.37732759,-0.13303815,-0.38633934,-0.52794921,-0.45522782,-0.07698751,-0.42403948,-0.37779248,-0.05689298,-0.13886118,-0.20265420,-0.20132883,0.00000000,0.05632739,-0.13974842,0.24097057,-0.48081896,0,16:09:13.1,0,0
2,0.00000000,0.00000000,0.04115912,-0.00697367,0.20425519,0.18377586,0.12495530,-0.17902601,0.60173565,-0.38250467,-0.04645902,-0.43419832,0.12409002,-0.08443441,-0.82779396,-0.41654834,0.06668461,-0.22346930,1.50838888,0.40732285,-0.50139993,-0.41096315,-0.09031487,-0.47089601,-0.44413731,-0.05685352,-0.14861289,0.48953551,-0.17656437,0.00000000,0.07862929,0.13367975,0.22373872,0.27684885,0,16:09:13.2,0,0
3,0.00000000,0.00000000,0.04988440,-0.12595725,0.48487744,0.08471273,0.16079231,-0.15633368,0.31185129,-0.38083306,-0.03733047,-0.52652359,0.18059067,-0.18918352,-0.89668876,-0.46202865,-0.09715115,-0.37872350,-0.20436454,0.14712875,-0.53732032,-0.40822610,-0.04405637,-0.58072394,-0.58424425,-0.08239374,-0.24531175,-0.19329806,-0.18552193,-4.25003672,0.05348582,0.22668286,0.20919251,0.74022603,0,16:09:13.3,0,0
4,-9.94656277,0.00000000,0.00614800,-0.02767926,0.48487744,0.20628272,0.13950329,-0.13816673,0.60173565,-0.34287560,0.06920741,-0.60116506,-0.01147355,-0.15205757,-0.99808192,-0.43082333,-0.08336642,-0.28784990,0.78059071,0.25971094,-0.47708684,-0.45105737,-0.14961359,-0.56413549,-0.52033418,-0.06327248,-0.19237348,0.26883945,-0.16307250,0.00000000,0.04372391,0.04384786,0.21123932,0.33298451,0,16:09:13.4,0,0
5,0.00000000,0.00000000,0.02371776,0.09130432,0.48487744,0.20420894,0.20308739,-0.17808439,0.62315893,-0.40460524,-0.15079211,-0.52095824,0.04021606,-0.24710086,-0.85846066,-0.40467727,-0.24327475,-0.25403264,1.50838888,-0.58549839,-0.50698489,-0.51724887,-0.07698751,-0.49389607,-0.39723039,-0.05689298,-0.22129557,-0.20726874,-0.21482070,0.00000000,0.05266728,-0.27694914,0.20991990,-0.22082242,0,16:09:13.5,0,0
6,0.00000000,0.00000000,0.19927743,-0.02767926,-0.56256139,0.16484781,0.09226866,-0.17540674,0.57142627,-0.39521965,-0.06924313,-0.49878901,-0.01492238,0.09395432,-0.95489740,-0.35693848,0.23385575,-0.13067147,0.80896580,0.25971094,-0.46332288,-0.45621783,-0.09575272,-0.49605283,-0.34530962,-0.05141669,-0.16812506,0.23641688,-0.19563742,0.00000000,0.06965712,0.16693300,0.22761342,0.18268156,0,16:09:13.6,0,0
7,0.00000000,-6.21486378,0.01845387,-0.10352777,-0.06269572,0.13532454,0.21677421,-0.16629042,0.54053366,-0.37477970,0.03266212,-0.63208073,0.17190523,-0.09368579,-1.07638216,-0.44511980,0.05743790,-0.43788064,-0.26045027,-0.20375024,-0.64541537,-0.42466798,-0.06049823,-0.54484636,-0.46264103,-0.04866298,-0.28825420,0.22256328,-0.16655746,0.00000000,0.02673130,-0.17766564,0.18176101,-0.08361492,0,16:09:13.7,0,0
8,0.00000000,0.00000000,0.26427373,-0.14807077,-0.56256139,0.12387171,-0.05956721,-0.16994266,-0.61717737,-0.35957193,-0.11422068,-0.42845660,-0.06187671,-0.05190210,-0.85270506,-0.40467727,0.24308382,-0.28585950,-0.06179452,-0.20375024,-0.47600102,-0.43119091,-0.07898547,-0.36888278,-0.21679695,-0.05136472,-0.05024660,-0.45775276,-0.20885119,0.00000000,0.08168169,-0.48686859,0.25181809,-2.52870798,0,16:09:13.8,0,0
9,0.00000000,0.00000000,-0.01301565,-0.12595725,0.20425519,0.13538341,0.14305368,-0.15176925,0.21886870,-0.37138301,0.05550267,-0.51550645,0.13543294,-0.53261608,-0.87474167,-0.43591964,-0.62256467,-0.22490621,0.79473060,-0.35837314,-0.48312777,-0.41190934,-0.02195614,-0.39460096,-0.31138089,0.00368664,-0.13886118,-0.17001209,-0.14053111,0.00000000,0.07135770,0.46753046,0.22761342,0.85160404,0,16:09:13.9,0,0
10,0.00000000,0.00000000,0.07299189,-0.02767926,0.48487744,0.27270839,0.15344909,-0.14813392,0.72889316,-0.35237470,0.06465436,-0.45959884,-0.03626981,-0.21445876,-0.89581627,-0.34672171,-0.05557769,-0.25468329,-1.51030445,0.71673763,-0.48312777,-0.31622297,-0.00375473,-0.45321429,-0.35828781,-0.03213654,-0.11443596,0.05487276,-0.17315133,0.00000000,0.06069957,-0.06501932,0.24139816,-0.19371551,0,16:09:14.0,0,0
11,0.00000000,0.00000000,0.11162247,-0.24634875,-1.14411223,0.11866424,0.17628737,-0.16542350,0.29843977,-0.37138301,-0.20581809,-0.52391064,-0.05949559,-0.23311844,-0.95984918,-0.41885155,-0.07413835,-0.22346930,2.12885475,-0.80084723,-0.47692397,-0.56976217,-0.16903999,-0.51073039,-0.43580344,-0.05136472,-0.19237348,-0.19329806,-0.19530402,0.00000000,0.04015397,-0.60535353,0.19939710,-1.08306205,0,16:09:14.1,0,0
12,0.00000000,0.00000000,0.10458522,0.09130432,0.48487744,0.02396028,-0.03364887,-0.13901298,-0.25281003,-0.34647769,0.13685849,-0.54035079,-0.11021589,-0.08443441,-1.02533865,-0.43107712,-0.09715115,-0.28414768,-3.81502986,0.27364627,-0.50754845,-0.43473017,-0.07740423,-0.46646231,-0.37350395,-0.05776135,-0.17782548,0.02696673,-0.20459498,0.00000000,0.06069957,0.13463584,0.20074570,-0.19371551,0,16:09:14.2,0,0
13,0.00000000,0.00000000,0.19927743,-0.04794377,-0.56256139,0.15187196,0.13655211,-0.15723978,0.29664966,-0.39356691,-0.05557279,-0.55961502,-0.38950890,-0.22379650,-1.05809236,-0.39023054,-0.06483724,-0.19594167,2.10056710,-0.77762145,-0.47393250,-0.49115604,-0.00092199,-0.62498766,-0.55193305,-0.04585679,-0.28825420,-0.48099828,-0.20132883,0.00000000,0.03479540,-0.09255431,0.20396921,-0.20680422,0,16:09:14.3,0,0
14,0.00000000,-6.21486378,0.09423645,-0.12595725,0.20425519,-0.00873250,-0.06392465,-0.15996815,-0.42278951,-0.38638934,-0.00985331,-0.51818156,0.07066874,0.00120147,-0.95558810,-0.42638791,0.36008269,-0.28491452,-0.19023909,-0.06597173,-0.48763600,-0.53571159,-0.16324198,-0.66323495,-0.56305468,-0.04962470,-0.23090281,0.03162725,-0.17999448,0.00000000,0.05987889,0.19476132,0.24301217,0.50773472,0,16:09:14.4,0,0
15,-13.72794247,-6.21486378,-0.03363362,-0.12595725,0.20425519,0.09468528,0.16538373,-0.11611529,0.48065063,-0.35399726,0.03170731,-0.45420250,0.36663693,-0.02853834,-0.79785889,-0.35927898,0.10825807,-0.34986782,-1.52444434,-0.18512179,-0.50754845,-0.45522782,-0.05843763,-0.55826026,-0.50502616,-0.02390545,-0.22129557,0.07815872,-0.17315133,-14.74546432,0.01607317,-0.33575976,0.20074570,-0.46761832,0,16:09:14.5,0,0
16,0.00000000,-6.21486378,0.09227347,-0.12595725,-1.14411223,0.20628272,0.15344909,-0.11411574,0.57852733,-0.36349633,0.05953214,-0.43966576,-0.42879784,-0.06767037,-0.89779264,-0.37580580,-0.18752037,-0.13260825,2.14299464,0.44917712,-0.44961587,-0.39189893,-0.07075437,-0.42387173,-0.35447299,-0.06506428,-0.13886118,-0.17934984,-0.18214555,0.00000000,0.07059700,-0.10946929,0.22319214,-0.20680422,0,16:09:14.6,0,0
17,0.00000000,-6.21486378,-0.01619226,-0.00697367,0.20425519,0.07217842,0.16996770,-0.11590362,0.35296986,-0.34843189,-0.10863000,-0.49618596,-0.15390095,-0.44822890,-0.94611365,-0.43858680,-0.77051467,-0.25403264,0.79473060,-0.15700221,-0.52074885,-0.45522782,-0.06395221,-0.47007734,-0.45450440,-0.04320592,-0.19237348,0.30609611,-0.15759990,0.00000000,0.06069957,0.14598252,0.23218553,0.48875758,0,16:09:14.7,0,0
18,0.00000000,0.00000000,0.11162247,0.20347354,1.44154513,0.06473588,0.01718511,-0.10209578,0.03114287,-0.32464135,0.07816059,-0.40902045,0.02100362,0.27643600,-0.84013778,-0.31415364,0.28951627,-0.28414768,-1.49606919,0.45851487,-0.51797140,-0.44274679,-0.09031487,-0.50504279,-0.38198915,-0.04320592,-0.13886118,-0.17934984,-0.21803200,0.00000000,0.07135770,-0.09255431,0.25227171,-0.32457569,0,16:09:14.8,0,0
19,0.00000000,-6.21486378,0.01382137,-0.10352777,-0.06269572,0.05874777,0.09014785,-0.09312228,-0.16628863,-0.33298397,0.07816059,-0.53186154,0.20384414,-0.25092965,-0.92897445,-0.37580580,-0.19684230,-0.31670558,1.49426341,-0.33020571,-0.56532669,-0.43119091,-0.05358833,-0.57776719,-0.53845060,-0.10142448,-0.25487688,-0.21654356,-0.21803200,10.49542809,0.05757476,-0.24209040,0.22879568,-0.28063387,0,16:09:14.9,0,0
