Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190416160409
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1712,1456,1089,872,673,627,773,0,607,588,620,0,752,674,798,701,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,31,31,6,6,56,56,12,12,31,31,15,15,15,15,7,7,31,31,6,6,12,12,7,7,6,6,6,6,44,44,6,6,6,6,15,15,6,6,49,49,7,7,24,24,7,7,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,31,31,6,6,31,31,31,31,15,15,31,31,31,31,6,6,15,15,7,7,6,6,6,6,112,112,7,7,6,6,15,15,15,15,48,48,7,7,6,6,12,12,6,6,6,6,6,6,6,6
Digital Gain,32.23,1.00,23.91,100.00,2.59,6.87,1.85,3.74,23.38,24.74,4.93,10.72,2.66,9.75,2.24,4.44,8.80,44.74,1.86,2.07,1.22,25.68,3.31,3.14,1.32,24.50,1.38,26.74,1.95,3.20,2.02,4.26,1.33,32.05,3.76,5.98,1.67,42.11,2.24,62.81,4.12,4.65,1.92,3.65,1.86,5.51,2.04,2.85,1.64,3.37,1.00,1.00,1.75,49.17,100.00,1.00,100.00,100.00,100.00,1.00,100.00,100.00,23.29,41.06,100.00,1.00,67.05,95.07,12.33,100.00,2.25,4.27,5.73,11.87,5.55,41.44,1.91,4.35,3.52,5.13,3.96,3.96,1.00,18.67,1.00,7.01,1.00,1.00,2.58,4.98,1.00,19.89,1.40,34.48,2.03,4.98,2.35,3.46,2.12,6.58,1.39,2.73,1.83,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/16 16:04:14
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.48749503,0.37024862,0.60466301,0.59429532,2.97932386,0.72384292,0.70245934,-0.01840204,0.90686274,-0.10698710,-0.27679437,-0.05097762,-0.35622823,-0.15586431,-0.41405296,-0.53635609,-0.13066380,-0.27691913,-0.17161863,-0.69645488,-0.26562268,-0.38370883,-0.36371171,0.04958277,-0.06832214,0.00000000,-0.65292418,5.69669771,0.28144354,0.00000000,0.75993526,-1.14082396,0.00000000,0.16395061,0,16:04:23.1,0,0
2,0.33770949,2.09180546,0.73496836,0.65017766,2.97932386,0.79651409,0.76432484,-0.00186081,0.89130700,-0.07839194,-0.29959282,0.01497402,-0.27443078,-0.11873295,-0.22723185,-0.49793532,0.04896666,-0.22102721,-0.00995052,-0.91258752,-0.19097137,-0.37477222,-0.41664797,0.14361589,0.00869085,0.00000000,0.27181232,1.88157630,-1.95057297,0.00000000,1.98813736,0.34643051,0.00000000,2.69735956,0,16:04:23.2,0,0
3,1.49489927,2.32218432,0.89963067,0.68336773,4.41174698,0.73651475,0.73428345,-0.00186081,0.75924194,-0.05945920,-0.26433599,0.05245000,-0.03820318,0.03989408,-0.23688969,-0.47143260,0.12600990,-0.14831498,0.15491508,-0.40319285,-0.11378468,-0.32901970,-0.36138549,0.11656343,-0.01082131,0.00000000,-0.33673128,1.88157630,-1.95057297,0.00000000,1.98813736,-1.05400574,0.00000000,-2.56222177,0,16:04:23.3,0,0
4,0.19189170,2.09180546,0.78701097,0.65017766,2.82810569,0.69097358,0.70245934,0.01225330,0.73453093,-0.05403003,-0.22865537,0.02952202,-0.11001874,0.18487361,-0.24510701,-0.46175751,0.13987623,-0.16798362,0.15491508,-0.43600196,-0.15248352,-0.32719171,-0.34304088,0.10654489,-0.01930402,0.00000000,0.04000240,-0.35044014,-3.53419018,0.18338645,-0.24370801,-0.68846619,0.00000000,-3.92682743,0,16:04:23.4,0,0
5,0.19189170,2.09180546,0.82930136,0.66103417,3.29990411,0.98753291,0.98357588,-0.02050513,1.67089033,-0.06617101,-0.22865537,-0.00818479,0.00285678,0.02594587,-0.22737849,-0.48251694,0.12600990,-0.16798362,0.26212224,-0.21337019,-0.15784238,-0.33700356,-0.33387426,0.10500169,-0.01564349,0.00000000,-0.60390466,-0.35044014,1.07556999,-3.63173485,1.21275842,0.12573913,0.00000000,0.07681759,0,16:04:23.5,0,0
6,0.19189170,2.20576024,0.77679223,0.65394258,3.58114100,0.76444179,0.69002622,-0.00451268,0.75924194,-0.06817859,-0.19862205,0.02548429,-0.21353832,-0.03393765,-0.27538934,-0.45356029,-0.03036096,-0.25245905,-0.37795475,-1.04108047,-0.21114655,-0.32746190,-0.33168933,0.11349881,-0.01690892,0.00000000,-0.00901709,0.00000000,6.54300022,0.00000000,0.63976991,-1.20434582,0.00000000,7.31582546,0,16:04:23.6,0,0
7,0.48749503,0.25629398,0.82930136,0.60237980,2.67480946,0.72767597,0.70435774,-0.00451268,0.90686274,-0.06954558,-0.13061979,-0.03918830,-0.44963834,-0.38552746,-0.35153654,-0.56336701,-0.33446631,-0.27443236,-0.14891024,-0.28358141,-0.22913286,-0.34607565,-0.36138549,0.06941082,-0.05391321,0.00000000,-0.69075882,1.88157630,0.35415238,0.00000000,1.71660292,-0.46919304,0.00000000,-0.26067168,0,16:04:23.7,0,0
8,-0.09293791,0.14459372,0.68394446,0.56766993,2.39357233,0.61976182,0.66197503,-0.02576604,0.72273582,-0.10492384,-0.18276593,-0.06791132,-0.01444129,-0.09892011,-0.45099235,-0.52877462,0.00276775,-0.31052950,0.04095434,-0.76067913,-0.28925756,-0.37275240,-0.35705420,0.09319980,-0.05479549,0.00000000,0.25083080,-3.16225958,-2.45766711,-3.63173485,-0.13550563,-0.48008075,0.00000000,-1.04500604,0,16:04:23.8,0,0
9,0.64147109,0.25629398,0.74060804,0.57832801,2.40015149,0.84919226,0.86716443,-0.04877884,1.49669492,-0.11678946,-0.18276593,-0.08190692,-0.03688979,-0.27921158,-0.49640030,-0.57282501,-0.38054875,-0.32968631,-0.21686858,-0.48715132,-0.31420457,-0.37275240,-0.36616004,0.03199720,-0.09921612,0.00000000,-0.54219478,5.69669771,2.58616877,0.18338645,-0.24370801,-0.28151804,0.00000000,-1.40026569,0,16:04:23.9,0,0
10,0.48749503,2.09180546,0.84155917,0.65433061,2.77430964,0.77509290,0.73390222,-0.02963653,0.77790552,-0.07892258,-0.19428633,0.02540521,-0.00633616,-0.14199796,-0.31345201,-0.53473645,-0.07200426,-0.21045645,0.32874277,-0.48715132,-0.15207596,-0.31772503,-0.32958862,0.09501996,-0.03506974,0.00000000,-0.05219740,-0.35044014,0.35415238,0.00000000,1.71660292,0.25115153,0.00000000,1.57860839,0,16:04:24.0,0,0
11,0.33770949,0.25629398,0.86044663,0.65621585,2.67480946,0.81000590,0.77699882,-0.00451268,1.06147611,-0.06484320,-0.08682988,0.02540521,0.01200848,-0.20058526,-0.22287861,-0.52841491,-0.14457570,-0.20423239,-0.00080683,-0.43600196,-0.16649067,-0.32901970,-0.33387426,0.12508233,-0.00721734,0.00000000,-0.01439964,-0.35044014,1.07556999,0.00000000,0.75993526,-0.20880310,0.00000000,-0.99193650,0,16:04:24.1,0,0
12,0.19189170,0.25629398,0.79163301,0.62298548,2.67480946,0.75500524,0.77258050,-0.00639102,1.01312661,-0.06077726,-0.25060371,0.01442157,-0.06115787,-0.20994143,-0.22737849,-0.51720887,-0.03963578,-0.22102721,0.01296597,-0.43600196,-0.18579793,-0.34490004,-0.33387426,0.12659986,-0.00958683,0.00000000,-0.23718913,1.88157630,1.70251966,0.00000000,-0.24370801,-0.03964794,0.00000000,-0.30296180,0,16:04:24.2,0,0
13,1.68032455,0.37024862,0.88425738,0.64440417,2.94440699,0.72854429,0.75720650,-0.01840204,0.91768241,-0.07756418,-0.12189000,-0.04770146,-0.09312311,-0.14199796,-0.28355941,-0.52081114,-0.05354767,-0.17168984,0.23002385,-0.65477681,-0.14673929,-0.32746190,-0.32958862,0.11349881,-0.02983428,0.00000000,-0.48889950,-0.35044014,1.70251966,-5.86375141,-0.13550563,-0.31901309,-6.62289238,-1.28724539,0,16:04:24.3,0,0
14,2.28391623,0.48667288,0.70771253,0.62379849,2.67480946,0.69651359,0.70613194,-0.03499410,0.56874263,-0.09228609,-0.16109399,-0.01208543,0.02176947,-0.24697854,-0.33009449,-0.54935813,-0.14922446,-0.25258091,-0.15801607,-0.89880276,-0.21621302,-0.33664176,-0.39115277,0.09355343,-0.05915232,0.00000000,-0.32286027,1.88157630,-1.95057297,-3.63173485,-1.09217322,-0.39850098,0.00000000,-5.72775507,0,16:04:24.4,0,0
15,-0.48833039,2.09180546,0.67613339,0.59227943,2.47545147,0.67342073,0.67303228,-0.02103393,0.63825238,-0.11284162,-0.11864768,-0.05345248,-0.12939727,0.03066120,-0.35950211,-0.51199287,0.11670879,-0.26077682,-0.06904623,-0.32525945,-0.24203883,-0.36332452,-0.37067926,0.06794458,-0.05479549,0.00000000,-0.34937361,1.88157630,1.70251966,0.18338645,-1.09217322,-1.39572310,0.00000000,-3.29686809,0,16:04:24.5,0,0
16,-0.74079788,0.03517091,0.50844282,0.55194932,1.62845564,0.64649254,0.64556670,-0.04406537,0.85893375,-0.15049443,-0.21727563,-0.12618841,-0.17446168,-0.11733031,-0.48727557,-0.52719170,0.03040600,-0.28292599,0.24727051,-0.08745874,-0.26945618,-0.36764345,-0.35010913,0.03199720,-0.07546705,0.00000000,-0.01792916,-1.93405735,-1.22946489,0.18338645,-0.24370801,-0.19360068,0.00000000,-1.21388674,0,16:04:24.6,0,0
17,-0.09293791,0.03517091,0.58187842,0.55529386,1.73520112,0.77414894,0.82119906,-0.03743088,1.39443278,-0.14764415,-0.10058571,-0.09103547,-0.05930306,-0.00146442,-0.48623094,-0.53090960,0.08907054,-0.31812817,-0.24831226,-0.20926219,-0.30790189,-0.38478592,-0.37067926,0.02923960,-0.09399163,0.00000000,-0.42291299,-0.35044014,-1.22946489,0.18338645,-1.09217322,-1.08029878,0.00000000,-4.66186666,0,16:04:24.7,0,0
18,0.96818340,0.14459372,0.65230328,0.61684275,1.93845785,0.90554374,0.89198846,-0.02103393,1.58591664,-0.08294836,-0.15241243,-0.04164955,-0.32001749,0.06297512,-0.33364326,-0.48343664,0.20343702,-0.22704847,0.06807030,-0.29747072,-0.19613661,-0.29584795,-0.31353772,0.09501996,-0.03987074,0.00000000,-0.12174923,1.88157630,0.35415238,0.00000000,0.71295965,-0.25713369,0.00000000,-1.11800086,0,16:04:24.8,0,0
19,0.48749503,0.25629398,0.67930889,0.61913240,2.47545147,0.85155451,0.83999997,-0.00250476,1.44336390,-0.07897344,-0.18114799,0.03567579,0.11955883,-0.15586431,-0.22590803,-0.52081114,-0.06742451,-0.19110745,0.31963694,-0.48715132,-0.14673929,-0.31644168,-0.35219255,0.13357945,-0.01538387,0.00000000,-0.30158353,-0.35044014,-1.22946489,0.00000000,-0.24370801,-0.74465919,0.00000000,-3.94747305,0,16:04:24.9,0,0
