Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190409153452
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1174,922,648,612,658,0,607,588,615,0,667,624,573,568,1359,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal
Analog Gain,72,72,6,6,31,31,15,15,6,6,31,31,31,31,15,15,49,49,6,6,6,6,15,15,7,7,7,7,30,30,6,6,6,6,15,15,6,6,6,6,15,15,6,6,6,6,7,7,7,7,88,88,7,7,15,15,47,47,6,6,49,49,31,31,12,12,31,31,6,6,6,6,28,28,49,49,22,22,44,44,7,7,6,6,7,7,6,6,7,7,6,6,7,7,24,24,7,7,12,12,7,7,15,15,6,6,6,6,72,72,28,28
Digital Gain,1.00,1.00,75.61,1.00,2.90,5.48,2.23,4.62,36.66,79.34,8.33,18.28,10.12,100.00,2.24,5.77,25.20,1.00,2.30,2.45,1.14,18.03,3.20,2.67,1.58,21.45,2.51,52.76,2.08,3.96,2.62,4.70,1.56,40.20,4.02,6.89,1.93,53.13,1.88,53.36,4.38,4.94,2.35,3.13,3.03,2.94,4.79,5.64,4.84,5.22,7.35,7.38,3.16,100.00,1.45,29.36,2.66,7.02,24.81,1.00,3.88,5.98,17.71,43.55,1.93,3.32,12.58,20.62,100.00,1.00,41.16,94.88,3.23,7.45,4.97,37.73,2.11,6.14,2.91,5.16,4.09,3.74,1.39,26.38,1.71,37.76,13.68,28.97,3.21,5.78,1.24,32.17,1.43,27.72,2.12,3.41,3.26,3.72,2.56,2.37,3.40,4.95,1.59,79.34,51.38,100.00,11.05,50.93,4.58,4.60,2.01,3.10

Measurement Information
Date,2019/04/09 15:34:56
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.15375759,0.86282873,0.52268350,0.28267884,0.62492359,0.95265919,0.16794719,0.20643829,0.05714583,-0.10089028,0.24996157,0.14329220,-0.29283834,-0.32966813,-0.16691698,-0.02751740,-0.24368480,0.22210772,-0.34865457,-0.12872401,0.04529351,0.00957432,0.26084065,-0.09479536,-0.92393619,0.08559891,0.03750644,0.20879029,1.18289578,2.67637539,0.95130551,0.83829665,0.96424747,0,15:35:05.1,0,0
2,0.00000000,0.15375759,0.80527627,0.51049298,0.28267884,0.63207024,1.06986582,0.11814851,0.75212675,0.01946357,-0.24962349,0.21589303,0.05431885,0.15755601,-0.30061826,-0.20958996,0.14251335,-0.26964927,-0.02919377,0.19795778,-0.14520079,0.07462971,0.08793423,0.25820130,-0.07052545,-0.94411618,-0.82282668,0.03750644,0.15585202,1.18289578,2.60650921,0.21156821,0.83005106,0.69234842,0,15:35:05.2,0,0
3,0.00000000,0.15375759,0.82431990,0.52633440,0.28267884,0.74987549,1.30198061,0.08254140,0.20643829,-0.04970390,-0.23972225,0.16504042,0.10666000,-0.17381091,-0.35646567,-0.26784733,-0.18013820,-0.34750202,0.66121322,0.16806638,-0.22028933,0.02289191,0.01814439,0.17253345,-0.13182834,-0.96411085,0.47728154,0.08403396,0.20462945,1.18289578,2.71483707,0.55878639,0.83025295,0.55922991,0,15:35:05.3,0,0
4,0.00000000,0.15375759,0.77796960,0.47252697,0.13039172,0.60631019,1.23026574,0.12459430,0.20643829,-0.01509901,-0.13076219,0.13913774,0.15068087,-0.17381091,-0.37157607,-0.23683803,0.00617661,-0.34633434,0.09095100,0.34074259,-0.24896789,-0.02081742,-0.00871075,0.19179772,-0.12918395,-0.98666734,-0.38636971,0.05417443,0.16760236,1.08145761,2.52307415,-0.15817334,0.79637182,0.35024536,0,15:35:05.4,0,0
5,0.00000000,-0.18182488,0.77796960,0.50576001,0.13039172,0.54109365,0.38256791,0.14787987,0.00006347,-0.01268331,-0.02529526,0.06250565,0.29575980,-0.53538674,-0.41175333,-0.25559208,-0.29302329,-0.32765692,0.80449361,0.48210853,-0.24639308,-0.01054648,-0.00020635,0.05822411,-0.22663577,-0.97460610,-0.54705864,0.00335215,0.16760236,0.97772026,2.32898593,-0.47164220,0.78442019,0.18416946,0,15:35:05.5,0,0
6,0.00000000,0.15375759,0.79244447,0.53039712,0.28267884,0.49040863,1.12193060,0.07820131,-0.09833264,-0.02471526,-0.11221711,0.15924212,0.15068087,-0.01776190,-0.38185278,-0.21041508,0.11025513,-0.43430251,-0.15423897,-0.19947444,-0.28952363,0.03292835,0.01206225,0.18493818,-0.14833118,-0.75441277,-0.50827789,0.02027565,0.12811320,0.97772026,2.09040403,-0.95533955,0.81379634,-0.03116834,0,15:35:05.6,0,0
7,0.00000000,0.15375759,0.90840662,0.54741174,0.48351130,0.50639439,0.36422074,0.00983892,-0.09833264,-0.10063747,-0.19975881,0.18960537,0.17342682,0.14221093,-0.29150814,-0.25161678,-0.23893851,-0.28275824,0.66121322,-0.00068263,-0.15581444,0.05708087,0.03287385,0.21600352,-0.11268111,-0.62642479,0.66611749,0.01602661,0.22526804,0.97772026,1.97737300,0.16403621,0.83717889,0.56697583,0,15:35:05.7,0,0
8,0.00000000,0.15375759,0.87849039,0.52662641,0.48351130,0.80456567,1.98401725,0.08677120,0.41654429,-0.04550621,-0.07462322,0.20523208,0.28844830,0.00781606,-0.27164444,-0.22596858,0.06218685,-0.30099621,0.11258347,-0.03544539,-0.17597598,0.02289191,-0.02925577,0.26473725,-0.06445996,-0.99432349,-0.06422212,-0.07306001,0.14791650,0.97772026,2.05976129,-1.12830400,0.82799542,0.27177885,0,15:35:05.8,0,0
9,0.00000000,-0.18182488,0.83312750,0.53889751,0.13039172,0.67032564,1.62897110,0.05214506,-0.56918627,-0.10166065,-0.17098904,0.12831083,0.31844965,0.26212552,-0.29955399,-0.24130714,0.15017539,-0.29228234,1.24698186,0.45738089,-0.17995052,0.02394963,-0.02361000,0.15534896,-0.18936497,-0.91137695,0.60435712,0.04880528,0.15335478,0.87585223,1.99420416,0.36064997,0.79637182,0.56499118,0,15:35:05.9,0,0
10,0.00000000,-0.18182488,0.87524641,0.51894826,0.33122417,0.41887081,1.00819576,0.02434589,-0.47887874,-0.10283320,-0.03596125,0.10348107,0.18277080,0.09140956,-0.32415122,-0.25367981,0.40266985,-0.35267487,0.89168406,0.07437625,-0.29527035,-0.04554509,-0.08719044,0.18581057,-0.16215301,-1.00627697,0.90979046,0.03621703,0.12811320,0.97772026,2.01015973,0.08330817,0.79149145,0.40664855,0,15:35:06.0,0,0
11,0.00000000,-0.18182488,0.82261431,0.51498461,0.33122417,0.47196522,0.57881427,-0.02012648,-0.09833264,-0.13522869,-0.14300808,0.04101770,0.20237480,-0.42066786,-0.36936799,-0.30972624,-0.15890841,-0.43364459,-0.67231619,-0.27359149,-0.29317558,-0.03939917,-0.03776017,0.11259159,-0.17946546,-0.90057170,-0.16066648,-0.05534503,0.07982399,0.87585223,1.86801231,-0.21560231,0.76720870,0.19374529,0,15:35:06.1,0,0
12,0.00000000,-0.18182488,0.79257655,0.48097575,0.48351130,0.21227309,-0.06412826,-0.04486605,-0.29004669,-0.16743433,-0.24365285,0.02771082,0.19339526,-0.27522922,-0.36613420,-0.33802882,-0.20075890,-0.55085927,-0.52660209,0.41803399,-0.41896066,-0.04384838,-0.02726090,0.10560799,-0.15210772,-1.03591275,0.23101617,-0.00544981,0.09765154,0.87585223,1.83605850,0.32952163,0.75705141,0.50997490,0,15:35:06.2,0,0
13,0.00000000,0.15375759,0.90493345,0.54667258,0.33122417,0.50639439,0.78041923,-0.04016886,-0.09833264,-0.09623767,-0.13681206,0.15876059,0.21003264,-0.56096470,-0.31745195,-0.26608732,-0.39512751,-0.30241990,0.43335050,-0.40361115,-0.18629381,0.02417045,0.00590193,0.17488255,-0.14301650,-0.94411618,-1.05961883,-0.02607467,0.07808132,0.97772026,1.88410878,-1.07463419,0.81163871,0.10118064,0,15:35:06.3,0,0
14,0.00000000,-0.18182488,0.96055275,0.55650985,0.13039172,0.66290408,1.62897110,0.00487119,-0.19500014,-0.07428839,-0.17098904,0.16574001,0.35413745,0.23682998,-0.28954536,-0.25975874,0.22580780,-0.31603029,1.01440465,-0.29316458,-0.21831952,-0.01212374,-0.05225756,0.22254093,-0.08532336,-0.81399918,0.35083178,0.05719544,0.14928034,0.97772026,1.99516261,0.95736998,0.81291097,0.91853261,0,15:35:06.4,0,0
15,0.00000000,-0.18182488,0.85912627,0.55718392,0.13039172,0.65087241,0.61200058,0.05516987,0.20643829,-0.08287884,-0.11092924,0.12784311,0.05224885,-0.00874659,-0.31069288,-0.36745349,0.04648011,-0.55190122,-0.58910829,0.21293642,-0.35186133,0.01787013,0.02005211,0.14824057,-0.14833118,-0.83527488,0.08559891,0.09939425,0.17292500,1.08145761,2.30992508,0.37478569,0.78338510,0.67197400,0,15:35:06.5,0,0
16,0.00000000,0.15375759,0.84620357,0.54016930,0.48351130,0.61553055,1.19014895,0.02069304,0.52468294,-0.10166065,-0.26303628,0.09557557,0.08735333,-0.17862925,-0.30848250,-0.36873043,0.20155114,-0.50863642,-0.83519435,0.19355299,-0.32777873,-0.02661547,-0.03565151,0.11259159,-0.19596829,-1.05508602,-0.38636971,0.00759079,0.14791650,1.08145761,2.32762408,0.00470195,0.78234720,0.35323754,0,15:35:06.6,0,0
17,0.00000000,0.15375759,0.82029569,0.51894826,0.33122417,0.52792370,-0.17142691,0.00469152,0.41654429,-0.10707923,-0.23404798,0.06031206,0.17992535,-0.16871941,-0.37386978,-0.35314509,0.20155114,-0.45200869,0.21808977,0.01121079,-0.25718063,-0.01805886,-0.00669483,0.08896733,-0.14833118,-1.14012671,-0.92272240,0.04880528,0.13366891,1.08145761,2.24288869,0.05204971,0.76642656,0.62685066,0,15:35:06.7,0,0
18,0.00000000,-0.18182488,0.80300593,0.50576001,0.33122417,0.54177445,-0.37770760,-0.01337070,1.35798824,-0.13522869,-0.23883221,0.02771082,0.04703202,-0.16871941,-0.40542755,-0.38044682,0.18642403,-0.55291301,-0.65599525,-0.00807079,-0.36184874,-0.05972095,-0.05001333,0.11942893,-0.14199142,-1.10709143,-0.04085086,-0.06367164,0.09207693,0.97772026,2.04086661,-0.97828776,0.73329663,0.44320834,0,15:35:06.8,0,0
19,0.00000000,0.15375759,0.92140996,0.52662641,0.13039172,0.81779569,1.52722168,0.00230184,0.31048858,-0.11130702,-0.20020162,0.06250565,0.21937279,0.46242169,-0.35290837,-0.32839683,0.12264789,-0.43043625,0.20774554,0.05977237,-0.28126320,-0.00193211,-0.01472011,0.14305319,-0.16575845,-0.92393619,-0.05257283,-0.05534503,0.07239106,0.97772026,1.94504642,0.87601089,0.76614445,0.89336628,0,15:35:06.9,0,0
20,0.00000000,0.15375759,0.83981389,0.57297277,0.33122417,0.48682496,0.66254359,-0.02022133,0.41654429,-0.10712556,-0.14300808,0.10659672,0.14670511,0.04113465,-0.36415380,-0.29916227,0.02004858,-0.44983083,0.23870823,0.26662552,-0.27467057,0.04764034,0.01390777,0.11765151,-0.17946546,-0.98666734,-0.02910387,0.03621703,0.21092165,0.97772026,2.07294321,0.07301673,0.79854804,0.45866707,0,15:35:07.0,0,0
21,0.00000000,-0.18182488,0.83759630,0.56507039,0.33122417,0.86808729,1.56306934,0.03647252,0.20643829,-0.09735877,-0.08179429,0.11375403,0.15569933,0.04113465,-0.34524468,-0.34228384,-0.01070656,-0.46753559,-0.16240762,0.05977237,-0.30835250,0.00528718,-0.00907433,0.18932827,-0.10512617,-0.94411618,-0.43390128,0.02365812,0.12971011,0.97772026,2.04086661,0.56931472,0.76013744,0.73583913,0,15:35:07.1,0,0
22,0.00000000,0.15375759,0.88641739,0.56507039,0.33122417,0.66290408,1.78788018,0.05538203,-0.09833264,-0.07880514,-0.04078341,0.07819836,0.30002671,0.33514774,-0.35073197,-0.31273744,0.37736857,-0.49385911,0.18724214,0.37413993,-0.37162766,-0.01676738,-0.02726090,0.08896733,-0.18936497,-1.11433458,-0.05257283,0.00699166,0.13366891,0.97772026,2.01172900,1.10003769,0.75102901,0.82789570,0,15:35:07.2,0,0
23,0.00000000,0.15375759,0.76699501,0.50828874,0.33122417,0.28480628,0.01691245,-0.06064554,-0.29004669,-0.15713075,-0.20020162,-0.03725013,0.20150377,0.19664671,-0.42359027,-0.31500730,0.14311281,-0.51441425,0.18215989,-0.33698103,-0.35756126,-0.04506000,-0.04375315,0.07254047,-0.21292876,-1.06684923,-0.07589447,-0.00544981,0.08363350,0.97772026,1.97737300,-0.07003279,0.75036770,0.40161377,0,15:35:07.3,0,0
24,0.00000000,0.15375759,0.83336496,0.52633440,0.33122417,0.79978091,1.48114848,-0.03195078,0.31048858,-0.14435437,-0.13022760,-0.02654646,0.13088951,-0.53073382,-0.45684037,-0.40893579,-0.34468523,-0.45200869,0.68352604,0.00156137,-0.30188298,-0.07799517,-0.06439722,0.08902976,-0.12500659,-1.19708848,0.28867978,0.04948660,0.02339322,0.87585223,1.89995575,1.02458072,0.71340054,1.02771115,0,15:35:07.4,0,0
25,0.00000000,-0.18182488,0.73880059,0.50576001,0.18303639,0.40105978,0.20759186,-0.07411935,0.00006347,-0.18193550,-0.13226157,-0.02196331,0.10428564,-0.09250902,-0.49350744,-0.43601167,0.01634306,-0.67982304,-0.72715861,0.15015866,-0.50810957,-0.09371705,-0.06194879,0.02399217,-0.23760098,-1.09567738,0.21575919,-0.04685486,0.01763084,0.87585223,1.82404983,0.03743928,0.72835231,0.25483346,0,15:35:07.5,0,0
26,0.00000000,0.15375759,0.88807821,0.53807217,0.33122417,0.70486069,2.24129725,-0.07194671,-0.29004669,-0.15713075,-0.18298112,0.12165953,0.21040334,0.23607370,-0.34519705,-0.39469385,0.28109100,-0.51787287,0.94484872,0.32580891,-0.34456673,0.00890733,-0.03089198,0.14305319,-0.14861310,-1.04777920,0.65062410,0.07855824,0.05475678,0.97772026,1.82008672,0.68218428,0.74901617,0.68962878,0,15:35:07.6,0,0
27,0.00000000,0.15375759,0.84582204,0.55650985,0.33122417,0.20745565,-3.12375808,-0.06941647,0.63947237,-0.15713075,-0.32083952,0.06289567,0.11081865,-0.19349153,-0.41271746,-0.39733201,-0.10707295,-0.50925416,-0.01777810,0.16460542,-0.29934540,-0.02661547,-0.05600661,0.17926049,-0.14199142,-1.13539398,-1.00918877,-0.02207998,0.05839545,0.87585223,1.86785889,-1.11901927,0.73298126,0.31354028,0,15:35:07.7,0,0
28,0.00000000,-0.18182488,0.88641739,0.53039712,0.33122417,0.57658666,1.24597144,-0.04313046,-0.09833264,-0.17259276,-0.13226157,-0.02394438,0.06190148,0.24589536,-0.43518215,-0.38303879,0.02637030,-0.51441425,0.29046181,0.46511090,-0.36255252,-0.04997791,-0.06781573,0.07254047,-0.19927803,-1.02088606,-0.10300287,0.04948660,-0.02253561,0.87585223,1.76109433,0.16403621,0.72498101,0.45855409,0,15:35:07.8,0,0
29,0.00000000,0.15375759,0.80527627,0.48706770,0.13039172,0.56294179,1.28416038,-0.00350323,-0.19500014,-0.17126179,-0.12751889,-0.06795875,-0.01955723,-0.04338408,-0.49745506,-0.41012150,0.14614189,-0.59595394,0.09078749,0.29219851,-0.43316334,-0.06095625,-0.06781573,0.03539497,-0.22274137,-1.08166945,-0.11459394,-0.04275899,0.05475678,0.87585223,1.80423975,0.74970263,0.71340054,0.71539223,0,15:35:07.9,0,0
30,0.00000000,0.15375759,0.80292267,0.49356946,0.18303639,0.27143326,-0.22953150,-0.05872516,0.20643829,-0.21309654,-0.20680992,-0.06580118,-0.02393525,0.04839917,-0.48370644,-0.40628877,0.10621425,-0.57824916,0.06070537,-0.07036168,-0.44730046,-0.13605215,-0.10470618,0.03539497,-0.22274137,-1.19708848,-1.08277607,0.00825647,-0.01679578,0.87585223,1.76109433,0.05204971,0.68071777,0.45865461,0,15:35:08.0,0,0
31,0.00000000,0.15375759,0.88963521,0.50072080,0.33122417,0.51392972,1.32512617,-0.07025048,-0.65799278,-0.20409501,-0.11762401,-0.05282774,0.12640451,0.31483695,-0.47393426,-0.45134795,0.21121892,-0.54073733,0.97337520,0.40304139,-0.41624236,-0.12324283,-0.11629776,0.08653791,-0.20802616,-1.24807346,0.92130828,-0.07156975,-0.02253561,0.87585223,1.68734753,0.68218428,0.68162823,0.44585001,0,15:35:08.1,0,0
32,0.00000000,-0.18182488,0.94222277,0.55523312,0.18303639,0.58036035,0.77158058,-0.05644878,0.41654429,-0.15775199,-0.13705945,0.09896425,0.25091136,0.08751055,-0.36168757,-0.39469385,0.24109082,-0.43294477,0.75685167,-0.06083800,-0.34355408,-0.08539566,-0.10213561,0.06550234,-0.25506803,-1.11433458,-0.07589447,0.02880759,0.05839545,0.87585223,1.86785889,0.42352355,0.72631854,0.62117660,0,15:35:08.2,0,0
