Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190416153449
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1712,1456,889,754,648,612,778,0,667,624,625,0,722,656,713,651,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,12,12,6,6,56,56,24,24,6,6,24,24,15,15,7,7,31,31,6,6,6,6,7,7,6,6,6,6,15,15,6,6,6,6,7,7,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,22,22,6,6,31,31,22,22,44,44,124,124,15,15,24,24,24,24,6,6,24,24,7,7,6,6,6,6,31,31,6,6,6,6,7,7,7,7,7,7,6,6,12,12,31,31,6,6,6,6,6,6,6,6
Digital Gain,24.82,100.00,25.55,100.00,2.54,6.41,1.82,4.84,22.11,49.67,4.18,7.72,2.61,7.08,2.41,5.17,6.92,16.05,1.77,2.02,1.20,23.10,3.55,3.04,1.26,19.38,1.77,35.13,3.04,3.92,2.29,4.14,1.95,57.25,3.23,4.95,1.54,38.14,1.97,73.03,4.17,4.88,2.02,3.05,1.91,3.87,2.20,3.13,1.67,3.06,1.00,1.00,1.27,27.89,100.00,1.00,100.00,100.00,1.42,57.48,39.02,100.00,48.35,66.91,1.83,4.50,41.11,36.66,10.55,100.00,2.33,4.19,3.46,6.61,2.89,9.61,1.96,4.08,2.72,3.59,3.21,3.08,1.00,17.82,1.00,13.44,2.74,3.67,1.72,3.01,1.15,27.45,1.26,29.23,2.32,3.71,2.23,2.93,1.22,2.10,1.43,5.82,1.78,84.74,100.00,1.00,100.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/04/16 15:34:53
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.60152072,0.35976279,0.40635279,0.26599744,0.31918642,0.35420090,0.32182658,-0.11980569,0.24870439,-0.03007192,-0.10399119,0.35958800,0.40941703,0.25194022,0.39696977,-0.08814462,0.23374806,0.04109981,0.48696104,0.26606482,-0.10844519,0.11548863,-0.14751360,0.29390013,0.13920365,0.00000000,0.15169990,-0.35220438,-0.95784295,0.28863770,0.61840993,-0.91561073,0.51885319,-0.71999073,0,15:35:02.1,0,0
2,-0.07115907,0.35976279,0.33286268,0.24883889,0.31918642,0.37044850,0.27587408,-0.16025978,0.17757329,-0.07579141,-0.25009573,0.35125414,0.20565808,0.09949266,0.35532647,-0.14266843,-0.15625194,0.00629930,-0.11807197,0.28553405,-0.16026330,0.12214620,-0.15871963,0.27477115,0.11468267,0.00000000,-0.21479815,0.79076356,1.50925243,-0.17273116,0.32672879,-0.03675861,0.46331367,0.59668648,0,15:35:02.2,0,0
3,-0.57277030,0.24388301,0.34262806,0.24442194,0.31918642,0.56319708,0.50288093,-0.15494832,0.69772500,-0.06754970,-0.12804008,0.35181081,0.36645201,0.17990915,0.35924423,-0.12072984,-0.00549814,-0.00337992,-0.14699407,-0.20003511,-0.19939740,0.07349505,-0.15687522,0.29426739,0.13222253,0.00000000,0.10934458,1.23132741,1.43654358,-0.04086125,0.80800229,0.73104447,0.47811496,0.55303413,0,15:35:02.3,0,0
4,0.12649547,0.35976279,0.45465958,0.32801884,0.31918642,0.42165872,0.29379743,-0.21286255,0.23086780,-0.06051082,-0.19021320,0.43477988,0.40404081,0.12011116,0.43177849,-0.13281192,-0.19404657,-0.00968354,0.10741701,0.05612462,-0.14382590,0.14770250,-0.13892525,0.30264765,0.15097648,0.00000000,-0.20332786,0.79076356,1.50925243,0.05957992,0.64367998,-1.64926112,0.51141417,-0.52863663,0,15:35:02.4,0,0
5,1.04104710,0.48294881,0.53926539,0.33429322,0.43212762,0.64240360,0.41895893,-0.12934624,0.56368542,0.01597169,-0.16322640,0.52554870,0.36299127,0.11972439,0.53560567,-0.05348169,-0.11825529,0.10104594,-0.29034162,0.34931892,-0.02117614,0.21297069,-0.08548597,0.42766303,0.23915832,0.00000000,0.12347199,1.23132741,1.43654358,-0.04093139,0.66043025,1.68927324,0.55407166,1.07615399,0,15:35:02.5,0,0
6,-0.08366244,0.35976279,0.43472704,0.32852957,0.31918642,0.36879015,0.28654662,-0.11980569,0.13314885,-0.00842797,0.00397850,0.41796440,0.44581226,0.33556345,0.45975757,-0.02930061,0.40482911,0.07767314,0.20473939,0.34931892,-0.07858738,0.20453025,-0.07412689,0.35155511,0.20367098,0.00000000,0.07520800,0.00302249,0.04580039,-0.06312779,0.48412114,-1.08956456,0.56154615,-0.61140585,0,15:35:02.6,0,0
7,0.81611431,0.48294881,0.47701973,0.31747240,0.43212762,0.55689383,0.38145187,-0.11579556,0.50463808,0.04137338,-0.04924893,0.45981011,0.53670520,-0.00537705,0.50624150,-0.02441767,-0.46035543,0.11569448,0.13471217,-0.07689560,-0.05086468,0.23569763,-0.07290349,0.38104722,0.20268470,0.00000000,0.07997966,1.71030641,1.43654358,-0.17207678,0.32672879,0.11574611,0.54686046,1.28734744,0,15:35:02.7,0,0
8,0.12564415,0.48294881,0.35540405,0.29771993,0.31918642,0.58404654,0.47856781,-0.15145318,0.57878089,-0.00585403,-0.19803631,0.46859711,0.32943976,0.31977886,0.48832902,-0.01417351,0.25290486,0.10850343,0.35157228,-0.10667917,-0.06308138,0.18022607,-0.09691968,0.35126230,0.19753201,0.00000000,0.18487641,0.79076356,-0.07436480,-0.05427086,0.80800229,-0.88492614,0.49828079,-0.18530369,0,15:35:02.8,0,0
9,0.60152072,0.35976279,0.43665910,0.30137163,0.31918642,0.52328348,0.47909454,-0.16505949,0.58822972,-0.03537546,-0.18588777,0.36197305,0.40871051,0.63868445,0.41770077,-0.00345686,0.42401886,0.10324173,0.32691112,0.12984511,-0.10844519,0.16627368,-0.09145227,0.34088838,0.19334105,0.00000000,0.30133110,0.79076356,-0.07436480,-0.11602473,0.32672879,0.59911150,0.48075116,0.01897053,0,15:35:02.9,0,0
10,-0.24615006,0.35976279,0.25652319,0.26074198,0.31918642,0.47864744,0.41898897,-0.13818827,0.47019795,-0.03850445,-0.21168233,0.37846231,0.31819576,0.38513348,0.41427445,0.00719228,0.41444537,0.10324173,0.50161225,-0.11657157,-0.13379961,0.14590319,-0.10648480,0.31309038,0.16567203,0.00000000,0.02690172,0.79076356,1.50925243,0.12550524,1.15213871,0.49402148,0.51309913,1.50281274,0,15:35:03.0,0,0
11,0.81611431,0.35976279,0.41586596,0.29198560,0.31918642,0.58404654,0.49820423,-0.08470676,0.64592963,-0.01162025,-0.09704589,0.36197305,0.27545539,0.03584786,0.40365893,-0.02822544,-0.09909849,0.09430685,0.15583305,0.58378136,-0.14730629,0.18303259,-0.03879011,0.26600337,0.13175091,0.00000000,-0.20064819,0.79076356,-0.79547286,0.02881433,0.49105114,2.08907771,0.50264269,1.04519951,0,15:35:03.1,0,0
12,-0.08366244,0.48294881,0.40192676,0.36683786,0.31918642,0.75191218,0.58111465,-0.07593539,0.77206969,0.05408021,-0.07070512,0.47998008,0.33623454,0.13029107,0.47994927,0.02163948,-0.25000286,0.13748184,0.36643454,-0.08684161,-0.01214946,0.21681340,-0.04641253,0.39859605,0.27828687,0.00000000,0.42537177,1.23132741,1.50925243,0.01269630,0.66043025,0.35222572,0.54519355,0.76878703,0,15:35:03.2,0,0
13,0.12564415,0.48294881,0.41565400,0.37165076,0.43212762,0.55672622,0.37291622,-0.08954171,0.31508532,0.04199499,-0.18449810,0.48846278,0.35558355,0.17812753,0.53920096,0.06765017,-0.19673887,0.17950657,0.18444113,-0.04688811,0.02066956,0.24145602,-0.03668634,0.41280872,0.27662429,0.00000000,0.27595612,0.79076356,-0.07436480,-0.13175546,0.49105114,0.92144078,0.53196573,0.39824840,0,15:35:03.3,0,0
14,0.45083132,0.48294881,0.47403947,0.34493142,0.43212762,0.68975496,0.49786139,-0.08825935,0.67495263,0.05477134,-0.18002261,0.48221138,0.38229853,0.44181049,0.55011946,0.11499079,0.23042692,0.12081757,-0.06623298,-0.00670483,-0.06153239,0.27298000,-0.01402594,0.39394450,0.23598942,0.00000000,-0.17447218,1.23132741,3.74126887,0.16188896,0.83518749,0.47663411,0.54526079,1.39969420,0,15:35:03.4,0,0
15,0.60152072,0.48294881,0.48177856,0.36075804,0.31918642,0.38099322,0.25411415,-0.05814892,0.14691433,0.06214937,-0.07511460,0.42643303,0.18985243,0.17812753,0.46899283,0.08268613,-0.16742279,0.09106155,-0.46762416,-0.26280934,-0.08156863,0.27091354,-0.00422211,0.40038171,0.25973830,0.00000000,0.13581087,1.23132741,1.50925243,-0.00077359,0.80800229,0.73104447,0.55572456,0.88358712,0,15:35:03.5,0,0
16,0.01999577,0.48294881,0.37483189,0.28721866,0.31918642,0.58071440,0.50168467,-0.03560755,0.62881744,0.05408021,-0.15365645,0.46240282,0.44100645,-0.24416341,0.51710892,0.05748752,-0.59544414,0.11910333,0.03398259,0.45904776,-0.10437321,0.24413806,0.01560446,0.37397003,0.24305315,0.00000000,0.18487641,0.38281330,-1.30256701,-0.04093139,0.64367998,0.68755913,0.51592129,1.37809277,0,15:35:03.6,0,0
17,0.26643965,0.35976279,0.34104311,0.26982346,0.31918642,0.38700145,0.28726533,-0.05814892,0.19699116,0.00803535,-0.07723614,0.41786584,0.33673328,0.34608969,0.49552488,0.10490444,0.35435843,0.07767314,-0.25088894,-0.03686958,-0.13584270,0.21109620,-0.01543644,0.36002019,0.24480714,0.00000000,0.22274958,0.79076356,1.50925243,-0.07641333,0.83518749,0.86687815,0.55271059,1.39969420,0,15:35:03.7,0,0
18,0.49587232,0.24388301,0.34104311,0.24999052,0.31918642,0.23171191,0.20781386,-0.04467994,-0.01754184,0.01013269,-0.10354367,0.31034425,0.30417773,0.18249977,0.37906158,0.07851718,0.15715954,0.08884668,0.19000994,0.40889421,-0.19104238,0.16446909,-0.03424675,0.27529180,0.14840113,0.00000000,0.06263678,0.38281330,-0.79547286,0.13858134,0.97738141,-0.30982721,0.51309913,0.05302973,0,15:35:03.8,0,0
19,0.16278145,0.48294881,0.38128075,0.31788695,0.31918642,0.50086838,0.39887795,-0.06106076,0.36186069,0.02994355,-0.07511460,0.40107200,0.50818300,0.20343250,0.45998380,0.08320601,-0.02197927,0.03368991,-0.04992949,0.19952857,-0.17969814,0.19233264,-0.00740496,0.38790762,0.27990690,0.00000000,0.36777028,0.00302249,-1.30256701,-0.04093139,0.64367998,-0.65231359,0.51592129,-0.48112443,0,15:35:03.9,0,0
20,0.26643965,0.35976279,0.40192676,0.36096084,0.43212762,0.64832324,0.55671346,0.00969778,0.66426027,0.09521211,-0.02378399,0.48846278,0.47100586,0.28803411,0.55381364,0.13154589,-0.15763637,0.14663780,0.15454972,0.03383674,-0.04752523,0.29605672,0.03998745,0.35490969,0.22033001,0.00000000,-0.17447218,0.38281330,-0.07436480,-0.11828647,0.66043025,0.20638534,0.53465420,1.39969420,0,15:35:04.0,0,0
