Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190410094702
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1549,1143,743,668,713,0,647,612,590,0,592,579,543,551,1749,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,7,7,6,6,72,72,6,6,6,6,15,15,6,6,6,6,31,31,6,6,7,7,6,6,6,6,6,6,7,7,6,6,7,7,6,6,7,7,6,6,12,12,6,6,6,6,24,24,15,15,6,6,12,12,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,31,31,24,24,6,6,47,47,6,6,6,6,6,6,31,31,7,7,7,7,24,24,72,72,28,28,24,24,12,12,22,22,6,6,6,6,6,6,6,6
Digital Gain,71.96,100.00,100.00,1.00,16.29,19.26,68.17,100.00,100.00,100.00,4.19,8.66,2.44,4.78,1.63,2.94,10.24,32.09,1.87,2.51,1.87,44.18,2.68,3.28,1.39,24.91,1.51,28.87,3.22,5.23,2.39,5.36,3.51,100.00,2.22,3.63,3.66,100.00,3.87,100.00,4.31,4.50,6.72,8.66,9.03,5.88,4.21,4.96,5.78,4.20,1.00,1.00,2.08,100.00,100.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,44.90,62.09,1.00,1.00,1.00,100.00,100.00,1.00,54.34,100.00,4.14,9.44,3.06,7.46,2.02,3.67,3.20,6.64,2.74,3.32,1.00,16.98,1.00,14.49,3.38,4.45,1.93,3.78,1.67,60.38,1.46,33.26,4.58,4.56,2.39,3.07,3.67,2.21,3.15,2.72,1.38,73.36,100.00,100.00,100.00,100.00,1.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/10 09:47:06
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.35123909,0.15395576,-0.35734132,0.48303491,2.58859038,-0.22635193,-0.13227466,-0.47913539,0.35562673,-0.25528806,-0.23084889,-0.25672472,-0.13903749,-0.12929672,-0.21480997,-0.90267378,3.59064555,-0.43708211,-0.59186840,-0.38637027,-0.08782844,-0.57735085,-0.38033408,-0.29743275,-0.14241113,0.00000000,1.62869620,-1.61922967,0.10710216,0.00000000,1.39019382,-0.37456149,0.00000000,0.00000000,0,09:47:15.1,0,0
2,0.70682687,0.15395576,0.05359642,0.09135227,-1.50167572,-0.25452098,-0.16879836,-0.47001061,0.20192811,-0.28812665,-0.34647101,-0.26201785,-0.24610904,-0.35841647,-0.18313372,-0.90040606,-0.04849882,-0.43708211,-0.64480668,1.43583131,-0.16765513,-0.58859217,-0.43575749,-0.23917079,-0.20600772,0.00000000,2.94475484,-1.61922967,-2.19762325,0.00000000,-2.14304328,-0.03046491,0.00000000,0.00000000,0,09:47:15.2,0,0
3,-0.23131104,2.38597202,-0.19562891,0.09135227,-0.27347362,-0.20757011,-0.12273300,-0.46087506,0.33297014,-0.27310780,-0.44792455,-0.25672472,-0.19414307,-0.27406090,-0.20124093,-0.90040606,2.25622654,-0.38194299,-0.59186840,1.93789315,-0.05109695,-0.48954561,-0.27630296,-0.32300666,-0.17387302,0.00000000,-0.39018008,-1.61922967,0.10710216,0.00000000,-2.14304328,-1.38921177,0.00000000,0.00000000,0,09:47:15.3,0,0
4,0.45828116,-2.65786362,0.07833190,-0.59634387,-2.50531888,-0.14245203,-0.08432654,-0.46446511,0.62177831,-0.28724590,-0.58317220,-0.26230609,-0.18037024,-0.27406090,-0.19907905,-0.88632786,3.60459375,-0.35229546,-0.59186840,1.03496647,-0.06089024,-0.41916233,-0.27630296,-0.23917079,-0.11963425,0.00000000,2.96317577,-1.61922967,-2.19762325,0.00000000,0.43352625,0.06721836,0.00000000,3.46124220,0,09:47:15.4,0,0
5,-0.23131104,0.15395576,-0.17463315,-0.86526370,-0.27347362,-0.20559621,-0.12668741,-0.49544629,0.28689361,-0.29748827,-0.60221297,-0.32528138,-0.63700765,-0.53459215,-0.28517094,-0.89833480,-0.94285911,-0.41375756,-0.59186840,-2.59862900,-0.08782844,-0.53738153,-0.17990190,-0.30556026,-0.09276504,0.00000000,-0.35311657,-0.83148855,2.39696813,0.00000000,7.18815613,3.72752714,0.00000000,0.00000000,0,09:47:15.5,0,0
6,0.70682687,2.38597202,0.02389809,0.09135227,-0.27347362,-0.23235177,-0.15933168,-0.47815806,0.28384525,-0.29748827,-0.47643197,-0.33425322,-0.57217127,-0.28360263,-0.27316186,-0.88632786,-0.04849882,-0.42582861,-0.57244217,0.40908951,-0.15372984,-0.44237241,-0.33588862,-0.15135421,-0.01818068,0.00000000,4.31147432,-1.61922967,-0.61400598,0.00000000,0.43352625,-0.37456149,0.00000000,4.20320272,0,09:47:15.6,0,0
7,0.70682687,0.15395576,0.02389809,-0.70725280,-1.50167572,-0.19319649,-0.13556466,-0.47266218,0.35562673,-0.28812665,-0.44792455,-0.31235859,-0.34999868,-0.55835921,-0.27316186,-0.93153298,-0.99444371,-0.40625098,-0.64480668,2.66052198,-0.08642679,-0.37255082,-0.27827162,-0.17851117,-0.03676230,0.00000000,3.49874878,-1.61922967,1.69071937,0.00000000,-3.21956635,0.00393185,0.00000000,0.00000000,0,09:47:15.7,0,0
8,2.32195997,0.15395576,-0.22147113,-0.26319703,1.36038828,-0.19319649,-0.13966936,-0.43340942,0.40608600,-0.24481843,-0.28936726,-0.27473006,-0.59100181,-0.15695511,-0.22610308,-0.86731958,2.28900790,-0.37440717,-0.49917480,-1.26996529,-0.10037980,-0.55416524,-0.28163877,-0.18298705,0.00071939,0.00000000,-0.31585988,-0.83148855,1.61801040,0.00000000,2.01714349,0.81417394,0.00000000,0.00000000,0,09:47:15.8,0,0
9,3.01155210,0.15395576,0.05359642,0.48303491,2.58859038,-0.16123928,-0.11756024,-0.45533654,0.42124838,-0.27310780,-0.30844814,-0.26928926,-0.37291524,-0.16169782,-0.19621749,-0.86287683,4.56126165,-0.36320347,-0.59186840,3.74079251,-0.07648853,-0.38243797,-0.34892926,-0.33236754,-0.22139010,0.00000000,4.61595106,-1.97445655,0.22726735,0.00000000,0.16199169,-0.69954151,0.00000000,3.46124220,0,09:47:15.9,0,0
10,3.01155210,0.15395576,0.05359642,-1.21981299,-0.27347362,-0.24365892,-0.16432855,-0.44880077,0.18544497,-0.26462352,-0.54976547,-0.24719100,-0.42181537,-0.61238700,-0.15554290,-0.93467587,-0.94285911,-0.34226087,-0.49917480,1.03496647,-0.02589799,-0.44237241,-0.20029475,-0.34522584,-0.21121700,0.00000000,-0.37165090,-1.23943877,2.39696813,0.00000000,0.59606707,-1.55895209,0.00000000,0.00000000,0,09:47:16.0,0,0
11,-0.23131104,2.38597202,-0.17463315,-0.35270348,-0.27347362,-0.24735604,-0.14998215,-0.44978368,0.25503922,-0.25895828,-0.40494430,-0.25110641,-0.22765738,-0.14733884,-0.16948593,-0.85764867,2.30781102,-0.35403410,-0.59186840,0.98127735,-0.05109695,-0.54268199,-0.35368815,-0.29484904,-0.17981365,0.00000000,1.60566485,-1.23943877,1.69071937,0.00000000,-0.91484112,-1.27960241,0.00000000,0.00000000,0,09:47:16.1,0,0
12,-0.23131104,-2.65786362,-0.23484509,-1.35898602,-3.35378432,-0.32376522,-0.19335631,-0.45533654,-0.11771786,-0.28342116,-0.29891577,-0.27581328,-0.53085268,-0.17123009,-0.21463859,-0.87686121,3.62328553,-0.47753495,-0.64480668,1.45513856,-0.23467323,-0.61792558,-0.51155710,-0.32153261,-0.20010410,0.00000000,3.87393928,-1.61922967,1.69071937,0.00000000,-3.21956635,-1.41000414,0.00000000,0.00000000,0,09:47:16.2,0,0
13,-0.23131104,0.15395576,-0.17463315,-0.26319703,-1.50167572,-0.20757011,-0.14174134,-0.45533654,0.28384525,-0.28248569,-0.30844814,-0.26201785,-0.32248744,-0.35841647,-0.21480997,-0.88632786,2.27491832,-0.41362464,-0.60631883,0.42866260,-0.13663539,-0.47767675,-0.28163877,-0.36717743,-0.20300795,0.00000000,-0.42238572,-1.61922967,-1.41866553,0.00000000,-3.21956635,-1.27960241,0.00000000,0.00000000,0,09:47:16.3,0,0
14,-0.23131104,0.15395576,-0.25476995,0.12848559,3.66511345,-0.11884753,-0.09855191,-0.44158658,0.62177831,-0.25895828,-0.27498335,-0.24860135,-0.07929322,-0.34890923,-0.15958585,-0.88632786,2.24227834,-0.42421514,-0.57244217,0.33627468,-0.18083018,-0.66741949,-0.50389475,-0.29743275,-0.24114379,0.00000000,2.31101942,-1.61922967,0.10710216,0.00000000,-3.21956635,0.35768336,0.00000000,2.50457454,0,09:47:16.4,0,0
15,0.10269337,0.00000000,-0.19562891,-0.07921866,7.35728073,-0.21076202,-0.12955965,-0.42021823,-0.07553228,-0.24000856,-0.34709018,-0.20441610,-0.23923488,-0.58360714,-0.13657299,-0.91076434,-0.90976816,-0.35172752,-0.53835613,-4.86385632,-0.02013410,-0.45271668,-0.19809128,-0.41072556,-0.19517329,0.00000000,-0.31585988,-0.83148855,1.61801040,0.00000000,1.14101851,2.39519048,0.00000000,0.00000000,0,09:47:16.5,0,0
16,2.65596437,0.15395576,0.13747293,-1.21981299,-1.50167572,-0.26259166,-0.18807760,-0.41917548,0.08087127,-0.24955022,-0.48233783,-0.26201785,-0.25783181,-0.21681821,-0.18792954,-0.83373713,3.65617824,-0.36304811,-0.51880032,-0.35237411,-0.06235045,-0.61917055,-0.52188706,-0.27804029,-0.24114379,0.00000000,2.95392895,-1.23943877,1.61801040,0.00000000,-0.91484112,-1.27960241,0.00000000,0.00000000,0,09:47:16.6,0,0
17,2.65596437,-1.42966151,0.22264731,-0.26319703,-1.50167572,-0.14245203,-0.10927001,-0.42120877,0.69059956,-0.24577135,-0.22686386,-0.22662942,-0.37066591,-0.21681821,-0.13657299,-0.87446469,3.63737512,-0.41328144,-0.59186840,2.03099942,-0.11545315,-0.38363042,-0.18551600,-0.28937715,-0.15067874,0.00000000,0.67202872,-1.61922967,0.16495171,0.00000000,-1.63594913,-0.60682416,0.00000000,0.00000000,0,09:47:16.7,0,0
18,5.14837027,6.20109320,0.39688131,-0.48622423,1.31014371,-0.12161321,-0.09898395,-0.41355368,0.56795037,-0.24955022,-0.61850679,-0.23896672,-0.30798712,-0.36855161,-0.18313372,-0.85515481,2.35516167,-0.35358146,-0.46463057,1.09416807,-0.01270235,-0.40684053,-0.21809426,-0.28565058,-0.07962237,0.00000000,-0.35311657,-0.39092475,6.21208906,0.00000000,3.37303472,2.92568350,0.00000000,0.00000000,0,09:47:16.8,0,0
19,-0.23131104,-2.65786362,-0.17463315,-0.52324766,1.81300485,-0.01892378,-0.04186820,-0.40267956,0.86069155,-0.26468164,-0.11144950,-0.23480590,-0.03289994,-0.14258415,-0.17267630,-0.84357047,3.62328553,-0.35398284,14.91202927,2.73359442,-0.06668866,-0.38992935,-0.22366542,-0.16167222,-0.13370770,0.00000000,6.89360809,-1.97445655,0.22726735,0.00000000,2.13215423,0.35815415,16.65655518,6.82508564,0,09:47:16.9,0,0
