Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190417094717
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,798,701,713,0,667,624,705,0,667,624,643,609,1739,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,98,98,6,6,98,98,6,6,6,6,31,31,44,44,6,6,31,31,7,7,15,15,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,7,7,6,6,7,7,6,6,7,7,6,6,6,6,15,15,7,7,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,62,62,31,31,6,6,6,6,6,6,24,24,6,6,6,6,6,6,7,7,12,12,6,6,6,6,31,31,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,9.96,18.81,16.85,26.99,100.00,100.00,8.19,23.51,2.24,3.10,1.82,36.46,2.01,2.49,1.41,25.07,1.71,34.83,2.42,3.87,2.25,4.69,1.24,30.21,2.21,3.64,1.36,31.86,1.79,50.15,2.36,3.12,3.08,4.48,1.93,2.81,4.27,5.18,2.45,3.48,99.39,100.00,3.28,1.00,24.24,1.00,100.00,100.00,1.00,1.00,100.00,100.00,33.76,55.25,100.00,100.00,97.13,100.00,100.00,1.00,71.44,100.00,7.73,12.83,12.94,32.60,1.00,1.00,2.89,5.02,1.91,2.29,1.00,16.23,1.03,16.91,1.90,4.04,2.21,4.06,1.00,3.47,100.00,100.00,100.00,100.00,2.04,2.86,2.03,2.62,1.67,3.10,1.93,100.00,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/17 09:47:21
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,5.48535538,0.71839643,1.25598979,1.43134534,0.23453908,0.50907522,0.58538496,0.08919399,-0.26989096,-0.70903277,-0.18435015,-0.23167300,-0.22849798,-0.23155007,-0.97593945,-0.06172473,-0.20086198,0.04034581,0.77863979,-0.18410252,-0.83070767,-0.71138859,-0.51538521,-0.41774288,-0.85861319,-0.53711116,-0.32257557,2.39637947,0.00000000,1.43775618,-0.48626205,0.00000000,0.00000000,0,09:47:30.1,0,0
2,0.00000000,5.48535538,-0.10525489,0.64968604,1.35863638,0.06451948,0.45582160,-0.41825831,-0.33720317,-0.26386237,-0.76022851,-0.16305791,-0.40880620,-0.19610249,-0.23639612,-0.92911810,-0.03347117,-0.22102341,-0.24973381,0.27973309,-0.17634581,-0.89645845,-0.74195194,-0.44820943,-0.42392620,2.14844823,-0.42820203,-0.32257557,3.74474692,0.00000000,1.20250630,-0.87813622,0.00000000,10.06039429,0,09:47:30.2,0,0
3,0.00000000,-0.56178224,-0.04993511,0.38511261,-0.03210679,0.23214181,0.28707540,0.93010914,0.39023927,-0.24643017,-0.61213905,-0.18081927,-0.05932761,-0.29897696,-0.21978156,-0.94301808,-0.02871853,-0.16995448,0.52774245,0.91672868,-0.15301371,-0.84443492,-0.72063994,-0.42220232,-0.38629922,1.07807708,-0.44254842,-0.78169572,0.03748671,0.00000000,1.27559245,0.86221296,4.09753418,0.83297056,0,09:47:30.3,0,0
4,0.00000000,-2.14539957,1.85809934,-2.05562854,-1.11069202,-0.56573242,-0.91041315,-2.72298360,-0.96977460,-0.25477123,-0.72617239,-0.19384085,-0.53175777,-0.26639000,-0.24371640,-0.92593980,0.07597689,-0.17972744,-0.01501448,0.45327210,-0.15398757,-0.88274276,-0.74195194,-0.43062320,-0.40911457,0.17234655,-0.38014907,-0.32257557,2.52591324,0.00000000,0.63886106,-0.03282430,0.00000000,0.00000000,0,09:47:30.4,0,0
5,0.00000000,-2.14539957,-0.04993511,0.82916838,-0.03210679,0.36572286,0.42253420,-0.41825831,0.44126081,-0.25552133,-0.62189931,-0.18891685,-0.25068048,-0.40513572,-0.21596257,-0.95901883,-0.10761970,-0.14776939,0.37556618,0.93538833,-0.13784547,-0.84733552,-0.70308918,-0.42050987,-0.38284099,-0.30622277,-0.42820203,-0.55457175,-0.07071582,0.00000000,-1.37406313,-0.48508960,0.00000000,-1.65448952,0,09:47:30.5,0,0
6,0.00000000,-0.56178224,1.41404355,-0.12744761,-1.38047409,-0.28278556,-0.25605458,-0.41825831,-0.39403459,-0.24643017,-0.76022851,-0.19352424,-0.33591753,-0.40513572,-0.24637683,-0.95716804,-0.03347117,-0.20086198,0.24639942,0.30309686,-0.20620945,-0.86899287,-0.71132028,-0.48456967,-0.41365695,-2.08275652,-0.45679840,-0.55457175,-2.72016525,0.00000000,-2.45058632,-0.80153096,0.00000000,-4.76805019,0,09:47:30.6,0,0
7,0.00000000,-2.14539957,0.06499950,-0.70736438,-1.38047409,-0.28334486,-0.33714333,-0.41825831,-0.26793545,-0.28724968,-0.68495387,-0.17544302,-0.14479667,-0.01798835,-0.23155007,-0.92737156,0.29862604,-0.20903076,0.04980401,0.77863979,-0.21424818,-0.86114758,-0.71333188,-0.42205799,-0.38977468,-0.78349799,-0.49000332,-0.78169572,-0.07071582,0.00000000,2.90113425,-0.49122345,6.35008907,-1.28188336,0,09:47:30.7,0,0
8,0.00000000,-0.56178224,0.90148324,-0.73375130,-3.68519926,-0.14686097,-0.17045088,0.58538496,-0.23119862,-0.26915744,-0.68495387,-0.19324258,-0.22705176,-0.30824426,-0.26440796,-0.95716804,-0.14538838,-0.20906515,0.32335871,0.60572207,-0.18045828,-0.88832402,-0.76216853,-0.42205799,-0.40878528,-2.08275652,-0.49000332,-0.55457175,-2.72016525,0.00000000,1.43775618,-0.40523142,0.00000000,4.01302910,0,09:47:30.8,0,0
9,0.00000000,-0.56178224,-0.34295079,0.38511261,-0.15227205,0.08466040,0.29336587,-1.71934032,0.27200001,-0.24487182,-0.74564165,-0.18020123,-0.46941653,-0.10558283,-0.23639612,-0.94311363,0.13101780,-0.20085946,0.15900971,1.04389906,-0.16824824,-0.86105120,-0.72063994,-0.41608852,-0.37939987,1.99881232,-0.39462072,-0.66697431,0.88595188,0.00000000,-1.02933919,-0.37036273,-4.55727959,-1.28188336,0,09:47:30.9,0,0
10,0.00000000,-2.14539957,1.12303269,-0.19480418,-0.03210679,-0.06195718,0.05917117,-0.41825831,-0.08214714,-0.24566536,-0.72617239,-0.16210932,-0.13098884,-0.29897696,-0.19510669,-0.95716804,-0.03816099,-0.17072409,0.27487239,0.76001126,-0.15301371,-0.87190050,-0.72896010,-0.35844266,-0.34653792,0.56486946,-0.41381815,-0.78169572,0.03748671,0.00000000,0.66928875,0.41703102,-2.02231216,1.29800332,0,09:47:31.0,0,0
11,0.00000000,5.48535538,-0.04993511,1.25598979,1.43134534,-0.17931935,-0.19057962,0.08164387,-0.40871748,-0.23732431,-0.62189931,-0.14950724,-0.25534096,-0.51012778,-0.20582478,-0.97324157,-0.31946734,-0.19170022,0.07827698,0.13307022,-0.16911085,-0.85517645,-0.71967530,-0.37023047,-0.35669148,1.57033634,-0.36569867,-0.43976560,2.16112971,0.00000000,-0.86696911,-1.22713923,0.00000000,4.01302910,0,09:47:31.1,0,0
12,0.00000000,-0.56178224,0.86634451,-0.12744761,-1.38047409,0.00157929,-0.09214688,-0.41825831,-0.15326108,-0.25477123,-0.84662127,-0.17999561,-0.35437411,-0.40046769,-0.23915586,-0.94485652,-0.02402101,-0.17248550,0.19232973,0.46259397,-0.15301371,-0.87190050,-0.73450696,-0.40226758,-0.38203231,-2.61094809,-0.41381815,-0.55457175,-0.41543987,0.00000000,-1.37406313,-0.99977303,-4.55727959,4.01302910,0,09:47:31.2,0,0
13,0.00000000,1.67023432,0.23941746,-0.08538049,-0.87337995,-0.12970772,0.06571694,-0.41825831,-0.36689228,-0.26915744,-0.66563845,-0.16210932,-0.42726278,-0.40046769,-0.23739730,-0.91466743,0.07597689,-0.19170022,-0.11631245,0.68067539,-0.18247186,-0.79817641,-0.68717641,-0.48456967,-0.43816373,0.17234655,-0.45679840,-0.19769850,2.52591324,0.00000000,4.45449448,0.28814894,0.00000000,0.00000000,0,09:47:31.3,0,0
14,0.00000000,-0.56178224,0.95370823,-0.70736438,-1.38047409,-0.22331011,-0.60357851,-0.41825831,-0.47809768,-0.27749848,-0.68495387,-0.18435015,-0.04888111,-0.33137247,-0.25902826,-0.97593945,-0.13122626,-0.19273859,0.16850089,0.10966676,-0.17960718,-0.92373121,-0.75296354,-0.48096615,-0.41774288,-2.08275652,-0.51833969,-0.43976560,-1.49196315,0.00000000,1.20250630,-0.71966255,-4.55727959,-4.70148516,0,09:47:31.4,0,0
15,0.00000000,-2.14539957,-0.09650689,-0.70736438,-3.68519926,-0.21795708,-0.40356091,-0.41825831,-0.34604502,-0.28724968,-0.70903277,-0.19861883,-0.30606127,-0.13792364,-0.25902826,-0.97124660,0.03347639,-0.21899866,0.14007697,0.94945401,-0.21833913,-0.83675241,-0.68658632,-0.50755823,-0.42593339,1.52153718,-0.53711116,-0.66697431,0.88595188,0.00000000,-1.02933919,0.13839515,-4.55727959,-0.53562564,0,09:47:31.5,0,0
16,0.00000000,-0.56178224,0.95370823,-1.31366813,-3.68519926,-0.03670212,0.07296924,-0.41825831,-0.11422793,-0.25477123,-0.54237241,-0.17631862,-0.03054764,-0.09631553,-0.19572191,-0.91007972,0.16410865,-0.17807785,0.45761877,0.61502868,-0.15570810,-0.89915389,-0.74286193,-0.37208226,-0.37191141,-2.08275652,-0.42820203,-0.55457175,-0.41543987,0.00000000,2.78612351,-0.71966255,0.00000000,1.20116436,0,09:47:31.6,0,0
17,0.00000000,1.67023432,-0.47629768,0.52092326,1.43134534,-0.10058481,-0.00939258,-0.41825831,-0.11422793,-0.26386237,-0.52775973,-0.18539371,-0.34056628,-0.27571195,-0.23739730,-0.91168004,-0.00978588,-0.20085946,-0.02453814,0.77863979,-0.16911085,-0.85806334,-0.74286193,-0.40705061,-0.40207148,1.57033634,-0.39462072,-0.55457175,2.16112971,0.00000000,1.20250630,0.25030729,0.00000000,1.35213804,0,09:47:31.7,0,0
18,0.00000000,5.48535538,-0.47629768,0.64968604,1.70112741,0.04056585,0.16337730,-0.41825831,-0.10677417,-0.25477123,-0.76022851,-0.15758608,-0.06856349,-0.09631553,-0.19631924,-0.91466743,0.16887721,-0.18899634,0.28439605,0.47663587,-0.18410252,-0.87181318,-0.71967530,-0.38577828,-0.38203231,-2.08275652,-0.41381815,-0.55457175,-2.72016525,0.00000000,-0.02569579,-0.16072194,0.00000000,6.24493217,0,09:47:31.8,0,0
19,0.00000000,-0.56178224,0.06499950,-0.19480418,-1.38047409,0.17061083,0.35389385,0.93010914,0.24222246,-0.25552133,-0.55207282,-0.22493652,-0.43189567,-0.01798835,-0.29295775,-0.93358415,0.06651031,-0.20903076,0.08780064,0.64775401,-0.19738804,-0.84443492,-0.71598828,-0.42220232,-0.40800366,-0.30622277,-0.45679840,-0.66697431,-1.41908312,0.00000000,5.97480774,-0.14780353,6.35008907,0.58367074,0,09:47:31.9,0,0
