Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190410091311
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1734,1253,673,627,688,0,642,609,700,0,712,650,648,612,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,31,31,6,6,150,150,6,6,6,6,24,24,6,6,6,6,31,31,6,6,7,7,7,7,6,6,7,7,7,7,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,7,7,6,6,6,6,15,15,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,31,31,7,7,44,44,7,7,6,6,7,7,31,31,7,7,6,6,6,6,7,7,6,6,7,7,7,7,31,31,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,5.04,11.19,2.72,5.97,1.82,3.43,7.51,16.07,2.38,3.20,1.95,38.01,3.33,3.78,1.37,23.31,2.22,45.63,3.30,5.24,2.40,5.28,1.37,33.59,2.32,4.00,1.52,37.52,2.99,100.00,2.26,3.06,2.46,3.70,2.44,3.65,2.81,4.24,1.87,3.04,1.00,1.00,2.45,1.00,100.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,26.61,43.38,1.00,1.00,1.00,100.00,100.00,1.00,97.81,100.00,5.13,11.62,3.77,9.92,2.11,3.95,2.76,5.86,3.69,4.39,1.00,6.07,1.19,18.98,2.59,4.02,2.48,4.97,1.00,4.01,1.19,26.07,1.97,2.95,2.21,3.41,2.17,2.98,2.18,4.48,2.44,100.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/04/10 09:13:15
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.45349979,0.81267303,-4.20726061,0.27378276,2.39011431,-0.12242774,-0.23582925,-0.59879357,-0.10057058,-0.47834241,-0.18461561,-0.44160646,-0.50503397,-0.04558147,-0.08102735,-0.95712405,0.14824757,-0.33960554,0.05428229,2.99944329,-0.12437902,-0.58040345,-0.65516222,-0.34530050,-0.35305518,0.00000000,-0.46996635,-1.00155675,0.98154819,0.00000000,-1.38873506,-0.27665484,0.00000000,1.06322491,0,09:13:24.0,0,0
2,0.02547919,3.04468942,-4.20726061,1.00884926,0.00000000,-0.17776334,-0.27117607,-0.58466727,-0.19200779,-0.45820129,-0.73291147,-0.43286490,-0.47627106,-0.17712192,-0.08465018,-0.95712405,0.48003939,-0.33270130,0.05866246,1.48916781,-0.10844336,-0.56376880,-0.65189159,-0.38198969,-0.35305518,0.00000000,-0.46996635,1.81026268,0.98154819,0.00000000,1.27631760,-0.30177933,0.00000000,0.00000000,0,09:13:24.1,0,0
3,0.02547919,3.04468942,-4.20726061,1.00884926,1.60503757,0.04871406,-0.17803404,-0.62509632,0.08424070,-0.49251342,-0.62577921,-0.39757112,-0.49494699,-0.46304983,-0.05644393,-0.97985137,0.04006141,-0.35953021,0.01958204,2.02973056,-0.13886948,-0.61164302,-0.68801069,-0.39828369,-0.36203474,0.00000000,-0.49359062,1.81026268,0.00000000,0.00000000,2.42689848,0.14861159,0.00000000,-2.29535794,0,09:13:24.2,0,0
4,0.55014348,-0.77094424,5.49296951,-0.37458807,-1.42500699,-0.09557141,-0.25390893,-0.61677182,-0.11073369,-0.47419745,-0.21639661,-0.46415550,-0.52289987,-0.79715037,-0.09732464,-1.04188740,0.00909754,-0.36204368,0.21518503,2.55538750,-0.14032626,-0.59861523,-0.66648930,-0.38712201,-0.37866390,0.00000000,-0.53113341,-1.00155675,0.29519042,0.00000000,0.91629988,0.09999171,0.00000000,0.75163740,0,09:13:24.3,0,0
5,1.13006020,3.04468942,1.83987689,0.40254557,0.00000000,0.03538815,-0.18070766,-0.56432432,0.13486880,-0.43201038,-0.17550978,-0.40517944,-0.60857040,-0.57027102,-0.04177589,-1.00142300,-0.12403481,-0.31071791,0.14351512,1.48916781,-0.08425338,-0.55475950,-0.63494360,-0.35876387,-0.34785813,0.00000000,-0.42241111,4.04227924,0.00000000,0.00000000,2.42689848,-0.58305871,0.00000000,0.00000000,0,09:13:24.4,0,0
6,2.51349759,6.85981083,1.83987689,2.36987472,1.60503757,-0.27834949,-0.35401863,-0.58354276,-0.36996138,-0.43201038,-0.24789524,-0.39757112,-0.31021801,-0.27844912,-0.04267340,-0.94801825,0.16156402,-0.27804819,0.26298201,2.06905937,-0.05420382,-0.58625484,-0.66595691,-0.38694379,-0.36203474,0.00000000,-0.48410621,1.81026268,3.12876344,0.00000000,1.65826023,0.98679674,8.07877445,-2.29535794,0,09:13:24.5,0,0
7,1.13006020,6.85981083,0.32948101,1.52140951,1.60503757,-0.41464558,-0.45114082,-0.58542734,-0.56600755,-0.43267989,-0.06991881,-0.40587056,-0.32418877,-0.43517804,-0.02555231,-0.96458262,-0.02353858,-0.30110312,-0.02319903,2.54229069,-0.07024948,-0.58728564,-0.66648930,-0.33399934,-0.33136886,0.00000000,-0.43673268,1.81026268,0.00000000,0.00000000,1.54324961,0.98679674,0.00000000,2.70623970,0,09:13:24.6,0,0
8,0.55014348,-0.77094424,4.14460230,0.13797215,2.48475575,-0.03446857,-0.18497372,-0.57581109,-0.00192010,-0.46990198,-0.39727831,-0.42809257,-0.49031287,-0.30177370,-0.05576550,-0.96468824,0.25108966,-0.30191129,0.07171472,0.74720746,-0.08579009,-0.57521647,-0.65189159,-0.38694379,-0.36203474,0.00000000,-0.48410621,0.22664534,0.98154819,0.00000000,-0.04036770,-0.19079566,0.00000000,0.00000000,0,09:13:24.7,0,0
9,-0.45349979,0.81267303,-5.79087782,0.27378276,2.39011431,0.04104924,-0.16540641,-0.54429942,0.15418448,-0.41296071,0.02328338,-0.41694584,-0.57056671,-0.47230938,-0.08102735,-1.00142300,-0.12851793,-0.34145948,0.05428229,2.08224964,-0.13383056,-0.57836449,-0.64381438,-0.38947308,-0.34406099,0.00000000,-0.48410621,0.22664534,4.11031151,0.00000000,-0.04036770,-0.16093765,0.00000000,0.75163740,0,09:13:24.8,0,0
10,-0.89406365,-1.99914634,-1.90253544,-0.95450485,-3.65702343,0.10455491,-0.16049033,-0.64158815,0.21663897,-0.51909447,-0.55483460,-0.44245180,-0.37744400,-0.34348667,-0.08465018,-0.99641573,0.22003104,-0.33159369,0.24118933,2.52922559,-0.11793308,-0.60985661,-0.67159718,-0.38947308,-0.36203474,0.00000000,-0.49359062,-2.00519991,-1.93682611,0.00000000,-1.26856983,-0.47207409,0.00000000,1.57578516,0,09:13:24.9,0,0
11,-0.45349979,0.81267303,-1.90253544,-0.33252096,2.39011431,0.20801400,-0.06625784,-0.55664742,0.42244482,-0.39977735,-0.24789524,-0.38532117,-0.55192244,-0.42116001,-0.04177589,-0.96029854,-0.10617790,-0.29224619,0.09361123,1.46275580,-0.06866895,-0.58625484,-0.65712136,-0.38231510,-0.34707814,0.00000000,-0.42241111,1.81026268,0.00000000,0.00000000,6.24202013,0.02430311,0.00000000,0.00000000,0,09:13:25.0,0,0
12,1.13006020,6.85981083,5.49296951,1.00884926,0.00000000,-0.16069113,-0.25390893,-0.63296455,-0.07685703,-0.48741823,-0.54578090,-0.42293188,-0.29217431,-0.16783145,-0.01131407,-0.94339448,0.34540462,-0.30298007,-0.03193633,1.46275580,-0.06866895,-0.57728267,-0.64381438,-0.38198969,-0.36442959,0.00000000,-0.46049970,0.22664534,0.98154819,0.00000000,-3.69346023,-0.01762550,0.00000000,0.00967703,0,09:13:25.1,0,0
13,-0.45349979,3.04468942,-1.90253544,0.27378276,1.60503757,0.14252976,-0.10519605,-0.59016997,0.24333178,-0.41751692,0.03238921,-0.44484520,-0.42837772,-0.31106415,-0.04177589,-0.96458262,-0.01905219,-0.29148337,-0.13608180,0.72079551,-0.07676001,-0.60567808,-0.66274804,-0.36805433,-0.35535723,0.00000000,-0.44623992,1.81026268,0.00000000,0.00000000,0.19488220,-0.10961653,0.00000000,0.00967703,0,09:13:25.2,0,0
14,1.13006020,3.04468942,1.67784834,-0.33941478,0.00000000,0.12345146,-0.12274165,-0.57486123,0.23643236,-0.41751692,-0.25706184,-0.42809257,-0.65984905,-0.57027102,-0.03777953,-0.96945786,0.05781776,-0.29043651,0.15659125,1.48916781,-0.08425338,-0.56624436,-0.64302075,-0.34734994,-0.31993979,0.00000000,-0.43673268,1.81026268,0.00000000,0.00000000,-2.10984302,0.00888858,0.00000000,0.00000000,0,09:13:25.3,0,0
15,-0.45349979,3.04468942,-1.90253544,0.40254557,0.00000000,0.07599635,-0.14658852,-0.57486123,0.17277838,-0.42602232,-0.26621354,-0.45508692,-0.67836773,-0.18639672,-0.11031269,-0.98729098,0.13490814,-0.29131305,0.20220135,2.56846046,-0.10844336,-0.58040345,-0.65516222,-0.34793466,-0.32148266,0.00000000,-0.46049970,-1.00155675,-2.83357286,0.00000000,-1.26856983,-0.13264331,0.00000000,-4.60008335,0,09:13:25.4,0,0
16,0.02547919,3.04468942,-0.55416805,-0.33941478,0.00000000,0.18998462,-0.09301345,-0.60386473,0.44225723,-0.43985274,-0.36981276,-0.37424588,-0.59381229,-0.61216086,-0.04150172,-1.01023698,0.11276563,-0.34080988,-0.08841817,2.56846046,-0.13170809,-0.57836449,-0.65845054,-0.38694379,-0.34406099,0.00000000,-0.46049970,1.81026268,0.00000000,0.00000000,2.42689848,0.89140505,0.00000000,-0.94699061,0,09:13:25.5,0,0
17,0.55014348,0.81267303,1.67784834,-0.33252096,2.39011431,-0.17918946,-0.31266844,-0.62825859,-0.27683485,-0.43745601,-0.20734295,-0.38783759,-0.34737545,-0.31106415,-0.02555231,-0.99777222,0.09956621,-0.28071532,0.33103079,1.44959652,-0.07869827,-0.56376880,-0.64381438,-0.37057573,-0.34707814,0.00000000,-0.42241111,0.22664534,0.98154819,0.00000000,1.54324961,0.61321288,0.00000000,0.00967703,0,09:13:25.6,0,0
18,0.55014348,0.81267303,5.49296951,0.27378276,2.39011431,0.13937709,-0.10519605,-0.58250183,0.30503386,-0.39461213,0.17812577,-0.39891288,-0.41456994,-0.31106415,-0.02452047,-0.95699704,0.30986291,-0.27001429,0.30324724,3.39112592,-0.07784813,-0.54699767,-0.61526334,-0.34793466,-0.32975462,9.59500313,-0.46996635,-2.00519991,0.36789921,0.00000000,-0.31190220,0.19472532,0.00000000,3.05656910,0,09:13:25.7,0,0
19,-0.45349979,-3.00278950,1.67784834,-0.52255315,-1.33087778,0.10427669,-0.16353667,-0.65066540,0.16511671,-0.47195116,-0.13787715,-0.44160646,-0.49486580,0.06241879,-0.06761006,-0.94801825,0.17946203,-0.30994517,0.27605501,3.01251626,-0.08425338,-0.57836449,-0.63494360,-0.34793466,-0.32229650,0.00000000,-0.48410621,-2.00519991,0.29519042,0.00000000,-1.26856983,0.62767208,0.00000000,-4.50720739,0,09:13:25.8,0,0
