Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190417091458
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1712,1456,1149,908,778,689,763,0,652,615,720,0,697,641,618,595,1574,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,62,62,6,6,31,31,12,12,6,6,12,12,15,15,15,15,31,31,6,6,6,6,6,6,7,7,6,6,15,15,7,7,6,6,6,6,7,7,6,6,6,6,6,6,6,6,7,7,7,7,98,98,49,49,94,94,98,98,6,6,6,6,31,31,6,6,31,31,6,6,15,15,7,7,15,15,62,62,72,72,12,12,7,7,7,7,112,112,7,7,6,6,6,6,7,7,12,12,6,6,6,6,112,112,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,2.29,3.97,1.88,2.50,23.49,40.70,3.35,4.35,4.59,9.28,4.73,7.28,7.00,13.99,2.30,2.74,1.78,23.33,1.99,2.43,1.95,32.13,1.65,29.05,2.92,5.09,4.80,9.84,1.43,33.15,2.08,3.53,1.39,32.20,1.58,30.81,2.72,3.59,3.87,5.84,2.26,3.43,3.15,4.21,2.70,3.62,6.32,6.54,6.58,1.00,100.00,100.00,100.00,1.00,100.00,1.00,44.56,92.82,42.77,64.67,61.21,100.00,1.00,1.00,73.36,1.00,1.85,2.86,3.69,4.72,3.83,7.68,2.63,5.51,5.47,8.57,2.47,2.58,1.60,29.59,3.04,28.51,3.91,9.64,2.44,4.62,1.00,6.10,1.00,10.84,2.82,4.10,1.90,2.78,2.14,2.62,1.10,2.32,1.00,1.00,100.00,100.00,27.29,68.50,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/17 09:15:04
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-0.04031495,-0.05571316,0.04300517,-0.04004946,0.04460152,0.43091470,0.23819740,0.10292894,0.04908856,-0.67403889,-0.06538869,-0.31310755,-0.09534846,-0.20958056,-0.65538830,-0.27232790,-0.21808079,-0.23938750,1.03012323,-0.21320474,-0.63141739,-0.67763394,-0.43814018,-0.27859721,1.78713942,-1.01782250,0.00000000,0.00000000,2.15288568,-0.22360787,-0.22507846,-1.52243197,0.00000000,0,09:15:13.1,0,0
2,0.00000000,0.53960186,-0.11600254,0.05108120,0.06885969,0.11082952,0.46074304,0.34808499,0.16050242,0.08713173,-0.44044667,-0.07812478,-0.31310755,-0.43556821,-0.20951347,-0.79776496,-0.50452846,-0.23342842,-0.03766654,1.22189200,-0.22344849,-0.55809021,-0.62201971,-0.47447997,-0.30257058,1.79201782,-1.07726157,0.00000000,0.00000000,-0.07913076,0.04326071,-1.13811719,-0.91612834,0.00000000,0,09:15:13.2,0,0
3,0.00000000,0.53960186,-0.09992531,0.05108120,0.06885969,0.05169976,0.34945828,0.30330688,0.06306794,0.08642627,-0.37419811,-0.06970640,-0.29950497,-0.33101845,-0.19651003,-0.66031891,-0.33929408,-0.21684526,-0.03766654,1.21399522,-0.19810855,-0.59103119,-0.62050360,-0.47714141,-0.30506077,1.81568575,-1.13612163,0.00000000,0.00000000,2.15288568,0.24100131,-2.58557200,-0.61933595,0.00000000,0,09:15:13.3,0,0
4,0.00000000,0.53960186,-0.07330539,0.04753900,0.19075854,0.07495602,0.40300581,0.14484836,0.07083053,0.02459761,-0.60351443,-0.07407923,-0.14305641,-0.02776173,-0.20532532,-0.71883732,-0.21075687,-0.23650639,-0.05713892,1.22625613,-0.23901656,-0.53919184,-0.61424583,-0.47845867,-0.29300335,1.74561799,-1.22539270,0.00000000,0.00000000,-0.07913076,0.29029450,0.09204203,0.14604144,0.00000000,0,09:15:13.4,0,0
5,0.00000000,0.53960186,-0.11170355,0.03323348,0.19075854,-0.02117530,0.27157763,0.28162208,-0.19707270,0.02106599,-0.47325578,-0.08805105,-0.15211011,-0.51745075,-0.24391231,-0.74489689,-0.57311577,-0.25248411,0.00225300,1.24261284,-0.24436852,-0.62900680,-0.66253000,-0.48699442,-0.29700238,1.81575513,-1.16753983,0.00000000,0.00000000,5.96800661,0.18396090,-0.76753837,-0.30555883,0.00000000,0,09:15:13.5,0,0
6,0.00000000,-0.04031495,-0.10768656,0.01502538,-0.04004946,-0.00475096,0.29589158,0.30553359,-0.11792683,0.07097214,-0.39766145,-0.10490762,-0.09941347,-0.07570998,-0.25404531,-0.69055104,-0.15595642,-0.27946162,-0.16860889,1.37990963,-0.30006140,-0.57767975,-0.65884137,-0.56232125,-0.34324265,1.82821834,-1.28264320,0.00000000,0.00000000,-1.66274810,-0.15190731,-0.17501816,-1.20225716,0.00000000,0,09:15:13.6,0,0
7,0.00000000,-0.04031495,-0.03282235,0.04300517,0.08184939,0.00211192,0.26820230,0.26259115,-0.06904624,0.06280434,-0.50158989,-0.06538869,-0.26293355,-0.25343820,-0.18356064,-0.66031891,-0.25738236,-0.21490176,0.03341481,1.15218008,-0.22344849,-0.53760171,-0.61637473,-0.44935268,-0.28375942,1.67252159,-1.04992092,0.00000000,0.00000000,5.96800661,0.48803511,0.38972396,0.04048762,0.00000000,0,09:15:13.7,0,0
8,0.00000000,-0.56497920,-0.07872674,0.03735442,-0.14684556,0.03977853,0.31294250,0.21566410,-0.00389879,0.05389804,-0.63175583,-0.06895819,-0.35627708,-0.16026399,-0.20525190,-0.66534013,-0.40795386,-0.22000048,-0.02980026,1.23854434,-0.20789024,-0.55807191,-0.64342570,-0.45205212,-0.27859721,1.59560692,-1.04992092,0.00000000,0.00000000,2.15288568,-0.22360787,-0.22507846,-1.22563958,0.00000000,0,09:15:13.8,0,0
9,0.00000000,-0.04031495,-0.03637142,0.05144562,-0.02494671,0.04010255,0.32065529,0.32826754,0.00529949,0.10556173,-0.52811223,-0.08373717,-0.43396795,-0.57090127,-0.24402316,-0.70680773,-0.64739060,-0.22000048,-0.09854532,1.12630129,-0.20547953,-0.48610511,-0.61723655,-0.45808789,-0.28044578,1.47150874,-1.01782250,0.00000000,0.00000000,0.00000000,0.66406494,1.28356278,0.20700140,0.00000000,0,09:15:13.9,0,0
10,0.00000000,-0.04031495,-0.09992531,0.01005893,-0.16346525,0.06345345,0.37515515,0.21418121,0.07827213,0.03975819,-0.69280773,-0.08805105,-0.26293355,-0.18221235,-0.24391231,-0.69165903,-0.27232790,-0.25571093,-0.19079746,1.31209111,-0.26184511,-0.50088799,-0.62224424,-0.45205212,-0.26969302,1.74561799,-1.13612163,0.00000000,0.00000000,2.15288568,0.04326071,0.16375247,-0.91612834,0.00000000,0,09:15:14.0,0,0
11,0.00000000,-0.04031495,-0.07534572,0.02065205,0.08184939,0.13748258,0.47877473,0.35367084,0.25197601,0.08642627,-0.41219312,-0.05821153,0.06139260,-0.10850772,-0.19063017,-0.63440990,-0.27603483,-0.27877772,-0.06882835,1.12630129,-0.27750149,-0.61274713,-0.66691864,-0.46592888,-0.30506077,1.79653752,-1.19877946,0.00000000,0.00000000,2.15288568,0.24100131,0.34176388,-0.10677570,0.00000000,0,09:15:14.1,0,0
12,0.00000000,-0.56497920,-0.11170355,0.01159833,-0.04004946,-0.04569023,0.16195628,0.19030553,-0.25069690,0.01121745,-0.67403889,-0.10139717,-0.30402419,-0.17345414,-0.25404769,-0.60117108,-0.26109946,-0.24345672,-0.06491850,1.25920022,-0.26162097,-0.55807191,-0.65729094,-0.54172146,-0.33214501,1.76826966,-1.19877946,0.00000000,0.00000000,2.15288568,0.48803511,0.23158626,-0.40356812,0.00000000,0,09:15:14.2,0,0
13,0.00000000,-0.56497920,-0.08126563,0.04233185,-0.04004946,0.07753993,0.41906491,0.26259115,0.09535497,0.05389804,-0.48273796,-0.01706688,0.11640424,-0.40042555,-0.14302060,-0.70680773,-0.46711347,-0.27090773,-0.11030053,1.02375567,-0.26184511,-0.60798639,-0.64942276,-0.42148095,-0.26969302,1.85171342,-1.16753983,0.00000000,0.00000000,-1.66274810,0.04326071,0.62537092,-0.91612834,0.00000000,0,09:15:14.3,0,0
14,0.00000000,-0.56497920,-0.10650221,0.02479303,-0.02494671,0.01786014,0.21060492,0.34932002,-0.18866904,0.08704976,-0.41219312,-0.05977630,-0.31029034,0.01622283,-0.20953754,-0.53260618,-0.08118055,-0.24710414,-0.08676427,1.18105578,-0.23676899,-0.46623534,-0.60249954,-0.38511023,-0.24305843,1.82074654,-1.10901666,0.00000000,0.00000000,5.96800661,-0.31276092,0.04507241,-1.22563958,0.00000000,0,09:15:14.4,0,0
15,0.00000000,0.53960186,-0.04423019,0.04233185,0.08184939,0.06137934,0.32829058,0.30553359,-0.00389879,0.04806259,-0.54704493,-0.07326932,-0.15379038,-0.00581337,-0.21569134,-0.56907672,-0.02277196,-0.24391693,-0.01023020,0.89660197,-0.22880124,-0.62637305,-0.64295208,-0.46056804,-0.30013740,1.88646626,-1.16753983,0.00000000,0.00000000,5.96800661,0.45082948,-0.32808149,-0.30555883,0.00000000,0,09:15:14.5,0,0
16,0.00000000,-0.04031495,-0.09774505,0.01502538,0.08184939,-0.01262749,0.21190614,0.28209400,-0.18668583,0.05395883,-0.34119198,-0.08674064,-0.08375769,0.12859078,-0.24135526,-0.53934914,0.03427472,-0.26173618,0.04128109,0.99072951,-0.24436852,-0.52000159,-0.64437062,-0.41596499,-0.24292928,1.69511855,-1.13612163,0.00000000,0.00000000,2.15288568,0.52020866,-0.85260022,0.43217027,0.00000000,0,09:15:14.6,0,0
17,0.00000000,-0.04031495,-0.06405401,0.00255981,-0.02494671,0.07899324,0.45386940,0.21346022,0.18759058,0.02055519,-0.44983229,-0.05821153,0.08885819,-0.10410666,-0.19109513,-0.66534013,-0.26109946,-0.24156073,0.09912801,0.92951375,-0.25151441,-0.57567859,-0.65976959,-0.49813452,-0.29181781,1.85738575,-1.13612163,0.00000000,0.00000000,-0.07913076,0.04326071,0.43428552,-0.40356812,0.00000000,0,09:15:14.7,0,0
18,0.00000000,-0.56497920,-0.11729362,-0.02054732,-0.14684556,-0.04569023,0.21190614,0.35150090,-0.17583412,0.05691679,-0.24277642,-0.09529212,0.12047512,-0.06270923,-0.24172199,-0.63225400,-0.14109166,-0.29741940,-0.00165405,1.09400237,-0.30726004,-0.55330122,-0.66153306,-0.51442593,-0.29700238,1.72188509,-1.19877946,0.00000000,0.00000000,-0.07913076,0.52020866,-0.32814625,0.43217027,0.00000000,0,09:15:14.8,0,0
19,0.00000000,-0.56497920,-0.05737218,-0.00306686,-0.14684556,0.09765997,0.36428806,0.35367084,0.05288868,0.09603803,-0.37901661,-0.05573459,-0.22617488,-0.09534846,-0.19025783,-0.63440990,-0.17707095,-0.27946162,-0.32111818,0.89668995,-0.26728791,-0.46389565,-0.57648396,-0.38586920,-0.24227661,1.75629830,-1.04992092,0.00000000,0.00000000,0.00000000,0.62420094,-0.62754881,0.89384449,0.00000000,0,09:15:14.9,0,0
