Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190418094506
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,1824,1600,1712,1456,794,698,628,601,633,0,607,588,625,0,597,582,613,592,1739,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,31,31,98,98,31,31,12,12,144,144,15,15,12,12,15,15,24,24,6,6,7,7,7,7,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,15,15,7,7,6,6,15,15,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,62,62,7,7,15,15,7,7,6,6,15,15,6,6,7,7,7,7,7,7,30,30,15,15,7,7,12,12,31,31,6,6,6,6,6,6,6,6
Digital Gain,3.62,10.91,100.00,1.00,3.38,8.68,2.54,7.16,100.00,1.00,7.08,18.75,3.94,16.39,2.15,6.19,13.69,22.22,2.00,2.77,2.17,41.79,3.57,3.90,1.51,27.40,3.11,57.22,3.16,5.52,6.27,12.27,2.60,52.04,2.27,3.76,2.27,55.85,3.31,79.27,8.09,9.19,4.64,7.27,3.30,6.29,4.81,7.05,4.01,7.68,1.00,1.00,3.23,100.00,72.12,1.00,100.00,100.00,36.06,1.00,61.44,100.00,79.53,100.00,1.00,1.00,1.00,1.00,43.40,100.00,72.60,100.00,6.52,13.67,6.20,1.00,2.65,6.72,2.97,3.95,3.07,3.40,1.51,29.55,1.53,30.28,13.09,27.47,2.59,4.98,1.35,32.55,1.57,26.75,1.97,2.47,3.17,4.64,2.10,3.70,1.59,4.08,2.62,79.21,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/04/18 09:45:10
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.29883277,5.96507788,0.23260175,-0.30532855,3.96221948,-0.32484797,-0.33149621,-0.29513881,-0.37132427,-0.29761496,0.01601689,-0.11183235,0.05386189,0.19961746,0.39909402,0.02082524,0.18282339,0.30759507,0.03253026,0.34540367,0.14692511,0.09231155,-0.13134255,0.07588124,0.14268306,0.00000000,5.45434046,-1.30028021,1.25190556,0.97998226,1.44077563,1.71084142,0.00000000,0.00000000,0,09:45:19.1,0,0
2,0.22195695,2.14995718,0.19457968,-0.33836246,-2.37039518,-0.46437445,-0.50980973,-0.27902713,-0.43297949,-0.29761496,0.00701536,-0.18017009,-0.03986482,-0.31415832,0.35630569,-0.00184525,-0.11123776,0.30560833,0.45471331,0.37288085,0.19590124,0.13587187,-0.12046003,-0.08819311,0.02293205,0.00000000,-0.34704202,-1.30028021,-2.56321573,0.97998226,0.48410803,-0.59409022,0.00000000,0.00000000,0,09:45:19.2,0,0
3,0.04687347,9.36015511,0.00744735,-0.38614845,-6.33261442,-0.52881402,-0.50159717,-0.33635122,-0.49565244,-0.33338568,-0.13778365,-0.16599599,0.22735460,0.36129653,0.36124855,0.17530364,0.34435061,0.29554027,0.57395071,0.66479146,0.16066910,0.19454280,-0.07224685,-0.07633907,0.06584389,0.00000000,2.33733702,-0.96237743,0.00000000,0.83342254,1.90225172,-0.52106130,0.00000000,0.00000000,0,09:45:19.3,0,0
4,0.22798917,5.96507788,0.13055195,-0.37032208,0.00000000,-0.46437445,-0.50159717,-0.28160366,-0.55958623,-0.31705847,0.09415770,-0.20574218,-0.08552739,0.32884651,0.29124188,0.08349431,0.31693089,0.22532439,0.09685381,0.34540367,0.08587500,0.05235559,-0.18488228,-0.16536441,-0.05595442,0.00000000,2.25532675,-1.30028021,5.47563648,0.69066405,1.90225172,-0.25069803,0.00000000,5.81855965,0,09:45:19.4,0,0
5,0.25150797,-0.13438419,0.20255248,-0.36649561,0.00000000,-0.10767008,-0.20773450,-0.28138888,0.07449118,-0.28841001,-0.09736390,-0.20910300,-0.02366463,-0.18512207,0.32921541,-0.05483852,-0.34108406,0.25458643,0.26563066,0.06183238,0.17053400,0.07471169,-0.16677877,-0.09182430,0.02644326,0.00000000,-0.36015886,-0.60742623,0.00000000,1.13060319,1.74126732,3.82767606,0.00000000,0.00000000,0,09:45:19.5,0,0
6,0.16478346,3.50513339,0.12996268,-0.31074619,3.96221948,-0.43186939,-0.48337039,-0.27922857,-0.55958623,-0.27814394,0.00701536,-0.20963898,-0.04901651,0.70736355,0.34353760,0.17986140,0.77738327,0.27423888,-0.00859422,-0.13852185,0.11938605,0.11973920,-0.12700079,-0.09538095,0.03078377,0.00000000,2.33733702,-1.91160631,-4.79523182,0.83342254,1.16029131,-0.08656596,0.00000000,0.00000000,0,09:45:19.6,0,0
7,0.36391112,3.68073654,0.28823560,-0.29719567,0.00000000,-0.17672163,-0.24962661,-0.29557079,-0.18611616,-0.28050274,-0.07021405,-0.21037993,0.04468770,-0.05415887,0.34091216,0.12077459,-0.22189847,0.30405945,-0.13851641,0.15371148,0.11938605,0.15786992,-0.12139874,0.00347562,0.11519337,0.00000000,-0.27664259,-0.96237743,1.25190556,1.13060319,0.78459972,1.76940751,0.00000000,0.00000000,0,09:45:19.7,0,0
8,0.17379658,5.54503441,0.17754093,-0.28695852,-6.33261442,-0.29220805,-0.35615757,-0.30478343,-0.49955866,-0.28978533,-0.08829152,-0.15838270,0.20559841,0.45980972,0.41226718,0.22370017,0.40413782,0.29500574,0.03253026,0.18624382,0.22149798,0.17931224,-0.09206025,-0.04218725,0.07951032,0.00000000,0.10261988,-1.61442566,3.96524024,0.69066405,-1.41586494,0.48253644,0.00000000,0.00000000,0,09:45:19.8,0,0
9,0.24277674,0.00000000,0.18800710,-0.27742615,0.00000000,-0.48348498,-0.48422086,-0.29512426,-0.49728292,-0.28155440,0.02508927,-0.18543375,0.04468770,-0.06829873,0.35375401,0.09268933,-0.07447907,0.32678673,0.20153019,0.13981134,0.20863469,0.15441440,-0.12139874,-0.02370001,0.07951032,0.00000000,-0.27664259,-1.30028021,-2.56321573,1.13060319,0.78459972,-0.11974800,0.00000000,0.00000000,0,09:45:19.9,0,0
10,0.16963124,1.27311683,0.13459209,-0.33051568,0.00000000,-0.04514165,-0.13771713,-0.28592670,-0.10866269,-0.28257704,-0.10636543,-0.12276826,-0.03531176,-0.31415832,0.40996051,0.03223884,-0.09751052,0.31838977,0.47294012,0.45157281,0.19590124,0.21722558,-0.09206025,0.09033060,0.18111083,0.00000000,6.57320499,-1.91160631,-0.57150114,0.83342254,1.16029131,-0.87462419,0.00000000,0.00000000,0,09:45:20.0,0,0
11,0.20742203,1.27311683,0.16913120,-0.32498139,0.00000000,-0.14343093,-0.19859235,-0.31398100,-0.04879301,-0.30206072,-0.09736390,-0.19936909,-0.30871430,0.61402386,0.28692269,0.28739503,0.40413782,0.30759507,0.00963256,-1.24076843,0.23303260,0.03822131,-0.20884119,-0.03191131,0.06816902,0.00000000,-0.25002930,-0.60742623,0.00000000,1.13060319,-0.25115824,0.00000000,0.00000000,0.00000000,0,09:45:20.1,0,0
12,0.28650436,-5.67941856,0.15599295,-0.29524142,3.96221948,-0.14056292,-0.23109743,-0.26982954,-0.04879301,-0.27435276,-0.08829152,-0.18543375,-0.21352327,-0.56169432,0.33080816,-0.02948351,-0.29093704,0.27604821,-0.20236818,-0.13852185,0.11938605,0.17677265,-0.09393317,0.04207852,0.12987372,0.00000000,-0.25002930,-0.96237743,1.25190556,1.13060319,0.78459972,0.30131921,0.00000000,0.00000000,0,09:45:20.2,0,0
13,0.04291537,5.96507788,-0.00594339,-0.29940197,3.96221948,-0.09382104,-0.15236579,-0.23385213,-0.22197242,-0.29872501,0.20932156,-0.20963898,-0.01916407,0.78783685,0.28844696,0.17986140,0.74077761,0.27231914,0.39133409,-0.52829415,0.11222316,0.07471169,-0.19984640,-0.08308239,0.07283401,0.00000000,5.37128782,-1.61442566,-4.79523182,0.55146766,0.88916999,-1.40468585,0.00000000,0.00000000,0,09:45:20.3,0,0
14,-0.04016632,-5.67941856,-0.08693227,-0.35089880,3.96221948,-0.35735303,-0.35615757,-0.31347275,-0.37021685,-0.32519513,-0.11981243,-0.19822904,-0.09916353,0.01112423,0.33170894,0.10212453,0.04187383,0.18445206,-0.44581211,1.12887275,0.00935980,0.27638948,0.00877812,-0.13615611,0.00888562,0.00000000,-0.40356874,-0.96237743,0.00000000,0.69066405,-1.14474368,11.83399868,0.00000000,0.00000000,0,09:45:20.4,0,0
15,0.12013908,5.96507788,0.07782664,-0.32895282,3.96221948,-0.37228999,-0.32295671,-0.28160366,-0.44068086,-0.31705847,0.18241464,-0.26293546,-0.03725631,-0.01658374,0.27593398,-0.00624624,-0.01732690,0.22344744,-0.10339167,0.77721661,0.01374582,0.05362502,-0.14666049,-0.18646900,-0.03872664,0.00000000,3.61657572,-1.61442566,-4.79523182,0.55146766,0.63487297,-1.78767025,0.00000000,0.00000000,0,09:45:20.5,0,0
16,0.12482309,9.36015511,0.12408455,-0.35040361,-6.33261442,-0.10511047,-0.23109743,-0.33232948,0.12309712,-0.29807100,-0.34246320,-0.13672633,0.04468770,-0.68680441,0.39726806,0.02416816,-0.63792068,0.30759507,0.31555602,-0.46855745,0.24607621,0.11973920,-0.17692854,0.03019964,0.12245709,0.00000000,-0.20533082,-0.96237743,0.00000000,1.13060319,-2.86849308,10.14482117,0.00000000,0.00000000,0,09:45:20.6,0,0
17,0.20090605,-0.13438419,0.16169888,-0.32661593,-6.33261442,-0.12524150,-0.20773450,-0.31180492,-0.11791328,-0.25360161,-0.18473904,-0.14512224,-0.03531176,-0.70092988,0.35797864,-0.07107955,-0.26805812,0.34672397,0.06015612,0.13981134,0.32639912,0.15786992,-0.13959573,0.02689908,0.11121343,0.00000000,-0.23216027,-0.96237743,0.00000000,0.97998226,-0.86425930,4.78429222,0.00000000,0.00000000,0,09:45:20.7,0,0
18,0.28368688,-5.67941856,0.25994799,-0.27742615,3.96221948,-0.37792814,-0.42083687,-0.24713016,-0.49565244,-0.25034267,0.23177007,-0.14444737,0.05386189,0.04365656,0.36919203,-0.01832451,0.19655016,0.31838977,0.59667802,0.40514034,0.14648874,0.17586783,-0.12139874,-0.11453269,0.04752138,0.00000000,2.39413333,-1.30028021,-2.56321573,0.83342254,1.16029131,1.07991636,0.00000000,0.00000000,0,09:45:20.8,0,0
19,0.28847507,5.96507788,0.24079674,-0.27742615,3.96221948,-0.42116731,-0.40973788,-0.22150199,-0.49565244,-0.27330974,0.14373039,-0.04887177,-0.07745830,0.26982865,0.42266622,0.19066028,0.39026099,0.26650569,-0.92709708,0.40514034,0.04391266,0.17677265,-0.12139874,0.01523455,0.14268306,0.00000000,5.45434046,-1.91160631,-2.15511847,0.69066405,0.88916999,0.15987808,0.00000000,5.81855965,0,09:45:20.9,0,0
20,0.30506963,9.36015511,0.25994799,-0.30125496,0.00000000,0.00449874,-0.12294986,-0.25384283,-0.01422603,-0.25143471,0.23177007,-0.15532333,-0.11430490,-0.13868962,0.38196015,0.01504717,-0.11123776,0.33715519,0.61490476,-0.13852185,0.19590124,0.11650107,-0.12700079,-0.06896493,0.02644326,0.00000000,-0.30755615,-1.30028021,-2.56321573,0.83342254,0.20362370,2.94407201,0.00000000,0.00000000,0,09:45:21.0,0,0
