Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190412144411
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1944,1376,653,615,753,0,637,606,695,0,757,677,703,645,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,124,124,6,6,6,6,31,31,22,22,6,6,44,44,6,6,15,15,7,7,6,6,6,6,6,6,6,6,7,7,6,6,6,6,15,15,6,6,6,6,15,15,7,7,6,6,31,31,22,22,31,31,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,28,28,6,6,15,15,6,6,6,6,6,6,15,15,7,7,6,6,6,6,6,6,6,6,6,6,15,15,49,49,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,50.48,100.00,28.41,100.00,15.09,41.56,2.76,12.28,1.66,4.15,8.86,1.00,1.60,2.26,1.26,26.36,3.16,3.49,1.21,21.40,1.93,41.74,2.10,3.04,2.88,5.18,1.78,63.21,2.51,3.46,1.40,35.23,1.57,100.00,2.39,2.91,1.93,2.92,2.20,4.65,2.54,4.03,1.76,3.56,1.00,1.00,1.92,1.00,2.28,100.00,100.00,100.00,100.00,1.00,100.00,100.00,39.36,54.19,100.00,100.00,100.00,100.00,100.00,1.00,89.77,100.00,6.55,19.25,2.48,12.50,1.24,3.31,2.82,4.92,2.76,3.32,1.17,21.49,1.07,18.01,2.17,4.72,2.45,3.94,1.00,19.96,1.00,9.33,1.67,2.39,1.96,2.82,1.07,2.59,1.89,6.48,100.00,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/12 14:44:15
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.88731462,-1.41726303,1.07669699,-0.42881802,-0.37040323,-0.04254373,-0.09303220,-0.22669613,-0.30203649,-0.39365718,-0.15134935,-0.13264135,-0.07671667,0.12700251,0.39393926,-0.23002464,0.15669273,0.26599666,-0.25460628,1.28026628,0.05596759,-0.13061422,-0.22908880,-0.11806554,-0.18009578,-1.61316323,0.16016330,0.35070691,-0.70031035,0.64627135,0.44436949,-0.49238572,0.00000000,-3.72762942,0,14:44:24.1,0,0
2,4.70243549,-2.64546514,0.22823177,0.31319398,-0.18894583,-0.93438607,-0.35872573,-0.21415043,-0.42409751,-0.39365718,-0.08075910,-0.14625539,0.09017871,0.12700251,0.42551374,-0.20219982,0.31971520,0.23986639,0.12596084,4.31363678,0.06483617,-0.11497212,-0.21491453,-0.15284750,-0.20297472,-1.70950675,0.13102838,0.33144265,0.64805698,-0.35737193,-0.40409571,-0.51275361,0.00000000,-4.80971336,0,14:44:24.2,0,0
3,-1.34470189,2.39837050,1.07669699,0.21014419,-0.23636387,-0.32224697,-0.15410793,-0.21415043,-0.42409751,-0.40278575,-0.13334920,-0.14329946,-0.01790629,-0.01385695,0.41106799,-0.24391285,0.13923261,0.27991706,0.23759432,3.59442210,0.06483617,-0.09675998,-0.18956590,-0.15284750,-0.19216251,-2.56291866,0.16988948,-0.59138626,-3.00503588,-0.35737193,-4.05718851,-1.61139894,-7.23862886,-5.76482153,0,14:44:24.3,0,0
4,0.88731462,-1.41726303,1.07669699,-0.42881802,-0.50589699,0.28158665,-0.05633445,-0.21798176,-0.34302497,-0.40657473,-0.15579863,-0.16533951,0.06271312,-0.25308904,0.37656134,-0.28487897,-0.19529253,0.23183408,-0.16829406,2.60136080,0.04844182,-0.15417673,-0.23810124,-0.17426617,-0.22193921,-1.70950675,0.16988948,-0.12222037,0.14815485,-0.35737193,-0.40409571,-0.68382019,-7.23862886,-3.37226272,0,14:44:24.4,0,0
5,-1.34470189,-2.64546514,0.22823177,-0.03713539,-0.18894583,-0.26410204,-0.20629880,-0.21415043,-0.54356450,-0.41115391,-0.17815688,-0.22634274,-0.02405663,0.16590726,0.33579263,-0.30593547,0.40610331,0.20165126,0.08442243,3.55802822,0.02531637,-0.13937746,-0.21245861,-0.17657794,-0.19010299,-1.64715230,0.16016330,0.73274893,0.86965817,-0.79793572,-0.18249467,-0.96533936,-2.45918941,-6.39327335,0,14:44:24.5,0,0
6,-1.34470189,6.21349192,1.47403681,0.73526388,0.36393699,0.27536815,-0.04483009,-0.19174469,-0.50399327,-0.40316656,-0.17815688,-0.18398499,-0.12697387,0.07687032,0.34676340,-0.27832213,0.25869387,0.24212493,0.26343375,3.54441428,0.03981458,-0.14757457,-0.24733709,-0.21136263,-0.23848498,-0.71274245,0.15045463,0.68954396,1.60472465,0.12160705,1.40103710,-0.23634356,0.00000000,-3.03459311,0,14:44:24.6,0,0
7,-2.92831898,0.16635422,1.07669699,0.46389791,0.08058728,0.06770444,-0.00360312,-0.18280925,-0.38371047,-0.37990728,-0.22343583,-0.13264135,-0.07671667,-0.38551974,0.40170345,-0.30787200,-0.20837890,0.22822067,0.11670946,2.64234924,0.06483617,-0.09586906,-0.20080040,-0.14084964,-0.17957251,-1.61316323,0.22372203,0.74238950,0.64805698,-0.79793572,0.55257195,0.00626630,-11.05374908,-2.57781053,0,14:44:24.7,0,0
8,-4.15652132,-1.41726303,1.07669699,-0.03713539,-0.37040323,-0.57784867,-0.17256485,-0.15299526,-0.38371047,-0.38068756,-0.00448398,-0.13264135,0.09473178,0.00438539,0.39723614,-0.24355328,-0.01379589,0.26396152,0.32814327,-1.02898574,0.07302006,-0.14879595,-0.25227553,-0.15038338,-0.18981355,-1.70950675,0.25335303,0.41872919,0.64805698,-0.35737193,0.55257195,-0.65903085,1.35593128,-5.25376892,0,14:44:24.8,0,0
9,-1.34470189,6.21349192,1.07669699,0.34358123,-0.30334353,-1.47751117,-0.45460829,-0.17283170,0.07155225,-0.37458247,-0.06275894,-0.14341043,-0.31522471,0.13616174,0.38008243,-0.21615832,0.31090957,0.24895792,-0.13573445,1.30312562,0.07816516,-0.10412737,-0.20562406,-0.12586015,-0.17436749,-3.11712170,0.29302901,-0.50355762,-2.15657067,0.64627135,-3.20872331,-0.94808066,0.00000000,0.00000000,0,14:44:24.9,0,0
10,0.88731462,-1.41726303,0.74079204,-0.03713539,0.08058728,-0.20290966,-0.12154531,-0.16859025,-0.34302497,-0.37990728,-0.21892753,-0.14840208,-0.02707288,-0.13130440,0.38953179,-0.27129507,-0.04429339,0.22291285,0.04137430,3.59442210,0.04844182,-0.08763143,-0.21491453,-0.13958694,-0.18981355,0.73939496,0.29302901,-0.00081911,0.14815485,0.12160705,0.44436949,-0.65589917,0.00000000,-2.65084505,0,14:44:25.0,0,0
11,-4.15652132,0.16635422,1.58925724,-1.13815439,-0.83605593,0.26692563,-0.05341814,-0.14875381,-0.01102783,-0.38833240,-0.16474199,-0.11899356,-0.02251982,-0.23484670,0.40245447,-0.25713718,-0.19529253,0.24527109,-0.15440470,2.62410688,0.06586367,-0.10587375,-0.21473575,-0.15038338,-0.17893960,-1.21924353,0.28308296,-0.54764712,-2.15657067,0.12160705,-2.20508003,0.40196794,0.00000000,0.00000000,0,14:44:25.1,0,0
12,0.88731462,0.00000000,1.07669699,0.48014942,-0.24337171,-1.68522894,-0.45368204,-0.16289888,0.07155225,-0.38833240,-0.09864540,-0.18899712,-0.35654330,0.00438539,0.33907357,-0.24391285,-0.02251869,0.21219476,-0.38466820,-1.00159967,0.03196623,-0.10499762,-0.22186083,-0.16121480,-0.19510187,4.80542278,0.30801249,-1.86164343,1.30108190,1.22618818,-0.97687793,0.68659198,0.00000000,0.00000000,0,14:44:25.2,0,0
13,0.88731462,0.16635422,1.07669699,0.21014419,-0.09404396,-0.30410394,-0.17595193,-0.18421842,-0.13963862,-0.42024505,-0.10756663,-0.15179236,-0.05906511,-0.15405051,0.36982271,-0.30819097,-0.23004812,0.20957522,-0.00026900,2.61500859,0.01717278,-0.12949710,-0.24244371,-0.19686289,-0.22937913,-3.11712170,0.25335303,-0.02532658,-0.70031035,0.64627135,0.09964542,-0.66788208,0.00000000,-5.67698812,0,14:44:25.3,0,0
14,0.00000000,2.39837050,1.18484771,-0.18153845,-0.30334353,-0.20290966,-0.15695722,-0.17994046,-0.26531261,-0.41225770,-0.12094927,-0.17009439,-0.30678818,-0.52589017,0.33824921,-0.33530352,-0.80859572,0.20686813,0.16832414,-1.04716742,0.03880063,-0.12949710,-0.25227553,-0.19686289,-0.19736049,-0.83278024,0.25335303,0.38461316,-0.70031035,0.64627135,-0.90399790,-0.52968931,0.00000000,0.00000000,0,14:44:25.4,0,0
15,4.70243549,0.00000000,0.74079204,0.73526388,0.19172411,0.64921409,0.07488385,-0.14149645,0.07155225,-0.38905901,-0.23682848,-0.14282158,-0.20050004,-0.24397525,0.39393926,-0.28511390,-0.20837890,0.21756256,-0.27317154,1.28026628,0.04939473,-0.13229311,-0.24733709,-0.10453096,-0.17602882,0.69834083,0.34808546,0.49750385,1.15179813,1.87455893,2.91146469,0.40196794,0.00000000,0.00000000,0,14:44:25.5,0,0
16,0.00000000,6.21349192,-1.75121999,0.34358123,-0.00461250,0.20419143,-0.02754788,-0.12994330,-0.18184933,-0.38905901,-0.00899227,-0.10781972,-0.25182199,0.11785878,0.40170345,-0.22821544,0.26299945,0.28090647,0.14451072,-1.02445900,0.11921898,-0.13971259,-0.26151136,-0.12586015,-0.17602882,-1.54494643,0.29803938,-0.00081911,0.14815485,0.64627135,0.09964542,0.37374815,0.00000000,0.00000000,0,14:44:25.6,0,0
17,-2.92831898,2.39837050,-1.92371404,0.81422728,0.50867528,0.79396731,0.16665186,-0.12566802,-0.18184933,-0.38524058,-0.09415174,-0.16204987,-0.20511357,-0.13130440,0.36295956,-0.29428810,-0.22574253,0.22732250,0.13989617,4.32273483,0.07302006,-0.11223911,-0.24021433,-0.14084964,-0.18926997,-2.06791854,0.29803938,0.01884146,-0.08700953,0.64627135,1.40103710,-0.50195056,0.00000000,-4.38289165,0,14:44:25.7,0,0
18,-4.15652132,2.39837050,-1.48070157,-0.37184045,-0.30334353,-0.58594447,-0.15252846,-0.11842045,-0.34302497,-0.38524058,-0.17367052,-0.15644661,-0.20966664,-0.14948612,0.35446775,-0.30819097,-0.07462350,0.22732250,-0.06658808,2.62863350,0.05565429,-0.11587177,-0.23120920,-0.15157633,-0.19736049,-2.06791854,0.28308296,0.44323668,-0.08700953,-0.35737193,-0.40409571,-0.81984061,-7.23862886,-6.83732891,0,14:44:25.8,0,0
19,4.70243549,2.39837050,0.00572550,0.07221527,-0.15860525,-0.56696188,-0.24506699,-0.11705450,-0.01102783,-0.37990728,-0.12536618,-0.11899356,-0.02251982,0.09051808,0.38689005,-0.24203426,0.25869387,0.24160329,-0.15901925,-1.03808403,0.05666610,-0.13768080,-0.23322296,-0.13175850,-0.15706435,-1.54494643,0.30801249,0.47771949,1.49652219,0.64627135,-3.20872331,-0.36624175,0.00000000,0.00000000,0,14:44:25.9,0,0
