Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190418091154
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1909,1356,643,609,683,0,627,600,685,0,687,635,823,716,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,49,49,6,6,7,7,6,6,6,6,22,22,6,6,6,6,24,24,6,6,7,7,7,7,6,6,7,7,6,6,6,6,7,7,6,6,6,6,14,14,6,6,6,6,6,6,7,7,6,6,6,6,15,15,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,49,49,6,6,14,14,7,7,6,6,7,7,49,49,7,7,6,6,6,6,7,7,7,7,6,6,7,7,28,28,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,57.08,86.76,31.02,100.00,21.34,100.00,3.67,12.41,1.63,5.75,1.66,4.46,6.37,15.00,1.84,2.54,1.27,27.43,3.42,4.03,1.30,22.70,2.06,43.53,2.35,3.95,2.94,5.53,2.39,100.00,2.30,3.57,1.39,30.72,1.43,94.79,2.45,3.39,2.55,4.01,1.78,4.01,4.14,7.07,1.57,3.83,100.00,1.00,1.92,100.00,45.36,1.00,100.00,100.00,1.00,1.00,100.00,100.00,42.85,64.20,100.00,100.00,100.00,100.00,100.00,1.00,69.86,100.00,5.07,11.12,6.15,42.92,1.02,2.87,2.45,3.59,3.21,3.78,1.00,18.29,1.25,19.49,2.85,2.97,2.51,4.50,1.00,14.21,1.00,16.60,2.73,4.25,2.77,4.07,1.06,2.42,1.75,5.82,1.32,41.30,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/18 09:11:59
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,1.47274423,-0.22171707,-0.23348254,-0.13916695,-0.42790323,-0.26684493,-0.22214060,-0.44342071,-0.46563503,-0.05921736,-0.16167301,-0.01009147,-0.00102899,0.36632833,-0.29845852,0.41654074,0.13806169,0.11080860,0.26668248,-0.14503002,-0.38286263,-0.52460700,-0.25922549,-0.41720954,1.46222937,10.17401791,-0.42707384,3.36856389,0.00000000,0.06102867,-0.39362931,0.00000000,-1.12110698,0,09:12:08.1,0,0
2,0.00000000,0.00000000,-0.21726546,-0.71113521,-0.77510673,-0.41072285,-0.33228838,-0.21656792,-0.42992109,-0.44664037,-0.17127901,-0.18249162,0.03862877,-0.01498543,0.40281427,-0.22932136,0.08363396,0.20655032,-0.19853489,0.05121626,-0.04736100,-0.34676540,-0.51244360,-0.22175576,-0.40722540,-0.76978713,-0.43586084,-0.64131606,-3.09634829,0.00000000,-0.05913650,0.75946766,0.00000000,0.05098505,0,09:12:08.2,0,0
3,0.00000000,1.47274423,0.02558336,-0.07844955,-0.03100569,-0.39110959,-0.30767438,-0.19031221,-0.40799996,-0.45573571,-0.01966916,-0.10461672,0.34340417,-0.03347266,0.46161252,-0.26636559,0.27917734,0.21546160,0.15243436,0.35466856,-0.05195290,-0.29716301,-0.49842560,-0.24286091,-0.40858895,-0.76978713,12.52179813,-0.42707384,0.43657917,0.00000000,-0.94261461,-0.62461406,0.00000000,-2.23429847,0,09:12:08.3,0,0
4,0.00000000,0.00000000,0.04666238,-0.52516246,-0.42477736,-0.08360512,-0.13976611,-0.21202667,0.07939417,-0.43738720,-0.17127901,-0.10793070,0.04752832,-0.05189836,0.40447223,-0.28498369,-0.53537732,0.20588577,-0.11107028,0.03355931,-0.06894201,-0.36769417,-0.53104061,-0.24450192,-0.42557389,5.27735043,-0.46478289,0.03334801,1.94748771,0.00000000,1.52448070,1.83570349,0.00000000,0.00000000,0,09:12:08.4,0,0
5,0.00000000,-0.75927228,0.29396284,-0.52283508,-0.42851949,-0.32231233,-0.20936853,-0.18138851,-0.25802842,-0.44191477,0.04348801,-0.19737288,-0.10359988,-0.19723517,0.35695505,-0.29253533,-0.00090544,0.21423070,0.20392622,0.57732075,-0.08681639,-0.36849102,-0.52916873,-0.29870135,-0.43932381,-2.35340428,-0.48398030,-0.64131606,0.55674440,0.00000000,1.75965655,-0.63607836,6.79254103,-3.48010302,0,09:12:08.5,0,0
6,0.00000000,1.47274423,0.29396284,-0.68475324,-0.63730937,-0.35807565,-0.25993076,-0.19031221,-0.27806973,-0.44104055,-0.09599596,-0.19342799,-0.05710766,-0.21093993,0.35695505,-0.31133312,-0.87335497,0.17772134,-0.15135829,0.31932670,-0.10553687,-0.34574485,-0.50607270,-0.26173285,-0.40356195,-2.35340428,-0.46478289,-0.42707384,0.43657917,0.00000000,-1.28733861,0.62543899,0.00000000,4.37245703,0,09:12:08.6,0,0
7,0.00000000,-2.34288955,0.47096840,-0.82044429,-0.52979434,-0.28465590,-0.18647094,-0.18897523,-0.27726015,-0.46014303,-0.05921736,-0.20585759,0.08610912,0.00806216,0.34594122,-0.27682057,0.20791215,0.15782380,0.21813037,0.54660380,-0.15632792,-0.39633158,-0.50428402,-0.29925361,-0.43995571,-3.58160663,10.15500355,-0.84747529,-0.44689888,0.00000000,0.75601333,-0.48098388,6.79254103,-3.87602282,0,09:12:08.7,0,0
8,0.00000000,1.47274423,0.04666238,-0.52283508,-0.32035822,-0.42544007,-0.26951289,-0.18897523,-0.21529198,-0.45190543,0.00834537,-0.18519366,-0.04963966,-0.03724319,0.32688996,-0.32441100,0.15812382,0.14667059,0.24620825,-0.02346293,-0.14206100,-0.39378113,-0.51534748,-0.33667934,-0.47334215,1.46222937,-0.54600132,-0.19913267,1.54982710,0.00000000,-0.05913650,1.12834811,0.00000000,0.56354529,0,09:12:08.8,0,0
9,0.00000000,-0.75927228,0.02558336,-0.11818220,0.02570409,-0.25567243,-0.21218623,-0.19186680,-0.18917140,-0.45190543,0.07703627,-0.24545693,-0.06711371,-0.38544324,0.29829338,-0.35017225,-0.05933584,0.14541568,0.17851897,1.00812387,-0.13522352,-0.35845515,-0.49500921,-0.27709448,-0.45975047,-2.35340428,10.16450214,-0.64131606,-0.79162294,0.00000000,0.01405301,0.32055473,-5.22348642,0.38758439,0,09:12:08.9,0,0
10,0.00000000,1.47274423,0.52410644,0.03266329,0.23514019,-0.11944927,-0.17402476,-0.17972034,-0.13855945,-0.42356625,0.04348801,-0.13644986,0.15679148,0.51162428,0.42444244,-0.23760489,0.93330330,0.20473027,0.13443419,-0.25778237,-0.05017659,-0.33303815,-0.51244360,-0.22475739,-0.40055740,-2.35340428,-0.45515919,-0.42707384,1.78494656,0.00000000,-0.83441216,0.12662062,-5.22348642,-0.93300998,0,09:12:09.0,0,0
11,0.00000000,5.28786516,0.06481004,-0.68475324,-0.53206885,-0.44471896,-0.28468335,-0.19031221,-0.55370659,-0.42723316,-0.09155960,-0.11602934,0.00065155,-0.02423680,0.42540276,-0.25320631,0.04122824,0.22461689,-0.01700700,0.06012046,-0.03749836,-0.31921935,-0.49842560,-0.24084434,-0.42723873,1.46222937,-0.44551864,-0.19913267,1.54982710,0.00000000,-0.78024465,1.16547918,0.00000000,0.00000000,0,09:12:09.1,0,0
12,0.00000000,-0.75927228,0.02558336,-0.52283508,-0.03100569,-0.30716926,-0.19339079,-0.18878122,-0.42284781,-0.45106643,-0.03726901,-0.19081973,-0.09913848,0.03548186,0.38607061,-0.28214979,-0.00928345,0.21494561,0.04323772,0.59937447,-0.05562702,-0.33663112,-0.50428402,-0.22409551,-0.41268289,-4.58524990,10.21707249,-0.84747529,-0.44689888,0.00000000,-0.94261461,0.02556354,-5.22348642,-1.81658649,0,09:12:09.2,0,0
13,0.00000000,5.28786516,0.57603830,-0.36780208,-0.21511768,-0.25641727,-0.23832379,-0.19046435,-0.29884741,-0.45106643,-0.11359581,-0.16996132,-0.03494729,-0.07031927,0.37536433,-0.27942264,0.24553844,0.20657402,0.19943255,0.31047237,-0.07793087,-0.35670128,-0.50129694,-0.26084960,-0.41429582,-2.35340428,12.50263500,-0.64131606,-0.79162294,0.00000000,0.75601333,0.17941277,-2.91876125,-2.29246283,0,09:12:09.3,0,0
14,0.00000000,1.47274423,0.57603830,-0.83978623,-0.32035822,-0.22746304,-0.17180368,-0.17538357,-0.18917140,-0.43730250,0.04348801,-0.20319712,0.06502802,0.13517775,0.37459308,-0.27943856,0.44567841,0.16518086,-0.24782565,0.56417406,-0.11356841,-0.35941520,-0.49678221,-0.15066828,-0.37166500,-0.76978713,13.86057568,-0.42707384,0.43657917,0.00000000,-1.28733861,-0.83589464,0.00000000,-1.74805665,0,09:12:09.4,0,0
15,0.00000000,1.47274423,0.25572696,-0.83978623,-0.32035822,-0.39282507,-0.29139429,-0.20253342,-0.34869534,-0.45190543,0.00834537,-0.10461672,0.16516139,-0.25652662,0.39360860,-0.36895588,-0.33377066,0.12979078,-0.12391756,0.55540949,-0.16179471,-0.34849456,-0.51244360,-0.33565363,-0.43995571,-0.76978713,-0.55546796,-0.42707384,1.78494656,0.00000000,-0.94261461,-0.23133308,0.00000000,1.18382466,0,09:12:09.5,0,0
16,0.00000000,1.47274423,-0.23026258,-0.38432804,-0.03100569,-0.41129118,-0.21707611,-0.18756689,-0.36770937,-0.46557245,0.06391938,-0.21296206,-0.00964623,0.17409700,0.30009851,-0.35017225,0.35872468,0.12073350,0.08011597,0.76307362,-0.19193929,-0.37466830,-0.49159428,-0.35021472,-0.45327100,-3.58160663,13.75138474,-0.84747529,-0.44689888,0.00000000,1.01769626,0.39411512,4.48781586,-0.43314910,0,09:12:09.6,0,0
17,0.00000000,-0.75927228,0.02558336,-0.23348254,-0.03100569,-0.35641560,-0.28388384,-0.21139659,-0.42432883,-0.45561638,-0.06796164,-0.19342799,-0.04088147,0.22838511,0.33747426,-0.29586488,0.62284529,0.11738265,-0.23106100,0.26668248,-0.14787005,-0.41817072,-0.54031545,-0.24208418,-0.38563424,5.27735043,-0.48398030,0.03334801,3.36856389,0.00000000,1.01769626,-0.42088580,0.00000000,0.57752097,0,09:12:09.7,0,0
18,0.00000000,-0.75927228,0.32873788,-0.83978623,-0.74547064,-0.11167936,-0.18776874,-0.16632268,-0.08695536,-0.43274817,-0.11359581,-0.19236572,0.02087238,-0.18806097,0.39613244,-0.30845052,-0.00090544,0.18484329,-0.03049887,0.85522628,-0.06180698,-0.32197469,-0.48727891,-0.28071266,-0.38881519,1.46222937,-0.47439018,-0.19913267,-0.28452876,0.00000000,-1.28733861,-0.20422545,0.00000000,1.18382466,0,09:12:09.8,0,0
19,0.00000000,-0.75927228,-0.22171707,-0.38432804,-0.13916695,-0.22141162,-0.20936853,-0.18878122,-0.23933214,-0.44279450,-0.03726901,-0.17261162,-0.02606923,-0.44500875,0.38367271,-0.33750290,-0.55640382,0.20777175,0.06566878,0.59937447,-0.06091047,-0.33570194,-0.48907986,-0.22475739,-0.36568698,-0.76978713,-0.44551864,-0.42707384,-0.03379025,0.00000000,0.06102867,-0.17963469,0.00000000,7.23096228,0,09:12:09.9,0,0
