Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190412140407
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1685,1224,693,639,708,0,637,606,765,0,707,647,723,657,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,7,7,6,6,6,6,44,44,24,24,6,6,48,48,6,6,56,56,6,6,7,7,6,6,6,6,12,12,6,6,6,6,6,6,6,6,6,6,6,6,14,14,7,7,6,6,6,6,7,7,88,88,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,60,60,31,31,6,6,28,28,6,6,7,7,6,6,49,49,12,12,6,6,6,6,6,6,6,6,6,6,7,7,15,15,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,65.71,84.45,100.00,100.00,100.00,100.00,14.62,25.09,3.64,22.62,1.32,2.75,12.88,1.00,1.63,2.43,1.82,20.19,2.08,2.49,1.74,35.57,1.51,25.74,2.28,3.51,3.65,6.32,1.52,41.09,2.70,3.86,1.65,43.63,1.49,39.59,2.57,3.17,2.09,3.00,2.10,3.94,3.36,4.92,1.75,3.49,100.00,1.00,2.11,81.64,1.00,1.00,100.00,100.00,24.76,1.00,100.00,100.00,38.50,49.62,1.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00,8.44,15.40,5.16,26.08,1.91,5.31,2.13,5.77,2.27,2.85,1.70,35.15,1.00,13.46,3.13,3.18,2.01,3.55,1.00,4.69,1.39,3.10,13.45,8.26,1.74,2.26,1.12,2.38,2.56,6.90,1.33,45.13,7.89,100.00,1.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/12 14:04:11
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.35985464,3.13465858,0.00000000,0.26182029,-1.04892540,-0.27227557,0.33667424,-0.30336857,-0.35484174,-0.12144601,-0.10241831,-0.18385591,0.18925674,-0.03560315,0.15118708,0.15468401,0.20054945,0.05987395,0.14554861,-0.08335464,-0.29387391,0.02574104,-0.17080285,0.02550510,-0.07017762,0.00000000,0.94225204,0.45673978,1.19974530,-0.26551616,0.00000000,0.00000000,0,14:04:20.1,0,0
2,0.00000000,7.14915085,0.44283885,2.13101554,0.00000000,0.73924214,0.34029210,-0.25713834,-0.22822645,-0.28547570,-0.49741539,-0.09827250,0.08951906,-0.17458861,0.20013069,0.03213194,0.06341083,0.14671086,-0.01479470,-0.04416687,0.12636532,-0.06838108,-0.26341063,0.02594834,-0.16561106,0.02550510,-0.06038256,0.00000000,0.20029168,0.33181152,1.19974530,-0.70348787,0.00000000,0.00000000,0,14:04:20.2,0,0
3,0.00000000,3.33402991,-0.11661777,0.67624646,0.00000000,-0.72440153,-1.88323355,-0.25820988,0.41232535,-0.28547570,-0.40496638,-0.08997308,0.00760539,-0.34712365,0.21093585,-0.08547889,-0.30092210,0.14671086,-0.12498266,0.04598575,0.13736488,-0.11018726,-0.30302560,-0.06217605,-0.20735817,-2.20651126,-1.13938534,0.00000000,-0.64817357,0.21445675,-3.91679955,-0.70348787,0.00000000,0.00000000,0,14:04:20.3,0,0
4,0.00000000,-1.70980608,-0.41573939,-1.28710771,-1.63019466,-0.38297924,-0.23593648,-0.26651627,-0.29555377,-0.28547570,-0.40496638,-0.08895057,0.07556057,-0.21156389,0.18178220,-0.05357436,0.02379945,0.11637111,-0.41481817,-0.07656239,0.06627702,-0.12228703,-0.31221855,-0.02050495,-0.18394452,-2.20651126,-0.38862181,0.00000000,0.09378677,0.21445675,-0.26370683,-0.17263439,0.00000000,0.16636799,0,14:04:20.4,0,0
5,0.00000000,-0.48160386,0.35985464,1.06004393,1.72180855,-0.68248552,-1.99805951,-0.26398993,0.12148491,-0.29412213,-0.52266496,-0.13189270,-0.04814899,-0.34712365,0.14762966,-0.06947185,-0.08505535,0.08360261,-0.07330985,-0.07656239,0.05602049,-0.14790206,-0.30135152,-0.06665809,-0.21669357,0.02550510,-0.13345510,0.00000000,0.20029168,0.21445675,0.96449530,0.41539183,0.00000000,3.21336317,0,14:04:20.5,0,0
6,0.00000000,1.10201335,-0.41573939,1.06004393,5.53692961,0.27050349,0.84735399,-0.26863155,-1.20920837,-0.30357224,-0.32862046,-0.13195905,0.30211166,-0.23001555,0.15626122,-0.13447486,-0.23254333,0.09421815,-0.19705281,0.12484129,0.04674382,-0.16621438,-0.31611741,-0.05754998,-0.19805363,-2.20651126,-0.13345510,0.00000000,0.70009047,0.21445675,1.43492103,-0.59104657,10.88757038,-0.73653638,0,14:04:20.6,0,0
7,0.00000000,-0.48160386,0.13154213,-0.10088715,-1.63019466,-0.55112779,-1.17252874,-0.29301566,-0.48785853,-0.31774640,-0.42976576,-0.17691401,-0.19944373,-0.08977572,0.09435324,-0.09740930,0.09425485,0.09584580,0.32745346,0.02293459,0.03477351,-0.17526808,-0.31783804,-0.08484548,-0.21691036,0.02550510,0.14406191,0.00000000,0.94225204,0.33181152,-1.10498011,-0.17263439,0.00000000,0.00000000,0,14:04:20.7,0,0
8,0.00000000,-1.70980608,-0.07020285,-1.28710771,-3.86221123,0.44964260,-0.01770399,-0.30146372,0.56667072,-0.31877303,-0.21645893,-0.18699849,-0.23140895,-0.38855734,0.05242216,-0.16543870,-0.24998857,0.08710850,0.08875447,-0.12247276,0.01495891,-0.22933395,-0.36942154,-0.11654826,-0.23782653,0.02550510,-0.47121471,0.00000000,0.20029168,0.33181152,1.76863194,0.40672174,0.00000000,0.00000000,0,14:04:20.8,0,0
9,0.00000000,-1.70980608,-0.41573939,-0.68080395,-3.86221123,-0.36692384,-1.18758667,-0.30713278,-0.22822645,-0.32344282,-0.52804369,-0.19055872,-0.13979833,-0.33133802,0.05337043,-0.19622871,-0.27162367,0.02959908,-0.29461247,0.19390549,-0.03949881,-0.21836840,-0.33358377,-0.14793277,-0.24231233,-3.79012871,0.09592463,0.00000000,0.09378677,0.09484959,-1.61207426,0.93854034,0.00000000,1.51473546,0,14:04:20.9,0,0
10,0.00000000,-0.48160386,-0.38149956,-0.68080395,-1.63019466,-0.84379327,-0.83388168,-0.25928584,-0.16006504,-0.28936142,-0.39817747,-0.16412823,-0.38154191,-0.14208709,0.11074459,-0.04847700,0.01064019,0.08617404,-0.21490978,-0.09497257,0.06250562,-0.13051812,-0.33044532,-0.05288529,-0.18499771,0.02550510,-0.08971596,0.00000000,0.94225204,0.33181152,0.96449530,-0.37594122,0.00000000,-2.13835740,0,14:04:21.0,0,0
11,0.00000000,3.33402991,0.19467893,1.28255022,0.00000000,0.35785046,-0.26990348,-0.24992423,-0.22822645,-0.28547570,-0.37489673,-0.10410397,-0.03424885,-0.03434879,0.17943670,-0.05357436,0.14239386,0.09763519,-0.31018135,-0.19884288,0.08932819,-0.13782552,-0.32133946,-0.03433750,-0.19281222,0.02550510,-0.39839983,0.00000000,0.20029168,0.45673978,-1.10498011,-1.94523787,0.00000000,0.00000000,0,14:04:21.1,0,0
12,0.00000000,-2.71344924,0.27681643,-1.20546818,-5.44582844,0.20610471,0.11737747,-0.25349376,-0.48785853,-0.29389408,-0.47002795,-0.07961282,0.08484315,-0.18385591,0.20175394,-0.08547889,-0.17561112,0.13236196,-0.05538010,-0.08114215,0.07727658,-0.13873544,-0.33953649,-0.03439315,-0.16561106,0.02550510,-0.39839983,0.00000000,-0.64817357,0.21445675,-0.38387206,-0.37874556,0.00000000,0.00000000,0,14:04:21.2,0,0
13,0.00000000,1.10201335,0.19467893,-0.10088715,-1.63019466,0.19579914,-0.46672145,-0.23697717,-0.02109018,-0.27598450,-0.37489673,-0.09482916,0.06629327,-0.32395622,0.15959433,-0.06750768,-0.28770027,0.14403486,-0.15663308,-0.17105414,0.11421596,-0.12770772,-0.31396198,-0.02047116,-0.18992296,3.84062600,-0.74076635,0.00000000,1.20393491,0.33181152,-2.68859744,-0.84541935,0.00000000,0.00000000,0,14:04:21.3,0,0
14,0.00000000,0.00000000,0.44283885,3.13465858,0.00000000,-0.37004814,-0.49968070,-0.26180014,-0.02109018,-0.29495022,-0.51766187,-0.08997308,-0.14420201,-0.46329746,0.15890372,-0.06828433,-0.16236813,0.11099619,-0.43280685,-0.19420190,0.07727658,-0.12955356,-0.31396198,-0.00663860,-0.17648502,3.84062600,-0.37882677,0.00000000,0.24726729,0.21445675,0.18501461,2.48982430,0.00000000,0.00000000,0,14:04:21.4,0,0
15,0.00000000,1.10201335,-0.69938844,0.54748368,0.00000000,-0.55866009,-0.98247999,-0.26398993,-0.67844242,-0.29412213,-0.46007320,-0.15390834,-0.17648903,-0.35171074,0.09626680,-0.13447486,-0.20635270,0.11805295,0.03991354,-0.09034710,0.06414386,-0.15523511,-0.31957832,-0.05293973,-0.17648502,-2.20651126,-0.09945899,0.00000000,-1.60484123,0.21445675,-3.91679955,-0.96032667,0.00000000,-3.78353167,0,14:04:21.5,0,0
16,0.00000000,1.10201335,0.67115134,1.28255022,0.00000000,0.75383359,-0.01372234,-0.26398993,0.04970190,-0.28936142,-0.44458017,-0.14012361,-0.08958269,-0.20234314,0.12574604,-0.13177471,-0.10695191,0.09334386,0.11093224,-0.00456559,0.04931463,-0.19333033,-0.34779367,-0.07121199,-0.21590973,-2.20651126,-0.45189929,0.00000000,0.09378677,0.21445675,-0.38387206,-0.14137086,0.00000000,0.00000000,0,14:04:21.6,0,0
17,0.00000000,-0.48160386,-0.07020285,-0.70719087,2.18492651,-0.21459845,-1.31126642,-0.28291383,0.19414645,-0.29518920,-0.64655173,-0.13671793,0.08756118,-0.21156389,0.11361241,-0.08410242,-0.00243283,0.06960601,-0.25045148,-0.00002012,-0.00020401,-0.20146699,-0.35859013,-0.09862332,-0.21669357,3.84062600,-0.45189929,0.00000000,-0.75637597,0.45673978,1.19974530,1.28016973,0.00000000,0.00000000,0,14:04:21.7,0,0
18,0.00000000,1.10201335,0.26508731,0.67624646,0.00000000,0.75688016,-0.09040853,-0.30146372,0.72554564,-0.31320769,-0.46000186,-0.17325759,-0.23140895,-0.36093149,0.04354409,-0.15322527,-0.34906110,0.02959908,-0.40797806,-0.00456559,-0.03949881,-0.20318331,-0.34956640,-0.13021028,-0.21973430,0.02550510,-0.82335919,0.00000000,-0.75637597,0.58456928,1.12703633,-0.20600942,0.00000000,0.00000000,0,14:04:21.8,0,0
19,0.00000000,-1.70980608,-0.67292207,-0.68080395,-1.63019466,0.43165329,-0.68170691,-0.26424357,-0.29555377,-0.30357224,-0.55894172,-0.17781147,-0.12160133,-0.27618843,0.10774589,-0.09740930,0.10730715,0.08015371,-0.15333460,-0.11792728,0.02781016,-0.18254158,-0.33774528,-0.05293973,-0.19379586,0.02550510,-0.43251586,0.00000000,-0.64817357,0.33181152,-1.10498011,-0.49211177,0.00000000,0.00000000,0,14:04:21.9,0,0
