Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190411161504
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1764,1270,618,595,548,0,527,541,565,0,572,568,1298,996,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,144,144,6,6,6,6,44,44,44,44,6,6,44,44,7,7,6,6,6,6,6,6,6,6,72,72,6,6,6,6,15,15,7,7,7,7,15,15,6,6,6,6,30,30,6,6,6,6,15,15,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,72,72,31,31,6,6,7,7,15,15,6,6,60,60,15,15,15,15,22,22,28,28,6,6,72,72,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,16.11,24.78,11.46,37.75,21.77,100.00,11.57,1.00,2.12,3.16,8.52,100.00,2.20,2.29,1.31,18.14,5.49,100.00,13.04,14.02,16.41,17.18,4.02,98.40,13.07,11.97,3.40,100.00,2.63,97.62,7.38,7.79,2.22,2.86,1.39,3.23,3.91,4.15,2.25,5.68,100.00,100.00,2.45,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,57.96,64.75,100.00,100.00,59.25,51.09,100.00,1.00,94.34,100.00,8.85,14.53,12.21,34.06,2.60,10.43,2.90,4.93,3.02,3.14,2.00,44.70,7.13,70.36,71.49,99.90,4.53,5.18,1.39,100.00,1.43,32.81,2.44,2.90,2.62,3.04,1.00,2.95,1.00,1.00,100.00,1.00,100.00,100.00,1.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/11 16:15:07
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-1.84384942,2.80093431,-1.48772216,-0.07949011,0.20693238,0.32219237,0.01894789,-0.58582097,0.85468006,-0.82910782,0.20349959,-1.22612250,-0.64020485,0.58094281,-1.10455728,-0.96741390,1.25062668,-0.90180719,2.93368983,0.24338743,-0.80986154,-0.33944172,-0.90269810,-0.93870544,-1.01973104,3.17946243,-0.03955597,0.00000000,0.13835287,0.00000000,0.96765453,0.31571674,0.10172563,1.30144823,0,16:15:16.1,0,0
2,-1.84384942,-1.01418686,0.09589507,0.43307009,1.28376532,0.16337889,0.66420418,-0.23242277,0.24582618,-0.78692234,0.20349959,-1.21758568,-0.57852489,-0.91459590,-1.10455728,-1.19621336,-0.02666619,-1.05843902,2.14596677,0.32799110,-0.93015397,-0.28238854,-0.68539470,-0.91549933,-0.85036874,-5.10947847,-0.19968143,0.00000000,-2.60075760,0.00000000,-2.84780836,-1.31616104,-4.05846119,-1.28302312,0,16:15:16.2,0,0
3,1.97127175,-1.01418686,0.09589507,-0.07949011,0.32709768,-0.00660112,-0.61042976,-1.37310755,2.85141706,-0.69935220,-1.99123824,-1.14227474,-0.47395194,-0.15014741,-1.10455728,-1.05818403,0.49759868,-1.06923461,1.66947937,0.64761001,-0.93015397,-0.26048502,-0.59121710,-0.82381642,-0.82143247,0.00000000,-0.33329374,0.00000000,5.74623489,0.00000000,2.66628242,0.27128312,7.10553122,1.70502770,0,16:15:16.3,0,0
4,-1.84384942,0.00000000,-1.48772216,0.65557641,0.20693238,-0.20350166,-0.12203913,-0.08584251,1.79330444,-0.63209248,-0.29261029,-1.10854065,-0.49765730,-1.67536080,-1.10455728,-1.40346563,-0.58286268,-1.13768911,1.14725912,0.38989925,-0.94037139,-0.29009289,-0.62422329,-1.05898046,-0.88747919,4.82600164,-0.80065536,0.00000000,1.55942929,0.00000000,1.92432213,-0.19765954,3.29040980,0.15906572,0,16:15:16.4,0,0
5,1.97127175,-4.82982063,-0.53105456,-1.91408145,-2.87337828,0.47506079,0.87487268,-0.30321261,2.19487953,-0.60775894,-0.96135277,-1.10708153,-0.54080671,1.12266243,-1.10455728,-1.08463693,1.26656914,-1.05949473,2.84588718,0.35173777,-0.83735120,-0.30620503,-0.64616352,-0.86685324,-0.75837839,3.17946243,-0.79052693,0.00000000,-2.09366345,0.00000000,0.96765453,0.01781464,2.33374214,0.00921294,0,16:15:16.5,0,0
6,0.00000000,-1.01418686,1.05256271,-0.72786093,-1.02126968,0.48438612,0.85873401,-0.81577277,2.85141706,-0.59273958,-1.00024879,-1.07994211,-0.55422938,0.38315642,-1.10455728,-1.25883698,0.64765143,-1.08342540,1.15691912,0.38033414,-0.83891779,-0.29708704,-0.63134915,-0.96019036,-0.83975077,2.52127647,-0.89085603,0.00000000,0.21106185,0.00000000,-0.61596274,0.63066769,0.10172563,0.68160307,0,16:15:16.6,0,0
7,1.97127175,-6.05802250,-0.53105456,-1.91408145,-5.91316986,-0.73994762,-1.54763532,0.31690148,2.40721560,-0.49343860,-0.06991330,-1.01943171,-0.47609606,-0.41780779,-1.10455728,-1.22087693,0.26672947,-0.97712702,1.20236087,-0.54366952,-0.75537366,-0.25893924,-0.61016750,-0.84763372,-0.72134250,3.17946243,0.93401706,0.00000000,5.74623489,0.00000000,-0.38071284,-1.05012715,0.98537475,0.45498735,0,16:15:16.7,0,0
8,-4.07586575,2.80093431,-0.53105456,0.65557641,1.55529976,0.47832698,0.74333167,0.50792396,2.47565532,-0.47714862,-0.14513294,-1.00638008,-0.37888709,0.85903305,-1.10455728,-1.24181163,1.21888089,-1.23878503,1.13433874,0.11369580,-0.98615378,-0.26817489,-0.62047970,-0.78079885,-0.61618787,-1.22113597,7.37045479,0.00000000,-1.37255538,0.00000000,0.96765453,-1.03470290,0.10172563,-1.46280074,0,16:15:16.8,0,0
9,0.00000000,0.00000000,2.32791138,3.73588705,9.18605423,0.28950161,-0.19330436,0.31690148,3.59700251,-0.45449027,-0.10542617,-1.01065898,-0.58990675,-2.52121425,-1.10455728,-0.97127199,-1.44742703,-0.90689188,-0.10334556,-0.21579212,-0.73678112,-0.29708704,-0.63203937,-0.92233604,-0.85805911,3.17946243,-0.84089953,0.00000000,0.13835287,0.00000000,1.85130358,-0.06278780,0.98537475,0.61917055,0,16:15:16.9,0,0
10,-1.84384942,-1.01418686,0.09589507,-0.07949011,0.32709768,0.80490512,1.09038794,0.06386815,3.25472212,-0.46874860,-0.21939246,-1.01176798,-0.43294662,0.02653545,-1.10455728,-0.99803722,0.36369872,-0.98250175,-1.09277296,-0.16285385,-0.86741060,-0.27591503,-0.62723160,-0.87033027,-0.77768999,0.00000000,-0.80738336,0.00000000,0.13835287,0.00000000,0.96765453,1.63791871,0.98537475,1.90638876,0,16:15:17.0,0,0
11,1.97127175,0.00000000,0.09589507,3.73588705,7.83768702,-0.29314494,-1.56601715,0.63006598,3.25472212,-0.46262768,-0.14513294,-1.01007795,-0.49302784,-0.05117688,-1.10455728,-0.98404628,0.57829535,-1.04515564,1.69215333,0.16195981,-0.87818539,-0.26895273,-0.61548775,-0.87322611,-0.75996745,0.00000000,-0.87425417,0.00000000,3.95347381,0.00000000,0.96765453,-0.19765954,2.33374214,0.42930982,0,16:15:17.1,0,0
12,0.00000000,-1.01418686,0.09589507,-0.07949011,0.32709768,0.02285310,0.78162807,0.06386815,2.05968571,-0.43615219,-0.18021967,-0.98218876,-0.29986817,0.53159428,-1.10455728,-0.98020947,0.97668689,-1.08783126,2.12325287,0.09928686,-0.87275469,-0.31954169,-0.64211881,-0.91369545,-0.73242563,-1.29384470,3.13544726,0.00000000,0.21106185,0.00000000,-1.96433008,-0.74900830,-2.83025908,-0.90206403,0,16:15:17.2,0,0
13,1.97127175,0.00000000,-1.48772216,0.89773792,1.79054976,0.76741147,1.16812289,0.89511323,2.93248463,-0.38853347,0.50087756,-0.99621570,-0.46214622,-2.16572666,-1.10455728,-1.44527650,-0.86675167,-1.15145707,-2.47370601,-0.88403368,-0.96656460,-0.28934690,-0.66664815,-0.89141208,-0.80127376,-0.63565874,-0.87425417,0.00000000,0.13835287,0.00000000,1.85130358,1.02090311,0.98537475,0.96913207,0,16:15:17.3,0,0
14,-4.07586575,2.80093431,-1.48772216,1.16813660,0.32709768,0.87401485,1.91627908,0.38277751,2.05968571,-0.42440736,-0.25828847,-1.00059831,-0.32682475,1.03033030,-1.10455728,-0.92196482,1.51871133,-1.25330436,2.80089617,0.35173777,-1.01995397,-0.35009786,-0.67011946,-1.14513588,-0.85741115,-3.52586126,5.31353664,0.00000000,-3.67728066,0.00000000,1.92432213,-0.46392003,1.05839324,-0.54217762,0,16:15:17.4,0,0
15,-4.07586575,2.80093431,1.05256271,-0.07949011,0.20693238,0.38376164,0.84511226,0.89511323,2.69933248,-0.36361960,0.50087756,-0.95299596,-0.45051438,-0.07382946,-1.10455728,-1.10165322,0.28276435,-1.09918833,1.16663682,-0.54366952,-0.87818539,-0.34397483,-0.68853861,-0.88897789,-0.76928937,2.52127647,-0.89085603,0.00000000,2.44307828,0.00000000,-1.84416485,0.02309264,-2.83025908,0.81713647,0,16:15:17.5,0,0
16,1.97127175,0.00000000,-1.48772216,2.50768495,5.37093353,0.66717297,0.81958652,-0.06150270,3.77646995,-0.35088393,-0.81187361,-0.94331932,-0.50863779,0.23817563,-1.10455728,-1.12986207,0.54589492,-1.15795946,-2.46394825,-0.15311918,-0.90424758,-0.29009289,-0.62723160,-0.85952634,-0.77085304,0.00000000,-0.86426091,0.00000000,0.13835287,0.00000000,1.85130358,1.15237427,4.80049610,0.96913207,0,16:15:17.6,0,0
17,-1.84384942,-1.01418686,-1.25247228,-0.07949011,-1.02126968,0.15165938,0.99884939,1.03254199,2.12391353,-0.32202050,0.57670164,-0.95793021,-0.42722559,-1.20911062,-1.10455728,-1.38075995,-0.27866966,-1.08683407,4.17167187,-0.19177593,-0.83663398,-0.32021540,-0.64369184,-0.96019036,-0.80459505,-1.29384470,3.11246228,0.00000000,0.21106185,0.00000000,0.34070483,-1.29470587,0.10172563,-1.15423548,0,16:15:17.7,0,0
18,1.97127175,-3.24620318,-0.53105456,-0.72786093,-0.67654562,0.09095247,0.58225155,0.31690148,2.62160373,-0.34393996,-0.14513294,-0.95793021,-0.45051438,0.63288206,-1.10455728,-0.98404628,0.80834693,-1.10739613,1.66947937,-0.54366952,-0.88499749,-0.33628497,-0.66730517,-0.98231500,-0.78919947,-1.29384470,-0.89747471,0.00000000,-2.09366345,0.00000000,0.96765453,-0.37773877,0.98537475,-0.28728694,0,16:15:17.8,0,0
19,-1.84384942,0.00000000,1.05256271,1.15942097,1.71784055,0.83171993,0.89455301,0.07592610,3.42320275,-0.34491330,-0.81187361,-0.93230069,-0.39515993,-0.66832525,-1.10455728,-1.10165322,0.54589492,-1.05414391,2.12325287,-0.16285385,-0.86584485,-0.31252924,-0.65084493,-0.86951995,-0.80258334,2.52127647,-0.87425417,0.00000000,0.13835287,0.00000000,0.96765453,-0.06278780,2.33374214,0.92016822,0,16:15:17.9,0,0
