Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190418160549
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1694,1229,623,598,568,0,562,562,665,0,637,606,858,736,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,24,24,6,6,6,6,6,6,6,6,48,48,49,49,6,6,31,31,6,6,31,31,7,7,12,12,30,30,15,15,28,28,7,7,15,15,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,12,12,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,72,72,31,31,7,7,15,15,112,112,6,6,49,49,7,7,6,6,12,12,15,15,7,7,49,49,49,49,6,6,6,6,6,6,6,6
Digital Gain,43.59,1.00,100.00,1.00,86.53,100.00,100.00,100.00,100.00,100.00,15.67,20.59,100.00,100.00,100.00,100.00,9.77,12.66,1.34,1.75,10.03,1.00,2.95,2.49,1.13,20.91,3.26,52.76,13.82,15.19,5.72,7.02,2.44,100.00,5.44,6.31,2.27,81.85,1.99,79.27,5.08,5.85,2.50,3.70,2.05,4.69,4.83,6.05,2.00,4.21,1.00,1.00,1.60,54.19,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,50.82,61.05,1.00,100.00,100.00,100.00,100.00,1.00,95.44,100.00,8.24,13.22,17.94,69.86,1.00,1.00,2.99,4.61,2.80,2.55,1.34,31.40,100.00,100.00,100.00,100.00,3.94,4.76,1.25,33.40,1.00,21.00,2.09,2.70,2.20,3.01,2.47,4.59,2.11,6.07,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/18 16:05:53
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.13579780,-0.65985203,0.76824462,-0.62705243,0.60527653,0.41597041,0.00000000,-0.82824248,-0.88973200,0.06281395,0.00000000,-0.33723518,0.39933261,-7.52889347,-0.50838602,-1.01202238,-0.25492525,0.03665114,0.29837137,-0.18787123,-0.22829020,-0.18070494,-0.59934503,-0.14140055,-0.40965924,0.00000000,-0.20306389,0.00000000,2.22553158,0.00000000,0.80491191,0.10075816,0.00000000,-1.87155879,0,16:06:02.1,0,0
2,-0.13579780,-2.24346924,-0.93041086,-0.66222578,-1.52473760,1.47116327,11.32395267,-0.30357826,0.75937718,0.05692815,0.00000000,-0.31349736,0.61202097,-0.46939784,-0.12674238,-0.94657838,0.36110696,-0.00019968,0.58720279,0.26651445,-0.24727228,-0.14919306,-0.56827950,-0.18212985,-0.43227890,0.00000000,-0.11469574,0.00000000,1.34188271,0.00000000,3.99359608,1.43595302,2.18930840,-0.30863917,0,16:06:02.2,0,0
3,0.27142239,-0.65985203,0.87475240,-0.62015867,-1.62673998,-1.69244921,0.00000000,-0.08628219,1.95636499,0.09929237,0.00000000,-0.34927043,0.66175473,-1.54145360,-0.37949935,-0.72804976,-2.81251693,0.00777591,0.07556440,-0.18787123,-0.28605884,-0.18070494,-0.58031094,-0.14376244,-0.43893746,0.00000000,-0.35515749,0.00000000,2.29615831,0.00000000,3.99359608,1.60239875,2.18930840,-1.26525509,0,16:06:02.3,0,0
4,-0.13579780,-0.65985203,-0.08529981,0.29439023,2.12835503,-0.09265427,0.00000000,-0.30357826,-1.81053281,0.16128720,0.00000000,-0.24696435,0.88787323,1.26651192,-0.02124205,-0.72157902,3.23749733,0.14326675,0.55951810,0.48514426,-0.14502998,-0.09669642,-0.54996669,-0.05297505,-0.35379156,0.00000000,-0.00567635,0.00000000,-1.59010196,0.00000000,0.17796230,-0.27715114,2.18930840,0.25097331,0,16:06:02.4,0,0
5,0.06639983,1.57216442,-1.32209349,0.11490788,4.52239990,1.35422444,0.00000000,0.43838206,-0.14489430,0.20087139,0.00000000,-0.20632023,0.70629460,-1.49709868,-0.17665325,-0.75959718,-2.80039930,0.11279415,0.08971107,-0.61912966,-0.12031778,-0.09238160,-0.56438261,0.01538495,-0.33711708,0.00000000,-0.65696192,0.00000000,2.29615831,0.00000000,3.19895649,-1.58926976,0.00000000,0.00000000,0,16:06:02.5,0,0
6,0.06639983,1.57216442,-0.58008152,-0.01385492,0.70727891,0.68058342,2.31897378,-0.30357826,-0.27384537,0.22633183,0.00000000,-0.17487976,0.59155905,-3.29171371,-0.07864491,-0.92025924,-0.25492525,0.12690207,0.09772816,-0.07224803,-0.14334923,-0.08022658,-0.51406825,-0.03509080,-0.33158183,0.00000000,-0.52125084,0.00000000,-0.00648474,0.00000000,-2.12707281,-0.25070283,0.00000000,-2.61351919,0,16:06:02.6,0,0
7,0.06639983,-0.65985203,-0.91173136,-0.66222578,-1.62673998,-0.23839554,0.00000000,-0.30357826,-2.51892686,0.25892091,0.00000000,-0.15205839,0.80290103,-0.95994073,0.00979085,-0.72449499,-0.51563168,0.13332394,0.49652439,-0.30001032,-0.08781590,-0.05658191,-0.51294816,0.03281676,-0.32551897,0.00000000,-0.36113715,0.00000000,-0.00648474,0.00000000,-0.77870530,0.45457122,0.00000000,0.08304348,0,16:06:02.7,0,0
8,0.06639983,5.38728571,-0.91173136,0.72121161,4.52239990,0.79005396,3.16024709,-0.30357826,0.00770300,0.25892091,0.00000000,-0.19107516,0.76955372,-1.16276777,-0.12674238,-0.75959718,-2.80039930,0.10374457,0.46834570,0.19545485,-0.12895852,-0.04519340,-0.47591460,-0.07772515,-0.33036923,0.00000000,-0.12305128,0.00000000,-0.00648474,0.00000000,1.68856108,0.30233181,0.00000000,-1.87155879,0,16:06:02.8,0,0
9,-0.13579780,1.57216442,0.70273018,0.96337312,4.42039776,0.23032700,0.00000000,0.43838206,-1.23583221,0.24055892,0.00000000,-0.24005100,0.62418228,-3.29171371,-0.45097715,-1.03409111,-0.32713386,0.01232462,0.23625332,-0.04518699,-0.18348250,-0.06030485,-0.48196647,-0.08517633,-0.36547130,0.00000000,-0.44170409,0.00000000,3.73592734,0.00000000,3.03692842,-0.13111481,0.00000000,0.00000000,0,16:06:02.9,0,0
10,-0.33083084,1.57216442,0.39057678,-0.01385492,4.52239990,-1.14544916,10.14264297,-0.30357826,-5.14815855,0.23055428,0.00000000,-0.24827757,0.89192569,-0.98678207,-0.32751182,-0.93569422,-2.85263371,-0.00696377,0.18872175,-0.05425935,-0.23466086,-0.09793803,-0.49192274,-0.16788352,-0.37594789,0.00000000,-0.21980757,0.00000000,-2.31121016,0.00000000,0.80491191,-0.13786259,0.00000000,2.27423573,0,16:06:03.0,0,0
11,0.06639983,-0.65985203,0.94917411,-0.01385492,0.60527653,-0.55893016,0.00000000,-0.30357826,-3.43008161,0.21503645,0.00000000,-0.31185451,0.48583797,-0.12371946,-0.52163148,-0.73655975,0.42089367,-0.03305141,-0.03710318,-0.31799901,-0.28505281,-0.12194587,-0.48455313,-0.19894533,-0.39402127,0.00000000,-0.40082666,0.00000000,-2.31121016,0.00000000,-0.54345554,-1.15332162,0.00000000,-7.22327900,0,16:06:03.1,0,0
12,-0.33083084,-3.47167158,0.16114411,-0.72958237,-0.80362952,0.02344123,-2.88716364,-0.82824248,-0.73030216,0.21503645,0.00000000,-0.36037284,0.65768087,0.15718891,-0.63106102,-0.85563904,1.39237738,-0.04620074,0.46924675,0.34641024,-0.27933019,-0.13469908,-0.46268418,-0.26209065,-0.42648748,0.00000000,0.04262806,0.00000000,-1.59010196,0.00000000,-0.77870530,0.38876361,0.00000000,-0.30863917,0,16:06:03.2,0,0
13,0.27142239,5.38728571,0.14723182,0.96337312,4.42039776,-0.32263914,0.00000000,-0.08628219,3.59862089,0.22633183,0.00000000,-0.29320127,0.42059267,-7.32217073,-0.52163148,-0.77206367,-0.24684927,-0.06643824,0.12991476,-1.16463578,-0.25360075,-0.12979709,-0.45969465,-0.19894533,-0.40626168,0.00000000,-0.72632188,0.00000000,0.00000000,0.00000000,6.71952534,3.19752955,0.00000000,0.00000000,0,16:06:03.3,0,0
14,-0.33083084,-0.65985203,-1.30807865,-0.01385492,0.70727891,-0.14915010,0.00000000,-0.30357826,-2.24815607,0.28449610,0.00000000,-0.20695046,0.55202705,-0.55381459,-0.26943758,-0.79581463,0.36110696,0.04211748,0.22831088,-0.05425935,-0.16758502,-0.06883807,-0.42711163,-0.08517633,-0.34319463,0.00000000,-0.25303999,0.00000000,-3.89482737,0.00000000,1.68856108,1.23526442,0.00000000,-7.22327900,0,16:06:03.4,0,0
15,-0.51495636,-2.24346924,-0.99816000,-0.66222578,-1.62673998,-0.84267956,0.00000000,-0.82824248,2.14434767,0.30290031,0.00000000,-0.18601634,0.64906228,-4.37302971,-0.28928313,-0.99681503,-0.33509359,0.02721407,-0.31943801,-0.22740583,-0.20006782,-0.01085613,-0.39400515,-0.15843947,-0.33360571,0.00000000,-0.50867724,0.00000000,0.06414192,0.00000000,0.80491191,-0.84717977,0.00000000,0.00000000,0,16:06:03.5,0,0
16,0.48945701,5.38728571,0.14723182,0.11490788,4.42039776,1.09831226,0.00000000,-0.30357826,-0.57448721,0.31710875,0.00000000,-0.08420286,0.75496191,-0.12371946,0.08199119,-0.63945395,0.37303245,0.04211748,0.10980162,-0.21821289,-0.17426385,-0.01663030,-0.38061032,-0.08517633,-0.29253888,0.00000000,-0.47947392,0.00000000,-0.00648474,0.00000000,1.68856108,1.62255192,0.00000000,0.75032395,0,16:06:03.6,0,0
17,0.27142239,-0.65985203,0.43658438,-1.36211896,0.60527653,-1.28019047,10.14264297,-0.30357826,1.76525581,0.36549979,0.00000000,-0.18197814,0.49708214,-2.06182647,-0.37715465,-0.87485492,-6.40480423,0.09194923,-0.02774279,-0.25472376,-0.19033530,-0.03474740,-0.44227040,-0.13685904,-0.30436996,0.00000000,-0.81728411,0.00000000,-0.07919373,0.00000000,5.50368166,0.95679760,0.00000000,-2.61351919,0,16:06:03.7,0,0
18,-0.33083084,5.38728571,-1.69976139,2.08223701,0.10200242,0.23003881,10.14264297,-0.82824248,-2.60174465,0.46281961,3.95818090,-0.13726589,0.41446111,0.87540770,-0.32678059,-1.55400777,2.55300498,0.22179614,0.30149949,0.14143291,-0.20956476,-0.11234646,-0.79179406,-0.13685904,-0.35777116,0.00000000,-0.56662452,0.00000000,-0.00648474,0.00000000,-4.43179798,-0.70929414,0.00000000,-3.57018685,0,16:06:03.8,0,0
19,-0.33083084,-2.24346924,0.53881192,-2.01048970,-1.62673998,-0.41820958,-3.05644107,-0.30357826,-4.39419413,0.33414987,6.84718657,-0.23870501,0.48361075,-0.96080363,-0.39582053,-1.57648003,-0.17109717,0.17385131,0.31505972,0.02753808,-0.24435686,-0.13539763,-0.73357898,-0.21216604,-0.38122061,0.00000000,-0.65241683,0.00000000,0.71493292,0.00000000,-2.00690746,-1.41098619,0.00000000,-3.40222263,0,16:06:03.9,0,0
