Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190411153945
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1144,905,558,559,553,0,547,553,555,0,587,576,608,589,1724,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,7,7,6,6,6,6,31,31,49,49,6,6,49,49,6,6,15,15,14,14,6,6,6,6,48,48,6,6,6,6,14,14,14,14,7,7,7,7,6,6,6,6,24,24,6,6,6,6,6,6,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,72,72,72,72,72,72,7,7,7,7,112,112,6,6,31,31,24,24,88,88,7,7,31,31,7,7,7,7,7,7,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,80.31,85.63,100.00,100.00,1.00,1.00,14.04,29.05,63.62,1.00,28.45,100.00,33.21,1.00,2.97,1.73,1.59,32.89,9.16,4.14,6.08,51.54,7.79,100.00,11.09,12.71,23.02,30.69,6.14,100.00,5.33,5.46,6.05,1.00,5.82,1.00,9.59,10.39,3.47,4.53,2.56,3.86,3.88,4.16,2.23,3.46,1.00,1.00,1.61,37.34,1.00,1.00,100.00,100.00,100.00,1.00,100.00,100.00,37.78,58.75,1.00,1.00,25.62,91.61,100.00,1.00,100.00,100.00,7.00,13.91,32.41,1.00,1.00,1.00,7.76,7.52,6.59,3.14,2.49,54.28,9.24,25.46,98.40,100.00,3.98,5.06,1.61,100.00,57.22,100.00,3.37,3.94,2.97,3.61,3.10,4.07,2.82,5.38,1.92,78.14,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/11 15:39:51
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,-0.61010772,1.36520612,0.00000000,1.51538360,-9.57614422,0.11244694,-3.02706766,-0.87594634,-0.08779690,-1.24521482,-0.15173787,-1.04674602,-2.20944381,-2.02155685,-0.68075264,-1.37443662,-1.29202592,-0.88088715,-1.15336728,-0.80790395,-0.35118937,-0.87508106,-0.25705734,0.00000000,-0.47504342,0.00000000,1.18998384,4.73420238,-1.25969195,-0.07376234,0.00000000,-0.29256001,0,15:40:01.1,0,0
2,0.00000000,-1.97223961,-0.18095540,-0.32774934,0.00000000,1.57015240,-7.41348457,0.11244694,-2.88296986,-0.81345814,0.09146933,-1.38361371,0.39870942,0.33570519,-2.22841501,-1.49578381,2.27086401,-1.44357133,-1.49976921,-0.99277639,-1.26010478,-0.87492001,-0.39351204,-0.99491757,-0.30682027,0.00000000,0.22130449,0.00000000,-1.15848792,-2.89655232,0.53824890,-0.88072634,0.00000000,-0.27524483,0,15:40:01.2,0,0
3,0.00000000,1.84339416,-0.95286411,-0.21832569,0.00000000,1.47667050,-7.87886477,0.02377347,-2.83312249,-0.86457729,-0.14247240,-1.44666207,0.27449468,-0.05129945,-2.19716477,-1.88515115,0.86583388,-1.43063164,-1.41759348,-1.01580775,-1.11457109,-0.90976113,-0.42175165,-0.89130884,-0.26880801,0.00000000,0.19031030,0.00000000,0.06971414,-1.31293523,0.80978340,0.25400379,0.00000000,0.53252977,0,15:40:01.3,0,0
4,0.00000000,-3.20044160,0.72656590,-2.18857360,0.00000000,1.56935418,-8.62037086,0.15447555,-3.01775050,-0.77756715,0.20536187,-1.26694119,0.53045744,-1.04674602,-2.04073954,-2.13993740,-0.68075264,-1.32280922,-1.41759348,-1.01580775,-1.07883263,-0.85000265,-0.38570493,-0.77859658,-0.25157371,0.00000000,0.18370202,0.00000000,-0.65139389,0.91908109,-2.84330940,-0.53577799,0.00000000,-0.76949692,0,15:40:01.4,0,0
5,0.00000000,1.84339416,0.34813261,2.07966065,0.00000000,1.29289174,-9.86704826,0.10669847,-3.32290196,-0.84971172,-0.12874827,-1.33106434,0.46418914,0.95209795,-2.07819748,-1.06565440,3.31360507,-1.29213548,-1.33417177,-0.93711585,-1.03938258,-0.78157395,-0.36141887,-0.86152434,-0.27430129,0.00000000,-0.26128766,0.00000000,0.06971414,0.91908109,0.80978340,-1.15814042,0.00000000,-2.27153468,0,15:40:01.5,0,0
6,0.00000000,1.84339416,0.97132087,0.51674086,0.00000000,1.50836134,-10.92272377,0.15447555,-2.96452761,-0.75393647,0.32345811,-1.34445071,0.37297454,-0.38014284,-2.05661917,-0.82310295,-0.41338015,-1.21228802,-1.16352689,-0.96498764,-0.88158351,-0.83833414,-0.37874302,-0.83126098,-0.25677988,0.00000000,-0.24937077,0.00000000,-0.65139389,0.91908109,2.39340067,0.61204517,0.00000000,-0.24547900,0,15:40:01.6,0,0
7,0.00000000,-0.38862225,-0.34272265,-0.96028602,0.00000000,1.33428967,-8.83618546,0.10669847,-3.11018467,-0.87624645,-0.14247240,-1.32034767,0.49718925,-0.58652645,-2.04820943,-1.80320132,-1.35370660,-1.38111281,-1.49976921,-0.96498764,-1.27395415,-0.85000265,-0.37089184,-0.86414814,-0.25223574,0.00000000,0.16391468,0.00000000,1.41808164,-4.12475443,-2.77042937,-1.30986011,0.00000000,-0.75962120,0,15:40:01.7,0,0
8,0.00000000,-1.97223961,0.34811643,-1.44661331,0.00000000,1.46602619,-8.62037086,0.15447555,-2.91973305,-0.76656306,0.15072861,-1.18619251,0.40624273,-0.01750426,-2.21796083,-1.92418396,-0.68075264,-1.29558134,-1.29202592,-0.93711585,-1.05650473,-0.82378799,-0.35906869,-0.81622976,-0.22005355,0.00000000,0.01230034,0.00000000,1.65333140,4.73420238,-0.53858393,-1.12204540,0.00000000,-1.66453302,0,15:40:01.8,0,0
9,0.00000000,-1.97223961,-0.00597897,-1.60865688,0.00000000,1.34599900,-9.06403637,0.06580207,-3.03441405,-0.89067125,-0.10487233,-1.23449826,0.24137680,0.47015136,-2.17352819,-0.88156533,3.43543601,-1.32280922,-1.24946642,-1.01580775,-1.07373595,-0.95679879,-0.43128094,-0.92526108,-0.27745450,0.00000000,-0.21719036,0.00000000,-0.65139389,4.73420238,1.04503334,0.92445505,0.00000000,-0.16412622,0,15:40:01.9,0,0
10,0.00000000,-0.38862225,0.13254136,-0.21832569,0.00000000,1.45487821,-8.04823685,0.06580207,-3.20819020,-0.82288122,0.13039586,-1.30983388,0.58621967,0.50535178,-2.19151497,-0.79708987,2.44930410,-1.40859532,-1.45879233,-0.99277639,-1.11457109,-0.88440943,-0.37394965,-0.84858465,-0.22912726,0.00000000,0.29146722,0.00000000,0.06971414,-1.31293523,0.53824890,0.52656180,0.00000000,-0.21422926,0,15:40:02.0,0,0
11,0.00000000,-0.38862225,-0.65621942,-0.26039279,0.00000000,1.59029901,-9.06403637,0.10669847,-2.92224216,-0.89379740,-0.27498338,-1.29908299,0.20837668,0.81415951,-2.17839551,-1.36031568,3.25605369,-1.36606014,-1.33417177,-0.99277639,-1.09261191,-0.94569081,-0.41180861,-0.86779273,-0.25414419,0.00000000,0.19424237,0.00000000,-0.39363334,0.91908109,-0.53858393,0.81248713,0.00000000,0.26385406,0,15:40:02.1,0,0
12,0.00000000,1.84339416,-0.65621942,0.38797805,0.00000000,1.41375256,-9.06403637,0.19537196,-3.40963411,-0.79621285,0.13716477,-1.28830695,-0.11271570,0.75064290,-2.03008795,-1.56640685,2.24248886,-1.30709994,-1.45879233,-0.96498764,-1.12603092,-0.83919030,-0.36141887,-0.79510099,-0.21516801,0.00000000,0.42423072,0.00000000,0.06971414,-2.89655232,-0.41841868,0.19012479,0.00000000,0.34512198,0,15:40:02.2,0,0
13,0.00000000,-1.97223961,-0.09796769,-0.84030956,0.00000000,1.50581598,-8.04823685,0.10669847,-3.11329722,-0.87624645,-0.24780580,-1.38687813,0.13759020,0.67081690,-2.08852649,-1.06565440,2.32811642,-1.32459331,-1.41759348,-0.99277639,-1.20865464,-0.85961759,-0.36927003,-0.91190624,-0.26266018,0.00000000,0.00045892,0.00000000,-1.62183547,-1.31293523,-1.76678598,-1.04129446,0.00000000,-0.58531153,0,15:40:02.3,0,0
14,0.00000000,-0.38862225,-0.90093136,-1.60865688,0.00000000,1.74226475,-8.83618546,0.06580207,-2.60633254,-0.78137755,0.08463307,-1.38687813,0.10432202,0.27184829,-2.17457271,-1.74046767,0.95101869,-1.34443641,-1.37608385,-0.99277639,-1.10529888,-0.87492001,-0.37394965,-0.76106411,-0.22853442,0.00000000,-0.13811709,0.00000000,1.65333140,0.91908109,-0.53858393,-0.75297827,0.00000000,-1.66453302,0,15:40:02.4,0,0
15,0.00000000,-3.20044160,0.13254136,-0.40835789,0.00000000,1.31038880,-7.71573782,0.10669847,-3.70853209,-0.88815165,-0.24780580,-1.40487838,0.33997440,1.73259079,-2.19821334,-1.20651519,6.50662708,-1.33918715,14.47506046,-0.99277639,-1.16602123,-0.87292260,-0.39351204,-0.92780250,-0.24854930,0.00000000,0.73550427,0.00000000,-0.81376380,-4.12475443,-0.57189929,-0.93964010,0.00000000,0.12643188,0,15:40:02.5,0,0
16,0.00000000,-1.97223961,0.08073138,-0.26039279,0.00000000,1.50715172,-8.83618546,0.15447555,-3.01825500,-0.82039565,0.12023632,-1.33089626,0.33997440,-0.05129945,-2.11385894,-1.52989960,2.21420121,-1.32280922,-1.45879233,-0.96498764,-1.14461243,-0.88440943,-0.37874302,-0.82432365,-0.24381889,0.00000000,0.00438706,0.00000000,-0.65139389,-1.31293523,-0.53858393,-0.30529749,0.00000000,-1.19968033,0,15:40:02.6,0,0
17,0.00000000,0.00000000,-1.51107287,0.62324584,0.00000000,1.33428967,-9.86704826,0.06580207,-3.36590695,-0.92273831,-0.20726289,-1.37349188,-0.06880288,0.40467107,-2.15371060,-1.01748538,0.95101869,-1.35223854,-1.45879233,-0.96498764,-1.14461243,-0.89387369,-0.38570493,-0.92815375,-0.30467272,0.00000000,-0.59104002,0.00000000,-0.65139389,0.91908109,-0.53858393,-0.58437890,0.00000000,-1.83006954,0,15:40:02.7,0,0
18,0.00000000,-1.97223961,0.59287137,-0.86669654,0.00000000,1.42520595,-8.04823685,0.15447555,-3.20819020,-0.83547676,0.09329227,-1.35524535,-0.25087705,1.12774706,-2.22157431,-1.35925674,5.00360775,-1.38206792,-1.58073676,-0.99277639,-1.11457109,-0.92892051,-0.39351204,-0.99491757,-0.32500368,0.00000000,-0.00570474,0.00000000,-2.23501110,-2.89655232,-1.76678598,-0.53382599,0.00000000,-0.07271764,0,15:40:02.8,0,0
19,0.00000000,0.00000000,-0.95286411,1.97150993,0.00000000,1.59029901,-8.04823685,0.06580207,-2.63822341,-0.92580009,-0.22419132,-1.39372075,0.39870942,1.48629665,-2.24787593,-1.39788222,5.35957479,-1.40859532,-1.54035997,16.63265038,-1.19606256,-0.90146381,-0.36606413,-0.95387006,-0.32500368,0.00000000,-0.00179498,0.00000000,-0.65139389,-1.31293523,0.80978340,-0.12586012,0.00000000,-0.17913938,0,15:40:02.9,0,0
