Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190418153213
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1519,1126,593,580,658,0,667,624,720,0,697,641,603,586,1669,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,6,6,6,6,6,6,44,44,22,22,72,72,31,31,6,6,12,12,7,7,6,6,14,14,7,7,6,6,6,6,6,6,6,6,7,7,6,6,6,6,7,7,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,72,72,24,24,47,47,7,7,6,6,12,12,15,15,6,6,6,6,6,6,6,6,12,12,6,6,7,7,24,24,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,1.00,100.00,21.91,31.17,2.41,5.57,1.37,2.02,12.73,8.12,2.60,2.34,1.12,18.99,4.94,3.35,1.47,26.69,2.23,47.74,3.91,5.62,2.95,4.41,1.67,43.45,2.71,3.96,1.41,33.19,1.43,40.96,3.26,4.19,1.85,2.71,2.50,3.65,2.38,3.16,2.39,3.11,1.00,1.00,2.72,100.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,36.28,46.41,1.00,1.00,1.00,100.00,100.00,1.00,89.77,100.00,9.66,13.56,92.65,100.00,1.52,3.64,3.77,3.80,5.91,4.12,1.16,20.34,1.27,23.75,2.59,4.69,2.12,3.21,1.00,19.45,1.00,14.14,2.23,2.89,2.31,2.95,1.61,1.99,2.92,4.47,1.39,49.49,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/18 15:32:18
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.11259277,0.00000000,-7.48105669,-0.21075553,-0.56261659,-0.60425037,-0.42610973,-0.11431412,-0.56814545,-0.46401241,-0.87563646,-0.31602672,-0.18667394,-0.39833185,0.17293043,0.05132498,-0.25752231,-0.68291771,-0.55459309,-1.11150551,-0.56007969,-0.30282834,0.00000000,0.27024972,0.00000000,-2.40794158,0.00000000,-0.20419128,0.49510166,0.00000000,0.00000000,0,15:32:27.1,0,0
2,0.00000000,-3.28182101,0.56409752,0.10384093,4.40792990,1.12414706,0.27521855,-0.53995907,-0.80232102,-0.36601952,-0.62871206,-0.62643528,-0.20276661,-0.01286329,-0.28947270,-0.22488172,0.05959290,0.17724138,0.22842175,0.25739935,-0.65478086,-0.54088449,-1.07260501,-0.57564580,-0.31188208,0.00000000,0.97101182,0.00000000,0.97361672,0.00000000,0.24863189,-0.25236452,0.00000000,-2.32483697,0,15:32:27.2,0,0
3,0.00000000,0.00000000,0.00000000,0.11259277,0.00000000,1.41447639,0.19904748,-0.55721849,-0.07836282,-0.41028258,0.04358407,-0.60804033,-0.13218789,-0.79692149,-0.30916092,-0.29717880,-0.34468925,0.15613836,0.21957971,0.02470184,-0.69510704,-0.54578114,-1.06294000,-0.57663977,-0.30282834,0.00000000,0.23721458,0.00000000,1.24515128,0.00000000,1.98067844,0.61393201,0.00000000,0.00000000,0,15:32:27.3,0,0
4,0.00000000,0.00000000,-4.73660660,0.71889651,0.00000000,0.25670373,0.03397030,-0.67001683,-0.90726936,-0.40298423,-0.51655364,-0.57155335,0.04365414,0.01022614,-0.28339434,-0.23651537,0.25238812,0.14621131,0.21075116,0.37428144,-0.71268088,-0.52444726,-1.04107642,-0.58142287,-0.28648067,0.00000000,1.54047298,0.00000000,2.82876849,0.00000000,-0.25116697,0.15839356,0.00000000,-0.02011159,0,15:32:27.4,0,0
5,0.00000000,2.76531649,0.56409752,0.94044590,0.00000000,0.76745713,0.14690143,-0.70016932,-0.72079021,-0.42479381,-0.13009870,-0.58196044,-0.02951553,-0.29167697,-0.30063552,-0.23551385,-0.11705087,0.11530797,0.09613798,0.11265418,-0.71777290,-0.59593421,-1.13070703,-0.64489925,-0.35165033,0.00000000,-0.77260649,0.00000000,1.48040116,0.00000000,2.60762811,1.56149566,0.00000000,0.00000000,0,15:32:27.5,0,0
6,0.00000000,-1.04980457,0.30722913,-0.15198071,0.00000000,-0.93073630,-0.05144986,-0.70614123,-0.95370930,-0.42203355,-0.60111046,-0.65440816,0.08402318,-0.27780014,-0.37509364,-0.26222971,-0.12089607,0.08038118,-0.02792272,0.11733194,-0.77245611,-0.58722973,-1.05561721,-0.61120230,-0.28648067,0.00000000,1.24297261,0.00000000,3.71241760,0.00000000,-0.20419128,0.94570291,0.00000000,0.00000000,0,15:32:27.6,0,0
7,0.00000000,2.76531649,-4.28398991,0.49639013,0.00000000,1.22942662,0.19400056,-0.85852444,-0.52221179,-0.45334357,-0.04989555,-0.66470307,0.07915352,0.43150619,-0.40865666,-0.33113709,0.28455719,0.04037732,-0.07140110,0.19158415,-0.82289803,-0.63096058,-1.11605704,-0.70900786,-0.35040718,0.00000000,0.50684017,0.00000000,0.01694911,0.00000000,-0.25116697,0.56561595,0.00000000,1.32825577,0,15:32:27.7,0,0
8,0.00000000,-3.28182101,-3.99962211,-1.24445772,-9.10160542,0.87233293,0.21946387,-0.81724191,-0.66453058,-0.40747815,-0.53770763,-0.63289165,0.07915352,-0.36042789,-0.39192680,-0.32636991,-0.18633056,0.03106361,-0.07575716,0.18688802,-0.82902783,-0.63002735,-1.10151625,-0.66430056,-0.34057963,0.00000000,1.47557282,0.00000000,1.24515128,0.00000000,1.02401078,0.43620571,0.00000000,0.00000000,0,15:32:27.8,0,0
9,0.00000000,-1.04980457,1.91246486,0.29207504,0.00000000,0.18755318,0.11321037,-0.73387444,-1.01593232,-0.39592692,-0.02907242,-0.56774563,0.13265298,0.49094525,-0.26832595,-0.22604953,0.48598063,0.14332704,0.34959882,0.43540835,-0.66280299,-0.56795609,-1.11815369,-0.57760507,-0.31898898,0.00000000,0.59611046,0.00000000,-0.98669416,0.00000000,0.24863189,0.08125339,0.00000000,2.28492332,0,15:32:27.9,0,0
10,0.00000000,-1.04980457,-3.43552446,0.10384093,0.00000000,0.15789144,0.11586340,-0.66683269,-0.53763312,-0.34672326,-0.58595192,-0.56022149,-0.06851222,0.26406604,-0.27440533,-0.21428350,0.24083692,0.15395260,0.22842175,0.12681630,-0.63685113,-0.55642742,-1.11605704,-0.54491144,-0.33447877,0.00000000,1.27563751,0.00000000,1.24515128,0.00000000,0.75247633,0.13043714,0.00000000,0.00000000,0,15:32:28.0,0,0
11,0.00000000,-3.28182101,-3.43552446,-0.73189747,-9.10160542,0.96551174,0.28613791,-0.71170521,-0.63169855,-0.36904535,-0.06147990,-0.60443425,-0.07834237,0.38769051,-0.31124559,-0.21148820,0.33449432,0.13459636,0.21075116,0.12681630,-0.69493872,-0.56515437,-1.11605704,-0.58566350,-0.33447877,0.00000000,0.97101182,0.00000000,0.97361672,0.00000000,-0.35767180,0.00409669,0.00000000,-2.32483697,0,15:32:28.1,0,0
12,0.00000000,-1.04980457,1.10135567,0.68375772,4.40792990,0.95634276,0.36070034,-0.74208766,-0.91843194,-0.36352497,-0.64140475,-0.52009642,0.12228786,-0.00365071,-0.26132005,-0.24887484,-0.03582462,0.15395260,0.22842175,0.13150613,-0.66821790,-0.55547142,-1.09803212,-0.56858134,-0.32092059,0.00000000,1.27563751,0.00000000,-0.98669416,0.00000000,1.60965717,-0.43969813,11.13164330,1.32825577,0,15:32:28.2,0,0
13,0.00000000,2.76531649,6.42707586,0.94044590,0.00000000,1.56407034,0.31005508,-0.73713076,-0.21416228,-0.39243183,-0.00255901,-0.56890190,-0.20833382,-0.71352881,-0.30916092,-0.24105164,-0.41389096,0.11619303,-0.24094872,0.02470184,-0.72768879,-0.54675740,-1.06294000,-0.58566350,-0.32198006,0.00000000,-0.70702976,0.00000000,-0.82432437,0.00000000,-0.32435659,0.73955834,0.00000000,0.00000000,0,15:32:28.3,0,0
14,0.00000000,-1.04980457,-2.43188143,-0.15198071,0.00000000,0.48198408,0.01098168,-0.75320047,-0.33581063,-0.36615375,-0.53189492,-0.60804033,-0.00015590,0.16529666,-0.35850570,-0.23551385,0.17382960,0.09948222,0.19750819,0.25264680,-0.71777290,-0.58633572,-1.08240819,-0.64310682,-0.36263198,0.00000000,0.90159851,0.00000000,-0.10321607,0.00000000,1.98067844,0.75080824,0.00000000,0.00000000,0,15:32:28.4,0,0
15,0.00000000,-1.04980457,1.91246486,-0.66454089,0.00000000,0.35805315,0.12821838,-0.84719753,-1.11418545,-0.41905242,0.02882231,-0.60804033,-0.09308540,-0.14304237,-0.38794914,-0.27105260,-0.03965633,0.06894299,0.08301280,-0.01306685,-0.75105560,-0.59199303,-1.08240819,-0.65816307,-0.36594790,0.00000000,0.56346673,0.00000000,0.97361672,0.00000000,0.75247633,0.69583321,0.00000000,0.00000000,0,15:32:28.5,0,0
16,0.00000000,0.00000000,-4.73660660,0.71889651,0.00000000,0.87914777,0.15880367,-0.87292343,-0.64732766,-0.38570243,-0.60199279,-0.60387385,0.14243099,-0.17063443,-0.36684749,-0.28688410,-0.05509944,0.07574578,0.14929254,0.20557977,-0.75333416,-0.62530923,-1.10053241,-0.69620508,-0.37084934,0.00000000,-0.30467206,0.00000000,0.01694911,0.00000000,0.75247633,1.35292530,0.00000000,1.32825577,0,15:32:28.6,0,0
17,0.00000000,2.76531649,-4.28398991,0.94044590,0.00000000,0.28371814,0.06371303,-0.98945123,-1.01199090,-0.44122785,0.05006222,-0.69061202,0.05341446,0.79698443,-0.44979489,-0.23489739,0.69519305,0.02274320,0.09714641,0.07978923,-0.81861985,-0.63956904,-1.08240819,-0.69840628,-0.35189742,0.00000000,2.17342520,0.00000000,-0.03002657,0.00000000,0.24863189,1.10477340,11.13164330,5.33181572,0,15:32:28.7,0,0
18,0.00000000,0.00000000,2.61195445,0.94044590,0.00000000,-0.25090104,-0.05858319,-0.92327166,-0.37651682,-0.36332497,-0.55902374,-0.60443425,-0.16355963,-0.77851129,-0.40494588,-0.28180999,-0.47191912,0.03630580,-0.06709550,-0.03657022,-0.77479523,-0.60156649,-1.06549489,-0.58791822,-0.30282834,0.00000000,0.94643980,0.00000000,2.82876849,0.00000000,3.56429553,1.15993190,0.00000000,0.00000000,0,15:32:28.8,0,0
19,0.00000000,-3.28182101,-4.84808731,-0.73189747,0.00000000,0.65355527,0.13107441,-0.86419427,-0.46140876,-0.37027797,0.01883547,-0.54656190,-0.10924388,0.13290113,-0.33044848,-0.23824273,0.13139389,0.11973493,0.34959882,0.11733194,-0.66991305,-0.56610632,-1.09338129,-0.56858134,-0.32092059,0.00000000,0.24958619,0.00000000,0.97361672,0.00000000,-1.09963214,0.19704601,0.00000000,0.00000000,0,15:32:28.9,0,0
