Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190423093833
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1294,993,888,754,683,0,707,647,670,0,687,635,628,601,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,31,31,6,6,15,15,6,6,6,6,44,44,49,49,6,6,44,44,15,15,6,6,6,6,7,7,12,12,6,6,14,14,7,7,7,7,22,22,7,7,12,12,6,6,6,6,15,15,22,22,6,6,62,62,6,6,6,6,6,6,6,6,31,31,30,30,24,24,6,6,6,6,62,62,72,72,62,62,98,98,6,6,6,6,7,7,6,6,15,15,7,7,7,7,15,15,24,24,6,6,24,24,6,6,6,6,6,6,6,6,6,6
Digital Gain,78.14,1.00,100.00,1.00,43.69,60.30,100.00,100.00,1.00,1.00,8.70,18.87,1.00,1.00,1.00,1.00,6.56,1.00,1.75,4.30,1.00,18.50,2.26,3.24,3.85,81.58,1.74,33.04,2.92,4.43,3.11,4.44,3.02,100.00,3.29,4.72,3.82,1.00,2.55,77.89,4.28,5.87,3.33,5.54,2.05,2.87,3.29,4.94,2.86,5.22,100.00,1.00,25.64,1.00,100.00,1.00,67.88,100.00,100.00,1.00,16.67,35.90,19.88,33.47,1.78,4.11,7.29,13.64,93.00,1.00,88.80,100.00,8.87,15.45,1.00,1.00,1.00,1.00,1.00,1.00,1.89,2.74,1.00,12.47,1.46,31.78,8.48,14.16,1.92,3.18,1.53,46.28,1.30,25.36,1.74,3.23,1.98,3.48,1.15,2.16,1.74,7.07,100.00,1.00,100.00,100.00,64.16,100.00,100.00,100.00,69.71,71.44

Measurement Information
Date,2019/04/23 09:38:38
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.10980408,0.95328385,0.34823152,0.17627937,0.00000000,0.42111775,0.00000000,0.00000000,-0.17587666,-0.17958640,0.30197561,-0.07129271,-0.23425739,-0.04727900,-0.16942972,0.24541518,-0.51378280,-0.26497343,0.47963002,-0.06197906,-0.41678041,-0.22527163,0.10410044,-0.25997734,0.07698294,0.00000000,-4.27038860,0.00000000,0.82369620,3.42048740,0.21614759,0.02711149,0.45815498,0.23508199,0,09:38:47.1,0,0
2,0.29772809,0.95328385,0.61461657,1.29514325,0.00000000,0.78678727,0.00000000,0.00000000,0.09272432,-0.13130599,0.18372509,-0.05491198,0.65249157,0.14621745,-0.16952650,0.25913337,0.44283316,-0.24421924,0.53360790,-0.20809563,-0.37415606,-0.16257572,0.12285386,-0.22645356,0.13184866,0.00000000,-4.27038860,0.00000000,-0.29516771,3.42048740,0.01386240,-0.28367141,0.44811815,0.12347014,0,09:38:47.2,0,0
3,-0.49395654,-0.05035943,-0.06282428,0.13421226,0.00000000,-0.60184127,0.00000000,0.00000000,-0.20688999,-0.18663387,0.13241421,-0.02482641,0.29490611,0.14621745,-0.14016689,0.23279640,0.80805224,-0.29423213,0.43063405,-0.43598756,-0.47050154,-0.17923698,0.12285386,-0.29301882,0.11865405,0.00000000,-4.70028353,0.00000000,-1.03712809,-0.39463362,-0.06469726,-0.34818041,0.41125047,0.11365781,0,09:38:47.3,0,0
4,-0.49395654,-0.05035943,-0.03371129,-0.47209150,0.00000000,-1.03344584,0.00000000,0.00000000,-0.14912213,-0.15862392,0.14061728,-0.00110194,0.54112399,-0.22949557,-0.11033433,0.22053048,-2.81871462,-0.15074012,0.49760121,-0.20809563,-0.28382382,-0.17923698,0.12209624,-0.25997734,0.12617736,0.00000000,-4.83812141,0.00000000,0.31113601,-0.39463362,0.01386240,-0.28367141,0.44991350,0.18035622,0,09:38:47.4,0,0
5,0.29772809,0.95328385,-0.03371129,0.13421226,0.00000000,0.35356200,0.00000000,0.00000000,-0.17587666,-0.19575481,0.08180007,-0.02772893,-0.18391669,0.14621745,-0.12539755,0.25913337,0.45614004,-0.25837290,0.53360790,0.00242899,-0.40497512,-0.13229072,0.15575725,-0.30708522,0.09584195,0.00000000,-3.80405450,0.00000000,-1.35258245,3.42048740,0.01386240,-0.04629133,0.40280569,0.00080314,0,09:38:47.5,0,0
6,0.73786139,2.18148613,-0.18397374,0.91134590,0.00000000,-0.55912822,0.00000000,0.00000000,0.24405493,-0.22635904,0.02902031,-0.09722365,-0.02096153,0.21709400,-0.18233703,0.24377806,0.01208429,-0.17650618,0.56990832,-0.01912420,-0.31799558,-0.16391537,0.13850182,-0.26009735,0.11865405,0.00000000,-3.29461169,0.00000000,0.03437114,3.42048740,-0.01237407,0.70079464,0.38781327,0.44943526,0,09:38:47.6,0,0
7,-1.18179822,-0.89882463,-0.12564993,0.06685568,0.00000000,-0.38957581,0.00000000,0.00000000,-0.46153361,-0.24021454,0.15506434,-0.13635604,0.40081939,0.28128803,-0.19188476,0.22677439,0.76856637,-0.31499726,0.39529219,0.31899977,-0.52213353,-0.16374481,0.13770740,-0.37620983,0.07798669,-12.11407280,-5.47075987,-11.55990601,-0.30261695,-0.39463362,0.25536489,0.06613439,0.38681149,0.24813737,0,09:38:47.7,0,0
8,0.73786139,-0.05035943,0.17565270,0.13421226,0.00000000,0.27500239,0.00000000,0.00000000,-0.26400387,-0.25097635,0.11193509,-0.17368171,0.60320079,0.19496924,-0.23490208,0.22894368,0.40315771,-0.17815524,0.46625945,0.27637711,-0.32936212,-0.20968556,0.10778855,-0.33047286,0.10771506,0.00000000,-4.83812141,-7.74478483,-0.30261695,-0.39463362,0.03800073,-0.02450371,0.30483934,0.23910809,0,09:38:47.8,0,0
9,-0.84861439,-0.05035943,-0.06282428,0.78258312,0.00000000,0.17053123,0.00000000,0.00000000,-0.17587666,-0.25770080,0.16734403,-0.17132653,0.58541572,0.36539108,-0.24912745,0.23977511,1.15838158,-0.24612270,0.41293508,0.10711407,-0.42148262,-0.20550518,0.11710045,-0.36249414,0.09152660,0.00000000,-5.47075987,-7.74478483,-0.00431837,-2.62665009,-0.03490476,-0.24066788,0.33027601,0.09438790,0,09:38:47.9,0,0
10,0.29772809,0.95328385,0.34823152,0.64677244,0.00000000,0.75142533,0.00000000,0.00000000,-0.17587666,-0.22898605,0.02495187,-0.08123873,0.87074530,0.04629398,-0.15819086,0.23279640,-0.51378280,-0.20542826,0.49760121,0.30616790,-0.36135173,-0.19218868,0.10000659,-0.36367553,0.04164058,0.00000000,-5.09895992,0.00000000,0.31113601,-0.39463362,0.03800073,-0.36647215,0.43865997,0.07783958,0,09:38:48.0,0,0
11,-0.10980408,0.95328385,0.13886753,-0.56568092,0.00000000,0.28810751,0.00000000,0.00000000,-0.03184828,-0.19271286,0.15296982,-0.01117548,0.33159921,0.44091454,-0.06934504,0.33886465,1.21149158,-0.25084034,0.46625945,-0.43598756,-0.41502550,-0.14876632,0.12209624,-0.28838637,0.05453350,0.00000000,-4.83812141,0.00000000,0.82369620,-2.62665009,0.06468245,-0.06696689,0.45937169,0.18189721,0,09:38:48.1,0,0
12,1.74033642,-0.05035943,0.24646516,-0.47209150,0.00000000,0.70458525,0.00000000,0.00000000,0.18203393,-0.17602724,0.01801763,-0.08222878,0.01527917,0.18187396,-0.17809391,0.27011505,0.02542376,-0.11869768,0.56990832,-0.01912420,-0.22592513,-0.13514100,0.13770740,-0.24070062,0.10967451,0.00000000,-3.47191191,0.00000000,0.03437114,3.42048740,0.11656038,0.35081148,0.42630908,0.37373656,0,09:38:48.2,0,0
13,0.29772809,-0.05035943,-0.00333090,-0.56568092,0.00000000,-0.19290365,0.00000000,0.00000000,0.24405493,-0.19271286,0.10644542,-0.03630939,-0.16550645,0.11777930,-0.12199252,0.30294204,0.06558156,-0.28612569,0.53360790,-0.38849089,-0.45380762,-0.11561256,0.14088850,-0.25500900,0.08672875,0.00000000,-3.96598601,0.00000000,0.64067483,0.00000000,0.09355979,-0.19197969,0.45579228,0.03300522,0,09:38:48.3,0,0
14,1.21626949,2.18148613,-0.00333090,0.78258312,0.00000000,0.18652049,0.00000000,0.00000000,0.15368333,-0.14953279,0.16120361,-0.03280460,1.09810960,-0.31383023,-0.10312409,0.25361562,-4.12711906,-0.27726328,0.46625945,-0.41443437,-0.45312095,-0.14895040,0.12989499,-0.30244124,0.06848190,0.00000000,-3.47191191,0.00000000,-1.03712809,0.00000000,-0.09207147,-0.30497515,0.43752435,0.11365781,0,09:38:48.4,0,0
15,-2.07517004,-0.89882463,-0.79897165,-0.44570452,0.00000000,-0.29500735,0.00000000,0.00000000,-0.40644303,-0.21437521,0.09000315,-0.16543294,-0.32468346,-0.15246221,-0.22597404,0.16866261,-1.90172231,-0.26522422,0.43063405,-0.25105089,-0.47842756,-0.20771426,0.10410044,-0.33972669,0.04270734,0.00000000,-4.96751451,0.00000000,-0.00431837,-0.39463362,0.03800073,0.16190273,0.38129556,0.20184265,0,09:38:48.5,0,0
16,1.21626949,0.95328385,0.38822567,0.13421226,0.00000000,0.70565373,0.00000000,0.00000000,0.06016472,-0.23127881,0.09413421,-0.12888768,0.81685537,0.11517902,-0.17745072,0.21807666,-0.02768618,-0.16993754,0.46625945,-0.06197906,-0.33660319,-0.17722528,0.12409271,-0.31184968,0.10790201,0.00000000,-3.96598601,0.00000000,0.64067483,3.42048740,0.03800073,0.26169592,0.35729808,0.30025145,0,09:38:48.6,0,0
17,-0.84861439,-0.89882463,-0.06282428,-0.47209150,0.00000000,0.18276590,0.00000000,0.00000000,0.03237599,-0.21330762,0.19606835,-0.19886427,-0.07485149,-0.16575848,-0.23192999,0.15370078,-1.15976191,-0.21010679,0.46625945,-0.50863326,-0.37028456,-0.26973459,0.06996500,-0.44562900,-0.00254367,0.00000000,-4.96751451,0.00000000,-0.61062211,-0.39463362,0.03800073,0.26244408,0.34346765,0.27844536,0,09:38:48.7,0,0
18,0.73786139,-0.05035943,0.20924209,0.17627937,0.00000000,-0.52469879,0.00000000,0.00000000,-0.14912213,-0.25255954,0.03314272,-0.18668753,1.15754902,-0.08708227,-0.25217259,0.12426192,-1.92799628,-0.21768935,0.43063405,0.60981840,-0.40478629,-0.19335911,0.13017705,-0.46305346,0.01165481,0.00000000,-4.83812141,-7.74478483,-0.30261695,3.42048740,0.13758793,-0.46277246,0.31520402,0.03437694,0,09:38:48.8,0,0
19,-1.18179822,-0.89882463,0.54300714,0.64677244,0.00000000,1.02695096,0.00000000,0.00000000,11.49377632,-0.19483811,0.19198471,-0.16276434,0.60320079,0.42978117,-0.22058053,0.19485217,1.43584681,-0.23187576,0.36452663,0.60981840,-0.39803898,-0.17572848,0.10545221,-0.34413883,0.04187141,-12.11407280,-5.70386982,-11.55990601,0.20994326,-4.21026754,-0.03490476,-0.10431750,0.38598341,0.02320950,0,09:38:48.9,0,0
20,1.74033642,0.95328385,0.67173612,0.17627937,0.00000000,0.35011026,0.00000000,0.00000000,0.34077856,-0.19322254,0.05778807,-0.05630923,0.50913179,-0.22059600,-0.15470026,0.18221171,-1.84873998,-0.21738233,0.49760121,-0.19947468,-0.36990273,-0.13076867,0.13850182,-0.31668830,0.05504489,0.00000000,-4.41934347,0.00000000,-0.70758915,3.42048740,0.11656038,0.58013427,0.45637628,0.36298895,0,09:38:49.0,0,0
