Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190416095313
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,963,798,803,0,817,712,905,0,842,727,623,598,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,15,15,6,6,6,6,6,6,6,6,48,48,44,44,6,6,48,48,6,6,6,6,7,7,6,6,7,7,7,7,6,6,6,6,6,6,12,12,7,7,6,6,6,6,6,6,15,15,15,15,6,6,7,7,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,112,112,15,15,7,7,6,6,6,6,31,31,6,6,6,6,6,6,6,6,7,7,6,6,6,6,15,15,6,6,6,6,6,6,6,6
Digital Gain,34.16,1.00,100.00,1.00,73.91,100.00,100.00,100.00,100.00,100.00,14.19,22.10,28.67,45.05,1.00,1.00,19.14,1.00,1.51,2.38,1.02,20.56,3.78,4.66,1.39,25.21,1.71,38.35,2.55,3.20,2.97,4.04,1.35,33.74,2.42,2.87,2.56,100.00,1.63,48.64,3.14,3.81,2.04,2.87,1.99,2.68,3.67,4.49,3.44,5.54,1.00,1.00,2.37,74.75,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,19.44,30.85,100.00,100.00,68.60,100.00,58.51,1.00,83.80,100.00,7.25,12.03,11.57,23.75,1.00,1.00,2.87,5.51,2.53,3.08,1.00,3.17,1.07,12.21,3.57,3.89,1.27,1.97,1.21,2.40,1.14,2.18,10.68,21.61,3.54,4.00,1.30,1.86,1.12,2.01,2.11,1.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.00

Measurement Information
Date,2019/04/16 09:53:17
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.30068135,-1.19144344,-1.39413774,-0.84380722,-1.04818857,-0.62485254,-1.56068850,0.00000000,-0.20419241,-0.13533750,0.01504277,-0.19308037,0.22410503,-0.07752901,-0.31441283,-0.26940638,0.07878325,-0.23410590,0.82882804,0.18312590,-0.22629599,-0.06692928,-0.14308116,-0.06503566,-0.09768475,0.00000000,0.05603825,0.00000000,-1.84648871,0.00000000,0.48686197,-0.47679311,0.00000000,-0.86435050,0,09:53:26.1,0,0
2,0.52402329,-0.54307264,1.79850924,0.19341725,-0.04454530,1.06795609,2.51753664,0.00000000,-0.39948606,-0.14995164,-0.02737832,-0.20411871,-0.03112997,-0.05410557,-0.31694797,-0.24188083,0.09261371,-0.17950235,0.87883586,0.19251151,-0.14910927,-0.03913987,-0.14308116,0.00747720,-0.03479332,0.00000000,0.82060921,0.00000000,-0.33575138,0.00000000,4.25534916,0.64474583,0.00000000,2.35270381,0,09:53:26.2,0,0
3,0.17625566,1.04045904,0.94819450,0.90914470,4.99929047,0.60319668,1.55586660,0.00000000,-0.39948606,-0.12988625,0.20831639,-0.21018633,-0.11475284,0.25814414,-0.31305748,-0.19232620,0.09719345,-0.18509662,2.22709990,0.35250789,-0.15585950,-0.03769974,-0.14215352,-0.05255796,-0.08099823,0.00000000,0.78804958,0.00000000,0.38535666,0.00000000,-0.86150539,0.14191994,0.00000000,0.51217389,0,09:53:26.3,0,0
4,0.70380622,2.04410243,1.66557252,-0.43911934,1.34619784,0.79796261,2.02648067,0.00000000,0.20856668,-0.15821597,-0.03676394,-0.29978600,-0.13845867,-0.19394238,-0.35920241,-0.25568816,-0.02013480,-0.19343768,-0.06863888,0.19718124,-0.19265607,-0.04746006,-0.13316634,-0.11421012,-0.12856664,0.00000000,-0.53849506,0.00000000,0.62475544,0.00000000,0.36669675,0.11887951,0.00000000,-0.09211104,0,09:53:26.4,0,0
5,0.34486121,4.85592175,0.00863344,-1.16062272,0.00000000,-1.73485363,2.12252498,0.00000000,0.89864880,-0.20273188,-0.11021168,-0.30435547,-0.18085043,-0.46516481,-0.34547564,-0.29153600,-0.03846822,-0.17950235,-0.09147941,-0.15035382,-0.18958783,-0.07800935,-0.15112568,-0.05288669,-0.06526398,0.00000000,0.33361253,0.00000000,-0.95886183,0.00000000,-1.93802857,0.20977360,0.00000000,8.63778019,0,09:53:26.5,0,0
6,-0.14626771,7.08793831,-0.39441922,3.37625766,0.00000000,-1.59476686,6.42288971,0.00000000,3.31591082,-0.22612724,-0.25875777,-0.27231506,-0.24727863,-0.36376375,-0.33632395,-0.26940638,-0.25998515,-0.20911725,-0.11422557,-0.14570394,-0.21323556,-0.06001833,-0.11509244,-0.10301147,-0.07746102,0.00000000,-1.25498056,0.00000000,2.85677195,0.00000000,2.68039823,0.17182586,0.00000000,0.00000000,0,09:53:26.6,0,0
7,-0.14626771,1.04045904,-0.00843855,-0.43911934,-0.88581866,-1.40460479,1.08304584,0.00000000,0.66095614,-0.24746872,-0.15217243,-0.35960478,0.02510879,-0.52059180,-0.40544567,-0.31056523,-0.19774953,-0.21646728,2.14549375,0.25906906,-0.21202254,-0.08776405,-0.12527497,-0.18117280,-0.14677064,0.00000000,0.50237769,0.00000000,-0.33575138,0.00000000,0.36669675,0.37761095,0.00000000,1.20785999,0,09:53:26.7,0,0
8,-0.30068135,0.19199391,-0.74474859,0.26077384,-0.16471060,-0.00865862,-1.11519313,0.00000000,0.89864880,-0.24196495,-0.04550318,-0.33863997,0.05632165,-0.00043024,-0.39935377,-0.29682127,0.14234354,-0.24832802,0.75244105,-0.09345614,-0.28411677,-0.15460664,-0.16634491,-0.19305126,-0.11487807,0.00000000,0.49321106,0.00000000,2.85677195,0.00000000,-3.16623068,0.40936548,0.00000000,1.17005908,0,09:53:26.8,0,0
9,0.52402329,0.19199391,2.06465507,-0.34552985,-3.69763803,-1.96602440,1.68441677,0.00000000,0.66095614,-0.27724069,-0.06863137,-0.47651207,-0.08017666,0.06015394,-0.47933432,-0.31035730,0.19139524,-0.24928266,1.45877600,0.01669377,-0.29607892,-0.17735805,-0.17877226,-0.28790703,-0.19371690,0.00000000,-0.65828019,0.00000000,-0.33575138,0.00000000,-3.16623068,0.02647679,0.00000000,-0.52856886,0,09:53:26.9,0,0
10,0.34486121,-1.77136028,0.84187615,-1.92908990,-3.24502110,0.52139956,0.83038199,0.00000000,-1.21037686,-0.27642062,-0.06863137,-0.46841684,-0.38197190,-0.13514435,-0.50550443,-0.33203644,0.01461536,-0.24928266,0.72568655,0.04865896,-0.27005106,-0.14772719,-0.18410130,-0.18765001,-0.17550880,0.00000000,0.00518999,0.00000000,2.85677195,0.00000000,-3.16623068,-0.48559996,0.00000000,0.98672789,0,09:53:27.0,0,0
11,-0.45088130,-1.19144344,-0.72685724,-0.84380722,-1.04818857,-0.22968030,-0.54477811,0.00000000,-0.68487167,-0.18912557,0.04430258,-0.27391604,0.02734806,-0.22186127,-0.38287845,-0.31904727,-0.06585425,-0.23020571,2.14549375,0.29628921,-0.18458959,-0.08224013,-0.13060401,-0.05288669,-0.05543896,0.00000000,1.02663064,0.00000000,0.38535666,0.00000000,-1.36524653,-0.14688587,-10.40716648,-0.79840195,0,09:53:27.1,0,0
12,0.17625566,0.19199391,0.75064540,0.26077384,1.41890657,-1.20514035,-3.64472389,0.00000000,-0.10385140,-0.21818864,-0.06951763,-0.24143888,-0.15264511,-0.09154706,-0.35920241,-0.25568816,0.04668485,-0.24126953,0.80623138,0.28229487,-0.21512780,-0.10012210,-0.16547115,-0.10292792,-0.12837707,0.00000000,-0.22031841,0.00000000,-1.91936862,0.00000000,-0.86150539,-0.59513772,0.00000000,-2.80379272,0,09:53:27.2,0,0
13,-0.14626771,-0.54307264,0.27835396,0.19341725,0.91212231,0.50544536,0.94508719,0.00000000,-1.45339596,-0.18007919,0.00104717,-0.27391604,0.05083128,-0.10085357,-0.36013234,-0.23379509,0.14117000,-0.21831483,-0.15043631,0.43424961,-0.20071885,-0.08224013,-0.16547115,-0.05288669,-0.08291887,0.00000000,1.01265991,0.00000000,1.73372400,0.00000000,-1.36524653,0.19645618,-10.40716648,1.24312174,0,09:53:27.3,0,0
14,-0.30068135,1.04045904,-1.47069645,0.77333403,2.76727390,0.64129555,1.86496031,0.00000000,0.89864880,-0.18550837,0.06296226,-0.22281042,-0.05963737,-0.20326430,-0.32259673,-0.25559905,-0.03846822,-0.24330348,-1.48524547,0.01316023,-0.21188705,-0.06831776,-0.13316634,-0.05878091,-0.05130550,0.00000000,0.10264888,0.00000000,4.20099068,0.00000000,-0.86150539,-0.19042061,0.00000000,3.22535920,0,09:53:27.4,0,0
15,0.01260286,0.19199391,-0.00843855,-0.34552985,-2.46943593,0.16930011,-0.03262368,0.00000000,-0.30273703,-0.19367842,-0.00364894,-0.26287770,-0.03893526,-0.24504799,-0.36831620,-0.24470653,0.02844255,-0.21001540,-0.12783961,-0.20624992,-0.19286868,-0.13586350,-0.17712420,-0.06670791,-0.07916607,0.00000000,-0.21100432,0.00000000,-0.33575138,0.00000000,0.48686197,0.29299176,0.00000000,1.73077548,0,09:53:27.5,0,0
16,0.17625566,3.27230453,1.06759655,2.15677142,4.99929047,-1.01025522,-3.64472389,0.00000000,-0.10385140,-0.22416197,0.02570559,-0.37245691,-0.38882944,-0.28195629,-0.41371486,-0.28862426,0.17840923,-0.23297010,-0.15943784,0.39711824,-0.22753203,-0.08918415,-0.12070008,-0.17019115,-0.10125303,0.00000000,0.96181166,0.00000000,5.54935789,0.00000000,0.43988636,0.11183701,0.00000000,1.29374075,0,09:53:27.6,0,0
17,0.17625566,0.19199391,1.62309504,1.21738982,2.14032435,-0.50035614,-0.57268524,0.00000000,-0.86415511,-0.22413073,0.12895696,-0.33275485,0.07933398,-0.10783785,-0.39828306,-0.32116246,0.12885167,-0.20926565,3.06624961,0.22215612,-0.23411021,-0.12876149,-0.14314683,-0.22112140,-0.15010186,0.00000000,1.30640900,0.00000000,0.38535666,0.00000000,2.67173171,-0.08544873,0.00000000,0.24137367,0,09:53:27.7,0,0
18,-0.14626771,4.85592175,-0.78060919,2.14805555,-3.04664087,-0.84933615,-3.93880224,0.00000000,0.89864880,-0.25876370,0.00251887,-0.36846951,-0.21361338,-0.24326500,-0.41979754,-0.32116246,0.02805231,-0.26282957,2.06507969,0.31436479,-0.27319613,-0.16921444,-0.18762915,-0.24941203,-0.15884754,0.00000000,-0.01778398,0.00000000,-0.33575138,0.00000000,0.48686197,0.36849865,0.00000000,1.62518263,0,09:53:27.8,0,0
19,-0.30068135,0.19199391,-1.13643122,-0.34552985,1.41890657,-0.33890748,-1.71656406,0.00000000,0.54581404,-0.27724069,-0.06863137,-0.41722885,-0.12965623,-0.50982314,-0.44301838,-0.35895330,-0.11105916,-0.28540787,0.68147379,0.14900820,-0.30420232,-0.17650317,-0.16283663,-0.26744500,-0.20870605,0.00000000,-0.62628800,0.00000000,-1.91936862,0.00000000,0.36669675,0.39345708,0.00000000,1.28671968,0,09:53:27.9,0,0
