Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190423090820
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,723,657,588,0,622,597,605,0,637,606,608,589,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under
Analog Gain,44,44,6,6,124,124,6,6,6,6,31,31,31,31,6,6,31,31,7,7,6,6,15,15,22,22,14,14,24,24,12,12,15,15,15,15,31,31,6,6,15,15,6,6,6,6,22,22,28,28,6,6,24,24,6,6,124,124,62,62,6,6,31,31,31,31,31,31,6,6,6,6,62,62,62,62,49,49,49,49,12,12,7,7,31,31,6,6,15,15,31,31,47,47,31,31,24,24,7,7,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,7.69,16.39,26.64,69.71,66.46,100.00,6.47,18.35,2.15,3.92,1.31,28.08,2.81,3.68,1.72,35.34,2.89,65.36,2.90,5.33,5.02,10.49,3.33,1.00,5.04,8.72,6.07,1.00,6.14,100.00,6.72,9.05,4.35,7.28,3.78,6.35,3.57,5.11,3.33,7.13,93.44,100.00,2.15,1.00,100.00,1.00,63.13,63.91,100.00,1.00,40.52,100.00,43.92,72.28,3.75,6.33,26.84,51.28,100.00,1.00,100.00,100.00,8.69,15.49,12.77,33.90,100.00,1.00,2.95,9.73,2.45,3.54,2.13,42.08,13.09,54.79,19.37,48.25,2.33,4.95,2.32,100.00,59.68,100.00,3.71,4.16,2.30,3.87,2.11,4.35,100.00,100.00,100.00,1.00,100.00,100.00,8.98,36.92,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/23 09:08:24
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-1.28844583,-0.22092013,-0.91063380,-0.45178553,-0.17966223,0.72300500,0.98124373,1.28534937,0.76171702,-0.18388449,-0.01906328,0.18958253,0.21337757,0.20039566,0.10883994,-0.03532628,0.15514588,-0.08079202,0.41004869,-0.73627323,-0.21958731,-0.24075246,0.00281035,-0.16979989,-0.08676390,-0.21352988,0.16798997,0.22757974,-0.00039091,7.07833290,-0.01985283,0.29093239,0.88232386,0.33388484,0,09:08:33.1,0,0
2,2.52718782,-1.44912219,0.67298341,-1.19374597,-3.71258974,0.26859531,-1.61521339,0.06247145,0.30268255,-0.19868915,-0.17256476,0.04092895,-0.47467786,0.06803130,-0.11957042,-0.08780550,0.18618432,-0.12828977,0.35615873,5.24722767,-0.25265005,-0.12088314,0.06958424,-0.09404168,-0.05461163,-0.21352988,0.20441402,0.22757974,-0.00039091,7.81339979,-0.18595013,-1.33363247,0.78235698,-0.56961298,0,09:08:33.2,0,0
3,0.29517144,-2.45276546,0.67298341,-2.42203355,-5.56469822,0.58040142,0.63988429,0.98963737,0.71905297,-0.18201753,0.05720066,-0.04324782,0.32802871,0.94586563,-0.21017723,-0.15909475,0.02407813,-0.04732289,0.19763818,2.89151263,-0.18709861,-0.19921985,-0.00943473,-0.16789228,0.01224435,0.10342128,0.06893811,0.22757974,-0.00039091,5.32538128,0.23118840,-0.27994409,0.75291848,0.06738314,0,09:08:33.3,0,0
4,-1.28844583,-1.44912219,0.67298341,-1.19374597,-3.71258974,0.31669950,-0.93304247,-0.98309749,0.41465783,-0.15475574,0.00327674,-0.05299683,-0.73225927,0.21369195,-0.21176749,-0.08780550,0.12428115,0.01902119,0.30279160,-0.99253118,-0.09995066,-0.37629047,-0.18947811,-0.14624283,-0.04075804,-0.21352988,0.12721479,-0.29708457,-0.00039091,5.32538128,0.35992983,-1.79229140,0.78414160,-0.56961298,0,09:08:33.4,0,0
5,2.52718782,1.36269712,1.62965107,0.28328100,-0.17966223,0.71685743,1.44749153,1.32162774,0.82607967,-0.17296384,-0.07921945,0.07062540,0.44227830,0.54229373,-0.03510246,0.04368626,0.18618432,-0.10689228,0.46899775,0.05079295,-0.24573314,-0.24007517,0.02057982,-0.16030926,-0.01525587,0.10342128,0.12721479,0.22757974,-0.00039091,12.47732830,0.67688096,0.72449249,0.69577795,0.68760037,0,09:08:33.5,0,0
6,-2.51664805,-2.45276546,-0.91063380,-1.07376945,-1.06314027,0.69695526,1.38729203,0.25432581,0.85726386,-0.19984692,-0.03684836,-0.04710380,0.37705660,0.38894480,-0.09817073,-0.15628956,0.02407813,-0.14657611,0.24999104,4.61544752,-0.32867822,-0.16130270,0.08260895,-0.28940380,-0.06770579,-0.21352988,0.02449220,-0.29708457,-0.00039091,3.61809754,0.40377784,-0.12209579,0.64662021,0.14983849,0,09:08:33.6,0,0
7,-1.28844583,-0.22092013,-0.91063380,0.28328100,1.16870511,0.48392013,-0.11991102,-1.36047637,0.63907844,-0.19369577,-0.01906328,-0.03689832,-0.11765272,-0.21675470,-0.13667007,-0.14712125,0.09793174,0.04116113,0.49646333,-0.05119357,-0.05510453,-0.30131114,-0.04312990,-0.24008358,-0.15397705,-0.21352988,0.08235301,-0.29708457,-0.00039091,4.84640217,-0.18595013,2.37335634,0.64214802,1.03850019,0,09:08:33.7,0,0
8,2.52718782,-0.22092013,0.04603387,0.88958472,1.16870511,0.69987082,0.67473131,0.58588165,0.72854280,-0.16567639,-0.01906328,0.09951390,-0.56813473,-0.75707954,-0.09178202,-0.20469758,0.15514588,-0.00438226,0.27632800,-0.13065049,-0.15007544,-0.30131114,-0.11047941,-0.12993407,-0.03064980,-0.21352988,0.20441402,-0.29708457,-0.00039091,7.81339979,-0.37511531,-2.29410005,0.86043984,-0.56961298,0,09:08:33.8,0,0
9,-1.28844583,-1.44912219,0.67298341,-0.49385265,-0.05949699,0.47588620,0.11908787,1.66155815,0.56071240,-0.16567639,0.06168372,-0.00143763,-0.68795592,0.02810046,-0.20159735,-0.13261321,0.14188099,-0.09602004,0.22372526,-0.10570710,-0.16852908,-0.24136794,-0.06205282,-0.09897369,0.06479516,-0.21352988,0.15886521,-0.29708457,-0.00039091,5.32538128,0.40377784,0.25238821,0.82928157,0.14183998,0,09:08:33.9,0,0
10,-1.28844583,-2.45276546,0.67298341,-2.42203355,-4.71623278,0.62725210,0.85537028,0.06247145,0.72854280,-0.16866465,-0.05680619,0.09716912,0.59605855,-0.29995126,-0.03828817,-0.06526415,0.16844214,-0.02935021,0.35615873,1.56845212,-0.12491860,-0.20024343,-0.06205282,-0.12713131,-0.09443876,-0.21352988,0.18617170,0.22757974,-0.00039091,5.32538128,0.29709831,0.46011308,0.84641540,0.17196871,0,09:08:34.0,0,0
11,0.29517144,3.59471369,1.62965107,1.73804986,3.63597131,0.53946799,0.02362330,-1.71884358,0.63907844,-0.13925004,-0.04782665,0.05046950,-0.46135953,0.24032651,-0.13360117,-0.06526415,0.15514588,0.03971011,0.43716460,-0.07643675,-0.02146463,-0.24201968,-0.06038531,-0.09381129,0.02363955,0.22519788,0.16798997,0.22757974,-0.00039091,7.07833290,0.58645087,0.29093239,0.88232386,0.51529640,0,09:08:34.1,0,0
12,-1.28844583,-0.22092013,0.67298341,0.88958472,1.16870511,0.24360634,-0.33904102,0.25432581,0.38407806,-0.16567639,0.07060496,0.04582308,0.78370488,0.26103488,0.03336198,-0.15628956,0.01112563,-0.11987332,0.12005744,2.89151263,-0.34854928,-0.14328124,0.03923075,-0.19308101,0.01349115,-0.21352988,0.06003097,-0.29708457,-0.00039091,5.85004520,0.66992366,-0.62246460,0.81754935,-0.08206687,0,09:08:34.2,0,0
13,0.29517144,-0.22092013,-0.91063380,-1.19374597,-2.48438764,0.32966626,-0.58107334,2.29261613,0.39434737,-0.13654359,0.00327674,0.02848854,-0.38190255,-1.48580551,-0.09819513,-0.27115867,0.15514588,0.01720326,0.41004869,0.07662714,-0.05510453,-0.14013550,0.03711345,-0.12032279,-0.01421860,0.10342128,0.18617170,0.22757974,-0.00039091,8.66186523,0.16437928,1.07873619,0.69186157,0.36481985,0,09:08:34.3,0,0
14,2.52718782,1.36269712,0.67298341,0.88958472,2.75232244,0.52160650,0.80421102,1.93424904,0.67796892,-0.16204534,0.12729788,-0.12928240,-0.08875395,0.08660977,-0.22678168,-0.24740264,0.03706181,-0.07913186,0.30279160,5.17120123,-0.26878411,-0.16130270,0.03718167,-0.22714929,-0.09297590,0.22519788,0.03339640,-0.29708457,-0.00039091,5.32538128,-0.05816415,-0.70346427,0.66365099,0.03318314,0,09:08:34.4,0,0
15,-1.28844583,-0.22092013,0.67298341,0.28328100,-0.17966223,0.50897712,0.41356561,-2.05039954,0.62115580,-0.21553491,-0.01906328,-0.12928240,-0.49541673,-0.22547749,-0.22678168,-0.22656503,0.05438455,-0.10253531,0.30279160,4.53562689,-0.23627904,-0.15816598,0.02138574,-0.27261588,-0.07446547,0.22519788,0.06003097,0.22757974,-0.00039091,4.84640217,0.29709831,-0.44142035,0.60196126,-0.17611358,0,09:08:34.5,0,0
16,2.52718782,-0.22092013,-0.91063380,-1.19374597,-2.48438764,0.46562636,0.64622933,1.93424904,0.61829102,-0.20167679,0.12729788,-0.14751022,0.38750520,0.94586563,-0.18708783,-0.12293628,0.01112563,-0.12406926,0.19763818,3.71912193,-0.34191898,-0.24237522,-0.01007213,-0.32137132,-0.07848427,-0.21352988,-0.06328378,-0.29708457,-0.00039091,5.32538128,0.49733424,-0.93528414,0.55686659,-0.44554979,0,09:08:34.6,0,0
17,-2.51664805,-0.22092013,1.62965107,-0.45178553,-0.17966223,0.56502020,0.68421298,2.89091682,0.67749172,-0.14479724,0.13620502,-0.04059900,0.45180982,0.44977242,-0.19406101,-0.04195910,0.05438455,-0.16958842,0.19763818,-0.15548137,-0.30109802,-0.32242647,-0.09205234,-0.15576608,0.00982074,-0.21352988,0.09129637,0.22757974,-0.00039091,3.26287031,0.40377784,0.09199168,0.73617482,0.12701134,0,09:08:34.7,0,0
18,-2.51664805,-1.44912219,0.67298341,-0.45178553,-0.05949699,0.28042650,-0.36481410,-0.35872999,0.36331454,-0.17296384,0.06168372,0.05636124,0.27509379,-0.39269519,-0.06387015,-0.21281388,0.06738527,-0.14269480,0.14577857,-0.78682327,-0.31013796,-0.21854644,-0.01312394,-0.13223566,0.13511151,0.10342128,0.13628718,0.22757974,-0.00039091,3.99788833,0.29709831,-0.51641512,0.73780823,-0.23307745,0,09:08:34.8,0,0
19,0.29517144,-1.44912219,0.67298341,0.15451817,-0.05949699,0.25246176,-0.66524231,1.28534937,0.35767639,-0.14565738,0.07509863,0.12453555,0.71498263,-0.21675470,0.04639374,-0.25297701,0.03706181,-0.05028202,0.24999104,-0.78682327,-0.16852908,-0.26170555,-0.02669013,-0.09920178,0.03182460,-0.21352988,0.13628718,0.22757974,-0.00039091,7.07833290,0.58645087,0.48469439,0.76725703,0.58541256,0,09:08:34.9,0,0
