Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190416091814
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,898,760,668,0,647,612,565,0,597,582,538,548,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,31,31,6,6,31,31,6,6,6,6,48,48,24,24,6,6,31,31,6,6,7,7,6,6,7,7,12,12,14,14,7,7,15,15,15,15,30,30,7,7,24,24,7,7,6,6,49,49,56,56,6,6,72,72,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,60,60,7,7,24,24,6,6,6,6,7,7,6,6,12,12,72,72,6,6,6,6,98,98,15,15,48,48,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,31.40,47.51,100.00,100.00,50.25,100.00,13.65,23.87,4.16,10.75,1.51,2.71,37.67,1.00,1.64,2.40,1.57,36.43,2.79,3.08,1.89,33.12,2.73,65.18,1.98,3.28,2.99,6.22,6.69,1.00,4.44,7.23,3.63,1.00,16.97,1.00,5.92,7.00,9.47,13.04,7.12,3.70,5.83,7.40,8.59,6.55,1.00,1.00,29.04,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,59.50,92.21,100.00,100.00,96.47,100.00,100.00,1.00,100.00,100.00,8.68,15.56,7.54,19.40,3.22,5.32,2.57,5.14,2.53,2.86,1.25,24.13,1.68,37.06,10.28,19.62,1.77,3.19,7.66,1.00,9.34,1.00,17.11,23.04,1.00,1.00,4.00,2.32,3.01,3.04,77.10,1.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/16 09:18:19
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-0.71223354,0.44594076,-0.32778677,-0.30445489,0.81791258,0.30713728,0.28103709,-1.22789371,-0.20741864,-0.11491424,-0.27704433,0.01291214,-1.04247630,-0.23384136,-0.56522214,-0.36536810,-0.57748407,-0.26623181,0.85767198,-0.46622649,-0.05619079,0.19134901,-0.16092388,0.03268038,0.00000000,-3.44049811,0.00000000,-0.20880044,0.00000000,0.66099226,0.64166963,0.00000000,1.43993175,0,09:18:28.1,0,0
2,-2.29566574,1.51961184,-0.06062196,1.41306102,0.73247975,0.02138316,0.01422164,0.29985681,-3.19227195,-0.11614443,0.15600839,-0.05750374,-0.18000339,-0.06451804,-0.13983116,-0.48267296,-0.45809847,-0.43243116,-0.24847542,0.78257871,-0.28426439,-0.15027839,0.17244628,0.09970102,0.21320073,0.00000000,-2.12469530,0.00000000,-0.20880044,0.00000000,0.42574242,-0.63600355,6.26650190,-1.19383192,0,09:18:28.2,0,0
3,0.00000000,1.51961184,0.18492153,1.02926373,0.17698133,1.66331899,0.33904079,0.30635399,5.67072487,-0.10708534,0.07030039,0.00267206,-0.13254851,-0.96707410,-0.09697406,-0.52390110,-0.36536810,-0.39602473,-0.08586697,0.93374825,-0.19205391,-0.13264306,0.19525456,-0.20097913,0.02031214,0.00000000,-1.49558711,0.00000000,1.68244374,0.00000000,0.34430665,3.28787708,0.00000000,0.00000000,0,09:18:28.3,0,0
4,1.51945519,3.10322905,0.08915840,1.63556743,0.43184590,-0.12000378,-0.26787692,0.33482698,-0.14649245,-0.09736814,0.07501212,-0.02369002,-0.11820211,-0.92901140,-0.10788549,-0.50424820,-0.33253092,-0.25173193,-0.21723583,0.93374825,-0.12681375,-0.09597009,0.20420128,0.02710447,0.21316326,0.00000000,-2.41422272,0.00000000,2.02321601,0.00000000,4.24137592,0.71229500,0.00000000,0.59853947,0,09:18:28.4,0,0
5,0.00000000,-0.71223354,0.03023642,-1.67605078,-0.62140602,0.48628888,0.09820788,0.33174092,1.20071912,-0.08240978,-0.13787512,-0.04830746,-0.03060222,-0.62026322,-0.12130198,-0.42924744,-0.17502487,-0.37620851,-0.10421161,1.08924472,-0.16022906,0.04032007,0.24925525,-0.33797991,-0.25005609,0.00000000,-1.81909013,0.00000000,-0.54957277,0.00000000,-1.64373314,-0.52225375,0.00000000,5.28128099,0,09:18:28.5,0,0
6,0.00000000,1.51961184,0.46064168,0.90050089,0.22274901,0.19034408,0.01544854,0.34228715,-2.29724860,-0.11284947,0.05160868,-0.06725547,-0.12300796,0.57482886,-0.12085132,-0.39281216,-0.36536810,-0.56151259,-0.31479549,0.63544965,-0.40406525,-0.35868382,0.01283760,-0.38878042,-0.26630884,0.00000000,-3.78460312,0.00000000,2.02321601,0.00000000,-2.15082717,-1.27431798,-6.90454531,-1.59991348,0,09:18:28.6,0,0
7,-4.52768230,-2.29576516,0.08915840,-0.37481418,-0.39425763,-1.15050423,-0.46452186,0.37220368,-3.19227195,-0.11707299,0.14206018,-0.12704091,0.13027512,-0.51699823,-0.15978640,-0.56214732,-0.51753759,-0.40439099,-0.19926463,0.56330782,-0.35207722,-0.28577220,0.05925592,-0.22105618,-0.14563562,0.00000000,-3.20130444,0.00000000,-0.20880044,0.00000000,-0.80245966,-0.81953984,-6.90454531,-1.14936960,0,09:18:28.7,0,0
8,0.00000000,-0.71223354,0.07041720,0.18477343,0.02744969,1.06012905,0.38105020,0.38185760,-1.42288578,-0.12579383,0.04697456,-0.11596735,0.14927356,0.50861782,-0.14100556,-0.44239920,-0.42581147,-0.41273510,-0.19926463,0.85767198,-0.28426439,-0.22319002,0.12186314,-0.04995380,0.07959922,0.00000000,-2.68927932,0.00000000,-0.54957277,0.00000000,0.42574242,1.17833638,-0.63804370,1.51847851,0,09:18:28.8,0,0
9,0.00000000,0.29140973,-0.57071263,0.25213003,0.22274901,-0.30322382,-0.05952976,0.36416864,-2.61474371,-0.17865267,-0.11491424,-0.18898013,-0.08749945,-0.15312886,-0.20558423,-0.53417253,-0.51753759,-0.54013622,-0.19926463,0.70854950,-0.41272673,-0.35868382,0.04831951,-0.27262408,-0.11415541,0.00000000,-2.68927932,0.00000000,-1.79241776,0.00000000,-0.92262501,-1.08304286,0.00000000,-2.31269598,0,09:18:28.9,0,0
10,-7.33950186,-0.71223354,-0.22184299,0.18477343,0.25104353,-0.20555277,-0.10939196,0.39352828,-1.78849792,-0.17411776,0.19499572,-0.26245776,-0.22239515,0.94358480,-0.25937453,-0.43757367,-0.49019688,-0.51527023,-0.32798564,0.63544965,-0.45875540,-0.33685705,0.02377400,-0.35574940,-0.13281572,0.00000000,-4.20769215,0.00000000,0.51230764,0.00000000,-0.92262501,-0.58477426,0.00000000,-1.25950682,0,09:18:29.0,0,0
11,-2.29566574,0.29140973,0.02227071,0.29419714,-0.06660353,-0.48989040,-0.46231028,0.37469789,1.85514879,-0.17089662,-0.32783538,-0.13975501,0.08773787,-0.99075943,-0.18646021,-0.51048374,-0.33253092,-0.63831621,-0.24847542,0.93374825,-0.51366436,-0.12619703,0.19525456,-0.18168786,-0.05142616,0.00000000,-3.32217455,0.00000000,5.83833742,0.00000000,0.58828324,-5.28979015,0.00000000,9.11095905,0,09:18:29.1,0,0
12,0.00000000,0.29140973,-0.13356997,0.76469022,0.22274901,0.71700758,0.18077052,0.40821391,1.20071912,-0.08414014,-0.04046815,0.03583160,0.07496849,0.19166718,-0.11317860,-0.43898469,-0.39801019,-0.49956566,-0.13604094,1.08924472,-0.28649259,-0.04052093,0.23831885,0.11288609,0.45287630,0.00000000,0.03085958,0.00000000,2.02321601,0.00000000,2.89300871,2.97935438,0.00000000,5.25539446,0,09:18:29.2,0,0
13,0.00000000,-0.71223354,0.42650554,0.25213003,-0.30445489,-0.03615858,-0.07799628,0.41414723,-1.03118384,-0.08414014,0.15600839,0.04973153,0.01248989,-0.22677280,-0.11610977,-0.50754482,-0.42581147,-0.52244550,-0.18581763,0.85767198,-0.36587659,-0.07171019,0.12999980,-0.15763026,-0.06245436,0.00000000,-2.41422272,0.00000000,1.58914042,0.00000000,-0.92262501,-0.06004253,-6.90454531,-0.00776426,0,09:18:29.3,0,0
14,0.00000000,1.51961184,0.27564141,0.90050089,0.17698133,0.56705391,0.15506583,0.42804196,1.20071912,-0.04971886,0.17941184,0.06244749,-0.15288508,-0.40324008,-0.08700277,-0.45703617,-0.30419451,-0.49586776,-0.16774371,0.70854950,-0.31400594,-0.07171019,0.12999980,-0.20097913,0.20442557,0.00000000,-1.49558711,0.00000000,-0.20880044,0.00000000,-1.64373314,1.53895879,0.00000000,2.98658776,0,09:18:29.4,0,0
15,0.00000000,0.29140973,0.44594076,0.90050089,0.22274901,0.50276732,0.26056334,0.43795180,-1.78849792,-0.05956697,0.27866989,0.01094653,-0.28711534,0.82164776,-0.13474850,-0.32826471,-0.27098963,-0.49731258,-0.16774371,0.93374825,-0.34412301,-0.12619703,0.18427986,-0.21723872,0.11228314,0.00000000,-3.20130444,0.00000000,-1.79241776,0.00000000,0.15420786,0.20846777,-0.63804370,0.30918694,0,09:18:29.5,0,0
16,-2.29566574,-0.71223354,0.29227006,0.18477343,-0.23869617,-1.27928197,-0.51875907,0.41910383,-1.96490860,-0.08732701,0.26931593,-0.00240309,0.28311017,1.19669855,-0.09545501,-0.34214979,-0.36536810,-0.29289702,-0.21723583,0.63544965,-0.11106967,-0.27565688,0.06739257,-0.20055741,-0.18673408,0.00000000,-3.66968107,0.00000000,2.09592485,0.00000000,-4.45555258,0.16117007,-6.90454531,-0.36270240,0,09:18:29.6,0,0
17,0.00000000,-0.71223354,0.16857864,-0.93409050,-0.30445489,-0.61377990,-0.30246413,0.42901364,-0.82160276,-0.09333732,0.03766046,-0.09646805,-0.11820211,0.39547911,-0.16846646,-0.43898469,-0.36536810,-0.39607069,-0.08586697,1.01094747,-0.19078483,0.03239072,0.23831885,-0.02504112,0.32376391,0.00000000,-0.78510678,0.00000000,-0.54957277,0.00000000,0.66099226,-0.34084955,0.00000000,-1.33392298,0,09:18:29.7,0,0
18,0.00000000,0.29140973,0.15847038,-0.32778677,-0.30445489,0.57262319,0.14585193,0.42005163,-1.03118384,-0.13133375,0.13737994,-0.10418723,0.06542794,1.04697716,-0.17699841,-0.32842255,-0.30419451,-0.53881019,-0.19926463,1.08924472,-0.37784970,-0.05247775,0.20619318,-0.30024314,-0.22894505,0.00000000,-1.81909013,0.00000000,2.02321601,0.00000000,6.70812988,0.30753261,0.00000000,0.17016283,0,09:18:29.8,0,0
19,0.00000000,-0.71223354,0.33122945,-0.85245103,-0.23869617,-0.15168014,-0.17275319,0.39527950,-1.42288578,-0.16519247,-0.10101409,-0.15131460,0.24009286,0.15380765,-0.15120651,-0.46904793,-0.36536810,-0.30676657,-0.16774371,1.01094747,-0.15539108,0.01960872,0.30057973,-0.28814769,-0.25216189,0.00000000,-3.32217455,0.00000000,-0.20880044,0.00000000,-0.92262501,-0.84033775,0.00000000,-0.78645313,0,09:18:29.9,0,0
