Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190416114201
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,768,683,633,0,532,544,565,0,572,568,628,601,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,98,98,6,6,6,6,31,31,15,15,6,6,31,31,6,6,6,6,6,6,12,12,7,7,60,60,12,12,7,7,15,15,12,12,28,28,12,12,15,15,6,6,48,48,15,15,6,6,62,62,6,6,6,6,6,6,62,62,31,31,6,6,31,31,6,6,6,6,56,56,31,31,62,62,150,150,6,6,15,15,15,15,6,6,56,56,15,15,62,62,7,7,88,88,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,97.42,100.00,80.97,100.00,77.71,100.00,5.69,16.26,3.52,10.12,12.18,31.11,7.87,60.38,1.10,3.27,14.36,100.00,1.66,2.47,1.36,20.18,3.65,47.72,4.06,4.19,9.00,9.53,4.61,100.00,6.46,5.66,2.60,100.00,1.20,1.00,4.01,3.98,2.98,4.06,1.58,2.84,3.45,5.48,3.27,9.47,1.00,1.00,5.12,1.00,1.00,1.00,100.00,100.00,100.00,1.00,100.00,100.00,37.06,72.65,97.62,100.00,100.00,100.00,100.00,1.00,100.00,100.00,6.58,16.30,5.50,25.95,2.15,7.03,100.00,1.00,1.17,2.26,1.74,1.00,1.31,26.46,100.00,100.00,2.53,2.58,1.34,80.05,1.00,16.48,7.97,9.62,7.15,7.16,1.09,2.41,100.00,1.00,1.00,1.00,100.00,1.00,53.36,100.00,55.94,68.26,100.00,100.00

Measurement Information
Date,2019/04/16 11:42:06
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.29802319,-2.92980361,0.29020205,-0.25792244,0.06910379,-0.19028762,-0.15117197,-0.05906341,0.28282294,-0.34180883,-0.28981099,-0.20731004,0.18898201,0.27284157,0.25114667,-0.09672209,0.24902898,-0.35305521,-0.49039030,0.17949924,-0.07236927,0.04487980,-0.12664992,-0.12210748,0.08480749,-28.74957848,-0.59748006,0.00000000,-1.29664278,-0.00986844,-0.07996256,-0.26767421,0.03416483,-3.26231337,0,11:42:16.1,0,0
2,-0.29802319,-1.92616057,-0.31642351,-0.88056934,-0.73788816,0.03081453,-0.02663686,0.03884192,0.36846116,-0.32998413,-0.03414158,-0.15662812,0.18779162,0.07566278,0.48313808,0.08141713,-0.96115309,-0.12496480,0.03414497,0.28022438,0.05766424,0.14318028,-0.09454059,0.41701430,0.66104609,0.00000000,0.53855836,0.00000000,5.89449978,0.51479584,-0.07996256,-0.35266158,-0.35751781,0.00000000,0,11:42:16.2,0,0
3,-0.29802319,-0.69795847,-0.16172275,-0.52507830,-0.40288383,-0.21742356,-0.14385562,0.07636810,-0.64764285,-0.32538512,-1.38250899,-0.19834818,-0.00667047,-0.66537100,0.33820131,-0.17449597,0.75815648,-0.11953462,0.42582762,0.24796487,0.10974436,0.10633370,-0.10429225,0.06272929,-0.03370548,0.00000000,0.02078643,0.00000000,2.01891780,-0.00986844,-1.66357994,-0.20565465,0.03416483,2.43132901,0,11:42:16.3,0,0
4,-0.29802319,-2.92980361,-0.47865325,-0.57278299,0.06910379,-0.02298497,-0.01199327,-0.00508549,0.82594526,-0.32733312,0.66685659,-0.22498056,0.04739343,0.02485709,0.18893310,-0.13621275,-3.36001301,-0.17785941,0.40334150,0.24796487,-0.01606476,0.13393945,-0.09332874,-0.09637470,0.35292485,0.00000000,-0.55646574,0.00000000,1.78366792,0.51479584,-0.70691222,-0.14772718,0.03416483,-2.19482231,0,11:42:16.4,0,0
5,-0.29802319,-0.69795847,0.45243180,-0.52507830,-0.40288383,-0.29798520,-0.20792018,0.16472466,-0.48816893,-0.32623219,-0.03414158,-0.21696196,0.05666826,-0.53137642,0.43572488,-0.20392559,0.77782512,-0.13169909,1.87256432,0.22963142,0.04921343,0.11207946,-0.10948967,-0.28869417,-0.13649550,0.00000000,-0.84541035,0.00000000,-0.28580770,-0.00986844,-1.66357994,0.31701949,0.03416483,-0.35460252,0,11:42:16.5,0,0
6,-1.88164043,-0.69795847,-0.39741251,-0.52507830,-1.14484417,-0.39963627,-0.24226931,-0.03439575,-0.45018566,-0.35430580,-1.57316184,-0.30136755,-0.06252473,-0.46475029,0.14837919,-0.20456560,0.70944029,-0.26887602,-1.56021833,0.25721160,-0.07397301,0.17221716,-0.07113235,-0.20525098,0.31217653,0.00000000,-1.13478625,0.00000000,-0.28580770,-0.00986844,-0.58685023,-0.69850570,0.03416483,-3.50105381,0,11:42:16.6,0,0
7,-1.88164043,-2.92980361,0.57431555,-0.88056934,-1.47984850,0.14484018,0.08730511,0.25082824,1.00262809,-0.30406812,0.92252600,-0.22099058,-0.19740021,0.02485709,0.38491696,-0.03249830,0.33748540,-0.27083448,-6.86694813,0.28022438,-0.06258135,0.20411210,-0.06584629,-0.12030766,0.22267219,0.00000000,-0.74280083,0.00000000,2.01891780,-0.00986844,0.80368650,0.12809600,-0.35751781,-0.42763704,0,11:42:16.7,0,0
8,-0.29802319,-0.69795847,0.22978313,-0.88056934,-1.47984850,-0.11658045,-0.06869698,0.13259687,-0.01544098,-0.32182866,-0.03414158,-0.20308648,0.00674546,-0.10361270,0.24467504,-0.03249830,-3.33543515,-0.15673532,-4.50322485,0.28952551,-0.00599243,0.15981318,-0.10351004,-0.47915480,-0.12303177,0.00000000,-0.74280083,0.00000000,-0.28580770,0.51479584,-1.42832994,-0.51774365,0.03416483,-5.03739738,0,11:42:16.8,0,0
9,-1.88164043,-1.92616057,-0.14786574,0.46772924,0.71598011,0.07303926,0.03814863,0.13259687,0.89259517,-0.34551081,-1.38250899,-0.14439557,0.36104339,0.06179645,0.39244404,-0.06487495,-1.16718161,-0.14146765,-2.32902002,0.17493892,0.06893920,0.11741807,-0.10061160,-0.20099732,0.03565884,0.00000000,-0.70280910,0.00000000,0.43530050,0.51479584,0.80368650,0.66864103,0.03416483,5.69287634,0,11:42:16.9,0,0
10,-0.29802319,-0.69795847,-0.07274014,-1.48687303,-1.14484417,-0.23046309,-0.15021352,-0.16648623,-0.07090541,-0.37309092,-1.51180100,-0.21276310,-0.12037991,0.06179645,0.28417873,-0.00664601,-1.09933841,-0.01937868,0.07027018,0.22508594,0.12402981,0.15706849,-0.10144515,-0.55281967,-0.26256192,0.00000000,-0.94228208,0.00000000,2.01891780,0.51479584,-0.07996256,-0.14772718,0.03416483,-2.42440987,0,11:42:17.0,0,0
11,-0.29802319,6.93279648,0.33963862,0.26333728,0.73973936,0.23928185,0.13774465,-0.12815069,1.21979523,-0.38102147,-1.51180100,-0.20357016,-0.30159625,0.30978093,0.23917569,0.11920067,2.01628518,-0.13301888,-0.39636362,0.22963142,0.06150489,0.13205864,-0.09256708,0.02984757,0.27433950,0.00000000,-0.36360148,0.00000000,-1.86942494,0.51479584,2.15205383,-0.29027480,0.03416483,4.89808273,0,11:42:17.1,0,0
12,1.93399322,-1.92616057,0.02767489,0.46772924,0.38097578,-0.19352433,-0.09451193,0.16472466,0.32581681,-0.35450006,1.53519440,-0.17546971,-0.01132036,0.27284157,0.27362299,-0.03944024,0.20526834,-0.30147475,-3.30788207,0.17493892,-0.10284866,0.10106860,-0.10144515,-0.17991249,0.30619594,0.00000000,-0.61789852,0.00000000,0.55546570,-0.00986844,-0.70691222,0.00724343,0.03416483,-1.52754176,0,11:42:17.2,0,0
13,-1.88164043,0.88565886,-0.16172275,-0.52507830,-0.04616215,-0.14486673,-0.09451193,0.05396082,0.55845255,-0.37869343,0.79323393,-0.19381435,-0.03953831,-0.11740814,0.35371444,-0.16694699,-3.49118042,-0.26887602,-2.32902002,0.18406366,0.02459662,0.15426466,-0.07389082,-0.19010808,0.02143181,0.00000000,-0.78245485,0.00000000,-0.15263785,-0.00986844,-0.70691222,-0.96204281,0.03416483,-4.46461535,0,11:42:17.3,0,0
14,1.93399322,3.11767507,-0.01390022,0.77589750,0.33528829,0.12873045,0.09761102,0.07636810,1.07676113,-0.39593592,-0.09695276,-0.19371836,0.22221957,-0.05280701,0.22704706,-0.06487495,-3.42839789,-0.20765105,-0.49039030,0.18406366,-0.04123098,0.16713683,-0.06222275,-0.37695754,-0.10829652,0.00000000,-0.34221575,0.00000000,-1.86942494,0.51479584,-0.70691222,1.64054871,0.03416483,10.56696129,0,11:42:17.4,0,0
15,-0.29802319,-0.69795847,-0.16172275,0.82322025,0.71598011,0.18228468,0.12023030,0.05396082,1.40972936,-0.40123484,-0.16343363,-0.22683515,0.36911434,0.13738127,0.09582824,-0.12477206,0.20526834,-0.27771670,0.70897239,0.19314702,0.04184784,0.12850012,-0.10144515,-0.61922950,-0.39242375,-24.96819687,-1.23035860,0.00000000,-0.44817749,-0.00986844,0.03504798,-0.73705727,0.03416483,-4.62689638,0,11:42:17.5,0,0
16,-1.88164043,-0.69795847,0.08196062,0.82322025,0.71598011,0.13926391,0.06602225,0.08101808,1.23355734,-0.38858354,2.01512074,-0.19962183,0.15176187,-0.06667334,0.18387862,-0.09338149,-3.42839789,-0.11854491,2.02184319,0.12981951,0.06562670,0.08478396,-0.11395107,-0.34023950,0.10512154,0.00000000,-1.15326309,0.00000000,2.01891780,-0.00986844,0.03504798,0.27296779,0.03416483,-2.55560350,0,11:42:17.6,0,0
17,-1.88164043,3.11767507,0.02270810,0.77589750,0.33528829,0.12325488,0.05656953,-0.12815069,0.64956111,-0.37274238,-3.75004554,-0.19433939,0.20366968,-0.48057076,0.23814423,0.01543824,0.87196004,-0.07926558,-1.45622921,0.23423764,0.09110563,0.17377168,-0.06771114,-0.45785052,-0.54078871,0.00000000,-0.36360148,0.00000000,2.07937860,-0.00986844,-1.93511426,-2.01268172,0.03416483,0.00000000,0,11:42:17.7,0,0
18,-0.29802319,3.11767507,-0.31642351,-1.08492672,-3.09315729,-0.46017969,-0.37665239,-0.28063586,-2.91962051,-0.38527194,-1.69815457,-0.20308648,-0.15770006,0.06179645,0.16266280,0.01135717,0.82223105,0.02255292,-3.15485716,0.22963142,0.10551112,0.17657249,-0.08117003,-0.23498747,-0.11044861,0.00000000,0.07133779,0.00000000,2.07937860,0.51479584,-0.70691222,-0.39863676,0.03416483,7.28073072,0,11:42:17.8,0,0
19,1.93399322,0.00000000,-0.39741251,-0.64388400,-0.51648539,-0.64397788,-0.37272114,0.03884192,-6.84031582,-0.34551081,-3.62369823,-0.18444531,-0.23166381,-0.93062454,0.31537575,-0.07333466,0.80240303,-0.37610072,0.33273128,0.21135917,-0.07388251,0.21036001,-0.04522507,-0.22205599,-0.50543219,0.00000000,0.14101702,0.00000000,-0.15263785,-0.00986844,-0.70691222,-0.94017458,0.03416483,0.00000000,0,11:42:17.9,0,0
